-0.0228847-0.0272225j -0.0169526-0.0507432j 0.0661701-0.0494476j 0.0134873-0.0265065j 0.031972+0.0054775j -0.0555398+0.0321236j -0.094678+0.054495j -0.0340321+0.0573672j 0.119628-0.025721j -0.0640092+0.0133091j -0.120577-0.120499j -0.0218487+0.040955j 0.00596541+0.0509632j 0.0413383+0.101972j -0.0829553+0.0597222j 0.0917267+0.191317j -0.125428-0.135597j 0.0121403-0.0233672j 0.00494482-0.00206014j 0.15177+0.0837835j 0.0472527+0.0351893j 0.106811+0.231535j -0.017077-0.0879235j 0.0903542+0.121961j 0.0250353+0.0782265j 0.0976347-0.117869j -0.00756844-0.105992j -0.0147787-0.0171821j -0.0940311-0.113011j -0.00145869-0.0317126j 0.0871937+0.0484549j -0.000996375+0.0522937j 0.0264856-0.033954j -0.0102942-0.0668006j 0.00863284+0.022049j -0.0464388+0.186829j -0.00210222-0.0351567j 0.0650845+0.0763613j -0.067171-0.0120064j -0.0309666-0.00891538j -0.0341202-0.0205287j -0.151857+0.223023j -0.0639621-0.165389j -0.269324+0.292382j -0.166297+0.236042j 0.0697481+0.194055j -0.001821-0.217559j -0.158281+0.168962j 0.335494+0.195137j 0.407632+0.0288841j 0.344328+0.504523j -0.0779754-0.513658j 
-0.0717862-0.0593511j 0.00217979+0.232491j 0.0768916-0.414696j 0.00328364+0.56466j 0.0449433-0.721628j -0.0408885+1.70942j -0.0988579-0.128741j -0.0629454+2.17375j 0.0693418-2.14684j -0.0232352+0.538005j 0.0665416-3.52825j -0.132649+1.71238j -0.0298586+1.96675j -0.0914529+3.21268j -0.0300517+1.19823j -0.219845+6.7262j 0.188886-4.37883j 0.00866118-0.424954j -0.0579535+1.70609j -0.149777+1.40766j -0.0345996+1.31471j -0.190241+7.4365j -0.074731-0.196414j -0.0727339+5.71203j 0.0135141+0.329903j 3.48878-4.15025j 2.34249-0.466063j 0.00686037+0.268884j -0.00866635-5.74406j -0.0376877+0.125518j 0.0495064+7.50102j 0.0545921+1.29195j -0.194682-1.41564j -0.124534-1.76307j -0.0249463+0.438907j 0.10324-4.32463j 0.052675+6.59231j 0.00554164-1.08707j -0.0286826+3.01322j -0.013659+1.92053j 0.163747+1.68223j 0.181933+3.39719j -0.381546+0.508693j -0.122232+2.02561j 0.0331853+2.00419j -0.04193+0.0627973j 0.186114-1.42346j 0.336657-0.848136j 0.522177+0.674726j -0.217399+0.953167j -0.63362-0.251412j -0.287581+0.754014j 
-0.0406883+0.105375j 0.115945-0.933424j 0.00701082+1.88881j -0.0574025-2.34848j -0.00730681+2.23769j 0.0794567-5.90079j 0.00640751+0.921172j 0.0228146-7.41624j -0.0124449+7.7626j 0.0298513-1.69278j -0.0642816+11.7229j -0.0559389-5.86896j 0.0387721-6.68227j 0.0876662-10.8037j -0.0609202-3.99927j -0.00671269-22.7276j 0.0717597+14.6506j -0.00408213+1.37288j 0.012298-5.96547j -0.0718948-4.68141j 0.0235346-4.346j -0.140419-24.9739j -0.0315186+0.631342j 0.0193057-18.9774j -0.0560163-0.970277j -11.5256+14.0431j -7.86177+1.37434j 0.00906781-0.916621j -0.0692322+18.9548j 0.0628635-0.49537j 0.254251-24.8883j 0.00591627-4.3857j -0.138368+5.01595j 0.00612161+5.96579j 0.0390676-1.30872j -0.218652+14.5444j 0.102774-22.5071j 0.144361+3.88983j -0.0727563-10.5858j 0.011124-6.52418j -0.0250659-5.72881j 0.0926491-11.6272j 0.127157-1.42246j 0.0545207-7.21338j 0.197427-7.00945j 0.381336-0.990863j -0.365136+5.8414j 0.0516816+2.73704j -0.0838897-2.04827j -0.162384-1.95824j -0.0795821+1.57418j 0.0310603-0.355631j 
-0.0075645-0.0605738j 0.114239+0.0214505j 0.00754366-0.0591027j 0.0872948+0.174814j -0.150413-0.205848j 0.0436382+0.334004j -0.181446-0.0314863j 0.0950214+0.454083j -0.0883742-0.451603j 0.0795513+0.0617711j -0.154134-0.666206j 0.119059+0.405123j 0.0944565+0.347703j 0.129184+0.603489j 0.024795+0.256104j 0.277898+1.29194j -0.105609-0.792664j -0.108664-0.019194j 0.0795662+0.396842j 0.0183103+0.34513j -0.00850097+0.200043j 0.229748+1.59451j 0.0184611+0.0238341j 0.0764066+1.11267j 0.0980241+0.118355j 0.790721-0.993341j 0.544087+0.0330896j 0.0535511+0.155017j -0.150023-1.11725j -0.0172092+0.318295j 0.0642099+1.57075j 0.0670453+0.274189j -0.0928216-0.437499j -0.0735895-0.30706j 0.0828565+0.0526281j -0.188266-0.971224j 0.137315+1.37376j -0.206155-0.552766j 0.157308+0.61503j -0.00877712+0.528499j 0.253675-0.0543299j -0.0953179+0.584601j -0.0583298+0.207234j 0.0831305+0.406734j -0.213404+0.286455j 0.0964069+0.241351j 0.267774-0.614452j -0.305125-0.310834j -0.21132+0.229966j -0.0592423+0.417242j 0.105267-0.214211j -0.459499+0.0386432j 
0.0104909-0.000181471j -0.0527383-0.124385j -0.0834975+0.0932217j -0.00499774-0.112997j -0.0343875+0.148702j -0.0288334-0.610586j 0.0556773+0.0699893j 0.0427641-0.629129j -0.0636858+0.669148j 0.00710802-0.034328j 0.0158227+1.10934j -0.022233-0.391103j -0.0813169-0.594387j 0.00955407-0.978627j -0.0357222-0.260962j -0.0547026-1.9983j 0.0265434+1.2545j -0.0837396+0.166992j 0.00843437-0.588767j 0.173992-0.574114j 0.0230293-0.392091j 0.0926963-2.31224j -0.0984466+0.0599141j 0.133287-1.56628j 0.0750398-0.207438j -0.941213+1.27601j -0.764145+0.212823j 0.233315-0.0106163j 0.00278309+1.75027j 0.108174-0.0980307j 0.144832-2.10913j -0.0266102-0.330013j 0.00231444+0.474473j -0.0091892+0.30075j 0.249835+0.0135038j 0.0648261+1.4995j 0.0900961-2.01671j 0.150414+0.389468j 0.10618-1.30421j -0.0898131-0.530536j 0.062593-0.604208j 0.0475959-1.19258j 0.314178-0.179965j -0.317372-0.494716j -0.0595571-0.547556j -0.0853589-0.583592j 0.236999+0.343783j 0.218176-0.292605j 0.615007-0.668021j -0.237272-0.294116j -0.674835-0.373959j -0.251387+0.497616j 
0.0821651-0.384548j -0.000706693+2.11185j -0.0230457-3.66686j 0.0134938+5.14731j -0.0904939-4.92772j -0.0615578+12.7554j -0.100642-1.99424j -0.0956154+16.0966j -0.0152522-16.5926j -0.0398165+3.59481j 0.27916-25.7399j -0.00576119+12.7673j -0.149568+14.4174j -0.138766+23.6813j -0.146897+8.54068j -0.368895+49.3433j 0.417407-32.0572j -0.00166901-2.83596j 0.0383217+12.8444j -0.0406488+10.6363j -0.116225+9.55951j -0.475116+54.2184j 0.0127368-1.32371j -0.46678+41.4101j 0.0255038+2.04624j 25.6378-30.2164j 17.0199-3.05373j -0.0437928+2.1212j 0.366482-41.2541j 0.118854+1.2055j -0.511727+54.3906j -0.269994+9.37797j 0.28538-10.4713j 0.305479-12.9904j -0.102065+2.9282j 0.555075-31.7485j -0.864336+49.3083j 0.328706-8.66301j -0.761667+23.5881j -0.158381+14.4472j -0.345823+12.7415j 0.191626+25.6705j -0.131617+3.26838j -0.372392+16.8j 0.198509+15.7992j -0.0589943+1.71594j 0.910765-12.2279j -0.246044-5.16591j 0.0882731+5.07265j 0.261915+3.62095j -0.498056-2.45282j -0.215906+0.530991j 
0.080475+0.0369322j 0.180983-0.361502j -0.0392352+0.775039j 0.0396537-0.918184j -0.00153228+0.970969j 0.219911-2.45789j -0.0739765+0.313369j 0.0980661-3.04182j -0.169879+3.14621j -0.0160964-0.712409j -0.18656+4.93867j 0.101255-2.53174j 0.111142-2.87246j 0.221133-4.6922j 0.0158939-1.58021j 0.352816-9.72488j -0.141266+6.36839j 0.0413943+0.423481j 0.169059-2.51796j 0.0717256-2.09552j 0.153018-1.81945j 0.310073-10.4672j 0.0850108+0.318372j 0.310222-7.92123j -0.153756-0.479332j -5.16513+5.64304j -3.45271+0.491729j 0.0183658-0.137055j -0.23472+8.09238j 0.139777-0.273968j 0.341537-10.7734j 0.149801-1.87248j 0.204492+2.15798j -0.0685701+2.57626j 0.126605-0.701952j 0.126158+5.96752j 0.423563-9.86522j -0.0407912+1.72104j 0.276708-4.72059j 0.10513-2.79095j -0.314042-2.58211j -0.0316603-4.88588j -0.131248-0.816108j 0.13404-3.10995j 0.282832-3.05618j -0.185611-0.21005j -0.121223+2.36975j 0.0116189+1.02988j 0.455089-1.07016j 0.213603-0.619463j -0.176984+0.288398j -0.129965-0.350249j 
-0.0283294-0.19703j 0.0271813+1.45719j 0.0999471-2.58058j 0.038262+3.5791j -0.0241986-3.56836j 0.0441657+8.92769j -0.0493051-1.4212j 0.0135954+11.2764j -0.17825-11.5896j 0.0461079+2.49314j 0.207772-18.035j -0.00109896+8.94992j 0.00859141+10.1801j -0.205771+16.4138j -0.0777984+5.98581j -0.0610381+34.8385j 0.00219907-22.5409j 0.000778722-2.27468j 0.0481157+9.14619j 0.0688336+7.45983j -0.0213424+6.76759j -0.159773+38.1804j 0.0423393-0.861696j -0.228268+29.1563j -0.201555+1.3211j 18.0197-21.2286j 11.803-2.15365j -0.00344336+1.48626j 0.33395-29.307j -0.0173621+0.711407j -0.205288+38.147j 0.00964426+6.77497j -0.0284306-7.34614j 0.125562-8.97395j 0.00966365+1.99294j 0.206337-22.2534j -0.537341+34.8371j 0.166879-6.23109j -0.482403+16.3006j 0.290948+10.0327j 0.133797+8.86083j 0.0546173+18.4341j -0.132012+2.64072j 0.283507+11.6026j -1.24534+11.0363j -0.216645+1.38058j -0.236162-9.19718j 0.272605-3.48353j -0.3883+3.60691j 0.0679284+3.18993j 0.460927-1.50449j -0.162552+0.0493434j 
0.0480443-0.414108j -0.0935832+2.25016j -0.016872-3.99251j -0.048003+5.54176j -0.058804-5.44202j -0.098376+13.8707j -0.0661773-2.03114j -0.043878+17.5576j 0.0125184-18.0074j 0.0976446+3.94856j 0.281748-27.8645j -0.134344+13.8504j -0.134253+15.6386j -0.334467+25.5076j -0.0541962+9.47034j -0.735335+53.7346j 0.537489-34.6584j -0.0211354-3.35896j -0.2181+14.017j -0.175503+11.478j 0.0804155+10.3327j -0.745236+59.1954j -0.104208-1.45193j -0.586281+44.8842j -0.072771+2.19714j 27.9279-32.9248j 18.3841-3.19815j -0.24582+2.19209j 0.61106-45.1992j -0.188222+1.39497j -0.830535+59.3827j -0.152856+10.2701j 0.532027-11.2287j 0.229212-14.219j -0.2947+3.12797j 0.499644-34.5869j -0.642699+53.7095j 0.261013-9.47166j -0.34181+25.7629j 0.154566+15.7255j -0.191194+13.8889j -0.39682+27.7545j -0.137763+4.45169j -0.713773+17.9162j -0.746738+17.4126j 0.00482236+1.99537j -0.172488-14.0561j -0.237772-5.88682j -0.179211+5.54394j -0.347367+3.88674j 0.237491-2.028j -0.316265+0.252036j 
0.0646556-0.609569j 0.0612347+3.16161j 0.0521357-5.4703j 0.0772417+7.6484j 0.00951249-7.57033j -0.116143+19.2435j -0.201827-2.98765j -0.154455+24.3345j -0.0995806-25.0856j 0.0161191+5.35968j 0.532026-39.0172j -0.0889885+19.4011j -0.376599+21.9785j -0.348627+35.5571j 0.170744+12.9101j -0.772623+74.8697j 0.546221-48.4357j -0.0642462-4.48281j -0.187736+19.744j -0.141283+15.7282j -0.19492+14.3757j -0.718012+82.3864j 0.218422-1.66763j -0.569736+62.8439j -0.0786249+3.199j 38.6406-45.7144j 25.8133-4.39094j 0.158338+3.02581j 0.649021-62.7953j -0.162619+1.79188j -1.10343+82.4136j -0.369908+14.4131j 0.650029-15.6373j 0.0633158-19.5236j -0.381139+4.83314j 0.818514-48.4606j -0.919156+74.9432j 0.458479-12.8577j -0.685789+35.9817j 0.0829125+21.7417j -0.289027+19.8139j -0.546088+38.9362j 0.31235+5.11408j -0.832963+24.9955j -0.35927+24.4292j -0.364633+2.99937j 0.310662-19.2947j 0.228442-7.44719j 0.281294+7.6752j 0.0566915+5.06876j -0.170485-3.15917j 0.35943+0.110391j 
-0.0353091+0.143546j -0.0154592-0.540984j 0.00589709+0.947532j -0.006626-1.34172j -0.0341258+1.33489j 0.0475591-3.38949j 0.0771567+0.554842j 0.0705347-4.29305j 0.0036677+4.38381j 0.0551478-0.995234j -0.168437+6.96101j 0.0618894-3.36178j 0.144247-3.92323j 0.226114-6.30525j 0.1165-2.34609j 0.254629-13.2671j -0.106962+8.55003j 0.0487367+0.806268j 0.106544-3.57021j 0.10834-2.87677j 0.0184886-2.57137j 0.27591-14.5289j 0.138659+0.241013j 0.176406-11.1352j 0.0655349-0.489679j -6.6544+8.13227j -4.87862+0.687446j -0.122546-0.566567j -0.263584+11.2667j 0.0447757-0.411222j 0.344316-14.4432j 0.0237711-2.74566j -0.162099+2.89961j -0.268793+3.44771j 0.0293143-0.899034j 0.0187179+8.57893j 0.188129-13.4284j -0.38869+2.13702j 0.0301976-6.31724j 0.570628-3.6063j 0.218428-3.4098j 0.0738494-6.57446j 0.0713091-0.999278j -0.0122634-4.83221j 0.177803-4.05703j 0.162825-0.437597j 0.252892+3.45874j 0.0715118+1.53171j 0.013983-1.58875j -0.186755-0.897209j -0.0108191+0.633288j -0.0593727-0.0360765j 
