0.00583159+0.660725j -0.0130086+0.434318j -0.0041122-0.260704j -0.00427456-0.159129j 0.00991455+0.0105586j -0.00018681+0.333196j 0.000333893+0.0768323j 0.000186816+0.00555939j 0.000538138-0.00935126j -0.000673723+0.0654331j 0.000488573-0.00784736j 0.00103678+0.0128782j 0.000349072+0.0575341j -6.32662e-05+0.0291042j -6.58455e-06-0.0399909j 0.000122046+0.0106887j 0.000604645-0.0405685j -0.000173779-0.0230828j 0.00166914-0.0874853j -0.00158326+0.00151634j -0.00304209-0.0921923j -0.00024261+0.00832744j 8.80241e-05+0.0546657j -0.000785918-0.0489021j -5.85654e-05-0.0896586j -3.29378e-05-0.0348402j -0.000156535-0.0298002j -6.50639e-06+5.36228e-05j 0.000528041+0.0133847j -8.66232e-05-0.00398743j 0.00100958+0.0269094j 0.000359048+0.0314514j 0.000350313-0.00543102j -0.000254795+0.00759603j -7.69598e-05-0.00939197j -0.000711934-0.00687082j 0.000241108+4.01287e-06j 0.000225878-0.00408648j 0.000175812+0.00261864j 0.000119928+0.00418763j -0.000465713+0.00288983j -5.37543e-05+0.00497983j -0.000482793+0.000457647j 0.00032135-0.0069344j -0.000123663-0.00740686j -0.000358912-0.00470361j 0.000887554-0.00618398j 5.33899e-05+0.00232033j 0.000990166+0.00224454j 0.000726563-0.0247967j 0.000367636+0.0109124j -0.000172943-0.00759241j -8.64504e-05+0.059745j 0.00143969-0.0331937j 4.66878e-06+0.0281042j 0.00136914+0.0524869j -0.000936654+0.0150756j 0.00052647-0.0601026j 0.0016731-0.055139j 0.000716691+0.00855182j -0.000622086+0.00439623j 0.000168688-0.0277262j 0.000399352+0.0153091j 8.73933e-05+0.0183949j -0.000895567-0.0243956j 0.000146839+0.00189217j 0.000117554-0.00841851j 4.9763e-05+0.0186669j 0.000245661+0.00797381j -0.000124227-0.00334312j 0.000336825-0.00502508j -0.000195802-0.00559848j 5.77356e-05-0.000919864j -0.000205124-0.0167724j -0.000384863+0.00217403j 0.000292907+0.039468j 0.000439021-0.0182754j -0.000724734+0.00653628j 0.000996541-0.03961j 0.000129292+0.0480488j -4.78393e-05+0.0454772j 0.00070476+0.0445288j 0.000187649-0.0286788j -0.000298269+0.0426713j -0.000112763+0.0226156j -0.000323237-0.00439698j -0.000162356+0.00348703j -1.69461e-05+0.0708341j 8.69604e-05-0.00492724j 0.000416515+0.00680157j 0.000107223-0.033619j 9.33107e-05+0.0109181j 
0.000267498-0.276014j 0.00212222+0.202848j 0.000479791+0.04054j 0.000168169-0.00473199j 0.000149266+0.361137j -0.00151645+0.187019j 0.000809042-0.0991501j -0.00178583-0.0476397j 0.000871865-0.070303j 0.00349422+0.0469176j -0.000170491-0.0321168j -0.0013776-0.0347988j -8.16228e-05+0.00935301j 0.00169491-0.0465988j -0.00441835-0.00956019j 0.00114152+0.0126716j 0.00227814-0.054156j -0.0062911+0.0995558j 0.00365418-0.0695999j -0.0020487+0.136322j -0.00833315-0.0641208j 0.00183602+0.445526j -0.00220412+0.0966955j -0.00114039-0.012854j 0.000237338-0.0943191j 0.00036087+0.0765753j 0.00223329+0.153211j -0.00280658+0.00297039j 0.000580706+0.0259028j 0.00141159+0.0439251j 0.00174083+0.0516884j 0.000326539-0.0128646j 0.00154153+0.0482482j 0.000528808+0.0118645j 0.000742694+0.0154497j 0.000337583+0.0598098j 0.000750385+0.000819528j -0.00140652-0.00330816j 0.000982213+0.0368572j -0.000211798-0.014368j -0.000336589+0.00302805j 0.000428599+0.0432201j -0.00219805-0.0177153j 3.25836e-05-0.0275477j 2.45207e-05+0.00273852j 0.000220084-0.0090105j 0.000837731+0.00352966j 0.000209364+0.0109297j -0.000518752+0.0730721j 0.00205059-0.0590881j 0.00303697-0.0160855j -0.00152681-0.00300692j -0.000374065+0.0769556j -0.00044545+0.00353164j 0.000374116+0.103985j 0.0001393-0.00678103j 0.00156232-0.0576781j -0.0057418+0.0389404j 0.000255813-0.19806j -0.00165801-0.0897329j -0.000466704+0.143246j 0.000787563+0.0681044j 0.00034754-0.00724498j 0.00147822+0.0695875j -0.000402353-0.00507828j -0.000589326-0.067496j -0.000233392+0.00416065j -0.000456354-0.00857117j 0.00140919+0.014925j -0.000262873+0.00301952j 0.00215358+0.0492589j -0.000505316+0.00297309j 0.00129288+0.0236763j -2.85624e-05-0.0136618j 0.00145862+0.0728246j 0.000782049-0.0812466j -0.00159434-0.0914763j -0.000500556-0.0269381j -0.000965493-0.0965266j -0.00213548+0.0589805j -0.000326979-0.0284762j 0.0041496-0.183294j 9.12397e-05-0.0472774j 0.00180047+0.0240621j 0.000817606+0.0476501j 0.000642587+0.142806j 7.58195e-05+0.0197246j 0.00123578+0.0378396j -0.00102296-0.0464828j 0.000722187-0.243541j -0.000900989-0.106905j 0.000379289-0.0715358j 
-0.00013992+0.0980277j -0.00199319+0.0945846j -0.00188801-0.000449085j -0.00483078+0.0107907j -0.00235758-0.0155411j 0.00169944+0.139952j -0.00229386-0.0251017j -0.00265029-0.243295j -0.00159967+0.183671j -0.00140726-0.183217j -0.001096-0.124267j -0.003356-0.0908209j -0.000386862-0.277374j 0.00381377-0.14877j 0.00421335+0.103595j -0.00148627+0.159745j -0.00105944+0.104581j -0.00134395-0.0522854j -0.00552476+0.581068j 0.00513714+0.173314j 0.00572099+0.256352j 1.31748e-05+0.097372j -0.000773583-0.0601997j 0.00172356+0.0562025j 8.21925e-05-0.03138j -0.00107983-0.119143j -0.000931891-0.0684612j -8.59715e-05-0.0329781j -0.000297186-0.0423019j -0.00023915-0.0436399j 0.000169417-0.0424184j -0.000510083-0.0184854j -0.000484288+0.00132032j -0.000525097-0.0364922j 0.00030784+0.084991j -0.000396935-0.0138079j -0.000173852+0.0267366j 0.000413645-0.00256681j -0.000865972-0.0360227j -2.08841e-05+0.00649989j 0.000875934+0.0367694j -0.000608367+0.00208968j 0.000850571-0.0360756j 0.000221629+0.0190257j 0.000316103+0.0271892j 0.000676659+0.0246568j -0.00103212-0.0172306j -0.000325675+0.00838073j -0.00021+0.0143116j -0.000983118-0.0266442j -0.000689929+0.0496001j 0.000103219-0.0651209j -0.000836208+0.0119462j -0.000690755+0.0820518j 0.000959761-0.0709753j -0.00168135-0.133185j 0.000285766-0.0711579j 0.0001813+0.119091j -0.00162606+0.0320929j -0.000530225-0.0718143j 0.000367665+0.0122067j -0.000444431-0.0392181j -0.000252245-0.0221447j 3.89743e-05-0.0138841j 0.000199386+0.00827629j 5.97056e-05+0.0237088j 4.33388e-05-0.000174052j 0.000135086-0.00530672j 7.73032e-06+0.0375295j 0.000276757+0.0284228j -0.000312209+0.0192301j 0.000305239+0.0111597j 0.000139758+0.0142558j 1.5228e-05+0.0526992j 2.5283e-05+0.0129499j -0.000733638-0.0154143j -0.000168727+0.0108346j 0.000646486-0.0106743j -0.000609193+0.0380472j -0.000238871-0.046308j -0.000453844+0.0278186j -0.000559585-0.0570084j -3.74064e-05+0.0306391j 5.48161e-05-0.0522603j 0.000246075+0.024856j 0.000339089+0.0164212j 9.05118e-05-0.00947076j -1.34831e-05-0.046239j -8.91026e-05+0.0270999j -0.000169455-0.0232621j -7.81461e-05+0.00972685j -6.58941e-05-0.0222473j 
0.000880182+0.0642568j -0.00118526+0.100617j -0.00298472+0.0838272j 0.00278359+0.124528j -0.000960155-0.00228282j 0.00450697-0.0641003j -0.000486754-0.298083j 0.00419866-0.305744j -0.00039241+0.368951j -0.00364915-0.0625824j 0.000885413+0.219749j 0.00321113+0.301391j 0.000767783+0.214306j -0.0034929+0.219781j 0.00293598+0.282574j -0.00117607-0.189611j -0.00245927+0.162176j 0.00684997+0.141237j -0.0013979-0.0678186j -0.000695963-0.0722705j 0.00700205-0.140426j -0.00032566+0.136581j 0.00196522-0.115041j 0.000407354-0.0894008j -0.00026253+0.038367j -0.000311458-0.11477j -0.00103031-0.0440819j 0.00132237+0.048066j -6.47647e-05-0.0286494j -0.000249302-0.0504472j -0.000464761-0.009524j 0.000155365+0.0628351j -0.000855818-0.00301059j -1.6166e-05+0.00597799j -0.000114687-0.0359599j 0.000145994+0.00362819j -0.000184835+0.00229736j 0.000761038+0.000757449j -0.000335987+0.0190426j 0.000380476+0.0223826j -8.7485e-05-0.0351688j 0.000120188-0.0153812j 0.000550045-0.0292162j 9.30196e-05+0.0234508j -0.000860489+0.0217862j -0.000277148-0.0551649j -0.000681811-0.0171451j -0.000354387-0.0360669j 0.000707895+0.0460145j -0.000446263+0.0413712j -0.00123865-0.0423198j 0.00058514+0.0755991j -0.000439766+0.000972121j -0.000148927+0.0838895j -0.000249958-0.0443332j -0.000410523-0.0705657j -0.00133551+0.0264605j 0.00191902-0.0234686j -0.00012577+0.0237302j 5.15031e-05-0.0206788j 4.34902e-05-0.00928885j -0.000559734-0.0704783j -0.000320894-0.0448749j -0.000324409-0.00127317j 1.90907e-05-0.0034247j 0.000151835+0.00684171j 0.000119628+0.00588776j -0.000130411-0.0183606j 3.01633e-05+0.0195117j 0.000122011-0.0025831j -0.00015936+0.000205918j 0.00019356+0.000176562j -5.08466e-06-0.00904095j -0.00022189-0.0160561j -0.000409973-0.0250059j -0.00108316+0.0333039j 0.000138041-0.00982182j 0.000495275-0.00578327j -0.000207875+0.064231j 0.000138469-0.012586j -0.000492979+0.046139j -0.000698436-0.00344311j 3.98197e-05+0.00498624j -0.000278307+0.00779762j 0.000161698+0.043768j 0.000297402+0.0241892j -3.36743e-05-0.00897028j -0.000130475-0.0438462j -0.000101385+0.0356192j -8.86281e-05-0.0195257j 2.48673e-05-0.0194196j -9.19722e-05-0.0165765j 
4.23357e-05+0.00645596j 0.00040707+0.000682748j 0.00373284+0.0548501j -0.00349623+0.0716164j -0.000600401+0.0107878j 0.0029148-0.0172448j 0.00122684+0.0678253j 0.00496615+0.19958j 0.00232748+0.446846j -0.00276787+0.380898j 0.00087957-0.26194j 0.00559145-0.138823j -3.59548e-05+0.0558835j -0.00742386-0.316491j 0.000254957+0.326575j 0.00132093-0.241336j 0.000684842-0.22193j 0.00675962-0.217323j 0.000944402-0.0281544j -0.00620409+0.0717042j 0.00181762-0.0143264j -0.000194652+0.0236948j 0.00258832+0.0595233j -7.05223e-05+1.35319e-07j -0.000872378+0.0696516j 1.3868e-06-0.0466797j 0.000100002+0.0329554j 0.000268846-0.0429472j 0.000219223+0.0725341j 0.000257327-0.016958j -0.00161716-0.0483238j 0.001265+0.0417364j 0.000254834-0.00891134j -7.65919e-05+0.0143544j -0.000362146-0.0391625j 0.000283051-0.0679139j 5.35354e-05-0.0138726j -9.73404e-05-0.0166259j 0.000432871-0.00446172j 0.000143828+0.0271074j -0.000377139+0.0559637j 0.00059794-0.0752235j 1.38423e-05+0.0225329j -0.000302045+0.0177809j -5.47598e-05-0.0116325j -3.42956e-06+0.0228795j 0.000524774-0.000820333j 0.000157281-0.0110025j -0.000114117-0.0676005j 0.000251056+0.0464058j -0.000436438-0.0562759j 0.000704592-0.0536304j 0.000610808-0.00586855j 0.000644446-0.00911504j -0.000179921+0.0290543j 0.000139396+0.0377388j 0.00032819-0.0382541j 0.000208056-0.0145985j -5.12022e-06-0.0506975j 0.000383132+0.00273861j -4.10635e-05+0.000261129j -1.85189e-05-0.0137697j -0.000212035-0.0189687j -0.000393768+0.00148698j 0.000239024-0.00514376j 0.000241813+0.0183517j 2.98429e-05-0.00127589j 0.00014134+0.0302373j -0.000199116-0.0153846j -0.000255515+0.00154966j -0.000250963-0.00837578j -1.74383e-05-0.00125637j -0.000374488+0.0344558j -0.000191745-0.0109225j -0.000108133+0.0429007j -0.000266974+0.00101997j 0.000106077-0.0120241j 0.000430048-0.0176386j -0.000143299+0.0173029j 0.000162949-0.00110014j -2.77868e-05+0.00410017j -0.000677573-0.0062559j -6.8056e-05-0.00286771j -0.000207985+0.00570788j -7.00599e-05+0.0140388j 5.80217e-05+0.00563817j 1.5559e-05+0.0117587j -0.000152254-0.0280629j 2.87332e-05+0.0149959j -0.000160959+0.00766537j 0.000100951+0.00486247j -7.3006e-05-0.0010306j 
0.00321492+0.130787j -0.00240727+0.118341j 0.00423892-0.00206848j 0.00131753+6.43482e-06j 0.000600779+0.0195088j 0.00203632-0.248101j -0.00108906-0.606009j -0.00252218+0.263493j -0.00364235-0.134879j 0.000309895-0.0484151j -0.000968595+0.0587913j -0.00394892-0.282433j -0.000554933-0.296106j 0.00527831-0.24287j 0.00454911-0.0102565j -0.000722848-0.0874348j -0.00224711+0.0664993j -0.000862269+0.0311944j -0.00424291-0.0411871j 0.00520137+0.0126321j 0.00417481-0.126109j -0.000486806-0.00838921j -0.00125674-0.022552j -0.000611081-0.162112j 9.97199e-05-0.0254533j 3.48303e-05-0.102781j -0.0011186+0.000776161j 0.000780294+0.119317j -0.000168212+0.0311084j -0.000191391+0.0594998j 0.000988296-0.0214013j -0.00129696-0.078238j -0.000356051+0.0300613j -0.000428556+0.0363408j -0.000544799-0.012895j 0.000135568+0.0188371j -0.000189277-0.00463896j 0.000825702+0.0399613j -0.00106966-0.0169801j 0.000277548-0.0321378j 9.3855e-05+0.0234874j -0.00065881-0.0301268j 0.000466116+0.0370683j 0.000620996-0.0104416j -0.000103015+0.0600596j 0.000236276-0.0489658j -0.000253974-0.0400827j -0.000543449-0.0372845j 0.000838144+0.00488773j -0.000694351-0.0114518j -0.000169196+0.0739779j -0.000423284+0.0436315j -0.000339186-0.0697408j 0.000118125+0.0466201j -0.000573907+0.0246618j 0.000181874-0.0453485j -0.00160466+0.0504682j 0.00180049-0.02621j 0.000574965+0.0222358j 0.00037611+0.00945013j 9.95568e-05-0.0134481j -0.000367449-0.0369489j -2.51771e-05-0.0128739j -7.4128e-05+0.00274849j -0.000252487+0.00409044j -1.56653e-05-0.0148776j 0.00011602-0.00479844j -0.000107971+0.00733408j 3.85963e-05+0.00701698j 0.000268153+0.00165155j 6.64668e-05-0.0362292j 8.67891e-05-0.00137144j 0.000162541+0.00617442j -1.42172e-05-0.0100373j -0.000343103-0.013586j -0.00046527+0.0209859j 0.000203666-0.0122884j -0.000148548-0.000972576j 0.000244422+0.0387048j 0.000331799+0.00307014j -0.000239229+0.00923011j -0.000244949+0.0224462j 6.58986e-05-0.00912519j -0.000290384+0.0265442j 5.14209e-05+0.0168088j 5.67599e-06+0.000569497j -5.89818e-05-0.00934399j -0.000104193-0.000334616j 4.1381e-05+0.00981288j 5.88804e-05+0.00570832j 6.09595e-05-0.0172665j -2.98707e-05+0.00300309j 
0.00079794+0.154317j -0.00285787-0.0778948j -0.000503948-0.0399743j -0.000136239-0.0145213j -0.00102009-0.197606j 0.000209639-0.0524293j 0.000368624+0.0335539j 0.00155291+0.106111j -0.000899776-0.0125081j -0.000445809-0.00611806j 0.000664474+0.0224997j 9.50499e-05+0.0259523j 8.83532e-05+0.0280315j 0.0005419+0.0016495j -0.000445153-0.0046289j 0.000180455-0.0213283j -8.43198e-05-0.0162052j -0.00223134+0.0597519j 0.00012169-0.0955054j -0.00441006+0.0397877j 0.00260399-0.0212187j 0.00140013-0.0143158j -0.000681115-0.121013j 0.000253851-0.0620323j -0.00100249-0.0258842j 0.000226583+0.0389335j 0.00104799+0.0534971j -0.00214938-0.117249j -0.000527926+0.0792961j -0.000548363+0.0842846j -0.00115623+0.118341j 0.00152703+0.00413441j 0.00120277+0.0682175j -0.00158718+0.00794946j 0.00120236+0.034186j -0.00320604+0.0206161j 0.000234981+0.028719j 0.00093491-0.00538173j -0.0013641+0.023761j -0.000881837+0.00392379j -0.000629574-0.00494798j 0.000271621+0.00146847j 0.00149115-0.084301j 0.000623465-0.00646236j -0.00441534+0.054814j 0.00172114-0.0443287j -0.000962525+0.00797581j -0.0032259+0.0356528j -0.0012245+0.0613673j 0.00232517-0.00130287j -6.92194e-05+0.0472269j -0.00120465-0.0085859j -0.00183841+0.0112555j -0.00677442+0.0518091j -0.00331043+0.0957553j -0.0099768+0.113422j 0.00940457+0.113023j -0.00619901+0.269028j -0.00924387-0.0542267j -0.00390472-0.309196j 0.00783628+0.19551j -0.00167345-0.0618278j -0.00287754-0.0768133j 0.000667476-0.0360879j 0.00202196+0.0594798j -0.00197617+0.0394783j -0.00011333-0.00962642j 0.000404362-0.0320154j -0.00269546+0.0646571j 0.000630939+0.0112864j -0.00278614+0.085564j 0.000361524-0.00929584j -0.00122783+0.0856986j -0.00134033-0.00395604j 0.000843111+0.129369j -0.00212182+0.000897122j -0.00151303+0.0531611j 0.00376668+0.0894468j -0.00536194+0.0853413j -0.00561024-0.0795914j 0.00123304-0.0548958j -0.00494875-0.248679j -0.00181177+0.0584541j 0.00315075-0.303749j 0.000910476+0.0264357j 0.0026142-0.0456642j 0.000539135+0.00686393j 0.000831465-0.25597j -0.000966763+0.00502111j -0.00321952-0.148447j -0.00108416+0.281709j -0.000623583-0.164228j 
-0.00118358+0.0379338j -0.000883246-0.0703838j 0.000242419+0.0109238j 0.000950199+0.0234195j -0.00122969-0.0784639j 0.00274186-0.0522345j 0.000159079-0.0616197j -0.000824907-0.0233988j -0.00106813+0.0349639j -0.00267945-0.076235j -0.000786688+0.046491j -0.00145066+0.0269445j -0.000559598-0.0340453j -0.000601967+0.0527732j 0.00493806-0.0107411j -0.00151251-0.00741437j -0.00233703+0.0831524j 0.000333816-0.0907584j 0.00152851+0.0510676j -0.00776688+0.0137078j -0.00114745+0.0152174j -0.000444505-0.200415j 0.000497307-0.0354948j 0.00330833-0.00545664j -0.00134071-0.0157515j -0.00220016-0.0586821j 0.00275031-0.140251j -0.00411989+0.0851289j 6.17706e-05-0.0245022j 0.00134748-0.0292939j 0.000419953-0.0512719j 0.00149607+0.0288255j 0.00371682+0.00843642j 0.000616041-0.00112803j -0.000624885-0.0534345j 0.000128403-0.0243215j 0.000578677+0.0278706j -0.000923976+0.024681j 0.00243989-0.0417658j 0.000100458+0.00453191j -0.00161405-0.103875j 0.00127308+0.0171272j -0.00224165+0.0107354j -0.000898961+0.0306885j 0.0021874-0.0544184j 0.000290995+0.00860044j 0.00370544+0.0485537j 0.00671404+0.0589286j -0.00193403-0.103293j -0.000200213+0.186514j 0.000891409+0.130072j -0.00257976-0.022022j -0.000799719-0.0475136j 0.00655765+0.0568546j 0.00568793-0.0695907j -0.00114232+0.373718j 0.00707989-0.203037j -0.00877817-0.0607359j -0.00274814-0.576089j 0.000671659-0.00976747j -0.002354-0.0287158j 0.001249+0.0807065j 0.000444869+0.0444086j 0.000231502+0.0418199j 6.49077e-05-0.00121658j 0.000697708+0.00397532j -0.000662226-0.0130036j -0.000211719+0.0165589j 0.00109221+0.0221817j 0.000207568+0.0419835j 0.00068462+0.00295988j -0.000417205+0.0129046j 9.63819e-05-0.00824485j -0.000944527-0.00958046j 0.00237083+0.212844j 0.000873891-0.0156389j -0.00162235-0.110211j 0.000500829-0.0944237j -0.00112701-0.0874486j -0.000441074-0.00564722j -0.000973929-0.111392j 0.00221128-0.134115j -4.78363e-05-0.0407962j 0.000700835+0.0707247j 0.000536746+0.0220025j 3.32182e-05+0.0932855j 0.000309166+0.0267381j 0.000438965+0.0245316j -0.000224357-0.0306936j 0.000563041-0.0689727j -0.000309346-0.0886247j 0.000270108+0.0183126j 
4.37775e-05-0.0433222j 0.000683827-0.0273566j 0.00218469+0.0241215j 0.00225407+0.0255943j 0.000931284-0.0181277j 0.0017988-0.0109013j 0.000913994-0.0104715j 6.71447e-05-0.0328396j -0.00520109+0.0539998j -0.00160851-0.0485346j -0.00205487-0.0411616j -0.00253149-0.0098783j 0.000684781-0.0645831j 0.00176456-0.0622861j 0.00513777+0.0254191j -0.00349297+0.0298142j -0.00318448-0.0231762j -0.000813689+0.0628642j 0.00532612+0.105062j -0.00776642+0.00705953j -0.00349905+0.0437375j 0.000571675+0.0513587j -0.000599426-0.0462162j -0.00331138-0.00814765j -0.00282701+0.0069216j 0.00282133-0.040927j -0.000730076-0.078451j 0.00218869+0.0225898j 0.0032235+0.0107705j 5.26901e-05-0.0610693j 0.0022692+0.0565411j -0.000517672-0.0387199j 0.000281526-0.0517199j 0.000637044-0.0154669j -0.000550526+0.0671269j -0.00136991-0.102481j 0.00217966+0.0095966j 0.00295872-0.0352612j -0.000433522-0.0141224j 0.00126962+0.0662455j -0.00238068+0.0995842j 0.00231301-0.0768216j 1.73512e-05+0.00980494j 0.000243192+0.0988847j -0.00446834-0.155118j -0.00219857-0.104826j 0.00329627-0.0226137j -0.00086128-0.0716457j -0.0019472+0.408494j 0.00127935-0.155534j 0.00160896-0.078753j -0.00239318+0.047507j 0.00319998+0.130426j 0.00052895-0.100947j -0.00530917-0.0135358j 0.00080017+0.48961j 0.000390033+0.371153j 0.00138666-0.259703j 0.00349796+0.0381516j 6.74844e-05+0.0478427j 0.00146435+0.00913628j 4.82172e-05-0.0455862j -0.000754184+0.0262255j 0.00105645+0.0632866j -0.000259497+0.00336181j -0.00111529-0.0125995j -0.000386589-0.0215002j -0.000715218+0.014374j -0.00061338-0.0563904j -0.000595379-0.0541559j 0.000727542+0.0112715j -0.00100865-0.0324371j -0.000635119-0.0741696j 0.000131834-0.0628633j -0.000127627-0.0138319j 0.00132053+0.130177j -0.000337883+0.0119243j -0.000789326+0.0663803j -0.000580196-0.103948j -0.00147477+0.0655432j 0.00150743-0.0728155j 0.000447443+0.0198112j -8.59903e-05-0.0194655j 0.00100245-0.00461513j 3.87092e-05-0.00861497j 0.00024008-0.0415186j 4.89516e-05+0.0338654j 0.000546636+0.0347506j -0.000370966-0.0505089j -0.000335881-0.0605625j -0.000306559+0.0360722j -1.60085e-05-0.0348881j 
0.00155039-0.0177422j 0.000910807+0.0311906j -0.000547877-0.0202801j -0.00134934-0.0334972j 6.41764e-05+0.034148j -0.00504871+0.0499426j 0.00129416+0.076762j -0.000272515+0.0476578j 0.00281771-0.114606j 0.00531497+0.00447252j -0.00214447-0.00181816j -0.000709546+0.013098j 0.0018318-0.00347975j 0.000127825-0.0479775j -0.00689424+0.00613402j 0.00148567-0.00701825j 0.0017257-0.0339487j 0.0124844+0.0231278j -0.00060745-0.0316525j 0.0108449+0.0412956j 0.00150226+0.0337647j -0.00084261+0.101318j 0.000314002-0.0851594j -4.04161e-05+0.088994j 0.00132763+0.185288j -0.0023676-0.00158739j -0.000372516+0.210935j 0.00429783-0.0574442j 0.000480984+0.0628706j -0.00325406+0.0752966j -0.000719767-0.0543285j -0.000550354-0.0461899j 5.61217e-05-0.0143951j -0.00202029-0.0235147j -0.000374314+0.0296143j -0.00225788+0.0287717j -0.00101679-0.0331542j 0.00117549+0.0329037j 0.00165363+0.00119119j 0.000151195-0.0246254j -0.00173928-0.0383322j 0.00174145+0.0636669j 0.00311008+0.112121j 0.000702889+0.0878919j -0.00072178+0.0230516j -0.000885976-0.0282438j 0.00311096-0.171247j 0.00309085+0.0683617j 0.00155412-0.0987372j -0.000483286-0.0789141j -0.00148129-0.142161j -0.00292718+0.20289j -0.00480131-0.180657j 0.00126912+0.406561j 0.00146543-0.486497j 0.00105122+0.17111j -0.000851485+0.0217645j 0.0029774-0.129001j 0.0011353-0.0589342j 0.000862489-0.0669174j -7.81883e-05+0.0307287j -0.00119189-0.129044j 4.60125e-05-0.0247931j 1.76301e-05+0.0156402j -0.00163622-0.0999367j 0.00112024+0.0479515j 0.000552096+0.00806636j 0.000231608+0.00464622j 0.000713794+0.097982j 0.000956562+0.0487602j -6.80911e-05-0.0225537j 0.000386432+0.0131203j 0.000362066-0.00300625j -0.00165779-0.0432283j -0.00133683-0.0114676j -0.00161216+0.0480625j 0.000546901+0.0326439j 0.000700372-0.030831j 0.00141101+0.0755213j -0.000192097+0.0274154j -0.00128784+0.179833j -0.00137918+0.0577256j 0.000324305-0.0228232j -0.000715148-0.0145688j -9.52954e-05+0.0946781j 0.000638354+0.0010678j -0.000275012-0.0358891j -0.000506019-0.0139478j -4.16184e-05+0.0904241j -0.000150313+0.0320396j 0.000180042+0.0254601j -0.000158257-0.0379733j 
-0.00091408+0.0181402j -0.00024534-0.0138441j -0.000272282+0.00485057j -0.000606611+0.00953436j 1.18969e-05-0.0343117j 0.00272118-0.0223072j -0.00447421-0.0791845j 0.00512173+0.0374368j 0.000665283+0.0172686j 0.000289525+0.0137966j 0.000957502+0.0243012j 0.00134919+0.0217161j 0.00690183-0.0592426j 0.00210802+0.0280098j -0.00270941+0.0393861j 0.00102418+0.0183798j 0.00281062-0.0915738j -0.00799155+0.00649523j 0.00257831-0.0383802j -0.00249117+0.00367936j 0.00549318-0.0408651j 0.00176579-0.0213781j 1.96603e-05+0.0363156j 2.93103e-05+0.104373j 0.00141123-0.108999j -0.000661746-0.0885447j 0.000881312+0.00176354j 0.00120007-0.112737j -0.000158232+0.0688631j -0.00014356+0.063123j 0.00186405+0.11609j -0.00074858+0.0657556j -0.00111969+0.0955722j -0.00128935-0.0972207j 0.00087954+0.113817j 0.000783044-0.139478j -0.000982136-0.005042j 0.000583855+0.0737192j 0.00134852+0.0649866j -0.000298016-0.102042j 0.00112706+0.0755862j 0.000864686+0.0933569j 0.00125567+0.138372j -0.000522113-0.146248j 0.00219863+0.303333j -0.000396352-0.109008j -0.000854955+0.0668687j 0.000535622+0.32614j -0.00152981+0.207345j -0.00155148+0.166778j -0.00360917-0.125087j -0.00251172+0.00876764j -0.000804782+0.162604j -0.000812015-0.316174j 0.00052517-0.372356j 0.00100218-0.0235501j 0.000394435-0.174498j 0.000647838-0.0753983j -0.00123092+0.00735938j -0.000313941-0.00946673j -0.000212661-0.116159j -0.000195085+0.0497952j -0.00033041-0.0061549j 0.000147267+0.0368938j 0.000469187-0.00787663j -0.000773892-0.0112466j 0.000139708+0.0111567j -0.000307498-0.012313j 0.000189052+0.0304774j 0.000422819-0.00399019j 0.000643379-0.00581325j 0.000225522+0.0244448j 0.000573451-0.0800415j 0.00128671+0.108037j 0.000212541-0.106983j -7.97588e-05-0.051156j -0.000884466+0.00184176j 0.000845465-0.000976068j -0.00160756-0.0642263j -0.000435069-0.0484928j 7.23002e-05+0.002605j 0.000481132-0.0478449j 0.000274725+0.0807763j 0.00070526-0.0620039j 0.000505638-0.031593j 0.000347822+0.0273888j 0.000285654+0.00566456j 0.000485676-0.0187482j -0.00035429+0.00449893j -9.83038e-05-0.0536009j -0.000329663+0.0137171j 1.79845e-05-0.0366643j 
