-0.0815081-0.174968j 0.0254168-0.380368j -0.307554+0.256362j -0.0859504+0.147071j -0.0828217-0.0995979j -0.176653+0.0154162j 0.028546-0.0453356j -0.334785+0.0864376j -0.231146+0.0661773j -0.00473859+0.946536j 0.440359+0.416988j 1.44782+0.439684j -1.40008+1.20275j -0.424833+1.44176j 1.97927+0.226899j 0.175834-0.251801j -0.455944+0.281155j -0.716942-0.158173j -0.271371+0.094195j 0.15888+0.370163j -0.556747-0.396676j -0.0126942+0.0112663j 0.17231-0.277634j 0.0770179-0.0163105j -0.399913-0.283741j -0.672362+0.325779j 0.21084+0.0730071j -0.268662-0.503612j 0.137883-0.249994j -1.15522-1.57633j 2.1159-0.665241j 0.940601-0.320106j -0.0559917+1.72508j 0.0781236-0.0674762j 0.0345-1.02488j -3.56587-0.0385951j 1.32498-2.45131j 0.069011-0.0949411j -0.128494-0.118592j 0.390491-0.0614115j 0.00912626+0.334275j -0.0398485-0.606362j 0.402175+0.104457j -0.539243+0.0995068j -0.300242-0.266379j -0.0203039+0.339737j 0.212524-0.185174j -0.0435302+0.466205j -0.511864+0.789342j -0.182429-0.106133j 0.488146+0.658584j -0.479168-0.50025j -0.360652+0.0549758j -0.398495+0.180313j -0.530538+0.237421j -0.243996-0.311518j 0.0458313+0.284812j 0.0939642+0.166806j -0.292134+0.995534j 0.157681-0.690496j 0.411622+0.0400519j -0.564665-0.684602j 0.171627+0.140795j 0.475909+0.544581j 0.113907+0.0304595j 0.20878-0.00883832j 1.15896+0.0741453j 0.135232-0.106639j -0.383269+0.556532j 0.72886-1.27422j -0.713523-0.78472j 0.679049-0.565849j 0.388479+1.15465j -0.205978-0.445367j -0.470377-0.824762j -1.2186+0.335592j -0.814861-0.947039j -0.809072-0.020062j 0.371188+0.0161595j -1.48495+0.134804j 0.0385202-1.03527j -0.552652+1.29933j 0.736399-1.34904j -0.192484-0.503017j 1.05192+0.461815j -0.774427-0.447743j 0.477936-0.591876j -1.12342-0.287707j 1.15832+0.973289j 0.415503+0.444915j -2.22355-0.623094j 1.44457+1.78997j 2.861-3.00157j 0.151992+0.0923062j -1.90358-1.95458j 
0.459026+0.057707j 0.344879+0.119028j -0.265758+0.234983j -0.163191+0.604929j -0.490017+0.119722j -1.1584+0.0360157j -0.0978103-0.449599j 0.468407-1.11822j -0.267766-0.502688j -0.289636-0.990308j 1.33839+0.00272839j -0.276955-0.920999j 0.474724+0.828745j -1.07179+0.390737j -0.400073+2.20177j 0.298566+0.718468j -0.0644905-0.654973j -0.0698406-0.45813j -0.498929+0.156435j 0.564076+0.385409j -0.61417-1.19898j -0.0350859+0.232255j 0.125614-0.863955j -1.17772+0.524547j 0.693095-1.22405j -0.0387453-2.05851j 0.159925-0.407273j -0.465075+0.954362j 0.0371914-0.661164j -0.986532+0.13533j -1.24261-0.589127j 0.25251-1.79648j 0.774079+0.530116j 0.168706+1.94095j -0.88108-0.376931j 0.991552-1.50826j 2.27383+0.723506j -0.198073+0.311992j 0.207827+0.139105j -0.467354+0.302094j -0.117004-0.29105j 0.694172+0.241496j -0.320066+0.42719j 0.0108066+0.0768928j 0.270324-0.405088j 0.158699+0.205183j 0.0540399+0.066229j -0.157181+0.0830602j -1.39684+0.0674761j -0.0410685-0.0636448j -0.391183+1.18368j -0.391097+0.224471j -0.115796+0.206221j 0.43118+0.535343j -0.976805-0.352218j -1.26461-1.36222j 0.163848+0.186784j -0.455922+0.387921j -1.21748+0.963633j -0.0322873+0.0285395j 1.94968-0.567375j 0.227814-1.78418j 0.5161-0.357054j -0.766858+0.175376j -0.104362+0.335527j -0.409489+0.854723j 0.822921+0.322546j 0.326541+0.459075j 0.892197-0.157125j 0.553748-0.753264j -0.369545+0.530148j 0.669118+0.0884141j 0.217483-0.66899j -0.778466+0.449426j -0.961015+0.0829582j 0.338785+0.553281j 1.16485-0.507498j -0.343835+1.51656j 0.178411+0.0437294j 0.174088+0.803922j -0.479033-0.0405292j 0.928924+0.276418j -0.169119-0.388819j -1.0434+1.85629j 0.484684-0.976841j 0.0952122+0.229711j -1.12421-0.588114j 1.92517+1.78232j 0.676792+0.0168211j 0.508717-1.32358j -0.558284+0.899233j -1.26894+0.423494j 0.403011+1.13418j 1.24385+0.0216427j 0.970674-1.70019j 
-0.161601+0.463883j 0.531326+0.261692j -0.539529-0.480086j -0.649836+0.0664768j -0.582814+0.0121509j 0.368746+0.491827j -1.73415-0.0917447j 0.316531+0.582962j -0.732528-0.0221291j -0.539616+0.111727j 0.0353155-0.0751262j 0.0766094-1.76982j -1.22383-1.16739j 0.851206-0.0741194j -0.365507+0.122613j -0.884355+0.153565j 0.0473204-0.603032j 0.24959-0.892989j -0.557883-0.319465j 0.00389352+1.0598j 0.710994+0.564948j -0.0836383+0.543833j -1.83803-1.80868j 0.10003-0.151633j 0.0701979-1.08675j -0.126815+0.638827j 0.384321-1.09255j 0.463119-0.320819j 0.705109-1.28761j -1.1729+0.976852j 0.411364+1.72725j -2.18465-0.117996j -1.50822-0.265234j -2.82243-1.70524j 1.31824-0.103563j -1.05912+1.21598j 0.627421+0.60341j -0.189724-0.659871j -0.457704+0.00389462j -0.206999-0.227386j 0.117146-0.185052j 0.824994+0.0876322j -0.366952+0.484852j -1.12337-0.404553j 1.36089-0.814093j -0.417504+0.805479j 0.219477+0.917672j -0.0452923+0.781109j -0.4033-0.71252j -0.176638+0.054932j -0.670387+0.191357j -1.34202+1.47671j 0.446085+1.24153j 0.853985+1.69787j -1.05825-0.25113j -0.152449-0.65111j 0.362369+0.242625j -1.07574+0.866326j 0.398615-0.0286886j -0.716999-0.458628j 0.567655+0.0788715j -0.0404318+0.51562j 0.518226-0.543852j 0.417916-0.309422j 0.144387-0.383823j 0.312015-0.126298j 0.807278-0.27886j -0.121506-0.363028j 0.119491+0.265151j 0.0935827-1.01431j 0.958853+0.401401j -1.08353-0.118606j 0.412737+0.0934065j 0.250312+1.84628j 0.619478-0.0231782j 0.930885-1.57796j -0.0520917+0.971731j 1.62223+0.21862j 1.15956+1.02072j 0.379602-1.09126j -0.194749-0.757994j -0.226053-1.01257j 0.891717-0.795979j -0.141421-1.49199j 0.40941-0.601073j -2.20588-1.19588j -0.70495+0.211658j -2.13974+0.490144j -0.823374-0.361158j -0.0764602-0.768003j -0.536514-1.36644j 1.02795-0.914638j 0.0904274-1.07115j 0.690555+0.99477j 0.507024-0.830412j 
-0.121741+0.370794j 0.423658+0.339739j 0.0784427-0.937448j -0.914671-0.707271j 0.275377+0.331929j 0.436828-0.680763j 0.271344+0.947382j -1.68222-0.24312j 0.205333-0.205114j -1.04209-0.572813j 1.25937+0.128665j -0.564623-0.624057j -0.0476539+1.99657j 1.46302+0.568718j -0.560199-0.0471782j -0.765042+0.0430759j 0.259951-0.389j 0.983099-0.462996j -0.142028-1.52793j -0.196245-0.633656j 1.75051+0.0556608j 0.759944-0.243413j -0.569399+0.905869j 0.554228+0.892841j 0.0355977-0.802606j -1.30741-0.332338j -1.94483-0.447242j 1.08022+0.668212j 1.19055+0.384186j -0.668735-1.45465j -1.5394-1.39018j -0.165313-1.25309j -0.659821+1.96304j -0.0028812-0.0282728j -1.97618-1.62095j -0.80158+1.41109j -0.0509986+0.847775j -0.172375-0.494288j -0.310134+0.0220665j -0.155651-0.312041j 0.106053-0.213684j -0.318085+0.720361j -0.51533-0.303504j 1.25412-0.29577j 1.16045-0.635998j 0.229713-0.91607j 0.290483+1.3256j -0.593444-0.904491j -0.288453-1.48493j 0.94596-0.164562j -1.07549-0.123842j 0.915873+0.855948j 0.740249+0.26638j 0.854359-1.12226j -0.0529836+0.0341817j 0.0762813-0.537954j -0.653569-0.297595j 0.372819+0.282304j -0.234592+0.611134j 0.446261+0.937256j -0.0281166+0.660463j -0.215153-0.431877j -1.20816-0.831073j -0.554174+0.63082j 1.07538+1.08797j 0.283413+0.338366j 1.16517+0.338916j 1.49082-0.576015j -0.464491-1.26752j 0.756886-1.04172j -0.203518+0.432638j -0.376477-1.71851j -1.4305+0.128976j 0.419184-1.7848j -1.12834+0.245307j 0.567082+0.67114j -1.88484-0.168295j -1.17217+0.0326544j -1.05516-1.4637j 0.12+0.577316j 0.63541-0.141385j 0.176522+0.403423j 0.560983+0.365301j -0.132175+1.03021j -0.0223465+0.394009j 0.513505-0.628823j 1.05319-1.19124j 0.793487+0.286085j 1.03027+1.62102j 0.75787+0.523662j -2.02892+0.767736j -0.219721-0.148981j -0.367486-0.946603j 0.114492+0.986933j 0.498428+0.162548j 
0.182783+0.00445775j -0.00898047-0.312349j 0.257225-0.143679j -0.10479-0.445098j 0.541403+0.763151j 0.168247-0.153666j 0.317126-0.00147909j 0.470472-0.167052j -1.47959-2.30464j 0.952044+0.568165j -1.47902-1.42329j -0.685503-0.410507j -1.35096+0.839833j -0.188445-0.221842j -0.0704216-0.174151j 0.105912+0.276989j -0.362492+0.292089j 0.0794164+0.174935j 0.737123-0.777775j 0.512678-1.04392j 0.662797-0.273756j 0.289259+0.0845593j 0.309448+0.305135j -0.990054+0.108865j -0.124198-1.95639j -0.3213+1.11995j 2.04036+1.63591j -1.98419-0.187813j 1.56857+0.559467j 1.70085+1.6024j 1.77178+0.0304646j -1.95569-3.26684j 0.317384-0.106306j -0.196291+0.507569j -0.0340622-1.06598j 0.444603+0.0628796j -0.230113-0.108132j -0.332023+0.08479j 0.0122989+0.2269j 0.425+0.247006j -0.271324+0.152537j -0.685208-0.442979j 0.467918-0.303233j 1.01439+0.947388j 0.275833-0.00970021j 0.982-0.515894j -0.288618+0.20838j 0.128299-0.576159j -0.466225-0.893698j 0.266125+0.221021j -0.768717+0.119769j 0.812357-0.344615j 0.0246536-0.482584j -0.102876-0.560095j -0.275717+0.110531j -0.445651-0.480695j -0.0720876+0.00416367j -0.0925035-0.0205146j 0.693426+0.472149j 0.481615-2.27334j 0.72542-0.46057j -0.602437+0.312659j 0.531597+2.5183j 1.70062-0.140625j -1.36998-0.273347j -1.37699-1.5873j -0.0796861+0.658636j -0.909897+0.993046j -0.354937-1.53251j 0.953816+0.78355j 0.473312-0.609238j -0.517632-0.362289j -1.78025+0.346653j 0.306092+1.69264j -1.33842+1.76487j -0.734292-0.79815j -0.326726+0.48692j 1.82778+1.70387j 0.459636-1.57155j 0.707528+0.0260513j -0.504464-2.5191j -0.479299-0.10977j -0.10347+1.41696j 0.216518-0.440452j 3.30383-0.303969j -0.0468442+0.710775j 1.29241+0.532507j 0.0311235-0.15283j -0.0976502+0.654109j -0.337624+0.325998j -0.513541+0.0675551j -0.506329-0.0753668j -0.143994+0.181486j -0.132617-0.241796j -0.239645+0.268498j 
0.658028-0.0521474j 0.187133-1.15942j 0.729684-0.00491092j -0.787162-0.285303j 0.222299+0.859632j 0.552346+0.752236j 0.496388-0.966069j 0.920116+0.0341806j 0.882292+1.52581j -0.897389+0.591239j 0.332697+1.39768j -0.658751-0.235417j -0.823492+0.0432035j 0.0714293-1.41571j 0.562575-0.444373j 0.55092+1.04057j -1.31675+0.549426j 0.249393+0.11683j 0.277185-0.540432j 1.19618-1.63299j -0.0157891+0.320383j -0.520678-0.712013j -0.557226-0.686731j -1.14288-1.42775j 0.356152+2.80289j -2.23955-0.223354j 0.243925-0.284065j -0.17885+2.09613j 0.96844-2.49803j -0.930195+0.0461797j -0.0420963+0.463271j 0.812514-0.390822j -1.99522-1.09975j -0.190315+0.185464j -0.268924-0.339475j 1.39831+0.404943j -0.0789662-1.06785j -0.982137+0.386075j 0.108292+0.71792j 0.69204+1.10292j -0.902838+0.182153j -0.357059-0.635459j 0.481451-0.0437412j 1.33402+1.20794j -1.29482+0.187598j 1.45558-0.92486j 0.386698-1.04884j 0.244311+0.571261j 0.0438469+0.142523j -0.737055-0.57278j 0.199146-0.33304j 0.00823553+0.856782j 0.86763+0.10193j 0.0815515+1.05708j 1.61248+0.0908901j 0.546253-0.936806j 0.759555+0.227299j 0.537491-1.89845j 0.206761+1.13248j -0.721975+0.0543147j 1.03901+0.924747j -1.538-0.444363j 0.153347-0.893321j 0.537362+0.0732671j 1.56438+0.921841j 0.632511+0.438905j 0.358248+0.116j 1.45144-0.999293j -0.484435+0.145319j 0.249663-0.302163j 1.43455-0.169056j -1.09454+0.315466j -0.0872038+0.582679j 0.211249-1.59448j 0.845634-0.0714843j 0.326238-2.1066j 0.0977451+1.03402j -1.12903-1.11962j -1.38172+0.659049j 0.658119-0.480058j 0.564576+0.0064373j -0.413063-1.27901j -0.13256+0.821439j -0.165535-1.06573j -0.0576514+0.547209j -0.626742-0.490182j 1.29039+0.52967j -1.33483+0.318252j -0.033227+0.845265j -1.4193+1.40261j 0.149417+0.467934j -0.460378-0.144308j -0.390742+0.258441j 0.152415-0.898923j -0.96549+0.026679j 
0.593851-0.296167j 0.923316-0.451745j -0.728836-1.61736j 1.03664-0.599979j -0.00240779+0.203594j -0.546302+0.0676485j 0.588945-1.204j 1.13021-0.25135j 0.185215+0.948893j 0.999316+0.52294j 0.169137-0.990101j 0.880506-1.34716j 0.205007+1.00993j 0.359401-0.17219j 0.276943+0.412284j 0.435259+0.691192j -0.732644-0.90452j 0.864381-2.32189j 0.275635+0.544863j -0.620059-1.32287j -0.94995+0.801228j -1.08443+2.51793j 1.59639+0.564232j 1.10164-0.779675j -0.225611+0.0375502j 1.50518+0.334266j 1.02047+0.159737j 0.175448+1.62926j -0.410249-0.985542j -1.00523-0.0516686j 1.89522-0.94828j 0.980062-0.503582j 0.808243+0.916855j -0.94785-1.62026j -0.943885+0.0647572j 0.423372+0.196223j 0.701401-0.0545991j -0.457046+0.356884j 0.266957+0.344425j -0.514919+1.22242j -0.788432-0.612872j 1.90869+0.352088j -0.764286+1.34118j 0.477141-1.6177j -0.770388-0.00295637j -1.11754-0.938972j -0.772562+0.0201926j 2.31783-0.88089j -0.305903+0.540395j -0.46086+1.99952j 0.302869+0.0771693j -0.356305-1.06272j -0.533733-0.961689j -0.862832+0.506485j -0.812508+1.77067j 2.141+0.321271j 1.19367+0.664561j 1.07673+0.946333j 0.183624+0.162079j 1.61397-0.0717881j -0.929764+1.54159j -0.273329+0.313366j 0.0884424+2.03314j -0.764723+0.289333j -0.943914-0.037659j -1.23457+0.540541j -0.0214569-0.903218j -0.428137+0.969563j -0.0819296-0.635565j -0.664047-0.417026j -0.711853-0.0865094j 0.358285-0.165904j -0.461877-0.015778j 0.43405-0.641792j 0.652911-0.342317j -0.420129+0.790884j -0.538252-0.175209j -0.246564-0.835381j -0.535612+0.0292731j -0.566861-0.695863j 0.175547-0.14813j -1.41162+0.341261j -1.1022-0.301843j 0.271292-1.15519j -0.122511+1.19277j -0.482537+1.82117j -0.514604-0.532755j -1.10573-0.532441j 1.07859-0.309847j 1.05921+0.128673j 0.128352+0.444603j 0.0170516+0.220644j 0.06067-0.134936j 0.338116+0.230957j 0.0815016-0.359645j 
-0.44439-0.0722525j -0.701021+0.313502j -0.267545-0.141425j 0.0561904+0.47651j -1.8174+1.37194j 1.62185-0.563369j 1.60246-2.15242j -0.895257-0.380155j -0.894374+0.0237158j -0.150519-0.038336j 0.383304-0.184823j -0.99387+0.0256607j -0.14527-0.413307j -0.217877+0.471374j -0.346144-0.240621j 0.0413767-0.793914j 0.954307+0.33909j -0.521423+0.0690759j -0.449644+0.634952j 1.26449+0.142398j 2.40902+0.34627j -1.32727+2.59431j 1.52269-1.75074j -1.17221+0.568043j -2.14278+0.78128j -0.594787+0.565205j -2.41544+2.24112j 0.154795+1.12484j -0.0808577-0.773306j 1.49603-0.721953j -0.36694+0.381754j -0.262308-0.277897j 0.343092+0.255689j -0.566754+0.600528j 0.675652+0.166777j -0.597863-0.381575j -0.475097+0.258644j 0.692486+0.0818362j 0.169136-0.414985j -0.0520017-1.14091j 0.812065+0.231571j -0.310119-0.248806j 0.0335242-0.162854j -1.13662+0.370366j 0.410101-0.315917j -0.103442+0.757878j -0.997727-0.191871j 2.6828-0.479355j -0.999045-1.5022j -0.796781+2.16915j -1.58918-0.215125j 0.389042+0.164534j 0.927956-0.694678j -2.37632+1.79038j 1.28683+0.393845j -0.586645+0.0886103j 1.27838+1.78895j 0.410154-1.39038j 1.04801-0.542043j 0.776519+0.0487149j 0.145775-0.701153j -0.316556+0.97098j 0.000776946+0.0995631j -0.701057+1.05545j 1.40081+1.73269j 0.152676+1.30769j 1.81489-0.464967j 2.37332-0.348192j 1.49926-1.46351j -0.220867-2.10036j -0.369888-0.268436j -0.152381+0.475786j -1.10386-1.90191j 0.116649+0.221127j 0.0259829+0.344149j -0.735813-0.137661j 0.706983-0.0613852j 0.19763+0.340962j -0.362006-0.542568j 0.860411-0.57505j -0.0205659-0.315774j -0.384928-0.787843j 0.193077+0.636787j -0.190975+0.379633j 0.423624-0.0478185j -0.0756515+0.0662882j -0.661567-0.0745503j 0.492659+0.49005j -0.471178-0.531342j 0.461666-0.65876j 0.114725-0.696538j 0.231271-0.168435j 0.10193-0.037944j -0.280042+0.126309j 0.18616+0.26819j 
0.65427+0.560427j 0.0970054-0.0799828j -1.12446+1.12535j -0.111376-1.96278j -0.326506+0.398812j -0.476261-0.19983j 1.10894-0.387455j -1.10129+0.344007j 1.58612-0.701047j 0.164853-0.476953j -0.832686+0.369776j 0.688141+0.341854j -0.560641+0.455574j 0.300398-0.254849j 0.259174+0.603928j -0.940288+1.14238j -0.869338-0.23238j -1.61045+0.342202j 2.66801-1.60687j -0.365813+0.642661j -0.0538875-1.78974j -2.53609+1.08823j -0.0786903-0.289289j 1.6854+1.88761j 0.43277+0.273186j 0.100887-0.122605j -1.18873-0.600897j 0.340377+1.50528j -0.827287+1.83775j -0.764263+1.366j 0.313831-0.0725831j -0.465038+0.0453964j -0.144333-1.52146j 0.43476-0.3637j -0.256969-1.01186j 0.381793+0.512969j 0.741028-0.015859j -1.24718-0.993052j -0.873476+0.573626j 0.271154+1.32092j -0.807487-0.197364j -0.496628-1.52948j 1.43183+0.207145j -1.05859+0.847577j 2.23357+0.575772j 0.418001+0.602373j -1.6533+1.11391j -0.245459+1.59058j -1.76506+0.44649j -0.971661+0.0445944j -0.0428519+2.03373j 1.30755-1.18794j 0.327431-1.01499j -1.77061-0.538768j 2.02948-0.892796j -0.095103+1.4721j -0.4064+0.610972j 0.0301131-1.84215j -0.94465-1.65706j -0.2647+0.153672j -1.50561-0.485522j 1.24174-0.203333j 0.390976-0.10169j -0.0381184-0.738071j 0.517488-0.050229j -0.585269+0.0584218j -0.212705+0.0243712j -0.104075-0.321883j 0.889803+0.568235j -0.482653-0.108946j -0.0871794-0.503285j 0.749661+0.196494j 1.25246-0.823311j -1.23948-0.824542j -0.445551+0.355412j -0.702907+0.313491j 0.11252-0.721734j -0.647875+0.736388j -0.883826+0.397506j -0.58891+1.41498j -0.748889-0.304302j 1.16326+0.794449j -0.875955-0.65723j 0.439297-0.999713j 0.798463-0.45446j -0.0861974+0.144964j 0.504691+0.913676j -0.852685-0.619949j -0.292156+0.537969j -1.13071-0.132872j -0.381792+0.217393j -0.292201+0.135588j 0.138772+0.081834j 0.296442-0.0481961j -0.0444284-0.474889j 
0.436374+2.07386j -0.926601-0.392263j 0.744045-0.975069j 0.282589-0.570564j 1.37528-0.255537j -0.533064+1.57385j 0.284935-0.718965j -0.569321-1.378j -0.162232-0.531654j -1.32445+0.400413j -0.43452-0.281925j 0.246196+0.588207j -0.114453-0.0413416j 0.511913-0.38524j -0.676962+0.111159j -2.2761+1.2243j 0.732726+1.17201j 1.54029-0.601605j 0.0949576+2.14662j 0.376413-1.43881j -1.41961+1.33491j 1.19369+1.74167j -0.526596+0.443338j 0.229479+0.71419j -0.535757-1.39293j -0.610283-2.32176j -0.324085-0.426725j 0.809126+0.778706j -1.15293+0.0367195j 1.04776+0.304555j -0.127697+1.73416j -0.0399083-0.0886482j 0.522471-0.292113j 0.757662-0.426193j -0.117646-0.602431j 0.101968+1.0432j -0.219843+0.635557j -1.44389-1.90324j -1.59206+0.702656j -0.550626-0.822043j 0.801441+0.0352767j 1.50949+0.928111j -1.2299+0.806322j 1.97916+1.19215j -2.48669+2.3439j 1.14614-1.09354j -1.21263-2.29383j 0.161394-0.460857j -0.0180011+0.520638j -0.864372+0.190536j 0.0123814+0.0785768j -0.811574-0.0265708j -0.184008-0.121489j 0.373774+1.74546j -0.0837734-0.0675143j -0.450381-0.651753j 1.37021-0.00702746j -0.596895-0.264081j -0.600544+0.873993j -0.298675-0.784642j 1.13001-0.904906j -0.441924-1.12427j 0.855873+0.532873j 0.187668-0.392874j -0.412713+0.245821j -0.838353+0.255304j -0.17443+0.711406j -0.0874289+0.660699j 0.14752+0.320389j 0.698692+0.301063j -0.310276+1.25634j 1.46056+0.962032j 0.229764-0.0157765j -0.412889-0.601634j 0.0756016+0.206966j 1.25956+0.741662j 1.8463-1.17145j -0.526149+0.183267j -0.902598+0.488055j 0.0536128+0.177905j -0.0341064-0.567614j 0.300063-0.732957j -0.510692-0.676004j 0.513532+0.078658j 0.195713+0.115453j -1.24506-0.0818768j -0.119799+0.134723j 0.416485-0.167701j 0.00830802+0.331712j -0.453865-0.254464j -0.460163+0.357159j -0.167684+0.0074722j -0.277684+0.031023j -0.0948212+0.0758958j 0.132749+0.19802j 
-2.00711+0.307519j -0.28901-1.51838j -1.53971-1.01499j -1.37947+0.448288j 0.142549-0.873453j -0.477755-0.540111j 0.306548-0.414389j 0.245611+0.214783j -0.28789-0.260173j -0.744692+0.134161j -0.142001+0.200266j 0.277136+0.370312j -0.652198-0.284252j 0.0569184+0.638882j 0.141732-0.224871j -2.07556-2.34779j -3.69644+0.854098j -0.754167-1.66939j -0.480094-0.323138j -0.541988-1.37281j 1.75469-0.20417j 0.835545-0.340775j 0.312213+2.03656j 0.839747-0.863389j 0.367502+0.268215j 0.870283-0.599488j -0.226286+0.51936j 0.212986+0.752666j 0.508432-0.00901981j 0.548468+0.337829j -0.538935+0.909668j -0.149358+0.144319j 0.00550756-0.390712j 0.607857+0.0873631j 0.908719-0.393692j -0.734328-0.25188j -0.0751335-0.243277j 1.62772-3.16954j -1.73515-2.02543j 3.99388+2.87366j -2.89732+1.88224j 1.06325+0.887847j -0.67548+0.778126j 0.691444-1.35942j 0.972469-0.359899j -0.576711-1.07437j -0.0531845+1.37474j 0.634716+0.288437j -1.29297-0.0518975j -0.221772+0.878689j -0.0575159+0.756877j 0.484906+1.48108j 1.01414-0.14301j 1.88558+0.0594457j 0.330248+0.317006j 0.828743-0.94851j 0.436294-0.770302j -0.0756372+0.0762549j 0.861326+0.588853j -0.776751+0.872288j 0.376583+0.916095j -0.564459+0.895472j -0.286173+0.191209j -0.550208-1.5739j 0.00604911-0.240845j -1.2988-0.299j -0.505985-0.371642j -0.456241-0.11165j 0.434752-0.243879j -0.653145+0.116072j -0.716972+0.420495j 0.0209378+0.118198j 0.0823919-0.658473j 0.0498921-0.268103j -0.113261+0.448805j 0.215965+0.926854j -0.0581798+0.235326j -0.117491-0.0393779j -0.655458-0.400948j 0.41346+0.446212j 0.0593014-0.218828j 0.882493-0.361563j 0.0974406-0.304421j 0.210028+0.163835j 0.193024-0.137638j -0.39494-0.918767j -0.0599297+0.234695j 0.0461267-0.161278j -0.569469-0.0467828j -0.233602-0.254744j 0.0693487-0.533235j 0.0111303-0.0245647j 0.318772+0.0451053j -0.0404071-0.139462j -0.0845063-0.153367j 
