-0.0728251-0j -0.0105114-0j -0.0600399-0j -0.0106137-0j -0.000884471-0j 0.0353345-0j -0.0371245-0j 0.00588908-0j 0.00360631-0j -0.00618741-0j -0.003789-0j 0.000736135-0j -0.000773426-0j 4.33772e-05-0j -4.55746e-05-0j -0.0268169-0j 0.0319116-0j -0.0193575-0j -0.00432757-0j -0.00353344-0j 0.00514971-0j -0.000510008-0j -0.0031238-0j 0.00420472-0j -0.00044168-0j 0.000606899-0j -0.00255057-0j -5.20525e-05-0j 0.00052559-0j -2.37586e-06-0j -0.000368144-0j 6.19413e-05-0j -0.000318822-0j -3.75735e-05-0j 2.82722e-06-0j -1.71499e-06-0j 
0.0735798-0j 0.0106203-0j -0.0582608-0j -0.0102991-0j -0.000858262-0j 0.0371245-0j -0.0374798-0j 0.00618741-0j 0.003789-0j -0.00624663-0j -0.00382527-0j 0.000773426-0j -0.000780829-0j 4.55746e-05-0j -4.60108e-05-0j 0.0270948-0j -0.0322009-0j 0.0172814-0j 0.00437241-0j 0.00357006-0j -0.00519641-0j 0.000515294-0j 0.00278878-0j -0.00424285-0j 0.000446257-0j -0.000612402-0j 0.00227703-0j 5.25919e-05-0j -0.000530356-0j 2.40048e-06-0j 0.000328661-0j -6.2503e-05-0j 0.000284629-0j 3.35438e-05-0j -2.85286e-06-0j 1.53106e-06-0j 
0.00857713-0j -0.117685-0j 0.00707133-0j -0.0587899-0j -0.0149058-0j 0.00432757-0j 0.00437241-0j -0.033921-0j 0.00044168-0j -0.0342725-0j 0.000446257-0j -0.00857041-0j -0.00865923-0j -0.00101535-0j -0.00102587-0j -0.00614098-0j 0.00390835-0j 0.00227987-0j 0.0466067-0j -0.000809146-0j -0.0296622-0j 0.0111021-0j -0.017303-0j 0.00051497-0j 0.00475678-0j -0.00706579-0j 0.000300399-0j 0.00170562-0j -0.00302739-0j 0.000130113-0j -0.00412171-0j -0.00108552-0j -0.00176598-0j -0.000633218-0j -8.28089e-05-0j -4.83052e-05-0j 
-0.0106137-0j 0.145628-0j -0.00017319-0j 0.00143988-0j 0.000365072-0j 0.00514971-0j 0.00519641-0j -0.0403653-0j 0.00052559-0j -0.0407313-0j 0.000530356-0j -0.0101986-0j -0.0102911-0j -0.00120824-0j -0.0012192-0j -0.00390835-0j 9.20518e-05-0j 0.00547487-0j 0.0296622-0j -0.00051497-0j -0.000698623-0j 0.00706579-0j -0.0415513-0j 1.21289e-05-0j 0.00302739-0j -0.000166418-0j 0.000721378-0j 0.00108552-0j -7.13029e-05-0j 8.28089e-05-0j -0.00989787-0j -2.55667e-05-0j -0.00424082-0j -0.00152061-0j -1.95036e-06-0j -0.000116-0j 
0.0061913-0j -0.0849494-0j -0.00990562-0j 0.0823537-0j 0.0208803-0j 0.0031238-0j 0.00278878-0j -0.0244855-0j 0.000318822-0j -0.0218595-0j 0.000284629-0j -0.00618645-0j -0.00552297-0j -0.000732915-0j -0.000654312-0j 0.00227987-0j -0.00547487-0j 0.00628971-0j -0.017303-0j 0.000300399-0j 0.0415513-0j -0.00412171-0j -0.0477355-0j -0.000721378-0j -0.00176598-0j 0.00989787-0j 0.000828742-0j -0.000633218-0j 0.00424082-0j -4.83052e-05-0j -0.011371-0j 0.00152061-0j -0.00487199-0j -0.00174692-0j 0.000116-0j -0.000133265-0j 
-0.499298-0j 0.000757642-0j 0.00432757-0j -0.0727685-0j 6.37511e-05-0j 0.00264842-0j 0.00267586-0j 0.000441403-0j -0.0516931-0j 0.000445977-0j -0.0522288-0j -0.00524832-0j -0.00530271-0j 3.25124e-06-0j 3.28493e-06-0j 0.00193292-0j 0.00239186-0j 0.00139525-0j 0.000311923-0j -0.0242257-0j 0.000385985-0j 3.67605e-05-0j 0.000225158-0j -0.0299778-0j -0.00608827-0j 4.54888e-05-0j -0.0174871-0j -0.000356879-0j -0.00753384-0j 1.71248e-07-0j 2.65351e-05-0j -0.000441615-0j -0.00439474-0j -0.000257609-0j 2.11908e-07-0j 1.23613e-07-0j 
-0.000757642-0j -0.483647-0j -0.00062463-0j 0.0104966-0j -0.124721-0j -0.000382266-0j -0.000386227-0j 0.00605639-0j -3.90149e-05-0j 0.00611915-0j -3.94192e-05-0j -0.0352216-0j -0.0355866-0j -0.012811-0j -0.0129438-0j -0.000278992-0j -0.000345235-0j -0.000201387-0j 0.00427982-0j -3.67605e-05-0j 0.00529601-0j -0.0234663-0j 0.00308934-0j -4.54888e-05-0j 0.000436808-0j -0.0290381-0j -2.65351e-05-0j -0.00734004-0j 0.000540522-0j -0.00112857-0j -0.0169389-0j -0.00908284-0j 0.000315305-0j -0.00529832-0j -0.00139653-0j -0.000814642-0j 
0.582514-0j -0.000883916-0j -9.99288e-05-0j 0.00168031-0j -1.47209e-06-0j -0.00308982-0j 0.00299826-0j -0.00051497-0j 0.0603086-0j 0.00049971-0j -0.0585216-0j 0.00612304-0j -0.0059416-0j -3.79311e-06-0j 3.68071e-06-0j 0.00438457-0j -5.5231e-05-0j 0.00315893-0j 0.000707558-0j -0.054953-0j -8.91286e-06-0j 8.33865e-05-0j 0.000509771-0j 0.000692224-0j -0.0138105-0j -1.05039e-06-0j -0.0395917-0j -0.000809534-0j 0.000173966-0j 3.88454e-07-0j 6.00771e-05-0j 1.01974e-05-0j -0.00994996-0j -0.000583241-0j -4.89322e-09-0j 2.79868e-07-0j 
0.356716-0j -0.000541286-0j -0.00309176-0j 0.0519884-0j -4.5546e-05-0j 0.00553123-0j -0.00191173-0j 0.000921871-0j -0.107961-0j -0.000318621-0j 0.0373141-0j -0.0109611-0j 0.00378844-0j 6.79022e-06-0j -2.34687e-06-0j -0.00138094-0j 0.00499541-0j -0.000996816-0j -0.000222848-0j 0.0173077-0j 0.00080613-0j -2.62629e-05-0j -0.000160861-0j -0.0626087-0j 0.00434967-0j 9.50034e-05-0j 0.0124934-0j 0.000254966-0j -0.0157345-0j -1.22345e-07-0j -1.89576e-05-0j -0.000922313-0j 0.00313976-0j 0.000184044-0j 4.42571e-07-0j -8.83135e-08-0j 
0.000883916-0j 0.564255-0j 1.44235e-05-0j -0.000242379-0j 0.00287997-0j 0.000445977-0j -0.000432762-0j -0.00706579-0j 4.55173e-05-0j 0.00685641-0j -4.41686e-05-0j 0.0410919-0j -0.0398743-0j 0.0149462-0j -0.0145033-0j -0.000632859-0j 7.97191e-06-0j -0.000455953-0j 0.00970824-0j -8.33865e-05-0j -0.000122291-0j -0.0532304-0j 0.00699445-0j 1.05039e-06-0j 0.000990843-0j 0.000670525-0j -6.00771e-05-0j -0.01665-0j -1.24813e-05-0j -0.00256001-0j -0.0383507-0j 0.000209734-0j 0.000713868-0j -0.0119957-0j 3.22476e-05-0j -0.0018444-0j 
0.000541286-0j 0.345534-0j 0.000446257-0j -0.00749911-0j 0.0891052-0j -0.000798364-0j 0.000275934-0j 0.0126488-0j -8.14826e-05-0j -0.00437173-0j 2.81624e-05-0j -0.0735604-0j 0.0254243-0j -0.0267558-0j 0.00924748-0j 0.000199322-0j -0.000721025-0j 0.000143878-0j -0.00305765-0j 2.62629e-05-0j 0.0110607-0j 0.0167652-0j -0.00220713-0j -9.50034e-05-0j -0.000312071-0j -0.0606462-0j 1.89576e-05-0j 0.00524398-0j 0.00112888-0j 0.000806287-0j 0.0121017-0j -0.0189695-0j -0.000225264-0j 0.00378531-0j -0.00291666-0j 0.000582009-0j 
