-0.00366899-0j -0.000566137-0j -0.000432395-0j -6.24108e-05-0j -0.000386745-0j 0.101669-0j -6.83676e-05-0j -5.6973e-06-0j 0.0119506-0j 0.00731823-0j -3.60329e-05-0j 0.00149383-0j -5.2009e-06-0j 8.80246e-05-0j -6.36977e-06-0j -1.59244e-06-0j -7.50685e-07-0j -4.59699e-07-0j -3.42639e-08-0j -4.69178e-08-0j -2.47279e-09-0j -6.74508e-11-0j 
0.000611498-0j -0.00443759-0j 7.20658e-05-0j -0.000988798-0j -0.00923495-0j 4.41311e-05-0j -0.00053589-0j -0.000135872-0j 0.0700883-0j 6.36977e-06-0j -0.00172684-0j -0.0001236-0j 0.0236935-0j -1.4643e-05-0j 0.00715335-0j 2.65407e-07-0j 0.00256494-0j -7.28319e-06-0j 0.000195667-0j -1.49449e-06-0j -1.18356e-07-0j -4.30832e-09-0j 
0.000374465-0j 5.77812e-05-0j -0.00843969-0j 6.36977e-06-0j 3.9472e-05-0j 2.70247e-05-0j -0.00133443-0j 5.81478e-07-0j 6.36977e-06-0j 0.0705823-0j -0.000703308-0j -0.000152271-0j 5.30815e-07-0j 4.69178e-08-0j 0.0117637-0j 0.0178947-0j -1.46522e-05-0j 0.00257388-0j 3.49705e-09-0j 8.6648e-05-0j -4.82651e-08-0j 6.88417e-12-0j 
-7.64373e-05-0j 0.00112119-0j 0.000856868-0j -0.00575047-0j -8.0572e-06-0j -5.51639e-06-0j -0.012879-0j -0.0016088-0j 0.0001236-0j 0.000152271-0j 7.14057e-05-0j 0.0683736-0j -0.000479206-0j -0.000261449-0j -0.00241248-0j 1.27224e-05-0j 0.0201635-0j 0.0121716-0j -3.25926e-05-0j 0.00510309-0j 0.000336313-0j -1.80457e-07-0j 
4.50411e-06-0j -0.000132829-0j 5.30815e-07-0j 0.00209159-0j 4.74775e-07-0j 3.25056e-07-0j -1.60406e-05-0j -0.018022-0j -1.4643e-05-0j 4.69178e-08-0j 4.42345e-08-0j 0.000261449-0j 0.000174299-0j 0.0661687-0j -1.49449e-06-0j 1.95491e-09-0j -0.00237461-0j 1.5406e-05-0j 0.025755-0j 0.00675332-0j 0.00565559-0j 0.000728046-0j 
0.00331357-0j 0.000511295-0j 0.000390508-0j 5.6365e-05-0j -0.0837419-0j 0.000239136-0j -0.0148036-0j -0.00123363-0j 5.6365e-05-0j 3.45163e-05-0j 3.25423e-05-0j 7.04562e-06-0j 4.69708e-06-0j 4.15167e-07-0j 5.75272e-06-0j 1.43818e-06-0j 6.77965e-07-0j 4.15167e-07-0j 3.09447e-08-0j 4.23728e-08-0j 2.23324e-09-0j 6.09167e-11-0j 
-0.000534725-0j 0.00388045-0j -6.30179e-05-0j 0.000864655-0j -5.6365e-05-0j 0.0148174-0j 0.000468609-0j 0.000118813-0j -0.0819126-0j 0.00106657-0j -5.25149e-06-0j -0.0206959-0j 7.20546e-05-0j -0.00245186-0j 4.36601e-05-0j -2.32085e-07-0j 1.5655e-05-0j 6.36879e-06-0j 1.19424e-06-0j 1.30686e-06-0j 1.03497e-07-0j 3.76741e-09-0j 
-0.000436601-0j -6.7369e-05-0j 0.00489433-0j -7.42674e-06-0j 0.00659362-0j -3.1509e-05-0j 0.000773862-0j -6.77965e-07-0j 0.00106404-0j 0.000869752-0j -0.117278-0j 8.83045e-05-0j 0.000177959-0j -5.47031e-08-0j -0.0207685-0j 7.26689e-05-0j -0.0012174-0j 1.57196e-05-0j 5.84165e-07-0j 1.06772e-06-0j 2.79898e-08-0j -8.02648e-12-0j 
6.30179e-05-0j -0.000924355-0j 7.42674e-06-0j 0.00474092-0j -0.000951707-0j 4.54793e-06-0j -0.000111627-0j 0.00132636-0j 0.0145995-0j 6.56437e-07-0j -0.000177959-0j 0.000592614-0j -0.113602-0j 0.000215549-0j 0.00149005-0j 2.73515e-08-0j -0.0250386-0j 3.49201e-05-0j -0.0038498-0j 2.19994e-05-0j 2.91493e-06-0j 1.48776e-07-0j 
5.45751e-05-0j -0.000396047-0j -0.00123002-0j -8.82485e-05-0j 5.75272e-06-0j 3.93862e-06-0j 0.00914655-0j -1.21263e-05-0j -4.36601e-05-0j 0.0102868-0j -0.000102501-0j 0.0021096-0j -7.35404e-06-0j -1.30686e-06-0j -0.0806316-0j 0.00260801-0j 0.000305562-0j -0.0356593-0j -1.21887e-07-0j -0.00241351-0j 2.0201e-06-0j -3.8451e-10-0j 
-6.43174e-06-0j 0.000142009-0j 7.21004e-05-0j -0.00148291-0j -6.77965e-07-0j -4.64171e-07-0j -0.00163124-0j 0.00622923-0j 1.5655e-05-0j 1.28127e-05-0j 6.00836e-06-0j 0.017632-0j -0.000123576-0j 0.00207647-0j -0.000305562-0j 1.07051e-06-0j -0.0780726-0j 0.00313877-0j 0.000391042-0j -0.0405297-0j -0.0053971-0j 4.35632e-06-0j 
