-0.0640008-0j -0.045438-0j -0.00655841-0j -0.0260693-0j -0.0263395-0j -0.00460845-0j -0.000384037-0j -0.00465621-0j -0.000388017-0j -0.0183183-0j -0.0226678-0j -0.00305306-0j -0.0132229-0j -0.00186961-0j -0.000381632-0j -0.00377796-0j -0.00231352-0j -2.24879e-05-0j -0.00220381-0j -0.000472246-0j -0.00134955-0j -2.78273e-05-0j -0.000275477-0j -1.62326e-05-0j -0.0141004-0j -0.0164505-0j -0.00227545-0j -0.0100738-0j -0.0143942-0j -0.0018579-0j -0.00593731-0j -0.00265469-0j -0.000268164-0j -0.000232237-0j -0.00162566-0j -0.00216755-0j -2.73694e-05-0j -0.00232286-0j -0.00132735-0j -0.000312858-0j -1.24924e-06-0j -0.000958129-0j -0.000191586-0j -0.000270943-0j -0.0018966-0j -0.000165918-0j -3.1931e-05-0j -0.000273751-0j -0.000782309-0j -0.000237075-0j -1.95537e-05-0j -1.45744e-06-0j -0.000112917-0j -2.79396e-05-0j -8.92498e-07-0j -9.77886e-05-0j -1.27526e-06-0j -1.15245e-05-0j -5.26019e-07-0j 
0.0722966-0j 0.000730589-0j 0.000105452-0j 0.0294484-0j -0.0289066-0j 0.0052058-0j 0.000433816-0j -0.00511001-0j -0.000425834-0j 0.0206928-0j 0.000364471-0j 0.00344879-0j -0.0292358-0j 0.00211195-0j 0.000431099-0j 6.07452e-05-0j 3.71987e-05-0j 2.54028e-05-0j -0.00487264-0j 7.59315e-06-0j -0.00298387-0j 4.47431e-07-0j -0.00060908-0j -3.58904e-05-0j -0.0480727-0j 0.000264505-0j -0.00775769-0j 0.0113796-0j -0.0157971-0j -0.00633413-0j -0.0197388-0j 4.26843e-05-0j -0.000914253-0j -0.000791766-0j 0.00183638-0j 3.48516e-05-0j -9.33106e-05-0j -0.00254925-0j 0.0014994-0j 5.03039e-06-0j -4.25902e-06-0j -0.00318534-0j 0.000216419-0j 4.35645e-06-0j -0.00208145-0j 0.000187425-0j 5.13413e-07-0j -0.000300432-0j -0.00260082-0j -0.000260181-0j 2.20882e-05-0j 2.3434e-08-0j -0.000375396-0j -3.06627e-05-0j 1.00818e-06-0j -0.000325103-0j -1.39955e-06-0j -3.83137e-05-0j -1.74877e-06-0j 
0.0590299-0j 0.0419089-0j 0.00604903-0j -0.0236588-0j 0.0242937-0j -0.00418233-0j -0.000348528-0j 0.00429456-0j 0.00035788-0j -0.0337015-0j -0.0205718-0j -0.00561692-0j 0.0121959-0j -0.00343965-0j -0.000702115-0j -0.00342864-0j -0.0020996-0j -4.13725e-05-0j 0.00203264-0j -0.00042858-0j 0.00124474-0j -2.52543e-05-0j 0.000254081-0j 1.49718e-05-0j 0.0130053-0j -0.0302652-0j 0.00209872-0j -0.0275762-0j -0.0130633-0j 0.0017136-0j 0.00547616-0j -0.00488402-0j 0.000247336-0j 0.0002142-0j -0.00445009-0j -0.00398779-0j 2.52437e-05-0j -0.00210807-0j -0.00363348-0j -0.000575587-0j 1.15221e-06-0j 0.000883712-0j -0.000524448-0j -0.000498473-0j -0.00172124-0j -0.000454185-0j -5.87456e-05-0j -0.000248439-0j 0.000721548-0j -0.000215154-0j -5.35262e-05-0j -2.68136e-06-0j 0.000104146-0j -2.53562e-05-0j -2.44313e-06-0j 9.01935e-05-0j -1.15735e-06-0j 1.06294e-05-0j 4.85164e-07-0j 
-0.0596417-0j 0.0411378-0j 0.00593772-0j -0.0242937-0j 0.0245355-0j -0.00429456-0j -0.00035788-0j 0.00433731-0j 0.000361443-0j 0.0340508-0j 0.0205225-0j 0.00567513-0j -0.0112849-0j 0.00347529-0j 0.000709391-0j 0.00342042-0j 0.00209457-0j 4.18013e-05-0j -0.00188081-0j 0.000427552-0j -0.00115176-0j 2.51938e-05-0j -0.000235102-0j -1.38535e-05-0j -0.0131401-0j -0.0297083-0j -0.00212047-0j -0.00938771-0j 0.0134084-0j -0.00173135-0j -0.0264179-0j -0.00479416-0j -0.000249899-0j -0.000216419-0j -0.00151493-0j -0.00391441-0j -2.55053e-05-0j 0.00216377-0j -0.00123694-0j -0.000564997-0j -1.16415e-06-0j -0.00426318-0j -0.000178537-0j -0.000489302-0j 0.00176671-0j -0.000154617-0j -5.76647e-05-0j 0.000255002-0j -0.00348087-0j 0.000220838-0j -1.82218e-05-0j -2.63202e-06-0j -0.00050242-0j 2.60261e-05-0j -8.31709e-07-0j -0.000435109-0j 1.18792e-06-0j -5.12781e-05-0j -2.34051e-06-0j 
-0.0516512-0j -0.000521958-0j -7.53382e-05-0j 0.062442-0j 0.0206519-0j 0.0110383-0j 0.000919857-0j 0.00365077-0j 0.000304231-0j -0.0147836-0j 0.000772819-0j -0.00246394-0j 0.0208871-0j -0.00150885-0j -0.000307992-0j 0.000128803-0j 7.88755e-05-0j -1.81486e-05-0j 0.00348118-0j 1.61004e-05-0j 0.00213178-0j 9.48724e-07-0j 0.000435148-0j 2.56413e-05-0j -0.0113796-0j -0.000188972-0j -0.00183638-0j -0.00761252-0j -0.0334959-0j -0.0014994-0j 0.0141021-0j -3.04951e-05-0j -0.000216419-0j -0.000187425-0j -0.00122847-0j -2.48992e-05-0j -2.20882e-05-0j -0.00540538-0j -0.00100304-0j -3.59389e-06-0j -1.00818e-06-0j 0.00227572-0j -0.000144776-0j -3.1124e-06-0j -0.00441347-0j -0.00012538-0j -3.668e-07-0j -0.00063703-0j 0.00185812-0j -0.000551684-0j -1.47761e-05-0j -1.6742e-08-0j 0.000268196-0j -6.50166e-05-0j -6.74435e-07-0j 0.000232265-0j -2.96759e-06-0j 2.73726e-05-0j 1.24938e-06-0j 
0.0426101-0j -0.0592111-0j -0.00854638-0j -0.0170779-0j 0.0160598-0j -0.00301897-0j -0.000251581-0j 0.002839-0j 0.000236583-0j 0.0121959-0j 0.029065-0j 0.00203264-0j 0.0340862-0j 0.00124474-0j 0.000254081-0j 0.00484416-0j 0.00296643-0j 1.49718e-05-0j 0.00568103-0j 0.00060552-0j 0.0034789-0j 3.56806e-05-0j 0.000710128-0j 4.18447e-05-0j 0.00938771-0j -0.021437-0j 0.00151493-0j -0.0199055-0j -0.00863571-0j 0.00123694-0j 0.00459953-0j -0.00345938-0j 0.000178537-0j 0.000154617-0j -0.00321224-0j -0.00282457-0j 1.82218e-05-0j -0.00139358-0j -0.00262278-0j -0.000407691-0j 8.31709e-07-0j 0.000742245-0j -0.000378566-0j -0.000353071-0j -0.00113785-0j -0.000327848-0j -4.16098e-05-0j -0.000164235-0j 0.000606041-0j -0.000142232-0j -3.86373e-05-0j -1.89922e-06-0j 8.74744e-05-0j -1.67622e-05-0j -1.76354e-06-0j 7.57551e-05-0j -7.65085e-07-0j 8.92782e-06-0j 4.07497e-07-0j 
-0.0136141-0j 0.037974-0j 0.00548108-0j -0.00554541-0j -0.0592619-0j -0.0009803-0j -8.16916e-05-0j -0.0104761-0j -0.00087301-0j -0.00389664-0j 0.0189442-0j -0.00064944-0j 0.0364436-0j -0.000397699-0j -8.118e-05-0j 0.00315737-0j 0.00193349-0j -4.78358e-06-0j 0.00607393-0j 0.000394671-0j 0.00371951-0j 2.32562e-05-0j 0.000759241-0j 4.47387e-05-0j -0.00299942-0j 0.0137482-0j -0.000484029-0j -0.00214289-0j -0.0323859-0j -0.000395208-0j 0.0236071-0j 0.00221861-0j -5.70434e-05-0j -4.9401e-05-0j -0.000345807-0j 0.00181149-0j -5.82196e-06-0j -0.00522625-0j -0.00028235-0j 0.000261466-0j -2.65735e-07-0j 0.00380958-0j -4.07538e-05-0j 0.000226436-0j -0.00426722-0j -3.52938e-05-0j 2.66858e-05-0j -0.00061592-0j 0.00311051-0j -0.000533402-0j -4.15941e-06-0j 1.21803e-06-0j 0.000448963-0j -6.2862e-05-0j -1.8985e-07-0j 0.000388813-0j -2.86925e-06-0j 4.58221e-05-0j 2.09148e-06-0j 
-0.396397-0j 0.00594948-0j -0.0820993-0j 0.00341342-0j 0.00344879-0j -0.028543-0j -0.00723631-0j -0.0288388-0j -0.0073113-0j 0.00239854-0j 0.00296804-0j -0.0189095-0j 0.00173135-0j 0.000244799-0j -0.00477734-0j -0.0233993-0j 0.000302924-0j -0.000565959-0j -0.0136496-0j -0.00591165-0j 0.000176706-0j -0.000700339-0j -0.00344846-0j -0.000408531-0j 0.00184626-0j 0.00215397-0j -0.0140933-0j 0.00131903-0j 0.00188472-0j 0.000243266-0j 0.000777409-0j -0.0164422-0j -0.00335693-0j -0.00143839-0j -0.0100687-0j 0.000283811-0j -0.000515714-0j -0.0143869-0j 0.000173798-0j -0.00391642-0j -3.93408e-05-0j -0.00593429-0j -0.00239831-0j -0.00167812-0j 0.000248334-0j -0.00102763-0j -0.000601667-0j -0.00342686-0j 0.000102433-0j -0.00146835-0j -0.000368444-0j -4.58976e-05-0j -0.00141351-0j -0.000526458-0j -2.81064e-05-0j -0.000605666-0j -4.01604e-05-0j -0.000217153-0j -1.65653e-05-0j 
0.438731-0j -9.37279e-05-0j 0.00129339-0j -0.00377796-0j 0.00370845-0j 0.0315913-0j 0.00800913-0j -0.03101-0j -0.00786177-0j -0.00265469-0j -4.67583e-05-0j 0.0209289-0j 0.00375069-0j -0.000270943-0j 0.00528754-0j 0.000368631-0j -4.77225e-06-0j 0.000626402-0j -0.0295695-0j 9.31319e-05-0j 0.000382803-0j 1.10331e-05-0j -0.00747052-0j -0.000885014-0j -0.00204344-0j -3.39336e-05-0j 0.0155984-0j -0.0014599-0j 0.00202662-0j -0.000269246-0j 0.00253231-0j 0.000259029-0j 0.00371544-0j 0.001592-0j 0.011144-0j -4.47114e-06-0j 0.000570791-0j -0.0154701-0j -0.000192359-0j 6.16991e-05-0j 4.35423e-05-0j -0.0193302-0j 0.00265444-0j 2.6437e-05-0j 0.000267031-0j 0.00113738-0j 9.47864e-06-0j -0.00368487-0j 0.000333662-0j -0.00157891-0j 0.000407793-0j 7.23069e-07-0j -0.00460433-0j -0.000566095-0j 3.11081e-05-0j -0.00197288-0j -4.3184e-05-0j -0.000707349-0j -5.39594e-05-0j 
0.346847-0j -0.0052058-0j 0.0718369-0j 0.00293883-0j -0.00301769-0j -0.0245745-0j -0.00623021-0j 0.0252339-0j 0.00639739-0j -0.00209872-0j 0.00255537-0j 0.0165458-0j -0.00151493-0j -0.0002142-0j 0.00418017-0j -0.0201459-0j 0.000260807-0j 0.000495214-0j 0.0119434-0j -0.00508972-0j -0.000154617-0j -0.000602966-0j 0.00301741-0j 0.000357464-0j 0.00487567-0j -0.00188472-0j -0.037218-0j 0.00342543-0j 0.00162268-0j 0.000642425-0j -0.000680233-0j 0.0143869-0j -0.00886509-0j -0.00379854-0j -0.0261477-0j -0.000248334-0j -0.00136192-0j -0.0123866-0j 0.00045134-0j 0.00342686-0j -0.000103892-0j 0.0051925-0j -0.00622823-0j 0.00146835-0j 0.000213807-0j -0.00266869-0j 0.000526458-0j -0.00295041-0j -8.96286e-05-0j -0.0012642-0j -0.000956823-0j 4.01604e-05-0j 0.00123682-0j -0.000453262-0j -7.29903e-05-0j 0.000529957-0j -3.45766e-05-0j 0.000190009-0j 1.44946e-05-0j 
0.231231-0j -0.00347053-0j 0.0478913-0j -0.00199116-0j -0.0020118-0j 0.0166501-0j 0.00422118-0j 0.0168226-0j 0.00426493-0j 0.00698088-0j -0.00173135-0j -0.0550356-0j -0.00100996-0j 0.000712483-0j -0.0139043-0j 0.0136496-0j -0.000176706-0j -0.00164721-0j 0.00796225-0j 0.00344846-0j -0.000103078-0j 0.000408531-0j 0.0020116-0j 0.00023831-0j -0.00107699-0j 0.00626908-0j 0.00822108-0j -0.000769435-0j -0.00109942-0j -0.000141905-0j -0.000453489-0j -0.0478545-0j 0.00195821-0j 0.00083906-0j 0.00587342-0j 0.000826024-0j 0.000300833-0j 0.00839235-0j -0.000101382-0j -0.0113986-0j 2.29488e-05-0j 0.00346167-0j 0.00139901-0j -0.00488413-0j -0.000144862-0j 0.000599453-0j -0.00175114-0j 0.001999-0j -5.97524e-05-0j 0.00085654-0j 0.000214926-0j -0.000133584-0j 0.000824547-0j 0.000307101-0j 1.63954e-05-0j 0.000353305-0j 2.34269e-05-0j 0.000126673-0j 9.6631e-06-0j 
