-0.00453195-0j -0.000706541-0j -0.000547284-0j -7.89937e-05-0j 0.0715786-0j -8.83177e-05-0j 0.0169301-0j -7.3598e-06-0j 0.00730546-0j 0.00149122-0j -5.20417e-06-0j 8.7871e-05-0j -7.51157e-07-0j -4.8487e-08-0j -1.5272e-09-0j 
0.000801142-0j -0.00587407-0j -0.00920266-0j -0.00132745-0j 8.83177e-05-0j 0.0698432-0j -0.000489506-0j -0.000186167-0j -0.00172383-0j 0.0166372-0j 0.0124332-0j -2.07213e-05-0j 0.00363369-0j 0.000194983-0j -9.04979e-08-0j 
-6.67619e-05-0j 0.00148933-0j -8.06226e-06-0j -0.0157729-0j -7.3598e-06-0j 0.000186167-0j 0.000124111-0j 0.0676229-0j -7.51157e-07-0j -0.00207826-0j 1.097e-05-0j 0.0232809-0j 0.00690173-0j 0.00465021-0j 0.000516963-0j 
0.00396296-0j 0.000617835-0j 0.000478573-0j 6.90761e-05-0j -0.0836543-0j -0.0147881-0j 5.14863e-05-0j -0.00123234-0j 4.45884e-05-0j 9.10157e-06-0j 4.55079e-06-0j 5.36315e-07-0j 6.56849e-07-0j 4.23994e-08-0j 1.33546e-09-0j 
-0.000660494-0j 0.00484282-0j -7.97622e-05-0j 0.0010944-0j 0.010432-0j 0.000605352-0j -0.116043-0j 0.000153483-0j 0.00106471-0j -0.0206597-0j 3.56707e-05-0j -0.00244758-0j 1.56648e-05-0j 1.68998e-06-0j 7.461e-08-0j 
-0.000404468-0j -6.30575e-05-0j 0.00934103-0j -7.05005e-06-0j -4.45884e-05-0j 0.0015074-0j -5.2548e-06-0j -6.56849e-07-0j -0.082346-0j 0.000177649-0j -0.0254802-0j -5.47375e-08-0j -0.00121307-0j 8.27574e-07-0j -1.363e-10-0j 
8.25617e-05-0j -0.00122358-0j -0.00094838-0j 0.0063646-0j 9.10157e-06-0j 0.0145484-0j -0.000101965-0j 0.00181733-0j -0.000177649-0j -0.0797692-0j 0.00258985-0j 0.000305024-0j -0.0354716-0j -0.00383634-0j 2.67699e-06-0j 
-4.865e-06-0j 0.000144958-0j -5.87504e-07-0j -0.00231497-0j -5.36315e-07-0j 1.81198e-05-0j 1.20799e-05-0j 0.020358-0j -5.47375e-08-0j -0.000305024-0j 1.06772e-06-0j -0.0771968-0j 0.00207778-0j -0.0318702-0j -0.00717709-0j 
0.00250482-0j 0.000390508-0j -0.0725226-0j -0.0104677-0j 0.000276131-0j 4.88135e-05-0j 3.25423e-05-0j 4.06779e-06-0j 2.81825e-05-0j 5.75272e-06-0j 2.87636e-06-0j 3.38983e-07-0j 4.15167e-07-0j 2.67989e-08-0j 8.44087e-10-0j 
-0.00253078-0j -0.000394555-0j 0.0732742-0j 0.0105762-0j -0.000278992-0j -4.93193e-05-0j -3.28796e-05-0j -4.10994e-06-0j -2.84745e-05-0j -5.81234e-06-0j -2.90617e-06-0j -3.42495e-07-0j -4.19469e-07-0j -2.70766e-08-0j -8.52834e-10-0j 
-0.000404214-0j 0.00296374-0j -4.88135e-05-0j 0.000669759-0j 0.00853257-0j -0.0709384-0j 0.000246979-0j -0.017986-0j -4.54793e-06-0j 8.82485e-05-0j 2.183e-05-0j 1.04549e-05-0j 9.58668e-06-0j 1.03425e-06-0j 4.56604e-08-0j 
