-0.024959+0.00766018j -0.0108801-0.0287382j 0.00119468+0.00798507j -0.00895892-0.00383881j -0.00670468+0.010388j 0.001333+0.00757368j 0.00595365-0.00881279j -0.00444216+0.00886097j -0.00988888+0.00495047j 0.00608749-0.0370211j 0.028538+0.00520523j -0.0237326+0.00788549j 0.0449487+0.00355558j -0.0185895-0.0187846j 0.026153-0.0012203j 0.00505522+0.0475828j -0.018759-0.021381j 0.00113493-0.00410388j 0.0144786+0.00343183j -0.0182073+0.026892j 0.0136709-0.0184018j 0.00801987-0.00938234j -0.0216059+0.0336215j 0.0400944-0.0172874j 0.0172639-0.0132022j -0.00118125-0.0115282j -0.00139766+0.00742815j 0.0251908-0.00110682j -0.0282263-0.00347188j 0.0127732-0.014747j -0.0352944-0.0486661j 0.00158185-0.0114085j -0.0400451+1.5858e-05j -0.000189267-0.0444296j 
0.0203419-0.00237221j 0.00740797+0.0240369j 0.00132754+1.12691e-05j 0.00524365-0.00276792j -0.0011757-0.0117888j -0.0011036-0.0076685j -0.0106633+0.0096402j -0.00478997-0.0105846j 0.00113102-0.00735808j -0.00377239+0.0268616j -0.0232623-0.00846578j 0.00708925+0.00989638j -0.0264766-0.00488062j -0.0136892+0.0144396j -0.0226116+0.0147276j -0.00142768-0.0170174j -0.000225193+0.00874204j -0.00631272-0.0118301j 0.0109402-0.00789324j 0.00605443-0.0110748j 0.00848831+0.0225299j -0.00622193-0.00657995j 0.00909263-0.0126957j -0.0240694+0.00422088j -0.0217209-0.000255284j -0.00950566-0.0146908j 0.00710042+0.00204082j -0.00525416-0.00597798j 0.01817-0.00835184j -0.00250286+0.00644863j 0.0071335+0.0283721j 0.027755+0.00580077j -0.0367194-0.0111112j 0.0131503-0.0424174j 
0.00149738-0.0361011j 0.0474715+0.00560942j 0.00696036-0.0102833j 0.00197154+0.0172052j -0.00461202-0.0213688j 0.0159905+0.0057496j 0.00281649+0.0112434j 0.014519+0.0133201j 0.0195521+0.00698351j -0.0359615+0.0136263j 0.0103784+0.0122182j 0.0244042+0.00950133j -0.00184287-0.0152093j -0.00122025-0.0309144j 0.000800153-0.0313029j 0.00265731+0.00500341j -0.0111238+0.01904j 0.00162707+0.0264924j 0.0258551-0.0260546j -0.00288771+0.0144234j -0.00307993-0.00282701j 0.0194577-0.0174152j 0.0216646-0.0149564j 0.0318175-0.0219537j -0.00257608-0.00626684j -0.0267576-0.00338884j -0.00144851+0.00127936j -0.00591729-0.00973918j -0.00547623+0.00256284j -0.0454805+0.00297843j 0.00392479+0.0114127j -0.00494219-0.0370404j -0.0642339-0.0442208j 0.02673-0.0594732j 
0.0174456-0.000830052j 0.00371591+0.0179917j -0.0132687-0.0395002j 0.0381622-0.0238996j 0.00535716-0.00715029j 0.0254345-0.0174489j -0.00538092-0.00661739j -0.0279746-0.0203769j 0.0109036+0.0117377j 7.57091e-05+0.00154137j 0.00759298+0.0127889j 0.00910152+0.00417622j -0.00162283+0.00331022j 0.00129-0.0090587j 0.00416989-0.00480775j -0.00266295+0.00252962j 0.00114057+0.00293739j 0.00189553+0.0087959j 0.00136579-0.00611714j -0.00243196+0.00136153j 0.00124195-0.000269535j 0.00296891-0.00348748j 0.00332254-0.00437382j 0.00663525-0.00468932j -0.00108918+0.00306377j -0.00512967+0.000144972j 0.00226973-0.000908223j 0.000151087+0.000418505j -0.00107204+0.00128925j -0.0075974+0.000339336j 0.00361071-1.00899e-05j -0.00163858-0.0067099j -0.0109123-0.00529146j 0.00212395-0.00940947j 
-0.0335744+0.0436165j -0.0545605-0.0391395j -0.0200539+0.0150448j -0.00782646-0.0130824j 0.00740448+0.00934477j -0.00731519-0.0153647j 0.00579746-0.0330577j 0.0037397+0.000979394j 0.016246+0.00614819j 0.0379871+0.00214413j -0.00778989+0.00903017j 0.0135919-0.00874942j -0.00294977+0.0161993j 0.0199275+0.0339603j 0.0123672-0.00511339j 0.00584192-0.0183924j 0.00192667-0.00809232j -0.00120875-0.0233502j -0.00840171+0.0302873j -6.11882e-05-0.00973243j 0.000906516+0.00106739j -0.0142223+0.0223496j -0.0269126+0.0239204j -0.0335773+0.0302181j 0.0086643+0.00276989j 0.0155897-0.0018544j -0.00508615+0.00197198j -0.00315707-0.0015627j 0.00808211-0.0127415j 0.0436628+0.00122257j -0.0121208-0.00603996j 0.0124245+0.0320749j 0.0447806+0.0242039j -0.00595839+0.0364883j 
-0.00371464-0.0173187j 0.0173866+0.00280278j -0.00187746-0.000196371j 0.00539522-0.000483758j 0.0122906-0.020317j 0.000952127+0.00971768j -0.00779464-0.00251725j 0.0116308-0.0019988j 0.0121767-0.00136513j -0.0139938-0.00537671j 0.0114374+0.00816768j 0.0079824-0.000404499j -0.00484509-0.00719547j 0.0149392-0.00122446j -0.0104507-0.0165731j 0.00702983-0.0124911j -0.00327667+0.0302538j -0.0198953+0.0103889j 0.00571209-0.00713442j -0.0156262-0.002079j 0.0125308-0.00786201j 0.00566731-0.0116254j 0.0179053+0.00323383j 0.00978119-0.00542674j -0.00681662+0.010029j -0.00155299-0.0101049j 0.0165931+0.00147921j 0.0106389+0.00485485j -0.0126552-0.00583283j -0.000541807-0.0160253j 0.00382679-0.00435657j 0.00830816-0.0105758j -0.0355056+0.000155524j -0.00786069-0.0361451j 
-0.00573589+0.0150623j -0.0131456-0.00807689j -0.00295107-0.00161698j -0.00255807+0.00436895j -0.0100608-0.00621215j 0.000828626-0.00923602j 0.0035181+0.00198028j -0.00732272+0.00607375j 0.00747902-0.00514808j 0.00277455+0.00274548j -0.0122708+0.00786883j -0.00182781+0.00739989j 0.0104849+0.00815135j -0.00889231-0.000805411j 0.00521302-0.0019106j -0.0179831+0.0136568j -0.014327-0.028062j -0.00122498-0.00649938j 0.0171473-0.0128564j 0.0184925+0.009394j -0.000425433+0.00370408j 0.00445091+0.0107933j -0.0209908+0.000510676j -0.00279948+0.0110562j -0.0010128-0.0170985j -0.0221891+0.00970397j -0.0182291+0.00557717j -0.0252191-0.0195393j 0.00723445-0.00949107j -0.014859+0.0168203j -0.00321516+0.0232255j 0.00281942-0.0134069j -0.000380501-0.00422521j -0.000115263-0.00254216j 
0.000140615+0.00608723j -0.00756944-0.00301514j -0.00589821+0.0104471j -0.00151346-0.0145128j -0.00415015+0.00373563j -0.00445597+0.00228226j -0.00565588-0.00371589j 0.00212919-0.00713902j -0.00745701+0.00442062j 0.0157205+0.0153981j -0.0149841-0.00402194j 0.0111071+0.00399268j -0.0166807-0.0103802j -0.00476684-0.00194305j -0.0044889+0.0133108j 0.0225589-0.00978303j 0.00210293+0.0211368j 0.0134467-0.0231367j 0.0163537-0.00367533j -0.026309-0.0071858j 0.00134725-0.000835568j 0.00112152+0.00649749j 0.0115355+0.00557549j 0.00455868-0.00986915j -0.00206653+0.00946398j 0.00108942-0.0144718j 0.0170951+0.00282886j 0.0154249+0.0128099j -0.0154563-0.00774389j 0.0153131-0.0199127j 0.00224743-0.0196009j -0.003942-0.0117824j -0.000918292+0.00161324j -0.000186973-0.00114513j 
-0.0112467-0.0113017j 0.00760408-0.00672402j -0.000428199+0.016432j -0.00109769-0.0208782j 0.0220129-0.00259962j 0.0053206+0.0212172j -0.0232941-0.00617111j 0.00906923-0.0206592j -0.0215753+0.0119344j 0.0151859-0.0012329j 0.0138603-0.0018337j 0.0103553+0.000768543j 0.010433-0.000943031j -0.0103683-0.000261831j 7.20076e-05-0.00970439j -0.0102756+0.0153511j -0.0134479-0.0245363j 0.00179425+0.00828237j 0.00369038-0.00510071j 0.0218083+0.00722177j -0.00297261+0.0029714j 0.00412157+0.00476715j -0.0152439-0.00133419j 0.00116889+0.00938968j -0.000473607-0.0146763j -0.0128609+0.0137366j -0.0189382+0.00362836j -0.0225376-0.0183334j 0.0106293+0.00106705j -0.0185012+0.0224719j -0.00199703+0.0215522j 0.00136644-0.00513124j 0.00239923-0.0107631j 0.00496046+0.00282637j 
-0.00624153-0.00971527j 0.0120465-0.00496787j 0.000891229-0.00719763j 0.00379298-0.00083889j -0.00763152+8.04573e-05j 0.00529997+0.00707814j -0.00853359+0.0194864j -0.00117237-0.00225485j -0.00686905-0.00737295j -0.0123213-0.0099775j 0.00259235+0.0120005j 0.00250864+0.00753507j 0.0114739-0.00103052j 0.000927525-0.0187881j 0.0032638-0.015035j -0.00634081+0.0013362j -0.00837504-0.00407359j -0.000325692-0.00850468j 0.0231159-0.00413278j -0.0108091-0.00371735j 0.0030832+0.000768537j 0.0137895-0.00316598j -0.00291037-0.00088854j -0.0102629-0.0119163j -0.00272736-0.00722611j 0.00580764-0.00512604j 0.00181446+0.00503398j -0.00237067-0.0057193j 0.00524187-0.0197371j -0.000361151-0.004248j -0.00553504+0.00594023j -0.00929893+0.0113167j -0.00762814+0.00322043j -0.00136316-0.00691351j 
0.00969602-0.00110493j -0.00176151+0.0122672j 0.00558592+0.00619238j -0.00764771+0.00255809j -0.00984774+0.0155161j 0.00735017-0.00512176j -0.000227167-0.00212204j -0.00267515-0.00726504j -0.00310221-0.00608554j 0.00108772-0.00164378j 0.00963359+0.00427559j 0.0017273-0.00237076j -0.0164852-0.00384885j 0.0130883-5.02969e-05j -0.00637809+0.00112178j 0.018139+0.0034951j -0.00504394+0.0309832j 0.00142288-0.00275508j -0.0102524+0.00878331j -0.0222036+0.010804j 0.0161157+0.00772083j 0.00125227+0.00659169j 0.00206987+0.00788544j -0.00742599-0.000940894j 0.0158406+0.0119524j -0.00292385-0.00485432j -0.00307025-0.0128086j 0.000950741-0.00551875j -0.000990717-0.0125432j 0.00521652+0.00682684j -0.00473311-0.0127095j 0.00030151+0.0025121j -0.000149743+0.0068558j -0.00282447-0.00152745j 
