0.0820112+0.0834589j -0.0986674+0.0916842j 0.0250451+0.0507907j 0.00891032+0.0251866j -0.00528273+0.0491587j 0.0132667-0.0426527j 0.00590631+0.00591997j 0.0228093-0.0286602j -0.0197457-0.0595628j -0.0176722-0.0159516j -0.00473232+0.0185194j 0.0627219-0.0217567j 0.10381+0.0184123j 0.0755047+0.0297414j 0.0200762-0.100071j 
0.327635+0.152175j -0.220095+0.344755j -0.0195234+0.120369j 0.0464762+0.0318934j -0.0225504+0.321018j -0.00940744-0.113033j 0.00661509+0.0375985j 0.10421+0.0510079j -0.154427-0.216179j -0.0490672-0.079674j 0.149187+0.112099j 0.235416+0.0498522j 0.381382-0.00798943j 0.0794388+0.235976j 0.207297-0.260315j 
0.0302522+0.0337741j -0.0373492+0.0328911j 0.018455+0.0133204j 0.00659944+0.0144557j 0.00107145+0.00961165j 0.00856166-0.0148847j 0.00102201-0.000577951j 0.00757662-0.0222963j -0.00443133-0.0195727j -0.00190275+0.0010833j -0.00588547+0.00593176j 0.0291525-0.00577414j 0.0262983+0.00116296j 0.0232945+0.016823j 0.00442564-0.0292579j 
-0.00121139-0.0109197j 0.0149903-0.00418321j -0.0140021-0.00205188j -0.0112975-0.0125727j -0.0047895+0.00235424j -0.00473976-0.00782012j 0.00283324+0.00292776j -0.00874013+0.012141j 0.00461888+0.00654849j 0.00066527+0.00154167j -0.0107244+0.00909031j -0.011199-0.0174666j 0.015008+0.0230936j 0.0184337-0.00256313j 0.0116972-0.0140201j 
-0.0064453-0.00405391j 0.00717507-0.0143721j -0.0223601-0.00178344j -0.00736528-0.0187885j -0.0103519-7.09045e-05j -0.00412763-0.00436769j 0.00773194-0.00909539j -0.00908627+0.0146347j 0.00407502+0.00453138j -0.0146035-0.0112148j 0.00219233-0.00691945j -0.0157225-0.0222941j -0.010679+0.0097613j 0.013301-0.0118386j -0.00567729+0.00507266j 
0.00472597-0.0217602j 0.0224617+0.0118976j 0.0232419+0.00508542j -0.00913165+0.0103665j 0.0116834-0.00315669j 0.0145457-0.000767092j -0.014131+0.0289435j 0.0049146-0.0235911j -0.00667342+0.00336927j 0.0160365+0.0334924j -0.0353538+0.0140216j 0.000423752+0.0189347j 0.0207025+0.0193248j -0.00899752+0.0106537j 0.0256749-0.00491297j 
-0.00378148+0.0126348j -0.0127134+0.00199855j 0.0146944-0.00717437j 0.0192063+0.0117381j 0.00789887-0.00512038j 0.014985+0.012238j 0.000298475+0.00827452j 0.00506337-0.0097389j -0.00422959-0.0118456j 0.00580893-0.00603732j 0.0142831-0.00781856j 0.00668451+0.00724367j -0.00741955-0.0234996j -0.0155169+0.00672551j -0.0103685+0.0115928j 
0.0113707-0.00525221j 0.00889277+0.00782328j -0.0121922-0.0104247j 0.00407524-0.0174028j -0.00609342-0.00571386j 0.0131821-0.0151607j 0.00172278+0.00538072j -0.0055339-0.0083382j -0.0084619+0.00173468j 0.00164665-0.00326393j -0.0131233-0.0100715j 0.00394734+0.00406588j -0.0119573+0.0124904j 0.00938267+0.00580099j 0.00977251+0.000124737j 
0.00842621+0.00900071j -0.00569236+0.00763705j 0.00399755-0.00609975j 0.00536446+0.00104125j -0.00144711+0.00113161j 0.00153636+0.000758255j 0.00313986-0.00589809j 0.00284347+0.000614842j -0.000615488-0.00102094j -0.00133065+0.000778131j 0.00891137+0.00132758j -0.000212834+0.00212846j -0.00182222-0.00603911j 0.00422076+0.00987885j 0.00692391-0.00316578j 
0.00770567+0.00970418j -0.00494575+0.00250535j 0.00467596+0.0023521j -0.0145559-0.0028214j 0.000646059-0.000309641j -0.00757731-0.0228046j 0.0208149-0.0143358j 0.00131676+0.00124545j -0.0071006+0.0262939j 0.00494258+0.0161495j -0.00431014+0.00523824j -0.000293183+0.0196638j -0.00999702-0.00836787j -0.00448244+0.00219602j 0.0041093-0.000804355j 
-0.0160914-0.0176527j 0.0204569-0.0137743j -0.000219497-0.0100603j 0.00265063+0.00262077j -0.00148546-0.0043828j 0.0080863+0.0267136j -0.0194664+0.0250548j 0.00130544-0.00307987j 0.00726087-0.00608234j 0.0114834-0.00941249j -0.0025437-0.00834742j -0.011648-0.0187873j -0.00669242+0.0106173j -0.00389912-0.00851224j -0.00609173+0.0169864j 
0.000208064-0.00376614j 0.000156852+0.000301105j -0.00740505+0.00377899j -0.00338242-0.00566642j 0.00206472-0.00272079j -0.00479559-0.0114086j 0.000604641-0.00389742j -0.00315951+0.0015913j -0.00432944+0.0045702j 0.00315602-0.000940056j -0.00592738-0.00256623j 0.00865971+0.00963216j -0.00409166-0.000736951j -0.00701244-0.00168037j -0.00379255+0.0024391j 
-0.0031393-0.00662727j 0.0019503-0.00357613j -0.00421446+0.00189762j 0.00174073+0.00314216j -0.00298102+0.00323352j 0.00327399+0.00365797j -0.00531559+0.00915729j -0.00326361-0.00556155j 0.000744319-0.00661951j -0.0042548-0.00968341j -0.00189969-0.00559304j 0.00472772-0.000235532j -2.08328e-05+0.00606351j 0.00148915-0.0101255j -0.00517498-0.00141003j 
0.0019454+0.00454613j -0.00177751+0.00342624j 0.00722716-0.00209587j 0.00160346+0.0035975j 0.000277618-0.0041728j -0.00294253+0.00237166j 0.00376254-0.00345346j 0.00359797+0.00413413j -0.000434296+0.00493358j 0.00174402+0.0056826j 0.00306844+0.00332475j -0.00952175-0.0035461j -0.00384288-0.00292933j 0.00352801+0.00747991j 0.00762628+0.00253392j 
-0.0054786-0.00679268j 0.00506224-0.00961948j -0.0134572+0.00275837j -0.00890547-0.0145164j -0.00487137+0.00246419j 0.00334585-0.010355j -0.0088266+0.00489265j 0.00108599-0.00111453j -0.00636764+0.00140032j 0.018545+0.00358647j -0.0044343-0.00999239j 0.0137383+0.00919151j -0.00725698+0.00163717j -0.00966756-0.0138097j -0.0202963+0.00476266j 
-0.0042907+0.010078j -0.00338257+0.00261724j 0.00935418+0.000789885j -0.00197599-0.00886432j -0.00748116-0.000895376j -0.00389308+0.00443165j -0.00174151+0.0024013j 0.00318354+0.00855941j -0.0101749+0.00915591j 0.00942178+0.0112378j 0.00719937+0.00543087j -0.00726616-0.00779315j -0.00398284-0.00146975j 0.00732098+0.00329805j 0.00391387+0.000555183j 
