-0.169616-0.32785j 0.313295-0.184971j -0.110877+0.0189304j -0.104968+0.10523j -0.20086-0.0029623j 0.054658-0.0328758j -0.0173027+0.0927202j -0.0387799+0.062056j -0.00200439+0.00457889j 0.165662+0.0559523j 0.137252-0.0184596j 0.114724+0.0151218j -0.0833562-0.0332189j -0.0375757+0.081945j -0.0498912+0.0370419j -0.00105243-0.0872221j 0.0312696+0.0458252j 0.0894905+0.0939244j 0.0505352+0.0759534j -0.156284-0.148697j -0.0529909-0.0613837j -0.0162898-0.099674j -0.0499134+0.356548j -0.157669+0.0305481j 0.14239+0.305047j -0.356718+0.135517j 
-0.00941866-0.0068751j 0.00675432-0.00884496j -0.014918-0.00487989j 0.0128766-0.010598j -0.00247447-0.0046955j 0.0141616+0.00961606j -0.0149651+0.00933177j -0.00262662-0.0121342j 0.00817276-0.00364531j 0.00675045-0.00619905j -0.0082286-0.00308268j -0.00170459+0.00672177j 0.0128235-0.00337674j 0.00232343+0.0135388j 0.0134491-0.00899626j -0.0054037-0.0131111j 0.00412033-0.00488784j -0.00202755-0.00609961j 0.00785637-0.00317936j 0.0136177-0.0116096j 0.00512959+0.000455497j -0.00197061-0.0176633j -0.0033855-0.0149723j -0.00206942+0.0108666j 0.00519645+0.00742378j -0.00613944+0.00728395j 
0.00297196+0.00987529j -0.0104741+0.00508613j 0.00219205-0.00206032j 0.0026149+0.000903322j -0.00370749+0.00815054j 0.00644173+0.00876188j -0.00989691-0.00531627j 0.00492678+0.0127608j 0.000465245-0.0155494j 0.00971253-0.00452657j -0.00417596-0.00348006j 0.00140843-0.0119868j 0.00801474-0.00525135j 0.0168861-0.0139844j -0.00124158+0.00933052j 0.00806596-0.00402812j -0.0114232-0.000814707j -0.00371905+0.00487228j 0.0128863+0.0106916j 0.00740801-0.00156699j -0.000776453+0.0100921j -0.00867847-0.00566721j -0.00329543-0.012228j 0.00930221-0.00535113j -0.0043942+0.000392392j 0.00590188-0.0034971j 
0.00745058-0.0048928j 0.00273451+0.00249351j -0.00442638-0.00524069j -0.00734381-0.00421333j 0.000828893+0.0102699j 0.00548993+0.00450206j 0.000437597+0.0056756j -0.00311167+0.00671848j 0.00469304+0.012101j 0.00447148+0.00894984j 0.000241662+0.00366776j -0.00261661+0.0109119j 0.00869162+0.00300474j -0.00943773+0.00154437j 0.0141966-0.00865623j -0.00100054-0.00121774j -0.00667443-0.00428374j 0.00228877-0.0141431j -0.00116591-0.00815887j -0.0174362-0.00189371j -0.00787946-0.0192222j -0.000290906-0.000700554j 0.00365537+0.00699348j -0.000186432+0.00910121j 0.00521118+0.00888202j -0.0101321+0.00774103j 
-0.000504911+0.00114944j -0.00105467+0.00319994j 0.0018785+0.00676769j 0.00674307+0.00341422j -0.00157733-0.00484595j 0.00059516+0.00416268j -0.00511659-0.00244189j -0.000546728-0.00816611j -0.000382735-0.00596779j 0.00206283-0.012126j -0.00570578-0.00589741j 0.00227702-0.00922994j -0.00207446-0.00256695j 0.0085542-0.00410458j -0.00550189+0.00697217j 0.00214994-0.00376133j 0.0100547+0.000972717j 0.00421621+0.0100915j 0.011111+0.00164971j 0.011216-0.00397385j 0.0020595+0.0150987j -5.35439e-05-0.00640059j -0.00735833-0.00526842j 0.00504086-0.00660996j 0.00304721+1.74907e-05j 0.0031442-0.000657374j 
0.00898005-0.00114707j -0.00207751+0.00683253j -0.00799608+0.00155225j -0.00651195-0.014391j 0.0142791-0.00319562j 0.00705367+0.00606133j 0.00353978+0.00107157j -0.00744836-0.00851486j 0.012602+0.00711938j -0.00548622+0.00336852j -0.00865324+0.00683288j 0.00660366+0.0144642j 0.00878603-0.00154365j -0.00455821+0.0102919j 0.00830071-0.0167061j -0.00137761+0.00364668j 0.00723987-0.00566636j -0.0021067-0.0118055j -0.00488459-0.0105401j 0.00393632+0.0053178j -0.010314-0.0107138j 0.00199174-0.000906893j 0.00381809-0.0110769j 0.0084617+0.0171963j 0.00607532-0.0061252j 0.00720378+0.00980231j 
-0.000793638-0.00221597j 0.0059707+0.000953293j 0.00977067+0.00552144j 0.00610485+0.00804776j 0.000927659-0.0141814j -0.0192199-0.0099008j 0.00858482-0.00310366j -0.00488763-0.018351j -0.00227235+0.0125518j -0.0105883-0.00347596j 0.00296377-0.00054333j 0.0022649+0.000319939j -0.0131833+0.00746721j -0.00529143+0.0129212j -0.00975544+0.0024405j -0.00867477+0.0082977j 0.0176796-0.0012532j 0.00410686+0.00314519j -0.0137187-0.0038608j 0.00158121+0.00194847j 0.0041804+0.0048511j 0.0120515+0.00114935j 0.000438133+0.00552715j -0.00354349-0.00487709j 1.97537e-05-0.00924884j 0.00425455-0.00258629j 
-0.0228473-0.00936766j 0.00988675-0.0204922j -0.010172+0.00402388j 0.00926016-0.00876369j -0.00919796-0.00792258j 0.00989123-0.00154031j 0.00115131+0.00921447j -0.00820782-0.00870305j -0.00140409-0.00573613j -0.0103559-0.00669543j -0.00500421+0.00123137j 0.00430515-0.00530501j -0.0113511-0.00195611j -0.0026654+0.0105056j -0.003823-0.000830591j -0.00193905-0.00115089j 0.0122544+0.000557675j 0.00640938+0.0101602j 0.0116701+0.0023404j 0.0135963-0.0103883j 0.00425253+0.00211662j -0.00146368-0.0072197j -0.0120098+0.00209086j -0.00538+0.00201551j 0.00298839+0.0135363j -0.0134183-0.000672797j 
-0.0014238+0.00440828j 0.00701761-0.000679313j 0.00599024-0.0146797j 0.00411965-0.0100386j 0.00434566-5.99278e-05j -0.00716829-0.0040566j -0.00852461+0.00116411j 0.00857647-0.00395506j -0.00447544-0.00121946j -0.0036802-0.00271792j 0.00135566+0.00538878j 0.00114449-0.00363092j 0.00509271-0.00721705j 0.0101511+0.00349385j -0.00188328+0.000493087j -0.0155522+0.000893663j -0.00368966+0.00184712j -0.00294326-0.00489406j -0.00842142+0.000394283j 0.00646709-0.00891276j 0.00619243-7.81518e-05j -0.0110591-0.00598782j -0.00132434-0.0128353j 0.00720852+0.00789719j 0.00145509+0.00267662j -0.00183757+0.0080427j 
-0.00584669-0.00852752j 0.00769102-0.00230826j -0.00229225+0.0212774j 0.000783275-0.00289391j 0.00893634+0.000121711j -0.00944925+0.00939998j -0.00641225+0.0025076j 0.000555378+0.00180106j -0.0114082-0.00531158j 0.0120892-0.00452559j 0.0168217+0.00342066j 0.00446599-0.00212134j -0.0030083+0.000417149j 0.0110737-0.00166449j 0.0212412-8.85615e-05j 0.0087481-0.000545298j -0.00629009-0.00295512j 0.0126835+0.0113389j -0.0165796-0.00365716j -0.000765108-0.00241001j -0.0026886-0.00134629j -0.00242726-0.000791065j -0.00234315+0.00505974j -0.00197163+0.000666876j 1.24558e-05+0.00708217j -0.00683441+0.00119267j 
0.00875025+0.00999507j -0.0089379+0.00522483j -0.00183572-0.0197195j -0.000281618+0.00203512j -0.00645631+0.00208934j 0.00678734-0.00856235j 0.0022625-0.00274999j 0.00205912-0.00140969j 0.0106217+0.000597422j -0.00908724+0.00430516j -0.016274+0.00109623j -0.00288931+0.00206416j 0.00224076-0.00299424j -0.006401+0.00227908j -0.0167559+0.00498722j -0.00867293+0.00300716j 0.00471914+0.00161099j -0.013962-0.0103153j 0.0136896+0.000956859j 0.00197476+0.0015161j 0.00317133+0.000814716j -0.000876082+0.00148755j 0.00293965-0.00870424j 0.0052817+0.00122511j 3.21116e-05-0.00668192j 0.00762416+0.00081085j 
-0.00823954-0.00815015j 0.00447973-0.00569892j -0.00522894+0.0157734j -0.000120311-0.00486345j 0.00278623-0.00437309j 0.00466707+0.00630355j -0.000457929+0.00352418j -0.00678179-0.00158751j -0.00299629-0.00356226j 0.000991031-0.00406613j 0.00192788+0.00206592j 0.00550059+4.81335e-05j -0.00424431-0.000439399j 0.000463729+0.000927879j 0.00961573-0.00495337j 0.00711935-0.00177785j 0.00250985-0.00310594j 0.00882295+0.00780199j -0.00113224-0.00178333j 0.00671827-0.00236064j -0.00262556-0.00108382j 0.00181217-0.00123371j -0.00487857+0.000385371j -0.00100624+0.00159143j 0.00327331+0.00264494j -0.00144938+0.00136332j 
0.010297+0.000943595j -0.00881733+0.0119783j 0.00332301+0.0100873j -0.00275412+0.0131845j -0.00378907+0.00170837j 0.00291348+0.00173698j 0.00334555-0.00665585j -0.00376032+0.00395033j 0.00531023+0.00153735j 0.00503974+0.00286813j -0.00416387-0.00298425j -0.00119066+0.000790992j -0.00250756+0.00498973j -0.00831404-0.0023973j 0.000147649+0.0010819j 0.00872754-0.00190457j 0.00246953-0.00210079j 0.00141089-0.00113801j 0.00769667-0.00302228j -0.000487775+0.00668505j -0.00480546+0.00264847j 0.00830297+0.00316813j 0.00707521+0.00413977j -0.00151845-0.00253615j -0.00139265-0.00469743j 0.0038558-0.00405672j 
-0.00570696-0.00740602j -0.00648251-0.00377579j -0.00971909+0.0190175j -0.0038071+0.00588299j -0.0092675+0.000229584j 0.0201748+0.00389254j 0.00899359+0.00158696j -0.012943+0.00678941j 0.00687148-0.00438634j -0.000733566+0.00268732j -0.00711942-0.00140923j 0.000872791+0.000495491j -0.00997124+0.00571547j -0.0148815+0.000966412j 0.00149051-0.00461367j 0.0181101-0.00358237j 0.00685891-0.00275922j 0.00642849+0.00463971j 0.0194159-0.00340836j 0.00181788+0.00391284j -0.00877274-0.000422692j 0.00817744+0.00427241j -0.00106426+0.0124966j -0.0056876-0.00183118j 0.000231605+0.00709601j -0.00701045-0.0072636j 
