-0.0147444-0j -0.102152-0j -0.000210716-0j -1.75597e-05-0j -0.00119199-0j -0.00106169-0j 0.00104215-0j -0.00849351-0j 0.00833723-0j -1.26441e-06-0j -0.00520119-0j 0.00510549-0j -1.07288e-05-0j 6.14095e-05-0j -6.25606e-05-0j -1.23886e-05-0j -8.58307e-05-0j -0.0509611-0j 0.0500234-0j -0.000105121-0j 0.000101424-0j -0.000703359-0j -7.17863e-05-0j 0.000993743-0j -0.00487302-0j -0.000609127-0j 0.00688486-0j -5.7712e-08-0j 0.000860607-0j -0.0059682-0j 0.00843219-0j -0.000651409-0j 4.62933e-06-0j -0.0369836-0j -3.27658e-06-0j 0.0522524-0j 
-0.14297-0j 0.0103606-0j -0.0710226-0j -0.0180059-0j 0.00849351-0j 0.0101296-0j -0.0104014-0j 0.0400945-0j -0.0411704-0j 0.00127574-0j -0.000519058-0j 0.000532986-0j 0.00355818-0j -0.00123223-0j 0.00120002-0j 0.00830413-0j -0.000601774-0j -0.0050857-0j 0.00522218-0j 0.0348629-0j -0.000756312-0j -0.00682015-0j -0.00104776-0j -0.00492305-0j 0.000494235-0j -0.00292232-0j 0.000356758-0j 9.73184e-05-0j -0.00210944-0j -0.0286328-0j -0.0206682-0j -0.00456715-0j -5.76945e-05-0j 0.00375098-0j -7.99272e-05-0j 0.0027076-0j 
0.144452-0j -0.010468-0j -0.0697158-0j -0.0176746-0j 0.00833723-0j 0.0104014-0j -0.0105049-0j 0.0411704-0j -0.0415802-0j -0.00127268-0j -0.000532986-0j 0.000538291-0j -0.00354965-0j -0.00124449-0j 0.00123223-0j -0.00828422-0j 0.000600332-0j -0.00522218-0j 0.00527416-0j -0.0347793-0j 0.000699818-0j 0.00689083-0j 0.00105862-0j 0.00455531-0j -0.000499357-0j 0.00295261-0j -0.000330109-0j -9.70851e-05-0j 0.00195187-0j 0.0289295-0j 0.0191244-0j 0.0045562-0j 5.33849e-05-0j -0.00378985-0j 8.07555e-05-0j -0.00250535-0j 
0.685612-0j 0.00106169-0j -0.000209377-0j 0.00250209-0j 1.23886e-05-0j -0.0485763-0j -0.0484599-0j 0.00830413-0j 0.00828422-0j -0.000177276-0j -5.31898e-05-0j -5.30623e-05-0j 1.04896e-05-0j -0.0176232-0j -0.0176656-0j -0.000566826-0j -8.77745e-07-0j -0.000521152-0j -0.000519903-0j 0.000102777-0j -0.0144519-0j 0.032706-0j 0.0102289-0j -0.0462088-0j 5.06462e-05-0j -0.000605254-0j -7.15556e-05-0j -2.72554e-05-0j 0.000855135-0j -0.00593025-0j 0.00837858-0j -6.66162e-06-0j -0.00222191-0j 0.000384377-0j 0.00157264-0j -0.000543069-0j 
-0.00106169-0j 0.707711-0j 0.00145984-0j -1.26441e-06-0j -8.58307e-05-0j -0.00723739-0j -0.00722004-0j 0.000601774-0j 0.000600332-0j -8.61928e-06-0j -0.0712801-0j -0.0711093-0j -0.000147034-0j 4.42186e-06-0j 4.43249e-06-0j 8.77745e-07-0j -0.000585096-0j 0.00361065-0j 0.00360199-0j 7.44791e-06-0j -0.000702661-0j -5.06462e-05-0j 0.000497335-0j 7.15556e-05-0j 0.0337602-0j 0.00848392-0j -0.0476982-0j 4.08895e-09-0j -0.0119865-0j -0.000429747-0j 0.000607169-0j 4.6153e-05-0j 3.3334e-07-0j -0.00266305-0j -2.35934e-07-0j 0.00376249-0j 
-0.399941-0j -0.000619319-0j -0.016795-0j 0.200704-0j 0.000993743-0j -0.0287982-0j -0.026647-0j 0.00492305-0j 0.00455531-0j 0.0144519-0j -3.15332e-05-0j -2.91778e-05-0j -0.000855135-0j -0.00969062-0j -0.0104729-0j 0.0462088-0j 7.15556e-05-0j -0.000308961-0j -0.000285883-0j -0.00837858-0j -0.0166767-0j -0.0190785-0j -0.00596684-0j -0.0533225-0j -2.95436e-05-0j 0.000353065-0j -8.25713e-05-0j 0.00222191-0j 0.000986779-0j 0.00345931-0j 0.00966842-0j 0.000543069-0j -0.00256397-0j -0.00022422-0j -0.000917375-0j -0.000626672-0j 
0.000857974-0j -0.571917-0j -0.0828822-0j 7.17863e-05-0j 0.00487302-0j -0.00594404-0j -0.00600564-0j 0.000494235-0j 0.000499357-0j -0.000497335-0j -0.0585421-0j -0.0591488-0j -0.00848392-0j 3.67811e-06-0j 3.64039e-06-0j 5.06462e-05-0j -0.0337602-0j 0.00296541-0j 0.00299614-0j 0.000429747-0j -0.000290112-0j -8.16395e-05-0j 0.000801683-0j 2.95436e-05-0j 0.0544201-0j 0.0136757-0j -0.0196935-0j 2.35934e-07-0j -0.00494895-0j -0.000692734-0j 0.000250686-0j 0.00266305-0j 1.37628e-07-0j -0.00429272-0j -3.80315e-07-0j 0.00155344-0j 
-0.554058-0j -0.000857974-0j 0.0118873-0j -0.142056-0j -0.000703359-0j -0.0398956-0j -0.040309-0j 0.00682015-0j 0.00689083-0j -0.0102289-0j -4.36846e-05-0j -4.41373e-05-0j 0.000605254-0j -0.014659-0j -0.0145087-0j -0.032706-0j -5.06462e-05-0j -0.00042802-0j -0.000432456-0j 0.00593025-0j -0.00596684-0j 0.0527207-0j 0.0164885-0j -0.0190785-0j 8.16395e-05-0j -0.000975644-0j -2.95436e-05-0j -0.00157264-0j 0.000353065-0j -0.00955932-0j 0.00345931-0j -0.000384377-0j -0.000917375-0j 0.0006196-0j 0.00253503-0j -0.00022422-0j 
0.000619319-0j -0.412832-0j 0.1171-0j -0.000101424-0j -0.00688486-0j -0.00429064-0j -0.00397014-0j 0.000356758-0j 0.000330109-0j 0.000702661-0j -0.0422579-0j -0.0391014-0j 0.0119865-0j 2.43148e-06-0j 2.62777e-06-0j -7.15556e-05-0j 0.0476982-0j 0.00214055-0j 0.00198065-0j -0.000607169-0j -0.000810833-0j 2.95436e-05-0j -0.000290112-0j 8.25713e-05-0j -0.0196935-0j -0.00494895-0j -0.0550412-0j -3.3334e-07-0j -0.0138318-0j 0.000250686-0j 0.00070064-0j -0.00376249-0j 3.84656e-07-0j 0.00155344-0j 1.37628e-07-0j 0.00434171-0j 
-0.0118873-0j -0.0828822-0j 0.00808715-0j -2.13096e-05-0j 1.00519e-05-0j 0.0823552-0j -0.0808399-0j -0.00338802-0j 0.00332568-0j 0.000147633-0j -0.00848392-0j 0.00832782-0j 0.00082781-0j 9.95374e-05-0j -0.000101403-0j -9.98797e-06-0j -6.96394e-05-0j 0.000429747-0j -0.00042184-0j -4.19322e-05-0j -0.0118423-0j 0.00113112-0j -0.0167192-0j 0.000801179-0j 0.00788655-0j -0.0937481-0j 0.00558608-0j -1.17052e-07-0j -0.0664023-0j 0.00474875-0j 0.00336356-0j 5.49324e-06-0j 9.38924e-06-0j -0.0006221-0j 1.32559e-05-0j -0.000440636-0j 
0.0104014-0j 0.0725219-0j 0.482991-0j -0.00127268-0j 0.000600332-0j 0.0709048-0j 0.072778-0j -0.00291696-0j -0.00299403-0j -0.00867568-0j -0.00730435-0j -0.00749732-0j -0.0486465-0j -8.9611e-05-0j -8.73045e-05-0j 0.000586946-0j 0.00409238-0j 0.000369997-0j 0.000379771-0j 0.00246415-0j -0.00484833-0j 0.000496182-0j -0.00733409-0j 0.00032801-0j 0.00345954-0j -0.0411239-0j 0.00228699-0j 6.87858e-06-0j -0.0271857-0j 0.0020831-0j 0.00137707-0j -0.000322811-0j 3.84404e-06-0j -0.000272892-0j 5.81489e-06-0j -0.000180401-0j 
