0.000270919-0.0387389j -0.00716532-0.0482104j -0.00915774+0.00981106j 0.00998846-0.0389614j 0.0081792+0.0285717j 0.00546963+0.0140674j -0.0392077+0.0545261j -0.00787448+0.0372224j -0.0084388+0.0163393j 0.00713257-0.0653438j -0.0419432-0.0157919j 0.0147691-0.0608854j 0.00733407-0.00868349j -0.0121129+0.00722302j -0.0162898+0.038497j -0.0463193+0.0574363j -0.0047148-0.000786482j 0.0137129-0.0234524j -0.0159763+0.0314867j -0.0099274-0.00668794j 0.011965-0.0165949j -0.000389763-0.0244275j -0.0122314-0.0272443j -0.000787843+0.00577969j 0.00824439+0.00303728j -0.0254781+0.0339775j -0.0131114-0.0080687j -0.0195233+0.0379259j 0.0341593-0.0378496j -0.0229415+0.0206006j 0.00724471-0.00225926j 0.000244744+0.0136334j -0.0353358-0.00285166j 0.0114544+0.00829j 0.0224118-0.00552121j 0.0414077-0.000763726j -0.0326784-0.0511205j -0.0307963+0.0283618j 0.0231164-0.00441399j 0.0168374+0.0241016j -0.0229865-0.0157995j 0.00820353+0.0227035j -0.00305951-0.0362309j 0.0106832+0.0055594j 0.0294971-0.0450762j 0.0360568-0.010517j -0.0308636-0.00353928j 0.00633917+0.0351994j -0.00811885-0.0302103j -0.0751914+0.0753719j 0.0877409-0.0373639j -0.109468-0.0243583j -0.0248089+0.0860221j 0.0175188+0.0195301j 0.0377223-0.0488812j -0.0258392+0.00222451j 0.0237542-0.0657418j -0.154911+0.145635j 0.14525-0.115092j -0.113633+0.168025j -0.111907-0.0135691j -0.179144+0.121795j 0.132773-0.151932j -0.0148222-0.0148256j 0.0137088+0.0235984j -0.0585544+0.0710201j -0.0389103+0.0601086j -0.00255148-0.012058j 0.101505-0.179996j -0.118941-0.0413573j 0.134529-0.164745j -0.0629658+0.0428697j 
0.00633737+0.0448437j 0.00221934-0.0401219j -0.0138787+0.0456697j -0.0249377+0.0076447j -0.0123777-0.0376198j -0.0182362+0.0608983j 0.00990632-0.00343427j 0.0107106-0.0160894j 0.0127788-0.0186954j -0.00386202-0.0170413j -0.0200253+0.0594097j -0.000312608+0.00726286j 0.0136724+0.0405096j -0.0463312+0.0540146j 0.00922269-0.00393497j -0.0116171+0.0390725j 0.00947902-0.00118729j -0.0372022-0.00986277j 0.0290057-0.0205686j -0.0098019+0.0195048j 0.00970339-0.00154907j -0.0313528+0.00819661j -0.032099+0.0090925j -0.00691037+0.0145195j -0.052703+0.0625344j -0.0001277+0.0204277j -0.00432883+0.0262584j 0.000197902+0.0285289j 0.0116727-0.0293115j 0.0209158+0.00811978j 0.0149039+0.0159039j 0.0162558+0.00188385j 0.0419612-0.0153895j 0.0260869-0.0177749j -0.02899-0.0169815j -0.000769286-0.019445j -0.0091153+0.00914158j -0.0270708-0.00710073j -0.0322486+0.00711512j -0.0619299+0.0705203j -0.0157536+0.0193924j -0.0589251+0.0394871j 0.015111-0.0272437j -0.00126309-0.015623j -0.0258153+0.0235325j -0.0296717+0.0244567j -0.041355-0.00128553j 0.0106618-0.0563671j 0.0293877-0.0554257j -0.0205187-0.0517256j 0.00276007+0.0514926j 0.0789176-0.14517j -0.0662307+0.0435994j -0.059041+0.0617396j -0.0330338+0.0648165j 0.0309532-0.0151926j 0.0844014-0.0641873j -0.063024-0.0482102j -0.0137679+0.0547465j -0.187032+0.0640214j 0.203336-0.219804j 0.0602854-0.125001j 0.107726-0.0568651j 0.122387-0.0906281j -0.0180775+0.0020997j -0.0281885+0.0194259j 0.0541723-0.0597736j 0.0423315-0.100008j 0.10219+0.0237811j 0.111338-0.181735j 0.072583-0.0369308j 0.128425-0.15575j 
-0.000161313-0.00379922j -0.0403393-0.0348209j 0.00806847+0.0150189j -0.0324522-0.0144145j -0.0223677+0.00297943j 0.010789+0.0358182j 0.0477474+0.0123666j -0.0233486-0.016523j 0.0427316+0.0195628j -0.0165179-0.0347901j 0.0428919+0.014814j -0.0337891-0.0393874j 0.0407934-0.00080594j 0.00029895-0.00482963j 0.0250724+0.0411381j -0.00293872+0.0146571j -0.0154187-0.037926j -0.00443657+0.00944368j 0.0146276-0.0496408j -0.00380234-0.00358173j 0.0111539-0.0239385j -0.00366387-0.0292705j -0.00446708-0.0203106j 0.00163695-0.0334085j -0.00492459+0.0366853j 0.0270673+0.0617673j 0.0560174+0.039775j 0.00219483-0.00709421j 0.0215147-0.0116007j 0.0124325-0.0087403j -0.036085-0.0159653j -0.0109548-0.00590726j -0.0205407-0.0136022j 0.0248124+0.0154908j 0.00502973-0.0223267j -0.0177237-0.0048601j 0.0525015-0.0439672j 0.0111958+0.0453073j -0.0441803+0.0339857j 0.00531959-0.0209524j 0.00781863-0.0191193j -0.007014+0.0573203j 0.0457608-0.0249883j -0.0505128-0.0152035j 0.020437+0.0035164j -0.0254012+0.0505082j 0.0255342-0.112664j -0.0506281+0.0178301j -0.0251446-0.0219981j -0.0187246+0.03651j 0.00257631-0.0480511j 0.0228048+0.0761517j -0.0777347-0.0157156j -0.02977+0.0384363j 0.0182812+0.0339854j 0.0523517-0.0228075j 0.0263227-0.0244403j -0.0752262+0.0900915j 0.083062+0.0331464j 0.0232393+0.114833j -0.0828441-0.0729898j -0.020761+0.0167646j -0.00404448-0.00730582j -0.0624936-0.00350677j -0.0415364+0.13707j 0.00600402+0.0632843j -0.049247-0.0672441j -0.0505354-0.0771631j 0.104594-0.073837j 0.0151221+0.109168j -0.0165938-0.0308088j -0.0930806-0.0876158j 
0.0532964+0.0343616j 0.00593751+0.00678203j 0.0130133-0.00633655j 0.0291856-0.0133885j 0.00776418-0.0382775j 0.0210319+0.0294418j -0.0151033-0.0110693j -0.00747238+0.00801074j -0.0493347-0.0385059j -0.0254416+0.00206736j 0.0659509+0.0246073j 0.0324185+0.0319255j 0.00319925+0.0354468j 0.00743317+0.0228057j -0.0443485-0.0457122j -0.00170319-0.00437338j -0.0176974+0.0305913j 0.0215967-0.0159642j -0.0322191+0.00861766j 0.0299422+0.044252j -0.00788994+0.0104517j -0.000815328-0.0153132j 0.0187412-0.0135207j -0.0236106-0.0267075j -0.00143912+0.00809953j 0.00926866-0.00941293j -0.000431791-0.0188552j -0.0229369+0.0077598j 0.0132507-0.0153957j 0.0116988-0.00283204j 0.0240303+0.0152024j 0.0176352-0.00392064j -0.00836314+0.0304318j -0.0259953-0.0393857j 0.00530643-0.0599199j -0.0290554-0.0436978j 0.0200179-0.0135819j 0.0177138-0.045703j 0.0258922-0.0257708j -0.0121237-0.0111936j 0.0150571-0.0143657j -0.0164797+0.0167307j 0.0044505+0.0160962j 0.0127621+0.00903419j -0.0145062+0.0242687j 0.0420974+0.0491716j -0.0506872-0.0345894j 0.085164-0.0166904j -0.0256454+0.0495551j 0.00749119+0.0009708j 0.00624949+0.00194286j 0.114644-0.0469421j -0.0761897+0.0637996j 0.00306803+0.0818899j -0.0314959+0.0977391j -0.0173888-0.0847498j 0.0400551-0.0335259j -0.0141293+0.0442551j 0.0496627+0.0379284j -0.0345656-0.0907119j 0.0166147-0.0966364j -0.0358556-0.0783538j 0.0565274+0.0425973j -0.0127388+0.0608441j 0.0173719+0.0100294j 0.00775159-0.103918j -0.0373789-0.087058j 0.123197-0.0710807j 0.0362937-0.0468488j 0.0360954-0.0180921j 0.0723822+0.0825332j -0.0120176-0.0559225j 
-0.0159805+0.00657594j 0.0227786+0.00631419j 0.0223723+0.0286695j 0.0190446+0.026302j -0.014194-0.0207345j -0.0214801-0.0419618j -0.0257536+0.00976327j 0.00327465-0.0345231j 0.000743838+0.0269099j 0.0443087+0.0282816j -0.0254146+0.0474739j 0.0110566+0.016912j -0.0183057+0.00672901j 0.0130886+0.00358575j 0.0218623+0.015859j 0.0159774-0.00355874j 0.0201752-0.0154501j -0.00130038-0.0100244j -0.0248933-0.0573719j -0.0230362-0.0704361j -0.0215882+0.015873j 0.0250157+0.0206943j 0.024318+0.0491311j 0.00722712+0.0243546j 0.0154483+0.0116827j -0.0340513-0.00631535j -0.0244117+0.050579j -0.00679131+0.000590638j -0.0195684+0.019108j -0.0141659+0.00436351j -0.016384+0.00480284j 0.000477467-0.00241838j 0.00892643+0.0684437j -0.00525505+0.023269j -0.00155059-0.0212673j 0.00550891+0.0215554j -0.027092+0.0196738j -0.0235184+0.049075j -0.000549612-0.00561618j 0.0173769-0.0378505j -0.0202845-0.0191094j 0.0129603+0.00942245j -0.0307076+0.0632461j 0.0438936-0.05648j -0.00732965+0.0699055j -0.0459532-0.0201491j 0.0311625+0.00067223j 0.072034-0.137434j 0.0492967+0.0585006j -0.0248369-0.0484829j 0.0232238-0.0580082j -0.0582323+0.0662523j 0.0322157-0.0438359j -0.038655+0.0186835j -0.0305711+0.164787j -0.0126581+0.0166174j 0.0150221-0.0167397j -0.04571+0.0624709j 0.0109825-0.0155033j -0.00831117-0.0321975j -0.00466487+0.120432j 0.0032619+0.0701416j -0.00701142+0.117951j 0.00670982+0.00886903j 0.0303048+0.002591j -0.0320332-0.0194673j 0.0617505-0.0511279j 0.0423096-0.0950473j 0.0197215+0.0215409j -0.00898326+0.122952j 0.0190672+0.0580678j 0.011509+0.0393671j 
0.00503699+0.0124444j -0.0316836-0.00355074j 0.0283971-0.0021875j -0.0139887-0.0504893j 0.00323135-0.0822718j 0.0110279-0.00637566j 0.0256492+0.0147029j 0.0374117-0.0131947j 0.0249332+0.0206656j -0.031398+0.0231729j 0.0361616+0.00969228j -0.0293771+0.0192574j 0.0532387+0.0392079j 0.0315918+0.00436445j 0.0158352+0.0504276j 0.0188745-0.0128203j -0.00076266+0.0629803j 0.0156827-0.0622556j 0.0013692-0.0021417j 0.0320404-0.0336324j -0.0370645+0.0558057j 0.00721944-0.0329821j -0.00585496-0.0219743j -0.0128851-0.0244524j -0.0187814-0.0102058j -0.0281503+0.00998701j -0.0151975+0.0761181j -0.0369502+0.0208349j -0.0137841-0.0129202j 0.00998524-0.00535697j -0.01195-0.0517604j 0.0424571-0.0642813j -0.00962229+0.0561909j -0.0113374-0.0103739j 0.00900652-0.0798863j -0.0457869-0.00156837j 0.0317904+0.00436432j -0.0413144-0.0239166j -0.017534-0.125238j 0.00722568-0.0363755j 0.0543473-0.0898261j -0.0553669+0.0989937j 0.115368-0.064792j 0.0185214-0.0740773j 0.0484997+0.0676248j -0.00153535-0.0322179j 0.107007-0.131144j 0.0363575-0.0952342j 0.107832+0.0399872j 0.0157468+0.00293032j -0.00950495-0.0942802j -0.00983313+0.040403j 0.045524-0.0320557j 0.0372318-0.0166588j 0.0546675+0.150653j -0.0912536+0.0396322j -0.00439135-0.0217248j 0.0707615+0.056964j 0.032809+0.0356687j 0.00717451-0.086951j -0.0197379-0.0814801j -0.0103674-0.00683579j -0.0244716+0.0687542j -0.0418428+0.0465295j -0.0458324+0.0873731j -0.100702+0.00490567j -0.0532233+0.0118975j 0.00765397-0.129372j -0.0352884+0.0571872j 0.00414016+0.0700865j 0.00560002+0.0621184j -0.069343-0.066953j 
0.0489395+0.00615474j -0.0187191+0.00667328j 0.029217+0.0098642j 0.0487783+0.033912j 0.0279461+0.0350253j 0.0261724-0.0245098j -0.02093+0.0255952j -0.0109069+0.00727216j -0.0480399-0.0176906j -0.0959403+0.00203263j 0.0446787+0.0247333j 0.0349429-0.0238954j 0.0142893+0.0304692j 0.0338362+0.0262041j -0.0420488-0.0623499j 0.0532912-0.00865983j -0.00127719-0.0596097j 0.00715615+0.0309479j -0.00472668+0.0111488j 0.0301496-0.0325373j -0.0206805-0.00325879j 0.0698333+0.0153831j 0.00899774+0.0304004j 0.0117001+0.0220856j 0.00705341-0.0443287j -0.0121072+0.00896545j -0.032389-0.0277057j -0.000589031-0.00895383j -0.0218508+0.0536675j 0.0430052+0.0480316j 0.0579179+0.0690007j 0.00134765+0.0180332j -0.0976485+0.0140169j -0.0562785+0.0218271j 0.123009-0.0132621j 0.0781145-0.0233896j -0.0329148+0.027435j -0.000435063-0.0115991j 0.0114998+0.0142343j 0.0795433+0.0620702j -0.0535641+0.0180996j -0.108498-0.0529226j -0.091363+0.0953613j 0.0218525-0.00468025j -0.0700166-0.0475489j -0.0619007+0.0633159j 0.0408294+0.099331j 0.114403-0.0564255j -0.0666081-0.0157739j -0.0115618+0.0247795j 0.0501967+0.0233734j -0.0639722+0.0350743j 0.037335+0.0288193j -0.0628266+0.100266j -0.189276+0.0406795j 0.0812536-0.0310414j 0.0547956-0.0132282j -0.0848132+0.0390055j 0.0286392-0.0333062j -0.0488477-0.105961j -0.0525326+0.0482266j -0.0834149-0.0273971j 0.0431944+0.0222437j -0.0899175+0.0446972j -0.0628474-0.0868297j 0.00257597+0.00689682j 0.0962855-0.0482281j 0.104452+0.0221377j 0.00227616-0.0377696j -0.101744+0.00950745j 0.0783853+0.045328j 0.00251081+0.0549381j 
0.0337286+0.00555172j 0.0361212-0.00916027j 0.00728924-0.012628j -0.000751634-0.00783276j -0.0483702-0.00178597j 0.00804977-0.00989948j -0.0636341-0.00783556j -0.0143359+0.0167516j -0.0715686+0.000551254j 0.0312673-0.0658175j 0.00716986-0.0132505j 0.0607578+0.000284574j -0.0200123+0.000412015j -0.0416364-0.0254639j 0.00810303-0.0222934j 0.0123036+0.0247589j 0.0542637+0.0410785j -0.0412526-0.072016j -0.0380653-0.0264819j 0.00815185+0.0338847j 0.0331819+0.0256847j -0.0579197-0.0342313j 0.0505633-0.0149235j -0.00955591+0.00488752j 0.00856024+0.0481276j -0.0022721+0.00651693j 0.00228467-0.030492j 0.0440603+0.0108908j -0.0236513-0.0297276j 0.0120038-0.0142141j -0.0262663-0.0207031j -0.0303817+0.0679396j -0.0134557+0.0817983j -0.0128625-0.0127933j -0.0346038-0.000672281j -0.021354-0.00346565j 0.0258597+0.0106381j -0.0413212+0.0438666j -0.0100152+0.00943667j 0.0442591-0.0138648j 0.0508805+0.0649041j 0.137275+0.0206257j -0.118288-0.0968576j 0.0357186+0.0497352j -0.0198499-0.0179725j 0.00748099-0.110355j -0.0642127-0.0907021j -0.0163961+0.0883962j -0.0496355-0.0264346j -0.00449635-0.0855948j -0.0269731+0.0609178j 0.0258829-0.0997036j 0.0657641-0.06209j 0.00544616-0.120907j -0.046997-0.0541187j 0.0096424+0.0550406j 0.0138759-0.000845511j -0.0246512-0.174855j -0.0576734-0.0584626j -0.0939361+0.0571547j 0.0925693+0.0485242j 0.0144254+0.0260838j -0.0134078-0.0835368j 0.0839703-0.046905j 0.0372653-0.00603043j 0.0125013-0.00362999j 0.0263466+0.0551354j -0.0127042+0.00686488j -0.0103403+0.0547234j -0.0038289-0.108242j 0.0341862-0.052793j 0.0782543+0.0313809j 
0.0258408-0.0118248j -0.025778+0.0214728j -0.0207572-0.036139j 0.0298041+0.00623199j 0.0304482+0.0203599j 0.0115235-0.00252229j -0.0275305-0.0495134j -0.0402982-0.0255085j 0.00603692+0.0136082j -0.0841235-0.023698j -0.0171555-0.0522496j 0.00759668-0.00553808j 0.0262797-0.0671057j -0.0343418-0.0396366j -0.0396822+0.0391242j 0.0072667-0.00146992j -0.00955287-0.0164047j 0.0033011+0.0161002j 0.0438649-0.0848415j 0.0156016+0.0363101j 0.0048976+0.027692j -0.014068+0.00133439j 0.00500254-0.00859096j 0.0293003-0.00248544j -0.0312441+0.0315487j 0.00290403+0.0221036j 0.0290004+0.0375593j 0.0201275-0.067564j -0.0405208-0.0383037j 0.0367646-0.0238903j -0.0584903-0.0542592j -0.00170116+0.029065j -0.105483-0.00813605j 0.0484548+0.0384532j 0.00523039+0.0799942j -0.0509583+0.116305j -0.0859594-0.0164568j 0.0189458+0.0872539j -0.0389096+0.113602j 0.0259747-0.0773114j -0.0739646+0.0539984j -0.0301154+0.0504282j 0.083407-0.0396696j 0.0301661+0.0429506j -0.113808+0.140458j -0.0491092-0.0335627j -0.00995524-0.0855438j 0.130612+0.0350561j 0.0222082+0.0327952j -0.028803-0.0597153j 0.0650096-0.0121056j 0.00385685-0.0843514j 0.0139089+0.0145402j -0.018114-0.0715106j -0.123905-0.0037902j -0.0343977+0.00146371j 0.0802991-0.0475134j -0.0781584-0.0494585j 0.0522672-0.12276j -0.163666+0.154252j 0.0680001+0.114991j 0.0730432+0.0881807j 0.0416953-0.0549917j 0.0932492-0.0600059j -0.0270133+0.078215j -0.0316109+0.0226165j 0.0287997+0.0347957j 0.122345-0.0340796j -0.0172598-0.0481763j -0.0156156-0.0330544j 0.0761143-0.0705405j 0.0510033+0.0785027j 
-0.0100914+0.00639955j 0.00688101+0.00332364j -0.0120467-0.00246815j -0.0387378-0.00335312j -0.0474994-0.0258681j 0.0431213+0.033276j -0.0135527-0.0135338j 0.00978662-0.0225388j 0.0234078+0.0722124j 0.0726012+0.0475206j -0.0329152+0.0278168j 0.0101882+0.0116995j 0.00129665-0.0148199j -0.0326857-0.045348j 0.0474359+0.0554044j 0.0126618+0.0144959j 0.0313788+0.00725425j -0.0219695+0.00320733j 0.0337274-0.02196j 0.0591342+0.09829j -0.000926082-0.0192086j -0.0566077+0.0173602j -0.020393+0.00700021j -0.0234652+0.013706j 0.0297559+0.0038994j -0.00366482-0.0520981j -0.00238348+0.0377915j 0.035574-0.00915788j -0.0279838+0.0251372j -0.0474879-0.0101545j -0.0219099-0.0399153j -0.075582+0.0130642j 0.0559592-0.0788772j 0.0106794-0.0295866j -0.0477317+0.0293841j 0.016808+0.0331443j 0.0203815+0.0128264j -0.0775101-0.069832j -0.020263-0.0430155j -0.125401-0.115389j 0.0341326+0.227681j 0.0568677-0.032415j -0.0862485-0.0676762j 0.0765009+0.00283022j 0.0520012+0.10162j 0.0473521-0.00563619j -0.11953-0.0222446j 0.0424635-0.0723928j -0.0518612-0.0428293j -0.0119817+0.042565j 0.0919931-0.125874j -0.0537948+0.18627j -0.150081-0.0299289j -0.108676-0.0708731j -0.00630327-0.00642236j 0.0579905+0.0413723j 0.0355024+0.100752j -0.209882+0.0603153j 0.123752+0.102601j 0.0615519-0.145074j -0.118764+0.127285j -0.148995-0.0788624j 0.0171692+0.0900479j -0.0488096+0.00884008j 0.044425+0.0559177j 0.0116466-0.0154559j -0.0202646+0.0293771j -0.00805497-0.00358293j 0.135057+0.0164977j -0.0156204+0.136993j -0.00365506+0.0703902j -0.0661722+0.00159357j 
0.0223335-0.00500263j -0.00278979+0.0108803j 0.0546235+0.0263146j 0.0579765+0.03297j -0.0239858+0.0286852j -0.0189817-0.0204607j -0.0311521+0.0067244j -0.0653132+0.0367624j 0.00771311+0.0493324j -0.008625+0.00692456j 0.0200496+0.0259309j 0.00254086+0.00134682j 0.00569713+0.00272213j -0.0111311+0.00811478j 0.01696+0.0375085j 0.05006+0.0579534j -0.0237961-0.0395535j -0.0273302+0.00428198j -0.0834886-0.0672695j -0.0940617-0.0047018j -0.0394812-0.0505356j 0.0209259+0.0168108j 0.0917272+0.00663294j 0.024611+0.0482687j 0.079662-0.0186458j 0.0494846-0.0718239j 0.0369359+0.00131447j -0.00578833-0.0167477j -0.0147748-0.0488123j -0.0402677+0.0474704j -0.0845804+0.0977547j 0.0125978+0.0656313j 0.0455502+0.0640237j 0.0916286-0.0169412j 0.0117229-0.0389847j 0.0205183+0.0125543j -0.0735475-0.02367j 0.0901656-0.00100968j 0.109727+0.0181187j -0.0686999-0.00538589j -0.101482+0.11412j 0.0138312-0.0382636j 0.134779-0.00146269j 0.0335044+0.0181818j -0.0163815+0.0735326j -0.0390499-0.0147723j -0.0505934+0.0638493j -0.0141367-0.0490814j 0.15427+0.0207488j -0.111375-0.0325353j 0.0650805-0.049522j -0.0730958+0.0423709j 0.0154185+0.0248974j 0.00111923-0.00971188j 0.103642+0.0494644j -0.0945104+0.00537505j 0.0124003-0.0173816j -0.113471+0.067466j 0.0625412-0.145019j -0.0136717-0.052709j 0.109202+0.216161j 0.0743759+0.117635j 0.164995-0.029643j 0.0607446-0.0101822j 0.0120574-0.0179254j -0.0608001+0.00773939j -0.0737176+0.0367164j 0.00717493+0.0188526j 0.0248934-0.00239595j -0.0265778+0.0416385j 0.0796007+0.0017157j 0.0368003+0.0973583j 
