-0.145689+0.012361j -0.51322-0.481816j 0.480873-0.504452j 0.00216024+0.10119j -0.037516+0.0336689j 0.132611+0.00355214j 0.0828455-0.00104888j 0.0235869-0.0671294j -0.0108828+0.0857461j -0.00385782-0.0152184j -0.0281396-0.0125831j 0.0237801-0.0255184j -0.00261047+0.00496759j -0.0112017-0.0297922j -0.0105046+0.0177352j 0.0265677+0.0277288j 0.000247682-0.00984723j 0.043934-0.0258792j -0.0015424-0.0208252j -0.00133443-0.00245117j -0.0196024+0.015538j -0.0106189-0.0362087j -0.0240419-0.00852857j -0.0142746+0.00849842j 
-0.00135966+0.000264732j 0.0442648-0.0837206j -0.0577742-0.0779131j 0.262912+0.00819835j 0.619884-0.00331547j -0.0108686+0.00782095j -0.105122+0.0070041j -0.155895-0.00637965j -0.685296-0.0185302j 0.0157729-0.0382912j -0.0204222+0.0642516j 0.0100651-0.00147872j 0.0126935-0.010198j -0.0578537+0.0712889j 0.00650055-0.0234398j -0.00198357+0.00969448j 0.0185794-0.0061187j 0.022525+0.0491534j 0.0393029+0.0272664j 0.0924318-0.0273561j 0.00805252+0.00374363j -0.0188804-0.068282j 0.0740975-0.0115402j -0.090637+0.0951316j 
-0.000702575-0.0029169j -0.0909333+0.0568424j 0.0795391+0.071041j -0.635746+0.000687124j 0.287202-0.0036978j 0.0954139-0.0127241j -0.103648-0.00691846j -0.652087-0.0100766j 0.120836+0.00942546j 0.0702033+0.0642755j 0.0667242-0.0287294j -0.0665355+0.0485691j 0.0137261-0.00590755j 0.00854939-0.00310977j 0.0143232+0.0353288j 0.0519952+0.0255j -0.0360944+0.00816263j 0.00657956-0.000816358j -0.0471266-0.0332961j 0.00251994+0.0047958j -0.112841+0.0300685j 0.0419218-0.000319849j -0.113819+0.0533966j 0.0572366-0.0441149j 
0.0163891-0.00171064j -0.0240622-0.0181297j -0.0188291+0.0228538j -0.0521993-0.0173524j -0.0721879-0.0242831j 0.0279016-0.0094261j 0.0583037-0.0248273j -0.0120377+0.00934707j 0.0509816-0.0648951j 0.063983-0.0741384j -0.109009+0.158439j -0.0624925+0.0189843j 0.00390399-0.0819653j -0.134705+0.269348j -0.122108+0.0171876j -0.00477464+0.0255602j 0.0288406+0.0679392j 0.231251+0.124719j 0.132337+0.0165384j 0.337456+0.284404j 0.0687831+0.0696465j 0.0605512-0.222894j 0.220756-0.00163533j 0.524851+0.197096j 
0.00413037-0.0213522j -0.0413507+0.0269955j 0.0320424+0.0337434j -0.0259932+0.000259539j -0.0193553-0.0108402j -0.00218583+0.0201322j 0.0119637+0.0609673j 0.000666969-0.0123455j 0.12141-0.0286066j 0.0535693+0.0172181j -0.158964-0.0169586j -0.0251598-0.00338148j 0.0656399-0.0106988j -0.377068+0.0324831j -0.0350906-0.00524279j -0.0254354-0.00490043j -0.0364197-0.014592j -0.0827403+0.115242j 0.0701389-0.0403229j 0.186314-0.731464j -0.0137384-0.149782j 0.248045-0.0328614j 0.109425+0.102736j -0.0432177+0.153837j 
-0.0386857-0.0298261j -0.00272859+0.00660813j 0.0100595-0.00955737j -0.00689843-0.0253716j 0.0186716-0.00819703j 0.0439874-0.0195505j 0.0233725-0.0048387j -0.00138+0.033628j -0.0395237-0.0434642j 0.0759765-0.106687j -0.11088+0.2066j -0.0961955+0.0100336j -0.0598326-0.0621622j 0.104958-0.159253j -0.259789-0.139831j 0.00861095+0.0601451j 0.313459+0.547266j -0.100203-0.0732973j 0.0299168+0.177511j -0.0987817-0.12818j 0.24939+0.00708324j 0.156498+0.0516087j -0.417156-0.105803j 0.0873717+0.0458018j 
-0.0318988+0.0444067j -0.00624805+0.0162667j 0.00551834+0.0109804j -0.000891617-0.0105659j 0.0276631-0.00539145j 0.0178356+0.0277919j 0.00854949+0.0394502j -0.03195+0.0101134j 0.0413639-0.0330226j 0.13148-0.0495922j -0.417552+0.0700548j -0.132261+0.00268268j -0.0472187-0.138172j 0.219894-0.0446389j 0.0600056-0.182113j -0.13404+0.0303896j 0.282096-0.630398j 0.0565551-0.0502109j -0.239591+0.118547j -0.0048655-0.0407207j 0.057674+0.140738j 0.0657939+0.0570963j -0.0882061-0.171723j 0.0258508+0.0797432j 
0.0149754+0.0200346j -0.00368362+0.0283576j 0.0224331+0.00814773j 0.0338246-0.0349841j -0.00476217+0.0215802j 0.0701372-0.0640005j 0.00572133+0.00812573j 0.104077+0.0526813j -0.0535749-0.0210145j 0.0378523-0.183875j 0.173887-0.119894j -0.269426-0.0788785j -0.232914-0.693774j -0.0895041-0.0998591j 0.0491091+0.0569373j -0.0464433-0.12289j -0.100978+0.000590618j 0.0095297+0.00852022j -0.0342174-0.0279076j 0.0626052+0.00518683j -0.39244-0.0926326j 0.0339481+0.00594402j -0.153167+0.00179052j 0.0389516-0.00857983j 
-0.0215105+0.00131845j -0.0365745-0.0231103j -0.0217587+0.0374987j -0.0912588+0.0220764j 0.0200447-0.00801146j -0.0345297-0.0910069j 0.0199989-0.0190655j 0.0244614-0.0547046j -0.0262607+0.028243j -0.552087+0.141117j -0.182618+0.00563915j -0.0024512+0.271445j 0.352913-0.398017j 0.0635354-0.0632124j -0.0523674+0.019368j -0.231774+0.143143j 0.0122176+0.0389042j -0.0302083-0.00684737j 0.109014+0.0159884j -0.0216356-0.0496596j 0.112276+0.241061j -0.045155-0.0442924j 0.0810968+0.142728j -0.0269431-0.0628675j 
-0.0058605-0.00323323j 0.00927781+0.0113342j -0.00637852+0.00149292j -0.0023724-0.0117473j -0.00540116-0.00457177j -0.00354862-0.0156649j -0.0132925-0.0225186j 0.0118417+0.00310157j -0.0392292+0.0315802j -0.0222165+0.00143999j 0.0425072-0.0211782j 0.0223878+0.0127745j -0.00257268+0.0304117j 0.0463791-0.0473648j 0.040956+0.0268817j 0.00350825-0.010204j -0.0139626-0.034236j -0.0708945-0.076268j -0.0448656-0.0223146j -0.0955542-0.119677j -0.0197198-0.0314494j 0.0369678-0.0151397j -0.0238354-0.0262629j -0.0689628-0.0289963j 
-0.00458961-0.0100636j 0.0180231+0.00209434j 0.003072+0.00914805j -0.0141171-0.00528565j -0.0184676-0.0101339j -0.0055108+0.00587135j -0.0100257-0.00110322j -0.00707299-0.000821372j 0.0249865+0.0389174j -0.03198+0.00570098j 0.0530765-0.0065407j 0.00391429+0.00433134j -0.00270887-0.0121434j 0.0837813-0.00683997j 0.000355643+0.00802636j 0.00634102-0.00251741j -0.0196254+0.0296983j 0.0203764-0.0575312j 0.000104118-0.0206134j -0.155288+0.0820122j -0.0375658+0.0184834j 0.0155854+0.0996752j -0.0324248+0.0380697j -0.135561+0.0246836j 
