-0.176147+0.287569j 0.281251+0.1332j -0.335529-0.579261j -0.0551525-0.231933j -0.521545-0.133849j -0.0602789-0.00665685j -0.00784606+0.0402878j -0.063782+0.0387511j 0.0142228-0.0708671j -0.0293536-0.0293966j -0.00853442-0.00701123j -0.030374+0.00750241j 0.122309-0.0261004j 0.00955773-0.0241638j -0.00563928+0.012939j 0.0123026-0.0240127j -0.00141448-0.0247788j 0.00330668+0.0187022j 0.0172191+0.047428j 0.0168489-0.0152744j 0.0191228-0.0238903j -0.0169069-0.000246389j -0.0282964+0.00787037j -0.0208918-0.00898717j -0.0192887+0.0150323j -0.0137182-6.86475e-05j -0.00553979-0.00268239j 0.000960789+0.00661284j -0.0175242+0.00979292j -0.00882317+0.0117682j -0.0375693+0.0177604j 0.0395972+0.0152092j -0.0218836+0.0186172j 0.00369966-0.0121598j 
0.523252-0.0793979j 0.0274267-0.18799j 0.342739-0.620156j -0.283646+0.100677j 0.108668+0.29071j -0.00356699+0.0198697j 0.0583873-0.0515718j 0.0533154+0.0346559j 0.0495132-0.0113897j -0.0374227-0.102741j 0.0300053-0.0217799j 0.00837749+0.0177516j -0.065024-0.0386767j -0.0420657+0.0284897j 0.0174763-0.0117446j -0.00721928+0.0303456j -0.00235187+0.00484739j -0.0084105-0.00656942j 0.0166214+0.0191481j -0.00465524-0.0143592j -0.0284328+0.00367861j -0.0319646-0.0177229j 0.00354706-0.00469643j -0.00933789-0.0111712j -0.0346901-0.021628j 0.00583242+0.0120201j 0.00650269-0.00423605j -0.0295149+0.0504213j 0.00867896-0.0091514j 0.00385052+0.0158677j 0.00451033+0.00620945j -0.019807-0.0132573j 0.0155293+0.00364683j -0.0118242+0.0120908j 
0.025152-0.0244949j -0.0118117+0.0128587j -0.00171342-0.0611504j -0.0548714-3.68539e-06j 0.0173962+0.0549533j 0.0121341-0.229224j -0.234398+0.0633018j 0.0434624-0.12771j -0.338794+0.16738j -0.128072-0.382395j -0.104793+0.219599j 0.0135301-0.186514j 0.312155+0.174312j 0.00810081-0.0213715j -0.126569+0.017083j 0.0367984+0.00832176j -0.0513518-0.0381793j -0.0142795-0.0458057j -0.0219099-0.00571082j -0.035034-0.0187263j 0.040093+0.0580058j -1.18062e-05+0.0145862j -0.0185618+0.00347737j -0.00648106+0.016449j -0.0115381+0.00170436j -0.0071142+0.011827j 0.0201475-0.0563432j -0.0258998-0.0370871j -0.00977127-0.0273826j 0.0459596+0.0405689j 0.00651341+0.0138059j -0.0260265-0.0118932j -0.0213735-0.124106j 0.199796-0.0465742j 
-0.0133177+0.0130432j -0.0320126-0.0208806j -0.0985108-0.00530169j -0.0123301-0.0879922j -0.0955587+0.0580922j 0.0980895-0.215785j -0.215514-0.183855j 0.115623+0.0821351j 0.23897-0.154902j 0.119151+0.202718j -0.256916-0.0316682j 0.119033-0.0431634j -0.08794+0.221244j 0.0111529-0.00706416j -0.0695413-0.10152j 0.0142168+0.0253512j 0.0138611+0.00575256j 0.0352905-0.116682j -0.00389503+0.0245919j -0.00304065-0.0373243j -0.0284564+0.0934635j -0.0158117+0.00600561j -0.0129625+0.0102511j 0.0586899+0.0321535j -0.013422-0.00821955j 0.014534-0.0100403j -0.119361-0.0414677j -0.0180365-0.0020281j 0.0264321-0.0105462j -0.030873-0.0660099j -0.00767422+0.022611j -0.000614723-0.0203923j 0.099375-0.112371j 0.0773797+0.0841771j 
-0.0077083+0.051979j 0.027405-0.0521955j -0.0152229+0.0812702j 0.076602-0.0374252j -0.0849424-0.027702j 0.361048-0.0151416j 0.0301127-0.237196j -0.0653198+0.0509315j -0.213366+0.40506j -0.369837-0.268975j -0.0741393-0.147625j 0.0971197+0.0621165j -0.0103622+0.073345j 0.0242347+0.000730094j -0.0154028-0.143053j -0.000789952+0.0264462j -0.00308663+0.0685862j -0.0670485-0.016891j 0.0571895+0.021714j 0.086462-0.0180572j -0.0287038+0.0132706j 0.0155043+0.0443188j 0.103308+0.00584681j -0.000783548-0.0437869j -0.0546843-0.0488776j 0.018242-0.0327063j -0.00196805+0.0549399j -0.0434763+0.0128967j 0.025132-0.0478796j 0.0958503-0.0723252j -0.0241048+0.0145153j 0.00459142-0.0185509j 0.116087-0.00695558j 0.0421496+0.0973694j 
-0.0130215+0.00325989j 0.005418+0.0113568j 0.00418026-0.0114613j -0.00264021+0.00652914j -0.00186088-0.00789439j -0.0803617+0.0482366j 0.0463509+0.0771245j 0.0160612+0.00750403j 0.00474596-0.0214951j -0.00863675-0.0542813j 0.0694308+0.0727594j 0.0496629+0.089969j 0.0490602-0.067033j 0.037071+0.0142618j 0.0113196-0.184393j -0.00461777+0.0614377j 0.0382958+0.208982j -0.0381912-0.00416098j 0.0689609+0.121368j 0.0814351-0.057664j -0.0437046+0.0621815j -0.179633+0.0724006j 0.0876785-0.0206095j 0.0989084-0.0545502j 0.241729-0.10142j 0.0878334-0.0320337j -0.258064+0.172845j -0.0532977-0.00584411j 0.0547639-0.0742169j 0.0926931+0.172474j 0.0265626-0.0549174j 0.0380467+0.00782945j 0.178187-0.213001j 0.167791+0.178322j 
-0.00855951-0.0157667j -0.00681829+0.0285163j -0.0143768-0.0012154j -0.00370151+0.0404541j 0.075993-0.00566175j -0.0300538-0.0650439j -0.0200654+0.0905367j 0.0212898+0.0455811j -0.0279947-0.0172284j -0.0564729+0.00494817j -0.0251436+0.0920065j 0.0642259+0.075925j 0.108986-0.00497071j -0.0322549-0.0125605j 0.0849509-0.118556j -0.0457368-0.113524j -0.00732267+0.0994381j -0.126827+0.0380294j 0.0164866-0.162662j 0.178204-0.00659207j 0.0206459-0.190733j -0.148642-0.00876158j 0.0643888-0.00631104j 0.161074-0.14985j -0.241772+0.207824j 0.0136626+0.0112523j 0.201545+0.204958j -0.0568016-0.048803j -0.0239781-0.0242927j -0.195246-0.0206417j -0.0716204+0.231727j -0.186797-0.0472656j 0.143105+0.10461j -0.101299+0.204361j 
0.00317538-0.00788432j -0.00994898-0.0113186j 0.0074597-0.0131296j -0.0010849-0.0270412j -0.0381833+0.0200348j -0.0145576-0.0708547j -0.0313305+0.0694433j 0.0265582+0.0486702j -0.0453889+0.000598729j -0.067343+0.0177753j -0.0537282+0.100499j 0.0469466+0.0499926j 0.141896+0.0121665j 0.0946288+0.10354j 0.0686117-0.0365533j -0.0533739+0.19364j -0.0159597-0.0770952j -0.0822905+0.203385j 0.0377936+0.109478j -0.00889032+0.0553424j -0.0168867-0.0766321j 0.251299-0.167674j 0.221092-0.022264j -0.239363+0.0219954j 0.0359525+0.0733982j -0.0444275+0.0228915j -0.00187359+0.236603j 0.101676+0.189545j -0.00537034-0.119007j -0.15999-0.073935j 0.174843-0.164041j 0.127751+0.130395j 0.114587+0.132616j -0.128782+0.185894j 
0.0183904-0.0368416j -0.0178638+0.0481487j 0.00796611+0.024465j -0.0417929-0.0152509j 0.00266098-0.027865j -0.00364403-0.0416074j -0.00664266+0.0268352j 0.00781255+0.012139j -0.0156744-0.0137182j -0.0284285-0.00373073j -0.0102272+0.0283991j 0.0433751+0.0416435j 0.0525559+0.0248993j -0.0865076-0.167745j 0.0491436-0.0522673j 0.0974517-0.191536j -0.011196+0.0295649j -0.161633+0.150358j 0.137395-0.0901454j 0.142833+0.145969j -0.116708+0.0932087j 0.140652-0.17576j -0.244168-0.0216456j -0.0160332-0.369151j 0.0805209-0.091652j -0.0951573-0.211511j -0.0521414-0.180652j 0.274887+0.0745278j -0.0533041+0.0149577j 0.0242902+0.0319931j -0.26332-0.0728249j 0.163821-0.299892j 0.0193623+0.0527151j -0.0199448+0.0470256j 
-0.0113971-0.00669247j -0.0012213+0.0152776j 0.00544331+0.00677939j -0.00431714+0.0140076j 0.0190999-0.00418533j -0.00357661+0.00620263j -0.0129268+0.00559474j -0.00554709-0.00287731j 0.00680532-0.0253435j -0.00353403-0.00121277j -0.00119556-0.00316244j -0.03396+0.000525116j -0.0026332+0.00294212j -0.041251-0.00384345j 0.00500308-0.0116159j -0.00352165+0.00327802j -0.0990502-0.0389264j 0.0360328+0.0786513j -0.222474-0.130655j -0.0212696-0.0433699j -0.192678-0.222778j 0.0108653+0.00148726j -0.360021-0.340738j -0.0935142+0.110845j -0.0160687+0.0316262j 0.00521761+0.0184264j -0.401424+0.45285j 0.0151597+0.0686029j 0.0379733-0.0862456j 0.19406-0.0859583j -0.00516724+0.00868272j 0.0359505-0.00222377j 0.0153673-0.00391403j 0.0332013-0.00129299j 
0.000561338+0.0100096j -0.023961+0.0124967j -0.0141082-0.00365276j -0.00891361-0.0404135j 0.00163076+0.0119763j 0.0189317-0.0999393j -0.012851+0.0550523j -0.0281369+0.0495276j -0.0644687+0.0266651j 0.0637991+2.07873e-05j -0.101935+0.0146149j 0.0593061+0.0641253j 0.0601756+0.0983309j 0.076463+0.2125j 0.136559+0.0712661j -0.222612-0.0472669j 0.116231-0.0797192j 0.158722+0.0588239j 0.175865-0.137365j -0.0636494-0.0494297j 0.0505935-0.281845j -0.0109671+0.0341252j -0.190355-0.314099j 0.101972+0.0394969j -0.01032-0.248728j -0.0890902+0.0879298j 0.336872-0.0793356j 0.0936109+0.0311634j 0.020123-0.0200278j 0.204173+0.16172j 0.00637406+0.148629j -0.0489179+0.0996288j -0.0216372+0.1559j -0.00522324+0.0159767j 
-0.0129699-0.00968594j -0.00368775+0.01314j 0.0035643+0.00736996j -0.00353649+0.00853799j 0.013689-0.00215417j 0.0142328-0.00837485j 0.00688703-0.0121071j 0.0037124-0.00612145j -0.0232904+0.0366014j -0.0158096-0.0168237j 0.00752475+0.000221721j 0.0436659-0.00845088j 0.00937007-0.00305108j -0.0297247-0.00217557j -0.0166215+0.0107046j -0.0175382-0.00405164j 0.201274+0.0760909j -0.364124-0.442215j 0.0232826+0.0995989j 0.136196+0.122172j -0.0774701-0.103119j -0.0311996-0.0213616j -0.100833-0.0989021j -0.403953+0.393475j 0.0311782-0.041552j -0.112374+0.139055j 0.0301406-0.0444053j 0.210722-0.12005j -0.0176575+0.0445131j -0.0922803+0.0443228j 0.0215186-0.0101548j 0.0373202-0.0019485j -0.0104709-0.00282899j -0.0257971+0.00307028j 
0.0233682-0.0491762j 0.0123147-0.0195664j 0.00186363+0.00329254j -0.0202788+0.034301j 0.00596217+0.0337635j 0.0169141-0.0862546j -0.00659447+0.0406359j -0.0332241+0.0404643j -0.0650328+0.010538j 0.0413342+0.0132186j -0.0814252-0.00116928j 0.10006+0.119362j 0.0565474+0.0978432j -0.0713871-0.177216j 0.209202+0.0724214j 0.174723+0.0194691j 0.238012-0.124405j 0.0428916+0.391938j -0.212786-0.0436024j -0.124715+0.00160814j 0.0303962+0.0706592j 0.050558+0.256493j -0.0206975+0.155716j -0.359784+0.10389j 0.0965448+0.0341788j 0.0228214-0.042625j 0.0637123-0.0470183j -0.120657-0.127403j 0.00802704-0.037383j 0.0905707+0.0591336j -0.0394082-0.190394j 0.062391-0.0728095j -0.011365+0.126829j -0.0115533+0.0230326j 
-0.0728988-0.0017054j -0.011471+0.0436235j 0.0189971+0.00194723j -0.00185995-0.00295974j -0.00035324+0.00274506j -0.0463008+0.0414711j 0.0407811+0.0326441j 0.0350563+0.0140939j -0.00716097-0.0650894j 0.0427678+0.0201414j 0.0348964+0.0344158j 0.0444032+0.0399852j 0.00380418-0.0393112j 0.249004-0.0603639j 0.0103351-0.0303124j 0.12802+0.296841j 0.0399383-0.0114318j 0.111066+0.0212635j 0.155697-0.183869j -0.0569388-0.00504684j 0.182823+0.00494469j -0.150705-0.0669053j 0.241091+0.0351238j -0.0856762-0.00160127j -0.352179-0.158688j 0.050381+0.112229j -0.00267561+0.0957506j 0.0183872-0.171219j -0.0456775-0.0820548j 0.0038819-0.148479j 0.0129898-0.146378j 0.0539453-0.0495744j -0.00401729-0.0291013j 0.000182202+0.000247152j 
-0.00125214-0.0046944j -0.0219659-0.0191142j 0.00811181+0.00712368j 0.00220794-0.0282662j -0.019889+0.0275156j 0.0970971-0.103351j -0.135252-0.0620516j -0.0904775-0.0585506j -0.01636+0.140034j -0.0617381-0.0239644j -0.0792083-0.0777472j -0.204491-0.00930059j -0.0315625+0.0982884j 0.0723147-0.0030163j 0.0706054+0.281617j 0.0616889+0.0708852j -0.210034+0.131629j 0.261382-0.00737436j -0.0914789-0.00862272j -0.129634-0.0111983j 0.0629631+0.0805385j -0.316341-0.143066j -0.0804386-0.00468906j 0.0272836+0.0267265j 0.155687+0.0579945j 0.0444568+0.0777077j -0.039905+0.00108289j 0.0337253-0.13013j 0.0737381+0.0766924j 0.00437125+0.163294j 0.00279184-0.0883437j 0.0318783+0.00211916j -0.0148175+0.0839027j -0.00412941+0.00668056j 
0.000954309-0.00698389j -0.00747271+0.00127889j -0.000362+0.000639549j -0.00155948+0.000205508j 0.00402959+0.0102542j 0.0104895-0.0364158j -0.0186188+0.0204759j -0.00953353+0.00612784j -0.0193982+0.0224795j -0.0436311+0.00476119j -0.0187352+0.00898229j 0.0117035+0.074171j 0.00757619+0.0229023j 0.027163+0.00833133j 0.0743578-0.00902161j -0.00042616+0.0181147j -0.00659695+0.0580423j 0.0153203+0.063872j 0.00944501-0.0207593j 0.0127635-0.00316919j 0.0285375-0.0287402j -0.0746159-0.0358426j 0.0167939-0.0123906j -0.00121552-0.0320503j 0.00835648+0.0438618j 0.00987632+0.0203986j 0.0531652+0.0554695j 0.0105036-0.0214481j -0.0201805-0.0520335j -0.0517827-0.053028j 0.00391139+0.00408326j -0.00938036-0.0277835j 0.0718318+0.00655307j -0.0245682+0.0230725j 
