0.00385995+0.00356869j 0.00740061+0.011122j -0.00049121-0.0017235j 0.00892891+0.0137811j -0.0186138-0.0562983j 0.0030567+0.00801546j 0.00471328-0.0113872j 0.00210561+0.0010846j -0.00736628+0.00766069j -0.000261525-0.0030489j 0.0156797-0.00967443j -0.0627505+0.0102795j 0.00635881-0.00870442j -0.00657157+0.00277972j 0.00081888+0.0093199j -0.00216432-0.00375695j -0.00698842-0.00312581j 0.00708349+0.00587918j 0.0019009+0.00584219j 0.00725143+0.000494722j 0.000822167-0.00439836j 0.00203633-0.00360257j 0.00322686+0.00395508j 0.00216456-0.00420653j 0.00870183+0.0101678j 0.00734223+0.00893652j -0.00959737+0.000560664j 0.006406-0.000358036j 0.0137713-0.00362316j 0.000607276-0.00451361j -0.0317406-0.02005j -0.0211459+0.215195j -0.0365766-0.372092j 0.695689-0.0349034j 
0.00514784+0.0190769j 0.00407251+0.0293635j -0.000724593-0.00300603j 0.00395826+0.04203j 0.0137217+0.028178j -0.00575428+0.0135474j 0.0346446-0.00775508j 0.00255669-0.00131735j -0.0391955-8.26741e-05j 0.00269824+0.0107582j 0.103526-0.000598429j -0.0563324-0.0419126j 0.0110329-0.00708768j -0.0117511-0.00684694j 0.00883128+0.00696071j -0.00459716-0.0261474j -0.0163637-0.00518056j 0.0170242+0.0069686j 0.013246+0.0134999j 0.019341+0.00188948j 0.00501794-0.019032j 0.00259075-0.0213645j 0.00852667+0.00534367j -0.00456115-0.00900904j 0.0207965+0.0191344j 0.023736+0.026253j -0.0391296+0.0197839j -0.00657957-0.00235335j 0.0235928-0.0356587j -0.0284979-0.10938j -0.0674314-0.561079j -0.614014+0.0146761j -0.339968+0.123574j -0.0496652-0.0198508j 
-0.0081253-0.0122694j -0.0121337-0.02155j 0.00910928+0.0621788j -0.00717288-0.0217893j 0.00859084-0.0797262j -0.00186035-0.00621022j -0.000832077+0.00790668j 0.0335499-0.00258763j 0.00420458-0.00552167j -0.107814+0.00466039j 0.0581904+0.0129538j 0.0449279+0.00401754j -0.00187757+0.00593405j 0.00232865-0.00285877j -0.00454804-0.00755908j 0.00096342-0.000686178j -0.00537617-0.00099349j -0.00798213-0.00151117j -0.0125247+0.000119673j -0.0106877-0.00657505j 0.0134157+0.0156754j 0.00183024+0.012018j 0.0377582+0.0066931j 0.0137488-0.0280639j -0.0141948+0.000751575j -0.0311051-0.0746624j -0.144692-0.506883j -0.0666048-0.380215j -0.0891892-0.0140413j 0.662261-0.151801j -0.139533+0.0306371j -0.017945+0.043383j -0.0114545-0.00926614j 0.00309104-0.00238987j 
0.0057526+0.0272335j 0.00405128+0.020287j -0.00744192-0.0376941j 0.00205066-0.0227902j -0.0230182+0.0340115j -0.0122101+0.0114876j 0.0519601+0.00340312j -0.0344486-0.00195217j -0.0876985-0.00546219j 0.00826773+0.0024459j 0.0542007+0.0283081j -0.0483388+0.00025j 0.0114259-0.0060347j -0.0145128-0.00838577j 0.000178192+0.00146011j -0.0114154-0.03154j -0.00776089+0.00236068j 0.026053+0.0250009j 0.0276937+0.00980858j 0.0160612+0.00578356j 0.00287054-0.0343279j -0.0173115-0.0543599j 0.00876748-0.00927488j -0.0708662-0.0489183j 0.0628861+0.136348j 0.207186+0.602122j -0.0206742-0.0933182j -0.0634009+0.00170299j 0.646436-0.222763j 0.0946731+0.00819933j -0.0247924+0.111764j 0.0547834-0.0203578j 0.0384492+0.0705523j -0.0388957+0.00285344j 
0.000645176-0.00135773j -0.00976764-0.026745j -0.0128467-0.0785142j -0.00601677+0.0199065j -0.00117469+0.0124523j -0.000102956+0.00227746j -0.025132-0.00225767j -0.0711187+0.0120825j 0.0506974+0.00332955j -0.0288823-0.00464127j -0.0177018-0.0102621j 0.0258803+0.00305752j -0.00784176-0.00387206j 0.00543612+0.000814979j 0.00868424-0.00542021j -0.0009242+0.00490621j 0.0400937+0.0197934j -0.0053286-0.0159516j 0.00764317-0.0296009j -0.0159891+0.00529719j -0.00384699+0.0045378j -0.0174246+0.00862311j -0.0387042-0.00368805j 0.0675345+0.144662j -0.243962-0.589676j 0.107852+0.152326j 0.366017-0.177064j -0.530972+0.19866j -0.0318246+0.0469209j 0.0240352-0.0322111j -0.00290053-0.047221j -0.0319723+0.0190695j -0.0258631-0.0394333j 0.0282191-0.00198698j 
-0.00780277-0.0179728j -0.00396186-0.0339622j -0.000360073-0.00525252j 0.00320688+0.0687561j 0.00604068-0.020299j 0.00446644-0.00614559j -0.0198824+0.00848344j 0.0484749+0.0093922j -0.0713154+0.000578554j -0.07397-0.00918858j -0.0374144-0.00209635j 0.00310637-0.00376287j 0.000340715+0.00634879j 0.000996905+0.000843208j -0.0186548-0.0100106j -0.000619905+0.0160409j 0.0262187-0.00228102j -0.0108687+0.00826156j -0.0253723+0.00167631j -0.0100968+0.0455885j 0.0241992+0.0508981j 0.182701+0.206888j 0.457815+0.436449j 0.47536-0.46846j 0.12723-0.137871j 0.0521296+0.0183875j 0.00772139+0.0606261j -0.0242703+0.00759979j 0.0332947-0.0423309j -0.0388507-0.0119491j -8.30028e-05+4.54743e-05j 0.00368616+0.00285019j 0.00509736+0.0043917j -0.00783637+0.000168714j 
-0.00402578-0.0230352j -0.0103297-0.0120642j 0.000983284+0.0143075j -0.0168774+0.034602j 0.0141112-0.0153742j 0.0142061-0.00589483j -0.068677-0.0145901j 0.023765+0.00711693j 0.127082+0.00993587j 0.0228372+0.00065706j -0.04909-0.0120107j 0.0179141-0.004609j -0.0162687+0.00101851j 0.0169017+0.00738813j 0.0258934-0.00607995j 0.00664595+0.0305457j 0.0408558+0.00129314j -0.324613-0.184694j -0.313544-0.166029j -0.384282-0.198424j -0.103562+0.257956j -0.279492+0.486418j 0.142898-0.241002j -0.0632214-0.0180397j 0.02359+0.0661265j 0.0162622+0.111665j -0.014722+0.0028148j 0.0100146-0.00100581j 0.0689124-0.00558561j -0.0121708-0.0117026j -0.0117887-0.0798377j -0.0432387+0.023185j -0.0287009-0.0459083j 0.0232694-0.00363398j 
-0.00840567-0.0200723j -0.00603098+0.0166549j 0.00859147-0.092288j 0.00484734-0.00952407j 0.00778855-0.0131087j 0.000694563-0.00514798j -0.0240745-0.00361872j -0.0388777-2.77021e-05j 0.0240281+0.00167482j -0.116326-0.0141989j 0.00329624-0.00255568j 0.0174717-0.00306935j -0.00378474+0.00216187j 0.00445241-0.000372689j 0.00108256-0.0106872j -0.00511739+0.00901225j 0.0742947+0.0298775j -0.521923-0.198743j 0.190901+0.0462967j 0.294391+0.193785j -0.253845+0.572695j 0.0951871-0.270696j -0.0385523+0.0541367j -0.00975093+0.0114047j 0.0222062+0.0309099j 0.00976594+0.0172594j -0.0168472+0.0251576j 0.0109782+0.00901124j 0.0186065-0.0132751j -0.00603261-0.0103974j -0.00302375-0.0163639j -0.0102149+0.0192823j -0.00918552-0.0242381j 0.012998-0.00201419j 
0.0117783+0.0495514j -0.0116585-0.0686847j -0.0170475+0.067007j 0.00297234-0.0285063j -0.00522246+0.00685651j -0.0205158+0.0211633j -0.0574336+0.0013548j -0.209258-0.0138867j -0.0134524-0.00139313j 0.0530514+0.0117608j 0.00337203-0.00402994j 0.00731336+0.00400415j -0.00689679-0.0173924j -0.00130561-0.00930457j 0.0237568-0.0213049j -0.0951306-0.023415j 0.623033+0.163288j 0.0639447+0.0790925j 0.130866-0.530555j -0.111116+0.384636j 0.0269149-0.0534038j 0.0210474+0.0192962j 0.00868221-0.0250287j -0.0135072-0.0191007j 0.0241783+0.0402675j -0.0202436-0.0128124j -0.0306168-0.00355758j 0.0361179-0.0300473j 0.000140559+0.00956938j 0.0143602-0.00311836j -0.00564037-0.0169086j -0.0144873+0.00571865j -0.0115573-0.0124947j 0.0125338-0.0016683j 
0.0310345+0.0420423j 0.0514254-0.0676969j -0.00167172-0.0018409j 0.0235381-0.0192316j -0.0208262+0.0289333j -0.0547186-0.00836723j 0.316286+0.0230395j 0.00470974-0.0107976j -0.00682211-0.0109481j -0.00504862-0.00256041j 0.0234147+0.00294943j 0.0113364+0.0157612j 0.0735793+0.00164606j -0.0159204-0.0192865j 0.528013+0.105283j 0.107793-0.610841j 0.0433684-0.0961976j -0.055674-0.0541913j -0.0428461-0.0406055j -0.0137954-0.0152155j -0.00704772+0.0656514j -0.0043323+0.0637533j 0.0190234-0.00647809j 0.0203971+0.00642344j -0.017963-0.0556161j -0.0179016-0.0746468j 0.0119204+0.000509828j -0.0120956+0.00416402j -0.0546837+0.0219785j 0.00334761+0.0134243j 0.0145857+0.0839671j 0.0323166-0.0873259j 0.0288685+0.147567j -0.062895+0.00861811j 
-0.00881575-0.0274671j -0.0160868-0.000197225j 0.000761036+0.00355523j -0.00508886-0.00985649j -0.00586069+0.0539872j 0.0215433-0.00938945j -0.134685+0.00273736j -0.0050979+0.00322744j 0.0392533-0.0020562j -0.0142073+0.00320332j -0.038552+0.00358604j 0.10884-0.00926708j -0.0427416+0.0108824j 0.0188225+0.00354566j -0.162666-0.0524334j -0.0293252+0.220855j 0.00535165+0.0430808j -0.0314059-0.02014j -1.08088e-05-0.0164262j -0.0145438+0.0016007j -0.0132693+0.0392487j -0.0104804+0.0160969j -0.000273057-0.0169355j -0.00193704+0.0121955j -0.0132533-0.0375296j -0.0114114-0.0372899j 0.00880963-0.0299968j -0.0192718-0.0150454j -0.0376242+0.0175125j 0.0229325-0.00786427j 0.00658512-0.00109062j -0.00317761-0.232675j 0.0252612+0.422899j -0.197992+0.00976025j 
