-0.70206+0.00507003j -0.1457+0.00562847j -0.712535-0.0156321j -0.00990972-0.0485387j -0.0399854+0.0453286j 0.0406467-0.0154721j 0.0332109+0.0479579j 0.106071-0.0593801j -0.0061491-0.00358078j -0.0474594+0.00652395j -0.000822044-0.00603806j -0.00840563+0.0469576j -0.0192897+0.0103228j 0.00227934-0.0261058j -0.0218398+0.0133423j 0.0101621+0.0154484j -0.0140499-0.00717574j -0.010871-0.0020035j 0.0224925-0.0420427j 0.0121532-0.0197993j -0.0435022-0.00663636j -0.00541454+0.00898164j 
0.00330115+0.0272333j 0.0570021-0.036056j -0.0444699-0.0471147j 0.19129-0.274066j 0.274545+0.137295j 0.325671+0.573135j 0.0407962+0.204696j -0.499538-0.148995j -0.0666738+0.0345444j 0.0181475-0.012719j 0.0610285+0.0209888j 0.0353015+0.0120372j 0.0271998-0.0820421j 0.0299467-0.0228943j -0.0209801+0.0656254j -0.0375781-0.0346091j -0.024657+0.0346143j -0.0239425-0.0334379j 0.00217942+0.0109528j -0.0161104-0.0145995j -0.0484539-0.00788334j 0.172-0.05627j 
0.0225371-0.0157899j -0.0330686-0.0635729j -0.070753+0.0510215j -0.5166+0.0656307j 0.0353961-0.191612j -0.318451+0.605876j 0.283203-0.11128j 0.0929408+0.264735j 0.0376804-0.00485301j -0.025342+0.0104608j 0.000639543-0.0858462j -0.00556277-0.0349922j 0.0510426-0.0234057j -0.0301996+0.00316112j -0.016189-0.00109859j -0.01707-0.0743764j 0.0534485+0.013633j -0.0582381-0.121433j 0.0182574-0.0209779j -0.0585197+0.0585201j 0.0156629+0.0292495j -0.105625-0.0374728j 
-0.00602896+0.0102607j -0.00132412-0.0146772j -0.0299111+0.0071922j 0.0247303-0.0146464j 0.00362699-0.00552265j -0.0156602-0.0766163j -0.0597623-0.00604349j -0.00147058-0.0643496j 0.0317905+0.170693j -0.04022-0.122757j 0.146743-0.139111j 0.140204-0.115631j 0.173397-0.109027j -0.0076317-0.0522639j -0.259163+0.198716j -0.00565159+0.0922494j 0.105579+0.0694201j 0.148934+0.362958j -0.0358969+0.0950699j -0.132154+0.230667j -0.124902-0.0373348j -0.336143-0.193602j 
-0.00309201-0.0145245j 0.00416343+0.0486719j 0.0674232-0.012357j 0.0263214-0.0138566j 0.00798301+0.000804997j 0.0266793-0.0274085j -0.0312074+0.0190626j -0.0436662-0.0336293j 0.0156845+0.0914915j 0.0358363+0.163029j 0.122506-0.112151j -0.1419+0.130415j 0.306962-0.174186j -0.139968-0.137022j 0.16489-0.154188j 0.122464+0.390101j -0.006069-0.000150366j -0.0380454-0.0344716j 0.100386-0.252335j -0.037064+0.0197521j 0.36043+0.149275j -0.0755597-0.0269143j 
0.00334935+0.0154348j 0.000498271+0.017913j 0.019369+0.0218134j -0.0309318+0.0364249j 0.0204696+0.0289123j -0.10871+0.000237092j 0.00323408-0.0996573j 0.117682-0.0543226j -0.0239371+0.166638j 0.0353252-0.219274j 0.169811+0.0503167j 0.227716+0.102624j -0.0566903+0.0603489j -0.0520264-0.0111294j 0.166185-0.151131j 0.0113534+0.0105461j -0.154457+0.00416915j -0.109886-0.181106j -0.1454-0.0295307j -0.238291-0.0294631j 0.0235333-0.142472j 0.0567402-0.25116j 
0.0240381-0.0488632j -0.00302745-0.0108372j 0.015021-0.0440382j -0.0131494+0.0209099j 0.0218589+0.0235878j -0.0770496-0.0196273j -0.000560934-0.0705249j 0.0795418-0.0364068j -0.00382104+0.197866j 0.0294573+0.18648j 0.25539+0.074386j -0.154598+0.0112503j -0.150819+0.170366j 0.194452-0.0384285j -0.0457927+0.116989j -0.15901-0.18527j 0.00450278+0.0206805j 0.0330515+0.0329979j 0.237667-0.0445961j -0.0999119-0.0431697j -0.0137487+0.250555j 0.0143953-0.136487j 
0.0647746-0.00220717j -0.000355666-0.0439883j 0.0020191+0.00750994j -0.0386699+0.0377484j -0.0279673+0.0162924j 0.00919669+0.0725634j 0.0629483-0.0169321j 0.0440205+0.0420558j -0.102351-0.0340459j 0.35836-0.116102j -0.0250892+0.0278119j 0.0737572+0.255095j 0.00877202-0.00139329j 0.0505897-0.0966188j -0.138221+0.389773j -0.141008-0.0834139j 0.122771-0.10954j 0.355671+0.203246j -0.12147-0.128968j -0.0597754-0.0986508j 0.0247856-0.158913j 0.0176189-0.0363189j 
0.0237384+0.0194709j 0.0208974-0.0204153j -0.00908514-0.00791366j 0.0282586-0.0620355j 0.0540135-0.0563011j 0.0133473-0.0936624j -0.0944398+0.0316373j -0.0885064-0.0384455j 0.360268-0.0980978j 0.139892-0.0439349j -0.0764085-0.301484j 0.0495335+0.0538616j -0.183696+0.359615j 0.0970688-0.0469546j 0.0296169-0.00394462j -0.309402-0.23193j -0.0182173+0.0438843j -0.152692-0.0986512j -0.118204-0.120178j 0.0882494+0.12682j 0.0455269-0.0943699j -0.024918+0.0976676j 
0.00145539-0.00345089j 0.000258427+0.00483545j 0.000304621+0.00251271j -0.00398538-0.00757207j 0.00570594-0.00986706j -0.0154483+0.0123051j -0.00123578+0.0116825j -0.0330519+0.000752456j -0.011361+0.0401819j -0.0038662-0.00200035j 0.010343-0.00289109j -0.0161626+0.000403573j -0.00433241-0.0094942j 0.00452342+0.0116336j 0.0306278-0.00991224j 0.0108916-0.00944408j -0.0418914-0.0538467j -0.0108854-0.104401j 0.00425711-0.00944091j -0.0497692+0.0415519j 0.0108009+0.0273672j -0.00294473+0.00802144j 
0.011887-0.00668243j -0.0108459+0.0115936j -0.00763271+0.00854053j -0.00422042+0.00691626j -0.007432-0.0130641j -0.00499901+0.0131878j 0.0009395+0.0244887j -0.0351391+0.0179616j 0.00748114-0.031178j -0.0018715+0.000936709j -0.022353+0.00577514j -0.0230937-0.00880264j -0.00760189+0.0119901j -0.0206986-0.0309008j 0.0152557-0.0105115j -0.0132276+0.0485119j 0.0160413-0.00929484j -0.0460076+0.010411j -0.0201561+0.0200132j 0.0231456-0.0547846j 0.00418719+0.00261702j 0.0648535-0.00728702j 
