-0.00647215+4.9062e-05j 0.0215282-0.00352821j 0.0220216-0.00371804j 0.0173229+0.00062676j -0.0180009+0.00343066j 0.033273-0.00399438j 0.0203785+0.00389237j -0.0228068+0.00400468j 0.00535447-0.00223807j 0.0171486-0.00528284j 0.03657+0.00614045j 0.0361764+0.000828323j -3.85962e-05+0.00663279j 0.0337575-0.00848884j -0.026203+0.00808707j -0.0102011-0.00580935j 0.0248355-0.000167852j 0.0258448+0.00150322j 0.0101919-0.00897049j -0.000833666+0.000920528j -0.0367934+0.00203044j 0.00150169+0.00768021j -0.033908+0.00767589j -0.0147112+0.00684402j 0.00398451-0.000308576j 0.0233605-0.00550675j 0.0137573-0.0088146j -0.010524-0.00621193j 0.0151507+0.00209761j -0.0238461+0.00761922j 0.00708158-0.000567749j 0.0148227+0.000599309j -0.0209854+0.00440996j 0.0057552+0.00383067j 0.00428772-0.00308729j 0.0143312-0.00314961j -0.0121845-0.00386899j 0.00589468+0.000762327j -0.0183251+0.00624815j -0.0139864-0.000675576j -0.00800993+0.000596652j -0.0158329+0.00879068j -0.00597148+0.00526878j -0.00174576-0.00312533j -0.00336911+0.00666719j 0.0123098-0.00507597j -0.00543776-0.00298468j 0.00142976-0.00782821j -0.000636076-0.00467267j 0.00781524-0.00474758j -0.0138996-0.00427186j 0.00539896+1.39431e-05j -0.0140523+0.00524953j -0.010261+0.000285351j -0.0245262-0.00239993j -0.0124505+0.0105105j -0.00961547+0.00532215j 0.00386388+0.00975547j -0.0227196-0.0085518j 0.00333988-0.00265571j -0.0357822-0.00655875j 0.0102037+0.00381174j -0.0246426+0.00238217j -0.0200742+0.0110419j -0.0202232+0.010443j 0.00941317+0.00414194j 0.0133813-0.000397349j -0.0511287+0.00810813j -0.0290319+0.00160221j 0.0402603-0.00766729j -0.00669914-0.00520842j 0.043166+0.00342875j 0.0344418+0.00336352j 0.00431936-0.0120071j 0.0283616-0.000254077j 0.0687259-0.0105711j -0.00107822-0.00377239j 0.0593038-0.00934701j 0.00554194+0.00575836j -0.0747723+0.0360056j 0.0277189-0.0266849j -0.0425326-0.00210679j 0.122895+0.027749j 0.102967-0.0176489j -0.129865+0.133176j -0.354214+0.00183309j 0.185219-0.0310026j 0.0734886-0.0529538j 0.0546823+0.0535703j 0.112672-0.0217193j 0.0321206-0.011548j -0.0179196-0.025679j 0.0507674-0.0225154j -0.0347806-0.00781559j -0.000448622-0.0184811j -0.0189857-0.00679716j 0.108536-0.00323511j 0.437993-0.00271836j 
-0.0212044+0.00352399j -0.00580814-0.000149611j -0.0169421-0.000279158j 0.0264868-0.00399403j 0.0126478+0.000270367j -0.00691133-0.00416704j 0.0436907-0.00637596j 0.0203375+7.70904e-05j 0.00684617+0.000400111j -0.0222564-0.0052763j 0.0382585-0.00711707j -0.00144319-0.00626841j 0.00657144-0.00683578j 0.00024524-0.0123142j 0.0404203+0.00217499j -0.0162317+0.00743339j 0.0121539-0.00484075j 0.0113094-0.00287134j -0.023572-0.00673556j 0.00754933-0.00426651j 0.00120648+0.0102375j 0.0154133-0.00129357j 0.00230043+0.00691793j 0.0188527-0.00310705j 0.00790341-0.00192061j -0.00380123-0.00361602j -0.0341804-0.00331976j -0.0142051+0.00492413j 0.00578042-0.00222873j 0.0328947+0.00228727j 0.00585911-0.00344845j 0.0175854-0.00798299j 0.00455054+0.00673812j 0.00744604-0.00184549j -0.00498139-0.00216997j -0.013045-0.00331038j -0.00712442-0.00111733j 0.0068751-0.0019426j 0.0198794-0.000430972j -0.00636171+0.00404091j 0.00108352+0.00138352j 0.0220305+0.00350319j 0.0159266+0.00253605j -0.012288+0.000807836j 0.0290688-0.000148102j -0.00673136-0.00594519j -0.0110401+0.00242375j -0.0239779+0.00500427j -0.0274917+0.00176334j -0.00539958+0.000406292j -0.0243399+0.00272239j -0.0104485+0.000675044j 0.013955+0.00155097j -0.000264731+0.00316803j -0.0159334+0.00846896j 0.0162275+0.00143876j 0.00562915-0.000204772j 0.0286585-0.00229872j -0.0455505+0.00767596j -0.0112308-0.00040305j -0.0138304+0.00822323j 0.0129977-0.0037303j 0.000767486+0.00127774j 0.0127734+0.002771j 0.0338244-0.000984095j 0.0113737-0.00651245j -0.00872887-0.00494248j -0.0131772+0.0129737j -0.00327102+0.00504721j -0.0418382-0.00211887j -0.0156951+0.00477081j 0.0228731-0.0198839j 0.0498133-0.0108478j -0.0329652+0.00788048j 0.0397164-0.00282776j -0.00269556-0.0181015j 0.00650015+0.00434963j -0.0359074-0.0193331j 0.0415623-0.0114802j 0.100092+0.00602703j -0.0521565+0.00354302j -0.0136731+0.0198285j 0.153337-0.0473475j -0.0223636-0.0307492j 0.368685-0.00294022j -0.131431+0.127758j -0.0275901-0.0606227j -0.135514-0.0104434j 0.168679-0.046004j -0.00542585-0.0367371j -0.0200465-0.00433853j -0.0558804+0.0125553j -0.0305648-0.0253565j -0.0136589+0.0229983j 0.00044158+0.00729922j -0.00342723-0.012156j 0.436192-0.00249729j -0.109292+0.00258427j 
-0.0117092+0.00406895j 0.00097321+0.00105464j 0.0065269-0.001359j 0.0111203-0.0034312j -0.00552163-0.000879764j -0.0117583-0.00201179j 0.0306771-0.00860076j -0.032174+0.00247931j 0.0390006+0.000442329j -0.0137286-0.00539668j 0.041667-0.0117441j -0.00529646-0.00684031j 0.0062892-0.0101628j -0.0168888-0.00740084j -0.0363557+0.00516939j 0.0331938+0.00648676j 0.0435648-0.00908276j 0.0517804-0.00685382j -0.00827306-0.00901368j 0.00763991-0.00970404j 0.00363985+0.00266899j 0.0128885-0.000539872j -0.0145417+0.00412555j -0.00746872+0.00260476j 0.0211579-0.0110957j -0.0304592-0.00238525j 0.0184652-0.0106809j 0.02347-0.000982037j 0.0180131+0.00208142j -0.0178631+0.00111251j 0.0364492-0.00591235j 0.0080304-0.0118558j 0.0143718+0.00399429j 0.00727755+0.00714599j -0.0221901-0.00579777j 0.0198138-0.00924967j -0.0062677+0.000258308j 0.0175719-0.0056388j -0.0419675+0.00534201j 0.0212228-0.00551461j -0.0295758+0.00286194j -0.000374354+0.00278626j 0.0282663-0.00333287j -0.0468112+0.00343564j -0.0122783+0.0101499j 0.00477775-0.00597791j 0.011651+0.000922201j -0.01231-0.000611452j -0.012331+0.0072029j 0.0253192-0.00557813j -0.0306275+0.00485137j -0.0285512-0.00255792j 0.0235767-0.00743109j -0.0157441+0.000968504j -0.00353907+0.00173478j -0.0459463+0.00811631j 0.00275567+0.00940366j -0.0327685+0.00809208j -0.0105876+0.00152633j 0.0284079-0.00909664j 0.021921-0.00759257j 0.0616988-0.00461351j 0.0358619-0.00968671j -0.0910818+0.0153084j -0.0153219-0.00831512j -0.0778203+0.0116207j 0.045109-0.00159217j -0.0951731+0.0148252j -0.0596447+0.0203168j -0.024708+0.00983346j -0.011717-0.00242052j -0.0448852+0.0194217j 0.00660694+0.024371j 0.0472796+0.000961433j 0.152536-0.111317j 0.00967465-0.0450816j 0.207323-0.0185137j -0.256204+0.0414308j 0.122448+0.0375144j -0.0453397+0.0216175j 0.101804-0.00837692j 0.095331-0.0614787j 0.0517596-0.0836161j -0.0406874+0.0323696j -0.044134+0.00302851j 0.00177766+0.028575j -0.0657808-0.0130469j -0.0185682+0.0142629j -0.0727486+0.0134218j 0.0517891-0.00251671j 0.023186-0.0411991j 0.00998846+0.0114256j -0.00136958-0.00773303j -0.0456393-0.00687181j 0.0502428+0.00357488j -0.424676+0.000244418j -0.00289036-0.00754318j 0.0264653-0.00463475j 
-0.002518-0.00118209j -0.0133943+0.00534777j -0.013906+0.00429628j 0.0124499-0.00372761j -0.015436+0.00107176j -0.0267682+0.00666207j 0.0160377-0.00794754j 0.00683305+0.00123462j 0.0525698-0.00533814j 0.00336385+0.00212526j -0.00521345-0.0103j -0.00760414-0.00395455j -0.0165078-0.00458974j -0.0125599+0.0147101j 0.00611737+0.00285579j 0.0246008+0.000192883j -0.00440677-0.00307714j 0.00205086-0.00163026j -0.0060725-0.00329815j -0.00403851-0.00889602j 0.000244099-0.00576075j 0.0287527-0.00996675j 0.0103062-0.0062944j 0.0135014-0.00302996j -0.0211255-0.0104534j -0.0173556+0.010448j -0.0110006-0.00568251j 0.0204471-0.0082488j -0.00326612+0.00193036j 0.00307483-0.00171381j 0.0216529-0.0101914j -0.00826587-0.00493864j -0.00305254-0.00258892j 0.0347051+0.000628124j -0.0301333+0.00638252j -0.0359243+0.00308082j 0.0417821-0.00761208j -0.001217-0.00760206j 0.0213291-0.00134717j -0.000916691-0.0102247j -0.00401664+0.00575539j 0.0115053-0.00453424j -0.0150022-0.00478648j -0.0105201+0.0105015j 0.0152663+0.000887844j 0.00231216+0.00139355j 0.0178213-0.00210468j -0.0299715+0.00947426j 0.0176087+7.21643e-05j 0.0117696-0.00276445j -0.0237273+0.0111832j -0.0478338+0.00618386j 0.00329038-0.0126981j 0.00755674+0.00156962j 0.0136491-0.00683714j -0.00900074+0.00894804j 0.0432987-0.00623241j 0.00602798+0.00129072j -0.0142851+0.00212447j -0.0282552-0.00914602j 0.0192432-0.0125483j -0.0039956-0.0148908j -0.035371-0.0128545j 0.0018314+0.0116055j 0.0240481-0.0146769j -0.0246072+0.0275639j 0.0904291-0.027587j -0.0607262+0.0267424j 0.0304258+0.0059327j -0.021049-0.00958597j -0.00608079+0.018865j 0.0229122-0.0091446j 0.148849+0.0025749j -0.00739493+0.012735j -0.26933-0.00637987j -0.139151+0.0139326j 0.059204-0.0783754j -0.0150288+0.102593j 0.233035-0.0819332j 0.029513-0.00252398j 0.0496464-0.0115016j -0.129381-0.00540583j -0.135242+0.0154015j 0.10542+0.0171521j 0.0177471-0.0210491j -0.0433511+0.00467508j -0.00803905+0.0424374j 0.0216725+0.0177378j 0.0384929+0.00087008j 0.0528559-0.0281848j -0.0285941+0.00518984j 0.00813001+0.017904j 0.00856679-0.00222076j -0.0142064-0.00742475j 0.393835+0.00178867j 0.0594076+0.0150638j 0.0459566-0.00237765j -0.0128679+0.0076288j 
-0.0191334+0.0135656j 0.0135442+0.0161125j 0.000792523+0.0185567j 0.0193287-0.00592589j 0.0113514-0.0195017j 0.0142419+0.014772j 0.0304688-0.0176708j 0.00789766-0.023117j -0.0133636+0.00825487j -0.00162262+0.0185718j 0.0309642-0.0131951j 0.00580412+0.0113809j -0.0108454-0.0175979j 0.0266052+0.00220649j 0.0189526-0.0394007j -0.0269433+0.0170981j 0.013752+0.000309193j -0.00205964-0.00216124j 0.0152237+0.0229809j 0.0409981-0.00191583j -0.00522501-0.0085554j -0.00280223-0.0106466j -0.0145294-0.0123506j -0.0227881-0.0192403j 0.0158655+0.00457947j 0.0234985+0.00558987j 0.0155415+0.0296592j -0.00324748+0.0215071j 0.00170716+0.00307109j 0.000865882-0.0283816j 0.00630918+0.00365724j 0.0288775-0.00498349j -0.0140723-0.00595461j -0.0230301-0.00622699j 0.0347473-0.00149791j 0.0181617+0.00643848j -0.00282037+0.00867505j 0.00515963+0.00221016j 0.0141358-0.0220572j -0.0168172+0.00787254j 0.0183483-0.0111985j -0.0104753-0.0207746j 0.00543546-0.0131616j -0.00431991+0.00346708j -0.0238162-0.0162429j 0.0287222+0.00192547j -0.00712977+0.00427363j 0.000162054+0.0142504j 0.00841106+0.0209129j -0.00509938+0.0115244j 0.0286558-0.000324125j 0.0200278+0.00949404j -0.0230432-0.00767512j -0.0173034-0.000406378j -0.0237896+0.015808j 0.035364-0.0321217j -0.00320848-0.00531962j -0.00909244-0.0205484j 0.0141598+0.0217049j 0.0212086+0.0113658j 0.0244942-0.00738121j 0.00849442-0.00564554j 0.0646588-0.0283879j 0.0193064-0.0189771j 0.0419409-0.0224188j 0.0125241-0.0317228j 0.0550584+0.0314244j 0.0276587-0.0378431j 0.0207712-0.0183128j 0.00202426+0.0705192j -0.0402204+0.0117374j 0.131006-0.0326262j -0.132357+0.0159048j -0.109413+0.0316327j -0.00478544-0.0345951j 0.0359267+0.00834829j 0.00516634+0.0203424j -0.00166191+0.0177601j 0.0512626-0.000166897j 0.0118061-0.124938j -0.0647232+0.0741403j -0.0263067-0.00761669j -0.0146502-0.0685324j 0.0114143+0.0698931j -0.0415384-0.329506j -0.147832-0.0351253j 0.048643+0.0845553j 0.0310603+0.131109j 0.0245828-0.111912j 0.00751824+0.0663508j -0.016589+0.0194375j 0.0425023+0.0368005j -0.00711296+0.0674279j 0.195807-0.00342403j -0.0146232+0.0902621j 0.0091417+0.021619j 0.0705006-0.0471819j 0.146544+0.0430679j 
-0.0123073-0.0208021j -0.0175885+0.0136498j -0.0185378+0.00410984j -0.00102178+0.0286281j 0.0170306-0.00627198j -0.0195405+0.0211977j 0.00503201+0.035748j 0.00827702-0.00249426j -0.015733+0.00589979j -0.0159126+0.00659126j 0.00321327+0.0384472j -0.021016+0.0223589j 0.0202824-0.000105527j -0.00816497+0.0352613j 0.00954848-0.000608464j -0.00867586-0.0186453j -0.0067248+0.0176832j 0.000299005+0.0172665j -0.00478458+0.00733724j 0.00749334+0.00913587j 0.0109134-0.0315194j 0.000121848+0.00422096j 0.0125209-0.027391j 0.0167505+0.00418617j 0.0109772+0.00253614j -0.0183713+0.0140881j -0.00754055-0.00501401j -0.0158746-0.0120746j -0.00200979+0.0142807j 0.00874192-0.00465718j -0.00680957+0.0109156j -0.00582934+0.0229337j 0.0136807-0.0190458j 0.00366267+0.00492325j -7.01903e-06+0.00383248j 0.00757799-0.000769426j -0.0182334-0.00539059j 0.00342373+0.00611136j 0.00516905+0.00136088j 0.00751678-0.0165433j -0.00764388-0.00482109j 0.0128205-0.00685828j 0.0155753-0.0069601j -0.0102779-0.00530939j 0.00799607+0.0156473j -0.0185368+0.0100975j -0.0107602-0.0083711j -0.0120477-0.0143968j -0.00317527-0.00759366j -0.0133268-0.000673643j -0.00857471-0.0167264j 0.017815-0.00355717j 0.0224078-0.00842746j -0.00873718-0.0054295j 0.00690575-0.0277224j 0.0329866-0.00374403j 0.0151689-0.00475067j 0.0208425+0.0254679j -0.0188975-0.0402898j 0.00911622-0.00337456j -0.0378644-0.0266393j 0.0425515+0.00771562j -0.00773032-0.0201264j 0.0345747-0.00485631j 0.0264445+0.00289855j -0.0138234+0.0152911j 0.0342221-0.00599756j 0.0246741-0.0529758j -0.0323502-0.00185225j 0.0613489+0.0180306j -0.0182374-0.0202269j 0.0170078+0.0623349j -0.0485492+0.0774435j -0.0348447-0.0234357j 0.0331259+0.00573065j 0.00155244+0.0524864j 0.020368-0.00773113j -0.0442068+0.0469279j -0.00970124+0.0429032j 0.00870414+0.000647914j -0.0461344-0.00876308j 0.0198812-0.074208j 0.0577314+0.167097j -0.0276585+0.0849616j 0.128261+0.0843605j -0.026987-0.387029j -0.0258711+0.155639j -0.0422933-0.00358229j 0.0153503+0.15603j 0.00391715+0.098322j 0.029728+0.00498211j -0.0192149-0.0600847j 0.0714979+0.0349942j 0.0322068-0.0745227j -0.0174559-0.0389335j -0.0270587+0.0855997j 0.151676+0.055439j -0.0778063+0.0523271j 
0.00514195-0.00411142j -0.00224196-0.0167376j 0.00330413-0.0214148j -0.0166996+0.00673711j 0.0240828+0.00622029j 0.000158918-0.0196537j -0.00545571+0.00969049j 0.00701345+0.0137194j -0.0227135+0.00780952j -0.013496-0.0130484j 0.00377216-0.0022184j -0.00690346-0.0137425j -0.00937995+0.00430277j -0.000425-0.0202949j 0.0252569+0.0166087j -0.0227647+0.00141633j 0.00193919-0.00781818j -0.011835-0.0082519j 0.0148279-0.00520782j 0.0470596+0.00406771j 0.0200031+0.0142255j 0.00574205+0.014029j 0.00541258+0.0201398j -0.0501269+0.0228162j 0.0204909+0.00739549j 0.0193986-0.020786j 0.0104494-0.0190405j 0.0139481+0.00903381j -0.00124987-0.0028865j 0.00425371+0.0233895j 0.00529783+0.00606954j 0.0165643+0.00212143j -0.00170515+0.0121575j -0.0332992+0.00901885j 0.0441139-0.0149318j -9.54788e-05-0.0172498j -0.0187908+0.00912544j 0.00228242+0.0028078j 0.0159211+0.0172906j -0.0189086+0.012587j 0.0242493-0.00711361j 0.00310757+0.0207837j 0.0273116+0.00729801j -0.0222293-0.0105194j -0.0219422+0.0200725j 0.00705073-0.0178441j 0.00220187-0.0059082j 0.0172478-0.0173711j 0.0198121-0.00340114j -0.00445543-5.22045e-05j 0.0366774-0.0235538j 0.0302719-0.00931531j -0.035114+0.019573j -0.0102007+0.00664701j -0.00443753+0.0177195j 0.0775167-0.00663642j -0.0130405+0.0197108j 0.0166114+0.0179581j 0.0116223-0.0171936j 0.0237901-0.00234155j 0.0687976-0.00910543j 0.0181504-0.00263152j 0.0699389-0.00633093j 0.0446565+0.0219364j 0.0707033+0.0427807j -0.0321604-0.028266j 0.0682576+0.0104948j 0.0629463-0.0238193j 0.0613979+0.00372395j 0.0443349+0.00115953j -0.0643625-0.00135799j 0.15892-0.0662151j -0.182004+0.0703433j -0.149932-0.0133227j -0.0318342-0.0251708j -0.00227814-0.0574483j 0.0650715+0.00941063j -0.101784-0.0601971j 0.0980411+0.0305506j 0.0349291+0.0463695j -0.0767716-0.00917436j -0.0243417+0.0110709j -0.12754+0.0315675j -0.0405339-0.0367483j -0.0360505+0.252551j -0.0146401+0.113254j -0.032423-0.111984j 0.0151659-0.107278j 0.00459796+0.0530589j 0.0108873-0.0449728j -0.034323-0.0376673j 0.0221378-0.036689j -0.0119512-0.0559397j 0.322235+0.0152431j 0.0247148-0.0389487j 0.035285-0.0371018j -0.0376143+0.0282059j -0.0640106-0.0410253j 
-0.00992724-0.00629222j 0.00270062+0.00248803j -0.00487724-0.00137876j 0.0206747+0.00639304j -0.00287448+0.00184604j 0.0203068-0.00429049j 0.0170662+0.0110845j 0.0155585+0.00197995j 0.0244158+0.000808013j -0.0147413-0.00538719j 0.0186004+0.00752623j 0.0281451-0.00856568j -0.0207788-0.00642935j 0.00744965+0.00109134j 0.0301841+0.00776097j -0.0022639+0.000775411j 0.0497096-0.000202171j 0.0054434+0.00365288j -0.0169341-0.00338223j -0.00680328+0.00272576j -0.0205717+0.00752119j 0.0344125-0.00626813j -0.0163738+0.00313989j -0.0106786-0.00358711j -0.0121633+0.0149818j 0.0327858+0.00479301j 0.0113914-0.00289889j 0.00573609-0.00684155j 0.0280423-0.00623896j 0.00127944+0.0131598j 0.0312434-0.00482005j 0.0656825-0.00349917j -0.0359841+0.0129782j -0.0105625+0.00204611j -0.00472447+0.00244752j 0.00696111+0.00639134j 0.0269025-0.0120435j 0.0124076+0.0027621j -0.0159667+0.00165358j -0.0423369+0.00695811j 0.0247158+0.00344957j -0.00374051+0.013796j -0.00114075+0.0137039j -0.0062017-0.00187365j -0.0450833+0.00836307j 0.0772946-0.0141396j 0.000995686-0.0122097j -0.0187347+0.0034082j -0.0252025-0.0144586j 0.0248613-0.00507175j 0.00517147-0.0111249j -0.0181692+0.0169754j -0.0782081+0.0212423j 0.00647715+0.00524414j -0.0975333+0.00829702j -0.0280018+0.0187715j -0.0358843+0.00416806j -0.0626164+0.0053766j 0.0374121-0.0144673j -0.0103978-0.00104764j 0.084531-0.0580552j -0.117612+0.0285939j 0.102963-0.0297119j -0.0748347+0.0310525j -0.0195253+0.0366658j 0.0999187-0.00135432j -0.0394123+0.089413j -0.0342261+0.0329372j 0.0653511-0.0601319j -0.329181+0.0462177j 0.0222255-0.0110523j 0.0177127+0.0241321j 0.00656955-0.0808508j -0.00819347-0.038462j 0.0468873-0.0113815j -0.00119877-0.0160155j -0.0539389-0.00325009j 0.0443127+0.0228544j 0.0469407+0.00358778j 0.109169-0.0251088j 0.0317747-0.057538j 0.0413521+0.00448047j 0.00200574+0.0356346j -0.020654+0.027046j -0.0410542+0.112882j -0.00573747-0.109236j 0.0157472+0.000429905j 0.0237385-0.0211104j 0.008818+0.0853301j -0.0257242+0.00576194j -0.0473078-0.000731297j 0.0892137-0.0195467j -0.352797+0.00918476j -0.0317551-0.0167047j 0.00582314-0.0305743j -0.00678129+0.0181801j 0.0308884+0.0221982j -0.000278556+0.00460672j 
-0.00925172+0.000870504j -0.00838415+0.00127611j -0.0152898+0.00169733j 0.00499136-0.00828487j 0.00748215-0.000393926j -0.0221312-0.000698092j 0.0293092-0.0194046j 0.0121934+0.000720112j 0.0432356-0.00783896j 0.0126027+0.00155216j 0.0176327-0.02769j -0.0316436-0.0156925j -0.021611+0.00253734j -0.000137083+0.00808826j -0.00868491+0.00562571j 0.0200834+0.00873555j 0.0348647-0.012635j 0.0120931-0.00612272j -0.021262-0.00168491j 0.0483042-0.0158116j -0.00756179+0.0118089j 0.0154734-0.0216361j 0.000457701+0.000127701j 0.00838396-0.00158606j 0.0128673+0.000549742j -0.0122552-0.000465518j 0.0414645-0.0246622j -0.00629987+0.00170301j -0.00246718+0.00519324j 0.00286014+0.0118j 0.0255739-0.0196951j 0.00708774-0.0127312j 0.0318982+0.0131511j 0.0276432-0.00355818j -0.00966226+0.00236234j 0.0382757-0.0101733j 0.0385435-0.0211373j 0.0389155-0.0111704j 0.00457878-0.0115618j 0.0229414-0.000990599j 0.020131-0.00922955j 0.00521851+0.00645585j 0.00667982+0.00226171j 0.0137343+0.00301982j -0.04019+0.0285596j 0.0312565-0.033216j -0.0324497-0.0116794j -0.00996081+0.0154884j 0.00518227-0.00180286j 0.0633165-0.00903177j -0.0311602+0.000181921j 0.00254662+0.0210216j 0.0921014-0.00405842j 0.00169136-0.00130547j 0.0391684+0.0235981j -0.0251018+0.00266112j 0.0576859-0.00777005j -0.109671+0.021738j 0.0277282-0.0104389j -0.0113697-0.0100061j -0.0459782-0.0286669j 0.000618171+0.0234113j 0.0126685-0.0420687j 0.0768559+0.0246092j 0.169148-0.0182582j -0.00192246+0.00879363j 0.226036-0.0701632j 0.0353187+0.0451232j -0.13967-0.0167242j -0.0705936+0.103857j 0.0690738+0.00222454j -0.137901+0.0125766j -0.136092+0.0123568j -0.0657912+0.036482j -0.00788416-0.0135866j -0.067592+0.0110508j -0.081552-0.010518j 0.0635521+0.0125334j -0.05653-0.0574075j -0.0927888-0.0104212j -0.00922345-0.0315682j 0.0930335-0.0261246j 0.0496918-0.023975j 0.0318772-0.0123062j 0.0360487+0.0353637j -0.0205352+0.0895332j 0.0165528-0.0275045j 0.0192602-0.00130149j 0.01816-0.00829691j -0.0438251-0.0490833j 0.0205102-0.000154538j 0.326776+0.0102694j 0.102531-0.00564006j -0.00988158-0.00154746j -0.0328386-0.010659j -0.0267453-0.00520406j 0.0101327-0.00627279j -0.0198798-0.0133786j 
-0.0125811+0.000873489j 0.00842241+0.00630802j 0.0141793-0.00451022j -0.000968155+0.00465402j 0.00687811-0.00499529j -0.0051708+0.0114785j 0.0189553-0.00158942j -0.013942-0.00456472j 0.00345452+0.00155746j -0.00375672+0.00278062j 0.0325799-0.00795154j 0.0174359-0.0025256j -0.0187-0.00105289j 0.0208289-6.24071e-05j -0.0144383-0.00881938j -0.0227721+0.00527246j 0.00755474-0.000872689j 0.0165848-0.00239347j 0.0450298-0.00703982j 0.0481389-0.0082969j 0.0142839-0.0135607j 0.0381835-0.00907198j -0.000555284-0.00315511j -0.065677+0.0259381j 0.00321927+0.00238731j 0.016475-0.00144693j 0.0252929-0.00855679j 0.0404401-0.000451718j 0.0221659+0.00132097j -0.040547+0.00959238j 0.02123-0.00660747j 0.0213839+0.0076944j -0.0266653+0.00446646j -0.0287673+0.00378909j 0.0126838-0.00573877j 0.0244433+0.00694516j -0.0247022+0.00324391j -0.0224653+0.00500094j 0.0288203-0.0109479j -0.0146655+0.00949948j -0.0143088-0.0120559j -0.00539703+0.000761211j 0.0245409-0.0132189j -0.0315622+0.0169942j -0.0410209+0.00935832j 0.00552656-0.0106038j 0.0369238-0.0272939j -0.0228764+0.00593915j 0.0664963-0.0192237j -0.0117105+0.0171868j 0.0252874-0.0194339j 0.0180867+0.00788789j -0.030566+0.0239092j -0.0299951+0.0130919j 0.0101069+0.00762761j -0.0172184-0.049017j -0.0274939+0.00373122j 0.0494141-0.0314193j -0.00739734+0.00455299j 0.0314245+0.0125071j 0.0557521-0.0711648j -0.0874718-0.016939j 0.0485167-0.00924482j 0.0201955+0.0043596j 0.127807-0.0291842j -0.167768+0.0537761j -0.018571-0.0177572j -0.0870144-0.0228452j 0.127268-0.0690691j 0.104197-0.0470755j -0.0015182+0.0265197j -0.134378-0.0886701j 0.111936+0.00259202j -0.124795+0.066112j 0.0876903+0.0400448j 0.0267619+0.00895847j -0.0377987-0.0652576j -0.0485015+0.0790595j -0.095283-0.0816665j -0.0310246-0.0369148j 0.0325291+0.0182424j 0.0328965+0.0492201j 0.039785+0.0958613j -0.0266651+0.0387277j -0.0117958+0.0278255j 0.0200825-0.0210253j 0.0301922+0.0460496j 0.0305646-0.0341799j 0.047748-0.00741128j -0.0412656-0.0187734j -0.253877+0.0391724j -0.0416027+0.0222177j 0.0303601+0.00899184j 0.0104895-0.0462916j -0.0745897-0.0242163j -0.091957+0.00949198j -0.00642082+0.000542752j 0.0212627+0.00705446j 
-0.00616596-0.0161494j -0.0144753+0.00908336j -0.0039658+0.0121496j 0.00793891-0.0017851j -0.0208724+0.0121959j -0.00992198+0.0062897j 0.00538953+0.0114797j -0.0216698-0.0173603j 0.0327855-0.016259j -0.000417101-0.00614795j 0.000952135+0.0280474j -0.00616237-0.00110582j 0.0143758+0.0158302j -0.0172199+0.0139812j -0.0147746-0.023839j 0.0267574-0.0049811j 0.0218806+0.0208294j 0.0161829+0.0315894j -0.00935386+0.00829453j -0.00998036+0.0109043j -0.00326439+0.00369694j 0.00710233-0.0179293j 0.00479155-0.0154942j 0.00951572-0.00976609j 0.0178923+0.0220689j -0.00972958-0.0069064j 0.013566+0.0159346j 0.00562892-0.00418542j 0.00077726+0.0118132j 0.00607886-0.0126039j 0.00468146+0.00732422j 0.00486454+0.010446j 0.00843732+0.0101571j 0.00377813-0.0284559j -0.0108104+0.0126024j -0.00451217+0.0370722j 0.0100115-0.0357448j 0.0234847+0.00512945j -0.0159176-0.0331978j 0.010403+0.0138567j -0.00177758-0.0116825j 0.00197504-0.00834843j 0.0110139+0.0214816j -0.00406714-0.0188443j -0.00345001-0.00915803j -0.0102338+0.00094777j -0.00555033-0.00151178j -0.00993121+0.00882482j -0.024131-0.0217454j 0.00629672-0.0116792j -0.0201696+0.00957413j 0.0084064+0.0183856j 0.0164135+0.0115465j -0.00228914-0.0112137j -0.0050163-0.0109012j 0.0198679-0.0177168j -0.00649092-0.0331976j -0.0307415-0.00311901j 0.00164409-0.00525663j -0.00481238+0.0359581j 0.0277117-0.00733984j 0.056547+0.0381222j -0.0407953+0.0323338j -0.032815-0.0520231j -0.0541924-0.00366884j 0.0136923-0.0582038j 0.0298164-0.037862j 0.00826834-0.0143874j -0.0562279-0.0417631j -0.00914159+0.039603j -0.00617692-0.0079304j 0.0745911-0.0579873j -0.0442985-0.07631j 0.0338726+0.010741j 0.0389986+0.316654j 0.00375382+0.125583j 0.109225+0.0703428j -0.104155-0.136708j 0.0860362-0.135458j 0.0111149-0.0611004j -0.00233873+0.0174903j -0.000371133+0.154422j -0.0314763+0.193444j -0.02731-0.120851j -0.00917607-0.00861415j -0.00967342-0.0196138j -0.00594142-0.0151656j -0.00306302-0.0393717j 0.0190915-0.0694895j 0.0607145-0.0168583j 0.0959588+0.151109j 0.017811-0.0338728j -0.0206059+0.0345138j 0.00252678+0.0230882j 0.0670358-0.0665736j -0.167137-0.0475524j -0.0040845-0.000922433j 0.00841127+0.015147j 
