0.012307+0.0698281j -0.135583+0.0231128j 0.0904688+0.097554j -0.201261-0.30312j 0.398574+0.426299j 0.537433-0.440904j 0.00883897+0.0520976j 0.0656365-0.0292076j -0.00766205-0.0640067j 0.00143673+0.033483j -0.0981025+0.00884969j -0.0752532+0.0341528j 0.0870622+0.00370135j -0.00818634-0.0563523j 0.0181384+0.0811393j 0.00201525-0.0148191j -0.0197736-0.000987083j 0.00829695-0.00850434j 0.00464942+0.00616755j 0.0249131+0.0196357j -0.0117645-0.00874233j -0.00649971-0.0187342j 0.00162761-0.00641715j -0.0209987+0.0203924j -0.0381943+0.0250612j -0.000638098+0.00316708j 0.0110142+0.00469552j -0.0111917-0.0457396j -0.00418637+0.00504052j 0.0159717-0.0357685j -0.017685-0.0239477j -0.0140931-0.0369705j 0.0367812-0.000336722j -0.0272989+0.00654736j 0.0203149-0.0194797j 0.0185229-0.00981107j 0.0231018-0.00767118j -0.000905112-0.023454j 0.017367+0.0284876j 0.0245014+0.00261458j 
0.00866568-0.0742692j -0.153925+0.00154894j 0.552377+0.380677j -0.260073+0.533723j -0.309845+0.222776j -0.0025783-0.0241123j 0.0738552+0.107268j 0.172077-0.0379268j -0.0356631+0.00485215j 0.0213283-0.0273504j -0.0221604-0.0587162j -0.0410807+0.081008j -0.00140643-0.026866j 0.00350023-0.0562228j 0.013039+0.0205103j -0.00267028-0.0264895j -0.039614-0.00496058j 0.0166826-0.028359j 0.00398156-0.00293109j -0.0297581-0.0206512j 0.00148579-0.0376707j -0.00628062-0.0046712j -0.0371836-0.0131366j 0.017214-0.0024508j 0.0363877-0.0469493j -0.00385822+0.00504398j 0.0143455-0.0154679j 0.0146059-0.00806992j -0.0123692+0.0198814j -0.0041497+0.00690641j 0.0309676+0.0337546j 0.018502+0.0242165j -0.00164041-0.0108689j 0.00128786+0.00400628j 0.00560531+0.0156075j -0.0296434+0.0168684j 0.00894138+0.00485058j -0.0135806-0.00710434j -0.000645674+0.0174456j 0.0110035-0.0014237j 
-0.0219883+0.0119173j -0.010821+0.000533881j -0.00415795+0.0500882j 0.0132234-0.0426648j -0.00938077+0.113343j -0.0472664-0.0905269j 0.112065+0.0134249j -0.127833-0.000321207j -0.268028-0.00902628j 0.374515+0.000930819j 0.257754-0.00981978j 0.284506+0.00311125j -0.0369016+0.00251287j -0.038112-0.00712698j -0.680838-0.021976j 0.0587356-0.0241923j 0.00111947+0.0470975j 0.0145741+0.0135742j -0.00859193+0.00395542j 0.00121156+0.0152712j -0.0420978+0.0472976j -0.0162085+0.0543721j 0.0115815-0.0199847j -0.00121218+0.00535294j -0.0100795+0.0119608j 0.00519299-0.0032774j -0.008549+0.013996j -0.0283195+0.0841357j -0.00276532-0.0124019j -0.0668107+0.103474j -0.00840145+0.00188879j 0.0193642-0.0123127j 0.00648394+0.00657129j -0.0875186-0.0542224j 0.0988798+0.00109982j -0.0513735-0.0144219j -0.140432+0.0319951j -0.0146357-0.0875305j -0.14011+0.0763608j -0.0224511-0.125307j 
-0.0740362+0.00577193j -0.000611571-0.00241515j 0.0422321-0.0480742j -0.0446783-0.0333599j 0.0247912-0.0474028j 0.0590487+0.035214j -0.148109-0.00555853j 0.277149-0.00477529j 0.490028-0.00344368j 0.351478-0.00455903j 0.187599+0.0100397j 0.0328905-0.00605566j -0.293838-0.00955914j -0.615234-0.00839669j -0.013246+0.00966784j 0.0198867+0.0278225j -0.0226133-0.054158j -0.0372554-0.011136j 0.0108288+0.000377274j 0.0219398+0.0231833j 0.0696767-0.0535251j 0.0266396-0.0191685j -0.0192138+0.019634j 0.0133168+0.00460118j -0.0200459+0.0219774j 0.0114161+0.00148795j 0.0105828-0.0111456j -0.0453758-0.0227321j 0.0226632-0.0254011j 0.039569+0.0268177j 0.0452543+0.00796741j -0.039232+0.0251461j 0.0389444+0.0301679j 0.0822255+0.012741j 0.0279862-0.0251461j -0.0338096+0.0333743j 0.0435636-0.0177641j 0.0439593-0.0392768j 0.0704882-0.0503798j -0.0099699+0.0332938j 
-0.0326194-0.00943228j 0.0106692+0.00245288j -0.168063+0.0540386j 0.0881364+0.0776131j 0.0566555+0.0417386j -0.0322995-0.0189702j 0.617871-0.00379922j 0.0413809+0.0124944j 0.231428-0.00922051j 0.150047+0.00463114j 0.254927-0.00273889j -0.530517-0.00545984j 0.0393149+0.00792543j 0.0799071+0.00383178j -0.0187871-0.0131736j -0.235336-0.0584281j -0.12612+0.0371811j 0.114893-0.042187j -0.0112677-0.0021507j -0.00267969+0.013133j 0.0232331+0.0362298j -0.0250949-0.00135582j 0.110071+0.0209432j -0.0314529+0.0072082j 0.0166616+0.0132718j 0.0217022-0.00283651j -0.0395585+0.00230719j 0.0364741+0.0245701j 0.15996-0.0233494j 0.00114781-0.0249714j -0.0363382+0.0165162j 0.0245034-0.00122457j -0.050529+0.00645963j -0.0899298+0.00900439j -0.0602429+0.0362601j -0.00851368+0.0106144j -0.0593533+0.0309451j -0.0217956+0.0253033j -0.0537228+0.0367257j 0.0106748-0.0259629j 
-0.00575907-0.00150816j -0.0144374+0.00673168j -0.0245329+0.00219351j 0.0194242+0.00678383j -0.0308105+0.0145427j -0.00884866-0.0419566j 0.0661892+0.00780792j -0.0651379-0.00345325j -0.105463-0.014015j 0.111867+0.0165685j 0.106364-0.000580674j 0.083406+0.0103093j -0.0257514+0.0222672j 0.0355162-0.0221785j -0.187048+0.049957j -0.0221142+0.0244005j 0.0541772-0.0586222j 0.0455135-0.0212772j -0.00937936-0.021833j -0.000635213-0.00378911j -0.0123461-0.0556135j 0.0676903-0.0783503j 0.00177154+0.0239831j 0.0215443+0.0180274j 0.00401127-0.0305479j 0.00272009+0.00360007j -0.0448492-0.00805231j 0.0119304-0.15198j -0.0181136+0.0462027j 0.0674058-0.222011j -0.00560944+0.0287713j -0.0217329+0.00246048j -0.104819-0.0250246j 0.107722+0.0285935j -0.202805-0.0428118j 0.0485745+0.00602065j 0.24042+0.13003j -0.0565981+0.185543j 0.166396-0.134049j 0.528956+0.172932j 
0.0011919-0.00438267j 0.00650664+0.0225154j -0.0265613+0.0166764j 0.0269863-0.0126592j -0.017598+0.0336158j -0.0446863-0.0327031j 0.0248806-9.17604e-05j -0.0142625-0.00694474j -0.0270182+0.00429339j 0.0257065-0.00127555j 0.0128918+0.0206886j 0.0109253+0.0156116j -0.000347732-0.0513425j 0.0132365+0.0264363j -0.135927+0.0182716j -0.0196668-0.0140431j 0.0598177+0.0146676j 0.0278512+0.00347475j 0.00212912-0.00173365j 0.00467542-0.0044958j 0.0656916+0.00353131j 0.0938613+0.011162j -0.0208915-0.00701334j 0.00246785-0.00752896j 0.0228404+0.00601449j -0.0121011-0.0112466j 0.00940742-0.00186577j 0.18964+0.0135044j -0.0473077-0.0120412j 0.270755+0.00923197j -0.0159991-0.0142436j -0.0327592+0.00448794j 0.0197897-0.0318329j -0.0642447+0.116762j -0.0970965+0.319756j -0.0141535+0.0423448j 0.0888946-0.673865j -0.200144-0.0137719j 0.176834+0.103521j -0.0956527+0.132589j 
0.0199185+0.0231814j 0.0325679+0.0051852j -0.0226967-0.0101772j -0.00666447-0.000457726j -0.000347985+0.0115358j -0.0224533+0.0153078j 0.0382631+0.0188759j -0.0381297-0.0112237j -0.00922832-0.0238258j -0.0573104+0.00863893j 0.0247063-0.0121382j -0.031246+0.0109392j 0.00223742-0.0233604j 0.0436286-0.0432538j 0.0265934+0.0444292j -0.0840587+0.0577828j 0.0921834-0.125924j 0.0764628-0.0224827j -0.0260916-0.0487013j -0.00545768-0.00372428j -0.00817673-0.148514j 0.170213-0.193986j -0.0131313+0.0730309j 0.0534119+0.0754112j -0.0221181-0.0204988j 0.0252365+0.0293257j -0.143845-0.110278j -0.251233+0.0165628j -0.0203572-0.050352j 0.0482359+0.135293j 0.234488+0.20277j -0.239164-0.249553j 0.0636923+0.180563j 0.105005+0.0740449j 0.211607-0.0881641j -0.0536145+0.0275624j 0.0401729-0.0844557j -0.377817-0.161846j -0.351449-0.0987262j 0.022685+0.0414362j 
-0.0250189+0.019772j 0.0142374-0.0182577j -0.02516+0.0267015j 0.0195187+0.0276609j 0.0270024+0.00160482j 0.0237665-0.00773272j 0.0181232-0.00178248j 0.00231465-0.0175797j -0.00752813+0.000538126j -0.0241417-0.0265157j -0.00364591+0.0294329j -0.0218308+0.00213861j 0.0318683-0.0312582j 0.0617976-0.00254227j -0.0373652-0.00280473j -0.0521548-0.0033971j 0.120569-0.0144487j 0.0379459-0.00631352j -0.00206971+0.00366478j -0.0688628+0.112447j 0.168857-0.0334894j 0.283872-0.0168522j -0.0841199+0.00529187j 0.0390969+0.0255461j 0.0955518+0.0450902j 0.104276+0.237937j 0.129377-0.0231895j -0.132719+0.0169549j 0.0941936-0.0449341j -0.089133+0.0575529j 0.102739-0.398735j -0.113061+0.572235j -0.158573+0.0709767j -0.0730677+0.0750465j 0.204456+0.0448589j 0.159942+0.0314743j 0.0887461+0.0728895j 0.0143528-0.113269j 0.00522064-0.0900725j -0.0166806+0.0325191j 
-0.0120303+0.00852783j -0.0202213-0.028828j -0.0012842-0.0259573j -0.0378183-0.0175663j -0.0146532+0.0525916j -0.0355643+0.000808978j 0.00769915+0.0047103j -0.00556031+0.00479261j 0.015118+0.0142862j 0.00888961-0.0184951j -0.0191632+0.0170433j -0.010158+0.0215887j 0.00687423+0.00886475j 0.0398474+0.0139498j 0.00131701+0.0102784j -0.0336243+0.00919272j 0.0342622+0.0129559j 0.0300783+0.00626605j 0.00889422-0.0422947j 0.130604-0.24797j 0.0686986+0.013657j 0.139747-0.0189056j -0.0226711+0.00694679j -0.119054-0.0240535j -0.260697-0.109133j -0.275602-0.513035j -0.0234342-0.136066j -0.0513697+0.0071826j -0.00588952-0.0742634j -0.043284-0.000259134j 0.0655771-0.323675j -0.0493403+0.117548j -0.110571+0.023209j 0.0528159+0.0461529j -0.0496589-0.0188995j -0.473928-0.140103j -0.0507824+0.0164288j 0.0203489-0.0408287j 0.00388317-0.0397716j 0.00100425+0.0124306j 
0.0319271+0.029125j -0.00590334-0.0230108j 0.00268176+0.0120258j 0.0108926+0.01438j -0.00717976-0.00143559j 0.00549324-0.0107662j 0.00802872-0.0285082j 0.016222+0.00279283j -0.0444949+0.024237j 0.0312547-0.01359j -0.0291408+0.0484923j 0.00672299-0.00952947j 0.0382086+0.0220284j 0.0709311+0.0324723j -0.0480814-0.0273173j 0.0435531-0.0599533j -0.0466842+0.17673j -0.0602614+0.0442355j 0.0213149+0.0432654j -0.0707169+0.0361591j 0.276981-0.0241801j -0.0823156-0.165162j -0.054824-0.0308976j -0.23384-0.575442j 0.0991808+0.302435j 0.056847-0.0827392j -0.128101-0.159891j -0.0316743+0.0484676j 0.228173+0.0297859j 0.0302212-0.0680112j -0.0109437+0.0605701j -0.108623-0.0660372j 0.191195+0.0695685j 0.253704+0.0492083j 0.175402+0.0373288j -0.034529+0.0275901j 0.135759+0.0568572j 0.0287282+0.0122126j 0.0872015+0.00840591j -1.21373e-05-0.00321483j 
