0.496315-0.520001j 0.513052+0.498755j 0.0757602+0.00456994j 0.00223216-0.109122j -0.0760107-0.0211258j 0.00951132-0.00239094j -0.0158005+0.0180691j 0.0086039-0.0345877j 0.0513483+0.0413346j 0.00172984+0.00231033j -0.0342657+0.021534j -0.000969602+0.00191277j 0.0311775-0.0322937j -0.0162888-0.0300034j -0.0113988-0.00723387j -0.00396137-4.29089e-05j -0.000872812+0.0102654j -0.00619145+0.00218879j -0.0108401-0.0225936j -0.0064395+0.00423308j 0.0232176-0.00941822j 0.00518989+0.0220079j -0.0305465+0.00682287j -0.0217542-0.0053734j 0.00452876-0.00413588j 0.00549146-0.0409809j 0.00153735-0.00263652j -0.00825182+0.00465329j 0.0312671+0.00825239j -0.00211105-0.0175865j -0.00193063-0.000603668j 0.0182319+0.0166388j -0.01398+0.0101965j 0.00227942+0.00208214j 0.00484035-0.00650523j -0.000792328+0.000190041j 
0.0711556+0.0688703j 0.0757029-0.070475j -0.000189601-0.686521j 0.0125604+0.118402j 0.0191075-0.695927j 0.0651034-0.00643953j -0.0321402-0.0342405j -0.0510406-0.070227j -0.0150368-0.00417613j 0.00758477+0.0273199j 0.051151-0.0461609j -0.0194188-0.0564607j 0.0467752-0.0373667j 0.0251409+0.0886894j -0.0783416-0.122127j -0.0174699-0.0138331j -0.000388773+0.0312158j -0.0182547+0.00357475j -0.00975401+0.0135824j -0.0215254-0.0273443j 0.0235285+0.00068113j 0.0207223+0.00365957j 0.0246504+0.00179489j 0.0295-0.00171007j -0.002377-0.0109964j 0.0106538+0.00928034j 0.00944658+0.012953j 0.0249247+0.0192695j -0.00923008-0.0153121j 0.0096844-0.0161189j -0.000527577-0.0104217j 0.0282761+0.00348523j -0.0039084-0.0209406j 0.0319878+0.0231233j 0.0217753-0.0291648j 0.0123155+0.0142995j 
-0.0250956+0.00817324j 0.0102175+0.0299884j 0.0311864-0.0171556j 0.0284872+0.0678268j -0.0611519+0.0162222j -0.173962-0.173256j -0.0767212-0.236942j 0.224855+0.00438816j 0.111538-0.195297j 0.122733-0.058562j -0.0564595+0.0483909j -0.450267+0.3417j -0.2095-0.00644498j 0.0423004-0.153671j 0.191364-0.466936j -0.0106362-0.153564j 0.049878+0.0397659j -0.00953148+0.0529767j 0.0485631+0.0150936j -0.0338746-0.0261159j -0.0226215+0.0711261j -0.00142318-0.00628768j 0.0176854+0.0893223j -0.0156316+0.0221925j 0.0630725-0.00820083j -0.019111-0.0305715j -0.0840607+0.00500043j -0.0592967-0.0464554j -0.00513279+0.00147171j 0.0407412+0.00184567j -0.00646591-0.0102026j 0.01609+0.0172274j -0.010321-0.0224266j -0.00540424+0.0282162j -0.0398189+0.0581211j 0.0729706+0.170255j 
-0.0362913-0.0369993j -0.0307256+0.0347919j -0.0173453-0.00669545j 0.0296119-0.0409522j 0.0540357+0.0405703j 0.0834382+0.236714j -0.117948+0.262548j -0.0238116-0.155745j -0.0728056-0.148823j -0.368624+0.135755j 0.0798563-0.0188285j -0.642076-0.181519j 0.02465+0.260157j -0.0466711-0.214433j -0.166744+0.0405139j -0.0257864+0.0639779j -0.0264004-0.0261077j 0.0312646-0.0150098j -0.0237358-0.0360745j 0.0326817+0.00231299j 0.0543625-0.0233927j 0.0127018+0.0278165j 0.0601414-0.0208186j -0.00161688+0.00574643j -0.0314193+0.0353853j 0.0135615+0.0252475j -0.00920924-0.0184159j 0.0274943-0.0148835j 0.0101397-0.015239j 0.00187607-0.0305317j -0.109715+0.0597707j -0.00271811-0.015204j -0.0040624-0.03291j 0.0491654+0.0445685j 0.0180688-0.0460808j 0.00585693-0.0940939j 
0.0273323-0.0193584j -0.0206462-0.0260576j 0.0149904+0.0155337j 0.0570029+0.0303047j -0.0184893+0.097352j -0.149165+0.0272614j 0.151252+0.0888375j -0.098844-0.356565j -0.150293+0.135059j 0.519542-0.254592j -0.112683+0.0201622j -0.273243-0.208119j 0.102817+0.127623j -0.159369+0.42512j -0.0806572-0.0580929j -0.0288753-0.00345624j 0.00758089-0.011742j 0.00429707+0.00830733j -0.0359769-0.0378282j -0.0918078-0.033035j 0.00675398+0.0207871j -0.00312692-0.0527953j 0.00730087+0.00292577j 0.0417136-0.054329j 0.0568946-0.000731958j -0.0166283-0.00479452j -0.0325662+0.0164551j 0.0518115-0.0170189j 0.00439902-0.0304303j 0.022293-0.00667119j -0.0810368+0.0515341j -0.00168439+0.00821681j -0.0114199+0.0843047j 0.0137663+0.000155303j 0.0435514+0.115205j 0.0373939+0.0312029j 
0.013925-0.0296215j -0.0344765-0.0155748j 0.0143828+0.0436925j -0.0738438+0.024073j -0.0502595-0.0685159j -0.0627912-0.457247j 0.189428+0.217571j 0.0850499-0.176701j -0.111148-0.0163606j -0.516058-0.327447j -0.150138-0.290026j 0.0261556+0.00253756j 0.0227436+0.000108542j -0.257933+0.122392j 0.100798-0.0392799j 0.0294444+0.00176518j 0.0265995+0.057196j -0.0771842-0.0216138j 0.00418196-0.000408818j 0.0564624+0.0523174j -0.0311532+0.0526113j -0.0129837-0.0621579j 0.0341964-0.0160603j -0.0745581+0.0191597j -0.0385814+0.0145165j 0.00238393-0.0359021j 0.0630156-0.0313424j -0.0542554+0.0273695j -0.0279603-0.0308079j 0.00290172+0.0415251j 0.0458374-0.0359064j 0.0213204+0.0574643j -0.0593867+0.0230572j -0.0299114-0.0610313j -0.0558827+0.0745831j -0.0253606+0.0839257j 
-0.00559283+0.00376124j -0.00194712-0.00402007j -0.00914091+0.00016778j -0.0196505+0.00622285j -0.0187441-0.0313173j -0.0103565-0.00142157j -0.0173107-0.01905j 0.0146936+0.00674134j 0.0125927-0.0142125j 0.0367195-0.017191j -0.0170359+0.0276284j -0.0795869+0.0655476j -0.0409395+0.0382113j 0.00557823-0.00953306j -0.0610966-0.0590378j 0.0805321-0.0351509j -0.135613+0.0482212j -0.0719328-0.0468668j -0.113281+0.0728317j 0.0709179+0.0897115j -0.112095-0.0778261j 0.0145825-0.0172032j -0.165903-0.170416j -0.0150797-0.0297947j -0.023316-0.0673847j 0.0413521-0.0211695j 0.0805375+0.122408j 0.214807+0.16475j 0.0442066+0.0619664j -0.0338049+0.0796855j -0.297652+0.163145j -0.103178-0.0735641j 0.0438232+0.012984j -0.231928-0.139308j 0.0259522-0.179881j -0.214021+0.316497j 
-0.00680013+0.00931388j -0.00752497-0.00366078j -0.00503172+0.0230418j -0.0011942+0.00947455j -0.0312932+0.0182776j -0.0623963-0.0703992j -0.0385402-0.0410269j 0.012708+0.0284679j -0.0101629-0.00587586j -0.0251643-0.0342391j -0.0402314-0.0346009j 0.0434303+0.121006j -0.103408-0.0464313j -0.0249314-0.0256768j 0.0075135-0.163545j 0.00292107-0.016869j -0.119724-0.0433034j 0.0455175-0.00408889j -0.263446-0.0275353j -0.0688541-0.0598821j 0.0525728-0.0878296j -0.00393297+0.0109646j 0.11789-0.130266j -0.0441432-0.208596j 0.0615835+0.147108j -0.0302558+0.0488844j 0.11041-0.108651j -0.122695-0.0513832j -0.0600689-0.0730005j 0.0340095-0.0962842j 0.147107-0.032995j -0.0586313-0.131978j -0.0365381+0.135026j 0.0564375-0.17698j 0.21147-0.111024j -0.182121-0.117778j 
-0.0152045-0.0125377j 0.00718196-0.0186203j -0.00300084-0.0019145j -0.0310193+0.00216781j -0.00524942-0.0420804j 0.00585536-0.00720531j 0.0233638-0.00123127j 0.00758065-0.0143439j 0.0195859-0.0167576j -0.0468096+0.016286j 0.00729157-0.0313995j -0.0127899-0.0254149j 0.0440937+0.000456471j -0.0198118+0.0105616j 0.0751293+0.0307483j -0.11755+0.00824612j 0.107619-0.00229208j 0.0855732+0.119397j -0.0514971+0.0481502j -0.0783512-0.185271j 0.0344408+0.127131j -0.0474619+0.0542579j -0.0523455+0.0755901j -0.21406-0.0979641j 0.0582298+0.150035j -0.11782+0.105941j 0.343763+0.0326054j -0.0551395+0.228805j -0.096552-0.00364395j 0.007362+0.0445245j -0.0751103+0.0696409j -0.253213+0.00800262j 0.0245944+0.159431j -0.0465188+0.18343j 0.0698934-0.270054j 0.148044-0.0328356j 
0.00354617-0.0316063j 0.0331865+0.00912339j 0.0195766+0.00537106j 0.0210459+0.0046999j 0.00454021+0.0308841j -0.00289568+0.00844939j -0.0339218+0.000516828j 0.0010495+0.0185014j -0.0240611-0.00370168j 0.0221455-0.00700902j -0.0046076+0.0284047j 0.0176855+0.017295j -0.0363224-0.0244898j 0.030956-0.0287775j -0.0417951-0.0334722j 0.116845+0.00497306j -0.00397779-0.0400873j -0.0774785-0.14881j 0.0756565-0.0352909j 0.0327898+0.223218j 0.161545-0.00898794j 0.160145-0.142679j -0.0335587+0.17372j 0.133101-0.121307j 0.327033+0.159215j -0.0273982+0.129004j 0.250871-0.0610875j 0.0376228+0.130281j -0.14457+0.0960339j 0.0309978+0.0445624j -0.0543934+0.0949316j 0.0562997+0.212978j 0.021396+0.189015j 0.064593-0.0544582j -0.122172+0.0435777j -0.0715333+0.0096353j 
-0.0110516+0.0158326j -0.0143367-0.0089352j -0.00652982+0.0219527j -0.0135424+0.000311397j -0.00887151+0.0129987j 0.0279264+0.00347296j -0.00293711-0.0394391j 0.0457115+0.0215411j -6.74897e-05-0.0175857j -0.00730645+0.0849284j 0.0738724+0.0331737j 0.0729981-0.0393162j 0.0173751-0.0405385j 0.0245864-0.0919823j 0.0498243+0.0606874j -0.040065+0.00977482j 0.182901-0.0768113j -0.0645832+0.0153729j -0.191803-0.180139j 0.118348+0.133291j 0.00969139+0.25203j 0.080734-0.0308867j -0.00614556-0.0990838j 0.212207-0.0725193j 0.0737723-0.0250757j 0.00874099-0.0834664j 0.0616121+0.0153835j 0.177569+0.0515601j -0.0220159-0.125779j 0.0922985+0.106401j -0.0785782+0.190265j -0.000850597-0.126478j -0.224615+0.170024j -0.00308416+0.00810151j 0.153504+0.0874733j 0.0725814+0.0240241j 
