-0.114662-0.061153j -0.0989282+0.0637873j -0.0315845+0.0420336j 0.0509807+0.105458j -0.0290929-0.04084j 0.0137754+0.0169291j -0.100156-0.121089j -0.0426662+0.056328j 0.0448168+0.0482663j -0.0436521+0.0683659j -0.0160945+0.131215j -0.00160789+0.122243j 0.0384914-0.0852162j -0.152313-0.0296343j -0.070618+0.00551619j 0.0273092-0.000610204j -0.00802586-0.0193508j 0.0193843+0.038088j -0.0269112-0.107386j 0.0543404-0.00749098j 0.00662448-0.00812479j -0.0225722+0.00933161j -0.00249855+0.0305494j 0.0286385+0.014265j 0.0119208-0.00841688j -0.0692609-0.0326849j 0.0250695-0.0387282j 0.0176348+0.00383473j -0.0414885+0.00179843j 0.0462143-0.0556037j -0.0487023+0.0313411j 0.0153636+0.0230393j -0.0815162+0.0854197j 0.000738897+0.00659895j -0.0657311-0.0383125j -0.0559228+0.0491403j -0.0969078+0.106733j 0.116648-0.0962816j -0.140844-0.0993652j 0.0440342+0.0483392j 0.0631242-0.00236664j 0.106378+0.087625j 0.0854892+0.00669959j 0.107241+0.110475j 0.0864175+0.000608324j -0.0642766+0.0519466j -0.162753-0.0364325j -0.0305961+0.0674911j -0.0322564+0.0250257j -0.0540666+0.0358763j 0.0345043+0.0562314j 0.0485516+0.047939j 0.0357192-0.0208884j 0.0634294-0.0232268j -0.095975-0.0267839j -0.0223332-0.0944387j -0.0219927+0.0166087j 0.0793761+0.0286384j -0.157116-0.0503056j -0.0262732+0.111942j 0.0411243-0.0517707j -0.0710498-0.0629202j 0.00944881-0.000166484j 0.0650174-0.0245397j 0.0262125+0.053393j -0.0137631+0.0445075j -0.0490379-0.220994j -0.109533+0.0220125j -0.249764-0.21171j 
-0.070627+0.0594232j 0.169879-0.0176878j 0.0108532+0.0503154j -0.0164757+0.00406892j 0.0761438+0.0289231j 0.000550715-0.00883803j 0.0161285-0.0174002j 0.0406089+0.0256638j 0.0447669+0.134495j -0.0401181-0.153493j -0.0289979+0.0149102j -0.0131833-0.11903j -0.0368822-0.0518844j -0.000765843+0.0193003j 0.00424373-0.0648802j 0.000227753+0.00364832j -0.0824066-0.0167733j -0.0885385+0.028539j 0.0227503-0.0694627j 0.0193453-0.0887483j 0.0295144-0.0364643j -0.0546149-0.095634j 0.0632314+0.0405833j -0.0979488+0.0583185j 0.0497219+0.0481232j 0.0307793+0.0118756j 0.113771-0.0463329j -0.0382653-0.0465492j -0.018405+0.0120548j 0.0995414+0.0851265j -0.0897997-0.00476359j -0.0225171-0.00846743j -0.0196556-0.0675766j -0.0155971-0.0272229j 0.00540129-0.0545681j 0.0481345+0.00230042j -0.00743858-0.0342439j 0.0824987+0.105118j 0.0548832+0.00113047j -0.0248411+0.0152057j 0.0543455+0.0983166j 0.00187077+0.0575274j -0.100003-0.0801867j -0.0191756-0.0471193j 0.0210101+0.0597564j 0.133518+0.0590781j -0.081161+0.012311j -0.00138825-0.00932063j 0.0307775-0.0373553j 0.0528258-0.0123423j -0.00119475+0.0207556j -0.0482912+0.0117483j -0.0202768-0.0157554j -0.079375+0.064563j -0.029683-0.0845876j 0.14784+0.0460225j -0.000966655+0.0228066j 0.0473557+0.0353602j 0.0504518-0.125483j -0.0355726+0.060093j 0.0232036+0.0679371j 0.0558224-0.0143267j 0.119101-0.062136j -0.0246863-0.196513j 0.0718283+0.00032316j -0.0559872+0.00293452j -0.0936848-0.0161597j 0.255956+0.252443j -0.114404+0.0214675j 
-0.0264654-0.0657317j -0.0369014+0.0270504j 0.0132905+0.00246362j 0.0118345-0.101959j -0.0462284+0.047506j -0.0220817+0.0171178j 0.137898+0.0484838j -0.0525667-0.0543622j 0.034649-0.276498j -0.037342+0.0519548j 0.0791402-0.0438214j -0.113909+0.0566647j -0.0408354+0.0765416j 0.0439174-0.0160772j -0.0317315-0.00628751j 0.00739913-0.038655j -0.0207833+0.00653745j 0.0533672+0.00344094j -0.0379466+0.00285692j -0.0686424+0.0268695j 0.0483594-0.0557801j 0.0638173+0.0530714j -0.0426913-0.0042097j 0.0707841-0.00445966j -0.0374693-0.059429j 0.0213063-0.0537123j 0.0210974-0.00916383j 0.0380651-0.0523403j 0.0371011+0.0210739j -0.161577+0.011491j 0.144053-0.0378914j -0.00859375-0.0311306j 0.0393463-0.0145616j -0.0237552+0.0369406j 0.0596038-0.0514495j 0.0924454-0.123005j -0.107354-0.0220443j 0.0233414+0.0423147j 0.0918521+0.0444178j -0.0137891-0.0728701j -0.0241277-0.040779j -0.0258995+0.052416j 0.014727-0.0234418j -0.120951-0.0325807j 0.0648498-0.00470682j -0.0462001+0.0189602j -0.103145+0.0254824j 0.00752952+0.00489927j 0.0343166+0.0118147j -0.0151985-0.00164801j 0.0374879+0.000849069j -0.0262591-0.000702007j -0.00448532-0.026168j 0.00139003+0.0251756j -0.0453277-0.0290856j 0.0843193-0.0246332j 0.0261495+0.013624j 0.0242514-0.00103518j -0.0423032-0.0614667j -0.0867288+0.040546j 0.051073+0.0273461j 0.00181937-0.0499419j 0.0753349-0.0650134j 0.0141769-0.101623j 0.0274635+0.0392051j -0.0358585+0.00152877j -0.0180408-0.0811977j 0.0823969+0.134295j -0.168789-0.0859507j 
0.0150739-0.0138885j -0.0185165+0.0399875j -0.0536531-0.0796596j 0.0443547-0.0315666j -0.0511773-0.0383288j -0.0271639+0.098762j 0.00108924-0.108791j -0.0681776+0.0173675j -0.0508413-0.0251621j -0.0265272+0.0604438j -0.0413002+0.0742913j -0.0765619+0.156453j -0.0422963-0.102236j -0.159836-0.0349933j -0.114875+0.010922j 0.0813672+0.0214748j 0.0188943-0.0606487j 0.0310337-0.0316423j -0.000703493-0.0205685j 0.0165889-0.0114787j 0.0333216+0.0602631j 0.103873+0.0765978j -0.0336973-0.0156492j -0.00662853-0.0923868j 0.0271011+0.0114489j -0.112493-0.0644024j -0.012677+0.020427j 0.0838367-0.0485552j -0.0548931-0.0503211j -0.0519158-0.132989j -0.0070848+0.0983879j 0.0944998-0.071028j -0.0626766+0.0483562j -0.180538-0.00410837j -0.0307441-0.0554403j -0.0685052+0.104177j -0.0840297+0.00875435j 0.0786041-0.00489259j -0.00117223-0.025631j 0.102822+0.0115373j -0.0750426+0.00892131j -0.0154006+0.0324164j 0.0500497+0.0411477j 0.110412-0.0575394j -0.0406915+0.0545826j -0.0152124-0.0375823j 0.0262964-0.00216444j -0.00875465-0.0161815j -0.00313908-0.0184919j 0.0316079-0.021046j 0.0348698-0.0458298j 0.1141-0.00478975j 0.0756969+0.015171j -0.10569+0.00416566j 0.0138574-0.088077j 0.0506293+0.0775837j -0.0617706-0.000925506j -0.0362394-0.0103718j 0.0960934-0.0263522j 0.0197168-0.0431827j 0.00169442+0.0464963j 0.069587+0.0359577j 0.121292+0.0161876j -0.0187178-0.064324j 0.0235643-0.0429692j -0.0336536-0.0292706j -0.0418045+0.126743j 0.174049+0.124064j 0.10212+0.134113j 
0.0604058+0.0115271j 0.0887498-0.0507895j -0.00614628-0.0114717j -0.0452732-0.0159033j -0.0321557-0.0760592j -0.0670256-0.0553525j -0.0123899+0.0501031j 0.112488-0.0653129j -0.0614321+0.0426416j -0.00552896-0.00787143j -0.055116-0.0409974j -0.00134675-0.040836j 0.0135934-0.027044j 0.0617833-0.0244084j -0.00638474+0.0072316j -0.0796194+0.0482127j -0.0198777-0.0323613j -0.0642191-0.0402456j 0.0635952-0.0761066j -0.0808425+0.0141052j 0.00665699-0.0371966j -0.0015864+0.0320778j -0.0361483+0.0607024j 0.0104276-0.0308025j 0.0838664-0.0213089j -0.0363721-0.0145707j 0.0234803-0.0107401j -0.0902306+0.0756026j 0.0567574+0.0128155j -0.0330729+0.0290004j -0.0169144+0.0279423j 0.0672269-0.0468808j 0.0906972+0.105076j 0.015465+0.0319933j -0.0878186+0.0423621j -0.0921671+0.00988534j -0.0269902-0.128553j -0.00305034+0.0134228j -0.0693919+0.0340057j -0.00295524+0.0716511j -0.130908-0.0909283j 0.0163582+0.00495834j 0.116685+0.0784207j -0.0473163-0.0762833j -0.0547371-0.0316088j 0.0379133+0.00883135j 0.0396249+0.0560611j -0.0523115-0.00998278j -0.0798235-0.0576083j 0.0960927+0.116883j -0.0152912+0.00820884j 0.0216664+0.106997j -0.0357399-0.0624144j 0.0291275-0.0485411j 0.178226-0.0513453j -0.0361447-0.0163485j 0.00509054+0.0358412j 0.108912+0.0366922j 0.000448116-0.195222j 0.0932309+0.023557j 0.108978+0.035289j -0.157242-0.093225j -0.0753678+0.0342065j -0.13426-0.0648364j 0.177013-0.0376816j -0.118693+0.0600645j -0.092343-0.0603413j 0.0280753+0.0541814j -0.0169879+0.0360189j 
0.000259571-0.008399j -0.0740596+0.00583937j 0.063394+0.0583338j -0.000501775+0.0334567j -0.0255568-0.120901j -0.00317116+0.0497711j -0.0267925-0.0780795j 0.0079383+0.0908634j -0.079185-0.0157351j 0.117204-0.00532286j -0.0722283+0.0332765j -0.0322119-0.031091j 0.192855-0.0647235j 0.0732134+0.0386436j -0.0561756+0.0478729j 0.0243734+0.0126631j -0.0102279-0.0152757j -0.104895+0.020067j -0.0281892-0.116886j -0.0520208+0.00159737j 0.00442198-0.104552j 0.0985923-0.108904j -0.000406706-0.0702067j -0.071279-0.0268241j -0.064543-0.000693187j -0.0158522+0.00676522j -0.00549452+0.0739572j -0.0599338-0.0147417j 0.0101242-0.0312612j 0.0887667-0.0439564j -0.01815-0.00936894j 0.0317052-0.0263357j -0.139832-0.139714j 0.0567306-0.00911635j 0.0442228-0.0550016j 0.0260882+0.00163618j 0.0245663+0.111572j -0.00148898+0.0551651j -0.0400911-0.029202j -0.0380187+0.00183693j 0.0232273-0.068771j -0.051211+0.133391j -0.033004+0.0789539j 0.184736+0.148043j -0.0651121+0.00830548j -0.00643129-0.0391743j -0.0469484+0.083147j -0.00785663-0.0542946j 0.0301788-0.0536244j -0.042641-0.0891837j -0.0532031+0.0916864j 0.0323908-0.0572656j 0.00473788-0.0814743j -0.0439466+0.0671029j -0.0117895+0.146139j 0.0711965-0.0754037j 0.091974-0.000872722j -0.0773892+0.00380138j 0.0726706+0.150824j 0.00759998+0.0148804j 0.0526768-0.0492342j 0.179881+0.10542j 0.0207341+0.102895j 0.0758011-0.0221968j 0.135918+0.0337032j -0.0217484-0.0627602j 0.0795984-0.0389303j 0.0616881-0.0446965j -0.0297843+0.0598994j 
0.00915311+0.0324645j -0.0954242+0.0461055j -0.0123058-0.0480694j 0.0801386-0.00206255j -0.0401408+0.0278565j -0.00913155-0.0478163j -0.0697327-0.0527737j -0.0955866+0.044501j -0.0117966+0.0756808j -0.0340034+0.0424993j 0.0944946-0.135239j -0.156041+0.0781789j 0.0950855-0.0461013j 0.039763+0.0387099j -0.0207188+0.0248717j 0.0229492+0.0112022j 0.0339733-0.0365485j 0.0581513+0.0452506j -0.0618699-0.033141j 0.0375144+0.0423703j -0.0438772-0.0793687j -0.107579+0.0825553j -0.0324312-0.0661289j -0.00735444-0.0234437j 0.0386529-0.0200995j -0.00282884-0.0314975j -0.0664404+0.0474724j -0.0113564+0.116616j 0.0114176-0.00441864j 0.0608033-0.200979j 0.0957897-0.104679j 0.135172-0.0863078j 0.100623+0.0180442j -0.147289+0.124171j -0.0811326+0.0923593j 0.159438+0.0997535j -0.0674801-0.139371j -0.0254512+0.0390353j 0.0258915+0.265527j -0.0808618-0.193156j -0.0436946-0.0638058j 0.0211315-0.0884367j 0.025684+0.0733488j -0.0540863-0.0147857j -0.0477469-0.069813j -0.0777354-0.160163j -0.0156498+0.0128125j -0.0288563+0.0147423j 0.00266929+0.0185742j -0.00731511-0.0266355j -0.0422044+0.0565701j 0.0474108-0.21781j -0.0208903-0.22635j -0.0379173+0.0923933j 0.0541398+0.0509405j 0.0177567+0.0171067j 0.0439138+0.0344295j -0.040866+0.00452084j -0.0493004+0.0792318j -0.0268022-0.0855351j 0.082235-0.108215j 0.0394455+0.00216613j 0.0738587+0.0303093j 0.0235391+0.000127601j 0.0428422-0.0327128j -0.0146569+0.0513335j 0.0148498-0.00080195j -0.0271569+0.00887474j -0.0475097-0.00180607j 
-0.0471322-0.00936761j -0.00932666+0.017039j 0.0533572+0.0125501j 0.0624497-0.0248471j -0.0189341+0.0807567j -0.0562869+0.00336653j 0.160967+0.114784j 0.00686546+0.136255j 0.171824+0.032475j -0.178151+0.0993733j -0.0016233+0.125313j -0.0619845+0.0652932j -0.102504-0.0200571j -0.151174-0.0766629j 0.0131588+0.0261516j 0.0793849-0.0291979j 0.0167223-0.0790937j 0.0965953+0.0368079j -0.0297659+0.0976237j -0.0503733-0.0621455j 0.0402333+0.0392987j -0.0466558-0.00467274j -0.0157142+0.112948j 0.030831-0.106755j 0.161166-0.0158571j -0.00887429-0.0159176j -0.0706027-0.0553322j -0.0247333+0.0881351j 0.00471752+0.101512j 0.0700356-0.00373371j -0.144941+0.0778333j -0.0448816+0.170127j -0.0535369+0.0628374j -0.0261122-0.00410985j 0.0672913-0.0107881j -0.0301664+0.0259874j -0.0792572+0.0969777j 0.0329189-0.0691121j -0.0619758-0.115711j 0.0122456+0.0504448j 0.0641599+0.0374321j -0.00572509+0.0350265j 0.0378709-0.0535052j 0.105406+0.0242049j 0.020825+0.0758065j -0.0390758+0.0593376j 0.0199003-0.00594309j -0.0354268-0.0376681j 0.0335668+0.00129636j 0.0665656-0.00991179j 0.037082+0.0392732j 0.00436422-0.0565934j -0.0151809-0.0990672j -0.0451734-0.00775038j -0.0582789-0.0634937j 0.0692193+0.022387j 0.0318983+0.00730893j -0.0932664-0.0574775j 0.0333895+0.102034j -0.0215086-0.0420944j -0.0361893-0.0755168j 0.0713146+0.00697024j 0.0764578+0.0149074j 0.0325099+0.0407115j -0.0422864-0.00156968j -0.0523403+0.0771686j -0.0193056+0.00554514j -0.0274292-0.00596404j 0.0151192+0.00720519j 
-0.0213677+0.0298782j 0.00562615+0.0223735j -0.00625987-0.0126473j -0.0732756+0.00190244j 0.00709775+0.048401j -0.0556113-0.0371292j 0.0102549-0.0839925j -0.00147151+0.0136537j 0.0428251+0.0513987j -0.124126-0.09734j -0.0392682-0.0892406j -0.154633-0.010222j -0.132463-0.0581201j -0.116305+0.0257028j -0.00454271-0.0577444j -0.163373-0.0103078j -0.0985878-0.0231263j 0.00458079+0.0346985j 0.0637976-0.0329462j 0.0821258+0.0790426j 0.0349998+0.00305175j 0.0159458+0.0755048j -0.0936824+0.168256j -0.117696+0.179861j -0.173924-0.0866372j -0.0405259+0.0362253j 0.131101-0.0329672j 0.0689645+0.0417488j 0.069858+0.107058j -0.02556+0.0269431j -0.0904858+0.0470688j 0.0248643+0.0288932j 0.0317424-0.181238j -0.181888-0.13582j 0.0247869-0.0315873j -0.108774-0.0317584j 0.0263497+0.0644264j 0.126866-0.0397912j 0.097553+0.0291235j -0.0325993-0.0957761j 0.0839835+0.0233298j -0.0762508-0.158477j -0.170228-0.110187j -0.0225456-0.205646j 0.0118179+0.0186651j 0.149652+0.0743187j -0.011567+0.0724525j 0.00279678-0.0269023j 0.0515788+0.0107513j -0.0843104-0.128736j -0.00916073+0.124549j 0.0317836-0.0307581j -0.0503871-0.0206902j -0.0241324+0.0229178j 0.199445+0.0637052j -0.0392684-0.0578808j -0.03288+0.0384838j -0.0653432-0.0256663j -0.0811801+0.148474j 0.0389326-0.041994j 0.0633899-0.071985j 0.0128279+0.0372681j -0.0130925-0.0113629j 0.0141774-0.00779204j 0.0292329+0.0039876j 0.00366974-0.0142671j -0.0278397-0.00160014j -0.0666901-0.0316445j -0.000629541-0.0111255j 
0.0617866-0.0471055j -0.0295303-0.022904j 0.0213328+0.00895711j -0.040018+0.0527951j -0.0417762-0.150915j -0.170576-0.111833j 0.0325626+0.0730135j 0.12561+0.198723j -0.0734551-0.0629291j -0.126899-0.0458039j -0.104572+0.0353828j -0.104736-0.226274j -0.0457282-0.151465j -0.107376-0.0211354j -0.0238965-0.0223488j -0.108142-0.0785788j 0.00406522-0.0353113j 0.0499727+0.0442533j 0.0450297+0.0587484j 0.0614159-0.0338857j 0.00960829-0.0268401j 0.10861+0.0361971j -0.0100478-0.064387j -0.0465338-0.139019j -0.0327941-0.00957435j -0.147376+0.0447833j -0.0289494+0.0586348j -0.000855881-0.107238j 0.161865+0.112147j -0.0513572-0.259689j -0.110958+0.0360353j -0.156466-0.0340311j -0.12913+0.112727j -0.0463746+0.036345j 0.0823407+0.100281j -0.269607-0.0092177j -0.0493247-0.164117j 0.060921-0.110414j 0.0409642+0.148445j -0.0233106+0.0280859j 0.0900715-0.02854j -0.0240076-0.0224701j 0.0228789-0.0111384j -0.0430949+0.0278965j -0.0144572-0.119973j -0.0138974-0.0620565j 0.019964-0.0412775j 0.0144557+0.0659059j -0.00520362+0.00636205j 0.00354891+0.0541854j -0.0202384-0.11374j -0.0555049-0.0411393j -0.00804095-0.0244617j 0.0496039-0.013499j -0.108718+0.0758084j 0.0129753+0.0264954j -0.0155736-0.0138674j 0.0165736+0.00669142j 0.0644906-0.0301557j -0.0309372+0.0255716j -0.00887648+0.0588205j -0.0173855-0.0104771j -0.0365505-0.0152241j -0.0104208+0.000261887j 0.00394598-0.00909409j 0.00242676-0.0314832j 0.0603918+0.00503406j 0.00725575-0.0324715j 0.00161927+0.0082708j 
0.0146315+0.0211956j 0.0223663-0.0180229j -0.0395296-0.0148309j -0.0845272+0.033198j -0.0101734+0.110465j -0.0297794-0.0357263j 0.080878-0.151781j -0.199966+0.111464j -0.2447+0.0237193j 0.0368604+0.130654j -0.00457553-0.0232685j -0.0692086+0.108194j 0.0763814+0.0297551j -0.0858332+0.088947j 0.0352853-0.0390189j -0.0146169-0.0787182j -0.00298176+0.090567j -0.0109172-0.043558j 0.072992-0.00226686j 0.115186-0.018701j 0.0116232-0.0340399j -0.015992+0.00736267j -0.0531883-0.00834149j -0.0429214-0.047277j -0.153385+0.0779958j -0.158139+0.0275905j 0.0592959-0.000710661j 0.119197-0.0257j -0.0029261-0.109717j 0.0387946-0.0533682j -0.0101507-0.0301033j -0.014774+0.0687674j 0.0182001+0.0102967j -0.123003+0.0285797j 0.0157822+0.0664986j -0.176158-0.0194913j 0.0458601-0.0461444j 0.0791269+0.0381088j 0.0621965-0.0110811j -0.0137811+0.00379779j -0.0224429+0.0211712j 0.0489133+0.0851726j 0.0186965-0.0407821j 0.0132988-0.0163942j -0.0135122-0.0065826j -0.0400112-0.023933j 0.0319422-0.0359389j 0.007394+0.0642147j -0.00268514+0.0118846j -0.0198778+0.0487005j -0.00897152-0.0518775j 0.0873564-0.19229j 0.112081-0.083945j 0.0169887+0.0577625j -0.0435286-0.013621j -0.0479276+0.0446884j -0.0319168+0.00260613j 0.100854+0.0278539j -0.0343907-0.0648272j 0.0428314+0.0148471j -0.0194052+0.0169071j -0.0741703-0.0103154j -0.0371375-0.016566j -0.0149658-0.0163879j -0.0258934+0.00541519j 0.0322256-0.00363457j -0.01719+0.00215755j 0.0205298+0.0317806j 0.0010639-0.0199859j 
