-0.0113523-0.0242338j -0.0222248-0.0631933j 0.01861-0.0114974j -0.0404282+0.0137871j 0.146943-0.0285951j -0.00314259-0.0191578j 0.00468321+0.00378208j -0.0643907-0.047777j -0.0124972+0.0204302j -0.00545198+0.00208496j 0.0748818+0.076274j -0.0196003-0.010205j 0.0786853+0.0129403j 0.229002+0.551788j -0.593791+0.253259j -0.0114354+0.0228329j 0.0267733-0.00871784j 0.0618609+0.0385339j -0.00393652+0.00380664j -0.0678632+0.00898652j 0.00914423-0.00237937j 0.016992+0.0332491j -0.0249634+0.0142751j -0.0265011+0.0195908j -0.00291744+0.00405593j 0.047336+0.0207246j 0.00439218-0.00997103j 0.00549569+0.014437j 0.0662089-0.0186136j -0.0560266+0.0166057j -0.0275686+0.000383998j 0.0453589-0.0631593j 0.259469-0.00646684j -0.0145522+0.00939417j 0.00335002+0.121586j -0.260736-0.0347297j 
0.0125278+0.00163234j -0.0247136+0.00213885j -0.0070325-0.00228543j -0.00264079+0.0144456j -0.0148732+0.0194964j 0.0122654-0.00756805j 0.00605467+0.010127j 0.0181862-0.0147299j 0.0255659+0.0190347j -0.0177045+0.020288j 0.0182511-0.00979905j 0.0168385+0.0186096j 0.0209847+0.00116748j 0.00380541+0.0026935j -0.00812107-0.00389127j 0.00136848+0.00478471j -0.00260237-0.00615843j -0.00481405+0.00349393j -0.00546695-0.00358955j -0.0037634+0.0182628j -0.00184702-0.016629j -0.00750678+0.0185318j 0.00724536+0.0111435j -0.0270876-0.00620772j -0.004568+0.0138414j -0.0320537-0.0241467j 0.0251996-0.00248853j 0.00455722-0.0243772j 0.0226378-0.0168505j -0.0275929+0.0213181j -0.00630615+0.00314147j 0.0280516+0.00466458j 0.00457099-0.0107211j 0.000165162+0.0126804j -0.0138279+8.7253e-05j -0.0106261-0.00913085j 
0.0159594+0.0162374j -0.0113676-0.0213361j -0.0127461-0.00294952j 0.00626398-0.00200503j -0.00405068-0.01579j -0.00319723-0.0104627j 0.00976562-0.00344554j 0.00628217-0.0123427j 0.019392-0.000292419j 0.0155143-0.00615067j -0.00954151-0.0355902j 0.00310047-0.00772769j 0.0191085-0.00749508j -0.0062644-0.0142493j -0.00580051+0.00248358j -0.00233448+0.000483992j -0.000256219+0.00230676j 2.39958e-05-0.00587446j 0.00121969-0.00181877j -0.0107417-0.00790369j -0.0260959-0.0188888j 0.0267133+0.00910712j 0.0235961-0.0224196j -0.013566-0.00169479j 0.000953539-0.0165192j -0.0157303+0.0373604j -0.0108358+0.00154479j 0.017089-0.0290385j -0.00751148+0.00522815j 0.0281938+0.0115132j -0.0248387-0.0132646j -0.0119903+0.00535365j -0.000900593+0.00382456j -0.00828353-0.0047276j 0.00522689-0.00176586j 0.00760505+0.00547599j 
-0.0113324+0.020904j 0.0157358-0.0185752j 0.00483595+0.017412j -0.00333091+0.0025651j -0.00821054+0.00808171j -0.0209441-0.000914803j 0.0017381-0.00449806j -0.0232524-0.0118093j 0.00432066-0.0122706j 0.00915204-0.0110597j -0.0271579+0.000185728j -0.00774786+0.00039174j 0.0025191-0.0265106j -0.00983031+0.00354328j -0.00134266+0.0101278j -0.00281482-0.00125835j 0.0131086+0.00105869j -0.00558702+0.000228916j 0.00932844-0.00210624j -0.00658579-0.00895571j 0.0181735-0.0129637j -0.0214602+0.0162936j 0.0230662+0.0190218j 0.0148622-0.0241718j 0.0232056-0.0031542j -0.0196351-0.0365868j 0.00545876-0.0205606j 0.0336122+0.0114416j -0.00080898+0.00813944j -0.0242897+0.0181446j 0.00470945-0.0215875j -0.00847377+0.00193115j -0.00134864+0.00242775j -0.00826919-0.00294838j 0.00376614+0.00230508j 0.00205613+0.00409377j 
-0.0213316-0.00211875j 0.0115396-0.00184026j -0.0259377-0.0253197j -0.00626527-0.0279033j -0.00434972-0.00178327j 0.013292-0.00152308j 0.00291317-0.00797117j -0.00139443+0.0085269j 0.00511638-0.0293318j -0.0146329+0.0214764j -0.0126312+0.0140551j 0.0286364+0.0174887j -0.018603-0.0113404j -0.00057776-0.000170612j 0.000969393+0.00306689j 0.0156119+0.00445396j -0.018169+0.00532928j 0.0137943+0.00631629j -0.0122121+0.00475601j 0.0129491-0.00882373j 0.0114377+0.00436355j 0.00948735+0.0153737j -0.00802202+0.016646j -0.0072561-0.0149944j -0.0135943-0.00141607j -0.0235766+0.0249515j 0.00726691+0.0223285j 0.0182998-0.0233335j -0.00640694+0.00200548j 0.0174541+0.0110984j -0.026534-0.0102019j -0.00271817-0.0163414j 0.00237802+0.00594338j 0.0204546-0.00148446j 0.00416072+0.00226532j -0.00682328+7.87961e-05j 
0.000170956+0.0012193j 0.00993703+0.000278096j 0.00633574+0.0155547j 0.0126589+0.0334652j -0.00378432+0.00844619j 0.00448483+0.0195084j -0.0137278-0.0162438j 0.0122694-0.000647227j -0.000752086+0.00108077j 0.0181567-0.030305j -0.0119377+0.00200622j -0.0304253-0.0129295j -0.0115061-0.000877991j -0.00214221+0.00604647j 0.00580934+0.0057309j 0.0194859+0.000104715j -0.0151234+0.00752491j 0.0154354+0.0113845j -0.00911174+0.00646779j 0.0175032-0.0124963j 0.00331724+0.00533646j 0.0122204+0.0128961j -0.00910319+0.0062736j 0.00456954-0.00172641j 0.0200523+0.00281024j -0.0171282+0.0392888j 0.00266056-0.0123624j -0.00210433+0.0283815j -0.00767248+0.00877146j 0.0312904+0.00680062j 0.0231689+0.00135835j -0.00946362-0.0153309j 0.00510192+0.00887326j 0.0161226-0.00195395j 0.00862667+0.00614697j -0.0151682+0.0014356j 
-0.0134258+0.0093242j -0.0177032-0.0143043j 0.0307207-0.0128438j 0.0147555-0.0386468j 0.00216189+0.014639j -0.0252791+0.0137175j -0.0187052-0.01744j 0.00331339-0.021536j 0.0118846+0.0275281j -0.000696887-0.015875j -0.0166814+0.00409347j -0.0263811+0.00740548j 0.000139896-0.0135685j -0.000597924+0.00503677j 0.000159971+0.00155187j 0.00192458-0.00530887j 0.0114279+0.0161192j -0.0242061-0.00917853j 0.0203139+0.000269675j -0.0075334+0.0201379j 0.0327413+0.0133034j 0.0155283-0.00658949j -0.0111614+0.0286961j 0.0155961-0.0382506j -0.0222907+0.0379303j 0.0125567+0.00504889j 0.0485598+0.0120572j 0.00167084+0.0105965j -0.0112237+0.00456727j 8.33183e-05-0.0117021j 0.0176818+0.0181311j -0.0136399-0.000395563j 9.55507e-05-0.000949035j -0.0114978-0.00834088j -0.000606127-0.00174766j 0.00591589+0.000859536j 
0.00395678-0.0189137j -0.0126644-0.00669003j -0.0190689+0.0154155j -0.033694-0.0110413j -0.00581658+0.0112791j -0.0127276+0.010316j -0.00647307-0.016621j 0.0152203-0.00779273j -0.0168413+0.0176827j 0.0422397+0.0194475j 0.0125753+0.00991814j 0.00465024-0.0445684j -0.00697398+0.00271164j 7.29015e-05+0.00357887j -0.00110058+0.00272612j 0.0171669+0.00338389j 0.0010695+0.00569375j -0.0178898-0.00105343j -0.005157-0.00116727j -0.0105404+0.0257077j 0.0163679+0.0111502j -0.00769908+0.0142351j -0.0396181+0.0236065j 0.0230827-0.0326832j 0.0175593-0.0107676j -0.0162639-0.00646721j 0.0128086+0.0138254j 0.0436847+0.0335186j 0.0087443-0.00387916j 4.22646e-05+0.00827656j 0.00175337-0.020289j 0.00850628+1.2367e-05j -0.0037925+0.000853153j 0.0105457+0.00877499j 0.00202983+0.00115144j 0.000373073-0.000523404j 
0.00347553-0.00507901j -0.00107813+0.00970246j -0.000467667-0.00506214j 0.0228428-0.00433902j 0.00726471+0.00252157j 0.0436447+0.00966704j -0.00556712+0.0163373j -0.00346357-0.00601762j 0.00782236+0.0143011j -0.0173232-0.00960057j 0.0186953+0.0145089j -0.0158346+0.0136642j -0.00121817+0.013892j 0.017709+0.00414991j -0.00408389-0.0144715j 0.0172482+0.00966232j -0.0162184-0.0176573j -0.00939795+0.0128132j -0.038754+0.00391329j -0.00578476+0.0246857j 0.000162146+0.00292076j -0.0444866+0.0337176j -0.027415+0.00326151j -0.0224305+0.0122553j -0.00457156+0.0117311j -0.0514906-0.0210419j 0.00722735+0.00155198j -0.0196559+0.00595278j 0.0184639-0.0168257j 0.0043298+0.0324549j 0.0190158+0.0131249j 0.0263755-0.010281j 0.0057606-0.00427997j 0.0274226+0.0192909j -0.00681242+0.00426291j -0.0239638-0.0121536j 
-0.00896598+0.00539555j -0.0118231+0.0203224j 0.0073168+0.0140049j 0.0303394-0.00126217j -0.0148482-0.0056444j -0.0296599-0.023981j 0.0250229-0.00658917j 0.0016472+0.0226102j -0.0351441+3.31977e-05j 0.0184774+0.0233454j -0.00442327-0.00816616j 0.0137308-0.0209184j 0.0108765-0.00865544j -0.0029341+0.000360067j -0.00352679+0.000660005j -0.00763729+0.00216796j 0.0232465+0.00605275j -0.0141938+0.01123j 0.023978-0.0199517j 0.035039+0.0200158j 0.062787-0.0522908j 0.00574282-0.00847605j 0.0227561+0.0351199j -0.0539296-0.0187061j 0.0355142+0.0112639j 0.00018615+2.95526e-05j -0.0119809-0.0404268j 0.00745185-0.0184371j 0.00352004+0.000753926j -0.00763909+0.00421001j -0.0132148-0.0173127j 0.004129+0.000643082j 0.00140329-0.0002137j 0.000799029+0.00101661j 0.000737+0.00312735j -0.00542856+0.000823614j 
-0.0264986-0.0138297j -0.00668869-0.00610093j 0.00833379+0.029742j -0.0139133+0.0022389j 0.00726457-0.0047672j -0.0203934-0.00357766j -0.00406112+0.0415762j -0.0256598-0.0120863j 0.00812941-0.0174606j -0.00649606-0.0146297j 0.00670562+0.00226473j -0.00253709+0.00426684j 0.00133759+0.0112861j 0.00111774-0.0023513j 0.00801135-0.00862793j -0.0366546-0.00305509j 0.0260281-0.0185646j -0.0171807-0.049558j 0.0315164-0.013857j -0.0739914+0.0687874j -0.00302945-0.0152461j 0.0134405-0.000985956j -0.0425943-0.0401201j -0.0326637-0.0330844j 0.00529829+0.010526j -0.00232331-0.0242532j 0.0134426+0.00596793j 0.00282781+0.0056142j 0.00149706-0.00623649j -0.0275484-0.0088645j 0.00626212+0.0053913j 0.013006+0.0148924j -0.00829183-0.00761071j -0.0208374+0.00115305j -0.0100163-0.00316917j 0.0120481-0.00069741j 
0.00397943-0.0262927j 0.00150672-0.00801094j 0.0120499+0.0131013j 0.0117961+0.00351579j -0.0129732-0.00283874j 0.0206181+0.00733213j -0.00257465+0.0141151j 0.0536327+0.0307657j -0.0128904+0.018375j -0.00561029+0.00627989j -0.01821-0.00239303j 0.00470048+0.00123879j -0.00520292-0.0142494j -0.0103165+0.00283585j 0.00651543+0.0107713j 0.0153671+0.0071694j -0.0684401+0.0603503j 0.108628-0.0386002j 0.0771122+0.0462204j -0.0349791-0.0568074j 0.0129664+0.0126596j 0.0245554+0.00752726j -0.00139693-0.0260164j -0.00454221-0.0254162j -0.00506149+0.00496853j 0.0128452+0.00328369j 0.00391948+0.00404663j 0.000485479-0.00159386j -0.00975284+0.00661555j -0.0192658-0.0193856j 0.000943241+0.0013992j -0.00522328+0.00542508j 0.00037316+0.000812034j -0.0270443-0.0161308j -0.00335795-0.00288135j 0.00831729+0.00743932j 
0.00395579-0.00625814j 0.00349715-0.000418308j 0.0296753-0.00242199j 0.00302637+0.00710206j -0.00697791-0.00410175j -0.0246419-0.0486588j 0.0367785-0.0301291j 0.0338821+0.0135999j -0.00144222-0.000241352j 0.00178659+0.000185893j -0.0111591-0.0026272j -0.00127941+0.003019j -0.0127778-0.000519394j -0.00684587-0.0028995j 0.018187+0.00432053j -0.0243047-0.0557992j 0.0799023-0.0533125j 0.0992556-0.0380867j -0.0266036-0.0795866j -0.0392286-0.0362961j 0.0123768+0.00859269j 0.0182101+0.00462175j -0.0224334-0.0278445j -0.0212832-0.0267739j 0.00365426+0.00760379j 0.00048931-0.0091573j -8.17852e-05-0.00049432j -0.00229484-7.67114e-05j -0.00684133+0.000963652j -0.0280317-0.0171797j 0.00098365+0.00158178j 0.00859612+0.00942695j -0.00701215-0.00304948j -0.0261141-0.00964977j -0.00918789-0.00202258j 0.0121553+0.00413382j 
-0.00381896-0.0057109j -0.00131069-0.0039351j 0.0583225+0.0259275j -0.0153196-0.00726798j 0.00958135+0.00632042j -0.149676-0.0395098j 0.0311805-0.031445j -0.0169126-0.0127872j 0.00178697-0.00939433j -0.00295628-0.0037083j 0.0101882+0.000561154j -0.000226388+0.00158128j 0.0086504+0.00869809j -0.000140773-0.000101514j -0.000281405-0.0113396j -0.191226+0.0798609j -0.0676228-0.09123j -0.0251105-0.0248723j 0.0505585+0.0492121j 0.0208868+0.0189651j -0.00168263-0.0046885j -0.00718519-0.00589922j 0.0148112+0.0107331j 0.0138697+0.0108339j 0.00080563-0.00213879j 0.00381439-0.00160572j 0.001127-0.000158392j 0.00414879+0.0015126j -0.000362086-0.00074768j 0.0152642+0.0120137j -0.00382141-0.00158976j -0.00871827-0.00096387j 0.000179397+0.000293814j 0.00886164+0.0087658j 0.00559356+0.000296461j 0.00044899-0.00303746j 
