-0.0113523-0.0242338j -0.0222248-0.0631933j 0.01861-0.0114974j -0.0404282+0.0137871j 0.146943-0.0285951j -0.00314259-0.0191578j 0.00468321+0.00378208j -0.0643907-0.047777j -0.0124972+0.0204302j -0.00545198+0.00208496j 0.0748818+0.076274j -0.0196003-0.010205j 0.0786853+0.0129403j 0.229002+0.551788j -0.593791+0.253259j -0.0114354+0.0228329j 0.0267733-0.00871784j 0.0618609+0.0385339j -0.00393652+0.00380664j -0.0678632+0.00898652j 0.00914423-0.00237937j 0.016992+0.0332491j -0.0249634+0.0142751j -0.0265011+0.0195908j -0.00291744+0.00405593j 0.047336+0.0207246j 0.00439218-0.00997103j 0.00549569+0.014437j 0.0662089-0.0186136j -0.0560266+0.0166057j -0.0275686+0.000383998j 0.0453589-0.0631593j 0.259469-0.00646684j -0.0145522+0.00939417j 0.00335002+0.121586j -0.260736-0.0347297j 
0.039542+0.0127926j 0.0140008+0.00474308j -0.115666+0.00438276j 0.0190844-0.000607448j -0.0158589+0.000142237j 0.46684-0.0202891j 0.0884302+0.0919491j -0.011513+0.0125106j 0.0192604-0.00836977j 0.0061948-0.00170951j 0.00146248-0.0125905j -0.00233064+0.00435713j -0.0128925+0.00419485j 0.0166653-0.0134971j -0.0181778-0.00667845j 0.534065+0.00118563j -0.00236678-0.00958528j -0.120249-0.0153141j -0.539735+0.0115917j -0.163032-0.0010307j -0.00104691-0.00181504j -0.0582602-0.0104852j -0.0358417-0.00127157j -0.0296447-0.0061898j 0.0196263+0.0035557j -0.00862536-0.00140382j 0.0124632-0.0029942j 0.000282939-0.00171453j 0.0300387+0.009571j 0.00697677-0.00611846j 0.000516981+0.000586232j 0.015227+0.0118021j 0.0140392+0.00696841j 0.0232335-0.00822546j 0.00921908-0.00805153j -0.0182614+0.00958901j 
-0.0112532+0.00213651j -0.0185612+0.00466952j -0.00294251+0.00220055j 0.00997613-0.00304926j -0.0289329+0.00768821j -0.0406077+0.00747771j -0.00607511-0.021752j -0.023201+0.0134734j -0.00844345-0.0236585j -0.00559468-0.00423157j 0.0074575-0.0181234j 2.48638e-05+0.00792247j 0.0124155+0.00891347j 0.0205105-0.0927736j -0.0198159-0.0664931j -0.0586905-0.0112399j 0.0284607+0.00511807j -0.0684228-0.00970354j 0.0309492-0.00678483j -0.0124111-0.00232234j 0.0134482+0.00134553j -0.0724248-0.00664681j 0.02425-0.00571566j 2.28759e-06-0.00701649j -0.0274676+0.000245199j 0.00534678-0.00767316j -0.00696224+0.00139364j -0.00325789-0.00250093j 0.0411823+0.000662907j 0.0569536-0.00381758j 0.0292946-4.04745e-06j 0.075109+0.00750009j 0.3455+0.00631594j 0.0412226+0.011131j 0.0371971-0.100796j -0.325046-0.00286977j 
0.00144444+0.00378594j 0.000382209+0.00482704j -0.0162274-0.00595469j 0.00691226+0.0102379j -0.00901577-0.0238773j 0.0434062-0.00823866j 0.00891415+0.00622553j 0.0223523-0.0121736j 0.0095828+0.00664573j 0.00933585+0.00131623j -0.0110257+0.0156581j -0.0026869-0.00318915j -0.0203865-0.00220522j -0.0137125+0.0629997j 0.0493421+0.0318113j 0.0334215+0.0030116j -0.01582-0.0013149j 0.0041054+0.00175386j -0.0306611+0.000591473j 0.00331277+0.00570634j 0.00799453-0.00171622j 0.0016163+0.00290972j -0.0121292+0.00383399j -0.00780683+0.00218619j 0.00999577+0.00229867j -0.00581846-0.00396443j -0.00302739-0.00375137j -0.00278166+0.00141707j -0.00237581-0.00957077j -0.00787339+0.00527713j -0.00564175-0.00178078j 0.00570136-0.0129095j -0.00533464-0.0981461j -0.00940035-0.00204362j -0.125044-0.0412228j 0.078957-0.0749149j 
-0.00594762-0.00479216j -0.0225354-0.0174009j -0.00933521-0.00370226j 0.00806429+0.00451245j -0.0388651-0.00142642j 0.0551735-0.000616947j 0.00176701+0.0229921j 0.0534161-0.00143095j 0.0110314+0.0214554j 0.00885968+0.00693176j -0.0381632+0.0118605j 0.00396391-0.004936j -0.0253188-0.0341269j 0.00657977+0.0139213j 0.0486898-0.0114151j 0.0605067+0.0111173j -0.0514217-0.0073496j 0.0853378+0.0161263j -0.034149+0.00655281j 0.0396123+0.00415627j -0.0155246-0.00194027j 0.07436+0.0151152j -0.0316214+0.00559565j -0.0295226+0.00539706j 6.01045e-05-0.00274877j -0.027759+0.00657012j -0.00978838-0.00212343j 0.0160004+0.00337151j -0.181586-0.0295687j -0.0657122-0.0150007j 0.0137747-0.00954366j 0.0685814-0.0795221j -0.00137314+0.0101567j -0.132715+0.0230088j -0.04804+0.0265196j -0.0160004-0.0161087j 
0.00289809-0.00652437j 0.0190313-0.0157996j -0.0109595-0.00656745j 0.00638054+0.00153985j 0.0070611+0.0303934j 0.0257261-0.00860284j 0.0075571+0.0121044j 0.0146724-0.0150226j 0.0132035+0.0192872j -0.00313496+0.00433454j -0.0117908+0.0333879j 0.00289701-0.00438688j -0.0281539-0.0264683j 0.0187785+0.00364756j -0.0420465+0.00595762j 0.00456222+0.00516392j -0.00617412-0.00703483j -0.00629339+0.0034626j -0.0132149-0.00123929j -0.00692356+0.0172759j -0.0053492-0.00739817j -0.0121282+0.00826515j -0.00020535+0.00606458j -0.0212166+0.00169896j -0.0203769-0.00575146j -0.00220517-0.0142977j -0.000703314-0.00632353j 0.00711161+0.000517547j 0.0168825-0.0676987j 0.00641822-0.000986813j 0.0290955+0.00598104j 0.0853827+0.046053j 0.015978-0.0311058j -0.0682926+0.05498j -0.033702-0.00887706j -0.00844881-0.0180855j 
0.0194312+0.0195501j 0.004917+0.00551708j 0.0283345-0.00325955j -0.0361372-0.00285701j -0.00311162+0.00272244j -0.0052667+0.00450326j -0.00545748+0.002353j -0.0025781+0.0109751j -0.0239339+0.000530901j 0.0182301+0.0156144j -0.00569504-0.0113385j 0.0102539-0.0183246j 0.028961-0.0143036j 0.0233404+0.028238j 0.0172603-0.0259611j -0.0134171-0.00484754j 0.00927084+3.51944e-05j -0.00805498-0.00256307j 0.0123888+7.92551e-05j 0.00626201+0.00511696j 0.0341433+0.0155094j -0.00551499+0.000716554j -0.0232351-0.00545086j 0.048198+0.017848j 0.0693518+0.0393424j 0.00712994+0.00421412j 0.0189188-0.0148837j -0.0627577+0.0401616j 0.0108995+0.00823023j 0.00835101+0.00715468j -0.0397085+0.0436843j -0.00617565+0.021792j 0.0151984-0.0138743j -0.0193644-0.0132326j -0.0121974+0.00344829j -0.01881-0.00985961j 
-0.00122474-0.00617364j 0.00541518-0.00537627j -0.00524344-0.0029831j 0.0356361+0.00651748j 0.0218998+0.00881689j 0.0334471+0.0108289j -0.00502454+0.00498329j 0.0114388+0.00694726j -0.00942038-0.0162394j 0.0201036+0.0302745j -0.00284322-0.00333381j 0.0297252-0.0170821j -0.0110923+0.00344102j 0.0113398+0.0185112j 0.0195374-0.0102785j 0.0299998+0.00445317j -0.0242094-0.00333531j 0.0216157+0.00951463j -0.0279411+0.00482589j 0.0249503+0.00592556j 0.0275658+0.019755j 0.0312969+0.0242235j -0.0385642+0.0088016j 0.00582481-0.00244116j -0.0102032-0.00196762j -0.035579+0.0235449j -0.0201909+0.0193075j -0.0117288+0.0206568j 0.0052107-0.00711783j -0.00800531+0.0146841j 0.0105864-0.000498216j 0.0222113-0.0166028j 0.00786124+0.00361627j 0.0106723+0.0077794j -0.00477983+0.00902362j -0.0289036-0.00685776j 
-0.0169272+0.00904714j -0.00132206+0.0138209j -0.0122808-0.0185892j -0.00450459+0.0240142j -0.0207255-0.00753227j 0.0209792-0.00404703j 0.000387974+0.0018835j 0.0335151+0.00515066j -0.00046308+0.0208559j 0.0108959-0.0287816j -0.0141091+0.00520745j -0.029837-0.0152577j -0.02557-0.00300235j 0.0227216-0.0221363j -0.0143074-0.018427j 0.00761989+0.00361953j -0.0198783-0.00121692j 0.0203217+0.00765592j -0.00927729+0.00183415j 0.0142563-0.000464183j -0.0300812-0.00359123j 0.0203151+0.0110083j -0.000190632-0.0171132j -0.0227933+0.0268516j -0.00458911+0.0208257j -0.0303424+0.0128016j 0.0200109+0.013538j -0.0333537-0.0456102j -0.0191889+0.00922286j -0.018338+0.0151101j -0.043721+0.022653j 0.00201667-0.0328141j 0.0191646-0.00329359j 0.0146364-0.0120889j -0.0157739-0.000605202j -0.0220869-0.0107832j 
0.00904235-0.0112936j 0.0101656+0.0123335j -0.00386097+0.00968002j -0.0142496-0.0242168j -0.0252752-0.0204365j 0.0119036+0.0052272j -0.000789934+0.000961965j 0.00954959+0.0123572j 0.00274985+0.00470862j -0.0256476-0.0126066j 0.00957086+0.0100966j -0.0170101+0.0272292j -0.00239528+0.01354j -0.0133515+0.00756619j 0.0152094+0.0109678j 0.0150809+0.00406969j -0.0133001-0.00343487j 0.0244652+0.0134482j -0.0105569+0.000339132j 0.0121501-0.00492956j -0.0147115-0.0185301j 0.0171544+0.0192463j 0.00311793+0.00548053j -0.0139074+0.000489851j 0.0446806-0.0102729j -0.0277117+0.0216373j 0.00347274-0.0387917j 0.0148062+0.0307216j 0.0183125-0.00981781j 0.00280585+0.0134033j 0.036164-0.0107699j 0.0257538+0.00168498j -0.00220115+0.00712488j 0.00652054+0.0181115j 0.00689523+0.0135366j -0.0240618+0.00291532j 
0.00856531-0.000484582j 0.00808923-0.00415677j -0.00679562-0.00599688j 0.0101038-0.0357117j 0.0132461-0.031706j 0.0237443-0.00582674j 0.0066729+0.01357j 0.0043967-0.00139958j -0.012259+0.0156734j 0.0347371-0.0137595j 0.000172889-0.000262769j -0.0185707-0.0375879j 0.00474357-0.0061198j 0.0198029-0.00654187j -0.0103844-0.0149086j 0.00105685+0.00361001j -0.00564503-0.00985078j -0.00314634-0.000187543j -0.0130453-0.000625391j -0.0101535+0.0128968j -0.017916+0.00110186j -0.00965552+0.0089551j -0.0135689-0.0262998j -0.000231842+0.0240743j 0.00233637-0.0173286j -0.0136578-0.0246545j -0.0299533+0.00263206j -0.0161385+0.00502897j 0.017567-0.0108857j -0.024649+0.0118137j -0.000923324-0.000744283j 0.0214969+0.00599771j 0.00450218-0.00979107j -0.00338744+0.0100026j -0.013606-0.0027487j -0.00519557-0.00867321j 
