-0.00154814+0.0154068j 0.0177387+0.00103115j -0.0144171-0.00280716j 0.00149155+0.011485j 0.00365844+0.00422356j -0.00641228+0.000613441j 0.00650088-0.00373222j 0.00488917-0.00837991j 0.000542843-3.41023e-05j -0.00450835-0.00828014j 0.00366048+0.00312292j -0.00503973-0.00706264j 0.00229195+0.000682088j 0.00846199+0.00639213j 0.00371065+0.00348068j 0.00981377-0.003245j 0.00345073-0.00156533j -0.0025302+0.0011744j 0.00255227-0.00341364j -0.00287605-0.0099492j -0.00222791-0.00701367j 0.00719814-0.00237129j -0.00245915-0.00233315j -0.00240074+0.0125319j 0.000156543+0.0031104j 0.00349097+0.00592959j -0.00958797+0.00693807j -0.00674537+0.00884088j -0.00596323+0.00547056j 0.0110216+0.00969479j -0.00119861-0.00291249j 0.00139736+0.00231017j 0.00848101+0.00914199j -0.00151563-0.00227542j -0.00050995+0.00536785j -0.00932294-0.00298782j 0.000226699+0.00062336j 0.00467048+0.0030138j -0.0113451+0.000727769j 0.00191154+0.00234185j 0.00401971+0.00512092j -0.000900416-0.00109638j 0.0028272+0.00217387j 0.00392051+0.00160054j 0.00925601+0.000811844j -0.00471565-0.00287074j 0.00944737-0.0082111j 0.0107878-0.00109j -0.00529421-0.0180737j 0.0163436-0.00491099j 0.00839098+0.0136689j -0.0121017+0.00962449j 
0.00885206+0.00154631j 0.000714508-0.0115048j -0.012872+0.0106676j 0.0161868+0.0119687j 0.00325344-0.00847678j -0.00752277-0.00640575j -0.0106107+0.00420575j -0.00148327+0.00159027j 0.00857911+0.00586339j 0.00218909+0.00388982j -0.0099808+0.00305199j -0.00450438-0.00594318j 0.0002381+0.0126838j 0.000485606-0.00379447j -0.000128452-0.0104048j 0.00305207+0.0133348j -0.00186349-0.00580908j -0.00964759+0.00298817j 0.00301609-0.000108839j 0.0121457+0.00235689j 0.0061185-0.0067284j -0.000923813+4.95219e-05j 0.0102224+0.00391891j 0.00924362-0.000810457j 0.00649457-0.0101438j -0.0064623-0.0017007j 0.00230297+0.00670931j 0.0133856+0.00173521j 0.006009+0.00700848j 0.000548889-0.0054072j -0.00144998+0.000176644j 0.00337427+0.00343683j 0.00521386-0.00617803j -0.00424726+0.00265535j 0.000128553-0.00195897j -0.00719891-0.00042039j 0.00213936+0.000623949j -1.71289e-05-0.00011159j 0.00204609+0.00175073j 0.00197943+0.0100585j 0.00462687+0.00437888j -0.00257535+0.00815178j 0.00259764+0.00460722j -0.000324769-0.00431833j -0.00518304+0.00277714j -0.0057737+0.0147051j -0.00505147-0.00813709j -0.00131824+0.00275394j -0.0143755+0.00709115j -0.00657407-0.00938625j 0.0148693-0.00836428j 0.00892841+0.0140013j 
-0.00703777-0.00256696j 0.00204398-0.001571j -0.0160407+0.00472648j 0.0172486-0.00019655j 0.0018143-0.00148988j -0.0157206-0.0112768j 0.000294295-0.00962966j 0.00502097+0.00771235j -0.00549214-0.0171469j 0.0042513+0.0108124j -0.00312754+0.00354375j 0.00283998+0.00523056j -0.00179166+0.0155202j 0.000879709+0.0103898j -0.00346807+0.000588329j -0.00355603-0.00482378j -0.00123706-0.00103315j 0.00702044+0.00501315j 0.004123+0.0116026j 0.00319836-0.0124358j -0.00593885+0.0102557j -0.000867594-0.00383733j -0.00296242+0.0177311j -0.00817445+0.0157681j -0.000840628+0.00474529j -0.000701749+0.000562958j -0.00567178+0.00298932j 0.00527526+0.00339529j 0.00089419-0.00282151j -0.00199505+0.00527264j -0.00359867-0.00103044j -0.000795904+0.00135151j -0.00298207-0.000505287j -0.00138797+0.000268537j 0.00210955+0.000274393j -9.60953e-05-4.18649e-05j -0.00180769+0.00159334j 0.00366038+0.00201843j -0.000535288+0.000670268j -0.00210708-0.000818679j 0.000315714+0.00238227j 0.00408668-0.00428427j 0.00393486+0.000287713j 0.00410459-0.00133834j -0.00073853-0.00404061j 0.0016602-0.00490171j 0.00475059-0.00396666j -0.00299664-0.00104135j -0.00227117+0.00355556j -0.00226066+0.00304187j -0.00581731+0.0016916j -0.000339468-0.0065866j 
0.00129467+0.00328603j -0.00223614+0.00461577j 0.0122299-0.00452797j -0.0114142-0.00112916j 0.00400203+0.00820729j 0.00489914-0.00505432j 0.000286351-0.0118404j -0.00410378-0.00922105j -0.00109649+0.00368615j -0.000348466-0.00121505j 0.00451106+0.000126421j -0.000410285-0.00391355j 0.00632307+0.0218101j -0.000862254-0.00212335j 0.000821241+0.00744735j 0.00179259+0.00796373j -0.0013964-0.028054j -0.00222255+0.0162386j 0.000998231+0.00780989j -0.00215603+0.000756625j -7.81718e-05+0.0024447j 0.00303271-0.00261491j -0.00185549-0.00377134j -0.00160155+0.00430004j 0.00413947-0.0174509j 0.00741948-0.00414709j 0.0028095-0.00413509j 0.00361499-0.0159051j 0.00147399-0.00660486j -0.00176256+0.000347879j 0.00140565-0.00124548j -0.00268317+0.00567951j -0.000626605-0.00249556j -0.00243778+0.00350459j 3.38003e-05-0.0021351j -0.00121404+0.0010053j -0.000923179+0.00223409j 0.00235945+0.0044549j 0.00289517-0.00074367j 0.00512912-0.00182841j 0.000795118-0.0052356j -0.00163673+0.000802132j 0.00313277-0.00243853j 0.00239229-0.00153j -0.000977903+0.000977694j 0.00141083+6.9823e-05j 0.00187718-0.0015032j 0.000859205-0.00227394j -0.000412617+0.00691237j 0.000728685+0.000771305j -0.00219626-0.000738966j -0.00133669-0.00225038j 
0.000527978+0.000495704j -0.00167516-0.00114005j 0.00371435+0.00189319j -0.00516514-0.00657073j 0.00603871+0.00214731j -0.00235123-0.0102023j -0.00195795-0.00729934j 0.000233293+0.00132278j -0.00386676-0.0128096j -0.00176197-0.021j 0.00128654-0.000489392j -0.00421875-0.0173248j 0.000553967+0.00213849j 0.00113044+0.000158058j -0.00403545-0.0199599j 0.000650019-0.00992819j 0.00102028+0.00175648j 0.000984025-0.0202249j -0.00229374+0.00775886j 0.000597652+0.00748629j 0.00669765-0.0209911j 0.00170489-0.00923635j -0.00191964-0.000641992j -0.00355418+0.00516706j -0.000946354-0.000245535j 0.00438706-0.0136984j -0.00200091+0.000498123j 0.00301191-0.00703708j 0.00238062-0.00162328j 0.000802346+0.00452459j -0.00331437+0.00627952j 0.00207561-0.00182929j 0.000189894+0.000228054j -0.0030909+0.000419582j -0.00106798+0.00275872j 0.00222108+0.000888097j 8.79122e-05+0.000966303j 0.00134417+0.0023959j -0.00198676-0.00108574j 0.00167755-0.000152999j -0.00486372+0.00192821j 0.000931078+5.6755e-05j -0.000715485+0.00012771j -0.00497914+0.00379681j 0.000106167-0.00093674j 0.00165735-0.0033684j 0.000766493-0.00363509j -0.00139862-0.000517379j -0.00126415+0.00340879j -6.45097e-05-0.000459686j -9.26229e-05-0.000219554j -0.000248529+5.55065e-05j 
-0.0110274-0.00272204j 0.00444632-0.00223804j -0.014876+0.00487198j 0.0159034+0.00160451j -0.00851873-0.00860269j -0.00899435+0.00387158j 0.00696874-0.000564056j 0.00171473-0.0106293j 0.00115888+0.00354678j 0.00383489+0.00471739j -0.00203006-0.0159075j -0.00536946-0.012633j -0.0015207+0.00269973j 0.00108652-0.00542983j -0.00284159-0.0110214j -0.00132467+0.008144j -0.00321665-0.00586822j 0.00532141-8.9456e-05j 0.00252268-0.00230339j -0.000812508+0.018802j -0.00237141-0.00885974j -0.00149308+0.0143018j -0.00821673-0.0012437j 0.00355217-0.00691926j 0.00297092-0.00233962j -0.000975617+0.00508337j -0.000905697-0.00867492j 0.00305236+0.00302039j -0.00313193-0.0105879j -0.00142721+0.00281031j -0.00135841-0.00424045j -0.00125833-0.00183232j -0.00168638+0.00103543j 0.000737175-0.0015851j -0.0046012+0.00353043j -0.000974538-0.00331598j 0.000255149-0.00478346j -0.000613219-0.00228819j -0.00361294+0.000686109j 0.00578681-0.00647616j 0.00133818-0.000384048j 0.000423114-0.00262513j 0.00135031-5.48014e-05j 0.00435572+0.000624837j 6.12271e-05-0.000304548j 0.00555878-0.00305335j 0.00075317+0.00715456j -0.000596697+0.00506162j 0.00346272-0.00143756j -0.00140846+0.0102069j -0.00923932+0.0040147j -0.00187441-0.0128859j 
-0.00281814-0.00896632j -0.00161499+0.00611731j -0.00797672-0.0015968j 0.00574807-0.00089992j 0.0014175+0.000864882j 0.00027466+0.0121546j -0.00389778-0.00120586j -0.00690995-0.0194893j 0.00132453-0.0157084j 0.0019385-0.00513034j 0.000590936+0.00404049j -0.00265422+0.00299254j -0.00334581-0.00678385j 0.000431046+0.0128572j 6.77649e-05+0.00267705j -0.0030861+0.00839014j 0.00273292-0.0188377j 0.00106412-0.00342763j 0.00476819-0.0207497j 0.00240059-0.0013624j 0.000835578-0.00368806j -0.00039359-0.0145601j 0.00193113+0.00837869j 0.000466525-0.00704152j 0.00173122-0.00156218j -0.000270436-0.0168167j 0.00331253-0.00442246j -0.00062615+0.0092218j 0.00147173+0.0105759j 0.000936415-0.00486961j 0.000404201-0.00186982j 0.000647756+0.000983974j 0.000133625-0.000635376j 0.00166387+1.22089e-05j -0.00334378-0.000223353j -0.00222609-0.00324379j -0.00413742+0.00269134j -0.000983858-0.0034338j -0.0039808+0.00445077j 0.00036705+0.00177116j -0.00127113+0.00346055j -0.000873456+0.000479586j 0.0002843+0.00111162j 0.00321942-0.00210097j 0.000631749-0.00391935j -0.00663875+0.00580973j 6.25353e-05-0.00375255j -0.00121944-0.00151j -0.000923982-0.0038517j -0.00209041-0.00507798j 0.00108641-0.00228546j 0.00263815+0.00379124j 
-0.00269962+0.00804021j 0.0021772+0.0151888j -0.0102226+0.00107965j 0.0199151-0.0057933j -0.000383457+0.00780754j -0.0133606-0.00656956j 0.00189422+0.00859763j 0.00134114+0.00206005j 0.00487091+0.0126205j -0.00167194-0.0102861j -0.00343187+0.00653484j 0.003094-0.00709864j -0.00568287-0.00116846j 0.000489939-0.00109043j -0.00382598+0.00708628j -0.00449464-0.00353171j -0.00541088+0.00568723j 0.00485754+0.0148754j -0.00420979+0.0022494j 0.00212893-0.00517569j -0.00312822-0.00730955j 0.00126218-0.00203663j 0.00595084-0.01649j -0.000223768-0.00279723j 0.00638127+0.00933227j -0.00244722-0.0132922j 0.00826622-0.0105232j 0.00226812-0.00118924j -0.0025294+0.00175227j -0.000596324-0.0134969j -0.00370761+0.00439623j -0.00340828+0.00268916j -0.00354561-0.00616884j 0.000933054+0.00388464j -0.00172162-0.00168227j -0.00134226+0.00262554j 0.00146458+0.000228228j -0.000115693+0.00556163j -0.00148451+0.00290878j 0.000511148+0.000753062j 0.00308934-0.00140326j -0.00301634+0.000684855j -0.000563674+8.47202e-05j -0.000265466+0.000695242j -0.00459117-0.00101129j -0.00132597+0.00342849j -0.00113809+0.00580149j -0.00304888-0.0126524j -0.00188868+0.00772643j -0.00423416-0.0059827j -0.00806515-0.00499312j 0.000619391-0.00266984j 
0.00178658-0.000473956j 0.0014541+0.00496862j 0.0116233+0.00586512j -0.00289585+0.00219782j 0.022889-0.0166891j -0.00725585-0.00486029j 0.00324201-0.000441827j -0.00681826-0.0085587j -0.00868029+9.73703e-05j 0.00455816+0.0056393j -5.89322e-05+0.000548856j 0.01019-0.00206171j -0.00484986-0.000904042j 0.00780258+0.0028612j -0.00885038+0.00230331j 0.000226588-0.000607288j 0.00271842+0.00111771j -0.00224821-0.000180036j 0.0127239-0.00321126j 0.0138088-0.00146992j 0.00761793+0.00222831j 0.00905563+0.00898793j -0.00393136-0.00818022j -0.00183707-0.00185334j -0.00730683-0.00224572j 0.00176337+0.00226482j -0.0156638-0.00957307j 0.00449017+0.0127202j 0.00293946+0.00247691j 0.00903672-0.00445986j -0.00423727-0.00441618j -0.00458232-0.00209497j -0.00544432-0.00892372j 0.000678186+0.0031803j 0.000157263+0.000232443j -0.00222527+0.00369453j -0.000883783-0.00125695j 0.00327917+0.0022948j -0.00306949+0.000973055j 0.000228526+0.00303488j -0.000917892-0.000505785j 0.00130951+0.00551992j 0.00195469+0.00581353j 0.00380657-0.0027419j 0.00479689+0.00313099j 0.00683476-0.00298481j 0.00603424-0.00228908j -0.00989304-0.0078115j -0.00793064+0.00172826j -0.0026175-0.00149327j -0.00864674+0.0135492j -0.00465181-0.0050739j 
-0.0031746-0.00261957j -0.00470997+0.00651858j 0.00890877+0.003125j -0.0111988+0.00166143j -0.00443076+0.00146258j 0.00752682-0.0080586j -0.00711586+0.0076647j -0.00198545-0.00467117j 0.00957296-0.00390304j 0.00458191+0.00466044j 0.00511581+0.0022605j -0.014324-0.00273854j -0.0120962+0.00376569j -0.00613874-0.000460985j 0.0185999-0.00371046j -0.00251846-0.00477264j -0.0136935+0.0032962j -0.0035759-0.00363383j 0.0087057+0.00927455j 0.00371977-0.00357346j -0.0021088+0.00236723j -0.00177034+0.00453954j 0.000958868+0.00092016j 0.00433996+0.000680197j 0.0105952+0.0168852j 0.00157619-0.00127688j 0.0129628+0.00891585j -0.00330011+0.00474796j -0.00717775-0.00190185j -0.00431827+0.00117483j -0.00248058-0.00339867j -0.00207756-0.00842468j -0.00657174-0.00334076j 0.00256949-0.00138236j -0.00909515-0.003134j -0.020999-0.00150185j 0.00121137-0.00130914j 0.00291747-0.00669849j -0.032515+0.00612574j 0.0126862+0.0109849j 0.0113876+0.000772997j 0.00193682+0.00646495j 0.00499316+0.00448267j 0.00896948+0.0022986j -0.00258131+0.000187977j -0.00140201+0.0046612j 0.00103157-0.00037721j 0.00325507+0.00482793j -0.00145715+0.00167755j -0.00219754+0.000181902j -0.00759226+0.00684029j -0.00113884-0.00382596j 
-0.00268875-0.00133438j 0.00530351+0.00216729j -0.000783501-0.000348162j 0.00138954-0.000694801j -0.0020999-0.000872273j -0.00164024-0.00554955j 0.000160033+0.00204684j -0.00648794+0.0030358j 0.00866159-0.0062312j -0.00162901+0.00136144j 0.00178782+0.00170909j 0.00202197-0.00215261j 0.0281194-0.00582571j -0.00207337+0.000673196j -0.00777849+0.0070294j -0.0133544-0.000236591j 0.0216968+0.00136063j -0.00460447+0.00400935j -0.0306269-0.00598562j 0.00564713+0.0076265j 0.0129507+0.00791889j -0.0040047-0.000969279j -0.00250554+0.00350332j 0.00724184+0.00543913j -0.00532546-0.00561869j -0.0034966-0.00572244j -0.000626236+0.00128519j -0.00164934-0.00352602j -0.00191555-0.00293035j -0.00785203+0.000993143j -0.00845703+0.000704813j -0.00161923-0.00297437j -0.00211276-0.0044618j 0.00329015+0.00075319j -0.00330393-0.000464022j -0.0235169+0.00440581j 0.00506261-0.000337058j 0.00648279-0.00358473j -0.0150863-0.0031449j 0.00713306+0.000341106j 0.00835053+0.00478416j -0.000350766+0.00713307j 0.000605414-0.00182329j 0.000366063-0.00195351j 0.00365298+0.00319196j 0.00451636+0.00132087j -0.00386955-0.00377623j 0.000666294+0.00154492j -0.000391783+0.00230834j -0.000720262+0.000482728j -0.00247275+0.00685516j -0.00141955-0.00207237j 
