0.0702607-0.0273335j -0.100137-0.0396595j 0.0257215+0.0334486j 0.0651907+0.0727561j -0.0304073-0.0293941j -0.0275139-0.103583j 0.0350483-0.0644687j -0.0420239+0.0288374j -0.0755914-0.0227573j -0.0435671-0.0355389j 0.0504265+0.0505258j -0.00036549-0.00532556j 0.0108694-0.00695309j 0.00462931+0.00174459j -0.0286037-0.0653473j -0.0170421-0.0537435j 0.0070574-0.0779213j 0.0417854-0.0268099j 
-0.0345806-0.0671312j -0.0293048+0.104129j 0.0308445-0.0291223j 0.0660925-0.0725368j -0.0263091+0.0334022j -0.100756+0.0378505j -0.0676882-0.028633j -0.0410447-0.0293796j -0.00433599-0.0782239j 0.0184464-0.0527209j -0.0300652+0.064184j 0.00479391-0.00215435j 0.0102359+0.00782284j -7.88312e-05+0.00486659j 0.0512253-0.0489088j 0.0443365-0.0342248j 0.0750348-0.0199488j 0.0391215+0.0297791j 
0.0886373+0.0172704j -0.014187-0.0408601j -0.0350427-0.0685821j 0.0225658-0.00401838j 0.00949574-0.0755166j -0.000312404+0.045342j -0.0772791+0.0458712j -0.0871792-0.0350164j -0.0154461-0.0615619j 0.0155528+0.0465966j 0.0333672+0.0157976j -0.00676056+0.0398888j -0.0142066+0.0877359j -0.00685504+0.0402389j -0.0365841+0.0045511j 0.0289173-0.037652j -0.0361555+0.0542997j -0.0928788+0.00453067j 
0.0434144-0.112756j -0.0572697+0.00911787j -0.0985726+0.0302463j -5.0022e-05-0.0307743j -0.0972912-0.0300723j 0.059748+0.0110737j 0.0425346+0.112518j 0.0288308+0.00707572j 0.00752125+0.0183783j -0.00709911-0.01397j -0.0111022-0.00313009j 0.00017655-0.0128219j 0.000311177-0.0280656j 0.000174368-0.0128745j 0.0113546-0.00334486j -0.00718224+0.0130116j 0.00892033-0.0187158j 0.028756-0.00556755j 
0.0775121+0.0466554j 0.000615616-0.0434691j -0.0095342-0.0765813j 0.0227675+0.00395977j 0.0347919-0.0678629j -0.0158604+0.0427193j -0.0884435+0.0168211j 0.0934428+0.00636344j 0.0336809+0.0535175j -0.0291521-0.0395827j -0.0368271-0.00452865j -0.00590817-0.0400903j -0.0137032-0.0877312j -0.00602775-0.0404354j 0.0336028-0.0156105j -0.0156921+0.044841j 0.0174857-0.0626061j 0.0865669-0.0331519j 
-0.0437693-0.0273556j -0.0474757-0.0411408j -0.00359555+0.0936426j -0.0174109-0.0165811j 0.0194819-0.0395529j 0.0375279+0.0242841j -0.0887683-0.0026202j 0.0393183+0.0484935j -0.0377238-0.0329723j 0.0177323-0.102299j -0.0324703-0.0371548j -0.00483395+0.00356914j -0.0114113-0.00721156j 0.0454822-0.0406477j -0.0259725+0.000559274j 0.0517273-0.0301621j 0.00223511+0.0369948j -0.0871392-0.0456762j 
0.0730587+0.0128827j 0.056715-0.058897j -0.0692604+0.0122703j -0.0261728-0.0267513j -0.026681+0.0763643j -0.0695732+0.0466912j 0.00268023-0.0675686j -0.0520901-0.0333428j 0.0200038-0.0528743j 0.0310411-0.0329522j -0.0163221-0.0209342j 0.0354852-0.0662224j 0.0028481-7.68116e-05j 0.0628293-0.0204837j 0.0254429+0.0245229j -0.0595701+0.0317684j -0.0596051+0.000651371j -0.00663373-0.0430376j 
0.0175591+0.0520284j -0.0618805+0.000272193j 0.118696+0.0649548j -0.0713584+0.0200607j -0.0558623+0.0431942j 0.010623+0.0119092j -0.0480106+0.103522j -0.0205844-0.0464285j -0.0100435-0.00682764j -0.0551972-0.0137501j -0.0299667+0.0195485j 0.0118894-0.0483207j 0.000201949+0.00812947j -0.000453677-0.0449669j 0.0287224+0.0261455j -0.0630803+0.00876699j -0.0155015+0.00287228j -0.0205112+0.0396186j 
-0.0796954+0.0798677j 0.0372174+0.0443619j -0.0270453-0.0016022j 0.0276331-0.0620597j -0.0939707-0.0984234j -0.0257237-0.0858951j 0.00273472-0.00117569j 0.0198118-0.0247408j 0.0229878-0.0142441j 0.0320091-0.0280792j -0.00486559-0.0281958j 0.047995+0.00272448j -0.00334345-0.000524848j 0.0457223+0.0153285j -0.0162958+0.0232601j -0.019069-0.0381801j -0.0161081-0.0221874j -0.00876154-0.0303508j 
0.0343371-0.0302022j -0.00649134+0.00919677j 0.0206348-0.0417635j 0.00466026+0.037713j 0.0423986+0.0385531j 0.0111912+0.017288j 0.0352642+0.00958919j -0.0105914+0.02667j 0.00917127-0.0417896j 0.0669839-0.0430205j 0.00136873-0.0394313j 0.0129145-0.0100925j -0.00172186-0.00836136j 0.0570381+0.00612826j -0.0105334-0.00310139j 0.0212417+0.00832079j -0.0290609+0.010365j -0.0156356-0.0722162j 
-0.0343765+0.00945531j 0.01125-0.020936j -0.0452358+0.0423464j 0.00395326-0.0397889j -0.0213844-0.0413647j -0.0084039-0.00715274j -0.0382152-0.0330927j 0.0158245-0.0707076j 0.0276418+0.0127523j -0.0215773+0.00987949j -0.00876669+0.00357089j 0.055807-0.00559938j -0.000570302+0.00852828j 0.0112725+0.0108168j 0.00091376+0.0380852j -0.0660693-0.0425333j -0.00727945-0.0403168j 0.0115983+0.0283261j 
