-0.115583-0.0300243j -0.0490741-0.108861j 0.0952341+0.029261j -0.0630505-0.0995035j -0.0142433+0.0983015j -0.0354199-0.0298024j 0.0482038+0.0374494j 0.0383088-0.0329337j 0.0429034+0.0665974j 0.0228693+0.0227923j -0.0232691-0.00560853j -0.0241969+0.0136988j -0.00612252-0.0860529j -0.0109074+0.0330805j 0.0459184-0.0460905j -0.00922756-0.020831j 0.00423766+0.0288307j 0.0353813+0.0133376j -0.00496579+0.0480734j -0.0221501-0.0262004j 0.0262798-0.0269509j 0.00749758+0.025811j 0.00955388-0.0131412j 0.0416986+0.0213306j -0.000715165-0.00204855j -0.0379891+0.0367206j 0.00448908+0.0033054j 0.0132487-0.0224634j -0.00363879+0.0301955j -0.0176169-0.0334387j -0.0294078-0.00853553j -0.0140552-0.0361507j 0.0380059-0.0179945j -0.010989+0.042729j -0.0285105+0.0215527j 0.0370052-0.000977937j 
-0.0857225+0.141824j -0.164412+0.0225906j 0.0234506-0.0702414j -0.0751383+0.0451737j 0.0729013+0.0122396j 0.0307999-0.00602057j -0.0266252-0.0394733j 0.0314657-0.0178784j 0.0167684-0.0423014j 0.0136343-0.0100547j -0.0176747+0.00266532j -0.0407752-0.0161273j -0.0351629+0.0124327j -0.0100992-0.0458366j -0.0261455+0.01784j 0.0375635-0.00690582j -0.0371943-0.0178206j 0.0131613+0.0268376j -0.0388966-0.0189317j 0.00278885-0.0313857j 0.0134212+0.0170884j -0.00145808+0.024843j 0.0154631+0.0221761j -0.0158928+0.0303198j -0.000510926+0.00587035j -0.0255761-0.0398092j -0.00237698+0.000531429j 0.00767303-0.0205618j -0.0228718-0.0148975j 0.0199707-0.0215186j -0.00240656-0.00487074j 0.0294859-0.0264263j 0.00598261+0.0494708j -0.0388371+0.00144636j -0.00285057-0.0320338j -0.0094983+0.0270443j 
-0.0486232-0.0542011j 0.0113123-0.0722203j 0.00346852-0.0816145j -0.0658059+0.0707142j 0.0809569-0.00928089j 0.0146822+0.0815404j 0.0285886-0.0256647j -0.055718+0.110318j -0.0195243+0.00411344j -0.0325299+0.00785977j 0.0467042-0.0242616j 0.101115-0.0558885j 0.0438003+0.0346001j 0.0864759+0.00363597j -0.040379-0.000506761j -0.0200792+0.00453416j 0.021263+0.0218552j -0.0184987+0.0200435j 0.00237126+0.02331j 0.0128985-0.00638492j 0.055749+0.0285388j -0.0308496-0.00762409j -0.011404-0.0243479j 0.013764+0.070102j 0.00159296-0.00982415j -0.0114052-0.00655718j 0.00731455+0.00986794j 0.0221233+0.0481817j -0.00781467+0.0350216j 0.0215759-0.0399804j 0.0232771-0.0489012j 0.0171267-0.02579j 0.00623678-0.0150282j -0.0406653+0.00981572j -0.0191456+0.0300174j 0.0315596+7.44801e-05j 
-0.0583844-0.118718j 0.0550936-0.120534j -0.0332581+0.0288555j 0.0521538-0.000499841j -0.0337426-0.0283139j 0.0492605+0.00775635j -0.0130076-0.0753912j 0.0631768-0.00982896j 0.0554748-0.0502065j 0.0288874-0.00526387j -0.0307706-0.0078068j -0.0546486-0.0500379j -0.0624431-0.00883588j 0.0124075-0.0751127j -0.0483293+0.0081964j 0.00653796-0.0248702j -0.0270878+0.0114562j 0.0163105-0.0227164j -0.0150389+0.00732565j -0.022475-0.00668036j -0.0381934+0.0484739j 0.0335729-0.00732028j 0.0319084-0.00632373j -0.0643236+0.0147291j 0.0076055+0.00697514j 0.00974653-0.000105859j -0.00845248+0.00660843j -0.064039-0.0169399j -0.0335445-0.0081961j 0.030544+0.00800436j 0.0355534+0.0487701j 0.0227131-0.00539106j 0.0150378+0.00854306j -0.0147136-0.0223289j -0.0261103-0.0133855j 0.0046137+0.0247465j 
-0.0137249-0.0714401j 0.0467784-0.0560827j 0.0808754+0.00863866j -0.066214-0.0698334j 0.00429705+0.0810244j 0.0393287+0.000285766j -0.0863874+0.00370118j -0.0472683+0.0342043j -0.103323-0.0572082j -0.0430821-0.0224032j 0.0328433+0.0080474j 0.0194473+0.00538372j 0.0557483+0.110774j -0.0281619-0.0238323j -0.014615+0.0806543j 0.032658+0.00104383j -0.0184016-0.0307637j 0.0405606+0.0121622j -0.00650227-0.0154965j -0.01561-0.0254458j -0.0214298-0.050976j 0.0201496+0.0426721j 0.00492728+0.0328931j 0.0238828-0.0468862j -0.00733344+0.00917923j -0.0125091+0.00510992j -0.000824458-0.0102045j 0.016406-0.0687341j 0.0137025-0.0244474j -0.0303782+0.00487816j -0.0549681+0.0255935j -0.0132978-0.00669018j -0.00314433+0.024156j 0.016945+0.0202247j 0.0221814-0.0216185j -0.020177-0.00469301j 
0.164485+0.017787j 0.0910827+0.138395j 0.0730932-0.0137882j -0.0763872-0.0436066j 0.0252146+0.0698287j 0.0261083+0.0179507j 0.00982832-0.0462005j 0.0349778+0.0114372j 0.0413357-0.0168468j 0.0163728+0.00302227j -0.0138611-0.0114177j -0.0162872-0.0412111j -0.0324352-0.0166141j 0.0260347-0.0392838j -0.0306141-0.00602045j -0.00754624-0.0278975j -0.00390589+0.0308874j 0.0406418+0.00273196j -0.00715615+0.04903j -0.0294072-0.0281396j 0.00232909-0.00545067j 0.0213037+0.0219518j 0.0216176-0.0151121j 0.00768617+0.0211032j 0.00199879+0.00109927j -0.0269431+0.0384314j 0.000213739+0.00599738j -0.015036-0.0315177j -0.0159713+0.023672j -0.00231824-0.0241032j -0.0141956+0.0170942j -0.00199663-0.0321866j 0.0392355-0.0172362j -0.014005+0.0265486j -0.0373578+0.0165726j 0.0362121+0.00809496j 
0.0458871-0.109437j 0.113526-0.0345377j -0.0157519-0.0985203j -0.0612246+0.100866j 0.0944094-0.0313242j -0.046223-0.0466827j 0.0112603+0.0346384j 0.00621162-0.0861322j 0.0248764+0.0144287j 0.0223981-0.00681628j -0.0243384+0.0256085j -0.0420842+0.0659565j -0.0369485-0.0337998j -0.048491+0.037508j 0.0359634-0.0294922j 0.0371451+0.00196593j -0.0279395-0.0216773j 0.00921258+0.0431049j -0.0377756-0.0190085j 0.014637-0.0347923j 0.0303353-0.00793962j -0.0182249+0.0338455j 0.00385192+0.0272785j 0.0124306+0.0231082j -0.00441265+0.00312134j -0.0367888-0.0383614j 0.000722264-0.00233062j 0.0415263-0.0193002j -0.0103936-0.01183j 0.00769568-0.026188j -0.0247287-0.0269483j 0.0223606-0.0256198j 0.0038783+0.0481418j -0.0349506+0.0120082j 0.00476842-0.0289318j -0.0100497+0.0200253j 
-0.121161-0.145477j 0.0323143+0.187559j 0.117614+0.0660786j 0.0587434-0.0158214j 0.0665905-0.117298j -0.0413644-0.03722j 0.0545663+0.0308642j 0.0508639+0.0100598j -0.0087751+0.00614593j -0.0203335+0.0165746j -0.00236433-0.0806722j 0.00543688+0.0326799j -0.00118896+0.0472324j -0.0164824+0.00169429j -0.0797469+0.0451687j -0.000105099-0.029979j 0.00462497+0.0238172j 0.0292907+0.0336026j -0.00606467+0.0131373j -0.00450363-0.0108714j 0.0501093+0.00416115j 0.0122867-0.0060126j -0.0197677+0.0232984j -0.0129852+0.015531j 0.00927125-0.015618j 0.00111288+0.00227142j 0.0154043+0.061445j 0.00697146+0.000500811j -0.0150889-0.0123555j -0.0300727+0.0187898j 0.0191479+0.00765887j 0.0216146-0.0170949j -0.0089485-0.0131531j 0.0355789-0.0459539j 0.00660729-0.00774886j -0.0550173-0.0135453j 
0.226102-0.106751j -0.250572-0.0207231j -0.0680037+0.0963455j 0.00845822+0.052328j 0.0961264+0.0683968j -0.0266861-0.0165347j -0.0218518+0.0562558j -0.0223047+0.0266107j -0.0185794-0.018655j 0.0218582+0.0161802j 0.0486509-0.0116513j -0.0305027+0.0115044j -0.0252883-0.0205623j 8.43779e-05-0.0498417j -0.0459627-0.0235971j -0.0411605-0.0166085j 0.010969+0.0215431j 0.00939222-0.0101666j 0.00255183+0.00697034j -0.00807099-0.0256247j -0.000271551+0.0114383j -0.00890561-0.0230314j 0.00883461+0.0186246j -0.00134979+0.00740575j -0.0161152+0.0173001j 0.00722781-0.0028748j -0.0102177+0.0188087j 0.00182836-0.0133225j 0.00406273+0.023339j -0.0117593+0.018754j -0.0133952-0.0125185j 0.015616-0.0129022j 0.00364126+0.00407923j -0.00140725+0.00386724j 0.0165241-0.026644j -0.042906+0.0071481j 
-0.0210589+0.154547j 0.096057-0.124077j -0.0354372+0.0672291j 0.00999301+0.0329096j 0.0671364+0.0358169j 0.0307639-0.132502j -0.020303-0.0153732j 0.0525495-0.0164942j 0.0410977-0.0107119j -0.109963+0.03291j 0.0291614-0.0258235j -0.00382226-0.0157146j 0.0290606+0.0543583j 0.0708508+0.052653j -0.0691613-0.0573829j 0.0171319-0.0337232j 0.00534651+0.0120272j 0.048623+0.0334633j -0.00706221+0.0149114j 0.0116316+0.0103991j 0.0317991-0.0433368j 0.0255666-0.000852552j -0.019173+0.0349133j -0.00217397+0.0163548j 0.0100842-0.049343j 0.00334204+0.00796971j 0.0489543+0.0169739j 0.0137795+0.0082864j -0.0403309-0.0080773j -0.0161704+0.0181825j 0.0519857-0.0028335j -0.000685421-0.012403j -0.0188034-0.00281763j -0.0030929-0.0615608j 0.0072798+0.0146284j -0.0328151-0.00626408j 
-0.0184715+0.17539j 0.10416-0.143598j 0.0751142-0.0388431j 0.0121449-0.0362513j -0.0385173-0.0754412j -0.0834304-1.27617e-05j -0.0381748+0.0292788j -0.0450583-0.0226183j -0.0162886-0.0359123j 0.049529+0.067193j 0.00453606+0.00890601j -0.0258452-0.00293488j 0.02002-0.0510523j 0.0321816-0.0739253j -0.0205955+0.0216313j -0.0395775+0.0111055j 0.0152619+0.0374771j -0.0276646+0.0383184j -0.0177221+0.00597372j -0.0154747-0.0222621j -0.00301984+0.0420673j -0.0212559-0.00898319j -0.0103959+0.0211041j -0.00839967+0.00234502j 0.0374023+0.0287738j 0.0133872-0.00187981j -0.0521353+0.0344963j -0.00524271-0.00570378j 0.0178331+0.0223188j -0.0245866+0.00820516j -0.00107315+0.0275928j 0.019722-0.0146881j 0.0208322+0.00263433j 0.036379+0.042214j 0.0193777-0.0389914j -0.0437278-0.0187905j 
