-1.65128e-05-0.015112j 0.0274257+0.00712107j -0.0111583+0.0120211j -0.0372445+0.0158701j -0.0132214+0.0144707j 0.000299603+0.0127162j -0.00243908+0.00459444j 
0.00870592-0.00184427j -0.000568045+0.0252349j -0.00874118-0.013952j -0.0196108-0.0408066j -0.0111706-0.0145917j -0.0123665-0.00647219j -0.000599072-0.00279728j 
0.00504514+0.017739j -0.00978157-0.0140509j -0.0240997-0.00748108j -0.0144157+0.0148834j -0.00546219-0.0032285j -0.0213994+0.00553253j -0.00669118-0.0071558j 
-0.0264802+0.00649647j 0.0284084-0.0256419j 0.0152072-0.0272197j -0.0132764-0.00280604j -0.00134834+0.00499475j 0.00607501-0.0313142j 0.00591392-0.000601437j 
-0.00879053-0.0139553j 0.0182249+0.0197694j 0.0225014+0.0134698j 0.00100451-0.0021595j -0.00674644-0.0125227j 0.0209014+0.0131993j -0.00301131-0.0044659j 
-0.00313178-0.00869461j -0.00855499-0.00265627j -0.00505874+0.00362348j -0.00731851-0.00107705j 0.0252365+0.00736215j -0.0185868-0.00358381j 0.0187744-0.00232629j 
-0.0112481-0.0007307j 0.00154902-0.0041691j 0.0133261+0.025346j -0.00763971+0.00153644j -0.00289402-0.0262748j -0.015967+0.00374209j 0.013215-0.0110185j 
0.0180689+0.000761335j -0.0115491-0.00661056j 0.0221541+0.00519808j 0.00316369-0.00848163j -0.0379214+0.0272778j -0.0054221-0.00359032j 0.0024594+0.0126993j 
0.00435759-0.00926053j 0.00680945+0.00198797j -0.0132611+0.0117473j 0.00322387-0.00446868j 0.00777952+0.00420628j 0.00693243-0.0110514j 0.00278707+0.0154949j 
-0.00701337+0.000624088j -0.00857753+0.00964823j 0.0246425-0.0309039j -0.00725875+0.00661994j 0.00377456+0.0151128j -0.00234568+0.0239803j -0.00182423-0.024374j 
-0.00222161+0.0218728j -0.001483-0.019454j 0.000676682+0.0171902j 0.00839779+0.00329826j -0.0255996-0.0333967j -0.00633046-0.00802031j -0.00657666-0.0013831j 
0.00388115-0.0136352j 0.00362235+0.0103956j -0.0125888-0.001922j -0.00061578-0.00408269j 0.0187565+0.0143698j 0.00702315-0.00293535j 0.00296132+0.00927836j 
0.0123385-0.00512786j -0.0177421-7.18427e-05j 0.0239209+0.00663558j -0.00411162-0.00990319j -0.0200091+0.0216899j -0.0184781+0.00394323j 0.0134429+0.00124861j 
-0.0143947-0.0166028j 0.00337185-0.00889308j 0.0192676+0.0234707j -0.00890001-0.00726824j 0.0170718-0.000617795j -0.0189293-0.0141283j 0.0330952+6.99523e-05j 
-0.0133961+0.00735557j -0.00527648+0.000301201j 0.0134311-0.0161157j -0.00927912+0.00777842j 0.00673637-0.0102475j -0.0113279+0.0158155j 0.00148537-0.0255805j 
