-0.0594428-0j -0.0735567-0j -0.0429081-0j -0.00742568-0j -0.00866329-0j -0.00530516-0j -0.00758038-0j -0.00312675-0j 0.446445-0j -0.000677443-0j 0.504314-0j -0.000765253-0j 0.41177-0j 0.416038-0j -0.000624826-0j 0.360299-0j -0.000631302-0j -0.000546723-0j 0.297232-0j -0.000451024-0j 0.0949669-0j -0.000144104-0j -0.0034961-0j 0.0587874-0j -5.15024e-05-0j -0.00386948-0j 0.0650657-0j -0.00305909-0j -5.70028e-05-0j -0.00203939-0j -0.00309079-0j 0.051439-0j -0.00356894-0j 0.0342926-0j 0.051972-0j -4.50646e-05-0j -0.00126181-0j -0.00208188-0j -3.00431e-05-0j -4.55316e-05-0j 0.0600121-0j -0.00220817-0j 0.0212175-0j -0.0012881-0j 0.0350071-0j -5.25754e-05-0j -1.85882e-05-0j 0.0371306-0j -0.000336032-0j -3.0669e-05-0j -3.25294e-05-0j 0.0216595-0j -1.89755e-05-0j 0.00565042-0j -4.95022e-06-0j -0.00280136-0j -0.000466893-0j 0.0546783-0j 0.0055514-0j -0.00305717-0j -3.43899e-06-0j -0.000509528-0j -0.00236807-0j 0.0596713-0j -0.00239261-0j 0.00605833-0j -0.00216174-0j -3.75303e-06-0j -0.000394679-0j -0.00267502-0j 0.0462212-0j -0.000398769-0j -0.00178335-0j -0.000360291-0j -0.00156043-0j 0.0467002-0j 0.00469276-0j -0.00154442-0j 0.042194-0j 0.0047414-0j -2.90708e-06-0j -0.000445837-0j 0.00428389-0j -0.00220678-0j -2.93721e-06-0j -0.000297225-0j 0.0522124-0j -0.00110339-0j -0.000260072-0j -0.000910251-0j -2.65379e-06-0j 0.0348083-0j -0.000257404-0j 0.00530104-0j -0.00111482-0j 0.0304572-0j 0.0301448-0j -0.000367797-0j 0.00353403-0j 0.00309227-0j -0.000503731-0j -3.2839e-06-0j 0.00306056-0j 0.043073-0j -0.000183898-0j -2.18927e-06-0j -0.000151708-0j -1.91561e-06-0j -0.000111062-0j 0.0215365-0j 0.00437314-0j 0.0177667-0j -1.89596e-06-0j -0.000185804-0j 0.00218657-0j 0.0217597-0j 0.00180383-0j -8.39552e-05-0j -2.70908e-06-0j -1.35454e-06-0j 0.00220923-0j 0.00983208-0j -1.85104e-05-0j -1.11744e-06-0j 0.000998235-0j 0.00216777-0j -1.36858e-06-0j 0.00022009-0j -6.18389e-07-0j -1.36342e-07-0j 
0.00857982-0j 0.010617-0j 0.00619324-0j -0.101886-0j -0.118867-0j -0.0727909-0j -0.104009-0j -0.0429014-0j 0.000677443-0j 0.432451-0j 0.000765253-0j 0.488505-0j 0.000624826-0j 0.000631302-0j 0.398863-0j 0.000546723-0j 0.402996-0j 0.349005-0j 0.000451024-0j 0.287914-0j 0.000144104-0j 0.0919901-0j 0.000504619-0j -0.00847984-0j 0.100758-0j 0.000558511-0j -0.00938547-0j 0.000441542-0j 0.111519-0j 0.000294361-0j 0.000446117-0j -0.00741986-0j 0.000515132-0j -0.00494658-0j -0.00749676-0j 0.0881636-0j 0.000182127-0j 0.000300494-0j 0.0587757-0j 0.0890772-0j -0.00865651-0j 0.000318722-0j -0.00306054-0j 0.000185921-0j -0.00504963-0j 0.102858-0j 0.0363656-0j -0.00535594-0j 4.8502e-05-0j 0.0600002-0j 0.0636398-0j -0.0031243-0j 0.0371232-0j -0.00081505-0j 0.00968451-0j 0.000404341-0j -0.00640613-0j 4.12679e-05-0j 0.0372556-0j 0.000441264-0j 0.0135508-0j -0.00699112-0j 0.000341802-0j 4.50363e-05-0j 0.000345344-0j 0.0406577-0j 0.000312021-0j 0.0147882-0j -0.0054153-0j 0.000386106-0j 3.4885e-05-0j -0.00547142-0j 0.000257404-0j -0.00494347-0j 0.000225229-0j 3.52465e-05-0j 0.0314933-0j 0.000222918-0j 3.18455e-05-0j 0.0318196-0j 0.0114549-0j -0.00611723-0j 0.0287493-0j 0.000318521-0j 0.0115736-0j -0.00407815-0j 3.94068e-05-0j 0.000159261-0j -0.00356838-0j 0.000131383-0j 0.0104569-0j 2.62712e-05-0j -0.00353178-0j 0.0355754-0j 0.000160911-0j 2.29873e-05-0j 2.27515e-05-0j -0.00504646-0j 0.023717-0j 0.0207523-0j 7.27074e-05-0j 0.0129397-0j 0.0205395-0j 3.25089e-05-0j -0.00252323-0j 0.00862647-0j -0.00208156-0j 0.00754816-0j 1.60305e-05-0j 1.62545e-05-0j 0.0293482-0j 1.34093e-05-0j 0.00747074-0j -0.00254938-0j 0.0146741-0j 1.64229e-05-0j 0.0121055-0j -0.00115193-0j 0.0106747-0j 0.00533736-0j 0.0148262-0j 7.42066e-06-0j -0.000253977-0j 0.00440309-0j 0.00669919-0j 1.6361e-06-0j 0.00539267-0j 0.00147703-0j 0.00243667-0j 0.000537234-0j 
0.049007-0j 0.00120028-0j -0.0686497-0j 0.00612202-0j 0.000141365-0j 0.00437379-0j -0.00600218-0j -0.00752936-0j 0.00386948-0j 0.000558511-0j 8.65137e-05-0j 1.24872e-05-0j 0.00356894-0j -0.00346318-0j 0.000515132-0j 6.18083e-05-0j -0.000499867-0j 8.92127e-06-0j -0.00499942-0j -0.000721605-0j -0.00321097-0j -0.000463464-0j -0.412956-0j 0.000509528-0j 4.24607e-05-0j -0.00904631-0j 1.11618e-05-0j -0.361336-0j 9.30154e-07-0j -0.240891-0j 0.350629-0j 0.000445837-0j -0.00834369-0j 0.000297225-0j -0.000432626-0j 3.71531e-05-0j -0.149044-0j 0.477217-0j 2.47687e-05-0j -3.60522e-05-0j 1.02949e-05-0j 0.250501-0j 0.000183898-0j 0.4444-0j -0.000588818-0j 8.5791e-07-0j 1.53249e-05-0j -0.000309083-0j 0.193745-0j -4.90681e-05-0j -2.57569e-05-0j -0.000548326-0j -4.56939e-05-0j -0.000239054-0j -1.99211e-05-0j 0.00230955-0j -0.0551489-0j 0.000235717-0j 4.81156e-05-0j 4.9886e-05-0j 2.83524e-06-0j -0.00119121-0j 0.00195233-0j 5.09146e-06-0j -0.00189448-0j 1.03929e-06-0j 0.00178223-0j 6.12408e-08-0j -0.046619-0j 4.36502e-05-0j 0.000199259-0j 0.0452376-0j 2.91001e-05-0j -0.0425571-0j -0.00249657-0j -0.000193355-0j 4.06736e-05-0j 0.00127329-0j 0.000181898-0j -3.94684e-05-0j 2.39671e-06-0j -0.00104231-0j 3.71297e-05-0j -0.00174734-0j -2.32569e-06-0j -0.000694871-0j 4.45503e-06-0j 1.80048e-05-0j 0.0596147-0j -0.00219193-0j 2.18789e-06-0j 2.97002e-06-0j -0.0304043-0j 9.09379e-07-0j -0.00178364-0j -0.000254805-0j 0.000129954-0j 0.041724-0j 6.06253e-07-0j -5.20119e-05-0j -0.00162009-0j 5.35857e-08-0j 2.65268e-05-0j -0.000178337-0j -0.00042993-0j 3.57238e-08-0j 0.0523402-0j -3.06483e-06-0j -0.000536699-0j 1.83761e-06-0j -3.64029e-05-0j -0.000223713-0j 1.56311e-06-0j 0.0425908-0j 3.751e-07-0j -0.000182042-0j -4.56652e-05-0j 0.0386854-0j -2.14506e-06-0j 2.2103e-08-0j -3.71591e-05-0j -0.000165349-0j 0.0128156-0j -2.69084e-06-0j -3.37518e-05-0j -5.47766e-05-0j -2.18962e-06-0j -1.11812e-05-0j -1.98884e-06-0j -6.5886e-07-0j 
-0.00866329-0j -0.000212181-0j 0.0121357-0j 0.0508975-0j 0.00117529-0j 0.0363629-0j -0.0499011-0j -0.0625979-0j 0.0650657-0j 0.00938547-0j 0.00145474-0j 0.00020984-0j 0.0600121-0j -0.0582338-0j 0.00865651-0j 0.00103932-0j -0.0084-0j 0.000149917-0j -0.0840659-0j -0.0121262-0j -0.0539929-0j -0.00778825-0j -0.000509528-0j -0.402944-0j 0.00107405-0j -1.11618e-05-0j -0.00882699-0j -0.000445837-0j 2.35283e-05-0j -0.000297225-0j 0.000432626-0j -0.352576-0j -1.02949e-05-0j -0.235051-0j 0.342128-0j 0.00093979-0j -0.000183898-0j 0.000588818-0j 0.000626526-0j -0.000911942-0j -0.00814141-0j 0.000309083-0j -0.14543-0j 0.000548326-0j 0.465648-0j 2.17009e-05-0j 0.000387643-0j 0.244428-0j 0.000239054-0j -0.00124118-0j -0.000651523-0j 0.433626-0j -0.00115583-0j 0.189048-0j -0.000503906-0j -0.000408275-0j 0.0032002-0j 0.00796891-0j -0.0769105-0j -8.81867e-06-0j 9.57905e-05-0j 6.9124e-05-0j -0.000345127-0j 0.000172127-0j 0.0003349-0j -0.00166126-0j -0.000315056-0j 2.06906e-06-0j 0.00270523-0j -7.71634e-06-0j 0.00673636-0j -0.00262507-0j -5.14423e-06-0j 0.00246953-0j 0.000441336-0j -0.00653675-0j -0.0650148-0j -0.000225087-0j 0.00614943-0j 0.0630882-0j 8.09746e-05-0j 6.04835e-05-0j -0.0593501-0j 0.000308889-0j -7.85752e-05-0j 4.03223e-05-0j 0.000150611-0j -3.18283e-06-0j -0.00345935-0j 0.000387482-0j 7.39194e-05-0j 0.000100408-0j 0.00176431-0j -0.0014536-0j 0.000315306-0j -0.00861421-0j 0.00439336-0j -0.00242118-0j -0.000969066-0j 0.0831385-0j 0.000286393-0j 1.81043e-06-0j -0.0424018-0j -0.00602904-0j 2.49482e-05-0j 1.20695e-06-0j -0.00303722-0j -0.000103547-0j 9.48759e-05-0j 6.2124e-05-0j 0.0581882-0j -0.00756306-0j 5.28106e-05-0j -0.00247148-0j -0.000599579-0j -0.00615429-0j 0.0729935-0j -0.00224486-0j -7.24723e-05-0j 7.46764e-07-0j 0.059397-0j -0.00558997-0j -0.000743672-0j -9.0912e-05-0j 0.0539506-0j -0.00185184-0j -7.39779e-05-0j 0.0178727-0j -6.71944e-05-0j -2.22601e-05-0j 
0.000721941-0j 1.76817e-05-0j -0.00101131-0j -0.0129048-0j -0.000297986-0j -0.0092196-0j 0.0126521-0j 0.0158713-0j 5.70028e-05-0j 0.111519-0j 1.27447e-06-0j 0.00249334-0j 5.25754e-05-0j -5.10175e-05-0j 0.102858-0j 9.10523e-07-0j -0.0998096-0j 0.00178133-0j -7.36485e-05-0j -0.144084-0j -4.73021e-05-0j -0.0925408-0j 4.24607e-05-0j -0.00107405-0j -0.390134-0j 9.30154e-07-0j -2.35283e-05-0j 3.71531e-05-0j -0.00854638-0j 2.47687e-05-0j -3.60522e-05-0j -0.00093979-0j 8.5791e-07-0j -0.000626526-0j 0.000911942-0j -0.341367-0j 1.53249e-05-0j -4.90681e-05-0j -0.227578-0j 0.331252-0j -2.17009e-05-0j -2.57569e-05-0j -0.000387643-0j -4.56939e-05-0j 0.00124118-0j -0.00788259-0j -0.140807-0j 0.000651523-0j -1.99211e-05-0j 0.450844-0j 0.236658-0j 0.00115583-0j 0.419841-0j 0.000503906-0j 0.183038-0j 3.40229e-05-0j -0.000811392-0j 3.47245e-06-0j 0.00960736-0j 7.3489e-07-0j -0.107623-0j -1.7526e-05-0j 2.87606e-05-0j 7.50043e-08-0j -2.79083e-05-0j 0.000207518-0j 2.62547e-05-0j -0.00232464-0j -0.000685894-0j 6.43028e-07-0j 2.93536e-06-0j 0.00066557-0j 4.28686e-07-0j -0.000626133-0j -3.6778e-05-0j -2.84838e-06-0j 0.00812139-0j 1.87573e-05-0j 2.67961e-06-0j -0.00788073-0j -0.0909769-0j -1.53352e-05-0j 0.00741378-0j -2.57407e-05-0j 0.0882811-0j -1.02235e-05-0j 6.56288e-08-0j 2.65236e-07-0j 0.000877097-0j -3.22901e-05-0j -0.0830502-0j 4.37525e-08-0j -0.000447331-0j 0.000181578-0j -2.62755e-05-0j -3.75364e-06-0j 1.9144e-06-0j 0.000613876-0j 0.000121052-0j -0.0103853-0j -2.38661e-05-0j -0.00203406-0j 0.00529666-0j -2.62715e-06-0j -6.32545e-06-0j -0.00135604-0j 0.000770069-0j 0.116338-0j -7.90633e-06-0j 2.70705e-08-0j -0.00726865-0j -3.2956e-06-0j -0.0593339-0j 0.000626628-0j 7.4897e-05-0j -2.68173e-06-0j -0.00911806-0j 0.000569169-0j 0.0814244-0j -0.000839007-0j -0.00741964-0j -2.43583e-06-0j 0.000188553-0j 0.102142-0j -0.0067393-0j -8.06936e-07-0j 0.0831159-0j -0.00223258-0j 0.0754945-0j 0.0250097-0j 
0.0299917-0j -0.0356894-0j 0.0216491-0j 0.0037466-0j 0.00437104-0j -0.00782479-0j -0.00367797-0j 0.00157759-0j 0.00236807-0j 0.000341802-0j 0.00267502-0j 0.000386106-0j -0.00210038-0j 0.00220678-0j -0.000303163-0j -0.00558679-0j 0.000318521-0j -0.000806384-0j -0.00151613-0j -0.000218835-0j 0.000503731-0j 7.27074e-05-0j 0.00176395-0j 0.000311825-0j 2.59854e-05-0j 0.00195233-0j 0.000345127-0j -0.00148426-0j 2.87606e-05-0j 0.00102897-0j 0.00155945-0j -0.000262382-0j -0.00173164-0j 0.000181898-0j 0.000275674-0j -2.18652e-05-0j -0.00310996-0j 0.00105041-0j 1.51582e-05-0j 2.29729e-05-0j -0.000306113-0j -0.00325691-0j -0.000549769-0j -0.00062498-0j 0.000185687-0j -2.55094e-05-0j -4.58141e-05-0j -0.000575746-0j 0.000169544-0j 1.5474e-05-0j -4.79789e-05-0j -0.000110482-0j -9.20683e-06-0j 2.99714e-05-0j 2.49762e-06-0j -0.270645-0j 0.000235569-0j 0.000144256-0j 2.94462e-05-0j -0.29536-0j 1.73513e-06-0j 0.000257081-0j 0.22001-0j 0.000157429-0j -0.231156-0j 3.21351e-05-0j -0.208851-0j 1.89358e-06-0j -0.000191497-0j 0.248528-0j -0.000117267-0j 0.000201198-0j -0.172293-0j 0.000181784-0j -0.150757-0j 0.000123208-0j -2.39371e-05-0j 0.436186-0j 0.000111319-0j 2.51497e-05-0j -1.41051e-06-0j -0.000216318-0j 2.2723e-05-0j 0.205025-0j 1.48196e-06-0j 0.000149964-0j -0.000132467-0j 0.52074-0j 0.000131218-0j -0.0879414-0j 1.33896e-06-0j 9.18337e-05-0j -0.000379656-0j -2.70398e-05-0j 0.314856-0j 8.03545e-05-0j -0.000232491-0j -0.000178454-0j 1.87455e-05-0j 1.64023e-05-0j 0.0468001-0j -1.59334e-06-0j -4.74569e-05-0j -0.00010928-0j -0.000453251-0j 1.10459e-06-0j 7.6544e-05-0j 9.66514e-07-0j -0.01073-0j -0.000277559-0j -2.23067e-05-0j 4.68735e-05-0j -2.79643e-06-0j -0.00027405-0j -5.66564e-05-0j -0.000167821-0j 9.568e-06-0j -4.07348e-05-0j -1.31443e-06-0j -3.33851e-06-0j -3.42562e-05-0j -2.49448e-05-0j 9.33936e-06-0j 5.638e-07-0j -5.09185e-06-0j 5.71917e-06-0j -2.01857e-06-0j 1.16742e-06-0j -3.0004e-07-0j 6.87909e-08-0j 
-0.0303025-0j 0.0360131-0j -0.0193273-0j -0.00378543-0j 0.00424151-0j -0.00270444-0j 0.00386127-0j -0.00747242-0j -0.00239261-0j -0.000345344-0j 0.00259576-0j 0.000374665-0j -0.00220678-0j 0.0022279-0j -0.000318521-0j 0.0018545-0j 0.00032157-0j 0.000267674-0j -0.00140751-0j -0.000203157-0j -0.00530025-0j -0.000765025-0j -0.00178223-0j -0.000315056-0j -2.62547e-05-0j 0.00189448-0j 0.0003349-0j -0.00155945-0j 2.79083e-05-0j -0.00103963-0j 0.00157438-0j -0.000275674-0j 0.00174734-0j -0.000183783-0j 0.000278313-0j -2.29729e-05-0j -0.00064324-0j -0.000937753-0j -1.53152e-05-0j 2.31927e-05-0j 0.000308889-0j 0.00112479-0j -0.00011371-0j -0.00307835-0j -0.000165773-0j 2.57407e-05-0j -9.47582e-06-0j 0.000198836-0j -0.00309399-0j -1.38144e-05-0j 1.65697e-05-0j -0.00054418-0j -4.53483e-05-0j -0.000546945-0j -4.55788e-05-0j 0.27345-0j -0.000238011-0j -0.000145751-0j -2.97513e-05-0j -0.286608-0j -1.75311e-06-0j 0.000249463-0j 0.231156-0j 0.000152764-0j -0.233368-0j 3.11829e-05-0j 0.211015-0j 1.83747e-06-0j -0.000201198-0j -0.250782-0j -0.000123208-0j 0.000203123-0j -0.167188-0j -0.000183667-0j 0.134588-0j 0.000124387-0j -2.51497e-05-0j 0.150757-0j -0.000112473-0j 2.53904e-05-0j -1.48196e-06-0j 0.00021828-0j -2.29584e-05-0j -0.215243-0j 1.49614e-06-0j 0.00014552-0j 0.000133669-0j -0.103442-0j -0.000117145-0j 0.416543-0j -1.35284e-06-0j 8.91125e-05-0j -0.000131218-0j 2.7285e-05-0j 0.0961545-0j -7.17367e-05-0j -8.03545e-05-0j 0.000187347-0j 1.819e-05-0j -1.46432e-05-0j 0.512069-0j 1.60778e-06-0j -1.64023e-05-0j 0.000114726-0j 9.00359e-05-0j 1.07186e-06-0j -0.000362559-0j -8.62858e-07-0j 0.299552-0j 5.51355e-05-0j 2.34184e-05-0j -0.000222021-0j -9.66514e-07-0j -8.36928e-05-0j 1.12545e-05-0j -5.12511e-05-0j -4.53198e-05-0j -0.000445704-0j 1.37994e-06-0j 6.63177e-07-0j -1.04616e-05-0j -0.000272937-0j -0.00026073-0j -2.6705e-06-0j -5.57131e-05-0j -0.000159664-0j -6.16455e-07-0j -3.25912e-05-0j -3.28292e-06-0j -1.92046e-06-0j 
-0.00499861-0j 0.00594824-0j -0.00360819-0j 0.0293672-0j 0.0342618-0j -0.0613335-0j -0.0288293-0j 0.0123657-0j -0.000394679-0j 0.0054153-0j -0.000445837-0j 0.00611723-0j 0.000350063-0j -0.000367797-0j -0.00480314-0j 0.000931132-0j 0.00504646-0j -0.0127759-0j 0.000252689-0j -0.00346709-0j -8.39552e-05-0j 0.00115193-0j 0.0421206-0j 0.0024442-0j 0.000619711-0j 0.046619-0j 0.00270523-0j -0.035442-0j 0.000685894-0j 0.0245704-0j 0.0372375-0j -0.00205665-0j -0.0413491-0j 0.00142578-0j 0.00216083-0j -0.00052145-0j -0.0742616-0j 0.0250823-0j 0.000361498-0j 0.000547866-0j -0.00239942-0j -0.0777706-0j -0.00430929-0j -0.0149237-0j 0.00145548-0j -0.000608359-0j -0.00109259-0j -0.00451291-0j 0.00404847-0j 0.000369029-0j -0.00114422-0j -0.000865997-0j -0.000219568-0j 0.000234927-0j 5.95642e-05-0j -0.000235569-0j -0.264548-0j -2.40427e-05-0j 0.000466527-0j -0.000257081-0j 5.527e-05-0j -0.288706-0j 0.000191497-0j -2.62382e-05-0j -0.000201198-0j 0.000509129-0j -0.000181784-0j 6.0317e-05-0j 0.215054-0j 0.000216318-0j 1.95445e-05-0j -0.225948-0j -0.000149964-0j -0.204146-0j -0.000131218-0j -2.05346e-05-0j -0.000379244-0j 0.000379656-0j -1.85532e-05-0j 0.000398456-0j -4.49295e-05-0j 0.242929-0j 0.000360009-0j 0.000178454-0j 4.72055e-05-0j -0.168412-0j 2.20779e-05-0j 0.000453251-0j -0.14736-0j -7.6544e-05-0j 4.26506e-05-0j -1.53056e-05-0j 0.426359-0j -0.000428402-0j 0.00027405-0j -1.33924e-05-0j 3.87484e-05-0j 0.200406-0j 0.000296992-0j 0.000259868-0j 4.07348e-05-0j -5.07532e-05-0j -0.000751879-0j 1.82133e-05-0j 0.509008-0j 3.51849e-05-0j -0.0859601-0j 3.07868e-05-0j -9.33936e-06-0j 4.62598e-05-0j -0.000353414-0j -7.81224e-06-0j -8.90758e-05-0j 0.307762-0j -0.000897629-0j 2.79701e-05-0j 0.00015159-0j 0.0457458-0j -4.18693e-05-0j -0.000106343-0j -0.000542735-0j 4.15747e-06-0j -0.0104882-0j 1.7959e-05-0j -8.06721e-05-0j -9.53195e-07-0j -6.42983e-05-0j 1.84959e-05-0j -9.5573e-06-0j 2.19123e-06-0j 
-0.00306101-0j 0.00364254-0j -0.00220956-0j -0.000382386-0j -0.000446117-0j 0.000798614-0j 0.000375381-0j -0.000161012-0j 0.0462212-0j -3.4885e-05-0j 0.0522124-0j -3.94068e-05-0j -0.0409962-0j 0.043073-0j 3.09415e-05-0j -0.109046-0j -3.25089e-05-0j 8.23012e-05-0j -0.0295926-0j 2.23348e-05-0j 0.00983208-0j -7.42066e-06-0j -0.000180032-0j 0.00608635-0j -2.65212e-06-0j -0.000199259-0j 0.00673636-0j 0.000151487-0j -2.93536e-06-0j -0.000105019-0j -0.000159161-0j -0.00512131-0j 0.000176734-0j 0.00355037-0j 0.00538075-0j 2.23161e-06-0j 0.000317409-0j -0.000107207-0j -1.54707e-06-0j -2.34466e-06-0j -0.00597486-0j 0.000332407-0j -0.0107307-0j 6.37868e-05-0j 0.00362434-0j 2.60354e-06-0j 4.67588e-06-0j -0.0112377-0j -1.7304e-05-0j -1.5793e-06-0j 4.89682e-06-0j -0.00215644-0j 9.39668e-07-0j 0.000584997-0j -2.54912e-07-0j -0.000144256-0j -2.40427e-05-0j -0.266413-0j 0.000574745-0j -0.000157429-0j -1.77091e-07-0j -2.62382e-05-0j 0.000117267-0j -0.290741-0j -0.000123208-0j 0.000627229-0j -0.000111319-0j -1.93263e-07-0j 1.95445e-05-0j 0.000132467-0j 0.21657-0j -2.05346e-05-0j -9.18337e-05-0j -1.85532e-05-0j -8.03545e-05-0j -0.227541-0j -0.000467216-0j 0.000232491-0j -0.205585-0j 0.000490884-0j 1.43959e-07-0j 2.20779e-05-0j 0.000443518-0j 0.00010928-0j -1.51252e-07-0j -1.53056e-05-0j 0.244641-0j 0.000277559-0j -1.33924e-05-0j -4.68735e-05-0j -1.36657e-07-0j -0.169599-0j 3.87484e-05-0j -0.000527776-0j 0.000167821-0j -0.148399-0j 0.429364-0j 1.82133e-05-0j 0.000365884-0j 0.000320148-0j 2.49448e-05-0j 1.62619e-07-0j -0.000926288-0j 0.201819-0j 4.62598e-05-0j -1.12737e-07-0j -7.81224e-06-0j -9.86445e-08-0j -5.71917e-06-0j 0.512596-0j -0.000435393-0j -0.086566-0j 2.85409e-07-0j 2.79701e-05-0j -0.00110585-0j 0.309932-0j 0.000186753-0j 4.15747e-06-0j 1.34154e-07-0j 3.40735e-07-0j -0.00066863-0j 0.0460682-0j -9.53195e-07-0j -5.75426e-08-0j -9.93852e-05-0j -0.0105622-0j 2.06019e-07-0j 2.27863e-05-0j 3.06227e-08-0j -7.02094e-09-0j 
0.00505041-0j -0.00600218-0j 0.00322122-0j -0.0296716-0j 0.0332465-0j -0.0211984-0j 0.030266-0j -0.0585716-0j 0.000398769-0j -0.00547142-0j -0.000432626-0j 0.00593596-0j 0.000367797-0j -0.000371317-0j -0.00504646-0j -0.000309083-0j 0.00509476-0j 0.00424086-0j 0.000234586-0j -0.0032187-0j 0.000883375-0j -0.0121206-0j -0.0425571-0j -0.00246953-0j -0.000626133-0j 0.0452376-0j 0.00262507-0j -0.0372375-0j 0.00066557-0j -0.024825-0j 0.0375939-0j -0.00216083-0j 0.041724-0j -0.00144056-0j 0.00218152-0j -0.000547866-0j -0.0153597-0j -0.0223922-0j -0.000365244-0j 0.00055311-0j 0.00242118-0j 0.0268584-0j -0.000891299-0j -0.0735066-0j -0.00129939-0j 0.000613876-0j -0.000225983-0j 0.00155855-0j -0.0738802-0j -0.000329452-0j 0.000395161-0j -0.00426548-0j -0.00108149-0j -0.00428715-0j -0.00108698-0j 0.000238011-0j 0.26729-0j 2.42919e-05-0j -0.000471362-0j -0.000249463-0j -5.58427e-05-0j -0.280151-0j 0.000201198-0j -2.54607e-05-0j -0.000203123-0j 0.000494042-0j 0.000183667-0j 5.85297e-05-0j 0.225948-0j -0.00021828-0j 2.05346e-05-0j -0.228111-0j -0.00014552-0j 0.206261-0j 0.000117145-0j -2.07312e-05-0j -0.000398456-0j 0.000131218-0j 1.87455e-05-0j 0.00040227-0j -4.72055e-05-0j -0.245132-0j -0.000363739-0j -0.000187347-0j 4.76574e-05-0j -0.163421-0j -2.22781e-05-0j -9.00359e-05-0j 0.131556-0j 0.000362559-0j -4.30926e-05-0j -1.48521e-05-0j 0.14736-0j 0.000432287-0j 8.36928e-05-0j 1.19561e-05-0j 1.33924e-05-0j -0.210393-0j 0.000288191-0j -0.000231998-0j 0.000445704-0j 5.12135e-05-0j -0.000259868-0j -1.9121e-05-0j -0.101112-0j 3.41423e-05-0j 0.407159-0j -2.7485e-05-0j 0.00026073-0j -9.18926e-06-0j 0.000371026-0j 3.70035e-05-0j -3.07868e-05-0j 0.0939883-0j 0.000178309-0j 8.54186e-06-0j -0.00071802-0j 0.500533-0j 4.39559e-05-0j 2.11245e-05-0j -0.000165747-0j 4.54895e-05-0j 0.292804-0j -8.50645e-05-0j -0.000882684-0j 2.66106e-05-0j -1.96362e-05-0j -0.000516356-0j -0.000104572-0j -6.11732e-05-0j 
0.00309273-0j -0.00367557-0j 0.00197259-0j 0.000386349-0j -0.000432898-0j 0.000276021-0j -0.000394089-0j 0.000762651-0j -0.0467002-0j 3.52465e-05-0j 0.0506652-0j -3.82391e-05-0j -0.043073-0j 0.0434853-0j 3.25089e-05-0j 0.036197-0j -3.28201e-05-0j -2.73193e-05-0j -0.0274725-0j 2.07346e-05-0j -0.103453-0j 7.80801e-05-0j 0.000181898-0j -0.00614943-0j 2.67961e-06-0j -0.000193355-0j 0.00653675-0j 0.000159161-0j -2.84838e-06-0j 0.000106107-0j -0.000160684-0j -0.00538075-0j -0.000178337-0j -0.00358717-0j 0.00543225-0j 2.34466e-06-0j 6.56504e-05-0j 9.5709e-05-0j 1.56311e-06-0j -2.3671e-06-0j 0.00602904-0j -0.000114798-0j -0.00221945-0j 0.000314182-0j -0.00323564-0j -2.62715e-06-0j 9.67122e-07-0j 0.00388099-0j 0.000315779-0j 1.40993e-06-0j -1.69114e-06-0j -0.0106216-0j 4.62834e-06-0j -0.0106755-0j 4.65186e-06-0j 0.000145751-0j 2.42919e-05-0j 0.269174-0j -0.000580701-0j -0.000152764-0j 1.78926e-07-0j -2.54607e-05-0j 0.000123208-0j -0.282125-0j -0.000124387-0j 0.000608643-0j 0.000112473-0j -1.87536e-07-0j 2.05346e-05-0j -0.000133669-0j 0.227541-0j -2.07312e-05-0j -8.91125e-05-0j 1.87455e-05-0j 7.17367e-05-0j -0.229719-0j -0.000490884-0j 8.03545e-05-0j 0.207715-0j 0.000495583-0j 1.51252e-07-0j -2.22781e-05-0j -0.000448114-0j -0.000114726-0j -1.527e-07-0j -1.48521e-05-0j -0.24686-0j -5.51355e-05-0j 1.19561e-05-0j 0.000222021-0j 1.38073e-07-0j -0.164573-0j 1.33924e-05-0j 0.000532562-0j 5.12511e-05-0j 0.132483-0j 0.148399-0j -1.9121e-05-0j 0.000355042-0j -0.000285813-0j 0.000272937-0j -1.64094e-07-0j -0.000320148-0j -0.211877-0j -9.18926e-06-0j -1.09396e-07-0j 3.70035e-05-0j 8.80651e-08-0j 0.000159664-0j -0.101824-0j 0.000457091-0j 0.410029-0j 9.86445e-08-0j 8.54186e-06-0j 0.000219671-0j 0.0946508-0j -0.000884575-0j 4.54895e-05-0j -1.4084e-07-0j -6.76853e-08-0j -0.000204195-0j 0.504061-0j 2.66106e-05-0j 2.72556e-07-0j -0.00108743-0j 0.294868-0j 6.29167e-08-0j -0.000636132-0j 3.35062e-07-0j 1.96006e-07-0j 
