0.143156+0.260151j -0.331794+0.1076j -0.0316699+0.257562j -0.0192209-0.180887j -0.220604-0.0445812j 0.0619139+0.0640576j -0.0989274-0.118305j 0.10607+0.0191092j 0.0581548-0.0405542j 0.00629609+0.0849357j 0.0226253+0.0206696j -0.0256738-0.00101429j -0.0269084-0.0013716j -0.0540799-0.113614j -0.0249583-0.00201493j -0.069401-0.0974496j 0.0633155+0.104146j 0.0265348-0.0758409j -0.00223211+0.0723573j 0.0254854+0.037502j 0.0196151-0.0998722j 0.0869874+0.0635629j 
-0.252395+0.081676j -0.0440647-0.443311j -0.338575-0.0210609j 0.223726-0.0883773j -0.0773088-0.14305j 0.0205439-0.0611711j -0.0815062+0.167538j 0.0221116+0.017556j 0.0805423+0.0296373j -0.0297107-0.0272752j -0.0722608+0.0400989j 0.0169681-0.0165091j 0.0209219-0.0373367j -0.0201422+0.0139331j 0.0867735+0.00275693j 0.0113416-0.0452239j 0.0663352-0.00288418j -0.0519971+0.0584331j -0.0271296+0.033018j -0.0438739+0.0351022j -0.0428656+0.0585166j 0.0759037-0.0331289j 
-0.0081385-0.140697j 0.292514+0.0469608j 0.0114739-0.255781j 0.0966455+0.0333103j -0.0106763-0.2066j 0.10967+0.0191921j 0.00181949-0.170226j 0.0227022+0.00616737j 0.0799184-0.00716126j -0.0293501+0.136815j -0.00271833-0.0584472j 0.0397853-0.030897j 0.0545106+0.0663966j 0.011662-0.0833578j -0.0765637-0.0682238j -0.0726088-0.140427j 0.120581+0.155559j 0.0267268-0.0540219j 0.0272532-0.0545909j 0.0857157+0.0467412j 0.0121432-0.14699j 0.0481124+0.156798j 
0.161183-0.0454815j 0.0751653+0.11841j 0.0810327-0.000301141j 0.11585+0.100465j 0.0301214-0.00707355j 0.0397297+0.0623342j -0.304028+0.310569j 0.169048-0.0209155j 0.0685132+0.174387j -0.157506-0.0897706j 0.0428946-0.02506j 0.0905476-0.0116381j 0.0716324+0.00816047j -0.0890938+0.00350248j 0.054098+0.0136258j -0.11362+0.0698786j 0.0486197+0.00713161j -0.0623942+0.0710594j -0.069812+0.118153j -0.0276816+0.0233026j -0.12955+0.145275j 0.265516-0.115621j 
-0.103206-0.100013j 0.0580854-0.0454848j 0.04275-0.0129593j -0.11647-0.000192022j 0.0421895+0.188285j -0.236731-0.228343j 0.232641+0.0414275j -0.281712-0.0147055j -0.242409+0.0309971j -0.0971616-0.194112j -0.0304957-0.0138078j 0.0492761-0.00760074j -0.0590748+0.0156634j 0.0494381-0.0486944j -0.083121+0.0859026j -0.0270622+0.0222076j 0.062878-0.106192j -0.0123422-0.0493767j -0.0259174-0.0542949j 0.027861-0.0860513j -0.116345+0.0451027j -0.0171932+0.026805j 
-0.02237-0.0316693j -0.0929693-0.0556238j -0.0127841+0.116151j -0.0255756+0.0453503j 0.14341+0.21968j -0.150407-0.203333j -0.276585+0.436168j -0.00167031+0.112901j -0.0368252+0.178735j -0.144589-0.202115j -0.0165886+0.0351508j 0.026888-0.0911313j -0.0521125+0.0824015j 0.0198932-0.0978407j 0.0666602-0.140132j 0.0390033-0.0822635j -0.0206895+0.0900414j -0.0155055+0.0512442j 0.0367205-0.0673094j -0.0677729+0.0507986j -0.0423191-0.0495766j -0.113759+0.177917j 
-0.0688234+0.00284672j 0.00585954-0.0349625j 0.00212664+0.0204762j -0.132804-0.0721596j -0.136458+0.0526061j -0.19381-0.182979j 0.290747-0.179053j -0.257139-0.0432818j -0.179379-0.0296941j -0.0802615-0.183624j -0.0342117-0.0175088j 0.0547361+0.038684j -0.0119503-0.00538237j -0.0319797-0.00489695j -0.115495+0.0161025j -0.0897183-0.0260866j 0.0900334+0.0307227j -0.0439376+0.0274513j -0.041893+0.0558204j 0.0521125+0.00879803j -0.0222375+0.00204883j 0.187141-0.0332682j 
0.0214357+0.0450339j -0.0621606+0.0116846j 0.0575954+0.0225691j 0.0643029-0.0335454j 0.0574897-0.0187383j 0.119214+0.0984141j 0.0966021-0.0433158j -0.0386279-0.0408488j -0.026058-0.0573117j 0.0732998+0.162444j -0.0408348-0.13532j 0.175183+0.00886155j -0.0162867-0.0426724j 0.0107454-0.0972711j 0.11987+0.26546j 0.00431515-0.00847029j 0.189554-0.0601791j -0.0077629-0.086105j 0.208357-0.0590538j -0.0312997-0.0772117j -0.257483-0.0300729j -0.129002+0.15396j 
-0.0347233-0.0385232j 0.0634777-0.00350306j -0.039091+0.0294131j -0.00847958+0.04466j 0.0421503+0.0735113j -0.0682094-0.00680177j -0.0319464+0.106326j -0.0262516-0.0762759j -0.0475834+0.0221677j -0.0262674-0.119182j -0.0372526+0.043402j -0.10834-0.12435j -0.0122855-0.178589j 0.11076-0.128268j 0.0258582+0.253999j -0.116368+0.0759183j -0.144219+0.166942j 0.246446-0.333962j -0.202504+0.227071j 0.0850002+0.0459246j 0.129429-0.12379j -0.071897-0.034396j 
0.0209143+0.0116928j 0.0220512+0.0124809j 0.0760986+0.0349488j -0.116057+0.0415094j 0.0486296+0.0363527j 0.00431599+0.0161935j 0.0738748-0.00810019j -0.0671937-0.0380907j 0.0804849-0.0296204j 0.0742324-0.0543427j -0.211845-0.100529j 0.104777+0.0462722j 0.0275938-0.111029j -0.202316+0.0474048j 0.14952+0.153028j 0.0979949-0.193991j 0.0537555+0.24396j -0.129633+0.158154j 0.115215+0.110145j -0.293342+0.132294j 0.173641-0.031318j 0.102509-0.160531j 
0.0717319+0.0161684j -0.0410903+0.0573349j 0.0340847+0.00841192j 0.0822535+0.00993235j 0.0323217+0.000886338j 0.0568316+0.0666488j -0.0296552-0.0124582j 0.021703-0.0173351j -0.064196-0.0339349j 0.0188481+0.0700314j 0.0273876+0.0760931j -0.110291+0.0777784j -0.0830897+0.0708363j 0.0859588+0.135984j -0.16909+0.094968j 0.142658+0.000687203j -0.0531365-0.216256j 0.170351+0.0269668j -0.059556-0.101337j 0.00195505+0.0225188j -0.0973348+0.0598387j -0.121641+0.0224971j 
0.0578564-0.00813343j 0.0450077+0.00995424j 0.0374905+0.0165896j 0.0602749-0.04677j -0.035605+0.039527j -0.0379167-0.027073j -0.0176402+0.00379747j -0.0658349-0.00619519j -0.0796082+0.00402209j -0.0775919-0.0230838j -0.240479-0.00986976j -0.0536224-0.0209178j -0.126395+0.00780068j -0.182177+0.0348235j -0.177313+0.284324j 0.167807-0.256907j 0.124758+0.031937j 0.156965+0.0379209j -0.0706849-0.0607405j -0.241619+0.166831j -0.0460742+0.0139888j 0.0690844+0.0407144j 
-0.0150395+0.0448473j -0.0362025-0.049485j 0.00208146+0.0209891j 0.123383+0.0359606j 0.0852034-0.0235666j 0.0720603+0.0759637j -0.00917214+0.0415692j -0.0269389-0.046048j -0.0404377-0.0353374j 0.013619-0.00979776j -0.121081-0.0188229j -0.0163752-0.0399398j -0.134323-0.0905014j -0.025031-0.000529428j 0.0181429+0.216483j 0.166361+0.00415507j 0.0746054-0.0438838j 0.12561-0.0227197j 0.0568833-0.0164595j -0.120205+0.0216386j -0.108598+0.000975923j -0.0823514+0.00981889j 
-0.0419695-0.00652041j -0.0592399-0.0842926j 0.0166349-0.0030345j 0.0240931+0.0343409j 0.0336185-0.00209155j 0.0284968+0.0427213j 0.0343217+0.00864288j -0.0045308-0.054966j -0.0590349+0.0041309j -0.0107276-0.0409282j 0.227845+0.00502694j 0.271622+0.388412j 0.137866+0.128397j 0.291929+0.25039j -0.0262285+0.118988j -0.0706235-0.180873j -0.0779219+0.0262139j -0.0319958+0.201158j 0.048658+0.0971918j 0.0600839+0.0378595j -0.102652+0.0691971j -1.20538e-05-0.00870707j 
0.0478634+0.00126204j 0.0591507+0.0305705j -0.000470711-0.0153039j 0.0193102-0.043078j -0.110855-0.0403649j 0.0380566+0.096812j 0.105072-0.0682185j 0.0544031-0.135198j 0.0238889-0.024341j 0.0166891+0.0692746j -0.0208715+0.0022879j -0.076908-0.0291j 0.0311137-0.0657828j -0.100308+0.0520659j -0.0305864+0.162895j -0.103646+0.203934j -0.0534073-0.144183j -0.017848-0.0268741j -0.259801+0.150034j -0.0502411+0.0494476j -0.078701+0.177998j 0.14472+2.32189e-05j 
-0.063755-0.0931849j 0.0561991-0.0462376j -0.0524285-0.0141003j -0.223448-0.172804j -0.0558112+0.131637j -0.106055-0.10476j -0.0101585+0.0529503j 0.0490114+0.117676j 0.135292+0.0259448j 0.12245+0.247091j -0.0357038-0.0503743j 0.0098561+0.0245047j 0.241856+0.228271j -0.124551-0.0592814j -0.0605346+0.0983929j -0.110175-0.281965j -0.0248014-0.00194075j -0.0901115-0.0120158j 0.0111241-0.154228j -0.0398555-0.022592j 0.168299-0.0968608j -0.0162302+0.00254871j 
-0.00470386+0.00580422j -0.0442194-0.0196582j 0.011455-0.016047j 0.00736053+0.0275949j 0.00188615+0.000344602j 0.00471626-0.0288407j 0.0293961-0.00542286j -0.00939546-0.0426964j -0.00298875+0.00563356j -0.0501205-0.0608367j 0.056612-0.0212794j 0.120149+0.0965241j 0.0417867+0.0250857j -0.0118288+0.126463j 0.039301-0.114706j 0.0575231+0.0149172j 0.0366285-0.106673j -0.215929+0.183829j 0.0165967+0.0405336j -0.0174888-0.127065j -0.0934287+0.118396j 0.0543888-0.0590108j 
-0.0819273-0.0317235j -0.0332716-0.0394649j -0.019208+0.00508131j -0.106321-0.00492279j 0.167288+0.0934971j 0.00628676+0.0396859j -0.00626995+0.0899422j 0.0289315+0.00289625j 0.0398665-0.0342119j 0.224225+0.162579j -0.0195903+0.00182765j -0.119667-0.0358466j 0.0554859+0.0624691j -0.000611893-0.000121648j 0.0364856+0.0639938j 0.0929125+0.0818207j -0.0615711-0.205648j 0.0122+0.00760572j 0.123396-0.0996273j 0.01139-0.0794828j 0.0738859-0.101487j -0.169447-0.0228197j 
-0.009447-0.00676778j -0.0709131-0.040231j 0.0503703+0.0296317j 0.0175264-0.0360644j 0.0688201+0.0400271j 0.0248901+0.0257857j 0.0105474+0.0748763j 0.0256691-0.0289599j -0.0216646+0.0229763j 0.0537629+0.0418396j -0.0210278-0.1031j 0.185175+0.0296781j 0.0446684+0.038875j 0.0313072-0.0776152j 0.0553486+0.260469j -0.0244445-0.00138387j 0.186164-0.0278094j -0.074192-0.00161679j 0.0658044-0.060068j -0.0343114-0.0824752j -0.144675+0.0357117j 0.0513253+0.0575174j 
0.0213169+0.014887j -0.0265486-0.043452j 0.0083039+0.0685136j 0.0363918+0.0309711j 0.0598922+0.0215956j 0.0219367+0.0643883j -0.0540574+0.079414j 0.0679476-0.0123432j 0.0645121+0.0141987j 0.00973456-0.0245636j -0.0784204+0.0205055j 0.0299235+0.0265951j 0.0346947-0.0258444j -0.073734+0.0961311j 0.0174174+0.132424j 0.0944974-0.0714776j -0.0707797+0.063519j 0.0672438+0.0904766j 0.0189088+0.0949671j -0.0249446+0.0737547j 0.0127534-0.045591j -0.0264546-0.0190929j 
0.0341078+0.0246836j 0.0104651+0.00400744j 0.0181302+0.0159685j 0.0112366-0.0246513j -0.0307359-0.0302089j 0.00539429-0.015479j 0.00710266-0.0496978j -0.00992762-0.0300219j -0.0229007-0.0079857j -0.0266484-0.010506j 0.0213085-0.00139788j 0.0157235-0.00187777j -0.0133751-0.0170254j 0.0210992-0.0170736j -0.0239716-0.00633474j -0.026231+0.00571948j 0.0336881-0.00593934j -0.0347071-0.0282137j -0.0534873+0.0231688j 0.00706343-0.0472195j -0.0113502+0.0306119j 0.0411198-0.0110939j 
-0.0596228-0.0228623j -0.0169813-0.0224604j 0.0269163-0.00313186j -0.0996724+0.0249742j 0.0328579+0.0363382j -0.0395562+0.00453062j 0.011917+0.0027482j -0.030123-0.0122568j 0.0117773-0.0347981j 0.0525743+0.0410125j 0.0473713-0.015838j -0.056617-0.0348294j 0.0754489-0.0078851j -0.0029002-0.0142335j 0.0926277-0.0696945j 0.00504061+0.089952j -0.029703-0.0487991j -0.0126751+0.00533557j 0.0713087+0.0190905j 0.02074-0.0317536j -0.0183416-0.0595331j -0.069481+0.040826j 
0.0214624-0.000555878j 0.00806554-0.0132481j -0.0106075-0.0084133j 0.0117403+0.0120079j -0.0477834-0.0479309j 0.0208714-0.0331784j 0.00985987-0.0274202j -0.0489667-0.0141583j 0.00883083-0.00504014j -0.0217741-0.0154096j -0.00212456-0.00504519j 0.0055559+0.0255275j 0.00437912-0.0348829j 0.000954546+0.00845521j -0.0041843-0.00834811j -0.0109683-0.0526254j -0.0088161+0.068883j 0.00404801-0.0107469j -0.0201586+0.0317555j -0.0269181+0.0301197j 0.0352658+0.000748582j 0.00784433-0.0419748j 
0.0213692+0.0285877j -0.00898718-0.00694021j -0.000124056-0.0280392j -0.0297962+0.048062j 0.0126762-0.00117454j 0.0277199+0.0129235j 0.0383258-0.0256358j -0.00755674-0.00260568j 0.0701052-0.0243671j 0.0232324-0.0108725j -0.0259615-0.0127646j 0.0323923+0.0302702j 0.0864348-0.0510337j -0.0439128+0.00525686j 0.074827-0.00803508j 0.0612936+0.00749983j -0.00799757+0.133722j -0.000832612+0.0739359j 0.0719591+0.025578j -0.00877586+0.0469897j 0.0225424-0.0543983j -0.020028-0.00533761j 
-0.000559567-0.0132021j -0.0162497+0.0260884j -0.0239462+0.0166125j 0.0271314+0.03507j -0.00674603-0.0430338j 0.00147441+0.0284312j 0.00872254-0.00824469j 0.0157755+0.019135j 0.024669-0.0325599j 0.00841244-0.0101927j 0.0370131+0.0395925j -0.0246272+0.0590858j -0.0130622-0.0164507j 0.0564758-0.0216582j 0.00742765-0.0559442j 0.0189008+0.0103015j -0.0101391+0.0107971j -0.0279413+0.0223688j -0.00835307+0.0348235j 0.00336127-0.000600685j 0.00930005+0.0012589j -0.00156722-0.00172903j 
-0.0153016+0.0238061j 0.0235188+0.0120585j 0.0293631+0.0150066j -0.0274549+0.0414616j -0.0381799-0.0280317j 0.0193478-0.0399511j 0.0183258-0.0421922j -0.0316304+0.00474198j 0.0625362-0.0286993j -0.0252567-0.0461254j 0.000518921-0.00150547j 0.0359462+0.0208397j 0.0449664-0.0095288j -0.0111164-0.029408j 0.0509356-0.0430343j 0.00793859-0.0284747j -0.0136553+0.109382j -0.0262556+0.0180888j -0.0154002+0.0112568j -0.0216932+0.0206976j 0.0263919+0.00311437j 0.0112009-0.0464057j 
0.0148183+0.0211965j 0.0107894+0.013568j 0.02354-0.0418384j 0.0049435-0.00115472j -0.0411147-0.0430196j 0.00480816+0.00953901j 0.02109-0.0154613j 0.00165236+0.0278788j 0.0252596-0.025894j -0.0206434-0.0240354j -0.0054369+0.0308641j -0.00912804+0.0195297j -0.0588378+0.000919152j 0.00501153-0.0388013j -0.0179606-0.0411079j -0.0226934-0.0636325j -0.0295447+0.0164695j -0.0366331-0.0261583j -0.0216536+0.0403868j -0.00572083-0.013436j 0.0338822+0.000164009j 0.00721166-0.0373957j 
0.0346421-0.0104858j 0.00386305-0.000538162j 0.00766233+0.00953337j 0.0227622-0.0218823j 0.00136803-0.029164j -0.0133475-0.0145648j 0.00584394-0.0124533j 0.00581319+0.00661855j 0.00933141-0.0117968j -0.0123705+0.0165987j 0.0342755+0.00171919j 0.012984-0.00414469j -0.00518947-0.0109781j -0.0167697+0.0229121j 0.00406783-0.00372082j -0.0198614-0.0330868j 0.0125365+0.0265123j 0.0108682-0.00648023j 0.00880705+0.0137156j -0.00659707-0.00839604j 0.0239714-0.00368703j 0.00516128-0.0066644j 
0.000130371+0.00750628j 0.0225844+0.0122071j 0.018331+0.0135098j 0.0294171-0.0220027j -0.0153875+0.0315164j 0.024792+0.0159563j 0.00424028+0.0159916j -0.00086677-0.00941903j -0.00462568+0.0288232j 0.0238513+0.0276147j -0.0398891+0.0145908j -0.0181406+0.0135749j 0.0058168-0.0469852j -0.0176945-0.0254549j -0.02205+0.0506011j 0.0148224+0.031671j 0.0180149-0.0157628j 0.0151873-0.00366498j 0.0100589-0.00328517j 0.013803+0.0125494j -0.0190117-0.0108841j -0.0073479+0.0103814j 
0.0117084-0.00608683j -0.0309802-0.0269247j 0.0147408+0.00401031j 0.0523661-0.0250595j -0.00560069-0.00874482j -0.010015+0.0141778j -0.00868593+0.0508772j 0.00168257-0.00516371j -0.00986602+0.0333447j 0.0169295+0.0170731j -0.0228198-0.0314376j 0.0060667+0.0335593j 0.0248933-0.0391956j 0.0237964+0.0360142j -0.0262571+0.0464324j 0.0437845+0.00897445j 0.0217026-0.00860802j 0.0116099+0.0298299j 0.00640929+0.0014104j -0.00670607+0.0187849j -0.0152691-0.00116032j -0.00787111+0.0129997j 
-0.0190687+0.0127498j -0.00226895-0.0319655j -0.00252219+0.0058677j 0.0157483+0.0399941j 0.113001+0.0414785j -0.0220455+0.00207397j 0.000420595+0.0475363j 0.0104482-0.00760896j -0.0648645-0.0653269j 0.103273+0.00149794j 0.0137528+0.0484368j -0.0611303+0.0245308j -0.046792+0.0204639j 0.0529757+0.0118149j -0.035551+0.0593357j 0.0400628+0.0505599j -0.0109381-0.08953j 0.0157815+0.0271255j -0.0302314-0.0117717j -0.0333594+0.0116261j 0.0399794+0.0199031j -0.0389835+0.0218344j 
-0.0304558-0.0395268j 0.0346326+0.00562374j -0.00867027-0.0327149j -0.0371644-0.0594298j -0.0240409+0.0401035j -0.0730187-0.0547014j 0.0063358-0.00913607j 0.0015178+0.0237469j 0.0152682+0.00363812j -0.0488411+0.0418755j 0.108825+0.0329052j -0.0222184-0.00033396j 0.0719087+0.0202724j -0.0218842-0.0049433j 0.018167-0.0811695j -0.00747301+0.00758679j 0.0458642+0.00080658j 0.0263196+0.00377538j 0.0152345-0.0620052j 0.0317957-0.0469367j -0.00851563-0.0116316j -0.00135599+0.0164679j 
0.0129258+0.0277349j 0.012081+0.0446254j 0.0114781-0.0152676j 0.0655856+0.00160893j 6.72669e-05-0.0308236j -0.0151374+0.0237627j 0.0112991-0.0272747j -0.00216132-0.0129729j -0.06131+0.00270348j -0.0204887+0.0177249j -0.0266848-0.0668957j -0.0195152-0.0716364j -0.00457367-0.0691811j -0.00319465+0.0527159j -0.0042472-0.0680362j 0.00338556+0.0630941j 0.0233333-0.00718951j -0.00579689-0.0380033j 0.00816406+0.00468097j 0.00795292-0.0207925j 0.0179718+0.0218659j -0.00429815+0.000608503j 
-0.0434682-0.00172385j -0.0624663-0.0287384j 0.0152573+0.00843689j 0.0588212+0.0700035j 0.0896918+0.0502011j 0.0161228-0.0341257j 0.0124936+0.0468405j 0.00511228-0.0103639j -0.0814669-0.0751572j 0.0690547-0.0159923j 0.0341794+0.0160497j 0.0583941+0.00768951j -0.0173949+0.00709147j -0.0106683+0.0129207j 0.0414797+0.0560868j -0.0497384+0.0507805j 0.0229941-0.0424403j -0.0359991+0.00603952j 0.0626096+0.00709116j 0.0288667-0.0458859j -0.00719879+0.0331934j -0.0399418+0.00593774j 
