-0.102635-0j -0.0104423-0j -0.0105505-0j 0.574581-0j -0.00086746-0j 0.711008-0j 0.414754-0j -0.00107343-0j -0.000626166-0j -0.00423634-0j 0.0715973-0j -0.0049424-0j -6.24072e-05-0j -0.00302659-0j -0.0043246-0j 0.0835302-0j 0.0511516-0j -0.00178381-0j -7.28084e-05-0j 0.0730889-0j -4.45859e-05-0j 0.0301477-0j -6.37073e-05-0j -2.62779e-05-0j -0.00327116-0j -0.000545194-0j -0.00369517-0j 0.0641716-0j 0.00651541-0j -0.00301709-0j -4.01573e-06-0j -0.00304836-0j -0.000615862-0j -0.00263996-0j 0.0724895-0j -0.000502849-0j -0.00217785-0j 0.00735994-0j 0.0591875-0j -0.00050806-0j -4.53625e-06-0j -0.000695835-0j 0.00600937-0j 0.0598008-0j -0.000439993-0j 0.051789-0j -3.70383e-06-0j -0.000362976-0j 0.00607164-0j 0.0052582-0j 0.0427238-0j -3.74222e-06-0j -0.000115972-0j 0.00433779-0j 0.0136504-0j -3.24085e-06-0j 0.00138594-0j -2.67357e-06-0j -8.54218e-07-0j 
0.0148141-0j -0.143641-0j -0.145129-0j 0.00086746-0j 0.556601-0j 0.00107343-0j 0.000626166-0j 0.688758-0j 0.401776-0j 0.000611463-0j -0.0103014-0j 0.000713374-0j 0.122714-0j 0.00043685-0j 0.000624202-0j -0.0120183-0j -0.0073597-0j 0.00025747-0j 0.143166-0j -0.010516-0j 0.0876711-0j -0.00433765-0j 0.125271-0j 0.0516714-0j 0.000472152-0j -0.0074995-0j 0.000533352-0j 4.81888e-05-0j 0.0437275-0j 0.00043548-0j 0.0159037-0j 0.000439993-0j -0.00847159-0j 0.000381045-0j 5.4435e-05-0j -0.00691703-0j 0.000314346-0j 0.0493955-0j 4.4446e-05-0j -0.00698871-0j 0.0179651-0j 0.000100435-0j 0.0403313-0j 4.49066e-05-0j -0.0060524-0j 3.88902e-05-0j 0.0146684-0j -0.00499297-0j 0.0407492-0j 0.0352899-0j 3.20828e-05-0j 0.0148205-0j -0.00159528-0j 0.0291126-0j 1.02506e-05-0j 0.0128349-0j 0.00930163-0j 0.0105882-0j 0.003383-0j 
0.00146237-0j 0.00858742-0j -0.00837576-0j 0.0049424-0j 0.000713374-0j 0.000105963-0j -0.00694979-0j 1.52945e-05-0j -0.00100312-0j -0.50294-0j 0.000615862-0j -0.0101662-0j 5.13218e-05-0j -0.359317-0j 0.495627-0j 1.24487e-05-0j 0.000439993-0j 0.620645-0j 1.03739e-06-0j -0.000606907-0j 3.66661e-05-0j -0.000759995-0j -5.05756e-05-0j -6.33329e-05-0j 0.00269011-0j -0.0647256-0j 5.26498e-05-0j 0.000274558-0j 5.60439e-05-0j 0.00248117-0j 3.30242e-06-0j -0.00242001-0j -0.00126678-0j 3.76148e-05-0j 5.37354e-06-0j -0.0596984-0j -0.00348891-0j 1.09687e-06-0j 0.000253233-0j 0.058227-0j 6.46337e-08-0j -0.00223936-0j 5.1691e-05-0j -0.000246992-0j -0.000905035-0j 3.83905e-06-0j 3.04592e-06-0j 0.0839453-0j -5.04169e-05-0j 7.83642e-07-0j -0.000356086-0j -2.97085e-06-0j 0.0538804-0j -7.26857e-05-0j -0.000228554-0j 4.61765e-08-0j -4.66534e-05-0j -4.28305e-06-0j -2.74908e-06-0j 
-0.000258513-0j 0.0715779-0j -0.0698137-0j 0.0835302-0j 0.0120183-0j 0.00179086-0j -0.117457-0j 0.000257669-0j -0.0168997-0j -0.000615862-0j -0.490773-0j -1.24487e-05-0j 0.00130148-0j -0.000439993-0j 0.000606907-0j -0.00992023-0j -0.350625-0j 0.000759995-0j 2.63074e-05-0j 0.483637-0j 0.000929821-0j 0.605631-0j -0.00128255-0j -0.00160607-0j -0.000475548-0j 0.0037371-0j -9.30725e-06-0j 0.009329-0j -0.0902686-0j -0.000438613-0j 0.000111857-0j 0.000427802-0j 7.31411e-05-0j -6.64942e-06-0j 0.000182584-0j 0.00344684-0j 0.000616759-0j -0.0017667-0j 0.00860443-0j -0.00336188-0j 2.18922e-06-0j 0.000395867-0j -0.0832575-0j -0.00839235-0j 5.22545e-05-0j 0.000130444-0j 0.000103169-0j -0.0048468-0j 0.0812054-0j -0.00126219-0j -0.0120992-0j -0.000100626-0j -0.00311093-0j 0.117073-0j -0.00776587-0j 1.56405e-06-0j 0.0751435-0j -0.000145072-0j -9.31144e-05-0j 
2.15427e-05-0j -0.0181475-0j 0.0177002-0j 7.28084e-05-0j 0.143166-0j 1.56099e-06-0j -0.00010238-0j 0.00306943-0j -0.201314-0j 5.13218e-05-0j -0.00130148-0j 1.03739e-06-0j -0.475198-0j 3.66661e-05-0j -5.05756e-05-0j -2.63074e-05-0j -0.000929821-0j -6.33329e-05-0j -0.00960541-0j 0.00128255-0j -0.339498-0j 0.00160607-0j 0.468289-0j 0.586411-0j 3.9629e-05-0j -0.000947484-0j 7.75604e-07-0j 4.04462e-06-0j 0.0112474-0j 3.65511e-05-0j -0.126315-0j -3.56502e-05-0j -1.85438e-05-0j 5.54118e-07-0j 7.91598e-08-0j -0.000873894-0j -5.13965e-05-0j 0.00022013-0j 3.73048e-06-0j 0.000852354-0j -0.0024722-0j -3.29889e-05-0j 0.0103738-0j -3.63853e-06-0j -1.32483e-05-0j 5.65545e-08-0j -0.116505-0j 0.00122883-0j -0.0101181-0j 0.000157268-0j -5.24564e-06-0j 0.113633-0j 0.000788728-0j -0.0145872-0j -3.36692e-06-0j -0.00176622-0j -0.00936283-0j 0.163824-0j 0.10515-0j 
0.0515245-0j -0.00509297-0j 0.00529653-0j 0.00301709-0j 0.00043548-0j -0.00362718-0j 0.00217785-0j -0.000523538-0j 0.000314346-0j 0.00212672-0j 0.000375954-0j 0.00248117-0j 3.13295e-05-0j -0.00447169-0j -0.00210922-0j 0.000438613-0j -0.000790491-0j 0.000895501-0j 3.65511e-05-0j -0.000372861-0j -6.58742e-05-0j 0.000158304-0j -3.10717e-05-0j 1.3192e-05-0j -0.317644-0j 0.000273697-0j -0.358817-0j 0.000167604-0j 3.42121e-05-0j 0.284632-0j 2.01597e-06-0j -0.296009-0j 0.000309173-0j 0.754457-0j 0.000189329-0j -0.000245253-0j 0.205458-0j 3.86467e-05-0j -0.000150186-0j 0.000255055-0j 2.27728e-06-0j -0.0675685-0j -3.06566e-05-0j 0.000156189-0j -0.000650076-0j -0.000398089-0j -1.80646e-06-0j -0.000177033-0j 3.18819e-05-0j -8.12595e-05-0j -0.00010841-0j 1.87866e-06-0j 5.82202e-05-0j -2.21291e-05-0j 3.56524e-05-0j -4.78826e-06-0j 7.27752e-06-0j -1.30397e-06-0j 4.28832e-07-0j 
0.0502545-0j -0.00529653-0j 0.0053482-0j -0.00304836-0j -0.000439993-0j 0.00364144-0j -0.00197564-0j 0.000525597-0j -0.000285159-0j -0.00214876-0j -0.00037985-0j 0.00242001-0j -3.16542e-05-0j -0.00153514-0j 0.0021922-0j 0.000427802-0j -0.000271378-0j -0.00427635-0j 3.56502e-05-0j 0.000387531-0j -2.26148e-05-0j -0.000755959-0j 3.22942e-05-0j -6.29966e-05-0j 0.320935-0j -0.000276533-0j -0.349973-0j -0.000169341-0j -3.45666e-05-0j 0.296009-0j -2.03686e-06-0j -0.298897-0j 0.000301553-0j -0.250032-0j 0.000184663-0j -0.000255055-0j 0.191843-0j 3.76941e-05-0j -0.000156189-0j 0.000257543-0j 2.22115e-06-0j 0.715881-0j -3.18819e-05-0j 0.000157712-0j 0.00021544-0j 0.000131929-0j -1.87866e-06-0j -0.000165301-0j 3.21929e-05-0j 2.693e-05-0j -0.000101226-0j 1.89699e-06-0j -0.000616837-0j -2.06626e-05-0j -0.000377734-0j 1.58686e-06-0j -7.71046e-05-0j -1.21756e-06-0j -4.54343e-06-0j 
-0.00858742-0j -0.0400231-0j 0.0416228-0j -0.000502849-0j 0.00691703-0j 0.00060453-0j -0.000362976-0j -0.00831572-0j 0.00499297-0j 0.0511701-0j 0.00295444-0j 0.0596984-0j 0.000749052-0j -0.107592-0j -0.0507491-0j 0.00344684-0j -0.00621208-0j 0.0215463-0j 0.000873894-0j -0.00293013-0j -0.00157498-0j 0.00124403-0j -0.000742889-0j 0.000315405-0j -0.000273697-0j -0.310504-0j -0.000309173-0j -2.79341e-05-0j 0.000543414-0j 0.000245253-0j 6.43779e-05-0j -0.000255055-0j -0.350752-0j 0.000650076-0j -3.15549e-05-0j 0.278235-0j 0.000177033-0j 0.000613851-0j 2.5031e-05-0j -0.289355-0j 7.27226e-05-0j -5.82202e-05-0j -0.000486939-0j -2.60314e-05-0j 0.7375-0j 6.63481e-05-0j -5.76874e-05-0j 0.20084-0j 0.000506401-0j -0.0012907-0j 1.80683e-05-0j 5.99931e-05-0j -0.0660498-0j -0.000351491-0j -5.94207e-06-0j -0.000152908-0j 0.000115594-0j -4.1641e-05-0j 1.36943e-05-0j 
-0.0052587-0j 0.000519799-0j -0.000540575-0j 0.0591875-0j -4.4446e-05-0j -0.0711557-0j 0.0427238-0j 5.34334e-05-0j -3.20828e-05-0j -0.000217057-0j 0.00737523-0j -0.000253233-0j -3.19755e-06-0j 0.00045639-0j 0.000215271-0j 0.00860443-0j -0.0155073-0j -9.13967e-05-0j -3.73048e-06-0j -0.00731455-0j 6.72326e-06-0j 0.0031055-0j 3.17125e-06-0j -1.3464e-06-0j -0.000167604-0j -2.79341e-05-0j -0.000189329-0j -0.312693-0j 0.000671151-0j 0.000150186-0j -2.05754e-07-0j -0.000156189-0j -3.15549e-05-0j 0.000398089-0j -0.353224-0j 2.5031e-05-0j 0.00010841-0j 0.000758146-0j 0.280196-0j -2.60314e-05-0j -2.32424e-07-0j -3.56524e-05-0j -0.000601401-0j -0.291395-0j 6.63481e-05-0j 0.742698-0j 1.84371e-07-0j 1.80683e-05-0j 0.000625438-0j -0.0015941-0j 0.202256-0j -1.9174e-07-0j -5.94207e-06-0j -0.000434114-0j -0.0665153-0j 4.887e-07-0j 0.000142766-0j 1.33086e-07-0j -4.37675e-08-0j 
-0.00837576-0j -0.0416228-0j 0.0420289-0j 0.00050806-0j -0.00698871-0j -0.000606907-0j 0.000329274-0j 0.00834841-0j -0.00452938-0j -0.0517003-0j -0.00298505-0j 0.058227-0j -0.000756814-0j -0.0369365-0j 0.0527457-0j 0.00336188-0j -0.00213262-0j -0.102891-0j 0.000852354-0j 0.00304541-0j -0.000540694-0j -0.00594071-0j 0.000772118-0j -0.00150618-0j 0.000276533-0j 0.313722-0j -0.000301553-0j 2.82235e-05-0j -0.000549045-0j 0.000255055-0j -6.50451e-05-0j -0.000257543-0j -0.342106-0j -0.00021544-0j -3.07771e-05-0j 0.289355-0j 0.000165301-0j 0.000598721-0j 2.60314e-05-0j -0.292178-0j 7.09301e-05-0j 0.000616837-0j -0.000506401-0j -2.62854e-05-0j -0.244413-0j -2.19882e-05-0j -5.99931e-05-0j 0.187531-0j 0.000511342-0j 0.000427747-0j 1.6871e-05-0j 6.05784e-05-0j 0.69979-0j -0.000328198-0j 6.29557e-05-0j 5.06749e-05-0j -0.0012247-0j -3.88815e-05-0j -0.00014509-0j 
-0.00512908-0j 0.000540575-0j -0.000545849-0j -0.0598008-0j 4.49066e-05-0j 0.0714355-0j -0.0387569-0j -5.36435e-05-0j 2.91039e-05-0j 0.000219306-0j -0.00745165-0j -0.000246992-0j 3.23069e-06-0j 0.00015668-0j -0.000223741-0j 0.00839235-0j -0.00532372-0j 0.000436453-0j -3.63853e-06-0j 0.00760233-0j 2.30812e-06-0j -0.0148299-0j -3.29601e-06-0j 6.42956e-06-0j 0.000169341-0j 2.82235e-05-0j -0.000184663-0j 0.315933-0j -0.000678106-0j 0.000156189-0j 2.07886e-07-0j -0.000157712-0j -3.07771e-05-0j -0.000131929-0j -0.344518-0j 2.60314e-05-0j 0.000101226-0j 0.000739459-0j 0.291395-0j -2.62854e-05-0j -2.26695e-07-0j 0.000377734-0j -0.000625438-0j -0.294238-0j -2.19882e-05-0j -0.246135-0j 1.9174e-07-0j 1.6871e-05-0j 0.00063154-0j 0.000528295-0j 0.188853-0j -1.9361e-07-0j 6.29557e-05-0j -0.000405346-0j 0.704723-0j -1.61959e-07-0j -0.00151259-0j 1.24266e-07-0j 4.63712e-07-0j 
