-0.0178926+0.0970079j 0.0162983-0.172165j 0.0115577-0.0294515j -0.0266909-0.243434j -0.0228811-0.560943j 0.00551644+0.374864j -0.0137854-0.33996j 0.0565369-0.242096j 0.0434161-0.0247873j 0.038153-0.0102824j -0.000557549-0.0953148j -0.136747+0.0283734j 0.0967413+0.0016872j -0.161263+0.0123345j -0.00854632-0.0286356j 0.102372-0.0623517j -0.0501874+0.0171677j 0.00528893-0.0589227j 0.0306438+0.0751687j 0.0853704-0.0765541j -0.0160101+0.0218712j 0.07005+0.0117654j -0.0251068-0.0539026j 0.0118119+0.110723j -0.00754445+0.0549808j -0.0255367-0.0725114j -0.0383456-0.0374174j -0.0079285-0.11282j -0.0326628-0.00633721j 0.0790958+0.0413761j -0.037607-0.0177656j -0.0902601-0.0476528j -0.135491+0.023999j -0.00220961-0.107757j 0.120912+0.010806j 0.0036291-0.110038j 
-0.000528808-0.279561j 0.0139195+0.102466j -0.0073544-0.142359j 0.0194734+0.280823j 0.00960381-0.513652j 0.00898679+0.0850818j -0.00887096+0.561946j -0.108352-0.0331927j -0.0321622-0.127609j 0.0232366-0.0921121j 0.0638172-0.0936939j 0.104808+0.0485225j -0.0380375+0.0848509j -0.125542-0.00485522j 0.0441892-0.0225869j 0.0164059-0.115273j 0.0527909-0.0488751j -0.0287299-0.0338216j -0.107632-0.0638988j -0.0124889+0.105306j 0.012792+0.0199147j -0.0234795+0.0835084j 0.0131557+0.0466184j 0.0355375+0.00186447j -0.0194483+0.082234j -0.044941+0.013218j -0.00190696+5.55922e-06j 0.0518052+0.0318844j -0.0454381-0.0177279j -0.00353129+0.0738463j 0.00767135+0.0665397j 0.0707738-0.0727637j 0.00755705-0.0151898j 0.133719+0.0400326j -0.0240804+0.107511j 0.0628712+0.0497238j 
-0.0203318-0.28324j 0.0103339-0.125333j 0.00504795-0.286963j 0.0149272-0.277015j 0.00916547+0.493749j 0.00859505+0.589593j -0.0115932+0.169902j -0.0649362+0.00923056j 0.0570265-0.188889j 0.0830032+0.0642862j -0.00269038+0.00377739j 0.00350642-0.0250631j -0.0154817-0.0201249j -0.00991121-0.0807488j 0.0214253-0.19214j -0.00302175-0.101696j -0.0127245-0.142056j -0.0154221-0.0172662j -0.074746+0.0145428j 0.0228491-0.0699259j -0.0201896+0.0294235j 0.0329117+0.0118572j 0.0272622-0.00784032j -0.0293763+0.0137304j -0.00142077-0.00453648j -0.08716-0.0343454j 0.00404714-0.000233518j 0.0120872-0.0214201j 0.0095799-0.019533j 0.00742965+0.00479817j 0.0439253+0.0586041j -0.00312483-0.0272659j -0.0170253-0.0135381j 0.0403412-0.0295091j 0.0100982+0.0446222j 0.0280311-0.0051557j 
-0.0191591+0.00628191j 0.0232046+0.0911901j 0.000485692+0.0518248j -0.0161714+0.0627904j -0.0157139+0.239224j 0.0034887-0.243237j -0.0133931+0.0274305j 0.000523693+0.174174j 0.0213642+0.046039j 0.0482019+0.0611213j 0.0281697+0.141399j -0.0473089-0.0247344j 0.0147222-0.073301j -0.336649-0.0633153j 0.0481035+0.187953j 0.122915-0.282504j -0.00791381+0.0578875j -0.010137-0.128653j -0.0327997+0.119758j 0.0951135+0.0643324j -0.0109017-0.0121908j 0.0499328+0.0219596j -0.0389955-0.0526741j 0.0461475+0.0690544j 0.0392266-0.0151669j 0.00285745-0.0666275j 0.00261477+0.0210552j 0.0347913-0.15462j 0.0367454-0.219612j -0.0568144+0.135568j -0.0103528+0.0534938j -0.00145171-0.0976314j -0.246293-0.0422592j 0.0791676-0.00868373j 0.0593885+0.148256j 0.140181-0.0414293j 
0.0143767+0.153377j 0.0151372-0.0643484j -0.025165+0.0295569j 0.0310404-0.0849789j 0.0165632+0.0427433j 0.00546595+0.0256301j -0.0244034-0.403477j -0.0914563-0.0713722j -0.078468+0.0651289j -0.0538335-0.112539j -0.0093682-0.164935j 0.21359-0.0950048j -0.149986+0.145358j -0.157858-0.0707848j 0.0613439-0.0361626j -0.0151484-0.128592j 0.09171+0.056136j -0.0325066-0.21441j -0.0891196-0.0781525j -0.0357995-0.177085j -0.00340213+0.0853345j -0.0646867+0.0232224j -0.0121665+0.0556777j 0.00106436-0.138062j -0.0350875+0.120216j -0.045874+0.115463j 0.0373362+0.00238924j -0.0839527+0.168434j -0.0494693-0.0435359j -0.0548386+0.11519j 0.0397616+0.0302145j 0.172226-0.0306398j 0.00295671+0.0375971j 0.191476+0.160148j -0.123023+0.0696822j 0.0171068+0.085087j 
-0.0648299-0.0239437j -0.0625305+0.00386933j 0.003592-0.04178j 0.0519452+0.0527644j 0.00761049-0.0717044j -0.0195958-0.0502392j -0.0463514-0.10126j -0.207075+0.0746247j -0.0308399-0.0174698j 0.13911-0.102824j 0.357778+0.233132j -0.0777969-0.237152j 0.321666-0.30733j 0.195812+0.0733087j -0.0145698-0.0187013j -0.0450701+0.242903j 0.00290871+0.00158009j -0.0335841-0.116779j -0.173507-0.0582917j 0.014807-0.231549j 0.0407957+0.0956395j 0.0165417+0.1272j -0.048734-0.0261739j 0.117746-0.0858912j -0.0740877+0.0725752j -0.0492589-0.0217783j 0.0589887-0.0561455j 0.0423882-0.0964616j 0.0494654+0.0132056j -0.0289535-0.052251j 0.129312+0.190039j -0.0964416+0.0263511j 0.0118777-0.0347339j 0.0757908-0.0492414j 0.00184381+0.0526753j 0.0335625+0.00719224j 
0.0149248+0.0193752j -0.140014-0.0250239j 0.0323066+0.062091j -0.00828499-0.0499466j -0.0420205+0.0817605j 0.02371+0.059727j 0.0288654+0.095402j 0.130777-0.247682j -0.0079912-0.0103342j -0.350093-0.261031j 0.319983+0.0400185j 0.224516-0.291702j 0.232001-0.124132j -0.189377-0.0911138j -0.0386035+0.0574198j 0.0389193-0.27858j -0.0165344-0.0281679j 0.0562953+0.317069j 0.143425-0.0814809j -0.149216+9.62231e-05j 0.0271777-0.0118517j -0.0392274+0.118294j -0.0256332-0.104857j -0.0164203+0.00198907j -0.00111222+0.0599623j 0.065114+0.0360134j 0.0656724+0.0412374j -0.0134646+0.00110613j -0.0438923-0.008061j -0.0447473-0.0121538j -0.0291132-0.0706307j 0.00522783-0.00204354j 0.00993916+0.017875j -0.0613722+0.0181415j -0.000348125-0.0481212j -0.0321629-0.00504368j 
-0.10924-0.0100376j -0.0381766-0.0484504j -0.0143222-0.127383j -0.0167198-0.179968j 0.00416721+0.0258493j -0.0143411-0.161797j 0.0166727+0.0667899j -0.0826062-0.130534j 0.516687-0.0644379j -0.0987787-0.129992j 0.00781712-0.15488j 0.2139-0.022508j -0.15147+0.180544j -0.016081+0.0634864j -0.0242681+0.490374j -0.0396026+0.111496j -0.290993-0.153472j -0.0426447-0.092294j -0.0842036-0.0187893j 0.00223699-0.0724355j 0.0382339-0.0214511j -0.0144109-0.0614268j 0.0103296+0.0335888j 0.011372-0.0693652j -0.00321997+0.0334161j -0.0605218-0.0128973j -0.00386161-0.00363806j 0.0236164-0.0583423j 0.033072+0.0157757j 0.0281475-0.0453102j 0.0811146+0.032989j -0.0811062+0.00099579j 0.0076922-0.0237299j -0.0119327-0.0654156j 0.0363211-0.0125969j 0.00106991-0.030698j 
-0.016888-0.012595j 0.0562139+0.0231352j 0.00419698-0.0231341j -0.00557843+0.0637983j -0.0141696+0.035585j 0.0142017-0.0491852j -0.0291671-0.0437161j -0.0941858+0.11404j -0.0534823+0.0191983j 0.0696718+0.0400871j -0.00423251+0.054918j -0.0168706-0.0521511j 0.00425938-0.00138135j -0.376613-0.172536j 0.0378546+0.0789742j 0.222741-0.30091j 0.0464639+0.0560866j 0.000475545-0.251138j -0.165247+0.0871316j 0.0997163+0.0364139j -0.0245808+0.033411j 0.0562146+0.0754207j -0.0267968-0.0171126j 0.0148596+0.0497993j -0.0291061+0.0684092j 0.0209355-0.0760215j 0.0417165-0.0585862j -0.0323123-0.0137272j -0.074475+0.152392j 0.152023-0.121132j 0.0408522+0.0432332j -0.108177-0.0510083j 0.195156+0.1922j -0.0521493-0.128584j 0.0383991-0.112063j -0.122177+0.025662j 
-0.0582169-0.000239861j -0.0189803-0.0215941j 0.0311698-0.0356844j -0.0229614-0.143707j -0.00808934-0.0791389j 0.00181006+0.00665027j -0.0159737+0.0710541j 0.0731908+0.0673429j 0.200802+0.000561863j 0.00533553+0.127109j -0.00773314+0.18374j -0.24752-0.0488165j 0.231749-0.12853j -0.032923+0.00255508j -0.0908276+0.202386j 0.096162+0.0380803j -0.192536-0.0705282j -0.0513566+0.109955j 0.089365+0.17875j 0.129695+0.0577388j 0.00996058-0.0677122j 0.144575-0.0740873j -0.0934064-0.0919814j 0.00641197+0.14799j -0.0128933+0.0395986j 0.0209214-0.133197j -0.0215798-0.127951j -0.152077+0.170433j -0.0225127-0.102281j 0.0104839+0.0362669j -0.0743008+0.0404137j 0.165084+0.0964623j 0.0229496+0.123788j 0.0965597+0.0915482j -0.114656+0.0159951j -0.0488496+0.0640725j 
0.00499893+0.0112672j -0.000932634+0.0353249j 0.00317659+0.0432825j -0.0253346+0.0228692j -0.0230207+0.133815j 0.01865-0.0870933j -0.0232895+0.0469567j 0.0232598+0.0371053j -0.00308445+0.0198466j -0.0259249+0.00623041j -0.00889172+0.0166044j -0.00567847-0.00817942j 0.00817263-0.00264247j 0.0874904+0.0395539j -0.0092002-0.0244715j -0.0487841+0.092086j -0.00844705-0.00281429j 0.0167858+0.101391j 0.0673495-0.0599279j -0.0327823+0.0020563j 0.00188234-0.0278181j -0.0233921-0.0292814j -0.0154815+0.0318909j -0.0184111-0.0353561j 0.00669021-0.0021857j 0.0362989+0.0676991j 0.0326308+0.0139457j 0.00497818+0.0684502j -0.256237-0.0340391j 0.198601+0.154297j 0.0588653+0.0278225j 0.0338536-0.144145j -0.0739187+0.295565j 0.197983-0.173246j 0.242027+0.0665112j -0.0439314-0.144697j 
