-0.00386969-0j -0.000644948-0j -0.000394948-0j -8.06184e-05-0j -4.75049e-06-0j -0.00348605-0j -0.000562559-0j -0.000459328-0j -6.62982e-05-0j -5.74159e-05-0j -6.76653e-06-0j -3.08849e-07-0j -0.00224318-0j -0.00226642-0j -0.000354678-0j -0.000358353-0j -0.000280397-0j -0.000186931-0j -0.000283303-0j -4.04719e-05-0j -0.000188869-0j -4.08913e-05-0j -4.67329e-05-0j -1.65226e-05-0j -4.72172e-05-0j -3.89441e-06-0j -1.66938e-05-0j -4.13064e-06-0j -3.93476e-06-0j -4.17345e-06-0j -3.4422e-07-0j -3.47787e-07-0j -1.28283e-08-0j -1.29613e-08-0j 0.578901-0j 0.716353-0j 0.417873-0j -0.000263532-0j -0.000326104-0j -0.000190227-0j -0.000204131-0j -2.94638e-05-0j -0.000186345-0j -0.000252599-0j -0.000147349-0j -3.64595e-05-0j -3.29415e-05-0j -0.00023059-0j -2.12681e-05-0j -2.1961e-05-0j -0.000134511-0j -2.74512e-06-0j -1.90188e-05-0j -4.0763e-05-0j -2.71753e-05-0j -3.88219e-06-0j -3.39692e-06-0j -2.37784e-05-0j -2.35345e-05-0j -1.9411e-06-0j -1.58523e-05-0j -2.2876e-07-0j -1.98153e-06-0j -1.37285e-05-0j -4.80397e-06-0j -2.80173e-07-0j -2.40198e-06-0j -2.80231e-06-0j -2.83076e-07-0j -1.80851e-08-0j -1.40116e-06-0j -3.46696e-07-0j -1.65128e-07-0j -5.69627e-10-0j -2.23792e-08-0j -2.0224e-07-0j -7.04877e-10-0j -1.30545e-08-0j -4.11178e-10-0j 
0.000603293-0j -0.00474098-0j 6.15734e-05-0j -0.00119781-0j -0.000141904-0j 0.000543484-0j -0.00413535-0j 7.16103e-05-0j -0.000985047-0j -0.000422062-0j -0.000151331-0j -1.15443e-05-0j -0.102285-0j -0.103345-0j -0.00260722-0j -0.00263424-0j 4.37146e-05-0j 2.91431e-05-0j 4.41676e-05-0j -0.000601324-0j 2.94451e-05-0j -0.000607555-0j -0.000343531-0j 2.57591e-06-0j -0.000347091-0j -8.70972e-05-0j 2.6026e-06-0j -6.13723e-05-0j -8.79997e-05-0j -6.20083e-05-0j -1.02824e-05-0j -1.03889e-05-0j -5.75803e-07-0j -5.8177e-07-0j 0.000263532-0j 0.000326104-0j 0.000190227-0j 0.566596-0j 0.701127-0j 0.408991-0j 3.18245e-05-0j -0.000437767-0j 2.90517e-05-0j 3.93808e-05-0j 2.29721e-05-0j -0.000541709-0j -0.000242151-0j 3.59496e-05-0j -0.000315997-0j -0.000161434-0j 2.09706e-05-0j -6.13938e-05-0j 2.96507e-06-0j -0.000299647-0j -0.000199765-0j -5.76809e-05-0j -7.5971e-05-0j -0.000174794-0j 3.66909e-06-0j -1.42689e-05-0j -0.000116529-0j -6.83342e-06-0j -4.43164e-05-0j 2.1403e-06-0j -7.13765e-05-0j -6.26598e-06-0j -1.76569e-05-0j -4.16363e-05-0j -8.45593e-06-0j -6.75992e-07-0j -1.02998e-05-0j -7.75375e-06-0j -4.93263e-06-0j -2.9844e-08-0j -8.36497e-07-0j -4.52302e-06-0j -3.693e-08-0j -4.87957e-07-0j -2.15425e-08-0j 
0.000467309-0j 7.78848e-05-0j -0.00916737-0j -0.000930773-0j 5.73676e-07-0j -0.102214-0j 6.79355e-05-0j -0.00530313-0j 8.00627e-06-0j -0.00133271-0j -7.81224e-05-0j 3.7297e-08-0j 0.000270889-0j 0.000273697-0j -0.0103994-0j -0.0105072-0j -0.0032373-0j 2.25741e-05-0j -0.00327085-0j 4.88744e-06-0j 2.28081e-05-0j 4.93809e-06-0j -0.00053955-0j -0.00057627-0j -0.000545142-0j 4.70294e-07-0j -0.000582242-0j -9.58787e-05-0j 4.75168e-07-0j -9.68723e-05-0j -3.97416e-06-0j -4.01535e-06-0j 1.54917e-09-0j 1.56522e-09-0j 0.000204131-0j 0.000252599-0j 0.000147349-0j 3.18245e-05-0j 3.93808e-05-0j 2.29721e-05-0j 0.572224-0j -0.000863902-0j 2.25033e-05-0j 0.708091-0j 0.413053-0j -0.00106902-0j -0.000380323-0j 2.78464e-05-0j -0.000623598-0j 2.65204e-06-0j 1.62438e-05-0j 3.31505e-07-0j -0.000441456-0j -0.000470626-0j 3.28173e-06-0j -4.48215e-05-0j 4.10217e-07-0j -0.000274532-0j -0.000546274-0j -6.7701e-05-0j 1.91434e-06-0j 2.76254e-08-0j 2.39293e-07-0j -0.00031866-0j -5.54638e-05-0j -6.50326e-06-0j -8.37758e-05-0j -3.23539e-05-0j 3.41847e-08-0j -2.088e-07-0j -4.88692e-05-0j -8.04737e-06-0j 1.99411e-08-0j 6.8789e-11-0j -2.58377e-07-0j -4.6943e-06-0j 8.5122e-11-0j -1.5072e-07-0j 4.96545e-11-0j 
-6.74502e-05-0j 0.00107136-0j -6.88411e-06-0j -0.00624679-0j -0.00227195-0j 0.0147533-0j 0.000934498-0j -8.00627e-06-0j -0.00513718-0j 9.53768e-05-0j -0.00160677-0j -0.000247042-0j -3.90995e-05-0j -3.95047e-05-0j -0.143051-0j -0.144534-0j -4.88744e-06-0j -3.25829e-06-0j -4.93809e-06-0j -0.003136-0j -3.29206e-06-0j -0.0031685-0j 7.76305e-05-0j -2.87995e-07-0j 7.8435e-05-0j -0.00092476-0j -2.9098e-07-0j -0.000320066-0j -0.000934343-0j -0.000323383-0j -0.000164626-0j -0.000166332-0j -1.54239e-05-0j -1.55837e-05-0j -2.94638e-05-0j -3.64595e-05-0j -2.12681e-05-0j 0.000437767-0j 0.000541709-0j 0.000315997-0j 0.000863902-0j 0.554318-0j -3.24807e-06-0j 0.00106902-0j 0.000623598-0j 0.685933-0j 5.47209e-05-0j -4.01929e-06-0j 0.400128-0j 3.64806e-05-0j -2.34458e-06-0j -0.000651853-0j -3.31505e-07-0j 6.77137e-05-0j 4.51424e-05-0j -0.000300815-0j -0.000806627-0j 3.94996e-05-0j -4.10217e-07-0j 3.22446e-06-0j 2.63331e-05-0j -0.000109406-0j -0.000470532-0j -2.39293e-07-0j -0.000372239-0j -6.65295e-05-0j 3.99007e-06-0j -0.00021714-0j -0.000135383-0j -1.44659e-05-0j 2.32754e-06-0j -8.2326e-05-0j -7.89735e-05-0j -9.60166e-07-0j -1.79007e-05-0j -4.80235e-05-0j -1.18814e-06-0j -1.0442e-05-0j -6.93084e-07-0j 
-0.082515-0j -0.0102641-0j 4.35389e-05-0j 8.88735e-06-0j 5.23692e-07-0j 0.000384301-0j -0.0119957-0j -0.00731001-0j -0.00105511-0j 6.32951e-06-0j 7.4594e-07-0j 3.40474e-08-0j 0.000247287-0j 0.00024985-0j 3.90995e-05-0j 3.95047e-05-0j -0.00597903-0j -0.00597048-0j -0.00604099-0j -0.000862999-0j -0.00603236-0j -0.000871942-0j -0.000743734-0j 1.82144e-06-0j -0.000751442-0j -6.19779e-05-0j 1.84032e-06-0j 4.5536e-07-0j -6.26201e-05-0j 4.60079e-07-0j 3.79467e-08-0j 3.83399e-08-0j 1.41419e-09-0j 1.42885e-09-0j 0.000186345-0j 0.00023059-0j 0.000134511-0j 2.90517e-05-0j 3.59496e-05-0j 2.09706e-05-0j 2.25033e-05-0j 3.24807e-06-0j 0.573631-0j 2.78464e-05-0j 1.62438e-05-0j 4.01929e-06-0j -0.000702425-0j 0.709832-0j 2.34458e-06-0j -0.000701421-0j 0.414069-0j -5.85354e-05-0j -0.000302676-0j -0.000869207-0j -0.000867964-0j -6.17835e-05-0j -7.24339e-05-0j -0.000507037-0j -0.000374542-0j 2.13986e-07-0j -0.000506313-0j -3.64063e-06-0j -4.22531e-05-0j -0.000218483-0j -7.64531e-05-0j 3.08862e-08-0j 2.64794e-07-0j -4.45977e-05-0j -4.50504e-06-0j 1.99369e-09-0j 1.54463e-07-0j 3.82197e-08-0j -2.62794e-06-0j 6.27954e-11-0j 2.46707e-09-0j 2.22948e-08-0j 7.77054e-11-0j 1.43912e-09-0j 4.53281e-11-0j 
0.0145867-0j 0.000592623-0j 0.00147938-0j -0.0143146-0j 1.7738e-05-0j -6.79355e-05-0j -0.0999865-0j 0.000855788-0j 0.000123131-0j -0.0101406-0j -0.00180851-0j 1.44303e-06-0j -4.37146e-05-0j -4.41676e-05-0j 0.000325903-0j 0.00032928-0j -0.10105-0j -3.64288e-06-0j -0.102097-0j -0.0145391-0j -3.68063e-06-0j -0.0146898-0j -0.00410542-0j 9.29952e-05-0j -0.00414796-0j 1.08871e-05-0j 9.39589e-05-0j -0.00147455-0j 1.1e-05-0j -0.00148983-0j -0.000122881-0j -0.000124154-0j 7.19754e-08-0j 7.27212e-08-0j -3.29415e-05-0j -4.0763e-05-0j -2.37784e-05-0j 0.000242151-0j 0.000299647-0j 0.000174794-0j 0.000380323-0j 5.47209e-05-0j 0.000702425-0j 0.000470626-0j 0.000274532-0j 6.77137e-05-0j 0.559754-0j 0.000869207-0j 3.94996e-05-0j 2.01793e-05-0j 0.000507037-0j -0.00148441-0j 7.12396e-05-0j 0.69266-0j 2.49706e-05-0j -0.000689323-0j -0.00183686-0j 0.404052-0j 8.81545e-05-0j -0.000515135-0j 1.45662e-05-0j 8.54178e-07-0j -0.0010715-0j 5.14235e-05-0j -0.000852994-0j -0.000150548-0j -0.000637447-0j -0.00049758-0j 1.05699e-06-0j -8.07853e-06-0j -0.000371844-0j -0.000186294-0j 6.16578e-07-0j 3.73049e-09-0j -9.99667e-06-0j -0.000108671-0j 4.61625e-09-0j -5.83139e-06-0j 2.69281e-09-0j 
-5.02744e-05-0j -0.114466-0j -5.13111e-06-0j 9.98179e-05-0j 1.18254e-05-0j -4.52903e-05-0j 0.000344612-0j 0.00172895-0j -0.0237829-0j 3.51719e-05-0j 1.26109e-05-0j 9.62022e-07-0j -2.91431e-05-0j -2.94451e-05-0j 0.000217268-0j 0.00021952-0j -3.64288e-06-0j -0.101225-0j -3.68063e-06-0j 5.01103e-05-0j -0.102274-0j 5.06296e-05-0j -0.0082942-0j -2.14659e-07-0j -0.00838015-0j -0.00210287-0j -2.16883e-07-0j 5.11436e-06-0j -0.00212466-0j 5.16736e-06-0j 8.56865e-07-0j 8.65745e-07-0j 4.79836e-08-0j 4.84808e-08-0j -2.1961e-05-0j -2.71753e-05-0j -1.58523e-05-0j 0.000161434-0j 0.000199765-0j 0.000116529-0j -2.65204e-06-0j 3.64806e-05-0j 0.000701421-0j -3.28173e-06-0j -1.91434e-06-0j 4.51424e-05-0j 2.01793e-05-0j 0.000867964-0j 2.63331e-05-0j 0.560724-0j 0.000506313-0j 5.11615e-06-0j 7.15885e-05-0j 2.49706e-05-0j 0.693861-0j -0.00139264-0j 6.33091e-06-0j 1.45662e-05-0j 8.85862e-05-0j 1.18908e-06-0j 0.404752-0j -0.000164986-0j 3.69303e-06-0j 5.16753e-05-0j -0.00172331-0j 5.22165e-07-0j 1.47141e-06-0j -0.00100526-0j -0.000204159-0j 5.63326e-08-0j 8.5832e-07-0j 6.46146e-07-0j -0.000119093-0j 2.487e-09-0j 6.97081e-08-0j 3.76919e-07-0j 3.0775e-09-0j 4.06631e-08-0j 1.79521e-09-0j 
-0.00121556-0j -0.00015025-0j 6.41389e-07-0j 0.00178359-0j -0.0200309-0j 5.66129e-06-0j 0.0253501-0j 7.4594e-07-0j 0.00146677-0j -1.33759e-05-0j -0.0069068-0j -0.00329025-0j 3.64288e-06-0j 3.68063e-06-0j -8.26276e-05-0j -8.34839e-05-0j -8.80794e-05-0j 3.03574e-07-0j -8.89922e-05-0j -0.173194-0j 3.0672e-07-0j -0.174989-0j -1.08871e-05-0j 2.68324e-08-0j -1.1e-05-0j -0.00397513-0j 2.71104e-08-0j 9.13859e-05-0j -0.00401633-0j 9.23329e-05-0j -0.00145144-0j -0.00146648-0j -0.000274764-0j -0.000277612-0j 2.74512e-06-0j 3.39692e-06-0j 1.98153e-06-0j -6.13938e-05-0j -7.5971e-05-0j -4.43164e-05-0j 3.31505e-07-0j 0.000651853-0j -5.85354e-05-0j 4.10217e-07-0j 2.39293e-07-0j 0.000806627-0j 0.00148441-0j -7.24339e-05-0j 0.000470532-0j -5.11615e-06-0j -4.22531e-05-0j 0.541991-0j 3.08862e-08-0j 0.00183686-0j -6.33091e-06-0j 8.58892e-05-0j 0.670679-0j 0.0010715-0j 3.82197e-08-0j -4.52208e-07-0j -3.69303e-06-0j -0.000964589-0j 0.391229-0j 2.22948e-08-0j 0.000106282-0j -0.000285981-0j -5.59579e-07-0j 6.19981e-05-0j -0.00119362-0j -0.000192665-0j -3.26421e-07-0j -0.000353883-0j -0.000696277-0j -2.14181e-05-0j -0.000238411-0j -0.000206432-0j -2.65036e-05-0j -0.000139073-0j -1.54604e-05-0j 
-4.35389e-05-0j 0.00104757-0j -0.0812289-0j 0.000174346-0j -5.34491e-08-0j -3.92226e-05-0j -6.32951e-06-0j -0.143403-0j 0.000107687-0j -0.0118087-0j 1.46334e-05-0j -3.47494e-09-0j -2.52386e-05-0j -2.55002e-05-0j -3.99058e-06-0j -4.03193e-06-0j 0.00060639-0j 0.00060936-0j 0.000612674-0j -4.5536e-07-0j 0.000615675-0j -4.60079e-07-0j -0.0145901-0j -0.010302-0j -0.0147413-0j 6.32559e-06-0j -0.0104087-0j -0.000849548-0j 6.39114e-06-0j -0.000858352-0j 7.44414e-07-0j 7.52129e-07-0j -1.44335e-10-0j -1.45831e-10-0j -1.90188e-05-0j -2.35345e-05-0j -1.37285e-05-0j -2.96507e-06-0j -3.66909e-06-0j -2.1403e-06-0j 0.000441456-0j -3.31505e-07-0j 0.000302676-0j 0.000546274-0j 0.00031866-0j -4.10217e-07-0j 7.12396e-05-0j 0.000374542-0j -2.39293e-07-0j 7.15885e-05-0j 0.000218483-0j -3.08862e-08-0j 0.564691-0j 8.81545e-05-0j 8.85862e-05-0j -0.00121203-0j -3.82197e-08-0j 5.14235e-05-0j 0.698769-0j -0.00121029-0j 5.16753e-05-0j 3.7157e-07-0j -2.22948e-08-0j 0.407615-0j -0.00149981-0j -5.76231e-05-0j -0.00149766-0j -0.000874889-0j 4.59794e-07-0j 3.9111e-08-0j -0.000873633-0j -7.13049e-05-0j 2.68213e-07-0j -6.40903e-12-0j 4.83974e-08-0j -4.15946e-05-0j -7.93077e-12-0j 2.82318e-08-0j -4.62628e-12-0j 
8.88735e-06-0j 0.0203789-0j -0.000174346-0j -0.0786913-0j 0.000299356-0j 8.00627e-06-0j -0.000123131-0j 0.0145599-0j -0.0977172-0j 0.0024155-0j -0.0202406-0j 3.25506e-05-0j 5.15181e-06-0j 5.2052e-06-0j -7.76305e-05-0j -7.8435e-05-0j -6.15675e-05-0j -0.000124385-0j -6.22055e-05-0j 0.000413204-0j -0.000125674-0j 0.000417486-0j -0.141176-0j -1.09596e-05-0j -0.142639-0j -0.0175904-0j -1.10732e-05-0j -0.00810597-0j -0.0177727-0j -0.00818997-0j -0.0020738-0j -0.00209529-0j 2.03228e-06-0j 2.05334e-06-0j 3.88219e-06-0j 4.80397e-06-0j 2.80231e-06-0j -5.76809e-05-0j -7.13765e-05-0j -4.16363e-05-0j -4.48215e-05-0j 0.000300815-0j -6.17835e-05-0j -5.54638e-05-0j -3.23539e-05-0j 0.000372239-0j 0.000689323-0j -7.64531e-05-0j 0.00021714-0j 0.00139264-0j -4.45977e-05-0j 8.58892e-05-0j 0.00121203-0j 0.000852994-0j 0.00172331-0j 0.54705-0j 0.000106282-0j 0.00049758-0j 0.00149981-0j 0.000122706-0j 0.00100526-0j -0.00208108-0j 6.19981e-05-0j 0.000874889-0j 0.676939-0j -0.00168492-0j 0.000151841-0j 0.394881-0j -0.0025752-0j -0.000182228-0j 8.85739e-05-0j -0.00208498-0j -0.0015022-0j 1.26513e-07-0j -0.000225496-0j -0.00121624-0j 1.56552e-07-0j -0.000131539-0j 9.13219e-08-0j 
4.44367e-06-0j -3.49206e-05-0j 0.0251331-0j 0.00254814-0j -1.04522e-06-0j 4.00314e-06-0j -3.04597e-05-0j -0.000152338-0j -7.25556e-06-0j -0.172278-0j 0.000321931-0j -8.50316e-08-0j 2.57591e-06-0j 2.6026e-06-0j -1.9204e-05-0j -1.9403e-05-0j -9.29952e-05-0j 2.14659e-07-0j -9.39589e-05-0j -4.42917e-06-0j 2.16883e-07-0j -4.47507e-06-0j 0.000730803-0j -0.0994642-0j 0.000738376-0j -6.41531e-07-0j -0.100495-0j -0.0250511-0j -6.48179e-07-0j -0.0253107-0j 2.1874e-05-0j 2.21007e-05-0j -4.24119e-09-0j -4.28514e-09-0j 1.9411e-06-0j 2.40198e-06-0j 1.40116e-06-0j -1.42689e-05-0j -1.76569e-05-0j -1.02998e-05-0j -6.7701e-05-0j -3.22446e-06-0j 2.13986e-07-0j -8.37758e-05-0j -4.88692e-05-0j -3.99007e-06-0j 0.000515135-0j 2.64794e-07-0j -2.32754e-06-0j -1.18908e-06-0j 1.54463e-07-0j -4.52208e-07-0j 0.00121029-0j 0.000637447-0j -1.47141e-06-0j 0.000122706-0j -5.59579e-07-0j 0.000371844-0j 0.00149766-0j 0.550969-0j -8.5832e-07-0j -5.03329e-08-0j -3.26421e-07-0j 0.000873633-0j 0.000151841-0j -0.00255766-0j 0.681789-0j 8.85739e-05-0j -6.22838e-08-0j 1.43805e-06-0j 0.397711-0j -0.00316494-0j -3.63322e-08-0j -2.19821e-10-0j 1.7795e-06-0j -0.00184622-0j -2.72015e-10-0j 1.03804e-06-0j -1.58676e-10-0j 
