-0.00322746-0j -0.000520828-0j -0.000425255-0j -6.13802e-05-0j -5.31568e-05-0j -6.26459e-06-0j -2.85938e-07-0j -0.00296745-0j -0.000469194-0j -0.000370931-0j -0.000247287-0j -5.35392e-05-0j -6.18218e-05-0j -2.18573e-05-0j -5.15181e-06-0j -5.46432e-06-0j -4.5536e-07-0j -1.69703e-08-0j -0.00193656-0j -0.00195662-0j -0.000301914-0j -0.000305042-0j -0.000233861-0j -0.000236285-0j -3.3755e-05-0j -0.000213485-0j -3.41048e-05-0j -0.000215698-0j -3.77392e-05-0j -2.51595e-05-0j -3.81303e-05-0j -3.14493e-06-0j -2.17887e-05-0j -2.54202e-05-0j -3.17752e-06-0j -2.20145e-05-0j -4.44761e-06-0j -2.2238e-06-0j -4.4937e-06-0j -2.62078e-07-0j -3.20978e-07-0j -2.24685e-06-0j -2.64794e-07-0j -3.24305e-07-0j -2.07191e-08-0j -2.09338e-08-0j -6.52589e-10-0j -6.59352e-10-0j 
0.000498007-0j -0.00378932-0j 6.56182e-05-0j -0.000902622-0j -0.000386746-0j -0.000138669-0j -1.05783e-05-0j 0.000457887-0j -0.00341365-0j 5.72358e-05-0j 3.81572e-05-0j -0.000787317-0j -0.000449788-0j 3.37265e-06-0j -0.000114037-0j -8.03552e-05-0j -1.34628e-05-0j -7.53903e-07-0j -0.102336-0j -0.103397-0j -0.00219659-0j -0.00221935-0j 3.60856e-05-0j 3.64595e-05-0j -0.000496381-0j 3.29415e-05-0j -0.000501525-0j 3.32829e-05-0j -0.000274574-0j -0.000183049-0j -0.000277419-0j -6.9614e-05-0j 3.36208e-06-0j -0.000184946-0j -7.03354e-05-0j 3.39692e-06-0j -6.5404e-05-0j -1.61794e-05-0j -6.60818e-05-0j -7.74837e-06-0j -7.10495e-06-0j -1.63471e-05-0j -7.82867e-06-0j -7.17858e-06-0j -7.66503e-07-0j -7.74446e-07-0j -3.38399e-08-0j -3.41905e-08-0j 
0.000380359-0j 6.13802e-05-0j -0.00479142-0j 7.23373e-06-0j -0.00120412-0j -7.05842e-05-0j 3.36981e-08-0j -0.102285-0j 5.52951e-05-0j -0.00417934-0j 2.91431e-05-0j 6.30966e-06-0j -0.000696556-0j -0.000743961-0j 6.07147e-07-0j -0.000123779-0j -5.13062e-06-0j 1.99997e-09-0j 0.000228225-0j 0.00023059-0j -0.0104067-0j -0.0105145-0j -0.00263495-0j -0.00266226-0j 3.97806e-06-0j 2.51595e-05-0j 4.01929e-06-0j 2.54202e-05-0j -0.000425214-0j 2.96507e-06-0j -0.00042962-0j 3.70634e-07-0j -0.000493563-0j 2.9958e-06-0j 3.74475e-07-0j -0.000498677-0j -5.01119e-05-0j -7.56921e-05-0j -5.06313e-05-0j 3.08862e-08-0j -7.27086e-06-0j -7.64765e-05-0j 3.12062e-08-0j -7.34621e-06-0j -2.33445e-07-0j -2.35864e-07-0j 7.69084e-11-0j 7.77054e-11-0j 
-5.49001e-05-0j 0.000844326-0j -7.23373e-06-0j -0.00464148-0j 8.61737e-05-0j -0.00145173-0j -0.000223204-0j 0.0147636-0j 0.000760621-0j -6.30966e-06-0j -4.20644e-06-0j -0.00404855-0j 0.000100221-0j -3.718e-07-0j -0.00119386-0j -0.000413204-0j -0.000212531-0j -1.99121e-05-0j -3.29415e-05-0j -3.32829e-05-0j -0.143151-0j -0.144635-0j -3.97806e-06-0j -4.01929e-06-0j -0.0025525-0j -3.63146e-06-0j -0.00257895-0j -3.66909e-06-0j 6.11798e-05-0j 4.07865e-05-0j 6.18138e-05-0j -0.000728794-0j -3.70634e-07-0j 4.12092e-05-0j -0.000736346-0j -3.74475e-07-0j -0.000336321-0j 3.60506e-06-0j -0.000339807-0j -0.00012232-0j -7.43822e-05-0j 3.64241e-06-0j -0.000123587-0j -7.5153e-05-0j -1.61734e-05-0j -1.6341e-05-0j -1.0735e-06-0j -1.08462e-06-0j 
-0.0826014-0j 5.49001e-05-0j -0.00647121-0j -0.000934039-0j 5.60322e-06-0j 6.60346e-07-0j 3.01405e-08-0j 0.000312796-0j -0.0120082-0j 3.90995e-05-0j -0.00755213-0j 5.64353e-06-0j -0.000940758-0j 2.30396e-06-0j -7.83965e-05-0j 5.7599e-07-0j 4.79992e-08-0j 1.78882e-09-0j 0.000204131-0j 0.000206246-0j 3.18245e-05-0j 3.21543e-05-0j -0.00598529-0j -0.00604732-0j -0.000863902-0j -0.00324866-0j -0.000872855-0j -0.00328232-0j 3.97806e-06-0j -0.000768368-0j 4.01929e-06-0j 3.31505e-07-0j -0.000331565-0j -0.000776331-0j 3.34941e-07-0j -0.000335001-0j -6.76804e-05-0j 2.3441e-07-0j -6.83818e-05-0j -3.98811e-06-0j 3.38341e-08-0j 2.36839e-07-0j -4.02943e-06-0j 3.41847e-08-0j 2.18398e-09-0j 2.20661e-09-0j 6.8789e-11-0j 6.95018e-11-0j 
0.000232922-0j -0.0145786-0j 3.06901e-05-0j 4.42974e-06-0j 3.83626e-06-0j 4.52108e-07-0j 2.06358e-08-0j 0.000214157-0j 3.38612e-05-0j -0.0103828-0j 1.78464e-05-0j -0.00149862-0j 4.4616e-06-0j 1.57741e-06-0j 3.718e-07-0j 3.94354e-07-0j 3.28628e-08-0j 1.22472e-09-0j 0.000139759-0j 0.000141207-0j 2.17887e-05-0j 2.20145e-05-0j 1.68775e-05-0j 1.70524e-05-0j 2.43606e-06-0j -0.00597568-0j 2.4613e-06-0j -0.00603761-0j -0.00105636-0j 1.81573e-06-0j -0.00106731-0j -8.80301e-05-0j 1.57247e-06-0j 1.83454e-06-0j -8.89424e-05-0j 1.58876e-06-0j 3.20978e-07-0j 1.60489e-07-0j 3.24305e-07-0j 1.89138e-08-0j 2.31646e-08-0j 1.62152e-07-0j 1.91098e-08-0j 2.34047e-08-0j 1.49527e-09-0j 1.51077e-09-0j 4.70966e-11-0j 4.75846e-11-0j 
0.014602-0j 0.000457604-0j 0.000757589-0j 0.000109002-0j -0.00897698-0j -0.00160099-0j 1.27745e-06-0j -5.52951e-05-0j -0.100091-0j 0.000660811-0j -4.60792e-06-0j 9.50776e-05-0j -0.00519299-0j 0.000117631-0j 1.37713e-05-0j -0.00186517-0j -0.000155434-0j 9.10424e-08-0j -3.60856e-05-0j -3.64595e-05-0j 0.000265264-0j 0.000268013-0j -0.101156-0j -0.102204-0j -0.0145543-0j -3.97806e-06-0j -0.0147051-0j -4.01929e-06-0j -0.00317007-0j 2.21053e-05-0j -0.00320292-0j 8.40669e-06-0j 7.80391e-05-0j 2.23344e-05-0j 8.49381e-06-0j 7.88478e-05-0j -0.000755116-0j -0.000564302-0j -0.000762941-0j 9.35705e-07-0j -0.000164917-0j -0.00057015-0j 9.45402e-07-0j -0.000166626-0j -8.84959e-06-0j -8.9413e-06-0j 4.08655e-09-0j 4.1289e-09-0j 
-0.00121683-0j -0.000116018-0j 6.60346e-07-0j 0.00129847-0j -1.18411e-05-0j -0.00611427-0j -0.0029127-0j 4.60792e-06-0j 0.0253766-0j 5.7599e-07-0j 3.83994e-07-0j 0.00113259-0j -1.37713e-05-0j 3.39406e-08-0j -0.00502819-0j 0.000115595-0j -0.00183594-0j -0.000347552-0j 3.00713e-06-0j 3.03829e-06-0j -6.72535e-05-0j -6.79505e-05-0j -8.81717e-05-0j -8.90854e-05-0j -0.173376-0j 3.31505e-07-0j -0.175172-0j 3.34941e-07-0j -8.40669e-06-0j -5.60446e-06-0j -8.49381e-06-0j -0.00306947-0j 3.38341e-08-0j -5.66254e-06-0j -0.00310128-0j 3.41847e-08-0j 9.40869e-05-0j -4.95369e-07-0j 9.50619e-05-0j -0.00105665-0j -0.000313276-0j -5.00503e-07-0j -0.0010676-0j -0.000316523-0j -0.000211054-0j -0.000213241-0j -2.34624e-05-0j -2.37055e-05-0j 
-5.49001e-05-0j -0.0808013-0j 0.00104429-0j -0.0143649-0j 4.26347e-05-0j 1.52868e-05-0j 1.16615e-06-0j -5.04773e-05-0j 0.00037632-0j 0.00122046-0j 0.00121872-0j -0.0167883-0j -0.00715819-0j -3.718e-07-0j -0.00181485-0j 8.85833e-06-0j 1.48413e-06-0j 8.311e-08-0j -3.29415e-05-0j -3.32829e-05-0j 0.000242151-0j 0.000244661-0j -3.97806e-06-0j -4.01929e-06-0j 5.47209e-05-0j -0.101405-0j 5.5288e-05-0j -0.102455-0j -0.00585486-0j -0.00584649-0j -0.00591553-0j -0.00148441-0j 5.35061e-05-0j -0.00590708-0j -0.00149979-0j 5.40605e-05-0j -0.00104088-0j 1.78361e-06-0j -0.00105166-0j -0.000123312-0j 7.83247e-07-0j 1.8021e-06-0j -0.00012459-0j 7.91364e-07-0j 8.4499e-08-0j 8.53746e-08-0j 3.73049e-09-0j 3.76915e-09-0j 
-3.36193e-05-0j 0.0010494-0j 0.00085144-0j -6.39377e-07-0j -0.0101218-0j 1.25429e-05-0j -2.97852e-09-0j -3.09109e-05-0j -4.88744e-06-0j -0.143654-0j -2.57591e-06-0j 0.000107875-0j 0.000123779-0j -0.0126173-0j -5.36647e-08-0j -0.00104048-0j 9.11718e-07-0j -1.76774e-10-0j -2.01725e-05-0j -2.03815e-05-0j -3.14493e-06-0j -3.17752e-06-0j 0.000468235-0j 0.000473087-0j -3.51614e-07-0j 0.000430146-0j -3.55258e-07-0j 0.000434603-0j -0.0146156-0j -2.62078e-07-0j -0.0147671-0j 6.33665e-06-0j -0.00414886-0j -2.64794e-07-0j 6.40231e-06-0j -0.00419186-0j 8.90495e-06-0j -0.00128371-0j 8.99724e-06-0j -2.72998e-09-0j -6.11185e-05-0j -0.00129701-0j -2.75827e-09-0j -6.17519e-05-0j 4.14835e-08-0j 4.19134e-08-0j -6.79781e-12-0j -6.86825e-12-0j 
-3.16966e-05-0j -5.11502e-06-0j -0.115684-0j 0.000174651-0j 0.000100343-0j 5.88202e-06-0j -2.80818e-09-0j -2.91431e-05-0j -4.60792e-06-0j 0.000348278-0j -0.101225-0j -5.25805e-07-0j -0.0168176-0j 6.19968e-05-0j 1.46589e-05-0j 1.03149e-05-0j 4.27552e-07-0j -1.66664e-10-0j -1.90188e-05-0j -1.92159e-05-0j -2.96507e-06-0j -2.9958e-06-0j 0.00021958-0j 0.000221855-0j -3.31505e-07-0j 0.000607449-0j -3.34941e-07-0j 0.000613743-0j 3.54345e-05-0j -0.0102989-0j 3.58017e-05-0j -3.08862e-08-0j -0.0119165-0j -0.0104056-0j -3.12062e-08-0j -0.01204-0j -0.0012099-0j 6.30767e-06-0j -0.00122244-0j 7.45713e-07-0j 6.05905e-07-0j 6.37304e-06-0j 7.53441e-07-0j 6.12184e-07-0j 1.94538e-08-0j 1.96554e-08-0j -6.40903e-12-0j -6.47545e-12-0j 
