0.00725717-0.0250729j 0.00838309+0.0359429j 0.00644839+0.0211535j -0.00541109+0.00832667j -0.00287127-0.00753865j -0.00668359-0.0183769j -0.00699277+0.0026362j 0.00403784+0.0107937j -0.0050017-0.00937803j 0.000952206+0.0120984j 0.000190181+0.0018761j -0.00453935-0.0123539j 0.00717628-0.006217j -0.00231572+0.00158625j -0.00464849-0.0103443j -0.00303204-0.0114275j 0.000312662+0.00887002j 0.00241915-0.00517576j 0.00356465+0.00124261j -0.00250505-0.0026692j -0.00217516-0.00576948j 0.000484052-0.00110756j 0.00121948-0.000365341j 0.00114688-0.00345512j 0.0028415+0.0106537j 0.00618748+0.000644396j 0.00428175+0.00410571j -0.00128209-0.00141j 0.000464701-0.00641697j -0.000932514-0.000640418j -0.00341455-0.000986016j 0.00733665+0.00642112j 0.00378469+0.000330177j 0.00489288+0.00162542j 0.00580271-0.00425303j 0.00332357-0.00122757j 0.00196123+0.00122715j 0.00535795-0.00204462j 0.00396092-0.00168077j 0.00199476+6.08379e-05j 0.00412896+0.00846185j 0.00264659+0.000884075j -0.000461433-0.000768751j 0.0106593+0.00560757j -0.0031502-0.0121353j -0.00440895-0.00946891j 0.00243394+0.000977802j 0.00298245+0.00338431j 0.000714814-0.00606949j 0.000353068+0.00324754j -0.0162027-0.0054259j -0.00915503-0.00505866j -0.013847-0.0135036j 0.00615647+0.00728067j 9.32719e-05-0.0143927j -0.00178214-0.0337488j 0.037575+0.0183944j 0.0208004+0.048087j 0.0290638-0.0294347j 0.0314548+0.0311201j 0.00287668+0.0465956j -0.00316699+0.0153474j -0.0123204+0.000197285j 0.00473186-0.0355194j -0.00387029-0.0280737j 0.00467145-0.00406225j 0.00393154-0.0423511j 0.0347106+0.0192807j 0.0109827-0.402536j 
-0.00837589-0.0349837j 0.00669416-0.0376087j 0.00629095-0.01236j 0.00606861+0.0201184j -0.00164916+0.00293607j -0.0061248+0.00247877j 0.00963398+0.0213111j 0.00278523-0.0016748j 0.00131412-0.00186826j 6.51729e-05-0.00400193j -0.00848768-0.0262632j 0.00406889-0.00256756j 0.000882252-0.00119907j 0.0133694+0.00231969j 0.00266759-0.00224251j 0.00144151+0.010547j -0.00291883-0.00571783j -0.00528255-0.00240402j 0.00210673+0.0111043j -0.000767378-0.000454823j -0.00149512-0.0023271j -0.00757408+0.000634228j 0.00234944+0.00591269j 0.00538538-0.000850087j -0.00239023-0.00621427j 0.00161278+0.00447307j 0.00548755+0.0131274j 0.00384386-0.000435572j 0.0018786+0.00740418j -0.000274484+0.00238994j 0.003141+0.00130921j -0.000636219+0.00530502j 0.00433815+0.000435386j -0.000345963+0.00225418j -0.00103413+0.00575827j 0.00970156-0.000417854j -0.00780848-0.000790881j 0.00392018+0.0088611j 0.000486759+0.00126898j 0.0027263+0.00234144j -0.000965447+0.00533132j 0.00603321+0.00186969j -0.0013307-0.0083713j 6.17205e-05+0.00319391j 0.00579351-0.000801024j 0.0121968+0.00281967j 0.00179082+0.00961702j -0.00547772-0.00148159j 0.00425534+0.00299525j -0.00923431-0.00313688j -0.0048097-0.0195268j -0.0020108-0.00540025j 0.00328875-0.00660852j 0.00316697+0.00945716j 0.0131835+0.013486j 0.0357638+0.00984094j -0.00143282+0.0347923j -0.0305602+0.00701985j 0.0322902+0.0610688j -0.00820336+0.0456293j -0.0276642-0.00866023j -0.0068503-0.015194j 0.00046915-0.0460343j 0.00875629+0.011049j 0.00618585-0.0173793j -0.00167251+0.0363055j 0.00126846-0.00982958j 0.0111726-0.402003j -0.0359984-0.0178255j 
0.00680045+0.0282607j -0.00187027+0.0322724j 0.00014573-0.0231937j 0.00573047-0.000667518j -0.00941266-0.00718948j 0.00268461-0.00431175j 0.00331946-0.0166782j 0.00578954-0.0203863j 0.00761285+0.00178585j 0.0110848+0.0157208j -0.00187922+0.0219055j -0.00535094-0.00814003j 0.00148415-0.000925194j 0.000439456+0.00286202j 0.0027611+0.00575738j -0.00551028+0.00352355j 0.00511202+0.00185282j -0.00136964+0.00845778j -0.00264749-0.0124691j 0.001703-0.0021634j -0.00242235-0.00601701j -0.00698153-0.000233991j 0.00211459-0.0077708j -0.00322029-0.00683663j 0.00778034+0.00865914j 0.00198458+0.00785521j -0.00453413-0.0105661j -0.00177795+0.00295494j -0.00499151-0.00460411j -0.00280732+0.00352749j -0.000207428+0.00182878j -0.00525767-0.0116954j -0.00707249-0.00931229j -0.0103762-0.0127046j -0.00728389+0.0114523j -1.04506e-05-0.00751275j -0.00417117+0.00496154j -0.00621253-0.00355087j 0.00078847+0.00504518j -0.00467563-0.00213877j -0.00178102-0.00736801j 0.000259184-0.00516356j 0.0134957+0.0204596j -0.00502894-0.0204267j 0.00301253+0.00395325j -0.00399435-0.000647503j 0.00949967-0.00604231j 0.0206701+0.017813j -0.00144454+0.0124103j -0.0302029-0.0479739j 0.0173586+0.0219018j -0.00548495+0.00638432j 0.00538569+0.0126902j -0.00282808-0.0348344j -0.0160268+0.0315104j 0.0229067+0.0126245j 0.0309231+0.011893j 0.0173951+0.0389161j 0.0332983-0.0489807j 0.0262377+0.0603819j -0.0141661-0.00299186j -0.00122271-0.0341112j -0.0151699+0.0330204j 0.00479246+0.00723766j 0.00273096-0.0368964j 0.0294272+0.036182j -0.0186956+0.387678j 0.0242856+0.00106789j -0.000472456-0.088667j 
-0.0016063+0.0295778j -0.00704997-0.028326j 0.00261094-0.00117164j -0.00509282+0.0227572j 0.00410211-0.0179933j 0.0075804+0.0308553j -0.0011225+0.0152691j 0.00475173+0.0153278j 0.00760895+0.0366426j -0.000249441+0.00224408j 0.00246218-0.0011804j 0.0013783+0.0139245j -0.00297373+0.00261016j -0.000417427+0.00950672j 0.000328812+0.00430821j -0.00369311-0.0129395j -0.00121479-0.00332958j -0.00675825-0.01658j 0.000995663+0.0134187j -0.00718056-0.0081804j 0.00601665+0.00299902j 0.00828126+0.00599615j -0.00156514-0.0068018j -0.00271312-0.00116766j 0.00351989-0.00562564j 0.00567585+0.00703629j 0.00416826+0.0128844j -0.00220643-0.0107359j 0.00280471+0.00139039j -0.00792113-0.0108439j 0.00591962+0.0057852j -0.00227688+0.00169769j -0.00183799+0.00281913j -0.00446426+0.00819569j 0.0129409-0.00611797j -0.010896+0.00149616j 0.00148832+0.000374691j -0.00527628+0.00342146j 0.00167813+0.00212079j -0.00126342+0.000301796j -0.0128342-0.00895791j 0.00629999+0.00915296j 0.0113795-0.0128749j -0.0024335+0.00929792j 0.00162957+0.00432797j 0.0051644+0.021488j -0.0132448-0.0280657j 0.019067-0.00902693j 0.0235113+0.0268589j -0.0299503+0.0138797j -0.00101862-0.032037j 0.0109121+0.0222992j 0.00661638-0.013764j -0.0310376-0.0223533j 0.0166799+0.0545084j -0.0146968-0.0305007j 0.0153864-0.0321387j 0.0387555-0.019526j -0.0330618-0.0295759j 0.0323285-0.0336616j 0.018027+0.0416094j 0.00110787-0.0268078j 0.00320859-0.0064245j -0.00514116-0.00423j -0.0117046+0.034702j -0.0102779+0.382857j -0.0378887-0.038241j -0.000926902+0.080403j 0.0277772+0.00564589j 
-0.00569133-0.0127551j 0.00311673-0.0252102j 0.000195716+0.00684487j 0.00242797-0.0240305j -0.00251768+0.0290803j -0.00867227-0.0159838j 0.00206922+0.0170123j 0.00372826-0.0141808j -0.000773289-0.00991514j -0.00280068-0.0178914j 0.000645782-0.0161465j 0.000715518+0.00227657j -0.00109727+0.00576698j 0.00598433+0.0134661j 0.00162758+0.00931775j -0.002555+0.0187339j 0.00433983-0.0018994j -0.0043966-0.00232929j 0.0060173-0.0134213j -0.00140728+0.0213376j -0.000560838-0.00440642j -0.00814967-0.0165594j 0.00309236+0.0146364j 0.00517703+0.00350018j -0.00358111-0.00106537j 0.00213041+0.00413712j 0.0104088+0.00822509j -0.000144864+0.00841261j 0.00223662+0.0109492j -0.00278356+0.00424395j 0.00818038+0.011236j -0.00181132-0.00405657j 0.00573566+0.00122898j 0.00806628-0.0130888j -0.0177079+0.0148167j 0.0298283-0.00224658j -0.0154606-0.0160646j -0.00497367-0.00580977j -0.00974168-0.0114027j 0.0108751+0.0176954j 0.0071576+0.0172978j 0.00470857+0.00174601j 0.00410744-0.00682022j 0.0146356+0.0231283j 0.0181395+0.0140691j 0.0230503+0.0102993j 0.00514029+0.0346035j 0.00856504+0.0176634j 0.0179701+0.00817308j -0.0106226-0.0428129j -0.0191864+0.00224851j -0.00871468-0.0280321j -0.00189819-0.00809122j 0.00223514+0.0659652j 0.0469636+0.0347993j 0.00585357-0.0160244j 0.00300703-0.0349781j -0.0189109-0.0479512j 0.00957092+0.00326933j 0.00755171-0.0233339j -0.00539161-0.0384313j -0.017322+0.0416443j 0.00328529-0.0148171j -0.00563094-0.0252708j 0.0151318-0.373528j -0.0210623+0.0206087j -0.00708728-0.0202136j 0.0110235+0.0596412j -0.0148431+0.114121j 
-0.000130276+0.0388467j -0.00676967+0.0285497j -0.00635986+0.0225388j -0.0040835-0.0431968j 0.0103531+0.0239517j -0.000294766+0.0376981j 0.00600597-0.0116975j -0.00769515-0.000128941j -0.00362991-0.00917121j 0.00186954+0.00487654j -0.005092+0.0233764j -6.88995e-05+0.0182603j -0.0124841-0.0117199j -0.00112579-0.0125224j -0.00190689-0.00180135j 0.00401533-0.0088143j -0.00198991-0.00565892j -0.0110463-0.00937303j 0.00391366-0.0113046j 0.0141994+0.0322664j -0.00150311+0.00780184j 0.00325026+0.000426165j -0.00485476+2.20947e-05j -0.00494097+0.00917847j 0.00490467+0.00143457j -0.0118797-0.0164746j 0.00287623-0.00728658j 0.00386094-0.00305489j -0.00568488-0.00465152j 0.00336255+0.00341866j 0.00126863-0.00332823j 0.00874681+0.00688676j 0.00235754+0.0077212j 0.000371025+0.006112j -0.00652811-0.011394j -0.0217407+0.000153548j -0.00111387-0.0060428j -0.00365695-0.0173163j 0.000454789-0.000879714j 0.00475783+0.00789668j -0.0133387-0.00488136j -0.013299-0.0264881j 0.0121981+0.023377j -0.0115545+0.00534038j 0.00306152+0.0420371j 0.0186263+0.023697j -0.0386768-0.00849351j -0.00668865+0.00500811j 0.0157105+0.00380902j 0.0189759+0.0697072j -0.00780025+0.0408492j 0.0174624-0.032786j -0.00722614+0.024039j -0.0206762-0.00240191j 0.0235982+0.00893875j -0.00487292-0.0387376j -0.0279976+0.0339186j -0.0140317-0.0351959j -0.0204769-0.0529472j -0.0271514+0.0129081j 0.0051352+0.0170125j 0.000295655+0.0530969j -0.00402389-0.0186681j -0.0140157+0.370892j -0.0174797-0.0338987j -0.0259956-0.000637167j -0.00138096-0.0379717j -0.0245676+0.0551333j -0.0049227-0.109153j 
-0.00343792+0.0433498j -0.00417209-0.0331906j 0.00268679-0.0396375j 0.00388894+0.0235559j -0.000475958+0.0116758j -0.00464416+0.0131101j 0.000691783+0.0352975j -0.00596877-0.0189146j 0.00313018+0.044135j 0.000714197+0.0206987j 0.00191302-0.00589983j -0.00341674+0.0226355j -0.0040942-0.00881904j 0.00951607+0.0312271j 0.0066163+0.021605j 0.0104333+0.0115278j 0.0012675-0.00155755j 0.000143405-0.0127059j -0.00616475+0.0230771j 0.00605643+0.00071484j -0.00304469+0.00927077j -0.000978082-0.00855928j -0.00617229+0.00205121j 0.000302464-0.000310279j -0.00420815-0.000520877j -0.0029537+0.0117648j 0.0150865+0.0254067j -0.00246638-0.0134742j -0.00415678+0.0131216j 0.0110827+0.00481214j -0.00529286+0.0240754j 0.00720705+0.000922507j -0.00383818-0.0135j -0.000980647+0.00437457j 0.00700051-0.00461659j -0.0119862+0.0154654j -0.0105585-0.0107758j 0.0108057+0.00848652j 0.00105007-0.0185489j 0.00911455+0.00730009j 0.00512131+0.0043761j -0.0102963+0.0208571j 0.00337074-0.0289979j -0.0209693-0.00425814j 0.023482+0.0238224j -0.000729392+0.00726649j 0.0231226+0.0454821j -0.01254-0.00610179j -0.020456+0.0190712j 0.038335-0.0142495j 0.0245579+0.00684502j -0.00840865+0.0407012j 0.0168776+0.0734664j 0.00540592-0.0405436j -0.0323601-0.0353171j 0.0142532-0.0289642j 0.0010349-0.0217949j -0.010348+0.0179586j 0.0223563-0.0300671j -0.0162029-0.046092j -0.0191706+0.00839188j 0.0148687+0.0303251j 0.0125639-0.357729j -0.0204023-0.0216705j -0.0045498+0.0164587j 0.0233948-0.0392131j 0.0172711+0.0828117j -0.00255612+0.139746j -0.0144568+0.00407725j 
0.00455403+0.030483j -0.00193888+0.0311655j -0.00449333-0.0619542j 0.0074301+0.0205068j -0.00350211-0.0262283j 0.000560425-0.00499467j -0.000571037+0.000890297j -0.0073662+0.00254785j -0.00052917+0.0104949j 0.00664171+0.0377156j -0.000124193+0.0111181j -0.0011329-0.00276913j 0.000416498-0.00412005j -0.00230819-0.00682507j 0.0031541+0.0214207j -0.00152008-0.00339251j 0.00733061+0.0108039j 0.00628315+0.0183264j 0.00179449+0.0198163j 0.00234897-0.0256536j -0.00176091+0.00447043j -0.00448318+0.00189087j 0.00101992-0.00267299j -0.00179698+0.000441953j 0.00251756+0.00388991j -0.00979805-0.0127588j -0.0132732-0.0227926j -0.00233855-0.0132895j -0.00769656-0.0130212j 0.00168311+0.010659j -0.0018177-0.00632216j -0.00268517-0.00279319j -0.00506554-0.0217956j -0.00395833-0.00684884j 0.0229767-0.00103302j -0.0223742-0.00183207j -0.00765002+0.00736174j -0.00536521+0.0147364j -0.00263725-0.000206837j 0.007592-0.0199415j -0.00217737-0.0140891j -0.0100846+0.0130283j 0.0244942+0.0185858j -0.00569451-0.0635848j 0.0205588+0.0121319j -0.00897103-0.0543533j 0.0044503+0.0386865j 0.0205595-0.0132503j -0.0191053-0.066243j 0.00825612+0.0304616j -0.00794329-0.013697j -0.0377682-0.0233224j -0.0249579+0.0394559j 0.0422508-0.0104231j 0.0249732-0.0175226j -0.0236104+0.00864985j -0.000887837+0.0114685j -0.0162597+0.0121237j 0.0031992-0.0104843j -0.00737854-0.0193279j 0.0184738+0.0224137j 0.00354915-0.326015j -0.0218844-0.0420142j -0.0179652+0.0390459j 0.0267996-0.0279028j -0.00176542-0.104877j 0.0148187-0.060787j 0.000911006+0.0614886j 0.0036147-0.0458273j 
-0.000725762-0.0217643j 0.00179326-0.0194912j 0.00782182-0.0207191j -0.000731247+0.0644398j 0.00295021-0.0151758j 0.00238528+0.0225854j 0.00266799+0.0439653j -0.00107101-0.00508936j 0.00340412-0.000332129j 0.00631517+0.0491441j -0.00317144-0.0422518j 0.00186927+0.010555j 0.00733574-0.00781141j 0.00461835+0.047666j -0.0018403-0.0160826j 0.000494059-0.00383723j -0.0069928-0.0169093j -0.00438533-0.0286877j -0.00431748+0.00841253j 0.00163918+0.00522888j 0.00552157-0.00376991j 0.0122431-0.00205107j -0.000405363-0.0111498j 0.00142502-0.00104438j 0.0090561+0.0153362j 0.00276975+0.015903j -6.44503e-06+0.0359842j 0.00191695-0.00211767j 0.00299726-0.0104416j -0.0103099-0.00180863j -0.0046495-0.00439799j 0.00792816+0.0138003j 0.00434529+0.00982689j 0.00182716+0.000714288j 0.0119903-0.00410726j 0.0018466-0.0105505j 0.00399441-0.0216084j 0.0119818+0.0041638j 0.0186183-0.0165333j -0.0241565-0.050212j -0.0209567+0.0110921j 0.00384153+0.0101789j 0.00628533+0.00769479j -0.0229526-0.0259882j -0.0238925-0.0263408j -0.0121696+0.0417364j -0.0123275+0.013876j -0.00397662+0.0326026j 0.00353479+0.0120156j -0.020058-0.0205628j -0.0126518+0.0322613j 0.000969883+0.025078j -0.0117058+0.0239866j -0.00364887-0.00198105j 0.00838543-0.0447775j -0.0013547+0.0816917j 0.0131003-0.00408128j 0.00951283-0.117592j -0.00494738+0.0664474j -0.00429449+0.0619406j 0.000693259+0.276804j 0.0145815+0.036229j -0.0102259+0.0127923j 0.0155817+0.0232685j -0.00794615+0.0277476j -0.00584703-0.0844836j -0.00671683+0.114324j 0.00487128+0.00491011j 0.00660245+0.231063j 
-0.00344461-0.00833083j 0.00083658-0.0289142j -0.00196623-0.0126513j 0.00418586-0.0235567j -0.00266469+0.0173206j 0.00184679+0.016744j 0.00751086-0.0173578j 0.00179426-0.00973375j -0.00323786-0.0381872j 0.00481248-0.0522221j -0.0032428-0.0114744j 0.00212963+0.0168075j 0.00214325-0.0260405j 0.00918582-0.0114942j -0.0044053-0.00587404j -0.00245428+0.0192396j -0.00365334-0.00941074j -0.00300572+0.016635j -0.0137467-0.0198731j 0.00681988+0.00982019j -0.00179969+0.00345834j -0.00953191-0.0106394j 0.00047546+0.00216609j 0.00377569+0.00694613j -0.0040886-0.0370831j -0.00303261-0.037804j -0.00406466-0.0177853j 0.00963983+0.0290408j 0.00139863-0.0056022j -0.003276+0.0151822j -0.00114083-0.0206739j -0.00480278-0.00254111j 0.00314819+0.000408375j -0.00216422-0.0114683j -0.014556+0.019042j 0.0240552-0.00360934j 0.000422134+0.00569002j 0.0151531+0.0217289j 0.0166513+0.0326116j 0.0156372+0.00307389j -0.0244624-0.0138892j 0.00427961-0.0624134j -0.00745255-0.0160113j -0.00301794-0.0590799j 0.00820055-0.0507952j -0.0100594-0.0026247j 0.0182159+0.0154602j -0.0264592-0.0467756j 0.00738059-0.0106929j -0.0115567+0.0553699j -0.0115453+0.0230227j 0.0112681+0.0108464j 0.0221922+0.014538j -0.0166886+0.00242671j -0.00977912+0.00121453j 0.0168246+0.00383685j 0.010845-0.172207j 0.000175483-0.0844618j 0.0181871-0.0270428j -0.00342969+0.235142j 0.00727566-0.0840483j 0.0104407-0.0244767j 0.0123287+0.00958238j 0.0078359-0.0293593j -0.00643689+0.0587859j 0.00551089-0.0116331j -0.00706563-0.132412j 0.00869819+0.308781j -0.0080037+0.102929j 
-0.00224385+0.0693035j -0.00636347-0.0193898j 0.00283612-0.0473336j 0.000597286-0.00219138j 0.00202177+0.0269337j 0.00391978+0.0557969j 0.000728777-0.00371052j 0.00516665-0.0474434j -0.00230876+0.0494586j 0.000403597+0.0108972j 0.00251532+0.0172901j 0.0029796-0.00446297j -0.0101746-0.0300558j -0.00223918+0.0123801j 0.0021103+0.027319j -0.00278662+0.0194567j -0.00342397-0.0124422j -0.00549787-0.00919984j -0.00482398-0.0145945j -0.00918084+0.00706384j 0.00375746+0.00339718j 0.00178966-0.00121862j 0.00508681-0.00299263j 0.00274924-0.0306166j -0.00450161-0.00689555j 0.000571496+0.0339632j -0.00132724+0.00500447j 0.00209115-0.0126544j 0.00392328+0.0078472j -0.00621503-0.00755065j 0.00917953+0.0192409j -0.015396-0.0275941j 0.00294312-0.0282148j 0.00542463+0.00109493j -0.0073572+0.00656734j 0.0105367+0.0132332j 0.0167679+0.0419465j -0.0130295-0.0148656j -0.00303899-0.00959345j -0.0143776-0.0509773j -0.015666-0.0400813j 0.0172992-0.0249661j -0.0111975-0.0333406j 0.015535+0.00780871j -0.0141513+0.0066581j -0.0104686-0.0192976j -0.00454074-0.040588j -0.00767061+0.0756123j 0.00435131+0.0140909j -0.0335692-0.0309252j -0.00324798+0.0518869j 0.0121157+0.0475841j -0.00194111-0.00710425j 0.00167069-0.0459628j 0.0012427+0.0073817j 0.0145832-0.224034j -0.0233684-0.0258657j -0.00153429+0.00462981j -0.0115592+0.141933j 0.00493088-0.00628001j 0.000147631+0.0493667j -0.00161681+0.0203012j 0.0013459+0.0585938j 0.0216844-0.040238j 0.000764997-0.0266517j -0.00319158-0.0345759j -0.013679+0.13384j -0.00651801+0.266062j -0.00697643-0.392825j 
