-0.0103352-0j -0.00736065-0j -0.00106242-0j -0.00423634-0j -0.00428024-0j -0.000748886-0j -0.000756647-0j -6.24072e-05-0j -6.30539e-05-0j 0.577605-0j 0.714749-0j -0.000497692-0j 0.416937-0j -0.000304773-0j -0.000615862-0j -6.22114e-05-0j -0.000377137-0j -0.000359253-0j -3.66584e-06-0j -0.000219996-0j -7.69827e-05-0j -4.53625e-06-0j -4.49066e-05-0j -2.64615e-06-0j -0.00230581-0j -0.00269011-0j 0.0719741-0j -0.00164735-0j -0.00235384-0j -0.000303817-0j -0.000970911-0j 0.0839698-0j -4.38521e-05-0j 0.0514208-0j -3.79771e-05-0j -0.000354453-0j 0.0734736-0j -4.47564e-06-0j -0.000217057-0j -5.11608e-05-0j 0.0303063-0j -2.04284e-07-0j -0.000310146-0j -4.43066e-05-0j -3.13295e-05-0j -2.71321e-05-0j -4.47657e-05-0j -5.22158e-06-0j -0.000127929-0j -3.87683e-05-0j -3.19755e-06-0j -2.38331e-07-0j -1.84649e-05-0j -1.45948e-07-0j -1.59911e-05-0j -4.56888e-06-0j -2.0854e-07-0j -1.88457e-06-0j -8.60184e-08-0j 
-0.081219-0j 0.00122677-0j -0.0168751-0j -0.101929-0j -0.102985-0j -0.00588513-0j -0.00594611-0j -0.00149208-0j -0.00150755-0j 0.000497692-0j 0.000615862-0j 0.564622-0j 0.000359253-0j 5.07954e-05-0j 0.698684-0j -0.000988146-0j 6.28561e-05-0j 0.407566-0j -0.000117065-0j 3.66661e-05-0j -0.00122277-0j -0.000144861-0j -0.000713282-0j -8.45021e-05-0j 0.000384301-0j 0.000448351-0j -0.00292413-0j 0.000274558-0j 0.000392307-0j -0.00731001-0j 0.000161818-0j -0.00341149-0j 0.100554-0j -0.0020891-0j -0.000298443-0j -0.00852834-0j -0.00298505-0j -0.000107007-0j -0.00522252-0j 0.117313-0j -0.00123127-0j -8.16303e-06-0j -0.0074623-0j -0.000348184-0j 0.0718393-0j -0.000213218-0j 0.102649-0j -0.000124842-0j -0.00307804-0j -0.000304661-0j -7.64498e-05-0j -9.52353e-06-0j 0.0423405-0j -5.83195e-06-0j -0.000125666-0j -0.000109237-0j -8.33309e-06-0j -4.50579e-05-0j -3.43723e-06-0j 
0.00105483-0j -0.144396-0j 0.000108433-0j 0.00043237-0j 0.00043685-0j -0.0146912-0j -0.0148434-0j 6.36941e-06-0j 6.43541e-06-0j 0.000304773-0j 0.000377137-0j 5.07954e-05-0j 0.000219996-0j 0.568602-0j 6.28561e-05-0j -0.00122042-0j 0.703609-0j 3.66661e-05-0j 3.74144e-07-0j 0.410439-0j -0.0015102-0j 4.62979e-07-0j -0.000880949-0j 2.70071e-07-0j 0.000235335-0j 0.000274558-0j 3.79771e-05-0j 0.000168132-0j 0.000240238-0j -0.00596008-0j 9.90932e-05-0j 4.43066e-05-0j 4.47564e-06-0j 2.71321e-05-0j 0.0708523-0j -0.00695343-0j 3.87683e-05-0j -8.78003e-05-0j -0.00425809-0j 5.22158e-06-0j 1.59911e-05-0j 2.08497e-08-0j -0.00608425-0j 0.082661-0j 3.19755e-06-0j 0.0506193-0j 4.56888e-06-0j -0.000102434-0j -0.00250963-0j 0.0723284-0j -6.27276e-05-0j 2.43246e-08-0j 1.88457e-06-0j 1.48957e-08-0j 0.0298339-0j -8.96295e-05-0j 2.1284e-08-0j -3.69703e-05-0j 8.77921e-09-0j 
0.0205201-0j 0.0146607-0j -0.098394-0j -8.82571e-05-0j -8.91717e-05-0j -0.142154-0j -0.143627-0j -0.0177122-0j -0.0178958-0j -6.22114e-05-0j -7.69827e-05-0j 0.000988146-0j -4.49066e-05-0j 0.00122042-0j 0.00122277-0j 0.550839-0j 0.0015102-0j 0.000713282-0j -0.00209549-0j 0.000880949-0j 0.681629-0j -0.00259304-0j 0.397617-0j -0.00151261-0j -4.80376e-05-0j -5.60439e-05-0j 0.000738785-0j -3.43197e-05-0j -4.90384e-05-0j 0.000605134-0j -2.02273e-05-0j 0.000861916-0j -0.00406129-0j 0.000527814-0j -0.014493-0j 0.000705989-0j 0.000754177-0j 0.121444-0j 0.000432328-0j -0.00473818-0j 0.000311082-0j -0.000195304-0j 0.000617741-0j -0.0169085-0j -0.00290153-0j -0.0103543-0j -0.0041459-0j 0.141684-0j 0.000254805-0j -0.014795-0j 0.0867636-0j -0.000227854-0j -0.0017101-0j -0.000139532-0j -0.00610261-0j 0.123974-0j -0.000199373-0j 0.0511366-0j -8.2237e-05-0j 
-0.002431-0j 9.03605e-06-0j 0.0357858-0j 5.2006e-06-0j 5.25449e-06-0j -0.00017615-0j -0.000177976-0j -0.19892-0j -0.200981-0j 3.66584e-06-0j 4.53625e-06-0j -0.000117065-0j 2.64615e-06-0j 3.74144e-07-0j -0.000144861-0j 0.00209549-0j 4.62979e-07-0j -8.45021e-05-0j 0.533108-0j 2.70071e-07-0j 0.00259304-0j 0.659687-0j 0.00151261-0j 0.384818-0j 2.83064e-06-0j 3.30242e-06-0j -8.75235e-05-0j 2.02231e-06-0j 2.88962e-06-0j 3.7297e-07-0j 1.19191e-06-0j -0.000102111-0j 0.00147709-0j -6.25298e-05-0j -8.93283e-06-0j 4.35132e-07-0j -8.93469e-05-0j -0.0142659-0j 2.66463e-07-0j 0.00172327-0j -3.68537e-05-0j 0.155121-0j 3.8074e-07-0j -1.04216e-05-0j 0.00105528-0j -6.38192e-06-0j 0.00150786-0j -0.0166435-0j 1.57047e-07-0j -9.11893e-06-0j -0.010192-0j 0.180975-0j 0.000621961-0j 0.110824-0j -3.76137e-06-0j -0.0145631-0j 0.158353-0j -0.00600696-0j 0.0653173-0j 
0.00931056-0j 0.000114886-0j 1.65824e-05-0j 0.00381636-0j -0.00372229-0j 0.000674643-0j -0.000658014-0j 5.62202e-05-0j -5.48345e-05-0j 0.00269011-0j 5.76749e-05-0j 0.000448351-0j -0.00378271-0j 0.000274558-0j 9.61249e-06-0j 5.60439e-05-0j 5.88642e-06-0j -0.000630452-0j 3.30242e-06-0j -0.000386071-0j 1.20156e-06-0j 7.08027e-08-0j -7.88065e-05-0j -4.64372e-06-0j -0.504346-0j -0.0101946-0j 0.000335209-0j -0.360322-0j 0.497013-0j 0.000273697-0j 0.622381-0j 6.77573e-06-0j 3.95047e-05-0j 0.000239485-0j 3.42121e-05-0j 5.53236e-06-0j -0.000330335-0j 4.03193e-06-0j 0.000195538-0j 7.98528e-07-0j -0.000413659-0j 1.84032e-07-0j -0.000269717-0j 6.91546e-07-0j 2.82235e-05-0j 2.44423e-05-0j -3.89303e-05-0j 8.14994e-08-0j -0.000337751-0j -3.37146e-05-0j 2.88055e-06-0j 3.71992e-09-0j -4.87502e-05-0j 1.31479e-07-0j -4.22189e-05-0j -3.97331e-06-0j -1.81356e-07-0j -4.97555e-06-0j -2.27102e-07-0j 
0.0708437-0j -1.85397e-05-0j 0.000255026-0j -0.000615862-0j 0.000600682-0j 0.00513333-0j -0.00500681-0j 0.00130148-0j -0.0012694-0j 0.0839698-0j 0.00180028-0j 0.00341149-0j -0.118075-0j -4.43066e-05-0j 7.31411e-05-0j 0.000861916-0j -9.49917e-07-0j -0.00479709-0j 0.000102111-0j 6.2302e-05-0j 1.84792e-05-0j 2.18922e-06-0j -0.00121199-0j -0.000143584-0j -0.000335209-0j -6.77573e-06-0j -0.493356-0j -0.000239485-0j 0.000330335-0j -4.41676e-05-0j 0.000413659-0j -0.00997244-0j 0.000607555-0j -0.35247-0j 0.000260319-0j -8.92781e-07-0j 0.486182-0j 9.33378e-05-0j -3.15549e-05-0j 1.22808e-05-0j 0.608818-0j 7.12025e-06-0j 4.35254e-05-0j 5.26195e-06-0j 0.000434058-0j 0.000185981-0j -0.000598721-0j 1.88668e-06-0j 5.45044e-05-0j -0.000256533-0j 6.66838e-05-0j 1.43925e-07-0j -0.000749744-0j 5.08695e-06-0j -0.000321242-0j -9.19807e-05-0j -7.01672e-06-0j -0.000115182-0j -8.78663e-06-0j 
-0.00122677-0j 0.00144723-0j -2.18492e-06-0j 0.0725931-0j -0.0708038-0j 0.00849853-0j -0.00828906-0j -7.40767e-06-0j 7.22508e-06-0j -0.000354453-0j -7.59934e-06-0j 0.00852834-0j 0.000498416-0j 0.00695343-0j 0.000182845-0j 0.000705989-0j 0.000149079-0j -0.0119922-0j -4.35132e-07-0j -0.00977761-0j 1.51362e-05-0j -9.32907e-09-0j -0.000992732-0j 6.11864e-07-0j -0.000273697-0j -5.53236e-06-0j -4.41676e-05-0j -0.000195538-0j 0.000269717-0j -0.497734-0j 0.000337751-0j -8.92781e-07-0j 0.000751442-0j -3.15549e-05-0j 0.000866452-0j -0.0100609-0j 4.35254e-05-0j 5.07906e-05-0j -0.355598-0j 1.51893e-05-0j 5.45044e-05-0j -2.42483e-08-0j 0.490496-0j 1.7514e-05-0j 0.000536856-0j 0.000619023-0j -0.000740516-0j 1.02665e-06-0j 0.614221-0j -0.000853854-0j 3.62865e-05-0j -4.90143e-10-0j -0.000927306-0j -1.73238e-08-0j -0.00106923-0j -5.00521e-05-0j 2.38957e-08-0j -6.26773e-05-0j 2.99233e-08-0j 
-0.0168751-0j 2.18492e-06-0j 0.00140194-0j -0.0104779-0j 0.0102197-0j -0.00122277-0j 0.00119263-0j 0.014566-0j -0.014207-0j 5.11608e-05-0j 1.09687e-06-0j 0.117313-0j -7.19402e-05-0j 5.22158e-06-0j 0.00251515-0j 0.00473818-0j 1.11949e-07-0j -0.164961-0j 0.00172327-0j -7.34236e-06-0j 0.000101585-0j 3.69463e-05-0j -0.00666262-0j -0.00242319-0j 3.95047e-05-0j 7.98528e-07-0j -0.000607555-0j 2.82235e-05-0j -3.89303e-05-0j -0.000751442-0j -4.87502e-05-0j -1.22808e-05-0j -0.482158-0j -0.000434058-0j -6.20083e-05-0j -1.51893e-05-0j 0.000598721-0j 0.00104463-0j -0.000536856-0j -0.0097461-0j 0.000749744-0j 0.000160612-0j 0.000740516-0j -1.2534e-06-0j -0.34447-0j -4.43009e-05-0j 0.475147-0j 2.11156e-05-0j 0.000927306-0j 6.11067e-05-0j 0.000746318-0j 3.24653e-06-0j 0.595-0j 0.000114747-0j 7.65205e-05-0j -0.00102944-0j -0.000158277-0j -0.00128911-0j -0.000198201-0j 
-0.00723046-0j -0.0003637-0j -2.60285e-05-0j 6.28561e-05-0j -6.13069e-05-0j 0.100703-0j -0.0982204-0j -0.000132832-0j 0.000129558-0j 4.43066e-05-0j 9.49917e-07-0j -0.000348184-0j -6.2302e-05-0j 0.082661-0j -7.46493e-06-0j 0.0169085-0j 0.00177222-0j 0.000489601-0j -1.04216e-05-0j -0.116234-0j 0.000362513-0j -2.23436e-07-0j -0.023776-0j 1.46544e-05-0j 3.42121e-05-0j 6.91546e-07-0j -0.000260319-0j 2.44423e-05-0j -3.37146e-05-0j -0.000866452-0j -4.22189e-05-0j -5.26195e-06-0j -6.20083e-05-0j -0.000185981-0j -0.485666-0j -1.7514e-05-0j 0.000256533-0j 0.00183104-0j -0.000619023-0j -1.2534e-06-0j 0.000321242-0j -7.26707e-07-0j 0.000853854-0j -0.009817-0j -4.43009e-05-0j -0.346977-0j 6.11067e-05-0j 3.70117e-05-0j 0.00106923-0j 0.478604-0j 0.00130816-0j -1.46893e-08-0j 7.65205e-05-0j -5.19185e-07-0j 0.599329-0j -0.00180442-0j 7.16141e-07-0j -0.00225957-0j 8.96782e-07-0j 
0.0025925-0j 2.13197e-05-0j -0.000438491-0j -7.40767e-06-0j 7.22508e-06-0j -0.0179596-0j 0.017517-0j 0.068589-0j -0.0668984-0j -5.22158e-06-0j -1.11949e-07-0j 0.000124842-0j 7.34236e-06-0j 0.000102434-0j 2.67657e-06-0j 0.141684-0j 2.19614e-06-0j -0.000175547-0j 0.0166435-0j -0.000144038-0j 0.00303766-0j 0.000356831-0j -0.19923-0j -0.0234034-0j -4.03193e-06-0j -8.14994e-08-0j 9.33378e-05-0j -2.88055e-06-0j 3.97331e-06-0j 5.07906e-05-0j 4.97555e-06-0j 1.88668e-06-0j -0.00104463-0j 6.66838e-05-0j -0.00183104-0j 1.02665e-06-0j -9.19807e-05-0j -0.470279-0j 3.62865e-05-0j -2.11156e-05-0j -0.000115182-0j 0.00234329-0j -5.00521e-05-0j -3.70117e-05-0j -0.000746318-0j -0.00130816-0j 0.00102944-0j -0.00950598-0j -6.26773e-05-0j 0.00180442-0j -0.335984-0j 4.73661e-05-0j 0.00128911-0j 0.00167413-0j 0.00225957-0j 0.463441-0j -0.00230922-0j 0.580341-0j -0.00289171-0j 
