0.985065-0.0063802j 0.201898+0.0581465j -0.0272555+0.13186j -0.0248304+0.03753j -0.00374483-0.000396243j -0.0933587-0.0137414j 0.00782747+0.0778488j -0.0373406+0.0443741j 0.0267029-0.0146905j 0.0153601+0.00677062j -0.0170695+0.00543866j -0.0461165+0.0241223j 0.0207652+0.00839359j 0.0250107-0.00277679j 0.0448232+0.0166389j 0.00927392+0.0406112j -0.000224517-0.00102977j -0.0244773+0.0354818j 0.026147-0.0165917j 0.0172327-0.0471835j 0.0067742-0.0230952j 0.00360718+0.00709144j -0.0290727+0.0351882j -0.00824764+0.0160526j 
0.0719269+0.0228229j 0.36792-0.258735j -0.254592-0.448101j 0.339858-0.0808171j 0.0706446+0.0775862j -0.057746-0.0784534j 0.0422436-0.0743388j -0.0618118+0.0217663j -0.0876436+0.0964345j -0.0654857-0.102045j 0.0456551-0.00982479j 0.0569849-0.00401861j -0.119301-0.096894j 0.0218946-0.0303645j 0.00871342+0.0315745j 0.00675374-0.00769987j 0.0493995+0.0319402j 0.0715463+0.0754127j 0.0536519+0.0492647j -0.0134032+0.0639926j 0.0116846+0.00892352j -0.0357698-0.0759423j 0.0809116-0.119891j -0.037327-0.0694765j 
0.0623481-0.0168078j -0.340478+0.104432j 0.150884+0.394133j -0.148916+0.1948j -0.238543-0.0616533j -0.0330406-0.0341851j 0.111897-0.0853311j 0.0102501+0.0250398j 0.0160566+0.11172j 0.0546994-0.14253j 0.0178658+0.0535345j -0.109741+0.0340989j -0.16212-0.0747146j 0.0446169+0.0872951j -0.0894015-0.0139098j -0.0221131+0.00250102j 0.058918+0.0653066j 0.141603+0.115667j 0.0239872+0.0411033j 0.0418659+0.0583436j -0.0104083-0.0437198j -0.0560521-0.0539231j 0.0251414-0.0582722j -0.0830263-0.0816268j 
-0.00104338+0.0494645j -0.0646635-0.059352j -0.0276902+0.0733923j 0.0857765+0.0042078j -0.058195+0.203238j 0.0818936+0.0939595j -0.190142-0.113164j -0.0341111+0.166335j 0.0996113-0.0533364j -0.182068-0.00521603j 0.0787127-0.0994558j -0.0624114-0.0205995j -0.047187-0.0554219j 0.0221703-0.0497502j 0.0578261-0.0282106j -0.025897-0.0440825j -0.0230074+0.18419j -0.164969-0.0455775j -0.0873096-0.0254254j -0.0760254+0.0979977j 0.0421887-0.184906j -0.0700004-0.000241975j 0.01606-0.102829j 0.201319-0.130527j 
-0.0758304+0.0291234j 0.0101564+0.00490737j 0.0196259-0.0255399j 0.0224358+0.122197j -0.0575146-0.0390757j 0.267617+0.0824217j -0.1202+0.278866j -0.0441648+0.228242j -0.255617-0.084249j 0.188377-0.0940723j -0.0147755-0.014281j -0.140324-0.0529689j -0.0661197-0.130006j 0.0128437+0.0140869j -0.0374866-0.0868487j -0.00576584-0.0606383j 0.108241-0.0996174j -0.0552999-0.0420993j -0.00347687-0.0764175j 0.0632059-0.140389j -0.0224642+0.0830039j -0.0241963+0.0374828j 0.060632+0.0999541j -0.114936+0.067152j 
0.0696763+0.0265358j 0.0549755+0.0360202j 0.0391747-0.0469538j -0.0705021+0.0733889j -0.0944287-0.190839j -0.17817+0.278655j -0.0765751-0.216758j -0.356338-0.0712545j 0.0227784-0.0610494j 0.140226-0.045464j 0.128527+0.0595509j 0.05426-0.174478j -0.00898575+0.0394968j 0.00873742+0.0552698j 0.0749836-0.0426414j 0.0337192+0.0416846j 0.088355-0.101587j -0.051613-0.0242186j 0.00115826+0.0277204j -0.0496406+0.101637j -0.0416839+0.111528j -0.0531755-0.025283j 0.077995-0.0122576j -0.0214642+0.0377844j 
0.0201995-0.0678998j 0.0162591+0.0705193j 0.0822854+0.0203737j -0.0732015-0.0617083j 0.200271+0.000230454j 0.0176082-0.131553j 0.0706876+0.182445j 0.157959-0.157302j -0.0878371-0.119028j 0.151292+0.0505137j -0.120226+0.138534j 0.110302+0.0788729j 0.0270551-0.1554j 0.0510683+0.0453736j 0.0611071-0.0371329j -0.00500125+0.0286405j -0.0405581+0.00170833j -0.0610798-0.0872336j -0.026212-0.0258871j -0.0798227-0.0418899j 0.097934-0.0704286j 0.0472679-0.0371835j 0.0276783-0.0249121j 0.193108+0.00232513j 
0.0148701-0.0212226j -0.0713421-0.0364367j -0.0425945+0.102762j 0.0156707+0.117955j -0.200184-0.0819068j 0.0213794-0.121756j 0.2746-0.0131953j 0.034005+0.0396313j -0.0659549+0.278319j -0.0774339-0.164799j 0.090124-0.00309223j -0.0350676+0.0171196j -0.122348+0.0842048j 0.0404626-0.0617063j -0.00567428+0.0114464j -0.0183318-0.00417148j 0.00666608-0.0201161j -0.0593918-0.0894873j -0.0374835-0.0211132j -0.0388894+0.013263j -0.0575153+0.0386196j -0.0705463+0.027744j 0.0733782+0.034016j -0.0275043+0.0993115j 
-0.027339-0.030265j -0.035891-0.0289566j -0.034369+0.0132374j 0.160806-0.0764984j 0.0802057+0.116016j -0.155512-0.108869j 0.0144652-0.116266j 0.0984763-0.109161j 0.122662+0.0194499j 0.0394495+0.148207j -0.119302-0.0145177j 0.0322151+0.0328681j -0.0606569-0.0492206j -0.0408819-0.000315633j -0.0187561-0.0913018j -0.0185469+0.0431585j 0.2001-0.00385009j -0.054996-0.090391j 0.0265071-0.0609862j 0.124196-0.105302j -0.0891957+0.108186j -0.0929827+0.109987j 0.0626545+0.148554j -0.258831+0.0881164j 
-0.040699+0.00768871j 0.089322-0.0262573j -0.06384-0.0393451j -0.0175794+0.0495453j -0.0172301-0.00627856j -0.0691928+0.0134497j 0.0818671-0.0866939j -0.0770947-0.0764312j 0.0184587+0.0251595j -0.0576249-0.142564j 0.120419+0.0248383j -0.0267648-0.124815j -0.0287611-0.0499098j -0.0974426-0.121455j -0.191077-0.0413663j 0.0378553-0.0661054j -0.202577+0.1622j 0.0278429-0.0235197j 0.0659848-0.165353j 0.253729-0.341102j 0.13017-0.230491j 0.177589+0.135266j -0.187563+0.212482j -0.0986029+0.0260043j 
0.0102764-0.00109472j -0.0287983+0.01539j -0.003613-0.0354302j 0.00783821-0.0205554j -0.0499528-0.00428821j 0.0449349-0.0320361j -0.0484697+0.00575465j 0.0507031+0.0709537j 0.0122255+0.0125826j 0.0304658-0.0196462j 0.0188994-0.0139843j 0.157558-0.0974798j -0.0460952+0.0414771j 0.0287699-0.0343659j -0.225908-0.114428j 0.221396+0.4003j 0.0696814+0.0122917j -0.360896+0.182346j -0.320093+0.06568j -0.0811948-0.00365341j -0.0623497-0.0840314j 0.0929423+0.192068j 0.0291834+0.0486566j 0.00172121-0.0808479j 
