0.487078-0.236836j 0.247863+0.632845j -0.389823+0.138526j -0.151416-0.124304j -0.111844+0.0474606j 0.0790439+0.0105603j 0.0405528+0.0112351j 0.0273753+0.0304441j -0.100382+0.0501023j -0.0280843-0.0189387j -0.00993165-0.0705605j 0.00499828-0.0307001j 0.0170397-0.0240141j -0.0375657-0.0086261j -0.00935377-0.0390184j -0.0322918-0.009349j 0.011591+0.0279929j 0.00941559+0.0126817j -0.013471+0.0398515j 0.052231+0.00110154j 0.0455163-0.0445359j -0.023817-0.0124879j -0.00415054-0.0318506j -0.0367793-0.018842j 8.7202e-05+0.0338564j 0.0170033+0.00959088j -0.0185175-0.00370724j 0.0142483-0.0226035j 0.034316+0.0277178j 0.00870309+0.0315116j 0.00324844-0.00246754j -0.0300676+0.0508925j -0.0210925+0.0315255j -0.0100552+0.0496624j -0.040296+0.0341522j 0.00939047-0.0213404j 
0.163554+0.0775017j -0.0145874+0.168194j -0.00904994+0.162459j -0.219615+0.0224976j 0.132115-0.205112j -0.179597-0.279504j 0.273252-0.0826177j -0.032902+0.000540122j -0.0506417-0.0254071j 0.0238928-0.000854363j 0.0403215+0.0836394j -0.0556212-0.0961764j 0.0494195+0.128068j -0.0326124+0.00446474j 0.0138294+0.123637j 0.111271+0.0145879j -0.0134845-0.014651j -0.0389578-0.104409j -0.00186833-0.014011j -0.0724151-0.030243j 0.0490012+0.0208613j 0.0375486+0.0559909j -0.00457728+0.0392897j 0.00340398+0.015391j 0.0113685+0.0245852j 0.0268969+0.0821549j 0.0280556-0.0521j -0.0109858-0.0667058j -0.0590008-0.0905412j -0.0549942-0.156625j 0.00624387+0.00385321j 0.0491415-0.0904407j 0.0130155-0.0174978j -0.0587336-0.0885648j 0.0564762-0.0817465j -4.89122e-05+0.125375j 
0.0532317+0.0763584j -0.0648288+0.0509971j 0.0960194-0.047631j 0.00441484+0.250391j -0.253494-0.168517j -0.317965+0.221906j -0.144481-0.246475j 0.105763-0.0365381j -0.0601242+0.0106693j 0.0015528+0.0105232j -0.00134424+0.0785733j 0.0341649-0.0928945j -0.0975988+0.131414j 0.0174424-0.00588665j 0.136243-0.00998866j -0.1024-0.0299603j -0.0489422+0.0172832j 0.00503058-0.0514616j -0.0322332+0.00764408j -0.0360848+0.100575j -0.00405905-0.0296514j -0.0535267+0.0178364j 0.0619187-0.0237693j 0.0145079-0.00438715j 0.0722078-0.0195008j 0.0168627-0.00301651j 0.0657144-0.0325365j 0.0535576-0.0119264j 0.0601508+0.0448252j 0.0611861+0.0495447j -0.0376413+0.0257815j 0.0509021-0.0851953j 0.0146527+0.00711163j -0.0472165+0.0773339j -0.0466143-0.0256037j -0.101947+0.0650655j 
-0.02501+0.0174936j -0.0635973-0.0117789j -0.0241769+0.0595273j -0.185151-0.159482j 0.139074-0.215672j -0.0965631-0.137202j 0.0978267-0.132113j 0.126718+0.0917073j -0.01473-0.0852647j -0.000963287+0.0425865j 0.0726758-0.0735978j 0.0544048+0.0448005j 0.0676451-0.203754j 0.0203186+0.0047124j 0.0686528-0.0759789j 0.00544182-0.050392j -0.0222181-0.051027j -0.00880755+0.212125j 0.0236944+0.0283467j -0.0626846+0.00566507j 0.00554144-0.02457j 0.0515991-0.0827762j 0.000587581-0.0184744j 0.00289479-0.00379351j -0.0234935-0.0141336j -0.0624733-0.125246j -0.0785683-0.0119888j -0.0193991+0.0443157j 0.0791001+0.173624j 0.0526306+0.167504j 0.108276-0.0815249j -0.0726258+0.142191j 0.00419471-0.106j 0.0963255+0.000300609j 0.0309833+0.0531412j 0.0513211-0.232034j 
-0.0878398-0.0182017j 0.0336386+0.0103446j -0.146673-0.00222593j 0.0205073-0.0582578j 0.0857197+0.0991082j 0.0024806-0.0925732j 0.0662044+0.0337938j 0.0376494+0.162731j 0.16171-0.0587001j 0.0692278+0.0730762j -0.102613+0.207416j 0.208316-0.0051006j -0.301617+0.137215j -0.0131121+0.0456223j 0.0469307+0.155979j -0.219972-0.0663695j 0.0391065-0.0231216j -0.108516-0.121201j -0.101335+0.100303j -0.0705875+0.00166379j 0.009866-0.0409327j -0.0405289-0.00763202j 0.141723-0.0891316j -0.0807576+0.0080717j 0.00724247+0.0171751j 0.0283626-0.0436954j 0.108647+0.052236j 0.070462+0.00991897j 0.154213+0.0575352j 0.152261+0.0840478j -0.133447+0.111894j 0.0766112-0.0717659j 0.0142654+0.0879022j 0.0210558+0.106025j -0.0513542-0.0344594j -0.257409+0.0783616j 
-0.0262973+0.0106652j -0.0433082+0.0285653j 0.0958696+0.0197025j 0.0468642+0.101789j -0.00745782+0.0498301j -0.0119763+0.00896439j 0.0319089+0.0232721j 0.0145057+0.0679555j -0.112318-0.147825j 0.161122+0.103252j -0.0859244+0.253399j 0.114243-0.160431j 0.306509-0.362615j 0.0496856+0.0913291j -0.0295283-0.0886189j 0.188513+0.0521188j -0.0226541+0.166948j 0.00514526-0.0798296j 0.100999+0.112899j 0.0657281+0.0225741j -0.0328541-0.00623599j -0.0518353+0.0537004j 0.0143161-0.0962187j 0.0821619+0.0338615j -0.0344802+0.0672902j 0.0602147+0.126121j -0.0477898+0.131587j -0.00470577+0.0236553j -0.00367829-0.0561492j -0.013472+0.0341665j -0.0189411-0.0146062j -0.0820759+0.109581j -0.0434543+0.0717076j -0.024737+0.0527635j 0.00327514+0.0574881j 0.0637949+0.00416702j 
0.0979127+0.0698205j 0.0579347+0.0502232j 0.134149+0.0064386j 0.0137275+0.0642224j 0.0639978-0.0208456j 0.0338309+0.0151159j -0.00341486+0.0628935j -0.00561333-0.00336883j 0.215354+0.042365j 0.100681+0.224403j 0.436338-0.100354j -0.163745+0.193739j -0.149653+0.0669973j -0.36863-0.0846482j -0.0528381-0.0296003j 0.0663261+0.11476j -0.229518-0.0626444j -0.0175751-0.0655272j 0.0281834+0.0217963j 0.0440714+0.0541299j -0.0889344-0.0541266j 0.196448-0.0991532j -0.0905688+0.0638915j -0.0708096+0.104442j 0.0240764-0.0402522j 0.0281859+0.102468j 0.117462+0.0584027j -0.0304115+0.0214617j 0.025409+0.0212522j 0.0424688-0.0159723j 0.0586311-0.0872086j 0.0272288-0.0396988j 0.123903-0.00988678j 0.0175527-0.0749449j 0.131383-0.0228192j 0.0103169-0.0294775j 
-0.0190113-0.0140722j 0.0292362+0.0620105j -0.00409963-0.0394644j 0.02268+0.00428435j -0.0229081+0.00456841j -0.00944671+0.0457043j -0.0167753-0.0326936j 0.114303+0.223387j 0.167376-0.079762j 0.124596+0.20536j 0.146557+0.179778j 0.245971+0.190022j -0.128624-0.27477j -0.144294+0.0555482j 0.0762242-0.134645j -0.209903+0.0112399j -0.118717+0.0729806j 0.00742953+0.109463j 0.100988+0.220678j 0.0786463+0.0884946j -0.0445852-0.0309313j -0.0833605+0.0345761j -0.0442333-0.0419529j -0.0208791+0.0191862j -0.0191158-0.0125645j 0.0113141+0.0841101j 0.0143829-0.0332705j -0.00931813-0.001529j -0.0162794+0.0285649j -0.0482454+0.0679434j -0.00740849-0.00755971j -0.0742392+0.0115176j 0.0213907-0.0208624j -0.0228289+0.0844097j -0.0607726+0.0641402j 0.0498856-0.0024962j 
-0.0157439-0.0543354j 0.00875777-0.0421209j -0.0477786-0.0925133j 0.0506139-0.0613587j -0.0440155-0.0305362j 0.0201672+0.0473802j -0.0095213-0.0797642j 0.0517687+0.0730763j -0.00961736+0.0774873j -0.230958-0.244267j 0.00296769-0.183079j 0.0503632+0.18387j -0.0703307+0.0536124j 0.136281-0.0526709j 0.101473-0.0583154j -0.259527-0.0192657j 0.0492029-0.116031j 0.143466+0.318371j 0.0385204-0.0455505j -0.0393482-0.0247566j 0.039089-0.025274j -0.0334513-0.00985694j 0.0248437+0.057927j -0.0478394+0.0484507j 0.0276212-0.0227921j 0.0443387-0.0446823j 0.0231615-0.0348999j -0.00113941-0.021304j -0.0349908+0.0236472j 0.00652205-0.00089714j 0.0470166+0.0591878j -0.0243861-0.00205993j 0.068637-0.0326739j 0.0672451-0.0195005j 0.0081582+0.0539652j 0.0699497-0.047295j 
0.0572081+0.0352441j 0.01845+0.022354j 0.0731426+0.045146j 0.0445547+0.0861344j -0.100617+0.0779497j 0.000772581+0.0266016j 0.0300448+0.0965402j -0.129296-0.163618j -0.0212933+0.0149968j 0.0662132+0.157757j -0.154929+0.108383j 0.0106481-0.202309j -0.19952+0.197096j -0.0548418+0.0420356j -0.00340389+0.0412317j 0.0987776-0.182739j -0.0308656+0.0539631j -0.0926412-0.259901j -0.0616859+0.020473j 0.0132019+0.042659j 0.000375767+0.0386429j -0.00574736-0.0876176j 0.00657092-0.0576725j 0.0823999-0.106628j 0.0493015-0.0305915j 0.07062-0.233327j 0.0103834-0.0642049j -0.00989508+0.00747128j -0.0602946+0.150902j -0.0330348+0.120195j 0.0668075-0.0533121j -0.0940366+0.0500021j 0.0974368-0.169418j -0.0124412-0.0168307j 0.0914918+0.00517749j 0.161799-0.213174j 
-0.0207146+0.00697803j -0.037136-0.0308109j 0.0072163+0.00802376j -0.0280036+0.0135293j 0.0477382+0.00916148j 0.00551113+0.0237058j -0.0513528-0.00728376j 0.0202437-0.0573979j -0.061466-0.000909046j -0.0185726-0.109093j 0.0740906-0.142985j -0.196357-0.0546561j 0.12934+0.041644j 0.0326334-0.0991204j -0.0628536+0.0559291j 0.154598+0.109204j 0.00309891-0.0731562j 0.0168066-0.0497882j -0.0580939-0.137149j -0.0996186-0.0408593j -0.0566016-0.00214133j 0.107834-0.0843945j 0.00733571-0.0412523j -0.0274762+0.164892j -0.024331+0.0295439j 0.013222+0.116137j -0.0371779+0.267959j 0.0260156+0.0571027j 0.153175+0.09953j 0.0850034+0.21441j -0.054189+0.0221132j -0.0570989+0.121898j -0.0912467+0.154752j 0.0328463+0.157978j -0.0279083+0.104383j -0.0757059-0.0573835j 
