0.00117437+0.0165693j -0.0148954-0.00449202j 0.00763184+0.00907264j -0.004862+0.00669728j -0.00750714-0.0230301j 0.019278-0.00276661j -0.00442054-0.00437211j -0.00045582-0.00524458j -0.00196928-0.000288546j 0.00733517+0.00184526j 0.00244896+0.00952878j -0.0061912-6.1662e-05j -0.00708983-0.00381714j -0.00908753+0.00228186j -0.00381835+0.0153697j 0.00340902-0.00434449j 0.00122606-0.00567935j 0.0088037-0.00996175j 0.0179211+0.0152176j 0.00542066+0.00398066j -0.0162998-0.0175965j 0.00179177+0.00666595j -0.000354129+0.0160415j -4.82472e-05+0.00696964j 0.00291851+0.0101054j -0.00948252-0.00932978j 0.00645993+0.0017708j 0.0110463-0.00608446j 0.0107678-0.000319237j -0.011714+0.0143595j -0.0122664-0.0118701j -0.00384025+0.00306607j 0.0155535-0.00204024j 0.0129194-0.00469219j 0.00354964+0.0104103j -0.00688964-0.00574867j 0.00478814-0.00257981j 0.0107688-0.0110833j 0.008702+0.00263278j -0.00516114-0.00671481j -0.0122831-0.0205446j -0.00259632+8.19838e-05j 0.0157349-0.00499957j 0.00362011+0.00562738j -0.00336066+0.000464209j -0.00512433-0.0191075j 0.0131386+0.000700345j -0.0102393+0.00751431j -0.00866024+0.00832926j 0.00567661-0.00128964j 0.0105312-0.0133644j -0.000120307+0.00862881j -0.000343296-0.00396851j -0.000760959-0.00224904j 0.00639488-0.00784408j 0.007038+0.0029027j -0.00637983-0.00155107j -0.0158755-0.000951748j -0.00143172-0.0025033j -0.00175537+0.00742416j -0.00429139-0.00153076j -0.000481981-0.00435547j 0.00675604-0.000541554j 0.0037188+0.00208143j -0.00548036-0.00149957j 0.000573529-0.00278409j 0.00148583-0.00875245j 0.000950699+0.00559998j 0.00280114-0.00587388j 0.00995753+0.0029193j -0.00648992-0.000348973j -0.00522933-0.00105657j -0.00236666+0.00345791j 0.00711484+0.00333837j 0.0132418-0.00530629j -0.00213438+0.00649116j 0.00256384-0.00923992j -0.00079761-0.000398419j 0.0110609+0.00253534j 0.000798272+0.000137363j 0.0142535+0.00625867j 0.00801377-0.0064341j -0.00424638-0.00273214j -0.0233504+0.0102007j 0.00976634-0.0043779j 0.00726673-0.0046711j 0.00334528-0.00449299j -0.012326-0.00761537j -0.00722906+0.0105628j 0.00523543-0.00476626j 0.000675651+0.00613767j 0.000976888-0.0163974j 0.0254044+0.0249352j -0.00929696+0.00524607j -0.0103612-0.00393526j -0.0034514+0.0145599j -0.00242414+0.0125253j 
0.01448+0.00520377j 0.0019477+0.0184395j 0.00277877-0.00962685j 0.00500976+0.00901911j -0.0209593+0.00294559j -0.00695944-0.0216896j 0.000377629+0.00372319j -0.00092928+0.000207499j 4.91325e-05+0.00895729j 0.000103589-0.00966064j 0.0063508-0.000978206j 0.003009+0.00443181j -0.00056764+0.0115143j 0.00606518+0.0101605j 0.00793227+0.00682244j -0.00375878-0.00464267j -0.00904315-0.00907154j -0.0136009-0.0155089j 0.00752626-0.0162803j -0.0021419-0.0100845j -0.0115212+0.0167638j 0.00531786+0.00557082j 0.015761+0.00481485j 0.00854445+0.00654609j 0.00229039-0.0017767j -0.0110446+0.0096423j 0.00404834-0.00883904j -0.00951068-0.0180445j 0.000474374-0.0109278j 0.0207809+0.0114818j 0.000374999+0.00943268j 0.00484469+0.00679513j -0.00490345-0.010968j -0.00574062-0.0123382j 0.001757-0.00375436j -0.00499083+0.00579787j 0.0021363-0.004328j -0.0114559-0.0191287j -0.00136441-0.00851051j -0.000505876+0.0079555j -0.0214519+0.0133563j -3.62133e-05+0.0134622j -0.00261247-0.00983965j 0.0106406+0.00261728j 0.00348754-0.000239558j -0.00964468+0.00333405j 0.00113754-0.00533732j 0.00815745+0.00308154j 0.00533552+0.0079985j -0.00715327+0.000999957j -0.0159289-0.0117676j 0.00447013+0.000781009j -0.0111007-0.00943251j -0.00369931-0.00104858j -0.0010341-0.00422144j 0.00355277-0.000152206j 0.00159979+0.00123116j 0.00231821+0.0074582j -0.00373835-0.00356912j 0.0169239-0.0021971j 0.000916144+0.00619791j -0.00713438-0.00572541j 0.00581553-0.00431493j 0.00291514+0.000999011j 0.00571225+0.00170865j -0.00680549-0.00534583j -0.00892893+0.00739252j -0.00315038-0.00606717j 0.000871788+0.00354951j -0.00125192-0.0129915j 0.00372822+0.00336208j -0.00433474-0.00211093j 0.0042238+0.00932766j -0.00340534+0.00249559j 0.00144593-0.00119955j -0.00944613-0.00283906j 0.0131233+0.00509174j -0.0107159-0.00163807j -0.00705415+0.00434251j -0.0136703+0.00816305j 0.00112204+0.000504121j -0.014016-0.00309327j 0.00939993-0.0103207j -0.00593885+0.00498424j -0.0168139-0.00375122j -0.0088001-0.000453863j -0.0101691-0.00414655j -0.011054+0.00701718j 0.00174072-2.09018e-05j -0.00396633+0.0101086j -0.0117455+0.00927557j 0.0253415+0.0241408j 0.00254924+0.0171515j 0.00934881+0.00740751j -0.00658062+0.0093554j -0.000494566+0.0114506j 0.00438728-0.0118911j 
0.0002701+0.0126622j 0.0152955+0.0274321j -0.0316689-0.0109925j -0.0348099+0.0111889j -0.00291885-0.0106275j -0.0260751-0.0341785j 0.00738135+0.00532141j 0.00746368+0.00732219j -0.0387082+0.0159903j -0.0198336-0.00697371j -0.051541+0.00434477j -0.0077981+0.0108438j -0.00256475+0.0110484j 0.0207258+0.00270005j -0.00559291-0.0084504j -0.000433418-0.014231j -0.0193031-0.0194519j -0.0370402-0.0182179j -0.0553833+0.0136903j -0.00705692-0.0109666j -0.0375476+0.0116005j -0.0305276+0.00658923j 0.0143021+0.0202101j 0.0286491+0.00497954j -0.0309085-0.0030177j -0.033591-0.011533j -0.013689+0.0105343j -0.0114575-0.0153879j 0.0276014-0.00927348j 0.0527971+0.0226516j 0.0404796+0.00759214j 0.0211997-9.83405e-05j -0.0232127+0.000843289j -0.00805528-0.0085036j -0.0432854-0.00285295j 0.00804462-0.0125336j 0.00738+0.0236928j -0.000304701-0.0107133j -0.0166934+0.00787351j 0.0298011-0.00691314j -0.013118-0.0311032j -0.0316916+0.012354j -0.00134207+0.0159338j 0.0497404+0.0234834j 0.0319838+0.0004472j 0.0512478-0.00935048j -0.0125565+0.0282244j 0.0163652-0.0111377j 0.0113501-0.00934922j -0.00308139-0.0162216j -0.0264751-0.000119047j -0.00598073+0.00212044j -0.0486594-0.0231747j 0.00366283-0.0116121j 0.0284927+0.0251668j -0.00420224+0.0357248j 0.0256332-0.00995854j 0.0442963-0.0271296j -0.021976-0.00198415j 0.0594208+0.0136061j 0.0147405-0.00451639j -0.0166684+0.000940133j -0.00368723+0.0158249j -0.0126205+0.00063899j 0.0288574-0.00725927j -0.00254142-0.00625041j -0.0337398+0.0202175j -0.000225719-0.0193443j 0.018064+0.0175181j -0.0322856+0.00940966j 0.00906121-0.00392584j -0.0149166-0.0164657j -0.0102215-0.00473365j -0.040646+0.012282j -0.0240408+0.0244173j -0.0469041-0.0179001j 0.0305753+0.0439823j -0.0409669-0.0192654j -0.0265127+0.012868j -0.0589243+9.47541e-05j -0.0420863+0.00803127j -0.016773-0.000515711j 0.0355806-0.000217762j 0.00960129-0.0400193j -0.0445332-0.00582542j -0.00324063+0.000163671j 0.00413131-0.0113594j 0.0227331-0.009648j -0.00373362-0.0114773j -0.0229419+0.00518213j -0.0102918-0.0119543j -0.049989-0.0108991j 0.0335233-0.0426805j -0.00686866+0.00159545j 0.023403+0.00630686j -0.0314935-0.0432685j 0.0616628-0.0253497j 
0.00791626+0.0243325j 0.00206398-0.00490154j -0.0157664+0.000782922j 0.00306892-0.00467617j -0.0134292-0.0339605j 0.0036644+0.00173419j 0.0172845-0.0115608j 0.000509382-0.00731565j 0.0191768+0.00201708j -0.0206485+0.00575715j -0.00166633-0.0124749j -0.000358337+0.00366116j -0.00286421+0.0114758j -0.00502402-0.00583509j -0.0264382-0.00284631j 0.00614509-0.00421784j -0.0311097-0.00555117j 0.0178572-0.0208061j 0.0230359+0.00318651j 0.000214508+0.0144959j -0.00205817-0.0424438j 0.010875+0.00266386j -0.00207658+0.0161208j 0.0233751+0.0252878j -0.000332762-0.017407j -0.0180335-0.0111851j 0.0205163-0.010769j -0.0105708-0.00312142j 0.0129976+0.03097j -0.00685626-0.00341146j 0.0151871+0.00334264j 0.017011+0.0149753j 0.032486-0.000158874j 0.0112793-0.00223213j 0.0163576-0.00445731j -0.0146565+0.00645442j 0.0154738+0.00606684j -0.01728+0.0190307j -0.00661194+0.0155815j -0.00763582-0.0166268j -0.0312532+0.00037977j 0.0270835-0.0183987j 0.0394392+0.00903777j 0.0301848+0.0293116j -0.016863+0.00051376j -0.0282899+0.0131376j 0.0142428-0.00240526j 0.000495443-0.0380606j -0.00950776-0.00560629j -0.0144408+0.0619315j -0.0157033+0.0165855j 0.00860622-0.00390422j -0.0248587-0.0125941j -0.0153738+0.00558411j 0.0178742+0.0128694j 0.0330374+0.00906913j -0.0104212-0.0195769j -0.0342979+0.00175575j -0.00167595-0.00144993j 0.0247889-0.0314293j -0.00723092+0.00826135j 0.00087861+0.00543336j 0.0270901-0.0263384j 0.00122722-0.0133827j -0.00702886-0.0122636j -0.0025725-0.00736416j 0.0234247+0.0200108j -0.0209792+0.0191077j 0.0269287+0.00707463j 0.00037582-0.0382073j -0.0100544-0.00777263j -0.0178407+0.00471626j 0.00275895+0.0123662j 0.0186513+0.0147701j 0.0299239-0.00566484j -0.0203522-0.0039111j 0.0467296-0.0136505j -0.0159761-0.0137625j 0.0167736+0.031342j -0.00724047+0.00581362j 0.011842+0.024102j -0.00371478+0.0049436j -0.00369393-0.0242228j -0.0519173-0.00589268j -0.01437+0.0136699j 0.0132939+0.00832886j -0.00962755+0.00297963j -0.00255284+0.0201896j -0.0232971-0.00370358j -0.000456886+0.00817288j -0.00881342+0.00134193j -0.00831626+0.0335955j -0.0413824+0.00958374j -0.0100446+0.0123402j 0.00843997+0.0166881j -0.0460091+0.018636j -0.0242864-0.0298552j 
0.0198415-0.0153994j -0.0221802-0.0159808j 0.0376505+0.0288328j 0.0262669+0.000431611j -0.0335232+0.0197276j 0.0223599+0.0221203j -0.0060282-9.31571e-05j -0.0111813+0.0144489j 0.023426-0.0468592j 0.0342149+0.0296567j 0.0493414+0.0210296j -0.0118896-0.0191195j -0.0153463-0.0398558j 0.00813783+0.0118366j 0.0262922+0.0580161j -0.00958794+0.00284969j 0.0240564+0.0502673j 0.0131336+0.0101667j 0.0635358-0.0182453j 0.00536853-0.0128127j 0.0251169-0.0181413j 0.0585181-0.0208878j 0.0146483-0.0136692j -0.027401-0.0412036j 0.0537018+0.0368729j 0.00789977+0.00867154j 0.00766291-0.0193187j 0.0109072+0.0396368j -0.00901139-0.0213886j -0.0542863+0.0278874j -0.0847467-0.039417j -0.0261662-0.0399586j 0.0317403-0.0560994j 0.0070424-0.00465319j 0.0251655-0.0107329j -0.0306017+0.0239079j -0.0267753-0.0568571j 0.00912292+0.0198655j 0.0458557+0.0109447j -0.0128431+0.0152737j 0.0224124+0.0286127j 0.0578397-0.0515936j -0.00734104-0.0966195j -0.0425723-0.0685422j -0.0320836+0.0420738j -0.0544099+0.0425448j 0.0376408-0.0125539j -0.0339202+0.00439983j -0.0139679+0.0110951j 0.00078654+0.0148976j 0.033949+0.0570331j -0.00127324-0.0103491j 0.0604869+0.0566326j -0.000581064+0.0416938j -0.0336397-0.0407868j 0.00168594-0.0822313j -0.0385237+0.0234729j -0.0661812+0.0528929j 0.0395093+0.00397879j -0.081298-0.0470949j -0.0279648+0.00327038j 0.0178831-0.00586094j 0.0238441-0.0303338j 0.0156833+0.00805486j -0.0479372+0.0173192j 0.0067826-0.00816654j 0.0534463-0.0225175j -0.00575977+0.0145823j -0.0316286-0.0651797j 0.0483382+0.0114134j -0.00432743+0.0439993j 0.00985279+0.0478998j 0.00738802+0.0167061j 0.0413049-0.0428336j 0.00858499-0.0294209j 0.0613028+0.0248425j -0.0358864-0.0460964j 0.0427338+0.0081482j 0.00853502-0.0384681j 0.0609149+0.00394068j 0.0210066-0.019805j 0.0339669-0.00984625j -0.0102493+0.0496048j 0.0061339+0.0705222j 0.0479531+0.00478964j 0.0138928-0.00603315j 0.0027469+0.0149696j -0.0273823+0.00609953j 0.0273174+0.0307756j 0.0294668+0.00415029j -0.000794152+0.0155187j 0.0559812+0.066346j -0.0718108+0.0645344j 0.0122759-0.0112792j -0.0414444-0.0295467j 0.0387086+0.0461392j -0.0473656+0.0410345j 
-0.0267631-0.00576819j -0.0224467+0.00829482j 0.00020322-0.0163038j -0.024657-0.00468439j 0.0277693+0.0162447j 0.0334093-0.0133069j -0.0171901+0.0318013j -0.0085988+0.0295333j -0.00122987-0.0104936j 0.00775378-0.0189613j -0.0243386-0.0142619j -0.0120027-0.0278164j 0.00123671-0.0286179j -0.0214722+0.0188091j -0.0389733-0.0201871j 0.0124777-0.022698j 0.0262586-0.0422714j 0.0079887+0.0168792j 0.000344875-0.0198684j 0.0182334-0.0439835j -0.0180243+0.0235168j -0.023498-0.00755067j -0.0315786-0.0200835j -0.0113255-0.0223799j -0.014904-0.000354505j -0.000278337-0.0449719j -0.00984387+0.0189498j 0.0177413+0.0253935j 0.00217602+0.0056859j -0.0147218+0.031148j -0.00573892+0.0282718j -0.029472-0.0262715j 0.0108623+0.0140868j -0.0185491+0.0169667j 0.0418297-0.047789j -0.00784676-0.035953j 0.0167239-0.00716789j -0.00343148-0.0019428j -0.0348255+0.0124022j 0.0049068+0.0570281j -0.0141834-0.0249467j -0.0452094+0.0503258j -0.0558757-0.00870352j -0.0472173+0.0282319j 0.0279777+0.0404354j -0.0215417+0.0339819j -0.0560922+0.0573637j 0.0646695+0.0253941j 0.00363493-0.00677669j -0.00360927-0.0889617j -0.0171281-0.00203319j -0.00452257-0.00768144j 0.0171905-0.0399843j -0.00386627-0.00774214j -0.0420142+0.0327769j -0.0347748-0.00293386j 0.0112551+0.048115j 0.0348335-5.96268e-05j 0.00680122-0.0520115j 0.0254103+0.0808332j -0.00194224-0.000498941j 0.00604773-0.0365859j -0.0148851+0.055773j 0.00854312+0.0225708j 0.0213379+0.0388171j 0.00288808+0.00438075j -0.0730495-0.0238836j 0.0111987-0.0341687j -0.0329099+0.00700247j -0.00225032+0.0541229j 0.0239665+0.00480815j 0.00962375-0.0258966j 0.0105502-0.0081219j -0.0254163-0.0302198j -0.019243+0.0512546j 0.0263505-0.0503923j -0.0198344+0.0504145j 0.0213068-0.028711j -0.0430591-0.00866364j -0.00963091-0.0174319j 0.00512257-0.0276652j -0.0184021-0.00777994j 0.0239847+0.0558486j 0.00884172-0.0394988j -0.0102805-0.0262222j -0.00254975+0.012056j 0.00604+0.00176325j -0.0141587-0.0101581j 0.00379893-0.00438961j -0.0189138-0.00234509j -0.0172785+0.0131499j 0.00989047-0.0721754j 0.0578187+0.0160656j -0.00279312-0.0520832j -0.0405603-0.00754058j 0.0134632-0.0553046j 0.0321518+0.0226142j 
-0.00546562-0.00503495j 0.018253-0.00638197j 0.00720125+0.0101258j 0.0258933+0.00256614j 0.0127203-0.00693595j -0.0270768+0.00910928j -0.00174488-0.0211795j -0.0204565+0.00356777j 0.035214+0.0137491j 0.00569543-0.00473316j 0.0181222+0.0192205j 0.00931992+0.00301801j 0.0212063+0.0116908j -0.00251119-0.0361385j -0.00027501+0.00146649j 0.00528456-0.0183214j 0.0112251+0.0188967j -0.00307504-0.0170306j 0.0233515+0.0273854j 0.00168868+0.0215379j 0.0442779-0.0139378j 0.0209681+0.0120785j 0.0290635-0.0488267j -0.00130481+0.00463661j 0.0145025-0.000766104j 0.0268498+0.0029681j -0.00204643-0.0252574j -0.0233381-0.0258869j -0.0427029+0.00265103j 0.00522915-0.0187617j 0.00247577-0.0152867j -0.0179118-0.00889588j -0.00845813+0.00490688j -0.0100809-0.0386347j 0.0180677+0.0573676j 0.00311697-0.0140753j 0.0313969+0.0178834j -0.00941951-0.00855197j -0.0166022+0.0201736j -0.0261657-0.0275245j -0.0161765-0.019103j -0.0326858+0.0251755j 0.0388887-0.054997j 0.0193626+0.00267041j -0.0132101+0.0351853j -0.00513835-0.0299862j 0.0160114+0.00302052j -0.0135651-0.0301461j -0.00574032-0.0189182j -0.0101866+0.0557068j 0.0308966+0.0346246j 0.0165358-0.00349403j -0.0203748+0.0143535j -0.00627749+0.00379889j 0.0470186-0.00326337j 0.0430454+0.0314978j -0.00619009-0.0239584j -0.0230253-0.0252611j 0.00127632-0.00726467j 0.00825359-0.0367642j -0.00179322-0.00777236j 0.035288+0.0285606j -0.00702136-0.0442722j -0.00104638-0.0270859j -0.00766133-0.0162718j -0.00362644+0.0177738j 0.0125722+0.0578172j -0.024649+0.00389358j 0.00918254-0.0142498j 0.0271726-0.0160804j 0.00944957-0.00858487j 0.00304374+0.00688078j 0.00436092+0.00961909j 0.0123534+0.00838393j 0.0307816-0.00766551j 0.00632628+0.00305675j 0.0136308-0.0336946j 0.00406367-0.01303j 0.0242788+0.0402219j 0.00444558+0.0465582j 0.0103173+0.0204474j 0.00854332-0.0158071j -0.0109498-0.0275184j -0.020589-0.00452568j 0.00869544+0.0224443j 0.0141267-0.0158146j 9.73647e-05-0.0106091j 0.0289348+0.0145782j -0.0196826-0.000705957j 0.00655809-0.0147726j 0.000423187+0.0112441j -0.0122945+0.0374502j -0.0392089-0.0330043j -0.027714+0.00419632j -0.00378746+0.0264555j -0.0125816+0.0168152j -0.0270759-0.0282744j 
0.0158737-0.0208227j -0.00977583+0.0019747j -0.00135709+0.0117284j -0.0182238-0.00571141j -0.0310659+0.0358344j 0.0106112+0.00381409j 0.00496143-6.00252e-06j -0.0123993+0.0139214j -0.0365129-0.0134006j 0.00847661+0.025636j -0.0219141-0.00392714j -0.0234575-0.0197898j -0.0172202-0.0146219j 0.0263688+0.00185123j 0.0418783-0.00379509j 0.0246154-0.00344675j 0.0286919+0.0256438j -0.00972506+0.026529j -0.0287671+0.00476517j 0.00691212-0.00631071j -0.0291621+0.01891j 0.0100453-0.00463632j 0.0319097-0.0137082j 0.0241399-0.0518032j 0.0181064+0.0268441j 0.00347488-0.0184339j -0.0256277+0.0147187j 0.00717059+0.0456231j 0.0339451-0.0330993j -0.0203082+0.0409968j -0.0397859+0.00921368j 0.0184334-0.0998899j -0.0074353-0.0159557j 0.0101244-0.00065852j -0.0280129+0.00145844j 0.0151181-0.00941897j -0.0563593+0.010665j 0.0095225+0.0334709j -0.0085553-0.0259814j 0.026805+0.0303378j 0.0743052-0.0439653j -0.00189535-0.0529454j -0.00428788-0.0587556j -0.0274104-0.0526495j -0.0337097+0.0506393j 0.00129259+0.000331714j -0.059788+0.00925689j 0.00734173+0.0662092j 0.0230756+0.0156431j 0.0506721-0.0967489j -0.0331735+0.00651536j -0.00569302+0.00884357j 0.0519267+0.0326977j 0.0355619+0.0104582j -0.0782281-0.0208617j -0.0751952-0.0362554j 0.000740239+0.0444586j 0.0428519+0.0210483j 0.0329521-0.0138824j -0.0628016+0.0600936j 0.016726-0.00926969j -0.0352851-0.0223951j -0.017515+0.0204857j -0.000670579+0.0178013j -0.00298193+0.0454577j -0.0222604+0.00382367j 0.000670308-0.0685305j 0.0271833-0.0049357j -0.0236234-0.0437943j -0.00876403+0.038571j 0.0220558+0.00667969j 0.021581-0.000618433j 0.0111106-0.0222957j -0.00786929-0.0384266j -0.044495-0.00160059j 0.0213711-0.00749572j -0.0453435-0.0148655j 0.00272811-0.00861007j -0.00962889-0.0475106j 0.00168961-0.022691j -0.0377801+0.00117581j -0.00760249-0.0147329j -0.00939543+0.0639873j 0.0742245-0.00484723j -0.000726685+0.00218131j -0.04182-0.0116731j -0.0283816+0.0283386j -0.00143591-0.0687578j 0.0480938+0.0145811j 0.0238437-0.0211621j 0.00603558-0.00752825j 0.0542158-0.0260938j 0.0409768+0.0533391j 0.0296203-0.0252464j 0.00124731-0.0357212j 0.046652-0.00877752j 0.0269833+0.0392311j 
-0.0020221-0.00255021j -0.00025452-0.00661983j 0.0234975+0.00597244j 0.00524192-0.0152171j 0.00164786-0.00941713j -0.00822115+0.00602129j -0.0156288-0.0185418j 0.0167062-0.00327284j -0.00477917-0.0164606j 0.0258881+0.00554233j 0.0128075-0.0142868j 0.0165946+0.0197888j 0.00521756+0.00122891j -0.0293248-0.0277699j 0.00608821+0.0010895j -0.042703+0.0140037j -0.0180732+0.015456j 0.00634961-0.0174347j 0.0150387+0.00176635j 0.0251492+0.0171824j -0.0346097-0.024472j 0.00182294-0.0485348j -0.0106728+0.0478234j -0.0041186+0.031398j 0.00587228-0.0163274j -0.0220038+0.0250131j -0.0100992-0.00115613j 0.0115741+0.0152645j 0.0263645+0.00956073j 0.0429234-0.0232744j 0.0657238-0.0228341j -0.0139224+0.0666606j -0.0716393-0.0108222j -0.0388337+0.00777341j 0.0245195-0.01163j 0.0465815+0.0240052j 0.0244849+0.0183364j 0.0283343-0.0311929j 0.00334977-0.0131399j -0.0626127-0.0303459j -0.0241403+0.0229126j 0.0195298-0.0278404j -0.0286141+0.0707672j 0.069774-0.0228879j 0.0211123-0.050567j -0.0120838-0.0214451j 0.02488-0.0650496j -0.0534198+0.0138322j 0.00898457+0.0169041j 0.0510997+0.052971j 0.0371494-0.0444207j 0.00858165+0.00889776j -0.0112828+0.00802628j 0.011889-0.000593497j 0.0678156-0.0224945j 0.0469295-0.00207291j -0.0164293-0.012672j 0.00515377+0.0271675j -0.0238571+0.0360804j 0.00927917-0.0268089j 0.00325251+0.0191381j 0.0491973+0.00428244j -0.0533309-0.00871549j -0.0228421+0.00699055j 7.44846e-05-0.0101618j 0.0152193-0.0243632j 0.0433748-0.0272623j 0.00810376+0.0277626j 0.00802423+0.023221j -0.0560586-0.0231789j -0.0202459+0.0114127j 0.0279512+0.00705469j 0.0111236-0.00641805j 0.00606053+0.0172134j 0.0171184-0.0358137j -0.0202884+0.0251686j -0.00750422+0.00623843j 0.00430711-0.00067497j 0.0311808-0.0108336j 0.0270833-0.0250422j 0.0295563-0.00729498j 0.00267854-0.00124347j -0.0163935-0.0389773j 0.00435452+0.040665j 0.00204706-0.0162261j 0.00688058-0.0394585j 0.0140082-0.0310935j 0.0585302+0.00171442j -0.0423645+0.000450742j -0.0226551+0.0132789j 0.0140136-0.0221984j 0.0360029+0.0200231j -0.0284315+0.0280576j -0.00569744+0.0398124j 0.0333974+0.00364345j 0.0184996+0.0186324j -0.0276417+0.0201611j 
0.0109931+0.0115317j 0.0237372-0.00563305j -0.0333341-0.000198228j -0.0109467-0.0062665j -0.0103063-0.022627j -0.0310873+0.00633727j 0.0139016-0.0125524j 0.0178313-0.0102334j -0.0228054+0.014423j -0.0333519+0.00936225j -0.0211239-0.0102013j 0.00314712+0.00941774j 0.0159783+0.0289134j 0.0455837-0.016934j 0.0276794-0.0230794j -0.0429811-0.00586525j -0.0139355-0.0168541j -0.0387497-0.00344851j -0.0900854+0.0327355j -0.0205668+0.0145962j -0.00583783-0.0406232j 0.0450841+0.0278993j -0.0754361+0.0191143j 0.00911527+0.00973215j -0.0352013-0.0295587j 0.000576288-0.00898986j -0.0267844+0.0137815j -0.0505905-0.0318653j 0.0655034+0.0248703j -0.00161067+0.00292951j 0.0134348-0.0067633j -0.00285582+0.0176954j 0.0112363+0.0186276j -0.0231124-0.0460305j -0.0263726+0.0802338j -0.00605472-0.0278857j -0.0428098+0.0151091j 0.0401481-0.0245131j 0.0414475-0.02282j 0.0691304-0.0130529j 0.0965885-0.0572773j 0.141026+0.00618596j -0.0898292-0.034588j 0.0662663-0.00297145j 0.0250871-0.0107272j 0.0406736-0.0934812j 0.0118587-0.0711416j -0.0668508+0.0609111j -0.0390282+0.0173551j 0.0677302+0.00629125j 0.00130805-0.0898307j -0.0593826+0.0207256j -0.00223963-0.0095853j 0.00676276-0.0404995j -0.0315683-0.0573717j -0.0306984+0.00607781j -0.0250537-0.0210443j 0.00626591-0.00228931j -0.00575248+0.0157248j -0.0347899+0.0240965j -0.00375167+0.0064492j -0.0272202+0.0042971j -0.0232584-0.0100184j -0.0155179-0.00680373j -0.0208425-0.0114657j 0.00606292-0.0065887j 0.078691-0.0255673j 0.00282786+0.0148775j 0.00484098-0.010353j -0.0650065-0.00130953j -0.0113344-0.0114999j -0.0107102-0.0125535j 0.00634395+0.00877009j 0.00757853+0.0152513j -0.0245826-0.00833204j -0.0244959+0.00848447j -0.0265467-0.016004j -0.0145269+0.00723717j -0.00914938-0.00128527j 0.0651602-0.00505483j -0.0551332+0.0341928j -0.0129649-0.046963j 0.00663387-0.0243433j 0.0366052-0.0247359j -0.0241613-0.0274643j 0.0117601-0.0201327j -0.0181645-0.0345048j 0.057999-0.0313609j 0.0203438+0.0166425j 0.0146582-0.022124j 0.0457063-0.0207802j 0.0254682-0.0159117j 0.0121768+0.00130339j 0.0312096+0.0250094j 0.057009-0.00955462j 0.0117293-0.00993157j 0.0194831-0.00868263j 
-0.0105611-0.00797518j -0.000201337-0.00995915j -0.00905799+0.00893362j -0.0081133+0.0138545j 0.00525792+0.0166682j 0.00247052+0.0227653j -0.0174545+0.0393163j -0.0327128+0.0172202j 0.0228599-0.0156035j -0.00874091+0.011168j -0.0174846+0.0201281j 0.00911535-0.000380407j 0.0397156-0.0553038j -0.00759124+0.00975089j -0.00656978+0.0416913j 0.021401-0.00419345j 0.0226336-0.023936j 0.0104892+0.0844982j -0.00675489+0.0068661j 0.0409366+0.00147023j 0.00216129+0.0333466j 0.0414916+0.0102801j 0.00133069+0.0407285j 0.0315426+0.0149758j 0.00702102+0.10259j 0.0424589+0.0221526j -0.00482165+0.0135791j -0.0254185+0.0640313j 0.0166213-0.0141142j -0.0188311+0.0338803j -0.0116827+0.0161374j -0.00655247+0.0174971j 0.00821666-0.0902436j -0.0206367-0.0183384j 0.0354274+0.000883195j 0.0199862+0.0560781j -0.00783468-0.0665431j 0.0259209-0.0318807j -0.0598115-0.0364857j 0.00350938-0.0134236j 0.0268035+0.0160909j -0.0637661-0.0126419j 0.0426255-0.00127643j 0.0120958-0.0270502j -0.0550587-0.0339332j -0.0198961-0.00638239j -0.0216881+0.0361003j -0.0162111+0.00230168j 0.0144505+0.0642738j 0.0345504-0.080284j 0.00491915+0.0317855j 0.00417462+0.0462367j 0.0161475+0.0267041j 0.0247778+0.00316586j 0.00293782+0.0246526j -0.00100751-0.027169j -0.0329269+0.032307j -0.0036391+0.0126557j 0.054927+0.0153155j -0.0256904+0.00787692j 0.00322062+7.43249e-05j 0.0117236-0.0135032j -0.0256798+0.0330014j 0.00606961+0.0237655j -0.0126407+0.010462j -0.00114631-0.039796j 0.000188149-0.00300127j 0.00960747-0.00733951j -0.0112536-0.00687885j -0.0295396+0.0246922j 0.00738883+0.0168552j 0.00121033+0.0390516j 0.0124327+0.00459339j 0.00705607+0.0296563j -0.0243639+0.0451791j 0.018215+0.00594928j -0.00702056+0.0210887j 0.0132027-0.0153284j 0.0181508-0.0228422j -0.00309516-0.0081359j -0.00266052+0.00796772j 0.0425951+0.024592j -0.0428291+0.0572695j 0.00762208+0.0342796j 0.0178783+0.00379594j -0.0186965-0.00102561j -0.0150332+0.0363968j -0.000659879-0.019328j -0.0150332-0.00203863j 0.0041646+0.0394078j -0.0152642+0.0048721j 0.0189003-0.0141102j 0.0122084+0.00260257j 0.0200021-0.0288688j -0.0045117-0.0232483j 0.0161691-0.0167869j -0.00323544+0.00552457j 
