0.0230979+0.0404041j 0.0120277-0.0862922j 0.0531083+0.00973983j -0.0347144-0.0107182j 0.0733645-0.0172975j -0.063044+0.0532804j -0.00243834-0.000439583j -0.0217263+0.0163045j -0.0340772-0.00390885j 0.00117249+0.0203006j -0.0475435-0.025767j 0.0413294-0.00680854j 0.0224317-0.0437868j 0.0144716-0.0713324j -0.0620508-0.00559563j 0.00630303-0.0108337j -0.0175752+0.00485375j -0.00463254+0.00126759j -0.0183681-0.0193359j 0.00884195-0.00556644j -0.0141612-0.00256256j -0.0144464+0.0102853j 0.0227113-0.00758656j 0.00139567-0.0112373j 0.00337896-0.00238125j -0.0350519-5.20765e-05j -0.0351686-0.0159808j -0.0233098-0.0247705j -0.00924803+0.00779613j -0.00911349-0.00602842j -0.00080162-0.00967909j 0.00565685-0.0119036j 0.00170433+0.0434163j -0.00609347+0.0451986j 0.00170866-0.0235719j -0.00522522+0.0500946j -0.00909164-0.0163963j 0.0704427-0.00113446j 0.0278844-0.0384263j -0.0259033-0.0272088j 
-0.0584326+0.0285802j 0.0707151+0.0527512j 0.0182812+0.0303012j 0.00910088+0.00843097j 0.0137434+0.0541846j -0.0146117-0.0392862j 0.0286368-0.010811j -0.0488342-0.0213801j -0.0194192+0.00106858j 0.0112619+0.0574551j 0.0112945-0.0543483j -0.000195919+0.0175934j -0.0112424+0.0238404j 0.0646489-0.0155771j -0.0135113-0.0243631j -0.00489852+0.00147395j 0.0150767-0.0111601j 0.0352011-0.0114812j 0.0255964+0.0150791j 0.0317834+0.00472444j -0.00302904+0.014491j -0.0329602-0.0103478j 0.0227822-0.0066792j 0.00968667+0.025497j -0.0138587-0.0146218j 0.0139486-0.0117019j 0.00722297-0.0186652j -0.019723-0.0541283j -0.00978093-0.0453622j -0.000774627-0.015779j -0.0120203-0.00522037j 0.00830356+0.0282824j -0.00674298-0.0110371j -0.0285552+0.00419013j -0.0108889+0.0213894j -0.0297124+0.00879994j 0.0473016-0.0595497j -0.0155076+0.0275374j 0.0685327+0.0184422j -0.00832501-0.0370609j 
0.0526942-0.0345101j -0.00655091-0.0206263j -0.0670389+0.0156526j -0.00836456-0.0703476j -0.0221491-0.0116224j -0.035552-0.00742427j -0.00471059+0.0181115j 0.0230615-0.0329728j 0.0114183-0.0265018j -0.0647521-0.0378616j 0.00940643-0.0012484j 0.0254977-0.0194271j 0.0384158-0.0608679j 0.00416168+0.00388453j -0.0245033-0.027987j -0.00483+0.0163968j 0.0293867-0.00181332j 0.00483416+0.01537j 0.0263588+0.0262474j 0.00593796+0.0120854j -0.00607059-0.00456398j 0.00541718-0.0220579j 0.00415373+0.0294236j -0.00680952+0.0283708j -0.0015301-0.0120681j -0.0440186-0.00265193j -0.0295555-0.00790601j 0.032727+0.0082744j 0.0268335-0.0267j 0.0152401+0.00303967j 0.0030433+0.0151073j -0.0240351+0.032691j -0.0104304+0.0574747j 0.00745432+0.0166396j 0.00906833-0.0396639j 0.0240673+0.020634j 0.0545804+0.00849317j 0.0390473-0.00900941j 0.0315483+0.0112933j -0.00301174-0.040333j 
0.0309498-0.0608311j 0.0237834-0.00981985j -0.0290606+0.0428529j -0.0537753-0.0333954j -0.0221458-0.00836888j -0.0195943+0.0323939j 0.0374106-0.0324107j -0.0563855-0.0266607j 0.019774+0.0201707j 0.00139917+0.033381j -0.00610993-0.0305536j -0.0232174-0.0469803j -0.0450712-0.0146057j -0.00166734-0.0267999j -0.0254314+0.0262511j -0.00414087+0.0291932j 0.0294504-0.0359151j 0.0127814-0.0318235j 0.0684768+0.00818321j 0.00602715-0.0161347j 0.0297353+0.0134795j -0.0029227-0.0105441j -0.0222149+0.00933411j 0.0373438+0.0260645j -0.0337525+0.0112358j 0.00987675-0.000781908j 0.00700314+0.0214151j 0.00790732+0.0342784j -0.0155332-0.0347627j 0.010131-0.00138726j 0.0122874+0.0372211j 0.0229376+0.0498101j 0.00361859-0.0155042j 0.0161664-0.0222434j 0.00835621+0.00842715j 0.0350825-0.0411459j 0.00448043-0.0452952j -0.0501523+0.000771586j 0.0137715-0.0127783j -0.0168478+0.0140366j 
-0.0206748+0.0351696j 0.0312117+0.0510944j -0.0566773-0.0246999j 0.0167189-0.0443702j -0.0238149-0.0331923j -0.00409195-0.00530065j -0.0357508+0.0144987j 0.0159936+0.046909j -0.0362032-0.0198987j 0.00281701+0.010669j -0.0348825+0.026206j 0.00703337+0.0211137j -0.000699919-0.0115057j -0.0220589-0.0137704j -0.00895404+0.0158018j 0.00881288-0.00308564j -0.0112885-0.0133276j 0.00268148-0.011324j 0.00351311-0.0334207j 0.0284074-0.03404j -0.0387789+0.0252292j 0.0250707-0.00861563j -0.0134926+0.00194257j 0.0655333+0.0271319j -0.0559769-0.0433784j 0.00435661+0.00062787j 0.00874408-0.0123105j -0.0127653-0.0151297j -0.00709246+0.0604032j 0.0166114-0.0135806j -0.013152+0.0659938j -0.00781065+0.0473377j 0.024335-0.01842j -0.0517447+0.00214511j 0.0476784+0.0134332j 0.0173622-0.00124157j -0.0166071-0.0181564j -0.0117828+0.0206568j 0.00908698-0.0147132j -0.00562498+0.00809308j 
-0.00154351+0.0452749j -0.0620945-0.0185482j 0.0234083+0.00748604j -0.0130891+0.00399201j 0.0234918+0.000817154j -0.0167119+0.0157846j 0.0117708+0.0622038j 0.0371088-0.00526948j -0.0891163+0.0230678j 0.00061448+0.066059j 0.00743064+0.0285479j 0.040109+0.0106516j -0.0358446-0.0227447j 0.0108248-0.00260787j -0.0177755+0.0122029j -0.0140697+0.0133503j 0.0446186+0.00473263j 0.0165919+0.0178738j 0.0075144+0.0468712j -0.00653025-0.0213338j -0.0108911+0.0300853j 0.0140029+0.0226517j 0.015905-0.0310447j -0.00648855+0.0187254j -0.0181791-0.0147851j 0.0425876+0.0102654j 0.0282834-0.027372j -0.0629674+0.00254836j -0.00292359-0.018699j -0.0117669+0.0040801j -0.034371+0.00303273j -0.011641+0.00759961j -0.00920458-0.0535938j -0.000883784-0.0096899j -0.00343182+0.0533423j -0.00289865+0.00312425j 0.00962261-0.0301171j -0.0544648+0.0020107j 0.0178526+0.0177332j -0.00151319+0.00601235j 
-0.00191067+0.0101992j 0.0227651-0.000828401j -0.0145095+0.00787768j -0.0553003-0.00118932j -0.0309518-0.047922j 0.0196236+0.0664747j -0.000976126-3.14931e-05j -0.00859568+0.0237987j -0.0278169+0.0100838j 0.0521761+0.026211j -0.000526354-0.0207072j 0.0124983+0.049659j 0.0153706+0.0575992j 0.042371-0.00956991j 0.0139006-0.0219596j -0.0101834-0.00541104j 0.00513543+0.0236031j -0.00544225+0.0139777j -0.0285768+0.0123489j -0.00169608-0.0252637j -0.0170399+0.0388956j 0.0135825-0.0405721j -0.00477677+0.0358136j 0.0354175-0.0123849j -0.0559729-0.00157852j -0.0214032+0.0214016j -0.0112151+0.0110898j 0.0166195-0.00306091j 0.0806028+0.0244328j 0.0131222-0.0165216j 0.0407844+0.0463987j -0.00218468+0.051504j 0.027877-0.00142065j -0.00403982+0.0357623j 0.0142828-0.0556157j 0.0412399-0.015788j 0.0310961+0.0340263j 0.0154809-0.0309719j -0.0174727+0.0123567j 0.00520049-0.00486052j 
-0.00434206+3.51134e-06j 0.0467471-0.00180852j -0.00706753-0.00197644j -0.0284188+0.00778633j -0.023063-0.0308722j 0.0227777+0.0387111j -0.00132613-0.0213523j -0.0212072+0.00425146j 0.0213821-0.0044354j -0.0123465-0.00444244j -0.0214334+0.00265596j -0.0200991-0.0331767j -0.0203968-0.0263045j -0.0325935-0.0154848j -0.0159214+0.0280805j -0.0156894-0.0123759j -0.00727865+0.0359699j -0.0161552-0.00266638j -0.0435605+0.00637255j 0.0125803-0.0243845j -0.0123194+0.00789756j -0.0260661+0.0140756j 0.0238022+0.00937801j 0.00100365-0.0280375j -0.0118606+0.00189911j 0.020447-0.039598j 0.0479254-0.0581662j -0.051694-0.0625263j 0.0187152+0.0055921j -0.019081-0.0193394j -0.0014611-0.0191198j 0.0136257-0.0174747j -0.0541224-0.0552361j -0.0647529+0.0269071j 0.0185061+0.0288955j -0.0833376+0.0202289j 0.00812196-0.00874249j -0.00436283+0.0793855j 0.0421532+0.0416203j 0.0357538-0.0261098j 
-0.0111718+0.0713828j 0.00636869+0.0496215j -0.026182+0.00752827j 0.00600177-0.012194j -0.0223749+0.0100287j 0.00556659-0.0197555j 0.0196086+0.0112733j 0.0309893-0.0184202j 0.0116821+0.0418601j 0.0226458-0.035767j 0.0157272+0.00968712j 0.0318593-0.0163901j 0.0251285+0.00216642j -0.00591879-0.00401478j 0.00412463-0.00767732j 0.00940286+0.0472706j 0.0496764-0.010489j -0.0523192+0.0445571j 0.0264708+0.00692163j -0.0455168-0.0365588j -0.00946069-0.0169457j 0.0275315+0.0284437j 0.0418935+0.0332465j -0.00131438-0.0111023j 0.00208359+0.0227771j -0.0562341+0.0246245j -0.0119962-0.0395832j -0.00357465+0.04363j -9.39976e-05-0.0183058j -0.0057197+0.00914807j 0.0176214+0.00249784j 0.0104966-0.00173923j -0.0289609+0.0533777j 0.0296847+0.0259655j 0.012888-0.0395415j 0.0223906+0.0193567j -0.0051685+0.00105503j 0.0502246-0.00182865j 0.0103655-0.029765j -0.0142463-0.0153874j 
-0.000494206+0.0200021j -0.015217-0.00366053j 0.0566238-0.0379606j 0.026249+0.0378674j 0.0480793-0.00835132j 0.00248567+0.0070428j 0.0326843-0.0536004j -0.0630474-0.0455911j 0.0708833-0.00508433j -0.0205499-0.0124107j 0.0163702-0.0528338j -0.0386851-0.0385834j -0.00622199+0.000789231j 0.0179014-0.000691502j -0.00470584-0.00928707j -0.0129222+0.0301526j 0.0451034+0.0165416j -0.0392327+0.0265183j 0.00257783+0.0289759j -0.0211306-0.0428734j -0.0192957+0.00410001j 0.0406981+0.0292852j 0.00254226+0.0169j 0.00339435+0.00842355j -0.0185842-0.00971026j -0.0170381+0.006708j 0.0175404-0.0316405j -0.0307983+0.0429586j 0.0146501+0.0182731j -0.00195582+0.0115955j -0.0143068+0.0281662j -0.0208556+0.00811351j -0.0241157-0.00537742j 0.00520729+0.00919666j 0.0330842+0.00527567j 0.0241696+0.0144627j -0.00997088+0.0179243j -0.000979676+0.00314162j -0.00762415-0.00101712j 0.00587053+0.00627545j 
0.0157483-0.000756696j -0.0714016+0.000578895j -0.00438338+0.0312101j -0.04404-0.000330867j -0.019124-0.00368981j 0.00380074+0.0303254j -0.00228622+0.0137858j 0.0134162-0.000939589j -0.014398-0.000918007j -0.00060363-0.000784307j 0.00404403-0.000168423j 0.0175355+0.0127473j 0.0157118-0.000473767j 0.0133944-0.000263659j -0.00194467-0.0144574j 0.0417105+0.0098927j 0.0210595-0.0314365j 0.00488861+0.0857153j -0.0185619-0.0117108j -0.063414-0.014122j -0.0505343+0.0309256j 0.0656926+0.00373788j 0.059726-0.0326672j 0.00855604-0.0184615j -0.0157454-0.00855631j 0.0467338+0.000835899j 0.0157303-0.118481j -0.0369798-0.000169128j -0.000406058+0.042176j -0.00900998-5.61491e-06j -0.0158738+0.00826748j -0.00549074-0.0199282j -0.0590443-0.0329937j -0.0654574+0.00382692j 0.0488092+0.0311636j -0.0624654+0.0160708j -0.0199051+0.0104867j -0.00546143+0.0852695j 0.020757+0.0306773j 0.0408906-0.00935548j 
