0.000373652-0.0790848j 0.105356-0.0308944j -0.0265268-0.0403697j -0.066224-0.0575789j -0.0434854-0.0209489j -0.0166163+0.108534j -0.0780177+0.0107506j -0.0392446-0.106258j -0.122855+0.0854012j 0.0865097+0.0352074j 0.0965092+0.0427868j 0.00553109-0.0124308j -0.0386963+0.0370648j -0.0123406+0.00596368j 0.0402145+0.0978084j -0.0320371-0.0881321j -0.0898836+0.119613j 0.10445+0.043384j 
-0.060451-0.0711228j 0.0708016-0.108582j -0.0547808-0.0159774j -0.103531-0.0010049j -0.0551095+0.0144721j 0.0679353+0.110252j -0.061955+0.0691156j -0.020444+0.0468952j 0.0667356+0.0105664j -0.0172153-0.0384629j -0.0181446-0.0442011j -0.00569028+0.00234031j 0.0242335+8.30396e-05j 0.00591047+0.00192383j 0.017498-0.044542j -0.0171933+0.0389321j 0.0669797-0.0108293j -0.0204448-0.0470262j 
-0.0774797-0.0122343j -0.0142193-0.108081j -0.0437911+0.0197263j -0.0667797+0.0559166j -0.0273698+0.0394212j 0.103702+0.0336195j -0.0021244+0.0780839j 0.106253-0.0398894j -0.0861638-0.122694j -0.0349057+0.0868251j -0.0425228+0.0968722j 0.0125065+0.00547591j -0.0372158-0.0386083j -0.00598944-0.0123798j -0.0979066+0.0405714j 0.0882366-0.0322922j -0.120011-0.0898739j -0.0433567+0.104707j 
0.00434423+0.0709824j -0.0527261+0.00441767j -0.0570935-0.0112582j 0.0255558-0.0181514j -0.00771096+0.0574816j -0.0218386+0.0483568j -0.0655701-0.027547j 0.0254363+0.0935205j 0.0790747-0.0305002j 0.0529575-0.0128696j -0.0401636+0.0454088j -0.0179229-0.0385469j 0.0394756+0.0670186j 0.0241624+0.0348103j -0.0594619+0.0122321j -0.0368771+0.0396339j -0.0661404+0.0535509j 0.0683741+0.0685419j 
0.0638263+0.06687j -0.0486365+0.0487496j -0.0661887+0.0366432j 0.0103124-0.0395659j 0.040668+0.06384j 0.0188385+0.06648j -0.0885173+0.0275156j 0.0284205-0.00456979j -0.00656974-0.0243357j -0.00217127-0.0160219j 0.01217+0.0132845j -0.0120119+0.00411425j 0.0211654-0.00961457j 0.0110614-0.00613925j 0.00173912+0.0180814j 0.0106572+0.0123889j 0.0139493+0.0213815j 0.0226351-0.0182119j 
-0.00432116+0.00646839j -0.00487376-0.00314425j -0.00416807-0.00473534j 0.00339457+0.000138416j -0.00442859+0.00441745j -0.0049896+0.00263813j -0.00377186-0.00657381j 0.0861044+0.0237855j 0.0129659-0.0770106j 0.0147885-0.0481343j 0.0172578+0.053297j -0.0391473-0.00388531j 0.0718216+0.000276106j 0.0391045-0.00273413j -0.0183038+0.0530789j 0.0140271+0.0480078j 0.0113595+0.0778829j 0.0867484-0.0219911j 
0.0877742+0.0286366j -0.0196675+0.0658394j -0.040971+0.0635596j -0.00968408-0.0398021j 0.0660646+0.0368673j 0.0479676+0.0495299j -0.0648118+0.0661075j -0.0230111-0.0179714j -0.0134914+0.0216978j -0.0104637+0.0125603j 0.00150371-0.0183103j 0.0114406+0.00603027j -0.0217178-0.00909147j -0.0122143-0.00410403j 0.012307-0.0138445j 0.00175034-0.016436j 0.00634517-0.0250827j -0.0291526-0.00428238j 
0.0651214-0.0266914j 0.0209987+0.0479395j 0.00750227+0.0572325j -0.0253066-0.0183343j 0.0564439-0.0111j 0.0522132+0.00528503j -0.00513396+0.0701898j -0.0695163+0.0669293j 0.0644606+0.054491j 0.0366255+0.0401833j -0.0590559-0.0133677j 0.0251467-0.0342966j -0.0397426+0.0665415j -0.0190759+0.037862j -0.0391312-0.0463174j -0.0523287-0.0133608j -0.0783627-0.0322932j -0.0273164+0.0924452j 
0.0129112+0.034213j 0.00840701-0.022807j -0.0537431-0.0245343j -0.000185182-0.0382187j 0.0119193-0.0316871j -0.0104497-0.0219415j 0.0234409+0.0415697j 0.0236373+0.0426618j 0.014805+0.021766j 0.10284-0.00647462j -0.00820573+0.0596077j 0.00297284+0.00321615j -0.00340395+0.00176999j 0.000673591+0.0354456j 0.0188791+0.0235079j 0.0597574-0.0489389j 0.0200897-0.0319056j -0.0219754-0.0651067j 
0.0397333+0.0308354j -0.0192457-0.032631j -0.0643146+0.0275664j -0.0473662-0.0363798j -0.0061057-0.0540449j -0.0365783-0.00897908j 0.0547916+0.0178744j 0.0241872+0.0208597j 0.0303224-0.00332576j 0.0138565-0.0427867j 0.030734+0.00365091j 0.0142791+0.0192112j -0.000562396+0.00104007j 0.0178704-0.0104921j 0.0327293+0.0151319j 0.0186269-0.047569j -0.0228411-0.017233j -0.0267443+0.000363589j 
0.0223697-0.032679j 0.0257099-0.00553994j -0.0703909+0.00621796j 0.0379188-0.0273726j -0.0389181+0.0445239j 0.0131839-0.0227338j 0.0461065+0.00796518j -0.00290582-0.054039j -0.0417205+0.0188532j 0.0384861-0.0293007j -0.00409384+0.0561005j -0.0453539-0.0475013j 0.00154252+0.00257114j 0.00990181+0.0603381j -0.0549312-0.0367918j -0.0610018+0.0265852j 0.0389019-0.0151272j -0.036225-0.0232346j 
