0.11748-0.0865843j -0.0738218-0.119254j -0.00115266+0.00609385j 0.00663047+0.00156432j 0.0156864-0.0220467j -0.0178536-0.0220916j -0.0257603-0.00265144j -0.0103557+0.027048j -0.0225991+0.0250246j 0.0156176+0.0357616j 0.00551251-0.0113676j -0.000222199-0.00972463j 0.00958208-0.0214832j 0.00107689+0.00779317j -0.000110948+0.00271983j 0.00107892-0.0161723j 0.0042526+0.000215584j 0.0199545-0.00334426j 0.00178671+0.0118432j -0.024106+0.0355092j -0.0193399-0.00997798j -0.00685727+0.0220494j -0.0358278+0.0196225j -0.00496645-0.0016721j 0.0240779+0.0146936j -0.00360996-0.0173457j 0.0214116+0.0470481j 0.0429866-0.0180942j 0.0202022-0.0244467j 0.0457791-0.00957045j -0.0505863+0.00504767j -0.0171788+0.00728093j 0.030104+0.025607j -0.00146192-0.00759507j 0.000630309+0.00321181j 0.0469809-0.00540801j -0.0109192-0.019476j 0.0236767+0.0392371j 0.0457526+0.00853076j 0.0496499+0.0529317j 0.00623837-0.00749253j -0.00504413+0.0236503j -0.00183744+0.0185616j -0.0241544+0.0154852j 0.0302693+0.0350206j 0.0212284+0.0141461j 0.0207889+0.00836608j 0.0011253-0.0173661j 0.0317698+0.0183899j 0.00100664-0.0186343j -0.00652738+0.032833j -0.0106603-0.00259868j -0.00110899-0.0063089j 0.00337096+0.000556723j 0.0255973-0.0546549j 0.00712188-0.0391584j -0.0190637+0.00152003j 0.0206417-0.00599431j 0.01403-0.00927737j -0.00904348-0.0153916j -0.0226256+0.0119736j -0.0136777+0.00673432j 0.00668321+0.024574j -0.00311411-0.00948451j -0.0174349-0.0198232j -0.00873825-0.0143586j -0.0148397-0.0149436j -0.00914488-0.0141522j -0.007052-0.0116505j 0.0110779+0.0042596j 0.00639656-0.0140472j -0.00681163+0.0151159j 0.00686552+0.0309156j -0.0297572-0.0675718j -0.00407669+0.0365559j 0.00585109-0.0429409j 0.0376676-0.0304887j 0.00704239+0.01186j -0.015136-0.0278735j 0.0171065-0.00340766j 0.000802452+0.00274637j 0.00345795-0.0329746j -0.0229649+0.000511564j 0.0062626-0.0010367j 0.0199458+0.0408603j -0.0330371+0.0297491j -0.0433148-0.0193489j 0.0112372-0.0346837j -0.0648662+0.0256831j 0.00431029-0.0256481j -0.0176124-0.0110212j -0.0122099+0.0305252j 0.0108024-0.0193451j -0.10731+0.100958j -0.100564-0.116178j 
0.0756169-0.0236064j -0.0177075-0.0787251j 0.0150201+0.00750437j 0.00752576-0.0178335j -0.018378-0.0157592j -0.022717+0.0061707j -0.0202571+0.0435875j -0.0105108+0.0131158j 0.0240637+0.0277584j 0.00590727+0.00313461j 0.00378146-0.00383299j -0.00761849+0.0128858j -0.0023051-0.00662113j -0.0054465-0.00707246j 0.00491881+0.0117492j 0.0105116-0.00891716j 0.0182827-0.0105936j 0.00476203-0.00492553j 0.00370539-0.013191j -0.0137967+0.0448674j -0.00629414-0.00324288j 0.0389184+0.0132922j 0.0138715-0.000315732j 0.027672-0.0137673j 0.0229599+0.0033013j -0.00279472+0.0250545j 0.0153096-0.0231651j -0.00753223-0.0302106j 0.0169812-0.022277j 0.0199187-0.0103136j -0.0433701+0.00812159j -0.0124691+0.00169563j 0.0249153-0.00826312j 0.0053087-0.00936782j 0.0162707-0.00482757j 0.039327+0.0271152j -0.00300012-0.00730031j 0.0351234+0.0174528j 0.0380641-0.0417593j 0.0252728+0.048386j -0.0123394-0.00289972j 0.0140442+0.0122994j 0.0536592+0.0470171j -0.00264101+0.0133181j 0.0135405+0.0386833j 0.0128088-0.0054511j -0.00757802+0.0132741j -0.0106203-0.0117044j 0.00669142+0.0132041j -0.0130534-0.0136657j -0.0170752+0.00984275j -0.00814254+0.0328421j 0.0058967-0.0085771j 0.00307132-0.00882053j 0.0433315-0.029476j 0.0112241-0.0256526j -0.0232959+0.00656151j 0.0252391-0.00495598j -0.00469567-0.0186581j -0.0150406+0.00429824j 0.00861807+0.012398j 0.0162887+0.00501611j 0.00744565+0.00783417j -0.0227601-0.00250841j -0.0219439-0.0341985j -0.000179457-0.0227392j -0.0137594+0.0116688j 0.013706-0.00423289j 0.0169546+0.00992636j -0.0028076-0.0285386j 0.00139576-0.0177275j -0.00177536-0.0246875j -0.0046514+0.0531357j -0.00623326+0.00239187j -0.0296714+0.00398034j -0.0168915+0.00343086j -0.00274878-0.00904049j 0.0259519+0.00842798j -0.00948959+0.0163763j 0.00263144+0.01453j -0.0328453+0.00947457j 0.00604958-0.0156863j -0.0285683-0.000704586j 0.0271882-0.00495267j -0.00750218+0.019456j -0.0181315-0.00213216j -0.0201936-0.00999351j 0.0121656-0.0133967j -0.00115531+0.0379208j -0.0519827+0.0209524j 0.0237486+0.0594936j 0.0335105-0.0212781j -0.0179824-0.02379j -0.0275475-0.00304994j 0.00284278-0.0316541j 
-0.111144+0.0489174j 0.0412781+0.112381j -0.17031-0.0256407j -0.0122108+0.206319j 0.0259254+0.00975079j 0.0219931-0.00834086j 0.00269478-0.105164j 0.142526-0.11473j -0.0294158-0.0221236j 0.0201126-0.00570356j 0.0278387+0.0131718j 0.0803151+0.00952074j -0.00246281+0.0253309j 0.0159389-0.0284548j -0.0325741-0.0182237j -0.0544642+0.0458444j -0.0412888+0.0254808j -0.106724-0.00616851j 0.000108018+0.0557134j 0.0669291-0.228028j 0.0167646-0.00662689j -0.199823-0.0801357j 0.0574199-0.0104804j -0.0628562+0.0939099j -0.143549-0.139419j -0.0294448+0.0824028j -0.0504198+0.00115327j -0.12869+0.0738642j -0.0497024+0.0433912j -0.178372+0.147227j 0.120934-0.024357j 0.0899583-0.011802j -0.149791-0.0562915j 0.0109776+0.0430009j -0.073676+0.0110851j -0.22008-0.153864j 0.0476279+0.079055j -0.184622-0.083441j -0.0710114+0.0554137j -0.0542111-0.0966861j 0.0775299-0.0493649j -0.0389102-0.113525j -0.0620094-0.16728j -0.01533-0.0607211j -0.10227-0.225435j -0.0064573+0.113458j -0.0550622-0.0706527j -0.0166516+0.0221517j -0.0531217-0.0859875j 0.00825038+0.0410889j 0.0325525-0.103477j 0.0103637-0.0873019j -0.0142606-0.0362601j 0.0114777+0.0293483j -0.19068+0.192429j -0.0576356+0.133638j 0.0962683-0.021569j -0.0870538+0.0169927j -0.0109842+0.00416685j 0.0993383-0.011539j 0.0182564+0.0128798j -0.00420904+0.00527056j 0.0828013-0.0679872j 0.00965533-0.0179144j 0.010876+0.0577203j -0.00545804+0.00192688j 0.0217446+0.0106119j -0.069483+0.0214115j 0.00480384-0.00339032j 0.0152606-0.00873358j 0.019339+0.00342424j -0.0393766+0.0167189j 0.0074282+0.000382883j -0.0216402-0.00403242j 0.0156461+0.00657202j 0.0180254-0.0100696j 0.00631581-0.0105376j 0.00428784-0.00465147j 0.0090432+0.0195332j 0.0183772-0.0284246j -0.0204185+0.0372967j 0.0330475-0.000286919j 0.030074+0.0098937j 0.0195639+0.000586679j 0.0398274+0.0115061j -0.0069739-0.00228237j 0.0050496+0.0332419j -0.0352951-0.0149679j -0.0668296-0.00916717j -0.0570253+0.0118633j 0.0102889+0.0598532j -0.0316623+0.0636412j 0.0613254+0.0373989j 0.0267358-0.0197469j 0.0282234+0.0277627j 
-0.0118124-0.0798294j -0.0782203+0.02379j -0.0113333+0.00799846j 0.0151892+0.0170294j 0.078664+0.0550707j 0.074165-0.0514726j 0.0640572-0.152449j -0.0352738+0.0254677j -0.118611-0.0890817j -0.016381+0.0314583j -0.0245599-0.0105922j 0.00237713-0.0700477j 0.0417033-0.0196194j 0.0157613+0.0486076j 0.00866312-0.0285483j -0.0359516-0.0146621j -0.0540903+0.0207627j 0.0408555+0.0215942j -0.0189006+0.0301768j 0.0252481-0.0181496j -0.0170826+0.0343975j -0.0559851+0.00221456j -0.142345+0.0447617j -0.0978232-0.0328198j -0.0163816+0.0536577j 0.0552883-0.152023j 0.00315036+0.156334j 0.118452+0.0788487j -0.0482292-0.00443578j 0.0834406-0.0163125j 0.0426075+0.0352691j 0.00386191+0.0168485j -0.00568233+0.0620501j -0.0142911-0.00806589j -0.016361+0.0310372j -0.00669605-0.0232787j 0.014347-0.0477939j -0.0142243+0.0230373j -0.0638659+0.114115j 0.0465276-0.053569j 0.0188656+0.0408313j -0.0350332+0.0298181j -0.154536-0.11717j -0.0114802-0.0184586j 0.0274979-0.0103476j -0.0160831-0.0192868j 0.0784025-0.0299456j 0.0806172+0.0149255j 0.0181086+0.0229109j 0.0955332+0.0169328j 0.0817935+0.0618391j -0.0137442-0.110306j -0.0169664+0.0606619j -0.0116431+0.012806j -0.0181887-0.0138348j -0.0101658-0.0353544j 0.0109633+0.000559758j -0.00791624+0.0150311j 0.0174324+0.0462063j -0.0111943-0.0542961j -0.0597908-0.00319822j -0.100794-0.00495784j -0.0867262+0.0311203j 0.0783387+0.0423892j 0.0633381+0.0578705j 0.00780013+0.0517672j 0.0145606-0.09232j -0.0358686-0.0739235j -0.0659747-0.0728388j 0.0368292+0.143234j 0.0097786+0.0401781j -0.00614945+0.149247j 0.0352703-0.241927j 0.0152581-0.106068j 0.0766526+0.0159975j 0.109838-0.112723j 0.0759026-0.0264318j -0.108438+3.07563e-05j -0.0275362-0.126787j 0.0489304-0.0516186j 0.104288-0.0903324j -0.047587-0.02764j 0.0132545+0.0099282j -0.118545+0.0261883j 0.0565421-0.030551j 0.0224954+0.0693557j -0.0586189-0.0413703j -0.0125871-0.00413722j -0.0915013-0.0103048j 0.208105-0.172709j -0.158158-0.255207j -0.0826073+0.0327433j 0.0240992+0.00338692j 0.0410256+0.0958844j -0.0852294+0.0290081j 
0.236571-0.103106j -0.0725611-0.246734j -0.0893841-0.0317549j -0.017844+0.0987209j 0.0337165-0.0494446j -0.0426758-0.0412792j -0.0572505-0.0220216j 0.062182+0.0141363j -0.0282673+0.0507029j 0.0518095+0.0685869j 0.0253933-0.026752j 0.0580661+0.00415979j 0.0127686-0.0270369j 0.0025208-0.00284285j -0.0171669-0.00115783j -0.0219298-0.0136986j -0.0014478-0.00314849j -0.0225653-0.0125314j 0.00976017+0.0479773j -0.029755-0.0410949j -0.0319757-0.0345041j -0.120382-0.0188636j -0.0221219+0.0323142j -0.0284869+0.0390848j -0.0248498-0.0523357j -0.0350952+0.0529702j 0.0138991+0.0512003j -0.0129296-0.0163099j 0.0125881-0.00720621j -0.0274489+0.0601771j -0.0444631-0.0107306j 0.0119778+0.00256052j -0.0184018+0.0103567j 0.0129825+0.011239j -0.00690287+0.0107141j 0.0217696-0.0835887j 0.0117781+0.0282008j -0.0349923+0.0439681j 0.0749954+0.0416584j 0.0701972+0.0975602j 0.0585997-0.0683746j -0.0385935-0.0398656j 0.00849951-0.0409641j -0.0727702-0.0218873j -0.0102922-0.0187795j 0.072207+0.109297j -0.0233413-0.00683943j -0.0326788-0.0414992j 0.0599195+0.00273953j -0.0100017-0.027772j -0.00456259-0.00417694j -0.0197035-0.0291593j -0.011637-0.040626j 0.0233025+0.0132812j -0.028063-0.0179781j -0.0274902-0.0342364j 0.00192044-0.0100242j 0.00875597-0.00212121j 0.0296595-0.0297299j 0.0267364-0.0374376j -0.0223158+0.0202735j -0.00721873+0.0104367j 0.0781496+0.0372751j -0.0342254-0.0600255j -0.0372663-0.0446708j -0.00775501-0.0518898j -0.0198311-0.0066405j -0.0588093-0.0462924j 0.0118183-0.0313988j 0.0227645-0.0468502j 0.0281644-0.0658183j -0.0311888+0.0266j -0.000770516+0.166825j -0.0522209-0.131249j -0.0375076+0.105565j 0.00233411-0.0958277j 0.0786528-0.123292j 0.0343602+0.0312445j -0.000902394-0.0345595j 0.0377986-0.0327959j -0.0607326+0.0762599j 0.00141573-0.0754393j -0.0827029+0.0295707j 0.0633203-0.0159008j 0.0369614+0.116837j -0.106615+0.0451687j -0.0865716-0.0192031j 0.0240518-0.0477632j -0.15588+0.103446j -0.0857273-0.00416074j 0.0146453+0.0778175j 0.00398461+0.0524269j 0.00286757-0.0855604j -0.151778+0.222041j -0.224615-0.182526j 
-0.0299712+0.00997343j 0.00444115+0.0295035j 0.0226947-0.015051j -0.022876-0.0227531j 0.000314426-0.00577185j -0.00241461-0.00343496j -0.000490488+0.00250115j -0.00732832-0.0146853j 0.00843805-0.0142724j -0.0268372-0.0013664j 0.00458622+0.00890439j -0.00311258+0.0156565j -0.000784156+0.0077807j -0.00239156-0.00295912j -0.0033293-0.00451417j 0.0111944+0.000433268j -0.00385804+0.00517171j -0.00798096-0.00132091j -0.00533668+0.000228949j 0.000371775+0.00294383j 0.00569397-0.006293j 0.0117731-0.0141536j -0.00100237-0.00871332j 0.000453528+0.000923376j 0.00282554+0.00544686j 0.0119831-0.00429771j -0.0131203-0.0174125j -0.0129439+0.0189883j 0.0130182-0.0107364j -0.0235938-0.00267472j 0.0169663-0.0131115j 0.000370825-0.00015643j -0.0194382-0.0159665j 0.0181026+0.0104127j -0.0165045-0.0260593j -0.0171793-0.00957531j -0.0182288-0.000213651j -0.00147415+0.00767655j 0.019506-0.00375027j -0.00843346-0.0183729j 0.00242218-0.00821946j 0.025177+0.0164664j -0.00566156+0.0266893j -0.00491552-0.00785822j -0.0120533-0.0277835j -0.0043146+0.00320172j -0.0136239-0.00564481j -0.00586917-0.0129413j 0.00285209-0.00935647j -0.00795386+0.0143696j -0.0159302-0.0106216j -0.00826426+0.0153522j 0.00295249-0.0253773j 0.0162691-0.0187554j -0.0100545+0.0200988j -0.018101+0.0246035j 0.000504644-0.00225753j -0.019288+0.00624744j -0.00308301-0.00479697j 0.0105092+0.00630988j -0.0113524-0.00598356j 0.000698887+0.0164098j -0.001678+0.00354597j -0.00547785-0.0119114j 0.0113207+0.00432716j 0.00639276-0.00572181j -0.02051+0.0155794j -0.00221073+0.0226077j -0.00468884+0.00214926j -0.0138074-0.00136526j -0.0159274-0.00309295j -0.017638-0.0143889j -0.0165331+0.0128373j 0.00120654+0.0258124j 0.00962658-0.00208204j -0.0231057-0.00414224j 0.0130514+0.0165058j -0.0167105+0.0120399j -0.0177102-0.00334077j -0.0148658-0.0209529j 0.0107255-0.01304j 0.0155953+0.0342192j 0.000393359-0.0227955j 0.00741538-0.00930215j 0.0132288-0.0184078j -0.0121169-9.68273e-06j 0.00466105+0.0148046j -0.00860098-0.0151405j 0.0283538-0.00464392j 0.00119971+0.028948j 0.031643+0.00644266j 0.0340549-0.00772855j 0.00408418-0.0169998j 0.0104772-0.0340519j 0.0340701+0.0162426j 
-0.00155619-0.0104328j -0.0136887+0.00269014j -0.0123149-0.0150545j -0.0202972+0.0169046j -0.0143733+0.00158257j -0.00156842+0.0145763j 0.0118013+0.00776886j -0.00171657-0.00740828j 0.0105715-0.0150196j -0.00457602-0.000929333j -0.00588186+0.00972589j -0.000280926+0.00565972j 0.00302591+0.00523228j -0.00194891+0.000413396j 0.007998+0.00290517j -0.00655837-0.00758832j 0.00494525+0.0016088j -0.00689344+0.0026151j 0.00178352-0.00309746j 0.0109647+0.0141081j -0.00499444+0.00109778j 0.0228399+0.00357726j -0.0125095-0.00294407j 0.00758123-0.0212476j -0.00670259+0.0189905j 0.0174612+0.00286234j -0.00172039-0.00874676j -0.0196376+0.0122174j 0.00439951-0.00718341j 0.0180371+0.0141949j 0.00113742+0.0220295j 0.00305993-0.000585154j -0.0147201-0.0173035j 0.0113907+0.00230289j 0.00631961-0.00638491j 0.0018286+0.0226659j 0.0135092-0.00664522j -0.0200495+0.0041894j -0.00113879-0.0159187j 0.00311428+0.00897155j -0.00111187+0.0081554j 0.0127935+0.00544717j 0.00959151-0.0108192j 0.012755-0.0165199j -0.0144786-0.0114573j 0.000242321+0.000104708j -0.00222927-0.00236243j 0.0242734+0.00296734j -0.0110162-0.00105605j 0.0168726-0.00614008j 0.0138219-0.00190767j -0.0186746-0.0114j -0.00482215+0.00148124j 0.00930753-0.00741022j 0.00811249+0.0189759j -0.00116373-0.00391294j -0.00516262+0.00503561j -0.00746178+0.00124902j -0.00723377+0.0085004j -0.00108709-0.0056507j 0.00338908+0.0110129j -0.0120506+0.00592933j -0.0124406-0.013439j 0.0136308-9.77788e-05j 0.0036168-0.00259727j 0.00137804+0.00890605j -0.00206317-0.012143j 0.000651959-0.0327395j 0.0035494-0.000513105j -0.00982297+0.0122614j -0.00170941+0.0112316j -8.21787e-07+0.0110191j 0.000387917-0.0372589j -0.00660363+0.00517291j 0.00792226-0.00775757j 0.0176218-0.013424j -0.00337416+0.00295165j -0.0289658+0.0016748j -0.0113223-0.00492818j 0.00381723-0.0115688j 0.00347427-0.0311309j 0.00502843-0.000497755j -0.00326793-0.00880813j -0.0113619+0.00640814j -0.00487176-0.0175169j 0.0059567+0.00321587j 0.0160225+0.00756908j -0.00687138+0.0162498j 0.00481305-0.00726317j -0.0389894-0.0171593j -0.0213111+0.0336712j 0.00561189-0.0119633j -0.0149408+0.00361897j 0.00129797-0.0131258j 0.0141056+0.00262113j 
-0.0461204+0.00466378j 0.00259781+0.045558j 0.00248712+0.00295043j -0.000545212-0.00463086j -0.00905691-0.00487024j -0.00816998-0.00152476j -0.00275228+0.00519403j -0.00687116+0.000149714j -0.00198423-0.00207948j -0.00955484+0.00280812j 0.00587568+0.010489j 0.0028884+0.00426297j 0.00399537+0.00286087j 0.00229553-0.00194655j -0.00735363-0.000791773j 0.00402359+0.000918312j 0.00668795+0.00102945j 0.00454435-0.0021599j 0.00120042+0.0052095j -0.0140257+0.00887475j -0.00472945-0.00707462j -0.00410598+0.0132134j -0.00517627-0.0149612j 0.00292624+0.0136484j -0.000296185+0.00670908j -0.0110211-0.00616705j -0.000964642-0.00100851j 0.00629309-0.00451119j 0.016158+0.00417193j -0.00129088-0.0112434j 0.00660449-0.0195852j -0.00342669+0.00320017j 0.0108852+0.00226269j -0.00190123+0.00812005j -0.00101399-0.00163769j -0.00355098-0.00469153j -0.0120289-0.00680854j -0.0122699-0.0095988j -0.000722913+0.0140641j -0.00932114-0.000926513j -8.4714e-05-0.00173597j -0.000720253-0.00207791j -0.00817141+0.00331117j 0.00936556-0.00516167j 0.00394329+0.000127586j -0.0218276+0.00215804j 0.00921285+0.000145021j 0.00366911+0.00491273j -0.0138303-0.00617487j -0.0155698+0.00122882j -0.020198-0.00366517j 0.00804045+0.00100708j 0.0131502-0.00597873j -0.00788943+0.00870621j -0.0156195-0.000485285j -0.00472563+0.0099233j 0.000842412-0.000299142j 0.00600428-0.00303725j -0.00342988+0.0145564j -0.00338097+0.0080086j 0.000183113-0.00657257j 0.00871839+0.000824434j 0.00223127-0.0121547j 0.00815413+0.000137486j 0.00188273+0.00822151j -0.0017595+0.00723834j 0.00836637+0.00890453j 0.0060568+0.0309344j 0.00405637+0.011377j -0.0113096-0.000288355j 0.00403028+0.00374219j 0.00140192-0.0161485j -0.00422982-0.00137943j -0.00133298+0.00370475j 0.00831493-0.0105177j -0.00101766+0.0159065j 0.00137062+0.0243483j -0.00331213-0.0119157j 0.0152035+0.00779553j -0.00652148+0.00158373j 0.0100966+0.000114445j 0.00624292+0.00131596j 0.0214157-0.0139487j 0.000164702+0.000315136j -0.00966409+0.000820612j 0.00490668-0.0210373j 0.0358653-0.00409065j 0.00052107+0.0305912j 0.00736411-0.0146937j 0.0081704-0.000309477j 0.00357384-0.00357152j -0.0118446-0.0320387j -0.0340445+0.0265837j 0.00161004-0.00866409j 0.0100804+0.00475499j 
-0.0359936+0.0176687j 0.0135726+0.0350847j -0.00117571+0.000129235j 0.00138663+0.00286869j -0.0105141+0.00148571j -0.0033412+0.0093944j 0.0040418+0.0104231j -0.00333465+0.00299263j 0.0037237+0.00445606j 0.010521-0.0118911j -0.00545556-0.000724913j -0.00257367-0.00781933j -0.00575111+0.00451069j 0.00103256-0.00247332j 0.001499+0.00472906j 0.00116863+0.00393979j 0.00428967-0.00500178j 0.00681467+0.00162592j 0.004002+0.000255735j -0.00172867-0.00536929j 0.00698091+0.00614282j 0.00330238+0.00834005j 0.0201109-0.000212006j -0.000293428-0.00273014j -0.0116114-0.00475543j -0.00735598+0.0137045j -0.00226103-0.00763528j -0.00543681-0.00325589j -0.00309664+0.0142906j 0.00280363+0.00702092j -0.00579545+0.00274253j 0.00375798-0.00220064j -0.00651029+0.00191726j -0.0151473+0.00013527j 0.0149225+0.00544227j -0.00781383+0.0150508j 0.00484096-0.00307499j -0.00746842-0.0179557j -0.0252024-0.00887106j -0.0149048-0.0210332j -0.00376914-0.000309606j -0.00458562-0.0129815j 0.00965845-0.0106656j 0.00734503-0.000425734j -0.00135579+0.00941946j 0.00674942-0.00303138j -0.00319394+0.00993619j -0.00660979+0.00494653j 0.00688406-0.0121247j -0.000193676-0.00327638j 0.00863004-0.00700111j 0.00336818-0.00876516j -0.00828333-0.00429273j -0.00858266+0.00897164j -0.00684632+0.00225189j -0.00549169-0.00230559j 0.00140279+0.00296889j 0.0075317-0.00630721j -0.00423938+0.005616j 0.000857718+0.00339516j 0.0111111-0.000615436j 0.00156928-0.0122683j 0.00281699-0.00662406j -0.00189497-0.00131749j -0.00336989+0.00684606j -0.00216822+0.00338375j 0.013189-0.00419985j 0.00527276-0.00244164j 0.00302441-0.00449295j -0.00409325+0.0022078j 0.00374261-0.0050869j 0.0199421-0.00672389j 0.00281273-0.00956768j 0.000602608+0.0346612j -0.00177052-0.0148428j 0.0132789+0.0227914j -0.00517934-0.00477336j -0.00174167-0.0168139j 0.0269929+0.0178684j -0.00146802+0.00651634j -0.0173761+0.00139414j -0.00386643+0.0027777j -0.00660546-0.00174258j 0.00142208+0.0121667j -0.00760155+0.00794603j 0.0164661-0.0142769j 0.00335027+0.00619451j -0.00272527-0.00496184j 0.0149664-0.0326085j 0.00304809+0.00414275j -0.00129862+0.00304738j 0.0108759-0.00880459j -0.00465679-0.00976446j 0.0171592-0.0369656j 0.0375154+0.0240531j 
-0.00315305+0.00133168j 0.00128098+0.0059127j 0.0208207+0.00659999j 0.00993974-0.0209147j 0.0200055+0.0016291j 0.00302922-0.0124852j 0.0169869-0.0183354j -0.00903858+0.00234386j -0.0119951-0.0278435j -0.0142865-0.00385033j -0.00684867-0.000525066j 0.0032954-0.0101442j -0.00310317-0.0175887j 0.00385169-0.000420852j -0.00580708-0.00308134j -0.00752562-0.00389569j 0.000655059-0.0110956j 0.00343917+0.011426j -0.00334921+0.0111799j -0.00251845-0.00392465j -0.0191183+0.00032301j -0.00813232+0.00533497j -0.00478556+0.000942579j -0.00296062+0.00347165j -0.00851094-0.0123895j -0.00373885-0.00410128j 0.00151986+0.000373642j 0.00375605+0.000731336j -0.0105575+0.00258203j -0.0118006-0.00851866j 0.0156318+5.43547e-05j 0.0145042+0.00176864j 0.0134252+0.000749264j -0.0024957-0.0103094j 0.00121284+0.0138612j 0.000213561-0.00814971j -0.000106206+0.00845299j 0.00952906+0.00554356j -0.0096002+0.00254496j 0.00558215+0.00279784j 0.00254026+0.00417719j -0.00232882-0.00505035j -0.00286438-0.00307882j 0.00131757-0.00226507j 0.00238777-0.00130228j 0.0110401-0.00617831j 0.00101879-0.00172207j -0.0111395+0.00529724j -0.00335482-0.00855575j 0.00324731-5.31049e-05j 0.0150743+0.00873741j 0.0014176+0.00186274j -0.0115682+0.015708j -0.000324884+0.000145815j 0.00462981+0.00498381j 0.00790517+0.0027102j 0.00490545+0.00237023j 0.000788221+0.00207904j 0.00803668-0.000312793j 0.00454826-0.00756332j -0.00448679-0.00413496j -0.00363356-8.00788e-05j -0.005064+0.0087536j -0.0105531+0.000304271j 0.00221436+0.00441759j 0.00234495-3.62081e-05j -0.00256487-0.00245987j -0.000389431-0.00629652j -0.0106266-0.00838879j 0.00631043+0.00728009j -0.00765848+0.00236802j -0.000797931+0.00796623j 0.00153671-0.00745452j 0.010287+0.0090865j 0.00267463+0.00407931j 0.003978-0.00169367j 0.000383066-0.0145906j -0.00494559-0.000974712j 0.00423529-0.00708163j 0.00123593+0.00611574j -0.00438912-0.0098387j -0.0049776+0.00307771j -0.00652641+0.0153841j -0.00286173+0.00326406j 0.00834396-0.00344874j 0.00632673+0.00235049j -0.0192157-0.00108433j -0.00367353-0.0169163j -0.00298656+0.00511772j 0.014913-0.000855574j -0.00164074-0.0174837j 0.00709686+0.00874699j 0.0135321-0.00929864j 0.0136572-0.0100248j 0.0104887+0.012905j 
-0.00365538+0.0128902j 0.0145521+0.00435929j -0.00235833+0.00117444j 0.00168681+0.00230983j 0.0217033+0.0120519j 0.00369634-0.0225817j 0.010145+0.000236586j -0.00160908+0.0159308j -0.00175588-0.00123398j 0.0102004-0.00368598j 0.000733151-0.0102077j 0.0219809-0.0107452j -0.00450646+0.0118002j 0.0132337+0.000887739j 0.00711893-0.0101415j 0.0179841+0.0155436j -0.000603132-0.0196069j 0.0289567+0.00463658j -0.0165973+0.0274051j 0.00876099+0.00475177j 0.00380396+0.00578387j 0.00416628-0.0103271j 0.00603125-0.00531819j 0.0053926+0.000572345j -0.0046492-0.00952018j 0.0043517+0.00812413j 0.00072272-0.00649065j -0.00823453+0.000691249j 0.00540755+0.00487595j -0.00672177+0.00771256j -0.00252741+0.00658032j 0.00900723+0.0174171j 0.00437523-0.00504997j -0.000240769+0.00436472j 0.00446291+0.00411498j 0.00108375+0.00356435j 0.00141854-0.00408592j 0.000354387+0.00170914j -0.0038535-0.00170822j -0.00244865+0.00170504j 0.00391259-0.00500583j -0.00205713+0.00273911j -0.000684824+0.00334748j -0.0042515-0.00198383j -0.00994159-0.000407524j 0.00593427-0.000420502j -0.00973864-0.0025838j -0.00373911-0.000121613j 0.00800533+0.00240875j 0.0031171+0.00415455j 0.00495556-0.00694701j -0.0016097-0.00227288j -0.000695461+0.00364529j 0.00437874-0.00387873j -0.00525339+0.00391326j -0.00118426-0.000759916j 0.000570326-0.00557339j -0.0069216+0.00319459j 0.000736398-0.00241113j 0.000831372-0.00354386j -0.000431893-0.00334167j -0.00287398-0.00303366j 3.52954e-05+0.0084062j -0.000930627-0.00265971j 0.00410048-0.00190476j 0.00283932-0.000642302j -0.000563227-0.00229792j 0.000899089-0.00986606j -0.000788975-0.00207051j 0.00333915-0.00640347j -0.000331381-0.00329114j -0.000110903+0.00325643j 0.00461754+0.0067632j 0.00579359+0.000562803j -0.00274473+0.000719812j -0.000723176-0.000418577j -0.00228573-0.00771431j -0.000494914-0.000274912j -0.00569965-0.00285138j 0.000252488-0.00222988j -0.000922337+3.32295e-06j -0.00528331+8.30914e-05j -0.00687915+0.0067421j 0.00163451-0.00245561j -0.000382673-0.00123919j -0.000462714+0.00277751j -0.00609487+0.00283906j -0.00380357-0.00544882j 0.00197718+0.0113076j -0.00300111+0.00607656j 0.00780769+0.000607305j 0.00525671-0.00344362j -0.0024478-0.00342842j 0.0140106-0.00220435j 0.00165206+0.0119297j 
