0.42171-0.198301j 0.250136+0.439256j -0.0295361-0.300908j -0.20338+0.239432j 0.0873839-0.174014j -0.253811-0.0188287j 0.0688534-0.024878j 0.0168335-0.0630268j 0.275163-0.0867316j 0.108606-0.00680605j 0.00641313-0.194686j 0.00212406-0.0683307j 0.108992+0.012775j -0.271604-0.0998421j -0.00876988-0.0626139j -0.0664486-0.0293715j 0.255957-0.0034469j -0.0788461-0.17852j 0.190348+0.252805j 0.0507146-0.297505j -0.277555+0.41875j 0.404689+0.226724j 
0.0404726+0.220709j -0.209412+0.0552603j -0.0615677-0.00388586j 0.0251154+0.131705j 0.125212-0.04709j 0.0357134+0.0819728j -0.00676888+0.0526893j -0.0154001+0.0913745j 0.170533-0.0499654j -0.0216828-0.017829j -0.0012477+0.0966022j -0.000737138+0.0429947j -0.0214905+0.0167588j -0.168283-0.0548401j 0.0138494+0.093222j 0.00414934+0.0538931j -0.038237+0.0806466j -0.123002-0.0522732j -0.0310968+0.128337j 0.0583702-0.000971647j 0.206995+0.0676432j 0.0531434-0.217888j 
0.0367071-0.0153385j -0.00499228+0.0449255j 0.126627+0.025618j -0.00924553-0.126415j -0.0762819+0.0435112j -0.00427831+0.00926767j -0.0150976-0.0188649j -0.0120904-0.00764478j -0.0303101-0.00138501j 0.0178068+0.0776117j -0.0407348+0.0155101j -0.0549882-0.0442484j -0.00123419-0.00056785j 0.00614051-0.0289941j 0.0402773-0.0378646j 0.0771088-0.0346835j -0.0154275-0.0418855j 0.0154478+0.0156882j 0.00529578+0.0624567j 0.0608401+0.0117068j 0.0578188+0.0665679j 0.0774238-0.0713629j 
0.018818+0.0663103j -0.057867+0.038946j 0.055078-0.0969507j -0.13401-0.0435336j -0.0465903+0.0798311j 0.0420423-0.00999741j -0.0524049-0.0782933j -0.0154049-0.050894j -0.00645289-0.00474195j 0.0607459+0.0420113j -0.000569497+0.0745404j 0.00052505+0.0114204j 0.0620204-0.0409424j 0.00749957-0.00452495j 0.0167605-0.0497991j 0.0544154-0.0764596j -0.0402544-0.0107715j 0.0430286+0.0822847j 0.137415-0.0380856j -0.0515699-0.10017j 0.0551561+0.0412005j 0.0219111-0.0635403j 
0.0944672+0.0478402j -0.0553544+0.0787323j 0.0174059+0.0935514j 0.0613967-0.0299051j -0.072199+0.00240815j -0.00356548-0.0298504j -0.0602979-0.0289914j -0.0387904-0.0304494j -0.0251718-0.034697j -0.0279495+0.0530635j 0.00119869-0.00701258j 0.0218731-0.0921847j -0.0015825-0.058817j 0.0389699-0.0197181j 0.0476478-0.00961989j 0.0676366+0.00113441j 0.0157338-0.0258868j 0.0630985+0.0348475j -0.0396785-0.0547591j -0.0575036+0.0736014j 0.0105323+0.0965629j 0.106978+0.00209459j 
-0.073887-0.0749362j 0.0609224-0.0624066j 0.0618007-0.0110155j 0.0067773-0.062365j 0.0164341-0.0150539j -0.0158951+0.0424217j 0.0757693+0.0360528j 0.0395083+0.0393044j 0.00468544+0.0289915j 0.00222994-0.000849421j -0.0401477-0.0155948j -0.0565718+0.0431457j -0.0188044+0.0764817j -0.0308181+0.000587524j -0.0120514+0.00703679j -0.015957+0.0178228j -0.00436813-0.0082773j -0.0745496-0.0463408j -0.0149979+0.126099j 0.126751-0.0200543j -0.00112997-0.0450405j -0.0369902-0.0179835j 
0.000265107+0.000347434j -0.00896455+0.0109074j 0.0254336+0.00163663j 0.0283743+0.00495951j -0.0211015+0.0198051j -0.019659+0.0846436j -0.0191821-0.00222422j -0.0268135+0.0166683j 0.0469822-0.00959382j 0.0283593+0.0488193j -0.0231053-0.000273446j -0.0280403-0.0273673j 0.00237046+0.00495505j -0.00385787-0.0173646j -0.0286293+0.00593764j 0.0202312+0.00212404j 0.00981156+0.00635432j -0.0212378-0.0190667j -0.00375055-0.0284003j -0.0347734-0.0317722j -0.0160021-0.0280653j -0.0437798+0.0105867j 
0.00668256-0.00683703j -0.00623736+0.0273146j 0.0601602+0.0137162j 0.0544996-0.0300483j 0.0170078+0.0504672j 0.0283635+0.0811229j -0.0152272+0.0351903j -0.0162874+0.0442708j 0.00896932-0.0332691j 0.0685104+0.0009785j -0.0201446+0.0252772j -0.0222221+0.00119998j 0.00129615+0.0175775j -0.0242185-0.00257716j -0.0284494+0.0371709j -0.0113501-0.016418j -0.025769+0.014738j -0.0453804-0.00919939j -0.00265006-0.042228j -0.0573179-0.0428274j -0.0473227+0.0053682j -0.0196473+0.0438468j 
-0.00970134+0.0118713j 0.00606689-0.0120465j -0.0560189-0.0407215j -0.00771186+0.0244016j -0.046581+0.010813j 0.0646094+0.074049j -0.038077-0.0268041j -0.00547357+0.00986417j 0.0643125-0.0679297j 0.0505231+0.0580637j -0.0204793+0.000465661j -0.0709709+0.00242156j 0.00727345-0.0289096j -0.0107041-0.03508j -0.0103343+0.00104843j 0.0701632-0.0242953j 0.0608641-0.0435103j 0.00120031+0.00630932j -0.0440263+0.0274804j -0.0138923+0.059558j -0.0192806-0.0473517j -0.0448229+0.0366891j 
0.00533299+0.015937j -0.0185236+0.0347001j 0.0942174-0.0447203j -0.00232124-0.0684567j 0.0397228-0.0165833j -0.0347388+0.0604558j 0.057854+0.0461239j -0.00355625+0.00910537j -0.0186561+0.0670203j -0.0236216-0.0334674j 0.0001986-0.00413965j -0.000800843-0.0600147j -0.0255384+0.0331934j 0.0172837+0.0685678j 0.00333007+0.00807782j -0.0582581+0.0444255j 0.0370454+0.0594668j -0.0399099-0.0173276j 0.00422372-0.0676117j -0.0944757-0.047094j 0.0160864+0.0348027j 0.00631568-0.0135641j 
-0.00556515+0.0469231j -0.041057-0.0201807j -0.0309421-0.0107748j -0.0387691+0.019791j -0.0345935-0.0442112j -0.0771148-0.0162758j 0.0158066+0.00627082j -0.0114874-0.0573191j -0.0164733+0.0537105j -0.0603126+0.0165063j 0.000568204-0.0463066j 1.98015e-05-0.0550231j -0.0603164-0.0171053j 0.0155221+0.0533236j 0.0122842-0.0582378j -0.0150835+0.00541567j 0.078685-0.0146448j 0.0351067-0.0443403j 0.0373101+0.0206614j 0.0314509-0.00936532j 0.0417394-0.0186105j -0.00425208-0.0472042j 
