0.118494+0.0798006j -0.0878061+0.101298j 0.0503018+0.0725246j -0.0532969+0.0595243j -0.018926+0.0284427j -0.0154031-0.0175008j -0.0246436-0.0242365j 0.000189254-0.0334504j 0.0463622-0.0366501j 0.0161183+0.0137576j -0.0100535-0.00903141j 0.00306334+0.0185004j -0.00993705+0.0127044j -0.0166544+0.00213773j 0.00626665-0.0255113j -0.0139343-0.0149605j 0.0135613-0.0274499j 0.00275299+0.0255536j 0.0369327+0.0438274j 0.0196617-0.00570412j -0.00286757-0.00597645j 0.0217157+0.00158943j -0.0047139+0.0256018j -0.00673017+0.0442331j 0.0353839-0.00929654j -0.0437926-0.0178633j 0.021709-0.0254486j 0.0118758+0.0101638j 0.038011-0.00187849j -0.0525365-0.0078831j -0.0156314+0.00128889j -0.0501713+0.00979343j -0.0165115+0.0184127j -0.00339218-0.00367388j 0.00701208-0.016041j 0.0234422-0.0381963j 0.0188966-0.00602951j 0.034735+0.00534358j 0.00477068-0.00928575j 0.0435777+0.0146042j -0.0126888+0.0056354j -0.0208726-0.00343328j -0.0137038-0.0402118j -0.0172863+0.0105083j -0.00517014+0.0376522j 0.013096-0.0432463j -0.00326974-0.0220936j 0.0670234+0.00930054j -0.0223856-0.0585357j -0.028316+0.0134146j -0.00312554-0.00275939j 0.0140837-0.00767802j -0.00526349-0.0179377j 0.0174277+0.0287544j -0.0317484+0.0281153j -0.0122166+0.0280179j 0.0116897-0.0610705j -0.0220778-0.013781j -0.0550279-0.00162094j -0.0317431+0.0288747j -0.00306292+0.0690675j 0.0111641-0.0243122j 0.0162199-0.0140049j -0.00582456-0.00676189j -0.00462687-0.0306492j 0.0595546+0.0381536j 0.000230371-0.0548308j -0.0663847-0.112921j -0.127027+0.0589645j 
0.0588549-0.00442627j -0.00374827+0.0492282j -0.049508+0.0396786j -0.0295259-0.0442695j 0.000837163-0.026798j 0.0383489-0.0201417j -0.0462802-0.0508647j 0.0113777-0.0271205j 0.0427534-0.0247538j -0.0103896+0.0147948j -0.00619319-0.00740289j -0.00823332+0.0367121j -0.0395857-0.0209872j -0.0196692+0.00175897j -0.0414036-0.00462962j -0.004446-0.00646163j 0.00367558+0.0186518j -0.010598+0.0341358j -0.000305238+0.0116412j 0.00495106-0.0167429j 0.000193133-0.0215072j 0.00464628-0.0421095j -0.018722+0.0146474j 0.0078935+0.0207027j 0.00460485-0.00542397j -0.00670062-0.00784914j 0.0138402-0.0336209j 0.000976358-0.000105476j 0.0471518-0.00277463j -0.0511577+0.00416998j -0.00972611+0.0190655j -0.0282151+0.00318454j -0.0108809+0.0237488j -0.000873158+0.000714909j 0.0143815-0.0157923j 0.00267899-0.0232111j 0.0249944+0.0175043j 0.028854+0.0196831j -0.0138329+0.00419928j 0.0150988-0.0048554j 0.00542695+0.0210438j -0.0154537-0.0029126j -0.0222043-0.0176066j -0.0176517+0.0282587j -0.0191608+0.0208793j 0.024722-0.0114351j -0.00783095-0.00404458j -0.0081752+0.0155459j -0.0195366-0.0341675j -0.0210226-0.0227805j -0.00908129-0.009361j -0.00587036-0.00631862j -0.0296828+0.0115086j 0.0138888-0.00626564j -0.00602466+0.00655485j -0.00708763-0.00163861j -0.00679708-0.000803534j 0.0108889+0.00965298j -0.0314922-0.00567544j 0.0194574+0.0169326j -0.0160061-0.0174272j 0.000184265-0.0162391j -0.00390202+0.0437086j 0.0473682+0.0187659j 0.0427577-0.0185805j -0.0287795+0.0595417j 0.021723+0.0315345j -0.0567386-0.0424659j -0.0464134+0.0638002j 
-0.0794005-0.0908492j 0.0920626-0.0683438j 0.0275133+0.0368667j -0.0496191+0.0282972j 0.0490281-0.00604964j 0.0472519+0.116916j 0.211073+0.0759612j -0.0218753+0.0978101j -0.129038+0.234149j -0.105976-0.0387432j 0.0501945+0.0599188j 0.0527523-0.17565j 0.185741-0.0180324j 0.0759579+0.0682379j 0.13824+0.0279359j 0.0813131+0.0696252j -0.0102793+0.0519558j 0.0109821-0.184869j -0.0745361-0.0285171j -0.0083596-0.0209577j -0.0346299+0.0700775j -0.0812232+0.0871805j 0.0495897-0.0214414j -0.0651073-0.0630283j -0.039736+0.0888645j -0.102655+0.00965801j -0.00106325+0.112905j -0.0402508+0.0523322j -0.237404+0.0176473j 0.241636+0.0400029j 0.0390212+0.0306309j 0.136651+0.0646532j 0.0202044-0.0798958j 0.00960615+0.0429124j -0.125764+0.0397813j 0.0163282+0.0791088j -0.0767253-0.0836865j -0.11867-0.0681642j 0.0225547+0.094235j -0.090326-0.0281003j -0.043289-0.00510208j 0.107569-0.0514566j 0.0503495+0.0845398j 0.113085-0.108401j 0.0656246-0.0917701j -0.152944+0.144264j -0.0317853+0.0170442j 0.059256-0.013302j 0.149778+0.0929617j 0.0600128+0.198112j 0.0306128+0.0530869j -0.00155757-0.00241549j -0.0571528-0.00786204j -0.0162719+0.0173058j 0.0518637-0.0108534j 0.0419418-0.0126838j -0.0186466-0.0181239j 0.042415+0.0220907j 0.00854008-0.0148381j -0.027757-0.0379236j 0.0143599+0.00441997j 0.0228062+0.0436716j -0.0358777-0.0423786j -0.0414601+0.0630672j 0.055606+0.0145292j 0.0376705+0.0411223j 0.0579309-0.0400317j 0.0251048+0.0412855j 0.0487981-0.0296732j 
-0.0495335+0.113727j -0.0915869-0.0501187j 0.215682-0.0535959j 0.0394356+0.220429j -0.0570493+0.11307j -0.220477-0.024629j -0.020371+0.149807j -0.0439876-0.0435101j -0.0277437-0.0540255j 0.0666027-0.0167959j -0.030026-0.0412659j 0.00768787-0.0260308j 0.0633248+0.10827j 0.039913-0.0515474j 0.130977-0.0191702j 0.00252529-0.00808116j 0.0165294-0.186604j 0.0279516-0.024863j 0.0639815+0.0716921j 0.0636421+0.0738001j 0.0328492+0.0276465j 0.0280377+0.137004j 0.0369882-0.0108867j -0.0173387+0.00362376j 0.0415566-0.0294134j -0.00724995-0.0508191j 0.000882011+0.0689121j 0.0138575-0.0275918j -0.0323575+0.0100526j 0.0302382-0.0780643j -0.00838368-0.12454j -0.0242253-0.0210781j -0.0214018-0.0344384j -0.0259884-0.0140826j 0.0522707+0.0280734j 0.0291032+0.0131182j -0.0327883-0.0437892j -0.0271511-0.0347941j 0.0762418-0.0596548j 0.0762953+0.0912794j -0.0254181-0.102847j -0.0153473+0.00279365j -0.00309574-0.00593547j 3.15866e-05-0.0264883j 0.0678393-0.0186101j 0.0184306-0.065977j 0.0629912-0.016924j 0.144388+0.00878295j 0.0179077-0.00305957j 0.0243447+0.0307878j 0.0393521+0.0087328j 0.0896787+0.0213368j 0.196492-0.0407848j -0.0631608+0.0370663j -0.0317085-0.00510616j -0.00848151+0.0669234j 0.0626871-0.0652801j -0.0842984-0.134838j 0.127062-0.0315409j -0.0501866-0.0591886j 0.0503455+0.130647j -0.0721173+0.0157331j -0.00949768-0.227344j -0.201603-0.0744776j -0.202554+0.0464003j 0.157256-0.200094j -0.129491-0.132755j 0.0433632-0.0476376j -0.0610797-0.0738739j 
0.219519+0.115878j -0.141327+0.170474j 0.021021+0.235327j -0.188276+0.0607012j -0.0110782+0.0471901j 0.0359595+0.0295193j 0.0530687-0.0646427j 0.0070018-0.0391956j 0.0400084+0.0629409j -0.039269+0.00474344j 0.00170513+0.0282715j 0.0371252-0.0567522j 0.0559748+0.00028051j -0.0174754+0.0595597j 0.0623602-0.0275768j 0.0161342+0.0192441j 0.0298029-0.00512839j 0.0232704-0.0359397j -0.000598603+0.0688986j 0.0430243-0.0432876j -0.0269108+0.0116791j 0.0111094-0.009132j -0.00577211+0.0492239j -0.0510059+0.0647832j 0.0406482+0.039502j -0.191174-0.0255001j 0.0755031-0.00360583j -0.00734956+0.0463668j -0.0525368+0.00127412j 0.00381256+0.0176288j -0.0189647+0.0437422j -0.0793499+0.0553712j -0.0349937+0.00172039j -0.00853983+0.0205884j -0.0740865-0.02239j 0.0582383-0.0486787j -0.0077459-0.05651j 0.0228017-0.0240133j 0.0162977+0.0553674j 0.0384121+0.010534j -0.0741657+0.0347397j 0.0198996-0.0283585j -0.0165312-0.0547263j 0.0313217-0.0350671j 0.0203447+0.040901j -0.0359441-0.000913561j -0.0419165-0.0498755j 0.177103+0.0427077j 0.0209249-0.117382j -0.0301777+0.127013j 0.00359698+0.029724j 0.00935613-0.0304536j -0.0982156-0.0429011j 0.0607175+0.0866386j -0.0292276+0.0495746j -0.00692926+0.060262j -0.00646726-0.133495j -0.014039-0.0164408j -0.152358+0.00436692j -0.04691+0.0875389j -0.00784222+0.136112j 0.0462438-0.0727556j 0.00697312+0.00364548j 0.0592772+0.0497182j 0.0588093-0.106886j 0.0885338+0.1479j 0.00553346-0.0889149j -0.194468-0.166803j -0.212458+0.18341j 
-0.0152814-0.0174384j 0.018271-0.00941327j -0.0255798-0.022527j 0.0166295-0.0349293j 0.0189929-0.015464j 0.0098965+0.00223631j -0.00396333-0.0051901j 0.00238362+0.0110933j -0.0155245-0.00607185j 0.000810008-0.00640705j 0.0111602+0.00483893j 0.00901549+0.00947166j -0.0128382+0.00648482j 0.0015812+0.00564366j -0.00408233+0.0148308j 0.00773071+0.00349712j 0.000313202+0.0113376j 0.000907129-0.00558831j -0.00860122+0.0084258j -0.0145925+0.00422565j 4.39466e-05+7.87966e-05j -0.0214274-0.00319692j -0.00593594+0.00271594j -0.00922123-0.0246054j -0.00927074+0.000740436j 0.0135518+0.0142538j -0.00651987-0.0162073j 0.0106423+0.00732977j -0.003911+0.00190365j 0.00137948+0.012859j -0.0245995+0.0127234j 0.0318239-0.00667576j 0.00279342-0.00686336j -0.00370694+0.00587406j -0.0147838-0.00843747j -0.00337063-0.00924356j 0.0157004+0.00594855j -0.0131599-0.000124453j 0.0113053-0.0184838j -0.0207674-0.00500304j -0.00542943+0.00601046j 0.00800577-0.000674569j 0.0120407+0.0189791j 0.00497995-0.0147119j -0.0104744-0.015583j 0.00425696+0.0173709j -0.00233516+0.00493337j -0.0175301-0.0119687j -0.0122289-0.000407754j 0.0171958-0.00119548j -0.00324432+0.00244988j -0.017002-0.00384541j -0.011045+0.00495262j 0.0036205-0.00230561j 0.0114535-0.000553045j 0.00708449-0.0147287j -0.00559968+0.0154227j 0.00528447+0.0181051j -0.0046164+0.0105604j -0.00811476+0.00420209j -0.00484718-0.0169025j 0.0133705+0.00555816j 0.00874201+0.0215882j -0.00168553-0.00480948j 0.0168806+0.00853478j -0.00604748-0.00887457j -0.00520417+0.00204678j 0.0254375+0.0224486j 0.0284086-0.0218145j 
-0.000632839-0.0273131j 0.030364+0.0033809j 0.00289545+0.00901599j -0.0141854-0.00174052j 0.00411992-0.0351064j 0.00677089-0.00177245j -0.0213192+0.00798455j -0.0119926-0.0122486j 0.00676315-0.00418082j -0.0203653+0.0101125j 0.00201827-0.0115905j 0.00109581+0.0152363j -0.0105687-0.00501583j 0.00451651+0.00244016j -0.00580013-0.00101624j 0.00922256+0.0110068j 0.00139992-0.0068367j -0.00157754+0.000895326j 0.00633514+0.0157189j 0.0238727+0.00237849j 0.00745653-0.00829218j -0.0176911+0.00300483j -0.0104466+0.00528256j -0.000261647-0.0148054j -0.00320364-0.00778619j 0.0105691-0.0195278j -0.00039865+0.0155012j -0.00385705+0.00502918j -0.00196328+0.0129092j 0.00617254-0.0147571j -0.00421863-0.0090531j 0.0241157-0.00335116j -0.0130158-0.00395364j -0.0104991+0.00261595j 0.0140351-0.0119956j 0.0119719-0.000802071j 0.00612889+0.00540055j 0.0097575+0.00327876j 0.0118896+0.00603636j 0.00617171+0.00427672j 0.00261078-0.0283738j -0.00421475-0.000620066j -0.0140539-0.00676468j 0.00962904+0.0161497j 0.0200303-0.0287311j 0.00167641+0.0124706j 0.0130033+0.0114489j 0.0135901+0.0198063j 0.0339924-0.000179002j 0.00807064+0.00333313j 0.00812566-0.00264707j 0.0198186+0.00924321j 0.0390276+0.00253147j -0.0158636-0.00773578j -0.0021743-0.0012366j -0.00905559+0.00596213j -0.000978049+0.00714405j 0.0072086-0.030565j 0.0169157-0.0232564j 0.033985-0.0211697j 0.00205835-0.0160409j -0.0308254+0.00705318j -0.0223394-0.0246055j -0.00299029+0.0178515j -0.0128708+0.000854271j -0.0387865-0.0173666j -0.00193836+0.045564j -0.00832576-0.00319176j -0.00161806+0.00883264j 
-0.00969308+0.00493508j -0.000944672-0.0036471j 0.00933198-0.0272849j 0.0191846+0.00512833j -0.00816736-0.0045008j 0.00489531+0.0013177j 0.0178841+0.0178895j -0.00351509+0.0235311j -0.0173477+7.4219e-05j 0.00546365+0.00122094j 0.0023936+0.00437419j -0.00215965+0.00176339j -0.0115879-0.00257526j -0.00320636+0.00273271j -0.00449529-3.41613e-05j -0.00414858-0.0110871j -0.00837935+0.0167584j -0.00289401+0.00733377j 0.0142276-0.0197502j -0.0233602-0.00269664j -0.00453108-0.00110527j 0.00273204+0.00191351j -0.00205715-0.0085265j 0.0103981-0.00502796j -0.00320105-0.00698049j 0.0167711+0.0144516j -0.0164584+0.000165128j 0.00558114+0.00525224j 0.0018265+3.37431e-05j -7.35444e-05+0.00675249j 0.00567184+0.00367373j 0.0114824-0.0121305j 0.0134423-0.000957916j 0.00630715-0.00170603j -0.00203511+0.0041814j -0.00397109-0.00122628j -0.00300378+0.00595603j -0.00140919+0.00161858j -0.00898578-0.00385766j -0.00962855-0.0111551j 0.0186412+0.00336876j 0.00263775+0.0185121j 0.0111395+0.00334579j 0.00201041-0.0058087j -0.00504031+0.0126346j -0.0136396+0.00149118j -0.00120922+0.00337386j -0.0230365-0.0136914j -0.010813+0.0184144j 0.00926303+0.00137547j -0.00525665-0.00421261j -0.0127307-0.00362174j -0.0121324+0.0114658j 9.07836e-05-0.00474169j 0.00466148-0.00349348j 0.00598682-0.0185649j -0.00124195-0.00148652j 0.0159101+0.0116706j 0.00398941+0.0198539j -0.0185649-0.0049109j -0.00203824-0.00817674j 0.0175692+0.00891309j 0.0120711+0.0136854j 0.0135911-0.00685808j -0.00906704-0.00363763j -0.00631917-0.0190198j -0.00120956+0.00588339j 0.035121+0.0196954j 0.0237973-0.0380016j 
-0.0231665-0.0218586j 0.0242464-0.0163149j -0.00789372-0.0199129j 0.014687-0.013039j 0.00434941-0.0238974j 0.0110253-0.0063692j -0.00682689-0.00146179j 0.00520445-0.000304559j -0.00887292+0.0155449j -0.0166789-0.00655711j 0.00495714-0.0076134j -0.0115083-0.00820675j -0.00162574-0.0112431j 0.012505+0.00118027j -0.0104955+0.0101285j -0.00113482+0.0157133j 0.00759604+0.00171456j -0.00683076-0.00457459j -0.00210554-0.0164028j -0.00462213-0.00531788j 0.0113208-0.00350525j -0.00952771+0.000806766j 0.00880226-0.00543935j 0.0113529-0.00285072j -0.0112118+0.00192987j 0.00962717+0.0171207j 0.000304208+0.00943643j -0.0115963-0.0108485j 0.000165934-0.00174889j 0.0070925-0.000920695j 0.0288261-0.0035417j 0.00529635+0.000851374j -0.00154249-0.00170617j -0.00577423-0.00413541j -0.00287584+0.0129171j -0.00913922+0.00768688j -0.0114096-0.00853685j 0.000368888-0.0086539j -0.00719159+0.00952516j -0.013682-0.00380374j -0.00212216+0.00312902j -6.92569e-05+0.0011659j -0.015408+0.0105869j 0.0028616+0.0256387j -0.000358444-0.0257364j -0.00180978-0.00210339j 0.0148804+0.00955446j -0.0189065+0.00592076j 0.00511598+0.00542291j -0.00649181-0.0020427j -0.000743843-0.00669016j -0.000925268-0.00123528j 0.00755468-0.00374579j -0.00115427-0.00501418j 0.0172044+0.0112599j 0.00581306-0.0082054j -0.00780363+0.0192302j 0.00475975+0.00374749j -0.000876165+0.00256047j 0.00298824-0.000247566j -0.00938563-0.0228856j -0.00181626+0.00624816j 0.00529346+0.0104168j -0.0180994+0.00226773j 0.0232242+0.0172722j -0.0180085-0.0139478j -0.0108557+0.015453j 0.0293872+0.0229522j 0.0315863-0.0259895j 
0.000434145-0.00358939j 0.00441239-0.00286109j -0.00821303-0.0168555j 0.0139586-0.00504838j -0.0139418+0.00070978j -0.0189934-0.0141699j -0.0125248+0.0217095j 0.00374104+0.00189981j -0.00882688+0.013893j -0.0084845-0.00253698j 0.00218355-0.0157732j -0.000319703+0.00198952j 0.010962-0.0019868j 0.00580604-0.00704943j 0.0206266+0.00584263j 0.0182483-0.00473735j 0.00375588-0.00559345j -0.0125146-0.00517615j 0.0092893+0.00743622j -0.00665822+0.00881866j 0.0145218-0.00470997j -0.012848+0.0107251j -0.00748862-0.003624j 0.00795701+0.00294569j 0.00436442+0.000577412j -0.026395-0.00856145j 0.000589429+0.0100043j 0.0051474-0.00886739j -0.00383884-0.00609734j 0.00732262-0.00302341j 0.0131259-0.00836663j -0.00984875-0.00295056j -0.000570402-0.00600281j 0.00308148+0.00831479j 0.0166008+0.0175271j 0.00238227+0.0078982j 0.00903401-0.00438637j -0.00145689-0.00958235j 0.0134777-0.0125215j 0.012581+0.00437619j 0.00842154+0.00704711j 0.0109225+0.00463481j -0.00929142+0.0075791j -0.0034195+0.00176669j 0.00263486+0.0141614j 0.00143015-0.00191262j 0.00286331+0.00302349j 0.00206067+0.0204802j -0.00820459-0.0137504j 0.00653984+0.0147328j 0.00740669-0.00644595j 0.0127493-0.0139349j -0.00650067+0.0202127j -0.00419668+0.00871403j -0.000970371-0.00558022j 0.0175327-0.0274256j 0.00499665-0.0367479j 0.0202333-0.00567356j 0.0187628+0.00794722j -0.0302869-0.0207155j -0.00997231-0.00926564j -0.00360372+0.0119017j 0.0177559+0.0176125j 0.016429-0.0315816j -0.0378637+0.00223196j -0.0087188-0.0314308j -0.0230893+0.00723014j 0.0048002-0.00247604j -0.00599536-0.00408427j 
0.000527685+0.00702968j -0.00562876-0.00601693j -0.0137993-0.0148065j 0.0134248-0.00938632j -0.0147811-0.0246403j 0.0106798-0.0264404j -0.0158421+0.00596657j -0.00625536-0.00675896j -0.0255233+0.0171001j -0.0288516-0.0127627j -0.00912716+0.0113224j 0.0159723-0.00389078j -0.0169604+0.00353843j 0.0126848+0.0278142j 0.0206424-0.00206866j -0.00185813-0.0183426j 0.00712272-0.0112531j -0.00810557+0.00970149j -0.000537242-0.00140261j -0.0155394-0.0118547j 0.0160687-0.0140721j -0.00370888-0.000349913j -0.00989548+0.0030034j 0.00592278-0.00105754j 0.00346464+0.0117835j -0.0117031+0.00340237j 0.00286481+0.0050017j -0.00832416-0.0116251j -0.00280239+0.00697993j 0.00308213+0.0215555j 0.00140655-0.0116957j -0.0124026+0.0100065j -0.00745501-0.00665528j 0.0108921+5.6998e-07j 0.00879875+0.00459265j 0.00521-0.00116542j 0.00725684-0.00234353j -0.0154834+0.0119172j -0.00163709-0.00750109j -0.00210034-0.00448086j 0.00293633-9.88898e-05j 0.017979+0.00319244j -0.0161064-0.00384293j 0.000648932-0.00293516j 0.0153213-0.0116514j -0.00133315-0.000453509j 0.0078341+0.00817472j 0.0203145+0.010541j 0.000115126-0.00394805j 0.00227824+0.0123298j -0.0281152-0.00358288j -0.00393281-0.010422j -0.00139401+0.0183719j 0.00522809-0.00728882j -0.00236835+0.004349j 0.00963901-0.0150616j 0.00112286-0.0219033j 0.0200056-0.0153186j 0.00572786+0.00495724j -0.00440973-0.012278j 4.02409e-05-0.0108529j 0.00495493+0.0010152j -0.00913011+0.00530565j 0.0190595+0.000550096j -0.008727-0.00794047j -0.00227961-0.00872419j -0.012439+0.00219162j -0.00114631+0.00741433j 0.001987+0.00331667j 
