-0.127065-0.140835j 0.165459-0.122261j -0.0744319-0.23184j -0.236167+0.0228115j 0.0601534+0.126693j -0.0632047+0.0913029j 0.147123-0.0476716j 0.00743139-0.209612j -0.0497438+0.0162199j 0.0068405+0.0287805j 0.0691056-0.0524898j -0.0778706+0.0109916j 0.139584+0.107316j -0.0445098+0.0487205j 0.0399911-0.0369665j 0.0443651+0.0347443j 0.0188202-0.0108274j 0.0499878-0.0182255j 0.0140798+0.0270084j -0.121126+0.172894j -0.0405347-0.0874395j -0.0286041-0.0337525j -0.055739+0.0684538j 0.0643423-0.0951321j -0.0188088+0.0209436j 0.0399963+0.0966828j -0.0968661-0.00313701j -0.0622437+0.137769j 0.0399249-0.0110374j -0.0914598+0.0424868j 0.116339+0.00396493j -0.0154931+0.0712479j 0.0511686-0.00854505j 0.0180958-0.0161875j 0.0472703-0.00646033j -0.0561291-0.00250979j 0.0288121-0.0141944j 0.0278993+0.0298623j 0.00295133-0.105501j -0.0604164-0.0420485j -0.0460831+0.068405j -0.0300483-0.00452632j 0.0650614-0.0199232j 0.0867995+0.023559j -0.0280758+0.0393718j -0.0852277+0.0465986j -0.00433904+0.0947978j 0.0206864-0.0316361j 0.113279+0.0560336j -0.093185-0.0486921j -0.0458662-0.0664256j 0.072448-0.0440585j -0.0452272+0.106728j 0.0352354-0.00289272j 0.0454698-0.0128038j 0.0814953-0.0651192j 0.0244306-0.0397049j -0.0739321-0.00197236j -0.0901833-0.0455229j -0.0152634-0.0410007j -0.0910334+0.0503254j -0.0716926+0.057842j 0.183148-0.041118j -0.0797179-0.035668j 0.0852862-0.108454j -0.0522426-0.132045j 0.133789-0.15022j 0.120472+0.171559j -0.0995527+0.153013j 0.168065+0.124618j 
-0.188854+0.0316612j -0.0195848-0.174147j -0.00438185-0.0457202j -0.0337943-0.0282708j -0.0965313-0.140051j 0.103763-0.0524725j -0.0974292+0.0476782j 0.141273+0.000365087j -0.0980883-0.131529j 0.11928-0.0976618j -0.106061+0.00768038j -0.0992804-0.255883j -0.0497662+0.122284j 0.0359791-0.0614022j 0.0672368-0.0932069j 0.0656852+0.0439438j 0.0673006-0.143834j -0.0231227+0.0809299j 0.171531-0.0380726j 0.102599+0.00110233j 0.0581932-0.0086146j 0.0613408+0.0526214j 0.0176055+0.0644723j -0.0412483+0.174058j -0.0697773+0.0661338j 0.0412518-0.0751054j 0.0597983-0.0577571j 0.0101971-0.0251139j -0.0697589+0.0416651j 0.0399568+0.0368596j 0.0282022-0.11008j 0.00207772+0.045978j -0.00239323-0.0217675j 0.0399656-0.00234227j -0.0398203-0.0465282j -0.0295702-0.0402401j -0.0884623-0.0248694j 0.0884974+0.0459955j 0.00473339-0.0465436j -0.0845958-0.0623099j -0.0367898+0.0254903j -0.0653181-0.00465211j -0.0508425-0.0926181j -0.0402212-0.0579796j 0.0939173-0.00998467j 0.227721+0.0895724j -0.0294121-0.0160206j -0.00182449-0.0306742j -0.0322829-0.0488343j 0.0219914-0.0559389j 0.000215072+0.0439312j 0.0321031-0.0599531j 0.011655-0.0780958j 0.0781681-0.197055j -0.0700949-0.0210245j 0.0312969-0.0813482j 0.0994349+0.0344069j -0.0421482+0.0570133j 0.00975423-0.0786083j 0.0894278+0.0041304j 0.0283515-0.146024j -0.00880696+0.025659j 0.0915993+0.187057j 0.0314305-0.0818472j 0.0203373+0.0930244j 0.177518-0.0108213j 0.0753909+0.0388955j -0.0755226+0.0495021j 0.102319+0.173224j 0.185234-0.0894174j 
-0.116612+0.0600106j -0.047977-0.080978j 0.074379-0.153403j -0.113822-0.0746315j -0.103281-0.0420123j -0.0378982-0.0915848j -0.174118+0.0649841j 0.0373335+0.0791375j -0.0432426+0.0416578j -0.0629855+0.0503262j 0.0270286-0.132846j 0.214293+0.112465j 0.225304-0.0787727j 0.0612922+0.0557983j 0.0125094+0.148232j -0.0947594-0.00283816j -0.0615439-0.084886j -0.0445608-0.132046j -0.00772021+0.0768243j -0.0472501-0.0987513j 0.0254654-0.0760077j 0.0269811-0.100301j 5.20389e-05-0.0338165j 0.053897-0.028128j -0.0540917+0.0835496j 0.0140193-0.018644j -0.0491968+0.020362j 0.0195718-0.0166741j 0.00196923+0.0282814j 0.0853259+0.00922113j 0.0954033-0.00140081j -0.0477357+0.0930157j -0.144318+0.10204j -0.0501686+0.00953937j -0.00684174+0.0208403j 0.024541+0.0465297j 0.0542421+0.030944j -0.028349-0.00827901j -0.0700252-0.0562891j -0.0950964-0.000909825j 0.0528811-0.00422231j 0.130498+0.0710157j -0.0462043+0.0209993j 0.0390566-0.00787316j 0.0281092-0.0313736j -0.00364818+0.03057j -0.0427242-0.0196574j -0.0573796-0.0387777j -0.0173243+0.0710694j 0.0263618-0.0655184j 0.1108+0.100396j 0.0808186+0.0448522j 0.0165634+0.0387121j -0.146392-0.0382377j 0.00731867+0.114261j 0.00812138+0.13964j -0.0750463-0.0349658j -0.198543+0.100646j 0.0486112-0.0168536j -0.0909561+0.219307j 0.133539+0.120465j -0.112495-0.00728909j -0.0870254-0.0183968j -0.0760922+0.0519404j -0.101738+0.0669506j 0.0107645+0.0847393j 0.175487+0.0328444j -0.0481449+0.210219j 0.0917824+0.0504427j 0.0788022-0.0816956j 
-0.0674327+0.0767233j -0.0617283-0.0860173j 0.0731931+0.00873645j -0.00696816-0.0982245j 0.0732205-0.0899028j 0.115331+0.171738j 0.109009+0.0428386j 0.183477-0.0965508j 0.0502811-0.0330785j -0.172139+0.0998194j 0.11093+0.21678j 0.047043-0.00694074j -0.0969886-0.0446702j 0.0597743+0.00709002j 0.0549744+0.144376j 0.00768929-0.0998005j -0.148685+0.0363676j -0.0139125-0.0232439j -0.0323297+0.0767473j 0.0763728-0.0462791j 0.0532694-0.000617315j 0.0630587+0.0271548j 0.0401326+0.0134514j -0.0100142+0.0268204j 0.038047+0.000588494j -0.0253169-0.00507458j -0.0528253+0.0185166j 0.0499102+0.0966927j 0.160544-0.0790636j 0.0279422+0.060426j -0.00956817-0.0189098j 0.0646606+0.0316719j -0.0102392+0.0151984j 0.0474045-0.0447235j -0.00894113-0.0277174j -0.0814735+0.0448709j -0.0476437-0.0246165j -0.15358-0.0877683j 0.0431648+0.00360444j 0.0057095-0.0157644j 0.107918+0.046027j -0.0407831-0.0393926j -0.0195966-0.100516j 0.0443214-0.00916137j -0.0079665-0.0501284j -0.0837653-0.0498577j 0.0160789+0.0210078j -0.0182171-0.0821378j 0.0128497-0.0555632j 0.00358577+0.00662598j -0.00719276+0.152538j 0.0443162+0.0354093j 0.0476927-0.0687882j -0.0454377+0.0786259j -0.093937+0.0109845j 0.0481906+0.125254j -0.0693484+0.0109269j 0.116833+0.127905j 0.205211-0.121743j 0.00883994-0.131365j 0.0144509+0.0509542j -0.0118494+0.0587501j 0.0574684+0.16975j 0.214455+0.0700478j 0.0468649-0.193044j -0.158365+0.0437182j 0.0704139+0.0115341j -0.0518444+0.0472242j 0.0839029+0.0558519j 0.0298785-0.0709306j 
-0.0267366-0.0928556j 0.083715-0.0275415j -0.0952658+0.121398j 0.076441+0.0950635j -0.196878+0.0231132j -0.00860341-0.152952j 0.0368064+0.0766392j -0.00917107-0.132312j 0.0637233+0.0211822j 0.0269984+0.184618j 0.100927+0.00860271j 0.00767543-0.00561065j -0.0366459-0.0127907j 0.102209-0.0551072j -0.0310157+0.0991356j 0.0574944-0.0458304j -0.095197-0.158149j 0.017172+0.110943j -0.045782+0.0442438j 0.00729538+0.00443453j -0.0559217-0.000522061j -0.0805466+0.0751664j 0.00833596-0.022852j 0.010686-0.0600613j -0.241514+0.0493118j 0.0813928+0.00710153j 0.0980883-0.0532719j -0.0558312+0.0443541j 0.0633165-0.0132167j 0.045177-0.0248706j 0.00819953-0.0227861j 0.0121358-0.0342521j -0.0981737+0.0417649j 0.0884914-0.0149649j 0.0510348-0.0334334j 0.0205798+0.0525129j -0.0253598+0.0135235j -0.0157512-0.0459744j 0.00861926+0.0362281j 0.0630272-0.0830556j -0.0473143-0.00999793j 0.111929+0.0484268j 0.0230366+0.107878j -0.122989-0.0536404j 0.0139956+0.102136j 0.0385095+0.0164254j 0.0789931+0.187143j 0.033189-0.0217818j 0.0398217-0.0813679j -0.0465485+0.0604183j -0.138852-0.0488578j 0.135424+0.0830614j -0.0278883-0.116463j -0.0946416-0.0908527j -0.0541167+0.0394608j 0.0148359+0.128991j 0.0204647+0.0897153j 0.154155+0.0722793j 0.108219-0.235477j -0.150371-0.0209436j 0.146587+0.126961j -0.0497598+0.114637j 0.0517526-0.1062j -0.12543-0.0325012j 0.0971613+0.100248j 0.092767-0.140366j -0.128914+0.0108387j -0.00376868-0.126029j -0.0712367+0.0289407j 0.0317666+0.0611753j 
-0.00367201-0.00221481j 0.00705603+0.00720702j 0.00725291-0.0104816j -0.00134927-0.0225218j -0.00737336+0.00362288j -0.017137+0.0058308j -0.0098271+0.0159206j 0.0347674-0.00483294j 0.0083935+0.00104952j 0.00176889+0.0214928j 0.0141031-0.00990558j -0.0097066-0.0237679j 0.0179755+0.0348222j -0.00791948-0.00424124j 0.0153993+0.000173294j -0.00126713+0.0110054j 0.0149151-0.00697063j 0.00646698-0.00633076j 0.0162137+0.0162946j -0.0120018+0.0248897j -0.00982896-0.00886816j 0.0143765+0.0110897j -0.0136948+0.00661755j 0.021128+0.00187655j -0.0181129-0.000384674j -0.00143574+0.0119527j -0.0020491-0.00915433j -0.013239+0.00781611j 0.00732636+0.00606296j -0.00586642+0.0137133j 0.0298513+0.0107555j -0.00494927+0.0160188j 0.0152713-0.00320475j 0.0100226+0.0016124j 0.00799105-0.00337998j -0.0117457-0.00417075j -0.00468253-0.0024664j 0.016422+0.000445462j 0.0102814-0.0207394j -0.0142037-0.0169203j -0.0177482+0.00474602j -0.00448299-0.00527131j 0.00259088-0.00867562j 0.00556944-0.00470361j 0.00600052+0.0144212j -0.00848947+0.0121583j 0.00618278+0.0135914j -0.00396783-0.0118665j 0.00687501+0.00601304j -0.00908626-0.0120159j -0.00886544-0.000420889j 0.00861692-0.0200304j 0.00916335+0.0125431j 0.00544655-0.0150987j -0.00282206-0.00322742j 0.00579633-0.0141902j 0.00180804-0.0078505j -0.000528401+0.0116681j -0.0156741-0.00755908j 0.011606-0.00821672j -0.00857929+0.0106121j -0.0158775+0.0298007j 0.014058-0.0195438j -0.0243252+0.0111941j -0.0101991-0.0206382j -0.0121583+0.00276119j -0.00735518-0.0165039j 0.0146912+0.0108321j 0.0223697+0.00350978j 0.0158326-0.0147275j 
-0.00274265-0.00765069j 0.0120587+0.00309133j 0.0127762-0.00832608j -0.00122999-0.00897303j 0.0119739-0.00404423j -0.000581556+0.0203398j -0.00826752-0.00836878j 0.00151753+0.00836312j -0.0126272-0.0188858j -0.00335248+0.00734715j 0.0112192-0.0104417j 0.041602-0.0123167j -0.00805713-0.00710837j 0.0111177+0.0178019j -0.00127332+0.0059275j 0.0117697-0.0050701j 0.00688028-0.0162942j 0.00184198+0.00373351j 0.00639908+0.00615401j 0.0218951-0.00262572j 0.00807819-0.00280736j 0.0125652+0.00841271j 0.00135405+0.00875258j -0.0114386+0.0448283j -0.00023017+0.00639376j 0.0125969-0.0206703j 0.0028026-0.012562j 0.00720413-0.0107252j -0.00358294+0.00807262j 0.0160916-0.00120275j 0.0150125-0.0152848j 0.0030911-0.00666536j -0.00439776-0.01269j -0.00316525-0.0103904j -0.010096-0.00904189j 0.00958544-0.000231417j -0.00902493-0.000577684j -0.000246405-0.0163968j -0.0126353+0.00374547j -0.014441+0.00825597j -0.00203578+0.0035044j -0.01572-0.000906994j -0.0233614-0.008144j -0.0131514-0.0121187j 0.0112753-0.00623866j 0.0357167+0.0161196j 0.00138507-0.00485368j -0.0115961+0.00458368j 0.00343567-0.0100826j -0.00605474-0.00132786j 0.0019976+0.0265533j 0.00202996-0.0020225j 0.00682988-0.00114982j -0.0105768-0.00976332j -0.00308186-0.0027504j 0.00325168-0.00775148j -0.00563916-0.00310359j -0.00430092+0.0264521j -0.00370435-0.0207004j 0.0117772+0.0158208j -0.00590275-0.0161135j -0.00980255-0.0154151j 0.0261659+0.0105973j -0.0130113-0.0136652j -0.00347107-0.00511068j -0.00217048-0.0119777j 0.00781888-0.0107921j -0.00709784+0.00891773j 0.00521534-0.0172001j -0.0142409-0.00392427j 
-0.000910536+0.00777084j -0.0104559-0.00689932j -0.00630393-0.0144588j -0.0233801+0.00718009j -0.00720969+0.00861323j -0.00363779-0.00898775j 0.0183024+0.00397374j -0.0111372-0.0185571j -0.00251486+0.0209222j -0.00244982+0.00451212j -0.000868627-0.00357986j -0.00140544+0.000860546j -0.00452298-0.0124575j 0.00309672-0.00266187j 0.0012282-0.00336695j -0.00394883+0.0154953j 0.00246728+0.00357323j -0.0158984+0.0114634j 0.00365101+0.00924431j 0.0242982+0.00197226j -0.0428449+0.0159098j 0.00845672+0.0172435j -0.00430809+0.00303271j 0.0124874+0.0319431j -0.00650087-0.00322393j -0.0112385-0.015774j 0.00980047+0.00683105j 0.00176577-0.0255243j 0.00158773+0.00398654j -0.00876308+0.00224331j 0.0107514+0.00563328j -0.00265254-0.0153234j 0.0232258-0.00444936j 0.00335973+0.00838913j -0.00068439-0.0161852j -0.00611021-0.00401803j -0.000518932+0.0102168j 0.00962993-0.0145705j 0.00333731+0.003266j 0.0147352+0.000642602j -0.00423533+0.00210135j -0.000771658-0.0241839j -0.00828895+0.00159059j -0.00701734-0.00395104j 0.00452826+0.0199993j 0.00566448+0.0236346j 0.0152744+0.00143603j 0.00280546+8.42611e-05j -0.0116466+0.00801231j 0.00582111+0.00559679j -0.0232074-0.00328096j -0.00711889+0.00864042j 0.0116173+0.00183898j 0.0270138+0.0109887j 0.0100623-0.00366231j 0.00440894-0.00377347j -0.0171539+0.0153845j 0.014964-0.0194447j -0.00707878+0.0159447j -0.00394154-0.00333472j -0.00114849+0.0217492j -0.0243832+0.00783218j -0.00269727+0.0020968j -0.00379066-0.00175674j 0.00636003+0.0041224j -0.00858915-0.00985843j 0.0204214+0.0250368j -0.021387+0.0167312j 0.00110972+0.0074812j 0.00153636-0.00359756j 
-0.00135086-0.00311397j 0.00266672+0.00493643j -0.00316116-0.0150661j -0.00645742+0.00590788j -0.00572086+0.0214262j -0.0326074-0.0115912j -0.0145606+0.0138522j -0.00459397+0.0200265j -0.0111967+0.0193082j -0.00954256-0.0115896j -0.000846881+0.00381471j -0.00645398-0.0125521j -0.0222201+0.0129137j 0.00509736+0.010095j -0.0324355+0.010852j -0.00475412-0.0164057j -0.0107793-0.0105178j -0.0217125-0.0106749j 0.00768552-0.00792452j 0.0179191+0.00537701j 0.0130626+0.0165556j 0.00694131+0.0151008j 0.0028198-0.0021301j -0.00764457-0.00825546j 0.0123497+0.000735463j 0.00487719-0.00769096j -0.00559494+0.0142829j -0.00456271+0.0117077j 0.0231891-0.00788031j -0.00525822+0.0125919j 0.000616789-0.00509196j 0.00951463+0.00972105j -0.00121012+0.00177257j 0.0123264+0.00457898j -0.00102174-0.00163466j 0.0160007+0.00179951j -0.0041099-0.00433746j -0.0144331-0.00636382j 0.0077924-0.00879298j -0.00591277+0.00273939j 0.0143496+0.0217106j -0.00447286-0.00297678j 0.00238411-0.00963483j 0.0160215-0.00329884j 0.00768678-0.00149072j -0.0149002-0.00686065j -0.00292932+0.00630612j 0.0148968-0.00442907j 0.00723649-0.0166605j -0.0114325+0.00491588j -0.0113119+0.00412564j 0.0115694+0.0179963j -0.00839946+0.01047j 0.0115809+0.0039355j 0.00917479-0.0138811j -0.0185419+0.00302629j -0.00470336+0.000467853j 0.0197662-0.00257723j -0.00992754-0.0119713j 0.00914027+0.00774763j 0.00578681-0.0157994j 0.0118823-0.00135294j 0.0032329-0.017168j -0.00939068-0.0266345j -0.0360119+0.0137533j 0.0170012+0.0239824j 0.00675786+0.00935702j -0.00777109+0.0145962j 0.00161479-0.00393538j 0.00315432+0.000666596j 
0.000874092-0.0115075j 0.0103427+0.00322524j 0.0120721+0.0145273j 0.0162199-0.0089134j 0.0111591+0.00894266j 0.000214262+0.00513595j 0.00075598-0.0256238j -0.0133391+0.0015087j -0.0126721+0.00412158j -0.0111727-0.0262772j -0.00684128+0.0189637j -0.0254605+0.00595807j 0.00524223+0.015951j 0.00873323+0.00286605j -0.000941501+0.0109064j 0.00382747+0.0130752j 0.00611435-0.0130708j -0.00444707+0.00198735j -0.00326582+0.0307507j 0.000646302-0.00132758j -0.0258297+0.00614232j 2.97951e-05-0.00334572j -0.0196046+0.00238845j 0.00295332-0.00643362j 0.00206004-0.00168867j -0.014448-0.010989j 0.0120455+0.0177711j -0.00138049-0.00807767j 0.00762776-0.00145982j 0.0105931-0.0132791j 0.00368965-0.00627026j 0.00697422+0.00412543j -0.0102365+0.0147413j 0.00953997+0.0122844j -0.0035996+0.00049285j -0.0215405+0.00344259j 0.00394909+0.000626702j -0.00860182-0.00377275j -4.95799e-05-0.0108588j -0.00100553+0.0143693j 0.00153027+0.00772887j 0.0204016-0.00203445j 0.00146245+0.00213387j 0.00436599-0.0193169j -0.00797737-0.00926581j 0.00257316-0.00178199j -0.0152893-0.00120523j 0.00343512-0.00581784j -0.00282274+0.0101983j 0.00800149-0.0164498j 0.0137014-0.00416373j 0.00233667-0.00391104j 0.0273202+0.00549965j 0.00479506+0.0219717j 0.01419+0.0104356j 0.0330461+0.00870446j -0.0207026+0.0283345j -0.00899637-0.00507225j 0.000164829+0.00393802j 0.00623843-0.00116984j 0.0151626-0.0157773j 0.0240009+0.030337j 0.0229294-0.00719373j -0.0111023-0.0115679j 0.00441202+0.00143071j 0.00889726-0.0106696j -0.0198718-0.00531612j 0.000149748-0.0182397j -0.00469077-0.00563367j -0.00241056+0.00751396j 
0.0110696+0.0103504j -0.0130958+0.00426265j 0.00735835-0.000532295j -0.00696723-0.0138661j 0.00898622-0.0203458j 0.0219236+0.00972886j 0.00934634-0.00330133j 0.00346971-0.0150884j -0.0073636+0.0319175j -0.0142287+0.00556408j -0.00505063-0.00657369j 0.00201369-0.0119047j 0.00581383+0.0115326j 0.0176652+0.023414j -0.0132653+0.0049137j 0.0158834-0.0078981j 0.0200156-0.0136056j -0.0176107+0.00883504j -0.00524403-0.00705113j -0.00637825+0.00698043j 0.0208074+0.00734542j 0.00477414+0.00498933j -0.00395398-0.0144852j -0.00972538-0.00568478j -0.0167824+0.000378279j 0.00611918+0.00998755j 0.0112026+0.00720668j -0.00516832+0.00250379j 0.0162632+0.0112873j 0.0038534-0.0116433j -0.00350061-0.00191383j -0.0153329-0.0178662j -0.00547815+1.14402e-05j -0.00257898-0.00746001j 0.00215743+0.0057799j 0.0230523-4.5742e-06j 0.016227-0.0208476j 0.00421908-0.0130262j -0.00544329+0.0147349j 0.0064726-0.00896162j -0.00208152-0.00709733j 0.0132872+0.00825816j 0.00656138-0.00708452j 0.0083432-0.0188452j 0.0210185-0.00937637j -0.00166191-0.000677936j 0.0153977+0.0116732j 0.014382+0.000499692j -0.00674887+0.00482228j -0.0311285-0.0131831j 0.00862729-0.000576632j -0.00854291+0.0231684j 0.0117778-0.00944254j -0.00594486+0.00229768j -0.0171898-0.0127213j -0.000208059+0.0105873j 0.00402368-0.0150201j -0.000233561-0.0199331j -0.0361197+0.00357799j 0.00877914+0.0160233j 0.00778124-0.0202146j 0.00454473+0.0154458j -0.00661756+0.0118332j 0.0166383+0.00801871j 0.0175464-0.018027j -0.0113765-0.00983869j 0.00655487+0.00677715j -0.00348409+0.00300459j 0.00772065+0.00267654j -0.0022369-0.00610327j 
