-0.0010475-0j -0.000123449-0j -0.00649114-0j -0.000604777-0j -0.00838003-0j -0.000698336-0j -6.17247e-05-0j -0.000936916-0j -0.00592558-0j -8.7292e-05-0j -8.9092e-06-0j -7.27433e-06-0j -5.75086e-07-0j -0.0537518-0j -1.81135e-08-0j 
0.00507754-0j 0.00120944-0j -0.000665172-0j -6.19738e-05-0j 0.0406203-0j 0.00338502-0j 0.000299197-0j 0.00917898-0j -0.000607217-0j 0.00128727-0j 0.000131382-0j 0.000143279-0j 1.41737e-05-0j -0.00550815-0j 6.25745e-07-0j 
-0.00502546-0j -0.00119703-0j 0.00065835-0j 6.13381e-05-0j -0.0402037-0j -0.00335031-0j -0.000296128-0j -0.00908484-0j 0.000600989-0j -0.00127407-0j -0.000130034-0j -0.000141809-0j -1.40284e-05-0j 0.00545166-0j -6.19327e-07-0j 
0.0072571-0j 0.000855257-0j 0.0449706-0j 0.00842332-0j -0.000603413-0j -5.02844e-05-0j 0.00129178-0j -6.74637e-05-0j -0.000426678-0j -6.28555e-06-0j 0.000124087-0j -5.23796e-07-0j 3.98419e-06-0j -0.00387046-0j -1.30428e-09-0j 
-0.00104084-0j 0.00574037-0j 6.74637e-05-0j 6.28555e-06-0j -0.00832674-0j -0.000693895-0j -6.13323e-05-0j 0.0435663-0j 6.15856e-05-0j 0.0124383-0j 0.00126948-0j 0.00208758-0j 0.000276021-0j 0.000558652-0j 1.83205e-05-0j 
-0.00423331-0j -0.0004989-0j -0.0262328-0j -0.00491361-0j 0.000351991-0j 2.93326e-05-0j -0.000753535-0j 3.93538e-05-0j 0.000248895-0j 3.66657e-06-0j -7.23842e-05-0j 3.05548e-07-0j -2.32411e-06-0j 0.00225777-0j 7.60832e-10-0j 
0.000607158-0j -0.00334855-0j -3.93538e-05-0j -3.66657e-06-0j 0.00485727-0j 0.000404772-0j 3.57772e-05-0j -0.0254137-0j -3.59249e-05-0j -0.00725566-0j -0.000740528-0j -0.00121775-0j -0.000161012-0j -0.00032588-0j -1.0687e-05-0j 
-0.0351771-0j -0.00837897-0j 0.00460831-0j 0.00086317-0j 0.00292491-0j 0.000243742-0j -0.00626159-0j 0.000660943-0j -4.37233e-05-0j 9.26916e-05-0j -0.00182989-0j 1.0317e-05-0j -9.81955e-05-0j -0.00039662-0j 4.50575e-08-0j 
-0.00586462-0j -0.000691152-0j -0.0363417-0j -0.00680707-0j 0.000487632-0j 4.0636e-05-0j -0.00104391-0j 5.45189e-05-0j 0.000344808-0j 5.0795e-06-0j -0.000100278-0j 4.23291e-07-0j -3.21972e-06-0j 0.0031278-0j 1.05402e-09-0j 
0.000841128-0j -0.00463892-0j -5.45189e-05-0j -5.0795e-06-0j 0.00672903-0j 0.000560752-0j 4.9564e-05-0j -0.0352069-0j -4.97687e-05-0j -0.0100516-0j -0.00102589-0j -0.00168702-0j -0.000223059-0j -0.000451459-0j -1.48052e-05-0j 
0.0402025-0j 0.00957597-0j -0.00526664-0j -0.00098648-0j -0.00334275-0j -0.000278563-0j 0.0071561-0j -0.000755363-0j 4.99695e-05-0j -0.000105933-0j 0.0020913-0j -1.17908e-05-0j 0.000112223-0j 0.000453281-0j -5.14943e-08-0j 
0.0145098-0j 0.00345615-0j -0.00190083-0j -0.00035604-0j -0.00120646-0j -0.000100539-0j 0.00258277-0j -0.000272625-0j 1.80349e-05-0j -3.82333e-05-0j 0.00075479-0j -4.25553e-06-0j 4.05036e-05-0j 0.000163598-0j -1.85853e-08-0j 
