-0.177804-0j -0.0257674-0j -0.0129357-0j -0.0018671-0j 0.0379982-0j 0.00548457-0j 0.0055067-0j -0.00108232-0j 0.0311506-0j 0.000458892-0j -0.0014994-0j -0.00612254-0j -9.01935e-05-0j 0.00319212-0j 0.000399015-0j -0.00848187-0j -0.00012495-0j -0.00122919-0j -0.000153649-0j 2.35122e-05-0j -0.000704812-0j -8.81015e-05-0j -5.54548e-05-0j -0.000443639-0j -0.00737515-0j -0.000752723-0j 0.0191527-0j 0.00195477-0j -9.05385e-06-0j 0.00317984-0j 0.00039748-0j -0.00266183-0j -5.19143e-06-0j -3.26771e-06-0j -0.00422887-0j 0.0190791-0j 0.00194725-0j -0.000431608-0j -0.000271672-0j 2.34218e-05-0j 
-0.104794-0j 0.0147544-0j 0.00762092-0j 0.00109998-0j 0.0373659-0j 0.0053933-0j -0.00526091-0j -0.000584194-0j -0.0297602-0j -0.000438409-0j -0.000883712-0j -0.0033047-0j -4.86829e-05-0j -0.00313773-0j -0.000392216-0j -0.00499903-0j -7.36427e-05-0j 0.000703835-0j 8.79794e-05-0j -2.31116e-05-0j -0.00563989-0j -0.000704986-0j -0.000156055-0j -0.00124844-0j 0.00422301-0j 0.000431009-0j -0.0188264-0j -0.00192146-0j 5.18424e-06-0j -0.000620965-0j -7.76206e-05-0j -0.00749066-0j -4.15417e-05-0j -9.19565e-06-0j -0.0338394-0j -0.00372579-0j -0.000380262-0j -0.00345371-0j -0.000764512-0j -4.57384e-06-0j 
0.185539-0j -0.0526283-0j 0.012362-0j 0.0017843-0j 0.0133599-0j 0.00192834-0j -0.00378956-0j 0.00437294-0j -0.021437-0j -0.000315796-0j 0.00156462-0j 0.0247371-0j 0.000364412-0j 0.00102784-0j 0.00012848-0j 0.00885082-0j 0.000130385-0j -0.00251055-0j -0.000313818-0j 7.57077e-06-0j 0.000785465-0j 9.81832e-05-0j 6.7333e-05-0j 0.000538664-0j -0.0150633-0j -0.00153739-0j 0.00616705-0j 0.000629422-0j -1.84919e-05-0j 0.00109942-0j 0.000137428-0j 0.00323198-0j 5.7855e-06-0j 3.96764e-06-0j 0.00471279-0j 0.00659653-0j 0.000673256-0j 0.000480997-0j 0.000329863-0j 8.09801e-06-0j 
0.257036-0j 0.0372497-0j 0.0187-0j 0.00269911-0j 0.0185082-0j 0.00267142-0j 0.0026822-0j 0.00156462-0j 0.0151728-0j 0.000223517-0j -0.0043236-0j 0.00885082-0j 0.000130385-0j 0.00155482-0j 0.000194352-0j -0.024458-0j -0.0003603-0j -0.00354444-0j -0.000443056-0j 1.14523e-05-0j 0.00108815-0j 0.000136018-0j 8.01662e-05-0j 0.00064133-0j -0.0212667-0j -0.00217052-0j 0.00932891-0j 0.000952128-0j -2.61073e-05-0j 0.00152309-0j 0.000190386-0j 0.00384798-0j 8.01495e-06-0j 4.72384e-06-0j 0.00652888-0j 0.00913852-0j 0.000932697-0j 0.000666351-0j 0.000392733-0j 1.12186e-05-0j 
-0.290353-0j 0.0408801-0j 0.0211153-0j 0.00304773-0j -0.0209072-0j -0.00301769-0j 0.00294362-0j -0.00161863-0j 0.0166516-0j 0.000245301-0j -0.0024485-0j -0.00915635-0j -0.000134886-0j 0.00175564-0j 0.000219455-0j -0.0138508-0j -0.000204042-0j 0.00195012-0j 0.000243765-0j 1.29315e-05-0j -0.00122919-0j -0.000153649-0j -0.000432383-0j -0.00345907-0j 0.0117007-0j 0.0011942-0j 0.0105339-0j 0.00107511-0j 1.4364e-05-0j -0.00172051-0j -0.000215064-0j -0.0207544-0j -9.05385e-06-0j -2.54784e-05-0j -0.00737515-0j -0.0103231-0j -0.00105359-0j -0.000752723-0j -0.00211824-0j -1.26728e-05-0j 
0.287375-0j 0.0416464-0j 0.0209072-0j 0.00301769-0j -0.0203608-0j -0.00293883-0j -0.00295069-0j 0.0017493-0j -0.0166916-0j -0.000245891-0j 0.00242339-0j 0.00989551-0j 0.000145775-0j -0.00171045-0j -0.000213807-0j 0.0137088-0j 0.000201949-0j 0.00198667-0j 0.000248334-0j -1.25987e-05-0j -0.00361072-0j -0.00045134-0j 8.96286e-05-0j 0.000717028-0j 0.01192-0j 0.00121658-0j -0.0102627-0j -0.00104744-0j 1.46332e-05-0j 0.00170286-0j 0.000212858-0j 0.00430217-0j -2.65955e-05-0j 5.28141e-06-0j -0.0216643-0j 0.0102172-0j 0.00104279-0j -0.00221111-0j 0.000439088-0j 1.25428e-05-0j 
0.376262-0j 0.000776141-0j -0.0265947-0j -0.00383861-0j 0.0270932-0j 0.00391056-0j 5.58869e-05-0j -0.00448293-0j 0.000316144-0j 4.65724e-06-0j 0.00317296-0j -0.0253593-0j -0.000373578-0j -0.00221123-0j -0.000276403-0j 0.017949-0j 0.000264414-0j 3.70246e-05-0j 4.62807e-06-0j -1.62872e-05-0j 0.00159288-0j 0.00019911-0j -0.000345373-0j -0.00276298-0j 0.000222147-0j 2.26728e-05-0j -0.0132674-0j -0.00135409-0j 2.72712e-07-0j 0.00222957-0j 0.000278696-0j -0.0165779-0j 1.17327e-05-0j -2.03513e-05-0j 0.0095573-0j 0.0133774-0j 0.00136533-0j 0.000975437-0j -0.00169197-0j 1.64223e-05-0j 
0.00527405-0j -0.00526317-0j 0.0152117-0j 0.00219562-0j 0.000379764-0j 5.48142e-05-0j -0.00037898-0j -0.00581924-0j -0.00214384-0j -3.15817e-05-0j 4.44753e-05-0j -0.0329186-0j -0.000484937-0j 0.00126479-0j 0.000158098-0j 0.00025159-0j 3.70627e-06-0j -0.000251071-0j -3.13839e-05-0j 9.31602e-06-0j 2.23273e-05-0j 2.79092e-06-0j 0.000978568-0j 0.00782854-0j -0.00150643-0j -0.000153749-0j 0.00758871-0j 0.00077452-0j -1.84931e-06-0j 3.12518e-05-0j 3.90647e-06-0j 0.0469713-0j 1.64456e-07-0j 5.76627e-05-0j 0.000133964-0j 0.000187511-0j 1.91377e-05-0j 1.36727e-05-0j 0.00479398-0j 2.30191e-07-0j 
0.0518596-0j 0.00751549-0j 0.0037729-0j 0.000544572-0j -0.0258998-0j -0.00373832-0j -0.0037534-0j 0.000315677-0j -0.0212325-0j -0.000312784-0j 0.000437324-0j 0.00178574-0j 2.63064e-05-0j -0.00217577-0j -0.000271971-0j 0.00247388-0j 3.64437e-05-0j 0.000358514-0j 4.48143e-05-0j -1.60261e-05-0j 0.00710477-0j 0.000888096-0j 1.61743e-05-0j 0.000129395-0j 0.00215109-0j 0.000219544-0j -0.0130546-0j -0.00133238-0j 2.64071e-06-0j 0.000307298-0j 3.84122e-05-0j 0.000776368-0j 5.23316e-05-0j 9.53081e-07-0j 0.0426286-0j 0.00184379-0j 0.000188181-0j 0.00435076-0j 7.92377e-05-0j 2.26346e-06-0j 
0.175981-0j 0.0255031-0j 0.012803-0j 0.00184795-0j 0.0126717-0j 0.001829-0j 0.00183638-0j 0.00107122-0j 0.0103881-0j 0.000153032-0j 0.00148402-0j 0.00605974-0j 8.92684e-05-0j 0.00106451-0j 0.000133064-0j 0.00839487-0j 0.000123668-0j 0.00121658-0j 0.000152073-0j 7.84087e-06-0j 0.000745003-0j 9.31253e-05-0j 5.48861e-05-0j 0.000439088-0j 0.00729951-0j 0.000745003-0j 0.00638707-0j 0.000651877-0j 8.96099e-06-0j -0.00733724-0j -0.000917155-0j 0.00263453-0j 5.48746e-06-0j 3.23419e-06-0j 0.00447002-0j -0.0440235-0j -0.00449313-0j 0.000456219-0j 0.000268886-0j -5.40439e-05-0j 
-0.348351-0j -0.050483-0j -0.0253434-0j -0.003658-0j -0.0250834-0j -0.00362048-0j -0.00363509-0j -0.00212047-0j -0.0205632-0j -0.000302924-0j -0.00293759-0j -0.0119952-0j -0.000176706-0j -0.00210719-0j -0.000263398-0j -0.0166175-0j -0.000244799-0j -0.00240821-0j -0.000301027-0j -1.55209e-05-0j -0.00147472-0j -0.00018434-0j -0.000108646-0j -0.00086917-0j -0.0144493-0j -0.00147472-0j -0.0126431-0j -0.00129038-0j -1.77382e-05-0j -0.00206418-0j -0.000258023-0j -0.00521502-0j -1.08624e-05-0j -6.40204e-06-0j -0.00884834-0j -0.0123851-0j -0.00126405-0j -0.00090308-0j -0.000532256-0j -1.52041e-05-0j 
