0.394103-0j -0.0868797-0j -0.0158343-0j 0.00796301-0j 0.0057133-0j -0.00377832-0j -0.000482465-0j -0.0325936-0j 0.009358-0j 0.000374772-0j -0.00408892-0j -0.000222562-0j -0.00512087-0j 0.00126876-0j -0.000945034-0j 0.0024103-0j -0.000692025-0j -0.000900205-0j 1.5073e-06-0j -3.34552e-05-0j 1.44243e-05-0j 0.00011173-0j 
-0.00144464-0j -0.00443626-0j 0.334829-0j -0.0246108-0j -0.0130861-0j 6.75188e-06-0j -3.07995e-05-0j 0.000125528-0j 0.000489336-0j -0.0024438-0j -0.000440511-0j -0.0638987-0j -0.00178903-0j 0.000208618-0j -9.99345e-05-0j 0.000842065-0j 0.00328256-0j 0.00206188-0j 6.83952e-08-0j 0.000158692-0j 0.00835101-0j -0.000529983-0j 
-0.0301034-0j 0.0109523-0j 0.0134032-0j 3.47697e-05-0j -0.00227611-0j 0.000476004-0j -0.00747126-0j -0.000149525-0j 2.70894e-05-0j 0.00137908-0j 0.434402-0j -0.000829539-0j -0.12663-0j 0.00213723-0j -2.71987e-06-0j -0.00100305-0j 0.000181721-0j 0.000176315-0j 1.73728e-05-0j -0.000388222-0j -1.86217e-06-0j -1.44243e-05-0j 
0.000467201-0j -0.0419129-0j 0.00178903-0j -4.28603e-05-0j 0.00423208-0j -7.11711e-07-0j 9.96066e-06-0j -1.32318e-05-0j -0.000158253-0j -4.25593e-06-0j -0.00416186-0j 0.00997408-0j 0.31776-0j -2.19903e-05-0j 1.0534e-05-0j -8.87614e-05-0j -0.00106159-0j -0.000217341-0j -7.20949e-09-0j -0.0888355-0j 7.21215e-06-0j 5.58651e-05-0j 
-0.0824804-0j -0.000311747-0j -0.000374772-0j -0.00170751-0j 4.16994e-05-0j 0.490837-0j -0.00444215-0j 0.0226644-0j 3.35752e-05-0j -0.0140817-0j -0.00257096-0j -3.9258e-07-0j -3.95045e-05-0j 0.00780124-0j 9.96154e-05-0j -0.00167603-0j -2.48289e-06-0j 0.000193031-0j -0.00104919-0j -2.92612e-08-0j -1.52046e-06-0j -1.17774e-05-0j 
-0.00171845-0j 0.235337-0j 0.000222562-0j 0.000747115-0j 0.00109033-0j 2.34796e-06-0j 4.03824e-07-0j 0.00022523-0j -0.0521282-0j -3.9258e-07-0j -0.00012366-0j -0.0175972-0j -0.00210272-0j -2.71987e-06-0j 0.00258808-0j -1.66558e-05-0j 0.00385488-0j -8.44601e-05-0j -3.29736e-10-0j -0.00823542-0j -3.95026e-05-0j -0.000305986-0j 
-0.00297367-0j -0.00448943-0j 0.000125528-0j -0.0245896-0j 0.000296945-0j -0.00040832-0j 6.98892e-07-0j 0.336679-0j -0.0446726-0j 2.69169e-05-0j 4.91432e-06-0j -1.17774e-05-0j 1.32318e-05-0j 0.000139079-0j 0.00604354-0j 0.000561377-0j -7.44868e-05-0j 0.00137459-0j 4.55968e-08-0j -8.77835e-07-0j -4.56137e-05-0j -0.000353322-0j 
-0.00275915-0j -3.47697e-05-0j -0.074356-0j 0.0115269-0j -0.000208618-0j -0.00260718-0j -0.000684783-0j 0.000818983-0j 2.48289e-06-0j 0.457193-0j -0.00137908-0j -0.000159398-0j 0.000129493-0j -0.0117061-0j 1.48974e-05-0j 0.0054939-0j 1.66558e-05-0j -0.000965715-0j -9.51549e-05-0j 1.9629e-07-0j -0.00124489-0j 7.90052e-05-0j 
0.0197774-0j 7.36657e-05-0j -0.00262479-0j -6.75188e-06-0j 0.000217299-0j -0.0184926-0j 0.513122-0j 5.95608e-05-0j -1.53783e-06-0j 0.0116062-0j -0.126628-0j -3.31776e-06-0j -0.000848865-0j -0.00285602-0j 3.14064e-07-0j 0.000399546-0j -1.03161e-05-0j -3.42383e-05-0j -0.00868929-0j -4.9872e-07-0j 2.15025e-07-0j 1.66558e-06-0j 
-0.000157506-0j -0.000747115-0j -0.00123469-0j 0.247684-0j 9.99345e-05-0j -1.28603e-05-0j 3.70128e-08-0j -0.00123363-0j -0.00477784-0j -0.000130148-0j 3.9258e-07-0j -0.00338135-0j 2.15025e-06-0j 1.48974e-05-0j -0.0141755-0j 9.12273e-05-0j 0.000353322-0j 0.000462607-0j 1.80604e-09-0j 4.16394e-06-0j -0.0264082-0j 0.00167595-0j 
-0.00126876-0j 0.000137509-0j -0.00228661-0j 0.000753166-0j -0.0630287-0j -0.000357365-0j -6.96722e-05-0j -0.00152441-0j -1.48974e-05-0j -0.00159002-0j -0.000290297-0j -1.5801e-05-0j -0.00024103-0j 0.411219-0j 0.00682838-0j -0.010226-0j -9.99345e-05-0j 0.00381925-0j -6.39493e-06-0j -1.17774e-06-0j -6.11972e-05-0j -0.000474031-0j 
