-0.119088+0.230576j -0.266255-0.116104j 0.0145797-0.198292j 0.154772+0.0597679j 0.0911189-0.141137j 0.000531861+0.158451j 0.209965+0.089731j 0.0400066-0.0854248j 0.142646+0.139785j 0.0565039+0.0299943j 0.0196377-0.135133j -0.0855585-0.0765987j -0.0168634-0.173866j -0.0474891+0.0151022j -0.0888397+0.0100715j 0.0641155+0.0278169j -0.13014+0.0911703j 0.0510636-0.24788j 0.0334734+0.0544753j -0.121363+0.0193833j 0.162407-0.0703072j -0.142081+0.0285777j 0.00250482-0.048161j 0.0581233+0.132789j 0.0320619+0.043567j 0.19577-0.0978956j -0.140487-0.248233j -0.193711-0.168109j -0.204537+0.160625j 0.0373306-0.193687j 0.196032+0.030854j -0.00607025-0.0640732j 0.0583827-0.00239382j -0.0369262+0.0208852j -0.00663305+0.0404757j -0.00683035-0.0423604j 0.0533038-0.00306367j 0.01187+0.0238575j -0.00469123+0.000296758j -0.0245885+0.00307028j -0.00339294+0.00289248j -0.0123192+0.0101963j 0.0183451+0.0205664j -0.00110788-0.0179522j -0.00378675+0.00628954j 0.0143225+0.0100462j 0.00140722+0.00361831j 0.00387948-0.0092248j -0.00944934-0.0164457j -0.020265+0.0098377j -0.0177392-0.00137026j 0.0042007+0.0114005j -0.0061549-0.0119361j 0.00553792-0.008061j 0.00464151-0.0368231j -0.00649479+0.000791032j 0.00210307-0.0072425j -0.000401267-0.00774246j -0.0341078+0.00913793j -0.00884165+0.0082053j -0.0130378-0.0162531j 0.0024947-0.00605673j 0.028301-0.0179091j -0.0221219-0.012532j 0.00566409-0.00168699j 0.00433637+0.00397884j 0.0124596-0.0210733j -0.0466709-0.0241062j -0.0216695+0.0333959j 
0.0946404+0.142577j -0.162882+0.0740181j 0.25311+0.0741561j -0.145307+0.245981j -0.00145152+0.0851839j -0.0288695-0.246885j -0.196237-0.0477882j -0.0663609-0.00851513j 0.192631-0.0461155j 0.134438-0.0400008j -0.00657334-0.0492976j 0.0648393-0.154445j -0.134289+0.0360652j 0.096877-0.0165466j -0.010617-0.0292532j -0.0628186+0.0318118j 0.155649+0.157056j 0.0892089-0.0755349j 0.0582869+0.0812616j 0.0389985+0.000692282j -0.0434125-0.104031j 0.0377178+0.111483j 0.160239+0.0869209j 0.151532-0.264079j -0.197953-0.123044j 0.0602739+0.245595j 0.24878-0.161582j -0.178811+0.042406j 0.0735253+0.132172j -0.096594-0.115173j 0.115286-0.0822834j 0.0565725+0.054941j -0.0661514+0.0591841j 0.00759301-0.0365508j -0.0302587-0.041849j 0.030353-0.00154362j -0.0311107+0.0157448j 0.0198263-0.000699653j -0.0290139+0.000954289j -0.0134391+0.0188297j 0.00269862+0.000310302j 0.020382+0.00742429j -0.00877665-0.00268294j -0.0154663-0.02337j 0.0167958-0.0101441j 0.00447297-0.00111682j 0.00172729+0.0172962j -0.00604176-0.0163556j 0.00825648+0.0220496j -0.015509-0.0149473j -0.00610372+0.00848709j 0.00265076+0.000701884j -0.00216591-0.0138144j -0.0124163-0.000854695j -0.00878119-0.0117078j -0.00329914-0.0180531j -0.0135805+0.0153181j 0.0103843-0.0210073j -0.000426724+0.00265627j 0.0114983+0.0138194j 0.00328177-0.00752048j -0.0120973+0.00290855j -0.00208933+0.00399782j 0.00568268+0.0244148j 0.0224242-0.0050596j -0.0118+0.0253937j 0.0292998+0.000983535j -0.0257194+0.00772788j 0.00924532+0.0202593j 
0.0253667-0.103475j 0.134452+0.0207024j 0.0224443+0.113434j -0.084946+0.0189371j -0.00504938+0.00357895j -0.0324936+0.0162754j 0.0349869+0.061441j 0.0190152-0.0260867j 0.0156785+0.0233681j 0.00111665+0.00706586j 0.0304061-0.0116766j 0.0044022-0.00376843j 0.0191354-0.0116533j -0.00167515+0.0124681j -0.0300845-0.00627681j 0.0196719-0.00776793j 0.00480424+0.0257818j -0.00416216-0.0363343j 0.00410154-0.00493588j 0.00264294-0.0114404j 0.000397768-0.0111518j -0.0223493+0.00523431j 0.00198818-0.00828374j 0.0321114-0.000846091j 0.00222529-0.00313458j 0.0161387-0.0189676j -0.0487931-0.0198448j -0.0059476+0.0176281j -0.0103552-0.0013667j -0.0145065-0.174728j 0.249421-0.0285446j -0.0375441-0.286236j 0.208246+0.0375762j 0.0282993+0.0649426j 0.0707181-0.0465566j -0.104938+0.149397j -0.163469+0.0181217j 0.0298811-0.0833034j -0.059763+0.0720464j 0.108315+0.117247j -0.00679292+0.0713361j 0.0866041+0.0770657j 0.0107593-0.0138024j 0.00353325+0.153164j 0.10033+0.0587371j -0.0435472-0.148695j 0.0479369+0.0243867j 0.0329697-0.0554678j 0.0701944+0.0410398j 0.0722271-0.00964179j 0.0119682-0.00357848j 0.031195-0.0386605j -0.0374437+0.0966032j 0.165579-0.0486274j -0.114888+0.190744j -0.00251055-0.073393j -0.00113416+0.0328354j 0.0997119+0.0113388j 0.0301947-0.0504928j 0.0011016-0.00683542j 0.00414399-0.0724169j 0.0751316-0.107325j -0.0927595+0.0134945j -0.00247726-0.10352j -0.121382+0.072473j -0.131274+0.16415j 0.13252+0.234239j 0.257795+0.119695j 0.120879-0.182128j 
0.086508+0.0615791j -0.0644466+0.0861139j 0.028141-0.00877051j 0.00585992+0.021235j -0.0531061+0.049239j -0.0646317-0.000280464j 0.0313465+0.0278923j -0.0325327-0.0236811j -0.0100871-0.0158608j 0.00674034+0.057859j 0.0348536-0.0136408j -0.016404-0.0033494j 0.0206418-0.00570308j -0.00896071-0.0229177j 0.012216-0.00173446j -0.00731276+0.0048148j -0.0257147-0.00613578j -0.00159824+0.00459604j -0.00470372-0.0122396j 0.0104767-0.00968128j -0.0143823+0.0380074j -0.00825293-0.0236049j -0.0222377+0.00114008j -0.0104472+0.00886718j -0.00599725-0.0112457j -0.0100014+0.00101286j 0.00113261+0.0239363j -0.00649927+0.0152581j 0.0112832+0.0162786j 0.160283+0.0670333j -0.0853187+0.156533j -0.0862501-0.019903j 0.0371469-0.107087j -0.138582+0.0651112j 0.195653+0.0524541j 0.14088+0.241411j -0.025488+0.188686j -0.0327596+0.157142j -0.151769+0.103315j 0.0609088+0.0479097j 0.128368+0.0596282j 0.0575719+0.137883j 0.048898-0.166113j -0.150702-0.0717115j -0.0130857+0.0346804j 0.0904146+0.0224401j -0.0279516+0.044015j -0.0204721-0.0278224j -0.044089+0.0772544j 0.0231191-0.00695973j 0.0972341+0.0581923j 0.164267-0.0712374j 0.0887731-0.10028j 0.0702866+0.0914446j -0.10599+0.018268j 0.0242646+0.00475225j -0.105687+0.0570704j 0.023598-0.00226514j -0.0756508+0.0797168j 0.0929514+0.283198j 0.0714286-0.0456416j -0.212903+0.00844192j 0.143055+0.0842258j -0.0231799-0.0680271j -0.0182174+0.0754437j 0.0983936+0.159408j 0.188035-0.1324j -0.162881+0.129038j 0.145907+0.152949j 
-0.0671052+0.0323666j -0.00831414-0.060599j -0.0664114+0.0329276j -0.027117-0.0560331j 0.0304673+0.032475j -0.028167+0.0336953j 0.0074225+0.0136061j -0.0526325-0.0127887j 0.0117507-0.055525j -0.00695621-0.00158814j 0.00324145+0.0135389j -0.00803217-0.0301932j -0.00407914-0.0163009j 0.000307063-0.00798939j 0.00261416+0.0021481j -0.00620552+0.0151218j 0.0267647+0.0119258j 0.0122895-0.0213937j 0.0139293+0.00828411j -0.0211214+0.0142956j -0.0282987+0.00802324j -0.0269547+0.0023128j 0.0369685+0.0122548j -0.00313371-0.0232717j 0.000332947+0.0196726j -0.00599537-0.00728095j -0.00460646+0.00309353j -0.0159932-0.00643912j -0.0128017+0.00988735j -0.12507+0.0590952j -0.0196394-0.107676j 0.18407-0.0329628j 0.00857192+0.202827j 0.00762286+0.128387j 0.133476-0.0922826j 0.122336+0.0472023j 0.102011+0.0474378j -0.103256+0.275301j -0.112239-0.0987474j 0.00419035+0.0156473j -0.0099123+0.0245353j -0.0700792-0.00312242j 0.0405887-0.026023j 0.142326+0.100833j 0.130363-0.062236j 0.0779267+0.00707007j -0.179964-0.0610818j -0.0951951+0.0305635j -0.00627979-0.0592647j 0.0866154+0.00523531j 0.0465266-0.0357688j 0.08222+0.0229757j 0.0842538+0.0440043j 0.0660269-0.0594313j 0.084393+0.035269j 0.0618193+0.155681j 0.0405855-0.122469j -0.115189+0.104775j 0.0965948-0.110375j -0.0040414+0.164923j 0.210832+0.143439j 0.0210991+0.195311j 0.126651-0.254723j -0.247136-0.0225307j 0.090842+0.166862j -0.140728-0.00579865j -0.0195873+0.166166j 0.0213233-0.0918535j -0.0915318+0.0194012j 
0.00873783-0.00756374j 0.0153969+0.00708833j -0.0101613+0.0104883j -0.00679097-0.00962675j -0.00028508+0.000866086j -0.00461904-0.00788177j -0.00714947+0.0116659j 0.00630749+0.00442208j 0.00335585-0.000183956j 0.0033841-0.00184187j 0.0100426-0.000903933j 0.000537915+0.00771416j 0.00530447-0.00239356j 0.000985912+0.00399166j -0.00835435-0.00129836j 0.00285037-0.00374807j 0.00444924+0.00349412j -0.00583054+0.000362883j -0.000416343+0.00143246j -0.000856558-0.00622216j 0.000244009+0.00257799j 0.00229107+0.00124083j 0.0007395-0.00416213j 0.00148391-0.00427787j 0.00260842-0.00159075j -0.00162523-0.00227255j -0.00266326+0.00146877j 0.000477087+0.00301991j -0.00195953+0.000168289j 0.00679572-0.00148654j 0.0151016+0.00921916j 0.023025-0.00225486j -0.0112177+0.0386302j 0.0249665+0.0222097j 0.0144913+0.0170576j -0.0769259-0.000477064j 0.00319142-0.029857j 0.0229874-0.00851272j 0.000734996+0.026964j 0.0242794+0.0287257j -0.00879558+0.0083088j 0.0103025+0.0294903j -0.0179984+0.00250827j -0.00362439+0.054199j 0.0112372+0.0333463j 0.0136775-0.0536661j 0.00534264+0.00647091j 0.019792-0.0074002j 0.0284814+0.0152762j 0.00384361+0.00854087j 0.00427378-0.00976733j 0.00930124-0.0160088j -0.00363879+0.036688j 0.0425674-0.0155947j -0.010769+0.0239483j -0.00181848-0.0156646j 0.00805979+0.0103854j 0.0320676-0.00675171j 0.0115803-0.027057j -0.0106149-0.0135475j -0.0160829-0.00108433j -0.00133342-0.0150299j -0.0304221+0.0253985j -0.0224777-0.000828422j 0.0114053+0.0542684j 0.0209001+0.0398955j 0.0386629+0.00198629j 0.0369455-0.0232419j -0.0153138-0.0162168j 
-0.005012+0.00625041j -0.00890002-0.00884388j 0.0120691-0.00839803j 0.00702669+0.0090895j -0.00308304+0.00094657j 0.0044251-0.00484438j -0.00790638-0.00756001j -0.00540387+0.000294771j 0.00214783+0.00138482j 0.00229702+0.0134516j 0.00489554+0.00744136j -0.00679547+0.000812306j 0.00320964+0.00246882j -0.00536618-0.00247165j 0.00385299-0.00764996j 0.00107566+0.00266547j -0.00599522+0.00375448j 0.0032724-0.00475383j -0.00265634-0.000690971j 0.00891924-0.00634421j 0.00192506+0.00462444j -0.00160139+0.000425899j 0.0035732-0.0023227j 0.00200486-0.0031882j -0.00888511-0.00310203j -0.00870117-0.00411578j -0.00361187+0.0019469j 0.00104968+4.58783e-06j -0.0020178+0.000346944j -0.00331902+0.00499017j -0.00750351-0.0127527j -0.0184836-0.000107969j 0.0125054-0.0170656j 0.0104204-0.0389203j -0.017577+0.0229274j -0.0219795+0.0231162j 0.00143632-0.0118209j -0.00975794+0.00573156j -0.0179889+0.00229166j -0.0280909+0.0139462j 0.0505768+0.0476937j 0.0139924+0.0518879j 0.0101479-0.0276007j -0.0131791+0.0209721j -0.0254998+0.00116582j 0.000849549-0.0141752j -0.00510719+0.0155298j 0.0107643+0.0128531j -0.00588521+0.0240193j 0.0093994-0.00722818j 0.0355093+0.0134758j 0.0335084+0.00217224j -0.00257028-0.0225766j 0.0127838+0.0451241j -0.0403911-0.0139006j 0.0170725+0.00235381j -0.0234439+0.0394203j -0.00693861+0.00783789j -0.0107951+0.0137712j 0.0134583+0.0101581j -0.00713386-0.00729497j 0.00100508+0.0185833j 0.051241+0.000701926j 0.00728404-0.008358j 0.0462631-0.00823608j 0.0119537-0.00872375j -0.00429107-0.0142256j 0.0208406+0.000620099j 0.0113406-0.0245817j 
0.00756639-0.0102934j 0.0112063+0.00659149j -0.00616067+0.01084j -0.00876954-0.00226207j 0.00611774-0.00916132j -0.00588262+0.00190712j 0.0161871+0.0137099j 0.00569449-0.000194821j 0.0132018+0.00219745j -0.00676079-0.0153462j 0.000769126-0.000458472j -0.00703903+0.00131786j -0.000415654-0.00651274j 0.0117517-0.0031095j -0.00372016+0.0112998j -0.00368377-0.00418282j 0.00400848-0.00670891j 0.00147904-0.00617579j 0.00359962-0.00342334j -0.0079989+0.0141827j -0.0058575-0.00376598j 0.00424641-0.00103238j -0.0106467+0.0113686j -0.00546011+0.00383636j 0.00990705+0.0118756j 0.0138759+0.0170949j 0.0119985+0.00035103j -0.00290679-0.00852846j -0.00633446+0.00723342j 0.00403294-0.00578986j 0.00676232+0.00452809j -0.00734006+0.0239444j -0.0277458-0.00310491j -0.00534047+0.00992895j -0.00675389-0.0101671j 0.011908-0.00828527j -0.00043859+0.00784795j -0.00865278-0.0109309j 0.00111904-0.0141018j -0.04932+0.0333273j 0.034468+0.0376678j 0.0207809+0.0180853j 0.0268476-0.00972515j 0.00493767+0.00196283j 0.00321187-0.00173971j -0.0149585-0.0175973j -0.0225662-0.0146065j -0.00588786+0.0188901j 0.0140569-0.00244821j 0.00637253-0.0396994j 0.004199+0.0161906j 0.0198959+0.0278011j 0.0131484+0.000492345j -0.00536886+0.00161904j -0.0230832+0.0127607j 0.00129461+0.00403512j -0.0250618-0.0059204j -0.0224762+0.0326492j 0.0106847-0.0102459j -0.03064-0.0025847j -0.000318121+0.0340894j 0.0174699-0.0168505j -0.0217787-0.0169056j 0.00825317+0.00532978j 0.0100602-0.0267265j 0.0330521+0.0152914j 0.00833853-0.0264147j 0.00742742+0.00792206j 0.00994405-0.00609656j 
-0.00283159+0.00304977j -0.00191504-0.00201058j 0.000922184-0.0119957j 0.00729811+0.00370127j 0.0198815+0.00411993j 0.017882+0.00808056j -0.00744535-0.0159736j -0.0137188+0.00135941j -0.0115819+0.0307604j -0.000682752+0.00175296j -0.0298542+0.0215182j -0.00827714-0.0354235j -0.00214004+0.0128848j -0.000754993-0.00157087j 0.0141476-0.0119607j -0.000754806+0.0126779j -0.0200889-0.0133614j 0.0311508+0.00211697j 0.00411232+0.00537258j -0.000432947+0.0155277j -0.00117838-0.00877625j -0.00275879+0.00563782j -0.00373496+0.00431379j -0.00236772+0.00800157j -0.0192173+0.0116341j -0.0172399+0.00368515j -0.018389+0.00513509j -0.0137973+0.0157144j 0.00923502+0.0135986j 0.0091327+0.00215663j -0.00164115+0.0104216j 0.0108938+0.0145575j -0.017329+0.0119965j -0.0022085+0.00707798j 0.00683359-0.000722051j -0.003858-0.00204241j -6.82868e-05-0.00548849j 0.00494986-0.000878786j 0.00294252+0.00173946j -0.00499815+0.0129913j 0.0064705-0.000651908j 0.00769201+0.00222394j 0.00193552+0.00272743j 0.00387326+0.000972607j 0.00534668+0.00662067j -0.00133719-0.00670471j -0.00398779-0.00408283j 0.00276746+0.00144284j 0.0114445-0.00390417j -0.0032597-0.00561538j -0.00413846-0.000424541j 0.00339372+0.0004849j 0.00853762+0.00590025j 0.000818755-0.0104644j 0.00206624+0.00292356j -0.00208565-0.00230315j -0.000188328-0.00522566j -0.000426445+0.0038756j 0.00142224-0.00963304j -0.0145513-0.00215337j -0.00196894+0.0128765j -0.000185324-0.00629864j -0.0118011-0.000734006j -0.00278306+0.00349716j -0.00368897-0.00225342j 0.0167539+0.00743389j 0.00923742-0.0155128j -0.00608918-0.00611605j -0.00509084+0.00649191j 
0.0018693+0.00458964j -0.00266274+0.00229348j -0.000135415-0.0185454j 0.0124564-0.00634702j 0.00339684+0.0107345j 0.0114804+0.00105927j -0.0131206-0.0170145j -0.0072248-0.000909706j -0.00174263-0.0101607j 0.00507342+0.0218498j 0.02189+0.00313722j 0.00930638+0.0129672j -0.00466527-0.00740649j -0.0172976-0.00888825j 0.0123878-0.00201177j 0.000245649-0.00264251j -0.00315827+0.0188098j -0.0131188-0.00715051j 0.00184398-0.0157452j 0.0110165-0.0178521j -7.37683e-05+0.00610599j -0.0159085-0.00884948j 0.0023216-0.0116755j 0.00261162-0.0118022j -0.0183584-0.0171608j -0.0040987-0.0181553j -0.0108072-0.0120954j 0.00949561+0.00848989j 0.00542383-0.014255j 0.0160441-0.00446739j 0.00794325+0.0195736j 0.00605012+0.010469j -0.019821+0.00758387j 0.00151593+0.0175061j 0.0114085-0.0270609j 0.0231526-0.000214365j -0.00838892+0.00704076j 0.00668186-0.0116997j 0.00341299-0.00329553j -0.0205978+0.0167768j 0.00445928+0.00931977j 0.0136273+0.00257388j 0.0186152+0.00747827j -0.00261519-0.0123357j 0.0124916+0.00363157j -0.00750834-0.00774483j -0.00651353-0.0171771j -0.00423221+0.00700217j 0.0124418-0.00791925j -0.00164475-0.0240465j -0.0149021+0.0128279j -0.00239581+0.0126235j 0.0161738+0.00157652j -0.0116329-0.0150477j -0.000544057+0.00617308j -0.0046201-0.0046648j -0.0121954-0.0191467j -0.00993352+0.00856476j 0.00903984-0.00967953j -0.0304921-0.00128185j 0.00343049+0.0267863j 0.00839595-0.0216622j -0.0163604-0.00814497j 0.0014774-0.00510896j -0.0157104-0.0194394j 0.0250311+0.0169552j 0.0165454-0.0179647j -0.00881108+0.00642144j 0.00640659+0.0098901j 
-1.55199e-05-0.00237678j 0.00209076+0.00042493j 0.00749033-0.0105132j 0.00650084+0.00650636j 0.00414687+0.0209936j -0.0211984-0.00247104j -0.0147865+0.010402j -0.0129352+0.00655541j -0.0066313-0.010152j -0.0066279+0.00234726j -0.00344903+0.0108421j -0.00656301-0.000195822j -0.00410681+0.00533304j -0.000306716+0.00740616j -0.000817471+0.010129j -0.00208573+0.00992673j 0.000650162+0.00413209j -0.00419114-0.00629929j 0.00269252+0.0060216j -0.00121204-0.00239227j 0.00942871-0.00484838j 0.000153116+0.0116955j -0.00280162+0.00414746j 0.0256566+0.0126118j 0.00931321-0.0188152j -0.0112859-0.00895658j -0.00359308+0.00830192j 0.00441908+0.000581135j 0.000325167-0.00430148j 0.0105936-0.00956769j 0.00824864+0.0120192j -0.00210134-0.0098326j 0.0106631-0.0023016j -0.0409959+0.0149927j -0.00513012+0.0493802j -0.0149996-0.0184189j 0.0286668+0.0198327j -0.0363227-0.00191008j 0.0242398-0.0198891j -0.00970495-0.010998j -0.00470473+0.0087902j 0.00276533-0.0112379j -0.00674168-0.0168077j 0.014228+0.00980659j 0.0124099-0.0121024j -0.00451029-0.0171999j -0.0167145-0.00514415j -0.0191878-0.0197955j -0.0064193-0.00762792j 0.013901-0.0156152j 0.0119841-0.0163363j 0.010022+0.0194006j 0.012199+0.0118505j 0.00334412+0.000218922j -0.0137987+0.0242138j -0.0247512+0.0193995j -0.0151102-4.14421e-06j 0.0076985+0.0128509j 0.0103339+0.0208138j 0.0198852+0.0129576j -0.00413666+0.00204223j -0.0244583-0.00123953j -0.0492054+0.00561336j 0.00554873+0.0638631j 0.028012-0.00533839j -0.00868141-0.00356426j -0.003914+0.00234266j -0.00070515+0.0039239j 0.00389584-0.00186505j 
