-0.0933585+0.107217j 0.18374+0.0822251j -0.0230377-0.245593j -0.214609-0.0800512j -0.0207082+0.0786739j 0.0949547-0.0743879j 0.0372647+0.26819j 0.201171-0.135966j 0.0040913-0.0780397j 0.0567755+0.0795314j -0.0657769-0.0464072j 0.173328+0.0131606j -0.202729-0.0104917j -0.10465+0.0292329j -0.02903+0.0190369j -0.00360188+0.048067j -0.027477+0.04842j -0.0785289+0.0581061j 0.00532757+0.0106252j -0.123431+0.0716766j 0.0384251+0.12077j 0.0942508-0.0825644j -0.00331524+0.0749241j -0.0808249-0.022154j 0.0203822+0.189716j -0.0650021-0.0327524j -0.0626572-0.0677814j 0.00799521+0.051699j -0.0295156+0.130008j 0.0165456+0.0164604j 0.0941515-0.1444j -0.0149223+0.0663259j -0.0397839+0.00222414j -0.12122-0.00695654j -0.0607047-0.0142368j 0.0712336-0.0806857j -0.0513046+0.057238j -0.059259-0.0347276j 0.0267497+0.0069865j 0.0120307-0.051017j 0.012815+0.0095638j -0.0902194-0.000292189j 0.0300999-0.0620231j -0.0916784+0.0304729j 0.0306151-0.130994j -0.14513+0.0368119j 0.0364055-0.135674j -0.198591+0.0450696j -0.0659617+0.169754j -0.123462-0.158851j 0.115826+0.199287j -0.181347+0.0322321j 
0.0827139+0.137253j 0.182595-0.106259j -0.0382666-0.0872748j -0.0272712-0.0113926j 0.106644-0.0946417j -0.156134-0.0876683j -0.122176-0.0366089j 0.0430874+0.0841999j -0.0348891-0.123652j 0.106665+0.0296636j 0.118384+0.135675j -0.0672443+0.325254j 0.092516-0.0619892j 0.0841354-0.0719429j -0.154733+0.047165j 0.0188486+0.0611711j 0.0222506+0.0643469j 0.0684615-0.0411538j -0.178969-0.120923j -0.0782637+0.0665397j 0.058016-0.049895j -0.107859-0.103828j 0.0253903-0.107365j -0.00663565+0.0534541j 0.084119-0.181583j -0.0370871+0.112079j 0.05803+0.0113091j -0.040708-0.0125144j 0.0545592-0.0163451j -0.0260466-0.0810609j 0.0642254-0.0663321j 0.0531607-0.0288517j 0.01607+0.00738553j 0.0120859+0.122212j 0.0499838-0.0315181j -0.162739-0.113869j 0.0271662+0.0926233j 0.0781113+0.062204j 0.109544-0.108877j 0.119059+0.0388176j -0.0637915+0.134018j -0.0573211+0.022944j 0.0671833+0.118553j 0.0261597+0.00164743j 0.163655-0.00477969j -0.137799-0.148869j 0.120021-0.0216364j 0.0135377-0.191046j -0.0601031-0.00752047j 0.104139-0.0926965j 0.22948-0.00785289j 0.0176874+0.195576j 
0.101283+0.0563994j 0.0703379-0.108017j 0.101997-0.123717j -0.126989-0.114378j -0.00656253-0.0906777j -0.129082+0.111387j -0.181948-0.0988115j -0.100958+0.0147638j -0.0998971-0.0100481j 0.00319258-0.00649853j -0.279022-0.017367j 0.00805381-0.168618j -0.0925664-0.112897j 0.0409052+0.172573j 0.0649354+0.00930294j -0.0819365+0.013191j 0.0316912-0.172718j -0.0703896+0.103836j -0.0205136-0.0303909j 0.0856779-0.0993967j -0.0518991+0.0185948j -0.124486-0.0912879j -0.101936+0.0292411j 0.0662834+0.012118j -0.0342106-0.0249043j 0.0242152-0.0236289j 0.0316081+0.0251501j 0.109811-0.0115242j -0.00746319-0.0642782j 0.0884346+0.0567714j -0.019818-0.0718347j 0.00441723-0.122009j 0.139466+0.0299785j -0.0942419+0.0279406j -0.0666971-0.0713277j 0.0735592+0.141938j 0.088773-0.0283742j 0.102571+0.0455215j -0.114651-0.01888j 0.0606764-0.180512j -0.0559533+0.0334183j -0.0744442-0.103953j -0.270511+0.0438645j -0.0676373+0.1813j -0.0583317+0.164892j 0.013031-0.0122828j 0.0378736+0.104465j 0.0955702+0.0397726j -0.240397+0.0446662j -0.025667-0.203588j 0.0872537-0.0519125j 0.0639028+0.0700455j 
0.112658+1.69959e-05j 0.0643595-0.115434j 0.0263318+0.000647607j 0.100759-0.080743j 0.18755+0.0221468j 0.062217-0.210299j -0.0693328+0.0956027j 0.169156+0.166853j 0.0226766+0.122462j -0.25058-0.0368851j 0.00175694-0.120228j 0.0206925-0.0123315j -0.0397811+0.145009j 0.078147-0.0135902j 0.112778-0.0529643j 0.11339+0.0807033j 0.0201419-0.154443j -0.00187515-0.0369242j 0.0283496+0.0336593j 0.096239+0.00892589j 0.00810745-0.0963937j -0.0246968-0.0441689j 0.0776483-0.0155588j -0.0299756+0.12111j -0.0917111+0.0491581j -0.0888498-0.0262766j -0.070961-0.108956j 0.0444751-0.0986407j 0.0932683+0.0386344j -0.0912565+0.0154638j -0.123974-0.0219109j 0.0651795-0.0137912j 0.126772+0.134783j -0.0321761-0.0364624j 0.00143879+0.0643342j 0.0760097+0.150806j -0.10326+0.0415942j 0.0506361-0.0159117j -0.077252+0.155586j 0.0222676+0.0837837j -0.0780048+0.178807j 0.196751+0.00943623j -0.0069351+0.0204079j 0.0585668+0.042077j 0.220803+0.0206029j 0.126651-0.221j -0.156718-0.212907j -0.0893402+0.147012j -0.0157866+0.00958303j 0.0550871-0.0800439j 0.084591-0.0536919j 0.0612267+0.0176898j 
-0.0775387+0.109763j 0.0706848+0.0838196j -0.140567+0.0878886j 0.0594698+0.11075j -0.106386-0.216053j -0.0995988+0.0741947j -0.0635004+0.0786278j 0.0755906-0.0139596j 0.0729284+0.074316j -0.112073+0.106586j -0.0194328-0.0439883j 0.0214071+0.0491835j -0.0612032+0.088021j 0.120579+0.11674j -0.0516732+0.0575345j -0.0477898+0.0399476j 0.201673-0.119172j 0.0894959+0.00951547j 0.106824-0.0994252j 0.0345914-0.0345602j 0.0335607+0.0194238j -0.0332288+0.0498807j 0.0326272-0.0907558j -0.0394502-0.072742j -0.0759037+0.00978148j -0.0300374+0.029225j 0.137136+0.0696065j 0.0854991+0.24527j -0.0252278+0.0214431j -0.0329303-0.128396j 0.0928978-0.000232672j 0.0381752+0.085417j 0.0411178+0.0389794j -0.140338+0.0988152j 0.114805+0.0834606j -0.0200163+0.107604j -0.0134182-0.000179091j 0.147787+0.0363723j 0.0906986+0.114613j -0.213153-0.0428992j 0.152117+0.293086j 0.202215-0.161495j -0.107177-0.00828413j -0.00611552+0.0788266j -0.0822678-0.0933103j -0.0472969+0.163261j 0.148423-0.0111211j -0.0511755-0.0948397j 0.104973-0.0843497j 0.0524718+0.0971553j 0.00940899+0.0677458j -0.0581919+0.0341419j 
0.00752564-0.000399179j -0.0139174-0.00400489j -0.0030671+0.00653988j -0.00246251+0.0171168j -0.0138952-5.67396e-05j -0.00482801-0.00708585j 0.0397528-0.0205238j 0.00294155-0.0152153j -0.00979892-0.00320166j -7.7355e-05-0.0308493j 0.0104166+0.00295029j -0.0309907-0.0342709j 0.0110258+0.0198088j 0.00860458+0.00882843j 0.0144843+0.00584587j 0.0184747-0.00904251j 0.00651003-0.0101994j -0.00259115-0.00289697j 0.00208812+0.0290852j 0.00855762+0.00652005j -0.0174527-0.0245063j -0.0179995+0.0406534j 0.0044479-0.000399463j 0.00596839+0.00455972j -0.00608255-0.0148761j 0.0293297+0.00930419j -0.00184077+0.0115505j 0.00703748-0.00478358j -0.00284443-0.0193104j 0.00171388+0.00549334j -0.0311232+0.0201861j -0.0127852-0.000500821j 0.00663636-0.0100391j 0.0124555-0.00516321j 0.0219853-0.00319935j 0.00528894+0.0143917j 0.00143604-0.0181194j 0.00206342-0.00799381j -0.0079142+0.00169961j 0.001085-0.00219153j -0.00601643-0.00854592j 0.018991-0.0145755j -0.0032747+0.000970699j -0.00300921-0.0207298j 0.00240906+0.00884265j 0.0291801-0.0205927j 0.00455146+0.00878053j 0.00783788-0.0397776j -0.0107734-0.0202899j 0.0153175+0.0028054j -0.0272135+0.00477561j -0.00241158-0.00825412j 
-0.00176769-0.00316805j -0.00926283-0.00314686j -0.0137425+0.00171341j -0.0092277+0.0113923j -0.00930651-0.0197668j -0.00402901+0.010001j 0.0181054+0.0103066j -0.00536111-0.00515941j 0.00171265+0.0111295j 0.00960655-0.00659706j 0.0340504-0.00773362j 0.0393468+0.00723555j -0.00803102-0.00369569j 0.0012315-0.00638933j -0.000654169-0.00707056j -0.00866207-0.0140075j -0.0198148-0.00651732j 0.0074776+0.0223915j 0.00597147+0.0156275j -0.00948703-0.0056014j -0.0197904+0.00737331j 0.0227346+0.0113784j -0.00584596+0.0313068j 0.00636899-0.0111589j -0.0192898+0.0394783j 0.00483712-0.0179543j -0.0145358+0.0196109j -0.00725521+0.00584952j -0.018103+0.0233473j -0.00122524-0.0114347j 0.0166875+0.022733j -0.0107713+0.0112735j -0.0139651+0.00560675j -0.0155144-0.0243557j -0.000430092-0.0209393j 0.0276969+0.00165109j -0.0200021-0.00842265j -0.00226722-0.00186875j 0.00906104-0.00365743j 1.81185e-05+0.00844104j 0.00517695-0.0201121j 0.0134031-0.00273249j -0.00597073-0.0159409j 0.00716575-0.00421722j -0.000225625+0.00129575j 0.0355749+0.0157453j 0.00236785-0.00201568j 0.0324716+0.0096536j 0.00314699-0.00371929j -0.0039312+0.00685783j 0.00463643+0.00810798j -0.0158694+0.00742463j 
-0.00628693-0.00196117j 0.00506974+0.00877939j 0.0039265+0.0154866j 0.0187486-0.00140524j 0.0116657+0.0165842j 0.00342281-0.0111953j -0.0130651-0.0204572j -0.0207595+0.0138092j 0.0152038-0.0115543j 0.00549514+0.00634667j -0.0103305-0.00988916j 0.000930802+0.00199255j -0.000649544-0.000119647j 0.00512074+0.00629527j -0.00418507+0.00446025j -0.00139468-0.00540166j 0.00817643-0.0113369j -0.020535+0.00341574j -0.0196408+0.0211412j -0.00881232-0.000276595j -0.0425739-0.016104j 0.00333436-0.0121757j 0.00338056+0.0324382j -0.00790155+0.00449726j -0.0188054+0.0249453j 0.0153127+0.0193491j -0.016926+0.0120671j 0.00249379+0.00876731j -0.00113306+0.0122637j -0.00400485+0.0051304j -0.0169121-0.0216416j -0.00709152-0.0027154j 0.00735424-0.0258024j -0.0174614+0.00418908j 0.0136066-0.0188439j -0.00182898+0.0297942j 0.00442574-0.00350159j 0.014762-0.00688165j -0.0205534-0.0265417j 0.00872984-0.0120029j -0.00528472+0.0262261j -0.0148012+0.00159277j 0.00529396+0.0230829j 0.00107504-0.0179838j -0.0123958-0.0129702j -0.00492626-0.0135453j -0.00594607-0.00215667j 0.00901813-0.00251386j 0.0261422+0.0183823j -0.0122305+0.0235703j 0.00278148+0.00157237j -0.00193457-0.00357702j 
0.00370184-0.000206209j -0.00253521-0.00266581j -0.00177053+0.0100965j 0.0115616+0.00355532j 0.0185976-0.0132251j -0.00204201-0.0396656j 0.0195023+0.00193516j 0.0127814+0.0105943j 0.0224396-0.00463296j 0.0149539+0.0100258j -0.0168+0.00496287j 0.00721286-0.0172488j -0.0254414-0.0151844j 0.0150442-0.00447553j -0.0409954-0.0188j -0.00220384-0.0109421j -0.0159326+0.00914512j -0.015641-0.00147542j 0.00970959-0.015356j 0.000126257-0.00365478j -0.0105319+0.0191379j 0.00661752+0.0162113j -0.0144645-0.0131707j 0.0121587-0.00533191j 0.007638-0.00758681j 0.00749264+0.00962928j 0.0230782+0.00393026j -0.010127+0.0157012j -0.00828415-0.000484568j 0.00958626+0.0112766j 0.00807482+0.0229463j -0.00192341-0.0163339j 0.00611062-0.0124147j 0.0217873+0.00999834j -0.0111517+0.00181001j -0.00222011-0.000606063j 0.00851811+0.000908555j 0.0289923-0.0124997j 0.0106804-0.01227j 0.0153612-0.0125924j -0.0051032-0.000340766j -0.000696168+0.0151349j -0.014997-0.0174598j -0.0137808+0.0144603j 0.0126998+0.00632493j 0.0273187+0.00175056j 0.00411991-0.0439329j -0.0282239-0.00298293j 0.0138553+0.00404335j -0.00457562+0.0145237j -0.00384798+0.00114708j 0.00116725-0.00232644j 
0.00969481-0.000964132j -0.00422787-0.00928709j -0.00834979-0.0209917j -0.0192245+0.0108753j 0.00355822-0.0216345j -0.00193588+0.0103805j -0.0179956+0.00490375j -0.00271871+0.0148366j 0.0213057+0.00988697j -0.00667265+0.0232184j -0.01797+0.0272744j -0.0132347-0.0199406j 0.00176657+0.00354913j -0.00201723-0.015356j 0.00867057+0.00095733j 0.0109874-0.0118244j 0.00135445+0.000438326j 0.000133446-0.0110212j -0.0168863+0.00730983j -0.00167676+0.0102563j -0.0252553-0.0184356j 0.0206322-0.0131871j 0.000523704-0.00804911j -0.00811541-0.0134094j 0.0205206+0.010633j 0.0136647+0.00298279j 0.000939764-0.00688286j -0.00103101+0.0222689j 0.0126799+0.00606772j -0.0142017+0.0116513j 0.0105471+0.00519634j 0.011277+0.015321j 0.00888324-0.00703606j 0.00394879-0.0119692j 0.0151024+0.00433831j -0.0350434+0.00389099j -0.0062251+0.0127378j -0.0265494+0.0164956j -0.0220898-0.0309336j -0.0114733+0.011971j 0.0249178+0.00730281j 0.00345614+0.00678351j 0.00984927-0.0229262j -0.0459951+0.00285208j 0.0122987+0.029044j 0.014867-0.013767j -0.00193351+0.00465135j 0.00621465+0.00558667j -0.014493+0.00844342j -0.00673447-0.0122877j 0.00209586-0.00179199j 0.0034142+0.00306327j 
-0.00326477+0.011463j 0.0135072+0.00881827j -0.007377-0.00343439j -0.00414911+0.00962066j -0.030526+0.0194974j -0.000294525+0.0208631j -0.00512836-0.0182939j -0.00483669+0.00321749j 0.0337975-0.007037j 0.010094+0.00552908j 0.0106767+0.00148417j 0.01776-0.0124246j -0.00183606+0.00480224j 0.0200153-0.0277971j -0.00323211+0.0018876j 0.00312304-0.000674915j -0.0363685-0.0114265j -0.0131865+0.0104308j -0.00677628+0.00029057j 0.0175075+0.0237182j 0.0130038+0.0117102j -0.0153853+0.00319988j -0.00610427-0.023237j 0.0112589+0.00551616j -0.00387013+0.0209301j 0.00727011+0.00961561j -0.0118425-0.0265886j -0.017111-0.0109717j -0.0124789+0.00370145j 0.00559016+0.00778705j 0.0102834-0.00432703j 0.0306757-0.0187261j -0.00577515-0.00682627j 0.0116255+0.0125185j 0.0132454-0.0169084j 0.0187388-0.0116515j 0.0179305+0.00790782j -0.00696767-0.00178264j 0.00469927+0.00891186j -0.00897308-0.00829436j -0.0335863+0.031017j 0.0354081+0.0166878j -0.00250848-0.0160432j -0.0156449-0.00401076j -0.0119905+0.0024644j -0.0111482+0.00519635j 0.00833177+0.0255659j 0.00813517+0.00136213j 0.00142968+0.00571167j 6.54801e-06+0.00554586j 0.000344878+0.00483296j 2.72834e-05-0.000714389j 
