0.293782-0.126005j -0.1276-0.307476j -0.241921-0.0698207j 0.0823531-0.344121j -0.0419736+0.0990759j -0.193651+0.0536591j -0.0860217-0.034702j -0.234024+0.0435273j -0.0924027-0.00810082j -0.0719609+0.0996919j 0.120743+0.0893405j -0.204101-0.122511j 0.0928919+0.216374j -0.123768+0.416749j 0.384144+0.0895611j 0.100624-0.0689722j -0.063635-0.096808j -0.0675587-0.00369236j -0.0130717+0.0749589j 0.0510021-0.00403121j 0.0278828+0.0170836j 0.00322452+0.0166501j 0.018851+0.0251654j 0.0181065+0.0133629j -0.00487961-0.0200301j -0.0135373+0.0174822j 0.000255448+0.0014394j 0.00776105+0.0032877j 0.000287486+0.0286727j 0.00246522-0.0150521j 0.00264037+0.0125571j -0.0137023-0.0147734j -0.0116771+0.0202428j 0.0160098-0.0229741j -0.022659+8.81612e-05j -0.0312606+0.0260816j 0.028072+0.0322417j 0.0087917-0.000728385j -0.000680454-0.00740843j -0.00947121-0.0401683j 0.0282983-0.00649453j -0.0303854+0.0100068j 0.001587+0.0258178j -0.0051435-0.00262887j -0.00284159+0.0221223j 0.00565976+0.00885929j -0.0223973+0.0204384j 0.0155663+0.0202519j -0.00414981+0.00929219j 0.0117737-0.0179984j 0.00318857-0.00519279j -0.00372682-0.00452157j -0.0188757+0.0152508j 0.000230479+0.00337413j 0.0116181-0.00503624j -0.00199523+0.000592011j 0.000788099+0.00374049j 0.0022138+0.00148158j 0.00445255-0.00178232j -0.0110769+0.00592j -0.0109157+0.0021237j 0.014425-0.00456215j -0.00253481-0.00770341j -0.00528195-2.31622e-05j -0.000977959+0.000595136j -0.000469796-0.00137109j -0.000706228-0.00104231j 0.00212689+0.00224609j -0.00448995+0.00228611j -0.00245074+0.0023841j 0.0151926-0.00350669j -0.00949744+0.00319024j 0.0171809+0.000139247j 0.0022909+0.000753943j -0.000713818+0.000736527j -0.00351113-0.00370166j -0.00489789+0.00103354j 0.0037775+0.00201104j -0.0030565-0.000391949j 0.0153941-0.00322424j -0.00472189-0.00595955j -0.00924191-0.000938087j -0.0159568-0.00704226j 0.00353377-0.00248234j 0.00297579-0.0191396j 0.0235156+0.00755955j -0.00815607-0.00316337j 0.00126578-0.00159158j -0.00525861-0.00450939j 0.0236366-0.00919387j 0.0130614+0.0236523j -0.0130733+0.000366893j 0.00401439+0.00748692j -0.0136317-0.00108687j 0.00054952-0.0120748j 
-0.0732591+0.112095j 0.113118+0.0738265j -0.0202817-0.00615824j -0.000882352-0.0474235j -0.0364847-0.00514757j -0.00441841+0.0220105j -0.0264186+0.0262023j -0.0430684-0.0106406j -0.00632416+0.0128524j 0.0154665-0.0253368j 0.0272635+0.00310289j -0.00544209-0.0271765j -0.00147466+0.0039508j 0.0338979+0.0275392j 0.0181247-0.0309832j 0.15733-0.213233j -0.223308-0.168368j 0.015558+0.0512196j 0.102831-0.0388785j -0.194342-0.0722993j 0.0395351+0.0842059j -0.1645+0.129783j -0.144416-0.148277j -0.0163316-0.197303j 0.0425685-0.0302817j -0.145974-0.00682759j -0.065763-0.0552421j 0.0560056+0.0470036j 0.0954161-0.30255j 0.0791595+0.0665387j -0.026355-0.0441292j -0.171276-0.0409784j 0.118263-0.163428j -0.261384-0.0266802j 0.00334346+0.166384j -0.19686-0.246895j -0.250396+0.198167j -0.0451557-0.233305j -0.222343+0.0432229j 0.0454716+0.00413666j 0.011957+0.0487903j 0.0338464+0.00333762j 0.00410931-0.0315044j -0.0182252-0.0319296j 0.0374334-0.0488479j -0.0441662-0.019597j -0.0129088+0.0259402j -0.0198106+0.0204917j 0.0491179+0.0270962j 0.0173756-0.00590664j 0.0286437+0.00830038j 0.00287179+0.0213999j 0.00449597-0.0279013j 0.00299429+0.0168298j -0.0189405-0.0170497j -0.0123105-0.0181345j 0.0188972+0.00936512j -0.00400156-0.00883598j 0.000629007-0.0188504j -0.0167737-0.00612689j 0.00322655+0.0171386j 0.00776404+0.0169403j 0.0083925+0.0283548j 0.00208754-0.00597284j 0.00710375-0.00297416j -0.00175183+0.0149869j -0.0102917+0.0081905j -0.00655796+0.0136457j -0.00166091-0.0103789j 0.000120706-0.013169j -0.0110037-0.0085227j -0.0100504-0.00906288j 0.00280251-0.0147382j 0.00381263+0.000423456j -0.00718281-0.00408062j 0.00571523+0.02543j 0.00823358-0.0364495j 0.0230206-0.0194594j -0.000485169-0.00739639j -0.0170518+0.01543j 0.00559912+0.0117827j -0.00650006+0.0124663j 0.00627669+0.0033485j -0.00554304+0.0456028j -0.00988523+0.015602j 0.0112677+0.00328292j 0.0415269-0.0197623j -0.0121864-0.017124j 0.0213383-0.0125183j 0.020891+0.0155461j -0.0124373+0.0175118j 0.0104815-0.0160815j -0.0164499+0.0034649j 0.0733715+0.017086j -0.0174396+0.064539j 
0.00579455-0.0539125j -0.0564252-0.00727743j 0.00416362-0.0304755j 0.014361+0.00380726j -0.0117427+0.00241865j 0.0041945-0.00750733j 0.0106576+0.0128168j 0.00037019+0.00765631j -0.00383025+0.000515061j -0.0101395-0.00657302j -0.000846264-0.0030599j -0.00894488-0.00840197j -0.00776844-0.00178899j 0.00177616-0.00647691j -0.00290875+0.00394474j -0.0546265+0.14999j 0.168007+0.0495543j -0.057613+0.0975731j 0.0897271+0.0713776j 0.00389188-0.0405182j -0.00618019+0.0333609j -0.0333428+0.0336416j -0.00568274-0.0132138j 0.00798961-0.0223896j 0.0197965+0.0341875j -0.0532392+0.00267326j -0.0519429-0.0286619j 0.0215332-0.0144781j -0.0150086-0.0341198j 0.0020153+0.0208301j 0.0227964-0.016504j -0.0260212-0.0112018j 0.000331665-0.0223188j -0.048448+0.0209639j 0.0245087+0.0199002j -0.0309895-0.00955377j -0.0234269+0.0485309j -0.109113-0.19704j -0.235114+0.102012j -0.0334182-0.00976142j -0.00743516-0.0561288j -0.137333-0.0738832j -0.0351556+0.205222j -0.0631527+0.0927544j -0.119513-0.083999j -0.0317523-0.000475691j 0.095365-0.0425161j -0.0139503-0.00598297j -0.0384506-0.0928741j -0.0012784+0.0248082j -0.150007-0.088037j -0.0468566+0.0257248j -0.0209779-0.0504885j -0.0535096-0.0154562j 0.047179+0.0251634j 0.00131102+0.150411j -0.0153951-0.0222681j 0.0246418-0.0284941j 0.0548454+0.0661631j 0.0057683+0.106484j 0.0148217-0.0037421j -0.0448512-0.0235551j -0.0574884-0.138112j 0.00105927+0.104124j 0.0290681+0.0174933j -0.0043144+0.048714j -0.023744+0.00115656j -0.0383532-0.00359693j 0.0244356-0.0495563j -0.0119515+0.0433666j -0.040397+0.0653331j -0.0436409-0.0161653j -0.0073738+0.0875975j 0.0417289-0.0605777j 0.0617296-0.0800666j 0.00458221-0.0363503j -0.017471+0.140147j -0.00719929+0.0772388j -0.138502+0.00624836j 0.0113321-0.0643837j 0.0391392-0.000824749j 0.190681-0.0750504j -0.0848423+0.0290136j 0.0305067-0.0415098j -0.0369937-0.0443065j 0.00429665-0.0550168j -0.0392234+0.0174102j -0.0188972-0.044785j 0.0281304+0.0519584j -0.0334275+0.00631146j -0.0135451-0.044847j 0.0777189-0.218607j -0.199947-0.142138j -0.306943+0.0293665j -0.0189196-0.272857j 
0.0666974+0.00977596j 0.00675659-0.0570959j 0.0171783+0.00336613j 0.00521272+0.029395j 0.0139639-0.0220994j 0.00323305-0.00276011j -0.0187357+0.00436003j 0.00904849-0.00265498j -0.003517-0.0199196j 0.013236+0.00436763j -0.00543042+0.00671153j -0.00100088-0.0117252j -0.0239483-0.00495289j 0.00971972+0.0050051j 0.00803112-0.0175787j -0.0765913-0.0348399j -0.0327511+0.062939j 0.0409899+0.0652246j 0.0730547-0.0180092j 0.0357023-0.0335924j -0.0210187+0.0551246j -0.0524384-0.0495131j -0.00158668+0.0139649j -0.00335435+0.0141252j 0.016695+0.00261426j -0.00577996+0.0171927j 0.0168479-0.0297307j -0.0148907+0.00179463j -0.00832219+0.00450113j -0.0107992+0.00372566j 0.0277265+0.000249632j -0.000861803-0.00393789j -0.0102634+0.0195862j 0.0325827+0.0123417j 0.00239085-0.0385237j 0.0036333+0.000585732j 0.0034027+0.014858j 0.115014-0.0144662j -0.0284219-0.0957694j -0.0418923+0.233829j -0.248103-0.0402201j 0.0363239+0.058231j 0.113368+0.0761115j -0.0547427+0.0435115j -0.178097-0.0477707j -0.109671+0.169687j -0.0813599+0.0346601j 0.00782305+0.227717j 0.0696885-0.0367694j 0.0646732-0.000728403j 0.0645432-0.0354498j 0.0544083+0.0566139j -0.0167511+0.00964619j 0.00529931-0.0434597j 0.0331423-0.0465093j -0.014527+0.0376359j -0.137333-0.0286499j -0.0213935-0.147607j -0.111522+0.00600038j -0.0250403-0.00501347j 0.0432322+0.0312897j 0.055166+0.0097208j -0.0284554+0.133358j -0.0893379-0.0823052j 0.0289875+0.0169116j 0.0098851-0.0602939j 0.0213989-0.0682129j 0.0897496-0.0271141j 0.0942443-0.0390935j -0.000225592+0.118657j -0.0489161+0.0331986j -0.0466775-0.00377401j -0.0315527-0.00905974j 0.11504+0.0303218j -0.0940085+0.113728j -0.124304-0.0650439j 0.0259887+0.0133897j 0.00367808-0.0723766j 0.0146854-0.0301919j -0.000119509-0.0215014j 0.0803894-0.0116385j 0.0416612+0.0653119j 0.0445053-0.0042354j 0.0616667+0.0679425j -0.113873+0.202516j -0.0666168-0.114277j 0.20976+0.117291j 0.0940279-0.200678j -0.0225266-0.0536687j 0.161936+0.0481424j -0.0661154+0.124867j -0.120075-0.133388j -0.15317+0.0942981j 0.041592-0.140355j 0.164792+0.044796j 
0.0221095-0.00843816j -0.00483608-0.0205666j 0.0435717-0.0159823j 0.0158653+0.0413718j 0.0266879-0.00665366j -0.00635775+0.0131229j -0.00731142-0.0017966j -0.00102662+0.00781955j -0.00409393-0.0255108j 0.00972612+0.0033325j -0.0101599+0.00566832j -0.0145372-0.00449669j -0.00519885+0.008016j 0.0176778+0.013863j 0.0088082-0.0236959j 0.030057+0.0513549j 0.0573646-0.0226428j -0.0732942-0.0214729j -0.0320024+0.0675873j -0.0169309+0.0278938j -0.00171014-0.0375419j 0.0400242+0.0364442j -0.00926244-0.0118671j -0.0018083-0.0176963j -0.00953388+0.0100693j -0.0101821-0.0133555j -0.0201258+0.0221541j 0.0171283-0.0089857j 0.00369467-0.017209j 0.0162568-0.0048502j -0.0260828+0.00227739j -0.0118969+0.00595382j 0.00279685-0.0330455j -0.0352106-0.00968014j 0.00163522+0.01683j 0.0104722+0.0151408j 0.0147997-0.0128781j -0.0992603-0.0398394j -0.0428747+0.0761467j -0.170928+0.11304j -0.0903834-0.188671j 0.156644-0.0386687j -0.0769792-0.0598245j -0.0313999-0.103615j 0.125996+0.118192j 0.0135316-0.0460113j -0.0529854+0.148411j 0.149607+0.0411493j -0.0701831+0.0643755j 0.0713419-0.142771j 0.0211518+0.123702j 0.140505-0.0634119j 0.0397589-0.0888193j -0.189396-0.136702j 0.0290834-0.0419725j 0.0574183+0.0291856j 0.00382817-0.103921j -0.0310121-0.109j 0.062106+0.0227106j 0.0403899-0.0216025j -0.0390193+0.0422864j 0.0346281-0.052683j 0.0506677+0.0259471j 0.133404-0.102099j 0.0808871-0.0250211j -0.0366242-0.0636116j -0.00305003-0.0703322j 0.0297606-0.0777288j 0.09416-0.0373706j -0.0124841+0.122601j 0.00336877+0.063809j 0.110965+0.0627917j -0.014988+0.01869j 0.0985956-0.0399483j -0.154678-0.0453945j -0.0187883+0.0809805j -0.0911625-0.0144911j 0.0370284+0.0162493j 0.0300718+0.153566j -0.0440307-0.0926173j -0.0698257+0.0072099j -0.0658068+0.00763093j -0.0165821-0.0301965j 0.00963299-0.0354639j 0.135927+0.128508j -0.169065+0.112924j -0.0814393+0.0364346j 0.0010995+0.177231j 0.0965826+0.0909035j 0.211855+0.136447j -0.15588+0.193748j 0.150988+0.0189054j 0.0667134-0.136891j -0.0502687+0.0471857j -0.058436-0.0466563j 
-0.00604747+0.0337733j 0.0399327+0.00503974j -0.0150526-0.0371651j 0.0390356-0.00175829j 0.0239165-0.00750666j 0.0203509+0.0180368j 0.0116727-0.0311075j 0.00267977+0.0147377j 0.00492362-0.0124887j 0.00221363-0.00806395j -0.022913-0.0138356j -0.0189028+0.036638j 0.0339109+0.0105774j 0.00390394+0.00751197j 0.00365399-0.00185107j -0.0314082-0.0277165j -0.0343762+0.025347j 0.0374062+0.0341925j 0.0452093-0.0332755j 0.0179836-0.015852j -0.00505417+0.0347684j -0.0318007-0.0245422j 0.00527071+0.0118798j 0.000476768+0.0127847j 0.00867773-0.00217301j -0.000666974+0.00591673j 0.00404549-0.018799j -0.00645921+0.00710149j -0.00600632+0.00984566j -0.00601327+0.00609213j 0.0124213-0.00930912j 0.0113971-0.00423674j 0.00296972+0.00541314j 0.00642965-0.00151568j -0.0129752+0.000132353j -0.0179303-0.000501649j 0.0066378+0.0209735j 0.0693392+0.0217207j 0.0222939-0.05458j -0.082134-0.100091j 0.0737093+0.00237581j -0.182326+0.127893j 0.132986+0.137858j -0.122335+0.0809394j 0.0455402-0.0685961j 0.0285061+0.114781j 0.119007+0.189417j 0.190077-0.103651j 0.0213048-0.0214297j 0.0193811-0.0843349j 0.144863+0.101789j 0.115356-0.030982j 0.0425067-0.0615534j 0.072808-0.16212j 0.0519622-0.0201602j 0.0456884-0.053203j 0.0522234+0.0722539j 0.183136-0.0580455j 0.0423959+0.0218203j 0.00917867-0.0308443j 0.107805-0.0658027j 0.0320091+0.000407778j 0.0164276-0.0989381j 0.11999+0.0186463j 0.00573376-0.0486418j 0.0209203+0.0442371j -0.0424383+0.0698484j 0.000110467+0.0224178j 0.150512+0.137264j 0.0367817-0.0599828j 0.0851027+0.0226066j -0.0269501-0.0111412j -0.0368353-0.0638335j 0.0406411+0.0231464j 0.00611578-0.101584j -0.0417294-0.0666442j -0.0505914-0.0639118j -0.061657+0.0250583j -0.140427+0.160891j -0.0721902-0.117177j -0.161646-0.051841j -0.102365+0.130407j -0.05601-0.176729j 0.0609847+0.00817741j 0.202464-0.00511497j -0.00132012+0.216118j 0.123911-0.0252627j 0.0919488-0.0926833j 0.0228137-0.101825j -0.191051+0.055j -0.0788787-0.176223j -0.00896049-0.109571j -0.130734+0.0299291j 0.0486579-0.0239582j 0.0335191+0.0399998j 
-0.0100187+0.00366679j 0.00634343+0.00832923j -0.00718598+0.000413493j 0.00153251-0.00425727j 0.00277844+0.00220251j -0.00209566+4.8124e-05j -0.00138103-0.00234734j 0.00153242-0.000233562j 0.000178419-0.00194516j -0.00113148+0.00222042j -0.00175622+0.00232316j -0.00095919+9.63835e-05j -0.00213344-0.000160993j -0.000302219-0.000951678j 0.000189356-0.000888945j 0.0216033-0.00775815j -0.0116308-0.0208599j 0.0230992+0.00587121j 0.0036141-0.024493j -0.00673932+0.00105998j 0.00671376-0.0174503j 0.00968032-0.00677266j 0.000275787+0.00182226j -0.00216387-0.00142675j -0.0111118-0.00947633j 0.00432209-0.00426676j 0.0133803+5.70254e-05j -0.00219164+0.00626255j 0.00253318-0.00702746j -0.00550535-0.00221485j -0.00113775+0.00692345j -0.000488903+0.00499739j 0.00682976-0.00108715j -0.000832683-0.005242j -0.00193198+0.000318711j -0.00153062+0.00251319j 0.00105478-0.00110836j -0.0145826+0.0105743j 0.0117768+0.022263j 0.0134211+0.0158128j -0.0299389+0.0355926j -0.0326606+0.0431463j 0.0439137+0.0180148j 0.00712992-0.0133653j 0.0301979+0.0332738j 0.00919109+0.00137601j -0.037001-0.0310596j -0.0314775-0.00644227j 0.0180903+0.036267j -0.00206487+0.00561492j 0.0302289+0.0497331j 0.0156384-0.00256432j 0.0105927+0.0245425j 0.0132183+0.00691275j -0.0136624-0.0218858j 0.0227742-0.041128j -0.000794481+0.00681684j -0.0249333+0.00563702j -0.00653034-0.0250131j 0.0138986-0.031758j 0.00222058+0.0116213j 0.019787+0.0150315j 0.00383051+0.0321426j 0.0162671-0.0269357j -0.0168297-0.00504338j 0.0220747-0.00284902j 0.0222433-0.000696916j 0.0308843+0.00793195j -0.0109895+0.0122917j 0.0017431-0.00431615j 0.0240438-0.0191404j 0.0150899-0.0144795j -0.00520546-0.0313979j -0.0169474+0.0209146j 0.00683645+0.0204361j 0.00335846+0.0065345j -0.00662456-0.046038j -0.00746333-0.00266668j 0.0246263+0.00460497j -0.00449829+0.0264359j 0.00361498-0.0198382j -0.0423623+0.0341107j 0.0166476+0.00103387j -0.00202295+0.0151441j 0.00466363-0.00310389j 0.0246964-0.011587j 0.0187945-0.0335483j 0.0196234-0.0141986j -0.0395832-0.0305152j 0.00487744+0.00248621j 0.00782707+0.0010113j 0.0570772+0.0400528j 0.0430487-0.0362382j 0.0187714-0.0470417j 0.03723+0.00708372j 
0.00534012+0.00441409j 0.00708098-0.00530859j 0.0106404-0.000949353j -0.00230331+0.00511752j -0.00623018-0.00745399j 0.00561111+0.00785292j 0.00258082+0.00816302j -0.00114333+0.00186021j -0.00442542+0.00453384j 0.00317628-0.00321735j 0.00285599-0.00509204j 0.00308313-0.00180696j 0.00307067-0.00564291j 0.00257187+0.00220905j 0.0038441+0.00160765j -0.0010803-0.0217496j -0.0237145+0.00115216j -0.00497379-0.0196712j -0.0190219+0.00631408j 0.00396869-0.00218606j -0.0113842+0.0109011j -0.0247726+0.00265248j 0.00201602-0.00176365j 0.00711472+0.00623812j 0.00162197+0.0171109j -0.00271363-0.00286118j -0.00828289-0.00743943j 0.00983042+0.000552918j 0.00361312-0.00372122j 0.00898509+0.00861538j 9.82972e-05-0.00738426j -0.00830208-0.0110503j 0.00298636-0.0116149j 0.0145203-0.00523686j 0.00896106-0.0224173j 0.00769977+0.00583973j 0.00443016-0.00113718j 0.00375286+0.0112345j 0.0132567-0.00100396j -0.00785147+0.0135891j -0.0266544-0.00336518j -0.00733728+0.00413084j -0.00313283+0.00341767j -0.00667301-0.0328692j -0.0470638+0.00421223j -0.0156197+0.0608684j -0.00050019-0.0265034j 0.0169011+0.00579622j -0.0209606+0.00184075j -0.00209054-0.00104902j -0.00944777-0.0160671j -0.0105709+0.00488714j 0.0198179+0.00546948j -0.032719-0.00519652j -0.00477435-0.0259645j 0.0186103+0.0239442j -0.0256812+0.021676j -0.00543595-0.0249272j 0.005825+0.0235624j -0.0153124+0.0131771j 0.0046019-0.00378478j 0.00920353+0.00210428j 0.00535579+0.00431562j -0.0218771+0.009845j 0.0106487-0.00889001j 0.00283072+0.0034656j -0.000232057-0.0010872j 0.00400469-0.0248237j -0.00606864-0.0127827j 0.0152765+0.00617286j 0.00950967+0.00650025j -0.00270821-0.000477823j -0.003659+0.0153612j 0.0141583-0.00848026j 0.014674-0.00504737j -0.0185461+0.0177809j 0.00580799+0.00510512j -0.0461463-0.00728721j -0.022512-0.0312761j 0.00176682+0.000756041j -0.00148644-0.00422963j 0.030622+0.00968572j 0.000680149-0.0246028j 0.0118163-0.0146191j 0.0277723-0.0105677j 0.0224656-0.00814665j -0.00387739-0.0492643j -0.0143558+0.00784861j 0.00511564-0.0351899j -0.000639183-0.00653109j 0.00895795+0.00275681j 0.0245655+0.017525j 0.0134286-0.0131917j 0.00685935+0.0351301j -0.0347734-0.00298309j 
0.00704326+0.00729187j 0.00686931-0.00739434j 0.0139834+0.01035j -0.00600837+0.000741157j 0.00042877-0.0105677j -0.00510435+0.0094963j -0.00415141+0.0082481j -0.00564946-0.00228182j -0.00690228-0.00109343j 0.00505273-0.0054566j 0.00762093-0.00372509j 0.00597151+0.0025319j 0.0117207-4.15181e-05j -0.00264069+0.00428731j -0.00281039+0.00910528j -0.0029743-0.0105895j -0.00794772+0.00674299j 0.0164871-0.0147065j -0.0138262-0.0105098j 0.000132143-0.0165192j 0.00316439-0.0264175j 0.00501655-0.0109239j 0.00823316-0.0044463j 0.00936582+0.00658008j -0.0117356-0.0040605j -0.00178646-0.00402329j 0.00960561+0.00289397j 0.00768397+0.00448105j 0.00520111-0.00178708j -0.00482229+0.00747041j -0.00239602+0.00182487j -0.000264795-0.0102695j 0.0105331-0.00311812j 0.00287314+0.0083414j 0.0210672+0.00253883j -0.0100116+0.0135533j 0.00593277+0.00808848j 0.024967-0.0135178j -0.0135048-0.0312142j -0.00432054-0.00933518j 0.0174118-0.00397483j 0.0100645-0.00234982j -0.00915145+0.00363458j -0.0107108+0.0334998j -0.010223+0.0171957j 0.0478023-0.018321j -0.00393648-0.0174681j -0.0370513+0.00466261j 0.023496+0.0172685j 0.0120521-0.00173697j -0.0137697+0.011995j 0.0370885+0.0357765j 0.00432212-0.0288357j -0.0132225-0.0069122j -0.0198143-0.00103031j 0.00776289-0.0128487j 0.0124927-0.00752385j -0.0136025-0.0185624j 0.000104137-0.00651444j 0.0197126+0.0143719j -0.0271034-0.00409273j 0.00438903-0.0143147j -0.00858104+0.0249597j 0.0186889-0.0075108j 0.0294195-0.0048901j -0.00814563-0.0136073j -0.00564212+0.00221897j -0.00202457-0.00349235j -0.00728837-0.0146958j 0.00725958+0.00722706j -0.0028907+0.00682812j 0.0121501+0.0105933j 0.0049483+0.00601427j -0.00174323+0.0110567j -0.0266228+0.0162687j 0.00132297+0.0242639j 0.0121791-0.0134225j 0.0111511+0.0184734j 0.00114767+0.0124053j 0.000551656-0.0140583j 0.0165096-0.00131781j 0.0019723-0.0497882j -0.0158427+0.018378j -0.0301862-0.0180483j 0.0318793-0.00248581j -0.0182811+0.0199817j -0.00320745+0.00946929j -0.00238319-0.00211056j -0.0217579+0.00767499j 0.00478547-0.0354538j 0.0299368-0.000329144j 0.0032819-0.0289035j -0.0327051-0.00729301j 0.0251058-0.0121237j 0.0083826+0.0275652j 
0.00943648+0.00294484j 0.00273456-0.00954738j 0.00538267+0.00642941j 0.00292246+0.00562816j -0.00959464-0.00178462j -0.00316419-0.0156321j 0.00819023-0.00337859j 0.0038371-0.00904256j 0.00612705+0.0153456j 0.00358944-0.012401j 0.00606889-0.00519082j 0.00810205+0.00582569j 0.0078219+0.00621273j 0.00503942+0.00663641j 0.00218503-0.00530722j -0.000273593-0.00652951j -0.00577281+0.000983946j 0.00453017+0.012063j 0.00364988-0.000353569j 0.0336904+0.00490515j 0.0238258+0.0211297j -0.00571568+0.0153945j 0.00118396+0.016826j -0.00912407+0.0215801j 0.0171195+0.0066302j -0.000378455+0.010563j -0.0284418+0.00333747j 0.0060377+0.00334893j 0.000103728+0.00690832j 0.00522568+0.000687258j 0.00935546-0.0166996j 0.0167505-0.0269804j -0.00671813+0.008889j -0.00123066+0.0121821j 0.00637019+0.0165321j 0.0162299+0.00162531j -0.00104972-0.0203547j -0.00872072-0.00658323j -0.00923991+0.00885648j -0.0158628+0.00653234j -0.00861699-0.0144678j -0.0104527+0.0162505j 0.0132894+0.0184178j -0.00101807+0.0194706j 0.00647029+0.017413j 0.0227793-0.00906819j -0.000163788-0.000849795j -0.0184519-0.00745592j -0.00264681+0.0209359j 0.0224532-0.0126283j 0.0146946-0.0121009j -0.0106906-0.00446087j -0.0406218-0.00978523j 0.00135314+0.0126879j -0.00406911+0.00426994j 0.00463568-0.00142798j 0.0209014+0.00448151j -0.0210474+0.0269295j 0.00663901+0.0120179j -0.00933735-0.0161374j -0.00335926-0.00937932j -0.015135+0.00406345j -0.00153528+0.0109586j -0.0162363-0.00550657j -0.00671941-0.00504098j -0.00521099+0.00999796j -0.000659852+0.00104803j 0.00761807+0.00558431j -0.0203863-0.00254866j 0.00646495-0.00317173j -0.0044641-0.0181759j 0.00799045-0.00624746j -0.000793885+0.0149029j 0.0101792-0.0219265j 0.0149928+0.0334899j 0.00283322+0.0143292j 0.0169183-0.00672195j -0.00216317-0.00402354j 0.0189004-0.00384901j 0.0157361-0.0096462j 0.00215141-0.00774134j -0.0125148-0.00704784j -0.0201954+0.00241991j 0.00744145-5.87217e-05j -0.00537607+0.0245535j -0.0155604+0.0011341j 0.0151657-0.0062703j -0.00458313-0.00786761j -0.000882173+0.00890292j -0.0206527+0.0107921j -0.00503419-0.0253814j 0.0276926-0.00220498j -0.00384039-0.0300676j -0.00159541-0.00296792j 0.00212308+0.000181848j 
0.00340488+4.52506e-06j -0.000688326-0.00477191j -0.0138337-0.00887127j 0.00828739+0.00494579j -0.0135326+0.00646944j 0.0169296-0.0145982j 0.0242894-0.00351111j 0.0127217-0.0105275j 0.00565888+0.0206333j 0.0119496-0.00414955j -0.00277428-0.00840862j 0.00122244+0.00483613j -0.0140381-0.00385906j 0.00709308+0.00730906j 0.0152032-0.00840918j 0.0128058-0.00459567j -0.00392147-0.0117717j -0.00250688+0.00491343j 0.00651464-0.00267798j -0.0148837-0.0099179j 0.00218447-0.0215752j 0.00840461+0.00119875j 0.019957-0.012235j 0.00999421+0.00987959j -0.00349839-0.011982j 0.00311093-0.0101691j 0.00681283-9.76546e-05j 0.0132963+0.00645026j -0.00767732+0.018459j -0.00557765-0.00418318j -0.0177758-0.0079601j 0.0149223+0.00597617j 0.00708115-0.0114978j 0.00883291+0.00739625j 0.00665322-0.00746178j -0.00650419-0.00716047j -0.00885963+0.00598992j -0.0160858+0.000243228j 0.00029306+0.0139456j -0.00863025-0.00515211j 0.011261-0.0122619j 0.013083-0.00800437j -0.00939238-0.0129072j -0.00351302+0.0111797j 0.00562697-0.00379586j 0.013373+0.000188145j 0.016811+0.0137401j 0.00662485-0.0140253j 0.0151454+0.00344352j -0.00439008+0.0180838j -0.00481764-0.0072986j -0.000727909+0.0198961j 0.020892+0.0107867j 0.0230632-0.00888023j 0.001975-0.0226073j -0.000282765-0.0147401j -0.0228324-0.00723074j -0.00129689+0.00553709j -0.00655717+0.00367422j -0.0189475+0.0254642j -0.00845366+0.00461178j 0.000911759+0.00649899j -0.0114128+0.00513868j 0.00466857+0.00153769j -0.0010452+0.00783958j 0.010144-0.00591565j 0.00445742-0.00599203j 0.0079482-0.0051639j 6.04307e-05-0.00389789j 0.00955567+0.000505025j -0.00709787-0.00483895j -0.0154128-8.45744e-05j 0.021632-0.00779423j -0.014403+0.00333838j -0.00710698+0.00625581j -0.0173327-0.0307912j 0.000992017-0.0048601j -0.000722649-0.00760922j 0.0103644-0.00899873j 0.0236907+0.0178625j -0.00573424+0.00470739j 0.0129455-0.0185283j 0.00817663-0.0164128j -0.0235223-0.0158757j 0.0178709-0.00399357j -0.00296238+0.0204368j 0.0299612+0.00766411j -0.00112194-0.0313181j -0.0104778+0.0189651j 0.00559894+0.00490603j -0.0082787+0.00754629j 0.005355+0.00687572j 0.009248-0.00561201j -0.00829439+0.00600125j -0.00673193-0.00660432j 
