0.103798-0.00603098j 0.0374948+0.109728j 0.101549-0.025207j -0.097503-0.12082j -0.0492637+0.129057j -0.122824+0.0381688j 0.145758+0.132438j 0.0725779-0.192113j 0.0439487-0.105335j -0.00703471-0.0254857j 0.0687071+0.0552403j -0.0827392+0.259626j 0.178391-0.0567529j -0.155978+0.0775102j 0.000173087-0.0765039j 0.0563641+0.107812j 0.0347636-0.013408j -0.0666885-0.000421787j 0.0402521-0.0699908j 0.0277665+0.115137j 0.00236501+0.0223085j -0.00365403-0.021015j 0.0185756-0.0484058j 0.206816+0.115466j 0.0207053-0.0594791j -0.111331-0.103548j 0.0301988-0.016618j 0.0536517+0.0597009j -0.0189312-0.0345729j 0.0712397+0.0464125j 0.113372-0.00138815j -0.127536-0.0165533j 0.0815843-0.0360054j 0.0790948-0.0741778j -0.114968+0.00246232j 0.0384897-0.0557319j 0.00354447+0.00782595j 0.0953544-0.0495928j 0.104562+0.127312j -0.101946+0.0145473j -0.0133804+0.0262149j -0.00769148-0.0867247j -0.0126143-0.0930554j 0.0228223-0.0890726j 0.0510779+0.0223435j -0.0691004+0.179762j -0.0274253-0.0206787j 0.0912452+0.0107139j 0.0450406+0.0292772j -0.0511112-0.0688057j -0.0843629-0.00807996j -0.0970937-0.0146491j 0.0159278-0.040009j -0.0414487-0.0543522j 0.0261947+0.00887784j 0.00718795+0.00727115j 0.0151577-0.0338203j -0.0393472-0.021615j 0.0725583-0.0299766j -0.103074-0.0197348j 0.0719605-0.0486577j 0.201402-0.0364818j -0.0895454+0.134283j 0.127131-0.000760497j -0.00328062+0.102347j 0.184591-0.0107349j 0.0384495+0.12709j -0.0769841-0.0448916j 0.0592474-0.152444j -0.129304-0.107057j 
0.0156175-0.110485j 0.166732-0.00957567j 0.00935998-0.0967431j -0.13491-0.0587934j 0.0435951-0.00937038j 0.075634+0.124452j 0.0505479+0.0553041j 0.0465753-0.0886391j 0.00592939-0.078505j 0.188671+0.027869j -0.0936308-0.130053j -0.0787074-0.158407j 0.030212-0.0188671j 0.0267129+0.00792084j 0.0360945-0.0652905j 0.0677112+0.0152367j -0.0022552-0.0999396j -0.0102848-0.0143999j 0.14422-0.0545265j 0.0617809-0.0661115j 0.0129845+0.158122j 0.120475-0.127963j -0.0226976-0.066641j -0.24357+0.108819j 0.0376304-0.0577298j 0.0491509-0.0337889j -0.0675034-0.0377192j -0.133944+0.00911125j 0.0780671-0.00883617j 0.0431597-0.0197348j 0.0668485-0.197311j 0.0257441-0.0218528j -0.0855639-0.141336j -0.014459-0.019516j -0.0193699-0.0247645j -0.0698901+0.00436672j 0.0356488+0.0416309j -0.118584-0.0943953j 0.0385338+0.0198171j -0.00258547+0.0318581j -0.00460076+0.109457j -0.103291+0.079146j -0.0193279+0.107166j -0.0575801+0.0827622j 0.100906-0.051582j 0.13668-0.056706j 0.00918801+0.0983847j 0.00174032-0.0789295j 0.0217786+0.0146607j -0.00220032+0.0315004j 0.0869641+0.0757843j -0.0805259+0.0265464j 0.0689562-0.119684j -0.0177672-0.0257767j -0.0316964-0.0218534j -0.0960177-0.00604086j -0.00899157+0.0950313j 0.0992881-0.056967j -0.018314+0.0795269j 0.000110422-0.0640773j 0.100382+0.0740261j 0.0634929+0.161624j -0.127155-0.0593396j 0.053123+0.185809j -0.113052+0.0760579j -0.0245438+0.165319j -0.0322202+0.0673142j 0.0142101-0.00280611j -0.174931-0.122788j -0.10502+0.124374j 
-0.0475385-0.0625217j 0.107077-0.0776214j 0.104828-0.044654j -0.0711931-0.167485j -0.067446-0.0473567j 0.0990479-0.0156163j 0.00164036+0.108087j 0.105187-0.104128j -0.165948-0.079135j 0.103765-0.0518721j -0.0518359-0.0661732j -0.0625516-0.114521j 0.0612662-0.0160928j 0.0347096+0.0289582j -0.0174612-0.0209384j -0.101056-0.0528976j 0.0053326-0.0429829j -0.0454244-0.142129j -0.084342+0.0212838j 0.0309006+0.152101j -0.132863-0.28952j -0.0561639+0.0375875j 0.00805522+0.0549797j 0.0956666-0.0665083j 0.00166146+0.00911952j -0.122055+0.114818j -0.139765+0.0606564j 0.133833+0.0126113j 0.0228784+0.0448187j -0.00401636-0.0484405j -0.0168352+0.021931j -0.0498367-0.00912963j -0.0455036+0.0828792j -0.106654+0.0471086j 0.0903122-0.0042834j 0.0924892-0.0109668j -0.0655137+0.0172469j 0.0635902-0.0111307j -0.0145948-0.03169j -0.031144+0.0908963j -0.0527569+0.0404965j 0.136627+0.0741014j -0.0267172-0.0128404j 0.0358179+0.0171473j -0.0907373-0.00937731j -0.0973098-0.0166685j 0.0117642-0.0178873j -0.033105-0.0525873j -0.0705779-0.079503j -0.00158028+0.10272j 0.0439462-0.109977j -0.0733082-0.015474j -0.0189121+0.0886271j -0.136304+0.178808j -0.0351676+0.122305j -0.044204+0.0782729j -0.162791-0.148102j 0.167223+0.0599344j -0.13498-0.00390821j 0.0174901-0.0370928j -0.103969+0.0626642j -0.0999625-0.0685184j -0.0307667-0.0254941j 0.0464143+0.0136767j -0.0814539+0.0154541j 0.0107402+0.0195157j -0.190163+0.150108j -0.113156-0.162566j -0.111782-0.0129338j -0.00138431+0.0710641j 
0.0297929+0.00269013j -0.0550039+0.0346951j 0.109373-0.0180199j -0.028749-0.0393771j -0.156828-0.0398665j 0.0662632-0.246154j -0.109724-0.109682j -0.144092-0.0209659j -0.123538-0.0511232j 0.0263759-0.0517261j 0.0149481+0.01775j 0.112147+0.00278206j -0.0921393-0.143307j -0.088661+0.0387027j -0.0604499-0.229132j 0.133221-0.0191214j 0.0704698-0.045539j 0.0765936-0.137039j 0.0774892+0.0554157j -0.0501022+0.0995171j -0.0907142+0.129586j -0.116434+0.058694j -0.00979597-0.0364513j -0.0381628+0.0475894j -0.00506886-0.0800026j -0.0281396-0.0611894j -0.0644251-0.0505917j -0.0944597-0.0275963j 0.0358119+0.146968j -0.0958944-0.04313j 0.0328626+0.029338j 0.0619196-0.0528326j 0.00649684+0.00247394j -0.00071612+0.0712025j -0.148315+0.00597195j -0.00317184-0.00274119j 0.0395175-0.0318655j 0.0421453-0.0709575j -0.0642161-0.0442794j -0.00490725-0.0483419j -0.14048+0.0773991j 0.0095553-0.061969j 0.0783221+0.00196942j 0.0201206+0.104367j 0.0101373+0.0724482j 0.0344514-0.0916873j 0.0329275+0.00105838j -0.0113154-0.0932544j 0.119468+0.0636008j -0.0351026-0.135323j -0.0335825-0.0733997j -0.123452+0.0739651j -0.0809607-0.0752175j -0.00229696+0.0548416j 0.119807+0.0485615j 0.00589508-0.157059j 0.0365308-0.00652054j -0.0155189+0.13098j 0.106604-0.0920991j -0.0706666+0.0608725j 0.0997247+0.0186991j 0.0330092+0.0549556j 0.143157+0.0294277j 0.178227-0.0987326j -0.0745727-0.253133j -0.149404+0.092499j -0.0388487+0.0353567j -0.102329-0.0308871j 0.0496553+0.0146806j -0.00166703+0.00697103j 
-0.0705877-0.0484515j 0.0681768-0.0689573j 0.0945917-0.117193j -0.120643-0.120803j 0.00593738-0.108274j 0.0897075-0.0336345j -0.172688+0.0182715j 0.0117608+0.0578653j 0.0789826+0.0975226j -0.12201+0.107897j 0.0850514+0.0228056j -0.0316097+0.107415j 0.162527-0.0457999j 0.114606-0.108544j 0.089466+0.0555828j 0.0155773-0.0964861j -0.149407-0.103933j 0.0230175+0.0547014j 0.164478+0.0282144j 0.0268499+0.0341478j 0.0346562+0.0270291j -0.00890626-0.0166829j 0.0184526-0.126697j 0.0646205-0.0385183j 0.00451382-0.0240837j 0.0258488-0.0341746j 0.100634-0.0921279j -0.00292908+0.0214834j 0.0305756-0.0959483j -0.112922-0.0983656j -0.0672773-0.0332748j 0.000851634+0.00734787j 0.0779503+0.106605j 0.0307808-0.0479637j -0.0329001+0.0263262j 0.0349227+0.0216397j -0.0735711-0.0605149j -0.0582682+0.0482781j 0.0353664-0.0320747j 0.0713267+0.030654j 0.035027+0.00404465j 0.0443991-0.140111j -0.0123898-0.0112378j -0.179223-0.0530992j -0.109929-0.0228857j -0.027743-0.0301458j -0.0276248-0.065808j 0.0221302+0.0452527j 0.0468278+0.0111442j -0.146453+0.0760737j 0.00308236-0.137338j 0.024732-0.0101837j 0.0239495-0.186566j 0.104456+0.0363097j 0.0261897-0.0266814j 0.0685445-0.181312j 0.0942825+0.0967152j -0.028765+0.0743827j -0.016591+0.114633j 0.0715336-0.0807106j -0.196694-0.107601j 0.207381-0.179303j -0.0390022-0.161791j -0.0668961+0.0579611j -0.0516336-0.0431984j -0.0912773-0.0309895j -0.0720348+0.136478j -0.112663-0.0324504j -0.0720832+0.002796j 0.030966+0.0433828j 
0.122594-0.0548685j 0.000561298+0.14476j -0.0234946-0.0211583j -0.0710494+0.0910085j -0.130784+0.0212973j 0.00711714-0.132198j 0.0664186-0.101166j -0.129944-0.0491173j 0.221298-0.0376763j 0.129422+0.0393909j -0.0954583+0.0272764j -0.0881958-0.0289522j 0.0297862-0.0541461j 0.116507-0.0998053j -0.0200212+0.0603093j -0.0486666-0.0872176j -0.0313846-0.125704j 0.0656694+0.124867j -0.109571+0.0158451j 0.0395621+0.0664251j 0.0392818-0.128492j 0.060423-0.0449052j 0.091152+0.0225663j 0.0168205-0.00935511j 0.0371527-0.108252j -0.114782+0.0346776j 0.022407-0.0361155j 0.00575384+0.0104244j 0.109506-0.0632157j -0.0310304+0.0400615j 0.0355997+0.0117905j 0.12945-0.12204j -0.00691502-0.0462155j -0.0672609+0.0352911j 0.172072-0.0315769j 0.0471339-0.0280424j -0.117277-0.0989057j -0.0571386-0.105843j -0.0966048-0.0113894j -0.109461-0.0993083j -0.0758698+0.0342116j 0.0130959-0.0423629j -0.0719825-0.0405626j -0.0582836-0.049919j -0.0163452-0.154664j 0.024681+0.0464327j -0.0152469+0.164336j -0.0200667+0.101978j 0.0588283+0.0782559j -0.0556121+0.237587j -0.0266851-0.0170166j 0.163309+0.0871141j -0.0508599-0.0300678j -0.0184547-0.0101702j -0.12405+0.124725j 0.0349104+0.0829684j -0.140124-0.063784j -0.129548-0.0340605j 0.0557185+0.197572j 0.0640579-0.0119114j -0.00779366-0.0127092j 0.0629438+0.0654453j 0.0640203+0.122969j 0.106208-0.104683j -0.101659-0.120375j -0.0439422+0.104416j 0.0923323-0.07696j 0.0487662+0.0449198j 0.0569486-0.0734113j -0.0722347-0.012807j 
0.00319408+0.120387j -0.103466-0.0065981j 0.0865453-0.0821237j -0.0233873-0.0807293j 0.142928+0.133375j -0.0532366+0.0462688j -0.0192559-0.114127j -0.0105145+0.0963808j -0.0450096-0.185235j 0.106736-0.0684042j 0.0314571-0.000135968j -0.0087967+0.0417759j -0.0414646-0.0373059j 0.0400503-0.130313j -0.0610111+0.0383119j 0.0174302-0.0551581j -0.0489515-0.0481523j 0.035151+0.0896196j 0.0122771-0.0462575j -0.0894672+0.0921378j -0.0342191+0.0155021j 0.034043-0.0360794j -0.0464933+0.059618j -0.0460054+0.0979235j 0.183289+0.146192j -0.0792633-0.0368241j 0.0476847+0.122616j 0.00316113-0.137744j 0.125904+0.0865374j 0.000519856+0.0597958j -0.0609055-0.0366526j -0.0329321+0.0519827j 0.148039-0.0574421j -0.0591353+0.0196801j -0.00866095-0.0175811j 0.101972+0.0394763j 0.0265759+0.0281193j 0.0900634-0.123082j 0.117924+0.0100092j 0.00298205-0.144804j 0.0131027-0.0184886j -0.0695775+0.0310653j -0.187746+0.0457045j 0.0324016-0.0317353j -0.128882-0.011468j 0.0234093+0.0122843j 0.342931+0.0479631j -0.0334084+0.0281656j 0.0967551+0.0842756j -0.0353957+0.217171j -0.00331835-0.150019j 0.105324+0.00351729j 0.0595571-0.0230411j 0.00373081-0.051149j -0.0710309-0.0304924j 0.0107469+0.0304123j 0.0762501+0.0419849j 0.130879+0.00602921j -0.0303212-0.230989j -0.0934046+0.102062j 0.125674-0.033337j 0.0127765-0.005158j -0.0683836-0.07958j -0.0481912+0.0988152j 0.0886678-0.0422757j -0.0670726-0.0521335j 0.0116024+0.0874404j -0.0763415+0.0369256j 0.0411987+0.0297623j 0.0192287-0.0434219j 
-0.0126207+0.000953399j -0.0091013-0.00693919j -0.00213811-0.00176049j 0.0131064+0.0114713j 0.00182463+0.00268195j 0.00614847+0.000526917j 0.000521548-0.02553j -0.000793898+0.0132107j -0.0144711+0.000494605j -0.0183588-0.00897856j 0.00484849-0.00532602j 0.047581-0.00292801j -0.0135661-0.000119294j 0.000608441-0.0033064j -0.0139454+0.00135583j 0.0147576-0.00749736j -0.0070311-0.00394063j 0.00684372+0.0220297j -0.00654503-0.00646132j -0.0018-0.0185256j 0.010401-0.00304337j 0.000245561+0.0163546j 0.00539525+0.00823389j -0.000673331-0.0301263j 0.00384849+0.010066j 0.00967109+0.0316887j -0.0037381+0.0113438j 0.00413597+0.00349992j -0.0202278+0.00334498j -0.0226869-0.00628718j -0.0332069+0.0081576j 0.00332066+0.0156j -0.019306+0.0337791j 0.000426656+0.0209869j 0.00150965-0.00210582j 0.00629793+0.00232276j 0.00527478-0.00181322j -0.00179334+0.0361904j -0.00776637-0.0264114j 0.0165378-0.0283663j 0.0205183-0.0161085j 0.0156319+3.67688e-05j 1.99983e-05-0.0117533j 0.0181758+0.0135534j -0.0217441-0.00878365j 0.00857561-0.00581441j 0.000140324-0.00617576j -0.0140195+0.0151937j 0.0120981-0.00256459j 0.0250173-0.00337215j -0.00614845-0.0136886j 0.00769744+0.00781534j -0.00611093+0.0115079j 0.0048096-0.00121572j 0.0072597+0.00512977j 0.00380618+0.00378609j 0.0178004-0.00312713j 0.00170496+0.00570734j -0.0142226+0.00158465j 0.0144111-0.00915948j -0.0172309+0.0103917j -0.0119287+0.0247071j 0.019655-0.0220498j -0.0248116+0.0152801j 0.00762984-0.009578j -0.0074995+0.0276752j -0.0109252-0.0116449j 0.00505002-0.000294591j 0.0184104+0.00981526j 0.0109201-0.00263956j 
0.00202362+0.00714306j -0.0174326+0.00379738j 0.000722908+0.00428826j -0.000911742+0.0118189j -0.0102275+0.000558722j -0.00480779-0.00962335j 0.0186474-0.0137477j -0.0149643-0.000593004j 0.00585337-0.00307862j -0.00211597-0.0244774j -0.00888356+0.0162916j 0.00633137+0.0270725j -0.0126456-0.00719209j 0.00323196+0.00146568j -0.00291031+0.00176153j -0.0110411-0.00557699j 0.00212311+0.0115124j -0.0103316+0.000323957j -0.00360182-0.0144332j -0.0131982+0.00191493j 0.0286016+0.00717338j -0.0159228-0.00944795j -0.0082813-0.00807261j 0.0275779+0.0228079j 0.0146931-0.0122911j 0.00500948-0.0128352j 0.0128147+0.0110735j 0.0159391+0.0017826j 0.00126948+0.0115698j 0.00429663+0.0216541j 0.00115606+0.0365369j 0.00344624+0.0128601j 0.0111269+0.00820287j 0.0241202+0.00230699j -0.0250242-0.00951365j 8.53738e-05-0.0126355j 0.00153582+0.0131932j 0.0228883-0.0144081j -0.0163312+0.0128388j -0.0238233-0.008709j 0.00437788-0.0197105j 0.0208065-0.0290865j 0.00115764-0.006963j 0.0216779-0.0238093j -0.00210435+0.00499282j -0.0262245+0.00534108j -0.0155158+0.0159189j 0.0247558+0.0184086j 0.000907012-0.0038122j -0.00285323-0.00695269j -0.0121425-0.0143602j -0.00458576-0.011388j 0.00827043+0.00833967j -0.0020719-0.0172012j 0.0033659+0.0125543j -0.00217088-0.00846804j 0.00659194+0.00712285j -0.0116967+0.00593305j 0.00834068-0.0262339j 0.00999507+0.00730151j -0.00964729-0.0112931j -0.0228877-0.000282217j 0.017822+0.0221245j -0.0283434-0.0218935j 0.00406362+7.83714e-05j -0.0219618-0.00869543j 0.00481716-0.00702416j -0.00431679-0.000645202j 0.01457-0.00534709j -0.0115433-0.00703547j 
0.00200317+0.00375114j 0.00589735+0.000678083j -0.0032132+0.00400566j 0.00527806-0.00179344j 0.0145382-0.000579741j -0.00349488+0.00624445j -0.027693+0.00174947j -0.00604997+0.0159481j 0.00347417+0.00388162j -0.000755874+0.0257195j 0.0166045-0.00615261j -0.00399671-0.0217394j -0.00803661+0.004598j 0.0231129-0.00439623j 0.0148305-0.00471828j -0.0124999-0.000995537j 0.0205923+0.00219202j -0.00207765-0.0168729j 0.00522383+0.00593838j 0.00792582+0.0213591j 0.00116987-0.0162427j -0.00214223-0.00229978j -0.0024412-0.00419681j 0.00471132+0.0100306j 0.00179646+0.00741136j -0.0034585+0.00365177j -0.0123139-0.0231501j 0.0067022+0.0164833j 0.00075069+0.0119968j 0.00598259-0.0195018j -0.0169109+0.00347895j -0.025598+0.00797513j -0.012875+0.00507481j 0.0107798+0.0120475j -0.00827092-0.0165423j 0.0244302+0.00264973j 0.0021796+0.0237674j 0.0076175+0.000556681j 0.00663791-0.00567722j -0.0137686+0.00213521j -0.00532505-0.00572833j 0.0206636-0.00254301j 0.0165121-0.0093883j 0.00982364+0.00522148j -0.0138999-0.0274662j -0.0158383+0.0117693j -0.00220455+0.00911108j -0.00664587+0.00673776j 0.0205448-0.0259455j 0.0108844+0.00615748j 0.011244-0.0169081j -0.0216325+0.0151432j -0.000907369-0.00419316j -0.00972913+0.0109421j 0.00698386+0.00602783j -0.0171514+0.00643933j 0.0186721+0.0155399j 0.00824992-0.0112912j -0.0148299+0.0174915j -0.00877412-0.00129985j -0.00214884+0.018284j 0.00795312+0.000443639j 0.0176393+0.00552884j 0.0047217+0.00673916j 0.00897272+0.00406453j 0.000631524-0.01734j 0.0200892+0.0120903j -0.00753285+0.0200634j -0.00869113+0.000465328j 0.00203682-0.00206516j 
0.000967238-0.00176198j -0.00244958-0.00216488j 0.00316969-0.0111525j -0.0178932-0.00745087j -0.0083534-0.0049676j 0.00127185-0.0155057j 0.0110806+0.00430654j 0.0010321-0.0132332j -0.00145055+0.014395j 0.00716746-0.00690585j -0.0288422+0.00235923j -0.00943044-0.0252223j -0.019463-0.00301952j -0.00432722-0.00220973j -0.00731577+0.0215077j -0.0225826+0.0131594j -0.0106604+0.00362446j -0.0100234-0.0016682j -0.00151734-0.00598089j -0.00989415-0.0132135j -0.0113667+0.007165j -0.0058337-0.00262081j 0.00402222+0.00429024j -0.0136161-0.0155043j -0.0136563+0.00231037j -0.0152087+0.00777633j 0.00691292-0.00518822j -0.00991421+0.0153801j -0.0132802-0.0173616j 0.00251104-0.00135534j -0.0109726+0.000978747j -0.0188702+0.00161234j -0.00325457-0.00790136j 0.0148287+0.0151583j 0.00602607+0.020235j 0.00755376+0.0203598j 0.00179646+0.0123467j -0.00734153-0.000809782j 0.0138468-0.0112976j -0.012834+0.0075093j 0.00272556-0.0222453j -0.0145585+0.0010009j 0.00166024-0.0143676j -0.00698373-0.0136061j 0.0171405-0.0288624j -0.00777339+0.0227139j 0.0021581-0.0046404j 0.0106336-0.0155306j 0.0310618-0.0161288j 0.00797197-0.00183906j 0.0183261+0.0199389j 0.00116112-0.00154348j 0.0048363+0.0157794j -0.00666533-0.00224745j -0.0107801-0.00845325j 0.0131512+0.00249769j 0.0247098-0.0194293j -0.0207035+0.0039325j 0.0209901+0.00500771j -0.00186979+0.00361406j 0.0143678+0.0127945j 0.00100741+0.0015884j -0.0027836-0.0191034j -0.0120388-0.000763688j -0.00101445-0.0196282j -0.0190217-0.0085572j -0.0121544+0.00767926j -0.00644302-0.0154489j -0.00435327-0.00223944j -0.00532672+0.00615367j 
