-0.0420682+0.198947j 0.147794-0.0358148j 0.0186419-0.114745j -0.0300581-0.0962274j 0.0157815+0.0384217j 0.00981847-0.024016j -0.00870805+0.115834j -0.0289405-0.0550761j 0.0184597-0.0396581j 0.0933574+0.121321j -0.168992+0.0299647j 0.120031+0.204182j -0.0504966-0.00889299j -0.203681+0.134712j 0.0780226+0.0108019j 0.0482205+0.0362178j -0.0355254-0.0748478j 0.0444345+0.0775084j 0.0102359+0.0554835j 0.0230787-0.0376104j 0.0363493-0.0195833j -0.0558905+0.0733156j -0.0296699-0.0400935j 0.0145081+0.0275145j 0.0961696-0.0202393j 0.212117+0.0720235j 0.0201723+0.1162j -0.023431+0.103175j -0.219234+0.0675689j 0.030845-0.112078j 0.0698947+0.0871666j 0.0895893+0.0849358j 0.0632173+0.00620951j -0.0367392-0.00644295j -0.0464399-0.0193513j 0.0155043+0.0122963j -0.0385483+0.0829154j 0.0106995-0.056932j -0.0398908+0.0459424j 0.0234665+0.0113332j -0.0816684-0.0618599j 0.101582+0.0662688j 0.0216265+0.0608543j 0.04333+0.00467699j 0.114772-0.0127152j 0.0282977+0.11597j 0.0597339+0.0655285j -0.126213+0.106876j 0.0350628-0.164337j 0.0292555-0.0746884j -0.0348683-0.0208936j -0.043797-0.0517316j -0.0209361-0.016501j 0.0441667-0.0112726j -0.00165447-0.0236487j 0.00380226+0.0366604j 0.00105087-0.0116476j -0.0153688-0.0142997j 0.000120082-0.0102224j 0.0225716-0.0184355j -0.00290821+0.027425j 0.0208447-0.0138201j 0.00958233+0.0066836j 0.0298263+0.0111245j 0.0765622-0.0120893j 0.00240133-0.00647703j 0.00703323-0.00967923j -0.0159553-0.00305269j 0.00759276-0.0116693j -0.0284345-0.00485114j -0.0444174+0.0114598j 0.0154804+0.0151354j -0.0145398-0.00576723j 0.00969801-0.0333894j -0.0122068+0.00182927j 0.0362575-0.0252587j -0.00860655-0.0286349j 0.0260772+0.0349713j 0.0105228+0.00716741j 0.00148414+0.00385823j 0.0018267+0.0080996j -0.0016635-0.0054586j -0.00830224+0.000617783j -0.00144484+0.00746864j -0.0105585-0.00117351j -0.00299014+0.00229146j -0.00329577-0.00545946j 0.00390286-0.000598206j -0.00296579+0.00140131j 0.0168302-0.011413j -0.0143148+0.00501202j 0.0141344-0.0211656j -0.0208838-0.0153343j 0.00498457+0.00503165j -0.0116745+0.00511432j 
0.126806-0.129686j -0.219332-0.108774j -0.159698+0.234718j 0.0634909-0.0691402j 0.0746717+0.175904j -0.00525428-0.163397j -0.0767292+0.00522361j 0.243526+0.153809j -0.136044+0.214535j -0.27054-0.043898j -0.142177-0.0118193j -0.0496719+0.0871423j 0.00484487-0.0438401j -0.0376899+0.00879743j 0.0404914-0.081412j 0.028937+0.0354027j -0.0801063-0.162472j 0.00048526-0.0114463j -0.0184242+0.0819341j 0.0990332-0.0311176j -0.0966047-0.12457j 0.0318247-0.0313967j -0.0653034+0.159321j 0.00536707+0.0787667j 0.102819+0.0589347j 0.0153643-0.00824926j 0.0687002+0.00806555j 0.0799631-0.113684j -0.0404789+0.0449065j 0.0406134-0.00797836j 0.0172884+0.0544414j 0.0256113+0.0156839j -0.0185701+0.0135694j 0.0191325+0.0108559j -0.0264135-0.0225557j 0.00202077+0.0190971j 0.0089365+0.00164868j -0.00092645-0.0158542j -0.00841914+0.0159051j -0.00693566-0.00285998j -0.02881-0.00808268j 0.0170163+0.0260275j -0.00857629+0.0142047j 0.029498+0.00673282j 0.0439103-0.00172511j 0.00401486+0.0244882j 0.00203621-0.00253796j -0.0208272+0.0441923j 0.00630447-0.0380513j 0.0113655-0.0157459j -0.00711317+0.0100805j -0.00468704-0.0216322j -0.00423032-0.0110359j 0.0104242-0.00492882j -0.0109123-0.0110605j 0.00239964+0.00677011j -0.00794772+0.00872251j -0.00305649+0.00268695j 0.0104881-0.0133209j -0.00515577+0.00204333j 0.00311359-0.00620265j 0.00869737-0.0017423j -0.000837851-0.000360168j 0.00806233+0.00181708j 0.0148136+0.000821006j 0.000255543+0.00167665j 0.00590366-0.00513054j -0.00385737-0.00173937j -0.0144088-0.00592547j 0.000443536-0.00097653j -0.0232642-0.00694173j 0.0105304-0.0038957j -0.00390374+0.00884119j 0.00240977-0.0114548j 0.00578935+0.00513251j -0.00442471-0.00304932j -0.002867-0.00537039j -0.00173191+0.00862879j 0.00100444+0.00232944j 0.00133209+0.000898564j 0.000326873+0.001251j -0.00196428+0.00182226j 0.000497997+0.00499056j -0.00456041+0.00116524j -0.0012309-0.00437724j 0.00168451+0.00135641j -0.0041796-0.00114256j 0.000775776-0.00350579j 0.00151111+0.00184995j 0.00528626-0.00165067j -0.00576164-0.000783399j 0.0020977-0.000368977j -0.000872091-0.00418136j 0.000539494+0.000119405j -0.00170992-0.000275674j 
0.0281765+0.0104915j 0.0171347-0.0171991j 0.0108272+0.00491322j 0.000668491+0.0188869j -0.00454825-0.0276128j 0.00250387+0.0127825j -0.00495213-0.0136823j -0.00930216-0.0102699j 0.0117549+0.0293703j -0.0137651-0.0370574j -0.0335142+0.101955j 0.0555713+0.0063076j -0.0198763-0.0164287j 0.0305917-0.0209058j 0.00331688-0.0324069j -0.00267751-0.0237446j -0.00073046-0.0292798j 0.0138719+0.00176913j -0.00076232+0.0285332j -0.0087806-0.00689307j -0.0051502-0.0115966j 0.02104-0.0139897j 0.0193714-0.0125319j 0.0220609-0.0534883j 0.0109784-0.0331175j -0.0103552-0.0339678j -0.00653663+0.0198839j 0.0507376+0.0111137j 0.0158762-0.0602387j 0.106914+0.0196003j -0.0550109+0.0613464j -0.0149152+0.116732j 0.0458675-0.0343827j 0.0338493-0.0533616j 0.0431238-0.0293418j -0.0209411+0.065364j 0.0293141-0.0130642j 0.0123872-0.0136331j 0.00881083+0.0650017j 0.0252741-0.0631532j 0.0127119-0.050452j -0.0310531+0.00419275j 0.00320911+0.0170606j -0.0064454+0.0460919j -0.0576823+0.0189896j -0.0538778-0.0163241j 0.0498789+0.0441569j 0.0318917-0.0497492j 0.132991+0.0984849j -0.12821+0.0333284j 0.0769879-0.0222175j -0.0869984+0.0327674j 0.0873487+0.121147j 0.0474595+0.0192766j -0.0357706+0.0148971j -0.00852644+0.0838274j 0.0285259+0.0216566j 0.0575227+0.00745757j 0.0510846-0.0531655j 0.0390936+0.0741257j -0.00328777-0.0370637j 0.0451907-0.0409302j -0.0201627+0.00775909j 0.114666+0.022668j 2.27244e-05-0.0991989j 0.0626729+0.0186302j 0.0121166-0.0660534j 0.0574369-0.0177485j -0.0166109-0.0447892j 0.0141368+0.0215846j 0.0553642+0.0509718j 0.00078043+0.0216346j 0.00823099-0.0174243j -0.0509023+0.00158813j -0.00222446+0.111918j -0.0322287+0.0637959j 0.0386181-0.0147211j 0.0641966+0.0268197j 0.0898832+0.0145796j -0.0184979+0.034399j 0.00446474+0.0488034j 0.0127509+0.0137233j -0.00566458+0.00458685j -0.0555892+0.0357286j -0.00634699-0.00857574j 0.0080711+0.0233614j 0.0162646-0.0183731j -0.00762609-0.0201692j -0.0480267-0.0590258j -0.07118-0.13688j -0.0453055+0.0724829j -0.03898-0.149079j -0.208681+0.0413433j 0.0583238+0.0386477j -0.046426+0.128455j 
-0.0488492+0.0313917j 0.0156557+0.0188273j -0.00816369+0.0200259j -0.00630928-0.00171586j -0.0316078-0.00631474j 0.0303234+0.00646972j -0.00305257-0.00278079j 0.0051389-0.00844648j 0.00834628-0.0128602j 0.00457909-0.0145864j -0.0877798-0.0349595j -0.0173285+0.0704738j 0.00469893+0.052004j 0.0342591+0.0123924j 0.0115005-0.0200407j 0.00698336-0.0330241j 0.000450208+0.0576401j -0.0196024+0.0528586j -0.0345809-0.0223527j -0.00092166+0.0433808j 0.0226653-0.0487713j 0.00857274+0.0112307j 0.00456641+0.0405068j 0.0525952+0.0257431j 0.0227439-0.00570307j 0.011693-0.0177518j -0.0103043+0.0211895j -0.0120443-0.0550674j 0.0712994-0.0075589j -0.0441301+0.0330943j -3.47821e-05+0.0091486j 0.0741987+0.0658871j -0.0472983-0.0148613j 0.113251-0.0937618j -0.061626+0.135714j 0.00767083-0.0195415j 0.0386312+0.0123541j 0.0665392+0.00106744j 0.02016-0.0209439j 0.0962692-0.00678343j 0.0371618-0.0246983j 0.045653+0.0434117j -0.00637074-0.0394931j 0.0530427+0.0540899j 0.0337269-0.0248759j -0.0203852-0.0837711j -0.0883401-0.0989117j 0.0568784+0.0497975j 0.00960292+0.00934348j -0.0807545+0.0138631j -0.120904+0.0701563j -0.04808+0.0334231j 0.0767108-0.00364098j 0.129075+0.0318614j 0.0881754+0.0621243j -0.00546559+0.0603019j 0.0437066-0.0492557j -0.00582453-0.0610522j -0.00883308+0.062959j 0.0584024-0.0404193j -0.00408142+0.135045j -0.0893048-0.0997009j -0.0955722+0.0313391j -0.00595495+0.201945j -0.0628408-0.0140642j -0.0488856-0.0485182j 0.0107914-0.0321471j -0.0441583-0.0224237j -0.0512697-0.0765863j 0.0415481-0.013191j -0.000263233-0.069818j -0.0241916-0.115347j -0.136091+0.02349j -0.0877632+0.0822396j 0.014058-0.00332596j 0.0917694+0.0343094j 0.0405652+0.0105227j 0.0409774+0.0140457j -0.12696-0.0293249j 0.0186253+0.057741j -0.0543618+0.047887j 0.0597132-0.0441529j -0.0153556+0.0239728j -0.0645415+0.0481173j 0.0771864+0.0853534j -0.0302754-0.172569j 0.0642597-0.0603087j -0.101855+0.0518095j -0.118028-0.124611j -0.0648999+0.132733j 0.0554499-0.00131698j 0.175994-0.0223702j 0.00973124-0.0390142j -0.0514728+0.0598697j 0.00134982-0.0332446j 
0.0392861+0.00290065j 0.0167195-0.0314705j 0.0125377-0.00555365j -0.0223829-0.00251814j 0.00415131-0.0198246j -0.00132227+0.0102962j -0.00356168+0.0061777j -0.00799606-0.0108324j 0.00681853+0.00184606j -0.00015105-0.0153681j -0.00158051+0.0753408j 0.0309478+0.0317679j -0.0664735-0.0259009j -0.0277499-0.0169365j -0.0198056+0.0288139j -0.0114885-0.0582478j -0.0354109+0.0212996j -0.016119+0.0289061j 0.0096439+0.041238j -0.0280352-0.00241563j -0.0194551-0.0205096j 0.010282-0.00761312j -0.00157362+0.0135635j -0.0167653-0.024008j -0.0230104+0.0107928j -0.0192958-0.0473821j 0.0181955+0.00294468j 0.0587336-0.0305015j -0.0641513-0.0393575j 0.097585+0.00424162j -0.0527018+0.0487587j -0.0562038+0.0902943j 0.023267+0.0391682j 0.0401746-0.0267882j 0.0194838-0.0835701j 0.0229741-0.0281634j -0.000746092+0.0432482j -0.00236362-0.0337794j 0.0294102-0.0669453j -0.0599341-0.0777088j 0.0115392+0.00354668j -0.00375519-0.0273277j 0.0245715-0.000352176j -0.0207258+0.0401635j 0.00673449+0.0599346j -0.0645529+0.0343817j -0.0550548-0.0166367j 0.100149-0.00500203j 0.0635665+0.0742001j -0.060665+0.0534775j -0.0990428+0.0107517j -0.0350211+0.0191613j 0.0293738+0.136356j -0.0537395+0.0126814j 0.0463082+0.00891372j -0.0378114+0.0447629j -0.0796153-0.02543j 0.0443046+0.00697434j -0.0270113+0.0548875j 0.0400067-0.0310879j 0.0178773+0.10581j -0.015484-0.0128001j -0.0789272-0.0251206j 0.0788954-0.102873j -0.00824848-0.0450184j -0.0220568-0.0348826j 0.0537806+0.0363556j 0.0322639+0.0318927j 0.0140521+0.029508j 0.0372473+0.0266682j -0.00615409+0.024782j 0.0367283-0.00145691j 0.0846531+0.0690917j 0.0233439-0.119904j -0.0657268+0.0300075j -0.0492612+0.0690086j 0.0412567+0.0098998j 0.0995709-0.00893889j -0.0137476-0.0235831j 0.00424851+0.0264092j -0.00704805-0.0218289j -0.00168345-0.0193003j -0.0229652+0.0148328j 0.0681466-0.0671603j -0.0262189+0.0837474j -0.0726545-0.0987953j -0.015938+0.038567j 0.00892507+0.0636074j 0.0805067+0.0106363j -0.0772651-0.109336j 0.117342+0.00216323j -0.0119632-0.0920545j -0.151687+0.0528954j 0.0229575+0.0638864j -0.0337882+0.0881775j 
0.0121973+0.0165593j 0.016925-0.0118229j -0.0088933-0.00325998j 0.0226274+0.0212724j -6.72253e-05+0.00376329j 0.00687894-0.00104231j 0.0143117-0.0130426j 0.0122094-0.0111619j -0.000594611+0.00725469j -0.00446231+0.00678414j -0.0141908+0.0105584j 0.0416238+0.00141899j 0.0267588-0.00162651j 0.00763081-0.00964172j 0.0299989+0.00884567j -0.0275269+0.0285593j 0.0830069-0.00118029j 0.0744308-0.00239774j -0.017857+0.00186297j -0.00607542+0.00216903j -0.0352745-0.00601972j 0.00734045-0.0151131j 0.0697915+0.00941435j 0.0297441-0.0114573j 0.0344922-0.0391907j -0.0144284-0.00853737j -0.00263659+0.00777115j -0.0539399+0.00223665j 0.0116586+0.00184958j 0.0138096+0.00647913j -0.0065863+0.00874927j 0.0264818+8.07122e-05j -0.0579883+0.00499123j 0.055626-0.0383349j 0.0197231+0.00188007j -0.0294282+0.0447912j 0.0847753-0.0963855j 0.0293845+0.0018939j -0.0782307+0.147022j 0.036305+0.0818419j -0.0983787-0.110892j -0.0840623-0.0465503j -0.0174216-0.0309834j 0.0244991-0.00334846j -0.0371178+0.00110371j -0.01517-0.0163283j 0.0555351+0.0151103j -0.021191-0.00566179j 0.011726+0.0305831j -0.00719822+0.00588765j 0.0876724+0.0245375j -0.0173552-0.0182776j -0.00757246-0.00662501j -0.0217318-0.0113168j -0.0988649+0.0306336j 0.0512956+0.0306014j 0.190333+0.0676244j 0.0526781+0.0877985j 0.0571466-0.0947108j 0.0171012-0.110857j -0.0450577-0.152361j 0.0367477-0.0332453j 0.00924431+0.0359788j -0.0193666+0.079134j 0.0326043-0.0327487j 0.0516368+0.166991j 0.0082407-0.0989902j -0.0111182-0.0866191j -0.0783651-0.103627j -0.0853216+0.0667927j 0.160394-0.0877275j 0.0323393+0.0438274j -0.0958246-0.00614828j 0.014732+0.0372877j -0.00335162+0.0390675j 0.0271742-0.0298362j 0.00859293-0.0106777j 0.0035838+0.0047137j 0.00620041+0.010874j -0.0206272-0.00964681j 0.0370813+0.00947682j -0.0929436+0.130607j -0.000313116-0.0230713j -0.172456+0.0517348j 0.0687832-0.0034495j 0.0806638+0.0179824j -0.12411-0.123414j 0.0251676-0.0728051j -0.0844561-0.00597866j 0.00515133+0.000327604j -0.03019+0.0213913j -0.00416093-0.0396136j -0.0357801+0.00413399j 0.00858223+0.00464422j -0.00720327+0.0181033j 
0.0411333+0.00333021j 0.0177225-0.0318549j 0.00275145+0.0015428j -0.00509956+0.00799452j 0.00895876-0.0109294j -0.000592481+0.0113139j 0.0167625-0.00673962j 0.0119173-0.00416535j -0.0129139-0.0232447j 0.0119476+0.0100789j 0.0349755+0.0225725j 0.0346196+0.0282608j -0.0326922-0.0256943j -0.0428951+0.00278355j -0.00659655+0.0782108j -0.00603333-0.00703289j 0.0267615+0.0557562j 0.0357039+0.033399j 0.00733447-0.00760837j 0.0141896+0.00548234j -0.0290132-0.00884742j -0.0109709+0.0145648j 0.0505633+0.0485296j -0.0498742+0.0390376j -0.00307628+0.0339006j -0.0439816-0.0189838j 0.0278673-0.0077125j -0.0472373-0.0537584j -0.0763088+0.00593783j 0.0340431-0.0307352j -0.0250357+0.00188927j -0.0518094-0.056872j -0.127511+0.121238j 0.0626128-0.0307125j -0.0335051-0.0755159j 0.0219178-0.0477656j 0.0222089+0.0263906j -0.0193838-0.046465j -0.0143166+0.00614801j -0.0685268+0.0672837j -0.06919-0.062611j -0.0306676-0.0522069j 0.0268273-0.0180379j 0.0333961-0.0238883j 0.035504+0.0498971j 0.0105529+0.0163822j -0.0630924-0.0562252j 0.0373842+0.0130355j -0.0452129+0.00421974j 0.046213+0.0190609j -0.0808029+0.0684599j 0.0139866-0.0319318j -0.0752778+0.0168143j -0.128505-0.0171172j 0.0233874+0.0763085j 0.000138076-0.0414564j 0.0245637-0.0383998j 0.0297374+0.084708j -0.00264568+0.00251799j 0.0364479-0.191834j -0.0028014+0.0269945j -0.0307131-0.0340631j -0.0757065-0.0125688j -0.064879-0.105988j 0.0290712+0.0107998j -0.0348175+0.0724719j 0.0548754+0.0683315j -0.0480287-0.0339318j -0.0767083-0.062384j -0.0362933+0.0458984j 0.0653098-0.0889707j 0.0752153+0.0366819j 0.0127392+0.0407277j 0.1142-0.0952411j -0.120224-0.0389649j 0.0285317-0.0181332j 0.0244977+0.0157121j 0.0484783-0.032643j -0.110598-0.0175978j -0.0191357+0.0227983j 0.0810486-0.10908j -0.0404637+0.0869522j -0.0225593+0.00412941j -0.0210234-0.0631542j 0.0351001+0.0961162j -0.00734154-0.124359j -0.109639-0.0834906j 0.127802+0.0591734j 0.047711+0.0526591j -0.0287161+0.0218942j 0.15727-0.0880535j 0.0481141+0.00389944j 0.00911681+0.0106417j -0.0346905+0.0454108j 0.000720319-0.0179666j 
0.0010041-0.00616622j -0.000173735-0.00197416j -0.000423062-0.0026983j -0.00191391+0.0059831j -0.00019122-0.00201161j 0.00408652-0.000627022j -0.00317274-0.00155513j -0.00680154-0.00051031j 0.008307-0.000617575j -0.00762101+0.000452588j -0.0141746-0.000860928j -0.00536559+0.0146979j -0.00986486-0.00436801j 0.00193555+0.00105799j 0.00228462-0.00946479j -0.0101783+0.00822873j 0.0157421-0.00366984j 0.0144031-0.00882224j 0.00123605+0.0113053j 0.00166482-0.000211062j -0.00773367+0.00273151j -0.0015501-0.00149402j 0.00534247-0.0128318j 0.0120358-0.00707046j 0.00436248-0.00119555j -0.00222636+0.00302932j 0.0025429+0.0108452j -0.00657824+0.00521495j -0.00844695+0.000703734j -0.0207337+0.0120151j -0.0176292-0.0178943j 0.0108996+0.014434j 0.0135247+0.0139594j -0.0110107+0.000835738j 0.00823861+0.00411221j -0.0190338+0.00160464j -0.000679929-0.0102981j -0.0103658-0.00935948j 0.000826459+0.000383409j -0.0193786-0.0292706j -0.0131675-0.006848j -0.000176164-0.00190693j 0.00363609-0.0121769j 0.00975579-0.0126456j -0.0159379-0.0132751j 0.00792699+0.00248774j -0.00142832+0.0126951j 0.00271548-0.000772341j 0.00671233+0.00520379j -0.0122003-0.0126208j 0.00290988+0.0262313j -0.0137701+0.0305102j -0.00284517-0.00877267j 0.0142842-0.0379762j 0.010284-0.00461338j -0.0150048-0.00408929j 0.00117129+0.00199788j 0.014329-0.00699339j 0.0154246-0.00194589j -0.0158869+0.00266865j 0.00900254-0.00946195j -0.00138038+0.00178309j 0.00781587+0.0134041j 0.0339904-0.0231125j -0.000538943+0.00378867j -0.012496+0.0181749j 0.00613791-0.00151497j 0.0010359-0.00529167j -0.00097417+0.0138277j -0.00126844-0.0101767j -0.00793568-0.0118842j 0.00108314-0.00799275j 0.0101603-0.0222392j 0.0289294+0.00426174j -0.0109694+0.0233512j -0.0244728-0.000526045j 0.00587809+0.00398662j -0.00226026+0.00614721j -0.00753161-0.00592485j 0.0432382+0.0192722j 0.0241253+0.0089293j 0.00737335-0.00662127j 0.0016536-0.00316961j -0.0082881+0.0134328j -0.00135081-0.00299972j 0.0225233-0.0165303j 0.000183501-0.0150289j 0.00571973+0.00467871j 0.0260363+0.00826545j -0.0244573-0.0311519j -0.0130596-0.016971j -0.00365448+0.0403096j 0.0161917+0.00188517j -0.0150596-0.012062j 0.0132393+0.00228548j 
-0.00176115+0.00772461j 0.00177659+0.01146j -0.000132987+0.00498525j -0.00294603-0.00508694j 0.00834421+0.00374582j -0.00627517-0.000178858j 0.00515859-0.00288816j 0.00556125-0.00286008j -0.00852658+0.00147834j 0.00638196-0.00324257j 0.00214852-0.0229413j -0.0215304+0.000378501j 0.0167084+0.00208902j -0.00167994+0.0059019j 0.00546433+0.0106056j -0.00869853+0.005176j -0.00136318+0.0111187j -0.00294096+0.010407j -0.00195225-0.00641132j 0.00245089+0.00446329j 0.000102804-0.000422075j -0.00294557+0.00247004j 0.00304894+0.012292j -0.0076872+0.0136271j -0.0108495+0.0122096j -0.00100779-0.00229294j -0.00630858-0.00498925j -0.00932984-0.00106015j 0.0064302-0.00413553j -0.0163763+0.00505507j 0.0198424+0.00207459j 0.0204444-0.0272174j -0.0141934-0.0141297j -0.00344515-0.00617325j -0.000964661+0.014551j 0.0207554-0.0138947j -0.00598078+0.00257532j -0.00625104+0.0189291j 0.00525049-0.00264642j -0.0143004+0.00513534j -0.0163726+0.00593335j -0.00922582-0.00558229j 0.0115242-0.00116407j 0.00229283+0.000580775j 0.0184052-0.0202842j -0.00385774+0.0038517j -0.0149791-0.0162833j -0.00915164+0.00434806j -0.0125863-0.00585668j -0.0280892+0.00670995j -0.0129074-0.0116704j 0.0149141+0.0185247j -0.00358593-0.0381177j -0.0235597-0.027683j -0.000971085+0.00363085j -0.018686+0.00294436j -0.00358474-0.0109722j -0.0108577-0.0211058j -0.00226621-0.00676025j -0.00246715-0.0165026j 0.00252476+0.0219904j -0.00590103-0.0158137j -0.00627815+0.000603547j -0.0172345-0.0286992j -0.004324-0.00546836j -0.00479459+0.0154373j -0.00734353-0.000594392j -0.00555991-0.00822114j 0.00690578+0.0125286j -0.00118552+0.00154462j -0.00209406-0.0258284j -0.026474-0.0164226j -0.0156165-0.0147058j 0.00737942-0.00751041j -0.010237+0.0175807j 0.00989049+0.00299231j 0.00997918+0.010642j -0.0186634+0.00519906j 0.0186779-0.00227151j 0.0306574-0.0337574j 0.0314043+0.00330078j 0.000317223-0.0181241j -0.0023892-0.00626614j 0.00506096+0.00682484j 0.00318517-0.0239371j -0.00214686+0.0191906j -0.00927249+0.00282642j -0.00672368-0.0147516j 0.0260923-0.016636j -0.0141884-0.006318j -0.0581788-0.0183582j 0.0179432+0.00730886j 0.0201308-0.0299797j 0.00936561-0.00772185j -0.00487687-0.00516131j 
0.00848653-0.00803596j -0.0122959-0.00439895j -0.000256359-0.00857025j -0.00709929+2.83901e-05j -0.0074565+0.00809869j 0.00467101+0.00758544j 0.00501401-0.00265487j 0.00330839+0.00817996j 0.00839222+0.00184761j 0.0103056+0.00652282j -0.00349935+0.00847314j 0.00432942-0.00542391j 0.0131642-0.00897283j -0.0212098-0.00834014j -0.00714201-0.0174942j 0.00902142-0.0187389j -0.00099497-0.00844988j 0.00224466+0.0101329j -0.00552657+0.0122236j -0.000918651+0.0128133j 0.00315406+0.0174744j 0.00778434-0.00791397j 4.82506e-05-0.00322685j 0.0123773+0.0221474j 0.00490904-0.0148294j -0.0151998+0.0154012j -0.0192103+0.00187127j 0.0086694+0.0161239j -0.000695302+0.005893j -0.00507215+0.0113829j -0.00952428+0.00350016j 0.00929306-0.00321049j 0.00096178+2.47227e-05j -0.00357389-0.0116364j 0.000809359+0.0034833j 0.0145043-0.0238212j 0.00500935-0.0015452j 0.000886023+0.00236665j -0.0135048+0.0072038j -0.00431715-0.000751807j 0.0125104+0.00176832j -0.00281748-0.00794587j 0.015418+0.0206364j 0.000415489+0.00918145j 0.00056023+0.00543313j 0.00367332-0.00137147j -0.0005325-0.0188914j -0.000494354+0.000575629j 0.00403059-0.00333194j -0.00377838-0.0020079j 0.00792602+0.00391495j -0.00348187+0.0054101j -0.00110965-0.00361861j -0.00763761-0.00619562j 0.0110789+0.011058j 0.00109555+0.0107645j 0.0186747+0.0159519j -0.00137443-0.00194991j -0.00654376-0.00304397j -0.00105135+0.00322733j 0.00641943-0.00164675j 0.0053182+0.0119374j 0.00294563+0.00201093j -0.00192999-0.00295303j 0.00592352-0.00182107j -0.00227912+0.00555502j -0.00250248+0.00593453j 0.0102122-0.00850793j -0.00408078-0.00476515j 0.0158748-0.01744j -0.0117376+0.00693336j 0.00444403-0.0142587j -0.00658771+0.00210623j 0.0102332-0.00750949j 0.0097977+0.00458407j -0.0085733-0.000973596j -0.00037579-0.000101879j 0.00256824+2.50028e-05j -0.00332044-0.00228241j 0.00631079-0.00479913j 0.00307893+0.0001799j -0.00198284+0.00475699j 0.0254827-0.00132282j -0.00835075+0.00514728j -0.0115011-0.00422544j -0.00896075-0.0105504j 0.0011824+0.00180843j -0.000529011+0.00468438j 0.0031929-0.0042061j -0.00723304+0.00158297j -0.00321375-0.000707692j 0.00660387+0.00446306j 0.00162078-0.00188702j -0.00354053+0.0020544j 0.00188223-0.0019367j 
-0.000855501+0.000814551j 0.000168843+0.00979662j 0.00902486-0.00638653j 0.000284174-0.00570467j -0.00480285+2.33582e-05j 0.00632512-0.00179465j -0.00335217-0.00854669j 0.0110596+0.00488179j -0.00411581+0.0108673j 0.0016037-0.00506793j 0.000910523-0.00503628j -0.0147292-0.00334224j -0.00441939+0.0251768j 0.0176737-0.00343236j 0.00752789+0.0086072j 0.00324156-0.0130046j -0.0065498+0.00771626j 0.0107648-0.0124949j 0.0117274+0.0213745j -0.00628574-0.00508224j -0.00193411+0.0152024j 0.00697128+0.023862j -0.0144983+0.0156373j -0.00722437+0.0112615j -0.0125829+0.00439039j 0.00969269-0.0101658j 0.00859855+0.020012j -0.0147686-0.007866j -0.000271687-0.00597845j 0.00541464+0.000718625j 0.00200448-0.00520275j -0.0013922-0.00139333j 0.00162387-0.00534503j 0.00405765+0.0132909j -0.000954403-0.00541891j -0.0162112+0.023616j -0.0106234-0.00129313j 6.32519e-05-0.00695958j 0.0123031-0.011233j -0.00169837+0.00182778j -0.00983383+0.00453946j 0.00143867+0.00933698j -0.0208486-0.0227694j -0.00136962-0.0107303j -0.00330755-0.00640317j 0.000168894-0.00217855j -0.000165969+0.0170498j 0.00277114-0.00161962j -0.00450212+0.00128411j 0.00390327+0.00347064j -0.0080232+0.00261129j 0.00729542-0.0016151j 0.000753817+0.00109039j 0.00703134+0.00233578j -0.00951169-0.0121382j -0.00268413-0.0111767j -0.0204086-0.0171884j 0.000482056-0.00306924j 0.00661501+0.00587201j -0.00315368+0.0029211j -0.00519175+0.00345848j -0.00827096-0.0105627j -0.000690734-0.00165809j 0.00236702-0.00159122j -0.00730872+0.00599106j 0.00144746-0.00517036j 0.00140545-0.00466162j -0.0103461+0.00807792j 0.00981599+0.00573338j -0.0125769+0.0143791j 0.00392588-0.00738716j -0.00588512+0.0114158j 0.00635955-0.00397715j -0.00854024+0.00740277j -0.00644375-0.00507617j 0.00560308+0.00378689j 0.00138789-0.000783308j -0.00260176-0.000182798j -0.00370987+0.00105643j -7.86714e-05+0.000385852j -0.00301731+3.89296e-05j 0.00276921-0.00786358j -0.0255962+0.00252454j 0.0119043-0.00390289j 0.011355+0.00532724j 0.00588881+0.00206081j 0.000871493+0.000940872j -0.0028682-0.000116535j 0.00121039+0.00136023j 0.000881205+0.00345391j 0.00313547+0.00153343j 0.000923481+0.00407955j 0.00339194-0.000566998j -0.00175068-0.000928501j 0.000929184-0.00274516j 
