-0.0104171-0.0013882j -0.0005645+0.010579j 0.00210566-0.00632636j -0.00637965-0.00226959j 0.00204024+0.00228713j 0.000797372+0.00311424j -0.00509185+0.00141263j -0.000934103+0.00307038j -0.00133105-0.00110747j 0.00168767-0.00118929j 0.00208167-3.86037e-05j -0.00126697-0.00454884j -0.00785545-0.00315891j -0.00155254+0.00819753j -0.00165822+0.00178765j 0.00143603+0.000968369j -0.00312823-0.000573695j 0.000233246-0.000113883j -0.00213523-0.00127105j 0.000177012+0.00218925j 0.00272419-0.00275595j -0.00127571-0.00113232j 0.00477196-0.00164592j 0.00190803+0.00112726j -0.00433218-0.00137969j 0.0013553-0.00214174j 0.00289795+0.00113154j 0.00289004-0.00550108j -0.000613983-0.00417249j 0.00141518+0.00334303j -0.000781649-0.000986478j -0.000110518+0.000812937j -0.00064435-0.00447374j 0.00155572+0.00169682j 0.00163971+8.30408e-05j 0.000575873-0.00517021j 0.00103699-0.000581001j 0.0051169-0.00237483j 0.00469223+0.00152896j 0.000536685+0.00261673j -0.0020322-0.00514076j -8.77578e-06-0.00192343j 0.0049112+0.000815602j 0.0027489+0.00385974j 0.000871162-0.00122001j -0.00219273-0.00324396j -5.98226e-05+0.00218535j 0.00261788-0.00251468j -0.00261098+0.000974729j 0.00537825-0.000643564j 0.00169594+0.00210094j -0.00295002+0.00421978j 0.00055939-0.000619734j -0.00107724+0.0013131j 0.00388528-0.00160126j 0.00162174+0.000932021j 0.00271116+0.00148849j 0.00227991-0.00319803j 0.00260855+0.00158177j 6.93411e-05-0.0031274j -0.00224818+0.00031143j -0.00188479-0.00271086j -0.000745173+0.00128766j -0.00122402+0.00237051j -0.00146612+0.000551985j -0.00212507+0.000966965j -0.00295864+0.000627986j -0.00264475-0.00305275j -0.0044201-0.00201706j 0.00121032+0.00243275j -0.00183802-0.00466997j -0.00268465+0.00196242j 0.0004865+0.000848317j 0.00230248+0.000793125j -0.00191393+0.00163189j -0.00611392-0.000696314j 0.00155931+0.000279154j 0.000268756-0.012806j 0.014271+0.00510056j 0.00582692-0.00946748j -0.00393469-0.00154809j -0.00354597+0.00243817j -0.00451924+0.00269892j 0.00429646+0.00570964j -0.000947292+0.0011773j -0.00561308-0.00604782j -0.000962986-0.00490218j 0.00584346-0.00912943j 0.0109699+0.00508633j -0.0050222+0.0076575j -0.0169015+0.0146513j -0.0130973-0.0185357j 
0.00103962-0.00867872j -0.00788148-0.000619137j 0.00627057-0.0030147j -0.00351026-0.00634003j -0.00745701+0.0026595j -0.0031917-0.00422617j -0.000882433-0.00612625j -0.00499517+0.00294398j -9.3451e-05-0.00098387j -0.00142493+0.000731924j 0.00118913+0.000940868j 0.00261834-0.00476608j 0.00390109-0.00343985j -0.00546351-0.00294784j -0.00168156-0.000769745j 0.00221152+0.00388616j 0.00048602-0.00239145j 0.000517131-0.00377792j 0.00054995+0.000567904j -0.0033521+0.000585081j 0.000187653+0.0036635j 0.00379134-0.0014549j 0.00207857+0.00356588j -0.002442+0.00215464j -0.000191402-0.00466032j 0.000386119+0.000757761j -0.00115699+0.00144215j 0.00564899+0.000420183j 0.00465474+0.000934467j -0.00557107+0.000240104j -0.000541836-0.00129717j 0.00183149+0.00148238j 0.0048228-0.000686526j -0.00277941+0.00147488j -0.00134499+0.000443997j 0.0028719-0.00126643j 0.00310217+0.00314868j 0.000917492+0.00244666j -0.00127754+0.00395033j -0.00152323+3.98177e-05j 0.00263899+0.000418377j 0.00046238-0.000165057j 0.00047293+0.0054706j -0.00133086+0.00151827j -0.00150763+0.00144124j 0.00423054-0.00074697j -0.00314386-0.00369258j 0.00195879+0.00166685j -0.00158357-0.00257569j 0.00107958+0.00321987j -0.0044463+0.00104729j -0.00221339-0.00162973j -0.00225521-0.00316324j -0.00367527+6.63829e-05j -0.000460382+0.00250818j 0.00219263+0.00239882j -0.000308118+0.00260411j 0.00301202+0.00244244j -0.00131628+0.0036568j 0.000868175-0.00245854j -0.00253771-0.00117744j -0.000135564-0.00181586j -0.00322231+0.00166714j -0.00103455+0.00043998j -0.00168486+0.00136847j -0.00240906-0.00351662j 0.00384244-0.0057033j 0.00143617-0.00453221j 0.000384627-0.00225659j -0.0015134-0.000113699j 0.0042697-0.00264976j -0.00313964-0.00128415j 0.00323544+0.00186839j -0.00302007-0.000428485j -0.00338842-0.00312357j -0.00508049-0.00482073j 0.00151262-0.00135879j 0.00952014+0.00104762j -0.00690098+0.0125615j 0.00838108+0.00931167j -0.00145281-0.00536996j -0.00522641+0.0020191j 0.00198778-0.00280769j -0.00439009+0.000270834j 0.00515937-0.00533902j 0.00737212-0.00607525j 0.0083857+0.00111647j 0.00615866+0.0123012j 0.00245336+0.0103818j -0.00829282+0.00380096j -0.00959802-0.0190883j 0.0191631-0.00999234j 
0.00204834+0.0040108j 0.00254362-0.00187137j 0.00127089+0.000644254j 0.00092569-0.00260985j -0.00316597-0.00241799j 0.000940916-0.00287823j 0.000628179-0.00378975j -0.00336662+0.00218074j -0.00111282+0.00178577j -0.00655234-0.000204181j -0.00515134-0.00683278j -0.00245097+0.00410301j 0.00360362+0.00599703j 0.00281599-0.00557628j 0.00663245-0.002501j -0.000664792-0.00211311j -0.00305458+0.000359633j -0.000936055-0.00110521j 0.000349906+0.0011521j 0.00307632+0.00317618j -0.00162244-0.00372211j -0.000368565+0.000890407j -0.00146596+0.000884785j -0.0021529-0.00268901j 0.000713199-0.00191479j -0.00660855-0.000546919j -0.00301828-0.00132634j -0.00711881+0.00189257j -0.00582646-0.000682468j 0.00346684-0.00195325j -0.000447711-0.000987129j 0.00425142+0.00272418j -0.002037-0.000658405j 0.000877722-0.000144612j -0.00221703+0.0010688j -0.00448338+0.00135569j 0.00210766-0.000936833j -0.00134939+0.000381499j -0.00235504-0.0025486j 1.96261e-05-0.00119282j -0.00397179+0.00546778j -0.00239979-0.000496578j 0.000796152-0.00148765j 0.00147923-8.61176e-05j -0.00209426-0.000612728j -5.31139e-05+0.00261015j -0.00202686-0.00234065j -0.00202778+0.00143711j 0.0036667-0.00036282j 0.00171427+0.000434433j 0.00105365-0.00172722j 0.00100424-0.00187474j -0.00182856-0.00149326j -0.00361643-0.00151309j -0.00341404+0.000112688j -0.000647139-0.000601247j 0.00190517+0.000104433j 0.00101917+0.00635534j -0.000734869-0.00145385j -0.00168933+0.000774846j 0.00563571-0.000541333j 0.00102457+0.00105233j -0.00250139-0.00281691j 0.00465058-2.20064e-06j -0.00188238+0.00162273j 0.00390604+0.00130383j 0.000585832-0.00155775j -0.00225053-0.00531875j 0.00204094+0.00113529j 0.00273627+0.00028434j -0.000328711+0.00646223j 0.000349855+0.000272589j 0.00240886-0.00343603j 0.001842-0.00415013j 0.00345919-0.00131335j 0.00400216+0.000461688j 0.00683974-0.00738114j -0.0130029-0.0079351j 0.00347251-0.00486069j -0.00277454+0.00203436j 0.00306785-0.00209503j -0.00222477-0.00679477j 0.000460726+0.00034436j -0.000552525-0.00345191j 0.0122219+0.0024844j -4.88559e-05+0.00497787j -0.000367508+0.00146943j -0.00271544+0.0103604j -0.00419027+0.0118246j -0.0140614-0.007107j 0.00277903+0.00860198j -0.00992727+0.00542945j 
0.00311841-0.00109777j -0.00106374-0.00401786j 0.000455799-0.00216391j -0.00274735-0.0011143j -0.0044885+0.000498718j -0.00220451-0.00276372j -0.00022959-0.00320175j -0.00195619-0.00150859j 0.00452482-0.00265635j 0.00084532+0.00619894j -0.00420664+0.00157705j 0.000345806+0.00189848j 0.00239846+7.33324e-07j -0.000781925-0.0016989j -0.00270212-0.00235926j -0.00408867-0.00163645j -0.00139539+0.00189944j 0.000238237-0.00375578j 0.000685778+0.000237505j 0.00194866-0.00788585j -0.00681517+0.00113232j 0.00278222-2.744e-05j -0.00205498-0.000664197j -0.00535624+0.00348345j 0.000193194-0.00242876j 0.00136072+0.000243562j -0.00166977+0.0007291j 0.00267155+0.00496405j -0.00154657+0.0029565j -0.00153345-0.0012527j -0.00369321-0.00168529j -0.000702327-4.24409e-05j -0.000815026+0.00472903j -0.00185463-0.000131557j 0.000958432+0.000695524j 0.000299962+0.00392719j -0.000898938-0.00117299j -0.00279546-0.000596968j -0.00475364+0.00299066j -0.0024726-0.00331529j 0.00130923+0.00592288j -0.00151128-0.00259245j -0.000924065-0.000884537j -0.000111101+0.000346342j -0.000688546-0.000722286j 0.00282493+0.000330668j 0.001357-0.00289877j 0.000128893+0.000191953j -1.94965e-05-0.00472471j -0.00540629+0.00073606j -0.00344795-0.000102742j 0.000798244+3.71924e-06j -0.00217084-0.00301479j -0.00188206+0.00156901j -0.00220407+0.00151862j 0.00113924+0.00458544j -0.00427543+0.000394342j -0.0017505-7.96267e-05j -0.00316722+0.00194823j 0.000675603+0.000478052j 0.000334381-0.000760752j 0.000875644-0.000995705j -0.00177814-0.000831615j 0.00109718+0.00084636j 8.44085e-05-0.000730732j 1.30505e-05+0.000434765j 0.0020883+0.00336848j 0.00170833-0.00129632j 0.00503795-0.00367769j 0.00223289-0.00419811j 0.00217213-0.000542413j -0.00518824-0.00101596j -0.00702128+0.00527117j -0.0036843-0.00331089j 0.00325417-0.0046939j 0.00558877-0.00203591j 0.000122099-0.00109286j -0.00647935+0.00647913j -0.0122759-0.00306652j -0.0121017-0.00318305j -0.00815827-0.00921335j -0.00253014+8.99977e-06j -0.00557583-0.00892297j 0.00838364+0.00814791j -0.000410029-0.00263903j -0.00173222-0.00805847j 0.00287437-0.000552352j -0.00388428-0.00488745j 0.00316811+0.00573037j -0.00672082+0.000644718j 0.00502983-0.00396656j -6.44942e-05+0.00509361j 
-0.00549487+0.0014493j 0.00280353+0.0058647j 0.00493048+0.000324098j 0.000677439-0.0054354j 0.000288191-0.00226868j 0.00356521+0.00194066j -0.000338933-0.00228401j -0.00653911+0.00234125j -0.001457-0.00213688j -0.00223232-0.00441569j -0.00309924-0.00378833j 0.000576084+0.000818498j -0.00320463+0.00152305j 0.00123418+0.00373344j 0.00150114-0.00205861j 0.000862272+0.000557694j -0.00110751-0.000893699j 0.000824196+0.00293577j -0.00040788+0.00177301j -0.00344552+0.00428631j 0.00204741-0.00229431j -0.00208311-0.000530331j -0.00435606+0.00213754j -0.000430459+0.000300576j 0.00295584-0.00491444j 0.00205054-0.00533264j -0.00250777+0.00186618j 0.00296686+0.000860971j 0.00171642-0.00451801j -0.000120112-0.000849505j 0.000188833-0.00161716j -0.00199391+0.00323907j 0.00280664-0.00064507j -0.00170266-0.000590587j 0.000375255+0.00233959j 0.00489982+0.00263967j 0.00220487+0.000143731j -0.00299991-0.000583623j -0.00241938-0.00190015j 0.00109068+0.000618388j -0.00182302-0.00197963j -0.00291576-0.00362289j 0.00358065+0.00414508j 0.000737561+0.00232152j -0.00282104-0.000798031j 0.0019665+0.000968098j 0.00561826-0.0024662j 0.00160403+0.00238436j 0.00187281-0.00116272j 0.00234477+0.00644552j -0.00206298-0.000947082j 4.93731e-05-0.00118467j 0.00151171-0.00157629j -1.12098e-05-0.00722479j -0.00210005+0.000708793j -0.00622348+0.0010791j -0.000376223+0.00145686j 0.000884863+0.00462645j -0.00423294+0.00154447j -0.00238273+0.00117315j -0.000446557+0.00572812j 0.00225244+0.000513446j 0.00537496-0.00617226j 0.0023371+0.00281242j -0.00431662-0.00132058j -0.0041728+0.00407485j -0.00151238-0.000417082j 0.0110318-0.00902554j 0.00321496+0.00201676j 0.00320539+0.00565316j 0.00229621+0.00972526j -7.41375e-06-0.00840178j 0.00539061-0.0012172j -0.00110357+0.00106609j 0.000422558-0.00485566j 0.00631051-0.000921042j 0.00157793+0.00335698j 0.0111575-0.00142523j -0.009435+0.00215402j 0.00029955+0.00119172j 0.00570634-0.00121024j 0.00813262+0.000567767j 0.000921706-0.00115755j -0.00775391+0.00922708j -0.000167777+0.0117226j 0.000290854+0.000683885j 0.00259937-0.0043845j 0.00040423-0.000491928j -0.0182177+0.00628457j -0.000713852-0.0184567j -0.00142945+0.00188317j 0.00159985-0.00429544j 
0.0028922+0.00158177j 0.00166582-0.00217923j 0.00186113-0.0028443j -0.00238094-0.00250503j -0.00127002+0.000598971j 0.00233461-0.0025479j -0.00226867+0.000855458j 0.00348685+0.00503311j -0.00335289-0.00178334j 0.000434096+0.00221234j -0.00687866+0.00748092j 0.00265249+0.000534947j 0.00267035+0.000446993j 0.000463154+0.000102524j -0.00698917-0.000211683j 0.00240919-0.00105085j 0.00140427+0.00195506j 0.00339939-0.000131381j 0.00146386+0.00550159j 0.00379423-0.000487478j -0.00312608+0.00159953j 0.00530785-0.000121616j 0.0035542+0.00269571j -0.000949607+0.00114444j -0.00397109-0.00717571j -0.00199363-0.000561979j -0.000311366+0.00388976j 0.00285002+7.86897e-05j -0.00301144+7.21858e-05j -0.00140072-0.00123759j -0.00149563+0.00153977j 0.00505646-0.00456049j -4.95924e-05-0.00171219j -0.00687131+0.00277383j -0.00120228+0.000576403j 0.00086516-0.00170575j 0.00144013-0.00201844j -0.000571294-0.00167378j -0.00251682+0.00316805j 0.000181507-0.00051183j -0.0010395+0.00154677j 0.00157417+0.00255629j 0.00203429-0.000626515j 0.00184333-0.000535301j -0.00220362+0.00398076j 0.000922341-0.000786454j -0.00534052-0.0016709j 0.00273242+7.10971e-05j 0.000595943+0.00103886j 0.00546194-0.00177563j -0.00335313+0.000512803j -0.00411691+0.00157844j 0.000512541-0.00311091j -0.00972817+0.0037836j 0.00393688+0.00317803j -0.00118704+0.00514938j 0.00268283-0.0057704j 0.00109706-4.47493e-05j 0.00425572+0.00253435j 0.00169364+0.000313244j 0.00504043-0.00156985j -0.00269514+0.000203607j -0.00933783+0.00543939j -0.00156408-0.00301967j 0.00510993+0.00279691j 0.000936531+0.00191499j -0.00593159-0.000899346j -0.0104101-0.00919047j 0.000670343+0.000457469j 0.00778362-0.00347437j 0.0072808-0.00507006j -0.00739565-0.00741518j -0.0047456-0.0107564j -0.00731824+0.000294918j -0.00158337-0.000883199j 4.09878e-06-0.00105156j -0.00269614+0.000296451j 0.00649355+0.00226209j -0.00340314+0.00113642j 0.00718907+7.89397e-05j 0.00213016-0.000823028j 0.004188+0.00252683j 0.00430805+0.00435695j -0.00144698+0.00746885j 0.00641848-0.00936518j 0.00612557-3.65759e-05j -0.00213521-0.00340192j 0.0150034-0.00162858j 0.00555809+0.0138077j -0.0112349+0.00557214j 0.00163381+0.00345249j -0.00405852+0.00129449j 
0.0023685+0.000106493j -0.00112072-0.00204459j 0.00232682+0.00131403j 0.00223313-0.00425879j -0.000530119-0.00309631j 0.0045093-0.00328648j 0.00153529-0.000840909j 0.00308204+0.00257892j -0.00303211+0.00263931j -0.000893331-0.00149808j 0.00270861-0.00286255j -0.000598833-0.000437593j 0.00193781+0.00317039j 0.00355634-0.00398231j -0.00354073+0.00328812j 0.00281388-0.00256608j 0.00236172-0.00053165j 0.00187235-0.00200003j -0.000620804+0.00445819j 0.00160862+0.0034102j 0.0047879-0.00196485j 4.97817e-05+0.00336663j -0.000592346+0.000791146j 0.00635494-0.00363914j -0.00136852-0.00190404j -0.00188534-0.00299813j -5.32627e-05+0.000702836j 0.00239213-0.0019928j -0.00149254-0.00397494j -0.000179151+0.00107966j -0.00129463-0.00251006j 0.00224245+0.00108535j 0.00211021+0.00150684j -0.00415936+0.00189899j -0.00206075-0.00144419j -0.000414949-0.00383728j -9.44667e-05+0.000117529j 0.00159345-0.00170114j 0.00254639+0.00112193j -0.00355562-0.00134548j -0.00263012-0.00110973j -0.00153009-0.00190801j -0.000530218-0.000459725j 0.00337505+0.00143753j -0.00441331+0.000383313j -0.000453251-6.03555e-05j -0.000989915-0.00165281j -0.000345555-0.00228035j -0.00150864-0.00246157j -0.000965969-0.00377466j 0.000570825+0.000908937j -0.00167524+0.0036551j 0.00251102-0.0065359j -0.00066611+0.00439787j -0.000879045-0.00168681j -0.00209407-0.00194208j -0.00206749-0.00782471j -0.00346807-0.000665582j 0.00048888-0.00501595j -0.000720884+0.00144471j -0.000374544-0.00328532j 0.00136186+0.00149158j -0.00222944-0.00118967j 0.00104014-0.000972762j -0.00316281+0.000414621j -0.000573481+0.00247677j 0.00235139+0.00796892j 0.00647951+0.00114392j 0.000924776+0.00295411j -0.00440637-0.00295615j 0.00445881+0.00232397j -0.00800984+0.00704779j -0.00405637-0.000671636j 0.00544358-0.00891992j -0.00190007+0.00109275j -0.00510243+0.00662517j 0.00545014-0.00480579j -0.00257514-0.0135956j 0.00427948+0.00037992j 0.00208016-0.00714582j 0.00105973-0.00660448j 0.00161877-0.0059452j 0.00939044-0.00201019j 0.00676906+0.00916654j 0.0011199-0.0106945j 0.009746+0.00526271j -0.0043006-0.00115819j 0.00402894-0.0157018j -0.00548859+0.00349049j 0.00317098-0.00423096j 0.00128589+0.00827421j 0.00323995-0.00294328j 
0.000597368-0.00194039j -0.00175443-0.00154356j 8.80059e-05-0.0029112j -0.00477421-0.00124029j -0.00139078-0.000883563j 0.00303627-0.00371482j -0.00283075+0.00231687j 0.000796261+0.00206755j -0.00320386-0.00522713j 0.00246119-0.002007j -0.000237388+0.00419757j 0.00287045-0.00585811j 0.00117848+0.00051483j -0.00160973-0.00144966j -0.00206521+0.00470383j 0.0010566+0.00453326j 0.0028398-0.00366559j -0.0011442-0.00201398j 0.000605236+0.0005791j -2.49128e-05+0.00175556j 0.00071652+0.00139032j 0.0044708-0.00182307j -0.00156088+0.00436559j 0.00151804-0.00245543j -0.0025189-0.00115512j -0.00499781-0.00301285j 0.00318131-0.000264095j 7.25406e-05-0.0072873j 0.00161304+1.48601e-05j -0.00115508+0.00472825j -0.00136573+0.00255257j 0.005991+0.00326186j 0.0024697-0.00324493j -0.000269228+0.00368026j -0.00289617-0.00433093j -0.00180094-0.00649978j -0.00100628-0.00170558j 0.000358252-0.000568495j 0.00214084+0.000397558j 0.00648117+0.00351548j -0.00267055-0.00283966j 0.00469147+0.0035347j 0.000383286-0.000156669j 0.00142804-0.00066525j 0.00105826+0.00131698j -0.000253809-0.00171956j -0.00595463-0.000668483j -0.000259822-0.00245992j -0.00253906+0.00579741j -0.000267944-0.000749621j 0.00317814+0.00157465j 0.00541408+0.00356526j -0.00529437-0.00197399j 0.0048509-0.00015386j 0.000785273+0.000590067j -0.00440364+0.00264616j -0.00777708+0.00195518j -0.00116053+0.00139863j 0.00177869-0.00605125j 0.00237364+0.00155081j -0.00248776-0.00448639j -0.00189968-0.00131609j -0.00216101-0.00361167j -0.00474583-0.00152225j 0.0023854+0.000362603j 0.00553284+0.000673543j 0.0111886+3.54527e-05j -0.00424798-0.00234645j 0.00117209-0.0015157j -0.00203672+0.00261629j -0.00211918-0.00585493j 0.00206348+0.00694606j 0.00254258+0.000889159j -0.0014656+0.00430482j -0.00104392+0.00455017j 0.00457961-0.00308586j -0.000430796+0.00135765j 0.00283705-0.00336845j 0.000733755+0.0074592j -0.0105189-0.000403426j -0.00762461+0.00208547j 0.00548378+0.00114516j -0.00199114-0.00427144j 0.00854338-0.00413531j -0.00251333+0.00734669j -0.00390055+0.00336358j -0.010028-0.000510354j -0.0195363-0.0121029j 0.00136661+0.00540232j -0.00372497+0.00113542j 0.00563013-0.00270396j -0.00181059-0.00567905j 
-0.00129165-0.00509095j -0.00619629-0.000868996j 0.00152698-0.00246751j -0.001917-0.00262115j -0.00199721-0.00113305j 0.00217156-0.0022379j -0.00086387-0.000459693j -0.00406836-0.00140884j 0.000959365-0.00180212j 0.00231386+0.00362989j 0.00410241+9.46295e-05j 0.000498645-0.00438026j -0.00133161-0.000802723j -0.00197689-0.000248652j 0.00121274-0.00208586j 6.64031e-05+0.00120583j 0.00267983-0.000523832j 0.00122691-0.00189661j -0.00105565-0.000324002j 0.00225813-0.00296688j 0.00324561+0.000576603j -0.000891194-0.00107115j 6.84426e-05-0.000568491j -0.000137976-0.0014463j -0.00112495+0.000563201j -0.00263855-0.00194515j -0.0022869-0.00253092j 0.00104455+0.00356636j 0.0043143+0.0013772j -0.000822537+0.000835949j 0.00209821-0.00309957j 0.00269202+0.00306761j -0.00427989+0.00322429j 0.00256764-0.000596081j -0.000836531+0.0022627j -0.00159391+0.0019488j 0.000425224-0.00242882j 0.00255614-0.00364303j 0.00181725+2.33908e-06j 0.00464438-0.00333232j 0.000223349+0.00200095j 0.00258009-0.00569405j -0.000598858+0.00337824j 0.000773035-0.000973981j 0.00277797-0.00647099j 0.000609089+0.00170344j -0.00099266-0.00126623j 0.00312475-0.00054126j 0.00341102-0.00397391j -0.000162077-0.00617473j 0.00500448-0.00622899j 0.0024161+0.000886955j 0.00144101-0.000107079j 0.00350213+0.000734861j 0.000566184-0.00216243j -0.00197543+0.00123926j -0.00190891-1.62089e-05j 0.003953+0.0010041j 0.00327301-0.0110317j -0.00170876+0.00349184j 0.00177682-0.00703544j 0.00264122-0.000331625j 0.00080015-0.00625786j -0.00318059-0.00120579j -0.00268009-0.00316677j 0.00196286-0.00465387j -0.00209613+0.00465762j -0.00336666+0.00639947j 0.0032971+0.00540607j 0.00369712-0.00329445j -0.00566337+0.00529548j -0.0019335-0.0040731j -0.00423729+0.00377678j 0.0064894+0.00319991j 0.00369718+0.00223988j 0.00143967-0.00125163j 0.00483293+0.000554783j -0.00390739+0.00240609j 0.00115385-0.0153689j -0.00225722-0.0181525j 0.00626239+0.00185126j -0.00466111+0.0074602j 0.00844238-0.000860442j -0.0123028+0.00407645j 0.0042449+0.00880973j 0.00266609+0.0119832j -0.00495302+0.00577035j 0.0041812-0.00937245j 0.00306469-0.00434449j -0.00107213+0.00148723j -0.00103046+0.00481484j -0.000268088+0.00186607j 
0.00194347+0.0016713j 0.00102705-0.00152498j -0.00233741-0.00140681j -4.25953e-06+0.00261943j -0.000481674+0.00325054j -0.00607455-0.000430563j 0.000570776-0.00576898j 0.00114912-0.00641147j 0.00109686+0.00505841j -0.00203949-0.000579054j 3.38849e-05-0.000303053j 0.000664547+0.00495202j 4.19965e-05+0.00128186j 0.00288644-0.000594688j -0.0013022+0.00144719j -0.00300715-0.00328678j -0.00152804-0.00237904j 0.0052194-0.00820348j 0.00156826-0.000430205j -0.000946321-0.00300363j -0.00400061-0.00137287j 0.00140092-0.000518794j 0.0022474-0.00540377j -0.00351915-0.00128406j -0.000660307+0.00439314j 0.00174684+0.00263951j 0.00188303+0.00267658j -0.00434542-0.00689723j -0.00540386-0.00442036j -0.00118871+0.00145808j 0.00103305-0.000100745j -0.00157428+0.000950799j 0.00287914+0.000789453j -0.00150245+0.000600213j 0.00262023-0.0011479j 0.000112638-0.00303585j -0.00030262+0.00282447j -0.000412307+0.00555206j 0.00317842-0.00174034j 0.00146843+0.00072879j 0.00422733+0.00085493j 3.81082e-05+0.00612607j 0.00371826-0.000535603j -0.0050394-0.00624368j 0.00138197+0.00362323j -0.00186305+0.000585114j -0.00287827-0.00106509j -0.00509506-0.000396528j -0.00170213-0.000760413j -0.000724616+0.00395092j -0.00617983+0.00231414j -0.00588818-0.00347889j -0.00615009-0.000124547j -0.00321463+0.00140512j 0.00222173-0.00129939j 0.00832546+0.0020726j -1.74483e-05+0.0034427j -0.00384314-0.0050579j -0.00305865-9.97647e-05j 0.0062104+0.000398201j 0.00165458+0.00104613j -0.00122132-0.00391609j -0.0029174+0.00646127j -0.00361578+0.00338343j 0.00190281+0.00135217j -0.0017249+0.000997025j 0.003243+0.00363378j -0.0080602+0.00339537j 0.00208899-0.00706331j -0.000141769-0.000496366j 0.000921938-0.0047399j -0.00261891-0.00107277j 0.00307855+0.00639738j -0.00376063+0.000957911j 0.00193464+0.00355801j -0.000807963-0.0011674j 0.00397733+0.000259312j 0.00571947-0.00858506j -0.00211021+0.00443062j -0.00218795-0.00884276j 0.0146404-0.0017439j 0.00383924-0.00405147j 0.00652441+0.00154964j 0.00553837+0.00445426j -9.65759e-05+0.00301746j 0.00596651-0.0147707j 0.0147304+0.00418958j -0.00196811-0.00192351j 0.0034575-0.000221043j 0.000299693+0.000348785j -0.00124515+0.00372076j 0.00121984-0.00512688j 
-0.000575907-0.000919577j 0.00186369+0.000145431j -0.0023926+0.00353727j 0.00102779+0.00223523j -0.000839252+0.000383574j -0.00137316-0.00106976j 0.00325683-0.000294j -0.00139675+0.00221621j -0.00393223+0.00449005j -0.0028379-0.00626297j 0.00410459-0.00290034j -0.00274148-0.00145361j -0.000317498+0.00208617j 0.000200024-0.0016474j 0.00415192-0.00228191j 0.00388218+0.002174j 0.000164922+4.1306e-05j -0.00410579+0.00158538j 0.00465887-0.002396j -0.00195327+0.00265759j 8.52855e-05+0.00229129j -0.00279301-0.0011216j 0.00275403+0.0040034j -0.00100222+0.00349931j -0.00114901+0.00139823j -0.00249407+0.00358141j -0.00137013-0.00311487j -0.000352613+0.00373675j 0.000245581-0.00333898j 0.00553531+0.000950305j 0.00392626-0.000618188j 0.00630661+0.00230102j 0.00275622-0.00304093j 0.00414052-0.00115374j -0.0015658+0.00513379j -0.00137641+0.000157421j 0.000602979+0.000568735j -0.0061667+0.00105309j 0.0010696-0.000473871j -0.000808713-0.00230875j 0.00177939+0.00339982j -0.00355569-0.00387991j 0.000195314-0.00264041j -0.00117446-0.00103306j -0.0043717-0.0053847j 0.00175802+0.00114032j -0.0072432+0.00473834j 0.00246721-0.00278415j -0.00223644-0.001067j -0.00157184+0.00297351j 0.00134792-0.0027861j 0.000990217-0.00445236j -0.00197319+0.00455906j -0.00366141-0.000627231j 0.00182625-0.00501354j -0.00226581-0.00859589j 0.00255955+0.00475739j 0.0032212-0.00117291j -0.00755343-0.00207685j 0.0040376-0.000452284j -0.00563744+0.00131771j -0.00158784+0.00105555j -0.00810586-0.00417682j 0.00226238+0.00592702j 0.00298778+0.00344034j 0.00185395-0.00493535j -0.0060831-0.0084956j 0.00097171+0.00407112j 0.00167448+0.00215667j 0.00278294-0.00899608j -0.0018838+0.00539017j -0.0047624-0.00178786j -0.00330313+0.000926464j 0.00395101-0.000703242j 0.000726073+0.000868192j -0.000357839-0.000780341j -0.00113225-0.00466382j 0.00545169-0.0044918j -0.00321858+0.00159435j -0.00360435+0.00529428j 0.00556167-0.00610523j 0.00566778+0.0040751j 0.00524706-0.00419736j -0.00718825+0.00555785j 0.0151652+0.00158189j 0.00653706+0.00578485j -0.00159932+0.0064551j -0.00190451+0.00430574j 0.00366762-0.00388772j -0.00343091+0.0063335j -0.00336337-0.00348492j 0.00425455-0.00575305j 
