-0.00810938-0.00377109j -0.00301526+0.00788226j 0.00679087-0.0024074j -0.00309983-0.00676448j -0.00156348+0.00148292j -0.00131586+0.000291943j 0.00285783+0.0046499j -0.0058514+0.0014453j -0.000544248-0.00381216j -0.00262226-0.00144439j 0.00213957-0.000465721j -0.000955723+0.00464929j -0.00521196-0.000174526j 0.00100222-0.00334552j 0.00469733-0.00263717j -0.00158666-0.000532311j 0.000834803-0.000976448j -0.000623831-0.00160474j 0.000820058-0.00364331j 0.00073752+0.000549074j -0.00417918-0.00010775j -0.00173905-0.00479844j -0.000599898-0.000812955j -0.00350392+0.0021522j -0.000389014+0.00183933j 0.000782138+0.00364698j 0.000576337+0.00105827j -0.000775158+0.00330765j -0.00206836-0.00130278j 0.000826545-0.000573759j -0.00483708-0.00080164j 0.00393888-0.000359717j 0.000252747+0.00202693j -0.0014097-0.00264541j -0.00301304-0.00174847j 0.00331229-0.000145731j 0.00173956-7.90989e-05j -0.0054662-0.00147543j 0.00049646+0.00092702j 0.00316751+0.00331474j -0.00924445+0.000306942j 0.00325507-0.00933121j -0.00334775+0.000383924j 0.00248008+0.00554963j 0.00066984+0.000403894j -0.00389104-0.00622299j 0.00209255-0.00315203j -0.00328478+0.00619447j 0.0106233+0.00124612j -0.00358075+0.00734149j -0.00967275+0.0108123j -0.0106943-0.0109447j 
-0.0037962+0.00614557j 0.00602514+0.00349468j -0.00434428-0.00286801j -0.00312595+0.00456021j 0.00510357+0.00259718j -0.00126295+0.00616674j 0.00591796-0.00316509j 0.00246037+0.00250952j -0.00224822+0.000576715j -0.00454125+0.000804593j -0.000441453-0.000524665j 0.00474303+0.00595358j -0.000669889+0.00543872j -0.00134031+0.000664795j 0.00181705-0.00383258j -0.000328421+0.00149522j -0.004474-0.000125998j 0.00255512-0.000397112j -0.00311876+0.00109781j -0.000336528-0.00035452j 0.00051139+0.00290761j -0.00216653-0.00184089j 4.73269e-06-0.00110504j -0.0010831-0.0010005j -0.00149998-0.000655415j 0.00419433-0.00308658j 0.00150395+0.00206038j -0.000339185+0.00298931j 0.00248506+0.00408188j -0.000144412-0.0024509j 1.83123e-05+0.00171326j 0.00104048-0.000709874j 0.00211627-6.57861e-05j -0.000253281+0.000850872j -0.000677041+0.00352013j -0.00163448-0.00158761j 0.000378391-0.00074496j -0.00021712+0.00431677j 0.00379017-0.00362084j 0.00618831-0.000323353j 0.000132515+0.00922044j -0.0086115-4.48056e-05j -0.0036107+0.00228989j 0.00625123+0.000360947j 0.00316332-0.00543094j -0.00663428+0.00466994j -0.00720727-0.00332941j 0.00588632+0.00729638j -0.00273642-0.00690927j 0.00420555-0.00226536j 0.00798065+0.013086j -0.0133919+0.00760104j 
0.00304949-0.00614597j -0.00553653-0.00242415j 0.00109198-7.5849e-05j 0.000887781-0.0015619j -0.00224111+0.0003474j -0.00189418-0.00227067j -0.0016783+0.000351785j 0.00490079-0.00399819j 0.00598655-0.000870596j -0.00329981-0.0066371j -0.00168074-0.00373717j -7.82264e-05+0.000143846j -0.00381265+0.000835887j 0.0015593-0.00181484j -0.00425418+0.00350879j 0.00294024-0.00364555j 0.000105816-0.00213682j 0.00485156-0.00180171j 0.000735659+0.00264144j -0.00455214-0.00120138j -0.00526653-0.000324109j -0.00056121-0.0013932j 0.00144534+0.00124068j 0.00164038+0.00128368j -0.00317548+0.00103668j -0.00107377-0.00107634j 0.00133742+0.00221364j 0.000134853+0.00126608j -0.00188031-3.37335e-05j 0.000975271-0.00164237j 0.00323037-0.00331511j 0.000412262+0.00153299j 0.00114637+0.00284426j -0.000650015-0.00576725j 0.00190226-0.00476743j 0.0041843+0.00061561j -0.000886554-0.00102946j -0.0048059+0.0020046j 0.00179282-0.00174261j 0.00181588+0.00503542j -0.00335129-0.00411755j 0.00416532-0.00519954j 0.00265853-0.00398855j 0.00178851+0.0022021j 0.0099802+0.000792003j 0.00182032-0.0077017j 0.00246906+0.00148347j 0.00244807+0.00542879j 0.00243957-0.0053996j 0.0100268+0.00192152j -0.00612408-0.00918503j 0.00979079-0.00853875j 
0.00601592+0.00440375j 0.00449807-0.00660676j -0.00250613+0.00171512j 0.000740034+0.00331722j -0.000663293-0.00385085j 0.00349714-0.00165273j -0.00382574-0.00388541j 0.000459541-0.0021872j 0.000878585+0.00328354j 0.00363374+0.00268939j -0.00303118-0.000991979j 0.00297675-0.00647997j 0.00586281+0.0011433j 0.000506062+0.000427026j -0.00322292+0.00312193j 0.000591645+0.000293701j -0.00324277+0.00159777j -0.000746814-0.000603235j 0.00138915+0.0038422j -0.00165887+0.00200191j 0.00281945-0.00129785j -0.000872876+0.000282343j -0.00333561+0.000770784j 0.00313153+0.00222921j 0.00284513-7.86102e-05j -0.00334715-0.000669144j -0.00162198-0.00562013j 0.00145443-0.00118213j 0.0024194-0.000794583j 0.000555494+5.85493e-05j 0.00168544-0.00626199j -0.00325331+0.0017447j 0.000940486-0.00531449j 0.00138487+0.0020186j 0.00746491-0.00463675j -0.00480408+0.00218501j -0.00202641+0.00332439j 0.00467389-0.00711213j -0.00611016-0.00158129j -0.00187311-0.00312348j 0.000188957-0.00712354j -0.00391593+0.00845967j -0.000816552-0.000477191j 0.00526831+0.000478629j -0.00487742-0.00162032j -0.00120618+0.000489803j -0.00169989+0.000994371j 0.00381385-0.00470509j -0.00448463+0.00858891j -0.00796645-0.00463113j 0.00406527-0.00999097j 0.00646278+0.00563966j 
-0.00139714+0.00164242j 0.000692347+0.000351607j -0.00605597-0.00493639j -0.00292592+0.00651726j 0.00153815+0.00440015j -0.00489915+0.00223752j 0.00285629-0.00233811j 0.0038326-0.00127873j 0.00243249-0.000948955j -0.00514852-0.00169045j -0.00465462+0.000758621j 0.00164145-0.000331567j 0.0027888+0.00526931j -0.00328005-3.57909e-05j -0.000502854+0.00024396j 0.000259539-0.00212994j -0.00415979+0.00539903j 0.00314576-0.00388666j -0.000900413+0.0012535j -4.4405e-05+0.00166252j 0.000513151+0.00360856j -0.00605253+0.00527861j 0.000734334+0.00204818j 0.00631654-0.00154471j -0.00416156-0.000685843j 0.00253939-0.00575921j -0.00383009+0.00177023j 0.00208409+0.00220425j 0.00332602+0.000939685j -0.0036714-0.00486975j -0.00416355+0.00168948j -0.000507707+1.22784e-05j -0.00109128+4.46188e-05j -0.00167156-0.00134787j -0.00709872-0.00641403j 0.0026813+0.00122271j 0.00495868-0.00189578j -0.00453491+0.00717854j -0.000519953+0.00184763j 0.00518813-0.0040841j -0.00315936+0.0102639j -0.00181786+0.00406226j -0.00259577+0.00222513j 0.0063547-0.012128j 0.00214738-0.0043899j -0.00551657+0.00662836j -0.00276039+0.00435553j 0.0104591-0.00478981j -0.00285741-0.0100948j 0.00844334-0.00105687j 0.00484144-6.84659e-05j 0.000158835+0.00786058j 
0.00671016+0.00297731j 0.00113309-0.0072914j 0.00166021-0.00296714j -0.00210041+0.0004003j -0.0036062-0.00128502j 0.0026249-0.00619124j 0.000464965-0.000329048j 0.00467519+0.0092135j -0.00170564+0.00360454j 0.00652557-0.00389216j 0.00224072-0.00398771j 0.000734695-0.00188636j -0.00545501-0.00340884j -0.000294138-0.000569861j -0.00546759-0.00199105j 0.00323641+0.00199544j 0.00433058-0.0046185j -0.00320449+0.00473363j -0.00143346+0.000108173j -0.00107669-0.00529004j -0.00289365-0.00216259j -0.00478031-0.00184475j 0.00409287+0.00651623j 0.00117054+0.00424517j -0.000569243-0.00287116j -0.00130953+0.003921j 0.00246342+0.00196738j 0.00198166-0.00310626j -0.00417761-0.000539813j 0.00160823+0.00362275j 0.00312087+0.00231196j 0.0013807+0.000154584j -0.00316071+0.000297456j 0.00289274-0.0032635j 0.00472067-6.77694e-05j -0.00116438+0.0022646j -0.00185979-0.00371197j -0.00543205-0.00387638j 0.000575414+0.00248116j -0.0014575+0.000193685j -0.00611859+0.00244488j -0.00187615+0.00270013j 0.00226536+0.00470904j 0.00907304-0.00140774j 0.000772089+0.0155597j 0.000191086+0.00184418j -0.00255389+0.000778997j -0.00231163+0.00523013j 0.0128886-0.00370851j 0.00128005+0.0180743j 0.00486854+0.00408224j -0.00369365+0.00903103j 
0.00564193-0.000401722j -0.00166725-0.00720188j 0.0057733-0.00160124j -0.00372047-0.00225767j -0.0053771-0.00347742j 0.00121129-0.00674667j -0.000810353-0.00168487j 0.00310938+0.00257248j 0.00585655-0.000874865j 0.00195554-0.0074816j 0.00410791-0.0048866j -0.00238874-0.0017043j -0.00058179-0.00618802j 0.00145616-0.00125699j -0.00540505-0.0016966j 0.00360834-0.00481215j 0.00415773-0.00217626j 0.00126953-0.00168949j 0.00293489+0.00680602j 0.00145557-0.00104942j -0.00306972+0.000213331j -0.000846244+0.000367694j -0.00112414-0.00147722j 0.000757961-0.00290886j -0.00259032+0.00422099j 0.00146812-0.00149161j -0.00171922+0.00453766j -0.000141055-0.00352267j -0.000632925+0.000720601j -0.00351545+0.00116189j 0.00103374-0.00729269j -0.00135391+0.00336184j 0.000502798+0.00247238j -0.00134273-0.0044872j -0.00653858-0.00598519j -0.00023177+0.00499739j -0.000578524+0.00460541j 0.00248619+0.00379853j 0.00487412-0.0050613j 0.00482393-0.0025686j -0.00586296+0.0032381j -0.00166353+0.000243533j -0.00576739-0.00313081j 0.000378059-0.00726135j -0.000548167-0.0109641j -0.00587379-0.00143199j -0.000146282+0.00821669j 0.0105923-0.00347062j 0.00782631-0.00600235j 0.00182935+0.00651103j -0.00551321-0.00699192j 0.000804098-0.00154143j 
0.00278866+0.00638792j 0.0051579-0.000661078j -0.00701386-0.00509651j -0.00107831+0.00729996j -0.000681144+0.0052594j -0.00661559-0.00194208j -0.00399637-0.00115126j 0.00358127-0.00305004j -0.000880503+0.0091664j 0.00308981-0.0022596j -0.00250656-0.00197669j 0.000448225-4.07149e-05j 0.000150341+0.00413871j 0.00872862-0.000229434j -0.00485454+0.00182774j -0.007767-0.00261323j -0.00448607-0.000742044j 0.000691183+0.00463277j 0.00259016-0.000194648j -0.00445951+0.000764818j 0.00373253-0.00829239j 0.00460157+0.00939993j -0.00558002+0.00283701j 0.00496002-0.000331685j 0.000480667+7.87528e-05j -0.00536643+0.000737619j -0.00357449+0.000759449j -0.00252671+0.00214087j -0.00365433-0.001446j 0.000814419-0.000230405j -0.000458411+0.000467674j -0.0018671+0.00240417j -0.00151091+0.00352769j 0.000625664-0.00110478j -0.0041624+0.00667845j -0.000418855+0.00340906j -0.004356+0.0019469j 0.0021497-0.00501981j 0.00293119-0.00105178j -0.00592885+0.00105001j 0.00427383-0.000426047j 0.00625228+0.00436605j -0.00284224+0.00772887j -0.00387933-0.00119145j 0.00116741+0.00418594j -0.00397625-0.00563842j 0.0133768-0.00545938j -0.0120832-0.00969094j 0.00270564-0.00218394j -1.69614e-05+0.00485545j -0.00569963-0.00486546j 0.00659541+0.000533099j 
0.00140436-0.00125505j -0.00139423+0.002199j -0.000877646-0.011695j -0.00184871+0.00716949j 0.000332984+0.00521974j -0.00152192+0.000729094j 0.00189117-0.00231546j 0.000262597-0.00537364j 0.00505224-0.000662021j -0.00287532-0.00377728j 0.0034853-0.00523499j -0.000114634+0.000503376j 0.00386278+0.00824452j -0.00424699+0.00112322j -0.0030444+0.00153889j 0.00559737+0.00419336j 0.0054595+0.00360672j 0.00244153-0.000969624j -0.00491802-0.0116253j 0.00388426-0.000183132j -0.00301117+0.0053181j 0.00104164+0.00744533j -0.00179353-0.00876576j -0.00213131-0.00430237j -0.0013294-0.00513842j 0.0023114-0.0131172j -0.000786924-0.0147916j -0.000506875+0.00589589j 0.0056696-0.00135767j -0.00135862-0.000916849j 0.00215603+0.00148418j -2.52777e-05-0.0070718j 0.00600883+0.0033886j 0.00248728-0.00229148j -0.0015899+0.000577231j -0.00124195+0.00907666j 0.00362627-0.000933897j 0.0042407-0.000920149j -0.00104121+0.00145555j -0.00304998+0.00417946j 0.000552734+0.00892827j 0.00239183-0.00374476j -0.00246772+0.00107672j -0.0104969+0.00222682j -0.0106061+0.00195464j 0.00564488+0.0117914j -0.00523566+0.00156677j -0.00171724+0.00155024j -0.00118779+0.00665962j -0.00322088+0.00446118j 0.000252083-0.00502953j 0.00523698+0.00248807j 
0.000477931+0.00636718j 0.00263486+0.00151458j -0.000596215+0.00230589j -0.00065704+0.000678448j 0.0014051-0.00235499j -0.00111689+0.00119068j 0.000711621-0.00533063j 0.00226729+0.00175038j 0.000871893+0.000558271j 0.00152011-0.00121947j 0.000163262+0.00315505j -0.00595722-0.00135568j 0.00233137+0.000936546j -0.00347128+0.00563076j 0.00271058+0.00063997j 0.00214728+0.00194708j -0.00297558+0.00295761j 0.00164282-0.00022935j 0.00167458+0.00413216j -0.00226518-0.00451235j -0.00316236-0.0037939j 0.00286553+0.00510269j -0.00052096-0.00851842j 0.00503439-0.00146852j 0.00301089+0.006351j 0.00187606-0.000784402j -0.00282796-0.00335879j -0.00290321-0.0075799j 0.00212442+0.00360508j -0.00168125+0.00590304j 0.00115745-0.00357336j 0.000898632+0.00413924j -0.00427709+0.00446314j 0.00524106+0.00659301j -0.00835908-0.00130798j -0.00100173-0.00447643j -0.0003519-0.00442323j -0.0012959+0.000427921j 0.00660017+0.00544998j -0.00625868-0.00651783j -0.0139718+0.00544631j 0.00449281+0.00297728j -0.00391797-0.00513484j -0.00119043-0.00704211j 0.00898892-0.00151039j -0.00249149+0.00190119j -0.00211533-0.00687123j -0.00717605-0.00376074j -0.00149051+0.00641389j -0.00596198-0.00475694j -0.00837158-0.00593003j 0.00434922-0.00848141j 
-0.0012886+0.00066862j 0.000497246-0.0033834j -0.0027646+0.00425796j -0.00304914-0.00407848j 0.00256541-0.00340795j -0.00616093+0.000848031j 0.00745994+0.0003873j 0.00370885+0.00774307j 0.00489284-9.10909e-05j -0.000243454-0.00518787j -0.0010243-0.0024087j -0.00284765+0.00383159j 0.000611873-0.00896348j -0.00460019+0.00226342j 0.000253645-0.00317734j 0.00803842+0.00148701j -0.00722673-0.00311525j 0.00743761+0.000943615j -0.00578242+0.00936912j 0.00146781-0.00590565j 0.000462443+0.000177723j 0.00502166-0.00836485j -0.00326267+0.000426777j -0.00144537+0.00207554j -0.0012823+0.0013691j 0.00572696-0.000715547j -0.00896468+0.00784091j -0.00668617-0.00299474j 0.0111088+0.00418413j 0.00431196+0.00278292j 0.0017964+0.000745385j -0.00522449+0.000805897j 0.00292138-0.00320087j 0.00559918+0.00336201j 0.00256634+0.00760899j 0.00123589-0.00149969j 0.00530693+0.00256329j 0.00464079+0.00225254j -0.000616843-0.00811204j -0.00513851-0.00395442j 0.00238401+0.00280524j 0.00233626+0.00139811j -0.00494646-0.00341186j -0.00995566+0.00112543j -0.00162931-0.00381306j 0.00845424+0.00492893j -0.00508084+0.00569083j -0.00455586+0.00148502j -0.00506434-0.00707715j -0.0018497-0.00193308j 0.00440292+0.00257589j 0.00567244+0.00698658j 
