-0.000522631-0.00265042j 0.00147327-0.000516047j 0.00107553+0.00404858j 0.00256965-0.00350982j -0.00114169-0.00389695j -0.00080525+0.00409595j 0.00104556-0.00388476j 0.00312312-0.00849764j 0.00225206-0.0049896j 0.00081212-0.000333464j 0.00176468-0.00346996j -0.00112857+0.00175355j 0.000291861-0.000830691j -0.00177368+0.00328813j 0.00414502-0.00650425j -0.00163104+0.00232027j 0.000109144+8.07683e-05j -0.00122013+0.00180179j 0.000265396-0.00136173j 0.00149549-0.00315275j 0.000197741-0.00069756j -0.00322606+0.00478744j -0.00276212+0.00461065j 0.000380373-0.00149751j 0.00350584-0.00557769j 0.00382719-0.00456788j 0.00384777-0.00386555j 0.000947029+0.00228664j 0.00324576-0.00196029j -0.00198745-0.000506438j 0.00208199-0.00283089j 0.000336004-0.0039016j 0.00202069+0.00223348j 0.00122294+0.00546745j 0.00130844-0.00167783j -0.00254882-0.00469057j 0.00184915+0.00455395j -0.00230375-0.00900289j 0.00197568+0.009987j 0.000364772+0.00504519j 0.000863616+0.00733091j 0.000267027-0.00494228j 0.000157502+0.00508633j 0.000527523+0.000178789j -0.000488104-0.00700208j -0.000139496-0.00555033j -9.78223e-05-0.00983272j -3.0852e-05-0.00573008j -0.000195048+0.00192535j -7.93402e-05-0.000193381j 8.6995e-06+0.000242003j -0.00122768-0.000457967j -2.50196e-06+1.68077e-05j 0.000115846-0.00217373j -0.000625766+0.00688717j 0.0009507-0.00761642j 0.00087459-0.00758003j -0.000658214+0.00536773j -1.81482e-05-0.00205625j -0.000531141+0.00462166j -0.000164484+0.0058535j -0.00120669+0.00684975j -0.000257119+0.00294512j 0.00265017-0.00938586j -0.00361763+0.00695484j -0.00206072+0.00180207j -0.00244626+0.000887812j -0.000166396-0.00573813j 0.00380327-0.0051039j 0.00115194+0.00492588j -0.00270529+0.00330607j 0.00153002+0.003174j 
0.0010989-0.000661709j 0.00232865+0.000845429j -0.00254191+0.00134939j 0.00705979+0.00265598j 0.00324979-0.00135668j -0.00592165-0.0011854j 0.00562393+0.00158057j 0.0133284+0.00474267j 0.00840508+0.00356076j 0.0008253+0.00128832j 0.00582711+0.00296631j -0.00277264-0.00200784j 0.00125924+0.000535048j -0.00549107-0.00297787j 0.0114184+0.00671013j -0.00427921-0.00278974j -7.30874e-05+0.00028256j -0.00272621-0.00231573j 0.00277267+0.000605423j 0.00505537+0.00288514j 0.00081186+0.000455481j -0.00710987-0.00555039j -0.00735077-0.00535541j 0.00206648+0.00103313j 0.00729037+0.00617465j 0.00499507+0.00607342j 0.00284863+0.00543674j -0.00334302+7.15676e-06j 0.0045073+0.00397405j 0.000401026-0.00280163j -0.000797787+0.00283393j 0.00485014+0.00277135j -0.0007405-0.00031541j 0.00072236+0.000772974j -0.00063988-0.000206495j 0.000487407-0.000245796j -0.000392657+0.00046703j 0.000748609-0.000516914j -0.000145139+0.000549899j -0.000161114+0.000227914j -7.27232e-05+0.00053527j 0.000303302-0.000105191j -7.97593e-05+0.000297293j 0.000150466+8.67733e-05j -0.000104203-0.000377846j -9.05293e-05-0.000216277j 2.08413e-06-0.000515884j -1.94333e-05-0.000309649j -8.6316e-05+0.000160394j -8.17351e-05-3.40599e-05j -9.56785e-06+7.32944e-05j -0.000235784-0.000406365j 2.87606e-05-8.05772e-05j -4.43052e-05-3.66039e-05j -0.00016564+0.0003983j -7.13783e-05-0.000231954j 4.52361e-06-0.000308723j 8.73486e-05+0.000236973j -0.000182254-8.90123e-05j 0.000126003+0.000190038j 3.94562e-05+0.000475147j -0.000251246+0.000191311j -0.000138766+0.000148788j 0.000358338-2.53395e-05j -0.000617715-0.000412057j -0.000530566-0.000476526j -0.000487247-0.000714123j 5.60673e-05-0.000672803j 0.00110707+0.000629144j 6.24452e-05+0.00106623j -0.00110874-0.000453305j 4.01702e-05+0.00117537j 
0.000386117-0.000760002j 0.000243703+0.00272198j -0.000647309+9.90695e-05j -0.00112936+0.00626696j 0.000606919+0.000968654j 0.000909806-0.00430174j -0.00117783+0.0040446j -0.00345669+0.0103233j -0.00267725+0.00684213j -0.000941846+0.000762682j -0.00232771+0.00470272j 0.00160713-0.00215408j -0.000446885+0.000974161j 0.00233507-0.00448225j -0.00517405+0.0095911j 0.00221917-0.0036689j -0.000253421-2.61801e-05j 0.00197668-0.00209995j -0.000560304+0.00249719j -0.0024674+0.00399233j -0.000437059+0.000470826j 0.00450413-0.00534207j 0.00467628-0.00582843j -0.00102549+0.0014066j -0.00509646+0.00486607j -0.00477848+0.00267228j -0.00396329+0.000493275j 0.00075589-0.00250855j -0.00233193+0.00442252j 0.00214292+0.000144755j -0.00221388-0.00355552j -0.00342141+0.00313393j 0.00244668+0.000883197j 0.000503507+0.00579299j 0.00129379-0.00242036j -0.00237387-0.00336539j 0.0014638+0.00333859j -0.00229513-0.00685011j 0.00199033+0.00854158j 0.000481943+0.00428221j 0.000753491+0.00632851j -8.66552e-05-0.00402382j 0.000280799+0.00447304j 0.000278675+0.000266792j -0.000649242-0.00641379j -0.000396042-0.00516318j -0.000435197-0.00897456j -0.000230819-0.00524307j -0.000157416+0.00171422j -1.20031e-05-0.000303149j -9.29873e-06+0.000129795j -0.000655142-0.000525716j 0.000126338-9.57535e-07j -8.96459e-05-0.00209208j -0.000417601+0.00615392j 0.000431982-0.00720731j 0.000493572-0.00700328j -0.000479728+0.00508747j -5.98464e-05-0.00220744j -0.000361004+0.00447691j -0.000275929+0.00525865j -0.00074336+0.00589119j -8.55767e-05+0.00238185j 0.00161467-0.00825183j -0.00217297+0.00586815j -0.00108091+0.00110926j -0.00116208+0.000444152j 0.000185315-0.00500312j 0.00203853-0.00350074j 0.00017926+0.00417922j -0.00125797+0.00176616j 0.000179042+0.00239999j 
0.00408336+6.02488e-05j -0.000868946+0.00419741j -0.00503916-0.00116238j -0.0011848+0.00252089j 0.0042938+7.22398e-05j -0.00300861-0.00149356j -0.00174875+0.00106366j 0.000585701-0.00118216j 0.00172449-0.000755669j -0.0064617-0.00340983j 0.000239879-5.21165e-05j 0.00234569+0.00269728j 0.00301483+0.00150539j -0.000296335+0.00165765j 0.00169472-0.00180668j 7.36429e-05+0.000877629j -0.000783236-0.000568074j 0.0017438+0.00370899j 0.00399645+0.00230748j 0.0026431+0.000736151j -0.000182564-0.000504556j 0.000878399+0.00350019j -0.00508851+0.0019997j 0.00313606+0.00244058j 0.000789453-0.00104543j -0.000663292-0.002473j -0.000707671+0.000192506j -0.0041776-0.00268722j -0.00497047+0.00241906j 0.00279826+0.0068788j -0.00526661-0.00459125j 0.000382963+0.000856172j -0.00410854+0.00514834j -0.00154019-0.000528489j -0.00226028+0.00293913j 0.00421035-0.00464284j -0.00322043+0.000293296j -0.000606069+0.000664396j -0.00234098+0.00369188j 0.00242918-0.000935018j -0.00126017+0.000493429j -0.00599477+0.00341752j 0.000552633+0.00073712j -0.00550972+0.00259708j 0.000190546-0.00212772j 0.000231117-0.00255772j -0.00141338-0.00204837j 0.00125136-0.000690022j 0.00182885-0.000502859j -0.00185344-0.00047835j -0.0024814+0.000297696j 0.00845313-0.00222897j -0.00126942+0.000477485j 0.000992173-0.000939442j 0.00165126-4.93614e-05j -0.0020745-0.00231178j -0.00221465-0.00226115j -0.000193757+0.00276658j 0.00453121-0.00304259j 0.000534803+0.00220646j -0.00548851+0.00141037j 0.00178871-0.000267544j -0.00206725-0.00117601j -0.00380346-0.00254436j 0.000103946+0.00225675j 0.00334378-0.00176445j 0.00614172+0.00104373j 0.000607381+0.00115844j -0.00569947+0.00126239j -0.00308261-0.00296712j 0.00819756-0.00436284j -0.00603006-0.0059831j 
9.53545e-06+0.00463241j -0.00311543-0.00109311j 0.000711447-0.00681919j -0.00208701-0.000829459j 0.000411393+0.0061255j 0.00113245-0.00484893j -0.00120545-0.00215305j 0.00172943+0.000638037j 0.00121799+0.00242608j 0.00319886-0.00973997j 6.67684e-05+0.000190534j -0.00284283+0.00426149j -0.00146379+0.00426606j -0.00218546+0.000306532j 0.00250779+0.00224531j -0.000680079-0.000193611j 0.000389387-0.00128321j -0.00445404+0.00445381j -0.00256536+0.00649298j -0.000973089+0.00351372j 0.000664145-0.000832162j -0.00442783+0.00266746j -0.00223711-0.00634715j -0.00362572+0.00482272j 0.000937843-7.94904e-05j 0.00294633-0.00181981j 0.000443222-0.00263605j 0.00381868-0.00530502j -0.00183104-0.00580787j -0.00808997+0.00376565j 0.00504294-0.00810738j -0.00273189+7.12977e-05j -0.00421252-0.00375799j 0.000993031-0.00114318j -0.00251816-0.00243655j 0.00325697+0.00436238j 0.000110388-0.00290054j -0.000754819-0.000329958j -0.00234286-0.00249829j 0.00103264+0.00213857j 3.29107e-05-0.00119458j -0.00254253-0.00560036j -0.000423494+0.000503611j -0.00149571-0.00492954j 0.00140496+0.000185803j 0.00159242+0.000308294j 0.00114777-0.00102929j 0.000130126+0.00126485j 0.000372047+0.00143558j 0.000445851-0.00158836j -0.000199369-0.00225031j 0.00109545+0.00783903j -0.000320505-0.00125356j 0.000450157+0.00104947j 0.000318784+0.0013763j 0.00148153-0.00177388j 0.00148106-0.00199154j -0.00183714+0.000128041j 0.00160009+0.00415291j -0.00150172+0.000652933j -0.000196075-0.00493976j 0.000458169+0.00169174j 0.00139607-0.00206428j 0.00180648-0.00360976j -0.00148702+0.000552178j 0.00109873+0.00312813j -0.00158101+0.00561504j -0.00167051+0.00075796j -0.000754526-0.00531873j 0.00320219-0.00311141j 0.00323057+0.00669805j 0.00522843-0.00539256j 
0.00394854-0.00146285j 0.00268848-0.00112238j -0.00689486+0.000652972j 0.00248816-0.000372783j 0.00637709-0.00046947j -0.00643641-0.00028492j -0.0011044+0.000416653j 0.00105181-0.00167045j 0.00276314-0.000983073j -0.0111523-0.00173421j -0.000181404-5.6694e-06j 0.00579998+0.00204845j 0.00465717+0.000797691j 0.00117157+0.0020017j 0.0024949-0.00164596j -0.000440916-0.000517078j -0.0016346-1.73526e-05j 0.00806307+0.00413029j 0.00761711+0.00268156j 0.00276471+0.00120084j -0.00205884-0.0009389j 0.00481061+0.00418876j -0.00415218+0.000231509j 0.00408284+0.00441087j -0.00249961-0.000749769j -0.00301809-0.00266963j -0.00385687-0.00299133j -0.00224394-0.00361814j -0.00172659-0.000661181j 0.00404631+0.00414146j -0.00883643-0.00489895j -0.00496703+0.00547549j 0.00387925-0.00167559j 0.000643163+0.000446529j 0.00123711-0.00147638j -0.00329545+0.00319092j 0.00173652-0.000356742j 0.00134179-0.000104804j 0.00209705-0.00330379j -0.00185504+0.000956464j 0.000156427-0.000666699j 0.00527525-0.00307127j -0.000255395-0.000681282j 0.00485602-0.00301354j -0.000138149+0.00129799j -0.000939388+0.00161655j 0.000536258+0.00122065j -0.000739919+0.000890248j -0.00201695+0.000777243j 0.00184236-0.000754623j 0.00258492-0.000969116j -0.00756372+0.00335108j 0.00234442-0.00107572j -0.00188134+0.00109132j -0.0019872-3.46127e-05j 0.00156963+0.000668134j 0.00167133+0.000824677j -0.000196992-0.000945926j -0.00531952+0.00251114j -0.00134931-0.000386812j 0.00398947-0.00182318j -0.00181143-0.000243417j 0.00268722-0.000661443j 0.00331611+0.000627351j -0.00100024-0.000553568j -0.00338768+0.00115896j -0.00434737+0.000640762j -0.000216531+0.00036169j 0.00491073-0.000957307j 0.00178838-0.000149385j -0.00473724+0.000785165j 0.00160371+0.000891485j 
0.00122975+6.13356e-05j -0.00111897-2.48353e-05j -0.00272858+0.000489107j -0.000466605+0.000127467j 0.00273975-0.000771857j -0.00240151+0.000259955j -0.000901644+0.00021402j 0.000332416-0.000840107j 0.00103486-0.000627852j -0.00498112+0.000125356j 7.67478e-06-0.000150525j 0.00256961+0.000395487j 0.0021035-8.23715e-06j 0.00069185+0.000703839j 0.000882819-0.000851899j -0.000365098-6.26498e-05j -0.000602617+0.000100263j 0.00373064+0.00117344j 0.00353405+0.000366241j 0.00163603+8.35966e-05j -0.000861594-0.000314236j 0.00238475+0.00137886j -0.00201775+0.000801902j 0.00295386+0.00124873j -0.000504709-0.00018512j -0.00142862-0.00089348j -0.00205334-0.000521697j -0.00240989-0.00114384j -0.00135982+0.000775156j 0.00230806+0.00204576j -0.0042768-0.000308883j 0.0014953+0.00193747j -0.00112983+0.000374691j 0.000240548-0.00019306j -0.00105039+0.00034331j 0.00191004-0.000212868j -0.000624534-0.000145214j -6.21292e-05-0.000325347j -0.00156973+0.000342935j 0.000837047+2.8892e-05j -0.000340043+0.000113492j -0.00228885-0.000406116j -9.54232e-05+0.000268347j -0.00198348-0.000486683j 0.000369432-0.000386335j 0.000511181-0.000154374j 0.000155243-0.000385386j 0.000521588+6.01498e-05j 0.000562741+0.000257984j -0.000710381-0.000345495j -0.000988655-0.000309835j 0.0030478+0.00105562j -0.000868069-0.000354917j 0.000698565+0.000311381j 0.000381421+0.000327934j -0.000346093-0.00050609j -0.000358892-0.000609128j 3.52834e-05+0.000492428j 0.00186591+0.000812889j 0.000382327+0.000578928j -0.0017159-0.00072715j 0.00040762+0.000278923j -0.00107133-0.000952602j -0.000956479-0.000989139j 0.000231188+0.000494279j 0.00110317+0.000384842j 0.00167292+0.00121523j 0.000447893+0.000587536j -0.0015878-0.000678552j -0.0011781-0.00119367j 0.00117144-6.58246e-05j -0.00139121-0.00112139j 
0.00151232+0.00365172j 0.00140497+0.00262236j -0.000787493-0.00573764j 0.000973349+0.00232084j 0.000397171+0.00528148j -7.34965e-05-0.00551098j -9.4988e-06-0.000904294j 0.00142769+0.00105559j 0.000823738+0.00237454j 0.00101476-0.00964308j 0.00013571-0.000307289j -0.00139861+0.00500774j -0.000510525+0.00410115j -0.00146029+0.00108634j 0.00106581+0.00223744j 0.000508341-0.000458037j -3.51131e-06-0.00134344j -0.00304163+0.00755182j -0.00201802+0.00646378j -0.000853592+0.00221308j 0.000824378-0.00206934j -0.00317724+0.00442741j 0.000263448-0.00300653j -0.00345532+0.00334691j 0.000600681-0.00235452j 0.00198782-0.00266719j 0.00259882-0.00319428j 0.00259756-0.0013845j 0.000671242-0.000529564j -0.00224032+0.00395103j 0.0036829-0.00735522j -0.0049946-0.00477091j 0.00275021+0.00444127j -0.00069743+0.000794871j 0.00205618+0.00151621j -0.0040675-0.00408956j 0.00058597+0.00223587j 3.15579e-05+0.00129705j 0.00416665+0.00268743j -0.0014859-0.00223438j 0.000819421+0.000351822j 0.00398782+0.00629463j 0.000852562-0.00019243j 0.00367458+0.00570747j -0.0017423-0.000135904j -0.00189951-0.00106676j -0.00134189+0.00047452j -0.00101403-0.00109892j -0.00109025-0.00220113j 0.00099008+0.00235309j 0.0014241+0.00333466j -0.00437122-0.00926508j 0.00139236+0.00300045j -0.00120944-0.00239704j -0.000251306-0.00217805j -0.000589033+0.00190564j -0.000841681+0.00210682j 0.0011418-0.000574725j -0.00286872-0.00633756j 0.000451994-0.00191198j 0.00215333+0.00488764j 7.60324e-05-0.00215986j 0.000639157+0.00358456j -0.000543804+0.00422061j 0.000576638-0.00137189j -0.00156431-0.00395776j -0.000750724-0.0053341j -4.35831e-05-0.000508744j 0.00144426+0.00581205j -7.25803e-05+0.00271976j -0.00171932-0.00487064j -0.000785198+0.00277007j 
9.21262e-05+0.00573078j -0.00713413-4.65629e-05j 8.00904e-05-0.00137425j -0.00172647-0.00105107j 0.00247717+0.000125288j -0.0020588+0.000462047j -0.00364341-0.00258246j 0.00101209-0.000580407j 0.00260684+0.000956099j -0.00382082+0.000670071j -0.00155464-0.00211197j 0.00136107-0.00111576j 0.0013627+0.000495195j 0.000849738-0.00150865j 0.0029804+0.00159508j -0.00223254+0.00261001j -6.25763e-05-0.00130644j 0.00827818-0.00305127j 0.00379602+2.42749e-05j 0.00102045-0.00148656j -0.00366078-0.000387154j 0.00358084-0.00182827j -0.00298124-0.00510282j 0.00375455-0.00105955j -0.00198348-0.000852328j -0.00194748+0.00118691j -0.00790023-0.00108563j 0.00111703-0.00111385j 0.00273667-0.00569901j -0.003099-0.00163622j 0.00136022+0.00169246j 0.00323325-0.00853364j -0.00139272-0.00170297j 0.00395584-0.00184341j -0.00181861+0.000124133j 0.00306604-0.00138491j 0.00397629-0.000591601j -0.00248743-0.00124358j -0.00295086+0.00268503j 0.000483079-0.000938801j 0.00284631-0.000453587j -0.00333801+0.00195506j -0.000927791+0.00106519j -0.000603717+0.00321245j 0.00145393+0.000617506j 0.00371276+1.97031e-05j 0.00161359-0.00112845j -0.00277008-0.00122528j 0.000857715-0.00112952j 0.000628784+0.00299649j -0.000966186+0.00245717j 0.00178838-0.00462031j -0.002682+0.00407081j 0.00188354-0.00313054j 0.00282161+0.000785991j 0.00104247+0.00134395j 0.00262253+0.00195569j -0.000791686-0.00315133j 0.00555185-0.00311787j 0.000638881-0.00451453j 0.000417609+0.00109543j 0.00213022+0.00147057j -0.00210372+0.00479755j 0.000887021+0.00303408j 0.0014739-0.00270854j 0.00306009+0.00110032j -0.00134583-0.00175888j 0.000518367-0.00196505j -0.00190782+0.000707971j 0.000307509+0.00323999j -0.00267068+0.00847072j 0.00900728+0.00469475j 
0.00545878+0.000261812j -0.000421412+0.00705319j -0.00151635-0.00012453j -0.00116101+0.0018338j 0.000381977-0.00269559j 0.000308898+0.00230195j -0.00303222+0.00387642j -0.000499052-0.00138337j 0.00130819-0.00285707j 0.000305776+0.0044526j -0.00240834+0.0016851j -0.00106467-0.00143609j 0.000761997-0.00171665j -0.00165075-0.000937094j 0.00227106-0.00330514j 0.00273929+0.00227905j -0.00154349+0.000106481j -0.00267341-0.00924621j 0.000381417-0.00395752j -0.0016384-0.00104235j -0.00080426+0.00409811j -0.001756-0.00394243j -0.00597776+0.00276971j -0.00100203-0.00380491j -0.00132655+0.00227837j 0.0012287+0.00210124j -0.00188925+0.00796757j -0.000691629-0.00171748j -0.00583039-0.0038304j -0.00280199+0.0031117j 0.00162599-0.00123823j -0.00924656-0.00340455j -0.00177751+0.000946622j -0.00141604-0.00443859j -0.000133679+0.00172475j -0.00133385-0.00265265j 0.000108297-0.00455255j -0.00139132+0.00219058j 0.00268452+0.00323937j -0.000864981-0.000419434j 0.000140576-0.00296621j 0.00187803+0.00269087j 0.000994263+0.00153991j 0.00358783+7.91925e-05j 0.000923198-0.00201752j 0.000218039-0.0041484j -0.000874232-0.00218946j -0.00164006+0.00301511j -0.00121177-0.000824403j 0.00322543-0.000682104j 0.00272424+0.000947371j -0.00510018-0.000755336j 0.00389293+0.00249788j -0.00314905-0.00166556j 0.000944214-0.00270794j 0.001725-0.00139403j 0.00257531-0.00335952j -0.00334822+0.0015049j -0.00309381-0.00519466j -0.00475124-0.000246044j 0.00182441-0.000953519j 0.00159042-0.00193014j 0.00534131+0.00178034j 0.00362603-0.00169261j -0.00285966-0.000949714j 0.000992546-0.00280278j -0.00272221+0.00203542j -0.00251626-0.000442089j 0.000910529+0.000660803j 0.00446389-0.000683436j 0.00809416+0.00363834j 0.0062996-0.00932718j 
-0.00274103-0.00171943j 0.00222878+0.00277005j 0.0011757+0.00254174j 0.00275921+0.00228018j -0.00157913-0.00318778j 0.000914334-0.000752685j 0.00258218+0.00497236j -0.000278174-0.00203924j -0.00113869-0.00267986j 0.00421525+0.000273349j 0.00101837+0.00523405j 0.000583782-0.000197137j -0.00273559-0.00100937j -0.000577422+0.00330586j -0.00210322-0.00405832j 0.000851188-0.00470771j -0.000552554+0.00274511j -0.00574217+0.00219734j 6.60519e-05-0.00196151j -0.00136075+0.00376027j 0.0030177+0.00186708j -0.0025393+0.0029588j 0.000251577+0.00526224j -0.0022122+0.00403408j 0.000777912+0.00233622j 0.00127329-0.00088251j -0.00117003+0.00443533j -0.0021091-0.00223863j -0.00501765+0.00179876j -0.00208694+0.00646696j -0.00331897-0.00252712j -0.00264773+0.00757358j 0.000851615+0.00223245j -0.000581869+0.000786259j 0.00114926+0.00186972j 0.00138637-0.00216712j 0.0007438-0.000928052j -0.0015756-0.00264142j -0.00185644+0.00134354j 0.000221601+0.000598724j 2.72216e-05-0.00107454j -0.00103713+0.000552904j -0.00116405-0.000924234j -0.00023963-0.00175737j -8.37894e-05-0.00204491j 0.00208234-7.2883e-05j 0.000285807+0.000330582j -0.00177449+0.000829813j 4.83851e-05+0.000741379j 0.000291702-0.00138933j -0.00127466-0.00193134j 0.000171588-0.00218463j -0.000545369+2.25711e-05j 0.000119615+0.000536001j 0.00180367-0.000878849j -0.000676555-0.000357949j 0.00169317-0.000578736j -0.000838433-0.00229833j 0.00118141+0.00116128j -0.000180304+0.000840942j 0.000549103+7.01759e-05j 0.00125759-2.55685e-05j 0.000619606-0.00105853j 0.00092496+0.000480729j 0.00111488-0.00382465j 0.00302254-0.000200914j -0.00139188+3.28043e-05j 0.000160574-0.000353519j -0.00190144+0.00314493j -0.00055903-7.66729e-05j 0.000755344-0.000950758j 0.00192613+1.07066e-05j 
