-0.0897145-0.0839282j -0.273044-0.192361j 0.000265016-0.00737372j 0.0149865-0.033671j -0.00545812-8.73234e-05j -0.0333201-0.0229427j 0.0160451-0.0128674j 0.00301094+0.0233559j -0.0059757-0.0035773j -0.0099093-0.0247195j 0.00256616+0.00655985j 0.0112024+0.00278566j -0.0044158-0.00520031j 0.00998623-0.00165858j 0.0088407-0.00302206j -0.00539246-0.00803298j -0.00431988-0.0125581j 0.00100859+0.0109626j 0.000787536-0.00431392j 0.000237166+0.00379745j -0.00780662-0.0024644j 0.000875991+0.00390985j 0.00639969+0.00348172j 0.00650797+0.0133264j 0.00183741+0.0013404j 3.35742e-05+0.00441842j 0.00151991+0.00256863j 0.00189424+0.00134388j -0.00149706+0.00482878j -0.00232855-6.38283e-05j -0.000702676-0.00231761j -0.00567252-0.0109483j 0.00167404-0.00205253j 0.00133929-0.00159024j -0.00391467-0.00806291j -0.00335371-0.00828813j 0.0069674+0.0142758j 0.000170477-0.00862684j 0.00589628+0.00567039j 0.00262964+0.0118047j 
0.0853445-0.0918786j 0.195343-0.277744j 0.00809971+0.000399426j 0.0343819+0.0160221j 0.000486848-0.00635037j 0.0225585-0.0328002j 0.0108316+0.0148727j -0.0231794+0.00113585j 0.00164454-0.00480802j 0.0243135-0.00900367j -0.00754427+0.00159964j -0.0025237+0.0111082j 0.00271785-0.00531781j 0.00362227+0.0112477j 0.00362597+0.00727259j 0.00631379-0.00556351j 0.0117109-0.00326897j -0.0107912+0.00104323j 0.00350701+0.00126242j -0.00523302-0.000286924j 0.000958687-0.00767777j -0.00413732-0.000130463j -0.00387341+0.00684882j -0.013099+0.00579375j -0.000485507+0.00221934j -0.00452437+0.0006271j -0.00304059+0.00135234j -0.000863367+0.00161677j -0.00611327-0.000773986j -0.00102451-0.00237449j 0.00270597-0.00112567j 0.0119995-0.00570513j 0.00344843+0.0013852j 0.00161085+0.00264264j 0.00852945-0.00350153j 0.00719273-0.00244981j -0.0138681+0.00755657j 0.00887866+0.00246096j -0.00504793+0.00704576j -0.0116242+0.00197984j 
0.0635794+0.0152098j 0.205997+0.0449506j 0.00128343-0.00372648j -0.0210976-0.0059634j -0.00302536-0.00704381j 0.0124771-0.0157468j 0.00669355-0.00904512j 0.0108623-0.0104607j -0.0108389-0.0107878j 0.00284218+0.00524721j -0.00943104+0.000478039j -0.00275501+0.00758727j -0.00594259-0.0102591j 0.0111179+0.0109666j 0.00159503-0.013574j -0.013837+0.00790053j -0.00070655+0.00677659j 0.000357385+0.000619887j 0.00240629-0.000943537j -0.0137415-0.00971929j -0.00958501+0.00945341j -0.00606252-0.0027356j -0.000624965-0.00694356j -0.00249583-0.00552696j 0.00802007-0.00270063j -0.00208882-0.00811723j -0.00599262-0.00813809j 0.00402895+0.0010329j 0.000123561+0.0118379j -0.0106075+0.0066337j 0.00212781+0.00409752j 0.00682398+0.0105525j -9.71954e-05-0.0131148j 0.00792524+0.00314247j 0.00597289+0.0101114j -0.00269377+0.00743597j 0.0100666-0.00842469j 0.0212031+0.00813797j 0.0152102+3.76853e-06j -0.00220883-5.77095e-06j 
-0.0253418+0.087173j -0.0687439+0.271031j 0.00073003-0.00163833j 0.00946648-0.032102j 0.00461202+0.000904941j 0.0242731+0.0112218j 0.0156553+0.0107516j 0.0128972+0.0168492j 0.0183395-0.0149387j -0.00563881+0.00182191j 0.00163257-0.00544589j -0.0106299-0.00502859j 0.0102325-0.00780381j -0.0122744+0.00622962j 0.00518316+0.00199425j -0.00787994-0.00685787j -0.00111037-0.000110688j 0.00200472+0.00119282j 0.00439486+3.02828e-05j 0.011354-0.0114056j -0.00182001-0.00321437j -0.00829018-0.00389541j 0.00309407-0.00463408j -0.00264923-0.00391817j 0.0079471+0.00430139j -0.000509458+0.00074457j -0.000154529+0.0031657j -0.00243832+0.000726964j -0.00277655-0.00164857j 0.0023517+0.0020332j -0.0110274-0.00126293j -0.00151799+0.0062674j 0.00507635-0.00426843j 0.00452496+0.00202585j -0.00508928+0.00145112j 0.00995069+0.00188884j 0.00179336-0.00151667j 0.00290682+0.0101299j -0.00225051+0.0049879j -0.0033842-0.0012959j 
-0.0302878-0.051908j -0.100628-0.170865j -0.00214733+0.00337j 0.0210924+0.0298586j -0.00549371+0.0023508j 0.00159111+0.0124358j -0.00740255+0.000350324j 0.000828554+0.0075628j 0.00846464+0.00818416j -0.0102321-0.00761777j 0.00718422-0.00432114j 0.0156801+0.00523477j 0.00311915-0.000680529j 0.00254455+0.00415915j 0.00182309-0.0106583j -0.00600552+0.00383589j -0.009394+0.00242853j -0.00497834-0.00343886j -0.00148133-0.00335352j 0.0049441+0.00699147j -0.00986607+0.0070616j -0.00705929-0.0108073j -0.00228504-0.00599739j 0.00471231+7.04482e-05j 0.0132263+0.0126397j -0.0109847+0.00347158j -0.00497936+0.000611882j 0.00516604-0.00243352j 0.0119841-0.00334358j -0.0119877+0.00447648j -0.00445428-0.0169308j 0.00878194+0.00855886j 0.00960889-0.00804606j 0.00303242-0.00217545j 0.00338495-0.010002j -0.000261975+0.00919515j 0.0069345-0.00181914j 0.00945622+0.000791497j 0.00686371-0.00312988j -0.000216694+0.000295826j 
0.0479382+0.0159839j 0.137957+0.0419492j 0.00159781+0.00131938j 0.00257048-0.00966803j 0.00118611+0.00505476j 0.0183335+0.00267137j -0.00498689+0.00613629j -0.0069764+0.00561417j 0.00270267+0.0139809j 0.0093024-0.0104758j 0.000752121+0.0183056j -0.0209939+0.0150622j -0.0100611+0.0121418j 0.00150889-0.0100123j -0.00412789+0.00285689j -0.00294978+0.0100878j 0.00544505-0.0108464j -1.9255e-05-0.00924717j 0.0029136-0.00276611j -0.00290773+0.0117828j 0.0010794-0.00175473j -0.00731358+0.0084197j 0.0017278-5.10694e-05j -0.00795754+0.0122695j -8.44139e-05+0.000297912j 0.0102238-0.00335914j 0.00713845+0.00742773j -0.0054763+0.00336799j 0.013632+0.00168777j 0.00843974-0.00978099j -0.00498346-0.00131044j -0.00495565-0.00121601j 0.000561122-0.00174722j 0.0043967-0.0121197j -0.000466519-0.00724616j 0.00742887-0.00949857j -0.00449235+0.00432886j 0.0103009-0.0116144j 0.00298042-0.00215312j -0.00550279+0.0045473j 
-0.00226813+0.0171818j 0.00813739+0.0291427j -0.00303477+0.00162074j -0.00957007+0.0147244j -0.00358868+0.00321479j -0.0169807+0.0174822j 0.0115726-0.00358111j -0.0133045+0.0121974j -0.00665361-0.00640153j 0.0144464-0.00371822j -0.010303-0.00784054j -0.0108302-0.00209478j 0.00761322-0.00731373j -0.011335+0.0114023j 0.0020957+0.00238394j -0.00512984+0.000253617j 0.00141037+0.0018979j 0.010644-0.00655372j 0.0075945-0.0042224j -0.00459422+0.000313372j 0.00288361-0.00134843j 0.00794354-0.0110128j 0.0041189-0.00566269j -0.00450936-0.00115253j -0.0133656+0.0101752j 0.000285694+0.00568097j -0.00451057+0.00356652j -0.000809306-0.00114726j 0.00815401+0.012454j 0.00169018+0.000651278j 0.0143503-0.00702882j -0.00913307+0.00456957j -0.000395161+0.00947046j 0.00587009-0.000683998j 0.010957-0.00332537j -0.000470884-0.00226303j -0.000846604-0.00134178j 0.00277687+0.0016272j 0.00173128+0.00180017j -0.00177925-0.000106484j 
0.031762+0.000669792j 0.105904+0.0195611j 0.00365384-0.00498624j -0.0207547-0.0185585j 0.0066276-0.00334783j 0.00451414-0.0107798j -0.000238821+0.00208841j 0.00265594+0.00069866j 0.00246461+0.00432338j -0.00166988-0.00457582j 0.00304009-0.000298466j -0.00109782+0.0207682j -0.00308784+0.00640131j -0.00619306+0.00753568j -0.00212568+0.000814984j 9.30926e-05+0.00839946j -0.006042+0.00536785j 0.00310083-0.00312749j -0.00289203+0.00214739j 0.00114454+0.00191497j 0.00254739+0.00430641j 0.00681449-0.00197225j -0.000224296-0.000324118j 0.00568925-0.00102128j -0.00467295+0.000319657j -0.0106546+0.01139j -0.000243024+0.0208145j 0.00497604-0.00389795j -0.00254731-0.000158349j -0.00858291+0.00464952j 0.011171-0.00390436j 0.0127432-0.00987955j -0.000449591+0.00510751j -0.00315841+0.000189305j 0.0125873-0.00696472j -0.00330906-0.00508311j -0.00626819+0.00459056j -0.00121768-0.00449538j -0.00223063+0.0012585j 1.75648e-05+0.00157983j 
0.0485948+0.0246679j 0.171298+0.0758884j -0.000674236-0.00480761j -0.0404364-0.00868737j 0.00650205-0.00351006j -0.00170085+0.00311446j 0.00828473-0.00663917j 0.005181+0.00766979j -0.000338005-0.0025453j -0.00241526-0.00650498j 0.00676112+0.00418999j 0.0105136+0.0142799j 0.000757385-0.00309042j -0.00255832+0.00754083j 0.00794895+0.00451237j 0.00895236-0.00164164j -0.00167799-0.00210165j -0.00622842-0.00356306j -0.00338624-0.00600862j -0.00986116-0.0051325j -0.00337546-0.00886204j 3.885e-05-0.00293284j -0.017655-0.00674042j -0.00844099-0.00176646j 0.000746813+0.00878606j -0.00261549+0.00236538j -0.0154993+0.00183523j -0.000457691+0.000175674j 0.00134921-0.00947198j 0.00440225-0.000692283j 0.00253461-0.00503652j 0.0138203+0.0103522j 0.00489863+0.00737941j -0.00179805+0.00107641j 0.00923497+0.000820321j 0.00397478+0.00144467j -0.0117704-0.0030259j -0.00504212+0.00452439j -0.00867512+0.00130647j 0.000138858-0.00210103j 
-0.0191537+0.00213199j -0.0579653+0.0152297j -0.00304314-0.00189192j 0.0012055+0.00341354j -0.000131101-0.00185048j -0.0150188+0.00837434j -0.00965093-0.00743839j -0.00195937-0.00521102j -0.00884631+0.0131583j -0.00320789-0.00254044j -0.00117177+0.00419989j -0.0123313+0.0112827j -0.0148327-0.00668934j 0.00628989+0.00410198j 0.000915291+0.00107135j -0.00900815-0.0028466j 0.00291265-0.00240067j 0.0085338-0.00457415j -0.000789618+0.00406943j 0.0039932-0.00943668j 0.00465677-0.00970486j -0.0118443-0.00185254j 0.00759154-0.0067142j 7.36638e-05-0.0114455j 0.00246703+0.00360565j -0.0081283+0.0117025j 0.0145801-0.00324111j -0.000424798-0.00563903j -0.0061722+0.00254798j 0.0104952+0.00730418j -0.0062958-0.00792255j -0.00368259-0.00719873j 0.00504835+0.00204699j 0.00306397+0.00598666j -0.00431431-0.00423892j 0.00439236+0.00813715j -0.00184392+0.00159697j -0.00596065+0.00826783j -0.00471388+0.00283808j 0.00207491-0.00402995j 
-0.00123623-0.0384564j -0.000635456-0.0930176j 0.00629906-0.00905198j 0.00196564-0.0151828j 0.00642089+1.904e-05j 0.000555351-0.0147824j 0.0049569+0.019154j -0.0119921+0.00961211j 0.0206307+0.006228j -0.00339304-0.00903774j 0.0173485+0.00135721j 0.0049085+0.0108569j 0.00493343-0.00127025j -0.00432595-0.00086839j -0.00474801-0.000796882j -0.00451068-0.000501963j -0.00154465+0.00210821j 0.00376293+0.00873643j 0.00711501+0.00607082j 0.00433835+0.00945173j 0.00684854+0.0068006j 0.00085216-0.00809244j 0.00370954+0.00102023j -0.00256085-0.0045005j -0.00298462+0.00215107j -0.000187409-0.0191231j 0.00210524-0.000852166j -0.00142222-0.000395838j 0.000981498+0.00746571j -0.00197021+0.0172717j 0.00134598-0.0072298j -0.00689446-0.00166127j -0.00564442-0.00293827j 0.00164675+0.0071181j 0.00124987-0.00029141j -0.000720476+0.0180469j 0.00670364-0.00601448j 0.000958409-0.00365169j 0.00189999-0.00990006j 0.00104862+0.00135383j 
