-0.000963718+0.000408631j -0.00062503-0.00208547j -0.0016685+0.00164003j 0.00169752+0.00465659j 0.000720885-0.0037562j 0.00201006+0.00219774j 0.00157558+0.000676038j 0.0024145+0.00692713j 0.000513328-0.00644313j 0.00179457+0.000264491j -0.00196982-0.00093948j -0.00151618-0.00286083j -0.00303767-0.00741118j 0.00215495+0.00505264j 0.00275519+0.0127234j 6.79458e-05+0.00313287j -0.000588589-0.00371333j -0.00110115-0.00605723j -0.000952296-0.00291475j 0.000810775+0.00952326j 0.000344563+0.00114189j 8.21795e-05+0.0063376j -0.000144281+0.00451803j 0.000465497+0.00472093j -0.000409848-0.00482423j -5.32572e-05-0.00238826j 0.000430125+0.0107317j 0.000557325+0.00379999j 0.000560833+0.00861968j -6.8555e-05-0.00308348j -0.000105211+0.00481059j -2.14673e-05+0.00851502j -3.55562e-05-0.000453425j -5.45571e-05-0.00163549j -0.000469019+0.00216695j -8.18088e-05+1.47464e-05j -0.000276105+0.00126264j 0.00075637+0.000431858j 0.000452403+0.00015925j 0.000192916+0.000261437j 7.02523e-05+0.00174214j -0.000148608-0.000514224j 0.000168806+0.00370868j -0.000153732+0.00252919j 0.000723925-0.00975107j 3.25581e-05-0.00133109j 0.000225705-0.00395597j 0.000350519-0.00343751j -0.00151747+0.0110147j -0.000308246+0.00133721j -0.000470769+0.00619302j -0.000179769+0.00252757j 0.000620713-0.00371413j 0.000510266-0.00240917j -0.000316664+0.0050514j -0.000736831+0.00662467j 0.000228896+4.12059e-05j 0.00114977-0.00751857j 0.00122357-0.00304796j 0.00125625-0.00539931j -0.000342056+0.00223718j 0.000295057-0.00248554j -0.00289778+0.00920352j -0.00246318+0.00404401j 0.00239668-0.00432783j 0.00114194-0.00157994j 0.0016795-0.000123097j -0.00148913-0.000416747j -0.000497313-0.00582474j -0.00225938+0.00586519j -0.00143512+0.00052536j -0.00183946+0.00173596j -0.000716033-0.00344378j 0.0016618-0.00429646j 0.00170355+0.00169411j -0.000675372+0.00212573j 0.00113816+0.000531348j 
0.00429551-0.00252551j 0.00277766+0.00126105j 0.00674405-0.00362359j -0.00521135-0.00123956j -0.00302331+0.00322579j -0.00821659+0.00204078j -0.00485945-0.000184854j -0.00241061-0.000343067j -0.00168602+0.00146856j -0.00732125+0.0034133j 0.00719538-0.000972427j 0.00663874-0.00117435j 0.00282529+0.000474896j 8.40778e-05+0.00232867j -0.00208927+0.00280148j 0.00848234-0.00275862j 0.00368626-0.000695253j 0.0029713-0.00167368j 0.00841357-0.00295102j 0.00242714+0.000282496j -0.00572452+0.00014095j 0.00568627-1.76129e-05j 0.00911045+1.37624e-05j -0.00368243+0.0020737j 0.00052504-0.00139944j 0.00432389-0.00100698j 0.00243087+0.00317608j -0.00903301+0.00087508j -0.00483207+0.00189993j 0.00225231-0.000385819j 0.00399206+0.00113447j 0.00184615+0.000525577j 0.000934111-0.000163582j -0.0014585-0.000835135j 0.00751973+0.000148948j 0.00464728-0.000251674j 0.00244359+0.000759484j -0.00509781+0.000248807j -0.00953033+5.24874e-05j -0.00424227-0.00013152j -0.00143638+0.000724081j 0.00524069+0.000439986j -0.00670784+0.000232329j -0.00208238+0.000598934j -0.000425683-0.00183423j 0.000259038+0.000110811j 0.00253977-0.000928324j -0.00336557-0.00113046j 0.00705614+0.00378132j 0.00226661+0.00130314j -0.00614638+0.00156348j 0.00417083+0.0012424j -0.00100151-0.00153848j -0.00434217-0.00153707j -0.00678133-8.38721e-06j -0.00191469+0.00091439j -0.00549095-0.000504933j 0.00125413-0.000707534j -0.00776952-0.00291521j -0.00167005-0.00140701j 0.00140114+9.67988e-05j 0.00591033+0.0018468j 0.00233375+0.00310719j 0.0007176+0.00219226j -0.00275406+0.000164881j -0.00536378-0.00124836j -0.00586641-0.00103286j 0.00589748+0.00305922j 0.00112898+0.00133106j 0.00233957+0.000309222j 0.00398054-0.000144863j 0.00737037+0.00188619j 0.00254735+0.00282524j -0.00508401+0.00130043j -0.00640197-0.00386358j 0.00361855-0.00265271j -0.00559997-0.00344668j 
0.00285409+0.00468591j -0.00403685-0.000600124j 0.000881918+0.0049935j 0.00391573+0.00283425j -0.0027006-0.00485294j 0.000358867-0.00252677j 0.00278798+0.0034422j -0.000928217+0.00393739j -0.00133648-0.000698754j -0.00275795-0.00449606j -0.00138972-0.00115288j -0.00056235-0.00164119j -0.000326201-0.00524461j -0.00191959-0.00147509j -0.00191485-0.00222873j 0.00378696+0.00378815j -0.000512577+0.000137127j -7.44825e-05+0.000435776j 0.00293056+0.00222123j 0.000976555+0.00210417j 0.00103163+0.0043891j -0.00110208+0.0018782j 0.00220914-0.00137421j -0.00394576-0.00333048j 0.00150912+0.00122583j 0.00213043+0.00301218j -0.000888518-0.00631385j -0.00214361+0.000370705j -0.000790662+0.00209056j 0.000348768-0.00134399j 0.00131151-0.00191972j 0.00113138+0.00499711j 1.98874e-05+0.00117795j -0.000537282+0.00182198j 0.00283465+5.02911e-05j 0.00220643+0.00347691j 0.00113466-0.00315583j 6.51839e-05+0.000269744j -0.00186299+0.000245255j -0.00191977+0.000424582j -0.00114469-0.00204838j 0.00185727-0.00274639j -0.00318029+0.0010776j -0.000973889-0.000925096j 9.81618e-05-0.00161577j -0.000265097-0.00148394j 0.000952104+0.0013553j -0.00132693-0.000537937j 0.00337917-0.00266928j 0.00120308-0.00320891j -0.00198476-0.0042806j 0.00262076-0.00125487j -0.000859105+0.00194741j -0.00236859+0.00180769j -0.00264835-0.000898677j -0.000364446+0.00241913j -0.00241607-0.00325594j 0.000275157-0.000933094j -0.00243758+0.000425519j -0.000469982+0.00101931j -0.000408595+0.000321481j 0.00287137-0.00200945j 0.00265001-0.00392927j 0.00259598-0.000495102j -0.00253597-0.00302963j -0.00143649-0.000907577j -0.000307558-0.00091986j 0.00271348-0.00445579j 0.0022405-9.67968e-05j 0.00135394-0.000541835j 0.00042684+0.00391196j -0.00031009-0.001658j 0.00274624-0.00303393j 0.00183672-0.00158958j -0.00195593+0.00476612j -0.00781487+0.0066727j 0.00361034+0.00883561j 
-0.00448281+2.33181e-05j 0.00192571-0.00359228j -0.00522419-0.00137735j -0.00254098+0.0046913j 0.00509574+9.386e-05j 0.00155454+0.0015156j -0.00168502+0.00230087j -0.00144797+0.0037143j 0.00227596+0.000813117j 0.00425885-0.000293299j -2.16713e-05-0.00335929j 0.00202228+0.000677592j 0.00269636-0.00183985j 0.00214745+0.0028507j 0.00294043+0.000880442j -0.00228104+0.0048904j 0.00121114+0.00106302j -0.00156841-0.00315275j -0.00143559+0.00503278j -0.00212405+0.000224961j -0.00371371-0.00132649j -0.00244367-0.0046821j 0.000837018+0.00127896j 0.0032679-0.00338379j -0.00222188-0.00210668j -0.001303+0.00721231j 0.00635909+0.00204888j 8.64109e-05-0.000817985j -0.000767718-0.000825435j 0.000941613+0.00363929j 0.00163201+0.000636465j -0.00368561+0.000916268j -0.000786227+0.000729412j -0.00145522-0.000392241j -0.000641292+0.00279588j -0.00256103+0.00365306j 0.00227021-0.00267285j 0.000305123+0.00712802j 0.000200637-0.001505j -0.000306041-0.00245122j 0.00194233+0.00271368j 0.00207194+0.00323385j -0.000701092-0.00370288j 0.00104666-0.000539487j 0.000722386+0.00095309j 0.00140617+0.000493227j -0.00175053+0.00025936j 4.44821e-05-0.00379897j 0.00315765+0.000609584j 0.00294512+0.0003239j 0.00485818-0.0020218j 0.000694567+0.00745692j -0.00240657+0.00151401j -0.00167477-0.00240291j 0.000868145-0.00127962j -0.00216675+0.0028503j 0.00259699-0.0019483j 0.000571104+0.00168749j -0.0008864-0.00424334j -0.00144124+0.00289096j -0.00111447+0.000833853j 0.000556446+0.00425499j 0.00395767+3.91867e-05j 0.000847759-0.00156474j 0.00128871+2.81717e-06j 0.00139243-0.00161719j -0.000270168+0.00222046j 0.00359675+0.00156484j 0.00153488-4.14136e-05j 0.000213833-0.00388548j -0.00108393-0.00121717j 0.00108282-0.00037203j 0.00344823+0.000583668j 0.00219862+0.00483636j -0.00545447+0.000618083j -0.00466338-0.00638692j -0.00676215+0.00259534j 
-0.00189374+0.000988036j 0.00237573-0.00179384j -0.000604561+0.00160973j -0.00362715-8.70996e-05j 0.0010428-0.00320952j 0.00165162-0.000772346j -0.00438295+0.00187393j -0.00544134-0.00425028j -0.00216784-0.00209629j 0.00275321-0.00300654j 0.00320217+0.000919643j -0.00114137-0.000781311j 0.00565805+0.000396241j -0.00130904-0.00585588j 0.000330427-0.00289762j -0.00625313+0.000356934j -0.00214974-0.00141497j 0.00242067+0.00276349j -0.00443007-0.00170319j -0.000763022+0.000881581j -0.0023794+0.00314313j 0.0019438+0.00346006j 0.000143557+0.0011266j 0.00370352-0.000985872j 0.00152828+0.00315154j -0.00702785-0.00449002j 0.00264468-0.00297291j -0.000188191-0.000989366j -0.00273802+0.00100605j -0.00118897-0.00356709j 0.00104411+0.000719861j -0.00409779+0.00101491j -0.00181986-0.000461984j -0.00103983-6.73027e-05j -0.000588913-0.000126594j -0.00495651-0.00114286j 0.00486607+0.0034576j -0.00468407-0.00697759j -0.000141401-6.85392e-05j 0.000519841+0.000682287j 0.000107425-0.00413538j 0.00189097-0.00193857j 4.48318e-05+0.000806823j 0.000632357-0.000313888j 0.00277029-0.00138773j 0.00140563-0.000928687j -0.00051909+0.000465445j 0.00323908+0.00251284j 0.00168739+0.00274139j 0.00348005+0.000737859j 0.00431799+0.00107935j -0.000827533-0.00564853j -0.00300254-0.00309992j -0.00268747-0.000277312j -0.000331402-0.000971273j -0.00379278-0.00303696j 0.00334316+0.000626196j 0.000937904-0.00128278j -0.000734629+0.00184242j -0.00169099-0.0037167j -0.00107427-0.00234687j 0.00290666-0.00242479j 0.0029045+0.00328929j 0.00385936+0.00527611j 0.00393253-0.00287683j 0.000718428+0.00147947j 0.000370163-0.0026823j 0.0041028+0.000923128j 0.00071043+0.00355554j 0.00187557+0.00572572j -0.00445848+0.0019384j 0.00139224-0.00103701j 0.00366536+0.00277116j 0.000949787-0.0015703j -0.00234915-0.00224059j -0.00397731-0.000951921j -0.00281274+0.00117105j 
0.0021652-0.000901966j -0.000505985+0.000768546j 0.00288576-0.00256738j -0.00165509+0.000511905j -0.00344989+0.00248461j -0.00135124-0.000355078j 0.00111214+0.00193701j -0.00518806+0.00370491j -0.00220447+0.00310317j -0.00288526+0.00115336j 0.00211056-0.00230364j -0.00159069+0.00175217j 0.000390518-0.00297035j -0.00668454+0.0030742j -0.00356102+0.00246642j -0.00200024+0.00253265j -0.00201729+0.00229668j 0.00413065-0.00286893j -0.00392637+0.00192566j 0.000805764-0.000544288j 0.00439626-0.00103488j 0.00540079-0.00295506j -0.000231021-0.000215144j 0.000157555+0.000123753j 0.00438686-0.00274899j -0.00734186+0.00394027j -0.00532178+0.00234764j -0.000385107+0.000739032j 0.00168238+0.00121657j -0.00520888+0.0013861j -0.000241163+2.25189e-06j 0.0011355+0.000633232j -0.000454965+0.000604692j 0.000373563+4.14491e-05j -0.00180479-0.000306701j -0.00209235+0.00140462j 0.00376622-0.00221905j -0.0096257+0.00363716j 0.0010001+0.000398616j 0.00208698-0.000309238j -0.00575186+0.00157458j -0.00434493+0.000123301j 0.0031497-0.000147323j -0.000219316+0.000330389j -0.00250617-0.000983538j -0.00149038+5.94552e-05j 0.000614028-0.00080012j 0.0038925-0.00180964j 0.00165394+0.000146885j -0.000374992-0.000633157j 0.000665308+0.000201904j -0.00941441+0.00119521j -0.00289615+0.000717789j 0.00225605+0.000795001j -0.00012527+0.000876031j -0.00363044+0.000982622j 0.000438955-0.000680793j -0.00267469-0.000228106j 0.00470294+4.40796e-05j -0.00458063+0.000521332j -0.00185942+0.000132684j -0.00537396-0.0016469j 0.00226074-0.00024111j 0.00475566-0.00239254j -0.00371518-0.00160156j 0.00168683+0.000395388j -0.00368303-0.000381872j -0.00113216-0.00098993j 0.00274139+0.000192286j 0.00676139-0.00186617j 0.00342459+0.00230992j -0.000745212-0.000212414j 0.000930171-0.000665083j -0.00438858+0.00072251j -0.00159893-0.000905735j 0.00282131+0.00072397j 0.000404369-0.000985564j 
-0.00283004+0.000374496j 0.00096262-0.00643558j 0.00136204-0.000606833j -0.0020918+0.00310158j -0.000262416-0.00172334j -0.00118395+0.000589723j -0.00151683+0.00320203j 0.00129667-0.00155212j -0.000385994-0.000749733j -0.000900877-0.00311943j 0.000953042-0.00194412j 0.00210175+0.000261875j -0.00109842-0.00149561j -0.000267183-0.00264942j -0.000146113-0.00252615j 0.00132443+0.00442396j 0.000925493-0.00105117j 0.000554072+4.51544e-06j 0.000973482+0.00169461j -0.000152914+0.000866576j -0.000474249+0.00430989j 0.00190152+1.03925e-06j 0.000250597+0.00147846j 0.000765309-0.00513449j -0.00139899+0.00161591j 0.000969425+0.00210107j -0.000181696-0.00467355j -0.000253491-0.000319863j 0.000214954+0.00308538j 0.00078524-0.000301924j -0.000638354-0.000338789j 0.00100687+0.00237027j 0.00153958+0.00140059j 0.000287156+0.000280113j -0.000431482+0.0009265j 0.000495626+0.00409216j -0.00207894-0.00253244j -0.000319238+0.000545762j -0.0014329+0.000121925j 0.000587149-0.000124414j 0.00095368-0.0028864j -0.000460949-0.00388416j 0.00149649+8.58573e-05j 0.000282288-0.000793925j -0.000806008-0.0033776j 0.000116449-0.00301245j -0.000127511+0.0013038j -0.000529418-0.00183385j -0.00193102-0.000785743j -0.000480681-0.00439728j -0.000201826-0.00600883j 9.51021e-06-0.0025826j 0.00065614+0.00340713j 0.000310594+0.00514549j 0.000277443+0.000941312j 0.000798908+0.00235057j 0.00182911-0.00310087j 0.000235385-0.00157048j -0.00148554+0.00457788j 1.57129e-06+0.000125941j 0.000247782+0.00213564j -0.000824173-0.00386283j -0.00110988-0.00152622j 0.000115345-0.00403717j 0.00172322-0.0039249j 0.000506905-0.000514476j -0.0013763-0.000180749j -0.000734658-0.00313803j -0.000409599-0.00213194j -0.000858992+0.0015514j -0.000209615+0.00184355j 0.00086899-0.000785576j -0.000879928-0.00425343j 0.000692929-0.00450511j 0.00192193+0.00165686j 0.00677681+5.99072e-05j -0.00312287-0.00408265j 
-0.00428881+0.00206765j -0.00299973-0.00622345j -0.00253142-0.00182222j -0.000679848+0.00410476j 0.00179566-0.000604898j -0.000232617+0.0031494j 0.000386425+0.00277562j -0.00147722-0.00361938j 0.000898675-0.000639555j -0.000962727-0.000233902j -0.000462339-0.00203814j 0.00273117-0.0022705j 0.000567912+0.00139117j -0.00133836-0.00246447j -0.00137141-0.00232203j 0.00232563-0.00040563j 0.000859152-0.0025308j -0.000996913+0.000259722j 0.000927386-0.000979887j -0.00112554+9.0791e-05j 0.00246273+0.00258687j 0.00054363-0.00159738j 0.001575+0.000373654j -0.00240674-0.00323316j -0.00135857+0.00317041j 0.00265348-0.00181512j -0.000748898-0.00243595j -0.000534044-0.000383633j 0.00331679+0.000773903j 0.000710113-0.00153406j -0.000243661+0.000703889j 0.000304169-0.000259235j 0.00225437-0.000378339j 0.000214764-0.000733192j 3.63338e-05+0.000622259j 0.00390527+0.0012803j -0.00332382+0.0022005j 0.000921462-0.00129068j -0.000507868+0.00099171j 7.91418e-05-0.000426436j -0.000466929-0.00347153j -0.00374696-0.00187041j -0.000297798-0.00143058j 0.000210969-0.000479391j -0.00265049-0.00117718j -0.0016678-0.00129179j 0.000224381+0.000721889j -0.00300211-0.000179095j -0.000673504+0.00347833j -0.00351471-0.000817572j -0.00313058-0.00166758j -0.00165418-0.00219771j 0.00348655-0.000612378j 0.00465423+0.00205692j 0.00148539-0.000114569j 0.00310916-0.000649099j -0.00112188-0.00325246j -4.64911e-05-0.000822207j 0.00184168+0.00290578j 7.95868e-05-0.000945509j 0.0015523+0.000309674j -0.0028925-0.00147484j -0.00141931+0.00279211j -0.00452511+0.000628677j -0.000419506-0.00392637j -0.000283066-0.000573667j -0.000204176+0.000626786j -0.00156061+0.000763263j -0.00244047+0.000971j 0.000300268+0.00240141j 0.000900036+0.00126649j 0.000426723-0.000614543j -0.00345168+0.000368292j -0.00307275-0.000233483j -0.000786772-0.00275141j 0.00352089-0.0102849j -0.00987461-0.000810061j 
0.00133374-0.000691343j 0.00550813+0.00229197j -0.000442275+0.00292121j -0.00234112-0.000809425j 0.00340253+0.000418993j -0.00400105+6.46978e-05j -0.000781146-0.00369321j 0.00257307+0.00314533j 0.00387091-6.06657e-05j 0.0004494+0.000748997j 0.00214355+0.00273805j 0.00118209+0.00174975j 0.000268141-0.00295194j 0.000428246+0.000877958j -0.000937544-0.000142835j -0.00438878-0.00109471j 0.00378798+0.000218728j -0.00160147+0.00268014j -0.000476065+0.000829735j -0.00210087-0.000994606j 0.000423829-0.00223518j 0.00175971+0.00288351j -0.00295-0.00146626j 0.00438274+0.00212299j -0.00379767+0.000616197j 0.0012266-0.00118768j 0.00217704-0.00181046j 0.000110604-0.000717821j 0.00112957-0.00125729j -0.000812047+0.000662489j -0.00136867-0.00176644j -0.00114924+0.00106008j 0.00226633+0.00302936j 0.00190078-0.00106215j -0.0025527-0.00351359j 0.000838763-5.88739e-05j -0.00131614-0.00185883j -0.00185201-0.00232931j -0.000522127-0.00342915j 0.000949388+0.00233173j 0.00217822+0.000437955j -0.00188756-0.00149189j -0.000304606+0.00545198j 0.00218608+0.000598215j -0.00014692-0.00232945j 0.00316567+0.00106809j -0.00165012-0.000745937j -0.00174558-0.000482905j 0.00153907-2.87428e-05j -7.29751e-05-0.000900321j 0.00401561-0.00204388j -0.00133481-0.00162603j 0.000487758+0.000720511j 0.000853751+0.00455166j 5.48253e-05+0.00140913j 0.00122762-0.00221614j -0.000813763-0.000990295j 0.00168105-0.00229963j -0.00430189-1.8973e-05j -0.00014178-0.00104181j -0.00208367+0.00375511j -0.000660103-0.00429098j 0.000492395-0.000318511j 0.00200919-0.000705262j 0.00117008+0.000698941j -0.000826322-0.00140056j -0.000231833-0.00420859j 0.000870218-0.00133946j 0.00266659-0.00113644j -0.00100946-0.00371065j 0.00436463+0.0025998j -0.000155884+0.00486339j 0.00114675-0.00231853j 0.00176681+0.00095849j -0.00423035-0.000454839j 0.00435504+0.00590981j 0.00102461-0.00694962j 
-0.00122467-0.00277786j 0.00222383+0.000439857j -0.00367049-0.00503396j -0.00293016-0.000658633j 0.00144321+0.00365732j -0.00271908-0.00270186j 0.00293042+0.00361617j -0.00229335-0.000855839j 0.00168551+0.0041464j -0.000523219-0.000696741j -0.00162365-0.00154593j 0.00101081+0.00139546j 0.00197318+0.00160519j -0.00129545-0.00298799j 0.000449282-0.00287683j 0.000365659-0.00110766j 0.00277508+0.00330465j -0.00380634-0.004025j -0.000610129-0.000947844j -0.00109107-0.0035708j 0.0043057+0.00601093j -0.0016372+0.00053944j 8.77028e-05-0.000654629j 0.000252538-0.00173049j -0.00439199-0.00344796j 0.00307393+0.00323392j 0.00179702+0.00153807j 0.00140396-0.000218406j 0.00388408+0.00699036j -0.000441169-0.00309519j -0.000656395-0.000684414j -0.00175034-0.00181778j 0.000802363+0.00323208j 0.00288097+0.00204727j 0.000434664-0.00194418j 0.00175577+0.00704429j -0.002667-0.00202398j 0.000890282-0.00209075j 0.00215932+0.00135888j -0.000842851-0.000104095j 0.00206776-0.001169j -0.00166861-0.00750306j -0.00268341-0.00491607j 0.00166804+0.00230565j 0.000481591-0.000956321j 0.000243335+0.000569941j -0.000683726-0.00124667j -0.00106063-0.0045611j -0.00120067+0.00616167j -0.00115851-0.00284894j 0.000869581+0.00371192j 0.000469572-0.00418661j 0.0034619+0.00138977j 0.00100704+0.00467989j 0.00060724+0.00018254j 0.00225411+0.00382392j 0.00101152-0.00515767j 0.00101817+0.00379588j 0.000297914-0.00358644j 0.000438851-0.00147489j -0.00118234-0.00357583j 0.000917879-0.0031266j -0.00148604+0.00208597j -0.00243658+0.000925521j 0.000740475-0.00290477j 0.000978224-5.8532e-05j 0.0020849-0.00014362j 2.33719e-05+0.00138624j -0.00141459+0.00432859j 0.00217472+0.000528296j -0.00131149+0.00713704j -0.00201738-0.00161144j -0.000218503+0.0021264j -0.00442635+0.00241015j -0.000542718-0.00801727j 0.00188671-0.00161612j -0.000402292-0.00345151j 
0.00113248-0.00166345j 0.00253639-0.00190812j 0.00250546-0.000359581j -0.000330634-0.000326567j 2.59933e-05-0.000919505j -0.000589284+0.000490282j -0.00288752+0.000107797j 0.00327901-0.00392188j -0.000788928-0.00196019j 0.00168775-0.002305j 0.00279336-0.00336076j 0.00147044+0.000726344j -0.00305358+0.00378748j 0.00193239-0.00343587j 0.00225944-0.00181963j -0.000752918+0.00109155j 0.00120273-0.000950419j 0.00175012-0.00290263j -0.000691514+0.00290847j -0.000439048+0.0014705j -0.00253946+0.00267075j 0.00276418-0.0040314j -0.000759811+0.000287508j 0.00162895-0.000412661j 0.00180107-0.0033105j -0.000899985+0.00065216j -0.000217561-0.0019357j -0.00117437+0.00217574j -0.00273888+0.00173305j 0.00104929+0.000287834j -0.000912092-0.000726733j 0.000336099-0.000376336j 0.000662467+0.00161312j -0.00271728+0.00409643j -0.00403322+0.00348368j -0.00124881+0.000924421j -0.000392535-0.00205026j -0.000140185-0.00094231j -0.00440115+0.00271378j 0.00207318-0.000927362j 6.44297e-06+0.000530219j 0.00107951-0.00118825j 0.00619389-0.00363645j -0.00237053+0.00279308j -0.000108574-0.000395385j -0.000145719+0.00034021j -0.000150513+0.000136537j 0.000412217-0.000189663j -0.00118877-0.00103887j -7.26249e-05-0.00115709j -0.00387997+0.000183842j 0.000122048+0.000245522j -0.00106434+0.0037849j 0.00123072+0.0021616j 0.000295104+0.000995747j -0.00417729+0.00128375j -0.000729181+0.000143812j -0.00345876+0.000698864j 0.00236003-0.000212859j -0.00175154+0.000978392j 0.00248442+0.000374875j -0.000386143-0.00154463j -0.00300429+0.0017818j -0.00454784-0.000326887j 0.00412507-0.00220118j -0.00042053+0.000907346j -0.00369355+0.00172331j -0.00209154+0.0016599j -0.00360365-0.00193927j -0.00400693+0.00207825j -0.000947323-0.000723502j 0.0015534+0.000773464j -0.00262488-0.00160776j -0.000762329-0.00213513j 0.00152655+0.000725524j 0.00450576-0.00211059j -0.00388725-0.00156688j 
