0.26913-0.150985j 0.151014+0.268748j 0.0585125-0.0957067j 0.0969947+0.0547071j 0.0477219+0.0693549j -0.0957751+0.0230526j -0.0873206+0.0857713j 0.06579+0.158105j 0.157988-0.0292943j 0.0406966-0.0785073j 0.0419937-0.0508841j -0.0196582+0.00800238j 0.11995+0.062308j -0.0608223-0.189506j 0.0773677-0.179441j -0.0828282-0.00487793j -0.0578362-0.0227983j 0.0664171-0.0482418j -0.0771077+0.0213471j -0.040673+0.0544288j 0.00483374+0.041303j 0.0210192-0.0704822j -0.0245671+0.0622677j 0.0801198-0.0351906j -0.0647501+0.0457321j 0.0623167+0.0350204j 0.165569-0.0712499j 0.0602006+0.0455055j -0.0999105-0.00122997j -0.0257131-0.0221169j -0.0621988+0.0230953j 0.0422202-0.00821994j 0.00729669+0.00927515j 0.0406808-0.0143023j -0.014871+0.021817j 0.0124497+0.0342615j 0.0352938+0.0135759j 0.00726689+0.0151593j -0.00596409+0.073182j 0.00277153-0.0153735j -0.0450346+0.00690148j 0.0142756-0.0318042j -0.0179204-0.0283687j -0.0412096-0.0293829j -0.0670068-0.028547j -0.00280904-0.00391911j 0.0524172+0.0378469j -0.0398895+0.0142918j -0.156746-0.053047j -0.0451581-0.00510661j 0.0768746+0.115213j -0.0747807+0.0127576j 0.0457584+0.0621359j -0.0504039-0.0352305j 0.012936+0.0783904j 0.0159772+0.0760318j -0.0172326+0.0469838j -0.0144235-0.0528309j 0.0836488+0.0500683j -0.040533-0.056634j 0.0306261-0.0271378j 0.0868261-0.00199294j -0.0187956-0.181898j 0.10372-0.174191j -0.115097+0.00425163j -0.0248412+0.0115668j -0.036625-0.051378j 0.0352698+0.07514j 0.154495+0.0322678j 0.066254-0.145099j -0.0757719-0.0886365j -0.0971571-0.02395j 0.0470007-0.0695483j -0.0978154+0.0580262j 0.0612341+0.0964516j -0.151393+0.266926j 0.267194+0.151357j 
-0.0177585+0.0349882j -0.0349385-0.0179431j 0.00598279-0.0147197j 0.0156602+0.00568604j -0.0087521+0.0115673j -0.00502-0.0113463j -0.0113717-0.0154286j -0.0215666+0.0110088j 0.00560814+0.0125671j 0.00753659+0.00384257j 0.00956924+0.00461594j -0.0142902+0.000738305j 0.00854439-0.00163782j 0.00469463-0.0261386j 4.77156e-05-0.0115901j -0.0257118-0.0122024j 7.60366e-05-0.00348278j 0.00947299-0.0122251j -0.0146943+0.00129991j -0.00469647+0.0114962j 0.00765545-0.000633474j 0.0058633-0.00685712j 0.0122944+0.0163037j 0.013171+0.0103276j -0.00890586+0.00352883j -0.00192632+0.0137102j 0.00947413-0.0108608j 0.00790113+0.0136236j -0.0139391-0.000699252j -0.00335839-9.34202e-05j -0.00303449+0.0120221j 0.0133251-0.00934023j 0.00129205-0.000784761j 0.000789141-0.00321565j -0.00280766+0.0185148j -0.00735343+0.0125001j -0.00119899-0.00689557j 0.00524192+0.0024968j -0.00358754+0.012272j 0.00193902-0.0124613j -0.00275262-0.00795347j 0.00102033-0.0112286j 0.00261827-0.0203415j 0.000344106-0.00608036j -0.0153641-0.00495916j -4.77022e-05+0.00186277j 0.00161929+0.00631759j -0.0142871+0.00139611j -0.0220983+0.00517194j -0.000895648+0.0031558j -0.00138314+0.0101857j -0.0110188+0.00514473j 0.00736895-0.00100159j -0.0171665+0.00585444j -0.010705+0.0109039j 0.0122259+0.0132484j -0.0140468-0.00149198j 0.000737215-0.0103896j 0.021988+0.0136359j -0.000553689-0.00444946j -0.0072227+0.0017076j 0.0186745+0.000972898j -0.00289267-0.00870446j 0.00463003-0.0212963j 0.00483424-0.0058941j -0.00930001-0.0117318j -0.00557675+0.00354615j 0.00518148+0.00329925j 0.00140619-0.0101631j -0.0174893+0.0120394j 0.0138576+0.0139319j -0.000945222-0.002395j -0.00630664-0.00753917j -0.0106837+0.0248277j 0.0247504+0.0101282j 0.0377946-0.00935694j -0.00915811-0.037744j 
-0.00941585-0.0137264j 0.0136809-0.0093852j -0.0335317-0.00537954j 0.0052469-0.0342338j -0.00228579+0.00521971j -0.005865-0.0205368j -0.0411881+0.00294508j -0.000220383+0.035547j 0.0036813+0.00235006j 0.00144721+0.00994295j 0.00392892+0.00220369j -0.00216567-0.0212117j 0.0198235+0.000587807j 0.0159763+0.000411117j -0.0114661-0.00164864j 0.00113133-0.0155483j -0.00221875-0.0109706j 0.000853104-0.0112318j 0.0201247-0.012011j 0.00227572-0.00353748j -0.0123493-0.000792971j -0.00716102+0.00866805j -0.00139146-0.000642103j -0.00958234-0.000164732j -0.000656417+0.00788171j -0.016884+0.007036j -0.00165015-0.0100541j -0.00388461-0.00424601j 0.0104707+0.0128454j 0.0142015+0.00606179j 0.0015132+0.00380644j -0.00160033-0.00570968j -0.00487966+0.00204429j 0.000726702+0.000213587j -0.0048858-0.0103848j -0.00812478+0.00066509j -0.00795274+0.00382204j 0.017559+0.00228757j -0.00495222-0.00424227j 0.00213124+0.00461815j -0.00762757-0.0015499j 0.00753664+0.00973768j 0.0057414+0.0055236j -0.000505651+0.00315539j 0.000643832+0.0119491j 0.00185229+0.00290257j 0.00396477-0.00861121j -0.0111643+0.0018135j -0.00271102+0.00976864j 0.00336646-0.00288573j 0.0018014-0.0124081j -0.0115564-0.0180034j -0.00329953-0.00702007j 0.00328874-0.00687582j 0.00787579-0.0042871j 0.00253219+0.00700292j -0.00520513+0.000275907j -0.000560744+0.0060411j 0.0039202+0.0110613j 0.00170987+0.0155536j -0.000511273+0.0110004j -0.0180134+0.0168326j -0.0103133+0.00328531j 0.0143513+0.0099946j 0.0223979+0.00569135j 0.00951512-0.0167777j 0.00827035-0.00558089j -0.0055673+0.0107897j -0.00526675+0.0106048j 0.0128899+0.0332113j 0.0393197-0.00572188j 0.00785956-0.0234482j 0.0060734+0.011095j 0.0123483+0.0255858j 0.0248956-0.0120208j -0.0107261+0.0219164j 0.0218517+0.0106787j 
0.00987356-0.00162353j 0.00170567+0.0100043j -0.00410775+0.00177257j -0.00158439-0.00394119j 0.00439537+0.000445167j -0.00206348+0.00380974j 0.000357881+0.00410461j 0.00335725+0.0021911j 0.00314327-0.00168518j -0.000662826-0.00223979j -0.0011521-0.00282291j 0.00459055-0.000354926j -0.00151407+0.00377229j -0.00107532+0.00295851j 0.00367906-0.000926587j 0.00622637+0.00253499j -0.000885439-0.000675921j -0.000901215+0.00282458j 0.00337017-0.000181297j -0.000888336-0.000860605j -0.000621939+0.00376482j -0.00148242+0.00057552j -0.00440775-0.00253362j -0.000591108-0.00441575j -0.000850105-0.00099974j 9.88625e-05-0.00329544j 0.00261207-0.000838978j -0.000901247-0.000416762j 0.0015834-0.00290541j 0.00209495+0.000371893j -0.00143841-0.00144947j -0.00100637+0.00316044j 0.000498399-0.00128636j 0.00138517+0.0001198j -0.000426608-0.00371108j 0.00327396-0.00305993j 0.00138186-0.00177515j -0.00205942+0.00135244j -0.00247345-0.001124j 1.03497e-05+0.00242069j -0.00166586+0.000285317j 0.00378885+0.001436j -0.000854205+0.00293395j 0.000367614+0.00037043j 0.00119956-0.00141316j 0.00153504-0.00165904j 0.000517587-0.000397551j 0.00181564-0.00162037j -0.000658773-0.0023423j -0.00282461-0.00207341j 0.0028339-0.0012694j 0.000762322-0.00317433j 0.00201062+0.000913028j -0.000566157-0.00364529j 0.00126045-0.00099929j -0.00483984-0.00165998j 0.00158285+0.00305423j -0.000959032-0.00109962j -0.00169062+0.00108044j -0.000532146-0.00103675j 0.00123066-0.000272471j -0.00242616+0.000240279j -0.000456275-0.00351434j 6.9764e-05-0.000815951j -0.00425069+0.00174303j -1.00475e-05+0.0021474j 0.000238519+0.00224034j -0.00164509+0.00239228j 0.00293817+0.00149919j 0.00305463-0.00278837j -5.26551e-06-0.00392785j -0.00285145-0.00428481j 0.00419066-0.00172998j -0.00217783+0.00268867j 0.00291172+0.00249959j 0.00159412+0.00556584j 0.00554145-0.00145045j 
0.0120923-0.00354912j 0.00363379+0.01222j -0.00672473+0.00103091j -0.000958953-0.00654223j -0.000196161-0.00248898j 0.00151646-0.00184995j -0.00090929+0.0019722j 0.00295331-0.000949909j -0.00265473-0.00317631j -0.00376264+0.00107313j -0.00237808+0.000517616j 0.00174139-0.00372788j 0.000623426-0.000674111j 0.00145625+0.0050799j -0.00153684-0.000927355j 0.00357959-0.00355935j -0.00248224-0.00234416j 0.00125572+0.000198811j 0.00499839-0.0045119j -0.000465534-0.000287551j 0.00433973+0.00104988j 0.00144533+0.00452427j -0.00522088+0.0016144j -0.00512427-0.00232286j -0.00180778+0.00192937j -0.00461363+0.00151069j 5.02761e-06-0.00486879j -0.0022601+0.0012514j -0.00136553-0.00488764j 0.00336739-0.00185643j -0.00166743+0.000842274j 0.000734588+0.00460191j -0.00247628-0.00318796j -0.000284726-6.40701e-05j -0.0042873-0.00214681j -0.00224568-0.0058182j -0.00153638-0.00239488j -0.000484581-0.000484233j -0.0043732-0.000445838j 0.00233003+0.00049817j -0.00251581+0.00252038j 0.00415849-0.0043231j 0.00519356+0.00123035j 0.000479637-0.00128654j 0.00246287-0.003026j 0.00231935-0.00287541j 5.36175e-05-0.000838214j -0.00267288-0.00357363j 0.000420888-0.00283965j -0.00421439+0.0015893j 0.0015964-0.00471395j -0.00441842-0.0035641j 0.000526579-0.00238095j -0.0062442+1.64953e-05j -0.00267372-0.00244433j -0.00376554+0.0042417j 0.00414702+0.00027823j 0.000364229+0.00202619j 0.00258089+0.0075832j -3.74664e-05-6.95917e-05j -0.00385589-0.00109089j 0.0019937+0.00341687j -0.00122001-0.00230925j 0.00392759-0.0045388j -0.00280077-0.000161037j 0.000809718+0.000404909j -0.00019336-0.00137095j 0.00156914+0.00477247j 0.00507026-0.00185758j -0.000775095-0.00173666j -0.000512878-0.000715452j -0.00200521+8.31846e-05j -0.00119242-0.00210643j 0.000386761+0.0084086j 0.00807806+1e-05j 0.00529543-0.0120957j -0.0121554-0.00512154j 
0.0188076+0.00325507j -0.00305191+0.0188582j -0.016853+0.0131341j -0.0127402-0.0172999j 0.014647-0.0010465j -0.00187421+0.0160457j 0.00983901+0.00304072j 3.71844e-05-0.00231189j 0.00238444+0.00359834j 0.00288782-0.00334849j -0.00530571-0.00492258j 0.0137692-0.00379081j -0.00378451+0.0171964j 0.00775901+0.00892623j 0.0125086-0.0016478j 0.015234-0.00492288j -0.000425441+0.00245475j 0.00148262+0.0119257j -0.000108562-0.00595829j -0.00252367+0.00106906j 0.00785889+0.009952j -0.00354349+0.00105833j -0.0114935+0.00309119j -0.006721-0.00448815j -0.00188359-0.00529391j -0.00528317-0.00425267j 0.00400251-0.00491328j -0.00187031+0.0048774j -0.00194445-0.0119254j 0.0056021-0.00200854j -0.00524271+0.00232957j 0.00734657+0.00463556j -0.000225912-0.00334731j 0.00598973-0.00360825j -0.00566173-0.00269731j 0.00217918-0.010723j 0.00269863-0.0118819j -0.00298997+0.0077659j -0.0123831+0.003097j 0.00287712+0.00368231j 0.000434324+0.00156122j 0.011437-0.00469826j 0.000792707+0.00159576j 0.00453425+0.00175083j -0.000657261-0.00765557j 0.00200252-0.00930186j -0.00129565-0.000717947j -0.000202111-0.00582553j -0.00639153-0.00545607j -0.00935299-0.00135813j 0.000537721-0.0083498j -0.00220796-0.0101534j 0.0106338+0.0013158j -0.0113035-0.00719181j -0.00389798-0.00368858j -0.012689+0.000682346j 0.00702578+0.0035578j -0.00157108-0.00567371j 0.00067025+0.00618702j 0.000693364-0.00626938j 0.00165201-0.00131355j -0.00379848+0.00452282j -0.0038433-0.00752433j -0.00804439-0.00611496j -0.00893315+0.00529201j -0.00426113+0.00659061j -0.00189188+0.0136886j -0.00396843+0.00186883j 0.00540371-0.00904054j -0.00798671-0.000551532j 0.00519433-0.00339904j -0.0149603-0.00652122j 0.00137207-0.0137024j 0.0093618+0.0241477j 0.024001-0.00899147j 0.010157-0.010214j -0.010188-0.00988984j 
-0.0115534+0.0130516j -0.0131954-0.0117048j 0.00753927+0.00959888j -0.00991568+0.00697885j 0.0144151-0.000709797j 0.00218984+0.0180234j 0.00435219-0.00550693j -0.00578818+0.00942367j 0.0168464+0.00723521j 0.00995894-0.0098576j 0.000873406-0.00740539j 0.00871426-0.00272951j 0.00985441+0.0171649j 0.00311277-0.0103512j 0.013035-0.00827443j 0.00326303-0.000934219j 0.00937353+0.00344359j 0.00396259+0.00822171j -0.00909926+0.0112688j 0.000211348+0.00100096j -0.00318291+0.00656078j -0.0105599-0.00584484j 0.00268691-0.00149335j 0.00694102+0.000583025j -0.000983347-0.00813626j 0.00238698-0.0079191j 0.00700757+0.00529145j 0.00409994-0.001527j 0.00330346+0.00443896j -0.00200146+0.00386447j -0.000637869+0.000777213j -0.000296086-0.010944j 0.00734382+0.00385561j 0.00458022-0.00614217j 0.00681565+6.48063e-05j 0.00754738+0.00359742j 0.00210775-0.00414195j 0.00431244+0.0083229j 0.00276046+0.0046251j -0.0014757+0.00363132j 0.00339446-0.00714972j 0.00166304+0.00676727j -0.0116334+0.00399628j 0.00392063+0.00278841j -0.00641434+0.00532888j -0.00663428+0.00183175j 0.000606768+0.00234036j 0.00609607+0.00208514j -0.00737239+0.00634897j 0.000438641-0.00620907j -0.00298937+0.00683122j 0.00651193-0.00407133j 0.00907492+0.00351415j 0.00377502-0.00822368j 0.00560125+0.00201332j -0.00524902-0.00730056j -0.00520146+0.00327335j -0.00645088-0.00802155j -0.00890523-0.0106655j -0.00258584-0.00412925j 0.0131112-0.00193565j -0.0101828+0.00135193j -0.00226365-0.000347087j -0.0117884+0.0157006j 0.00400813+0.00728984j -0.000695099+0.00510268j 0.0088901+0.0151329j -0.0116338-0.00315236j -0.0116812+0.000229457j 0.000850135+0.0113625j 0.00821967-0.00942853j -0.014069-0.00102088j -0.00109895-0.00903035j 0.0111127-0.00433611j -0.00396892-0.0116112j 0.00399705+0.0230147j 0.0230955-0.00418273j 
-0.00852515-0.00396188j 0.00392882-0.00847731j -0.00829828-0.00774572j 0.00746627-0.00836271j 0.00752943-0.0110942j 0.0146614+0.00561678j -0.00380977-0.00787371j 0.00105438+0.00903284j 0.00973929+5.59508e-05j 0.0123408-0.00321065j 0.00691068-0.0173893j 0.00594418+0.00720492j 0.00312103+0.0018558j -0.00898294-0.0105428j 0.00150509+0.00117145j -0.00555092-0.00494479j 0.00875728+0.00291583j 0.000311457+0.00937765j -0.0097436+0.00558708j 0.00373193-0.00520931j 0.00116247-0.000337654j 0.00699187-0.00342047j -0.000254908+0.00250745j -0.00587636+0.0063599j 0.0105604-0.000427236j 0.000764984+0.00513021j 4.48866e-05-0.000673538j -0.0072969+0.000292806j 0.00239066+0.00422741j -0.00255491-0.00222566j -0.00103696-2.94161e-05j -0.00290668-0.00299524j 0.00512443-0.00208085j 0.00831485-0.00177494j 0.00529501+0.00423109j -0.004397+0.000151752j 0.00270559+0.00279986j 0.00407941-0.00536133j -0.0040254-0.00452302j 0.00150287-0.00225948j 0.00142329+0.00751973j -0.00277896-0.00116399j -0.00338683-0.00115994j 0.00577235+0.00804462j 0.00163931+0.0053473j -0.00533633-0.000359006j -0.00110608-0.000874326j -0.000716698-0.000121576j 0.000303901-0.00327754j 0.00168427-0.000292327j -0.00437899-0.00131346j -0.00195617+0.0038754j 0.000186959+0.00829417j -0.000212034-0.00156884j -0.00132258-0.00203529j 0.00561132-0.0023822j 0.00505719-0.00745048j 0.00152566-0.00287167j -0.00658311-0.00644116j 0.00412294-0.00988358j 0.0102789-0.00423644j 0.00674623+0.00759449j 0.0102895+0.00791617j -0.00293808+0.00763187j 0.00833908-0.0139254j -0.0117479-0.00420087j -0.00290868+0.0117072j -0.00935767-0.010358j -0.0143123+0.00380612j 0.00220437+0.00689796j -0.00511845-0.00615094j -0.00903602+0.0169442j -0.0150022-0.00754631j -0.0101496+0.00525108j 0.00475122+0.0098928j -0.00757671+0.00302065j 0.00297187+0.0075547j 
-0.000608159+0.00832446j -0.0084113-0.00068485j 0.0161701+0.00593439j -0.00589028+0.0161548j -0.000710717+0.0126291j -0.014101+0.00347434j 0.00627436+0.00331122j -0.00622707-0.00433486j -0.00234386+0.00532421j -0.00701348+0.0024292j -0.000174967+0.0153421j -0.00583135-0.00495676j 0.000868192+0.00273562j 0.0101926+0.00189159j 0.00134782-0.00320681j 0.00555061+0.0044038j -0.00445593+0.000689797j -0.00210017-0.00675981j 0.00397942-0.00124108j -0.0010965+0.00557992j -0.00392277+0.00208294j -0.00959699+0.00262538j 0.0027806-0.00438629j 0.00793923-0.00692479j -0.00908397+0.000650333j -0.000157105-0.007657j 0.00214676+0.00369691j 0.00824508-0.00430972j -0.000679308+0.000793469j 0.00108431+0.00377367j 0.00164711-0.000463934j 0.00125475-0.00298697j -0.000639495+0.00531857j -0.00601351+0.00200958j -0.00153203-0.00243114j 0.00753945+0.00221533j -0.00237922-0.0013353j -0.000151391+0.00793049j 0.00830438+0.00354174j -0.0020546+0.00358408j -0.00202357-0.00983284j 0.00166877+0.00458999j -0.00170788+0.00164282j -0.00642257-0.00482333j -0.00475462-0.000864736j 0.00204901+0.00140582j 0.00196246+0.00160853j 0.0038105+0.00172388j -0.000755192+0.00675595j 0.000246156-0.00201356j 0.00351021+0.00427334j 0.00488132-0.00383883j -0.000474237-0.00577511j 0.00465534-0.00111723j 0.00500411+0.0025771j -0.00485271-0.000532034j -0.00642016+0.00905081j -0.00278173+0.000621681j 0.00329642-0.00145505j -0.00217868+0.00946363j -0.00310901+0.00575174j -0.011823-0.00580116j -0.0112726-0.00309131j -0.00300041+0.000494354j -0.00110071+0.0168463j 0.0127707+0.00182234j 0.002992-0.00757989j 0.00691399+0.0047434j 0.00585199-0.00569662j -0.00226988-0.000892436j 0.0087328+0.000886145j 0.00013819-0.0172941j 0.0153032+0.000998996j 0.00921045-0.0141187j -0.0134689-0.00933816j 0.00843634+0.00542345j 0.00547556-0.00852763j 
-0.00497531+0.00383889j -0.00391444-0.00498974j 0.00115041-0.000986196j 0.000870972+0.00112223j -0.000426855+0.00189325j -0.00141926-0.000137248j 0.000141287-0.000145713j -0.00105779-0.000506743j -0.000500305+0.00125208j 0.00106001+6.9541e-05j 0.000275377-0.000268277j 0.000155021-0.000114211j 0.000947822-0.000164959j -2.29387e-05-0.000394436j -0.000272685+0.000235459j -0.00056364+0.000361611j 0.00132657-0.00010467j -0.000215887-0.000386178j -0.000183809+0.00104395j -6.32261e-06+0.000457389j -0.00124255+0.00177914j -0.00196041-0.000463723j 0.000930959-0.000634559j 0.00171356+0.000279958j -0.000219914-0.0012632j -0.000756138-0.00105684j 0.00143186+0.000683466j -0.000223262-0.000297108j 0.00237949+0.000691992j 0.000323896+0.00110178j -0.000497224+0.00070708j 0.000153413-0.00119395j 0.000679174+0.000125913j 0.000477262-0.000768046j 0.000146942-1.25005e-05j 0.00162358+0.000495413j 0.00155907-0.000384454j 0.000614056+0.00014758j 0.000367212-0.00119966j -0.000136383+0.000358411j 0.000559749-0.00130276j 0.000933732+0.00166269j 7.09652e-07-4.90182e-05j 0.0001284+1.30942e-05j 0.000707173+0.000479806j 0.000322146+0.00142864j 0.000196132+0.000469882j 0.000634517-1.76875e-05j 0.000396009+0.00118979j 1.1525e-05-0.00103097j 0.000459534+0.000620037j 0.00123709-0.00159553j 0.00151652+0.00107866j -0.000421085-0.00224198j 0.000240019-0.000998939j -0.000171966-0.00117545j -0.0010989+0.000654089j 0.00072019-0.000122169j -0.00133532+0.000846178j 0.000507343+0.000631192j 0.000273498-0.00100001j -0.00116296+0.00124939j 0.000132255-0.000409921j 0.00129369-6.61771e-05j 0.000984614-0.00087859j -0.000188671-0.000418554j -0.000566672-0.000763324j -0.000110816+9.01978e-06j 0.00116466-0.00128421j -0.002674+0.000560407j 0.00111598+0.00171551j -0.000606343+0.000244545j -0.00101747-0.00147428j 0.00159543+0.00269357j 0.00231766-0.00182407j 0.00235126-0.00341011j -0.00347042-0.00241788j 
0.00187649+0.00543036j -0.00524995+0.00174116j -0.00414474-0.00119197j 0.00158841-0.00439531j 0.000862894-2.1685e-06j 0.000216683+0.00204907j 0.00445643-0.001019j -0.000222025-0.00405882j -0.00237666-0.00108997j -0.000839831+0.000497605j -0.00256733+0.000336398j -0.000494809+0.000661335j -0.00220703-4.22743e-05j -0.000511578+0.00277765j -0.000258803+0.000303701j 0.0017212-0.00139118j -0.00120016-0.00100152j 9.10174e-05+0.000926691j 0.000555392-0.00225955j -0.000368943+0.00135755j 0.00585627+0.00173611j -0.000734699+0.00119782j -0.000951594+0.000933059j -0.00196654-0.00169867j -0.00111755-0.00038972j -0.00299296+0.000923709j -0.00120837-0.0024133j -0.000367402+0.00231182j -0.0012001-0.00520208j 0.00100144-0.000728676j 0.000528043+0.00122156j 0.00177618+0.000357329j -0.000139293-0.000629564j -0.00120241-0.000788735j -0.00136975+0.000255823j -0.000977833-0.00292926j -0.000641065-0.00296712j 6.52368e-05+0.000499536j -0.00261527+0.00168301j 0.000801549-0.000252857j -0.000505468+0.000609872j 0.00193151-0.00326545j 1.08912e-05+0.000542152j 0.000663383+0.000246989j -0.00111691-0.00137524j 0.00254246-0.00147627j -0.00011726-0.000917566j -0.000829019-0.00163794j 0.00122535+0.00095452j -0.00077698+0.00186101j -0.000415363-0.0020835j -0.00136432-0.000279835j 0.00135819-0.00254387j -0.00336178+0.000928899j -0.00191052-0.000728644j -0.00167126+0.00164413j 0.000834349+0.0010766j -0.00127749-0.00120872j 0.000374715+0.000768633j 0.000978405+0.000358647j -0.001202-0.00115236j 0.00124636-0.000218441j -0.00104943+0.00158307j -0.00107956-0.00104592j 0.000544923-0.00119406j -0.0023327-0.000876836j -0.000371379+7.4963e-05j 0.00196544-0.00192085j -0.00134046-0.00063983j -0.00109387+4.32116e-06j -0.000779462+0.00238465j 0.0019958+0.00117821j -0.00118336+0.00118577j -1.80311e-05-0.000986581j -0.000719495-0.000107154j 0.00144236-0.00205133j -0.00187362-0.00148095j 
