0.0265789+0.0279399j 0.0280629-0.026693j 0.0166417+0.0124999j -0.0123321+0.0172644j 0.00715716+0.0043578j -0.00134335+0.0020572j 0.00186142+0.00069932j -0.000293314+0.00630554j 0.00290274-0.00192767j -0.00106612+0.00103763j -0.000881279+0.0019923j 0.00192724+0.00204668j 0.000960057+0.00121312j -0.00181522+0.0028262j 0.00454325-0.00160699j 0.000794186-0.00146801j 0.00210016+0.000986177j -0.00214662-0.00018741j -0.00236969-0.00447021j -0.00248408+0.00145261j 0.00184241-0.000978605j -0.000160803+0.00271822j -0.000941384-0.00503515j -0.00625845+0.00398007j 0.00631296+0.00477674j -0.000749581-0.00480416j -0.00239746+0.0179062j -0.0189598-0.000627656j -0.0242975+0.026318j -0.0262991-0.0245401j 0.00784445+0.0135886j -0.0131608+0.00834125j -0.0182767+0.0379166j 0.0419253+0.0173902j -0.00259057-0.0329094j 0.0274844-0.017127j 0.0213713-0.00144437j 0.0287925+0.00579791j -0.0264233-0.0129971j -0.00739062-0.015131j 0.0121534+0.0202094j -0.00407973+0.0194895j 0.000749675+0.0128236j -0.00665666-0.00022298j 0.00685481+0.013326j -0.00392734-0.0122709j 0.00400292+0.0233047j -0.00487056-0.0175821j -0.00180992+0.00652827j 0.000544164-0.00135705j 0.000149156-9.07819e-05j -0.0208783-0.000538967j -3.76731e-05-0.000809105j 0.00200204+0.00746309j 0.00752006-0.0203893j -0.0090472+0.0166279j 0.00978979-0.0155321j -0.0091909+0.00875871j 0.00335568+0.00567419j -0.00503401+0.00953107j 0.000905466-0.018444j -0.0161731+0.0173548j 0.00294583-0.0118973j -0.0308647+0.00953733j 0.0321619+0.00957798j -0.0161254-0.0112125j 0.0168568+0.0238878j 0.0224174-0.0307325j 0.049511+0.0289578j 0.0263319-0.0456352j 0.0499784+0.0297938j -0.0296558+0.0496746j 
-8.38757e-05+0.0280652j 0.0282684+8.9394e-05j -0.00750885+0.0274294j -0.0308084-0.00893794j -0.00997657+0.0210751j -0.0164968+0.000423432j -0.00986675-0.00563541j -0.0171619-0.0107706j 0.00942102+0.00989496j -0.00562984+0.0068275j 0.00357421+0.0138935j 0.00704502-0.00799751j -0.000651843-0.00219877j 0.000773006-0.00692331j 0.00216007+0.0162949j -0.00189781-0.0104215j 0.00165212-0.00227217j -0.00604277+0.00590041j -0.0112415-0.00559959j 5.41156e-05+0.0131194j 0.00101034-0.00218812j 0.0129294-0.0102214j 0.0044395-0.0125886j 0.00114623+0.00953902j 0.0180744-0.0138922j -0.0205075-0.00120123j 0.025699+0.0121179j -0.00534517+0.0239798j 0.0265895+0.00450743j -0.0043733+0.0263274j 0.0163866+0.0240836j -0.0238411+0.0161787j 0.00539422+0.00521592j 0.00621483-0.00617688j -0.00624612-0.00513532j 0.00187506-0.00660421j 0.00210775-0.00461243j 0.00790692-0.00479366j -0.00836646-0.000171946j -0.0037431-0.00248233j 0.00461866+0.0026266j 0.00269867+0.00377214j 0.00277403+0.00295296j -0.000952379+0.000996805j 0.00362135+0.00361486j -0.00235379-0.00353954j 0.00416102+0.00663723j -0.00245575-0.00348203j 0.000179441+0.00179524j -0.000411172+0.000342107j -9.00521e-06-5.73453e-05j -0.00354624+0.00141269j 0.000502395+9.29464e-05j 0.00100552+0.00180015j 0.000476351-0.00556116j -0.00151548+0.00619074j 0.00164504-0.00572987j -0.00214351+0.00386775j 0.000659004+0.00199954j -0.00165444+0.00334321j 0.00077583-0.00455558j -0.00332858+0.00485427j 0.000376772-0.00295936j -0.00811091+0.00450196j 0.00993869+0.00202015j -0.00409529-0.00355371j 0.00427571+0.00570912j 0.00588245-0.00825902j 0.0130732+0.00842442j 0.00783862-0.0119887j 0.0115545+0.009778j -0.00978518+0.0114627j 
0.00374425-0.00793409j -0.00814041-0.0039502j -0.00234352-0.00224989j 0.00279712-0.00218808j -0.00209704-0.000855036j 0.000496842+5.06236e-05j -0.00151682+0.00120102j 0.000354843-0.00278984j -0.00125173+0.000548028j 0.00114586+0.00044665j 0.000419035-0.000777532j -1.69726e-05-0.000263633j 0.000478155+0.000415804j 0.000958021-0.000333597j -0.00229683-0.000374998j -0.000485748+0.000948886j -0.000880416-7.57167e-05j -0.000930378+0.000458523j 9.32547e-05+0.00130637j 0.00153392-0.000482632j -0.000342072-0.000146292j 0.00150784+0.000571285j -0.000431074+0.00289209j 0.00273302+0.00047168j -0.0016159-0.000537786j 0.000522277-0.00083564j 0.000594443-0.00285321j 0.00245844+0.00215212j 0.00686442+0.000847254j -0.00143346+0.00667176j -9.19436e-06-0.00285632j 0.00287209+0.00015861j 0.00308111-0.00537615j -0.00546182-0.00216737j 0.00199963+0.00429296j -0.00635183+0.00231542j -0.000334742-0.000925915j -0.00340103+0.00578249j 0.00838868+6.93796e-05j 0.00213944+0.000354398j -0.00308999-0.00304743j -0.000461026+0.00231962j -0.00255728-0.00086594j -0.000564477+0.00247864j -0.00480368-0.00150403j 0.00396816+0.00321219j -0.00501314-0.00294897j 0.0012331+0.00384054j -0.000121382-0.000616312j -0.001737-0.000292734j -0.000573375+0.00158931j -0.000637146+0.00459803j -0.000682445+0.000481016j 0.000516979-0.00232614j 0.00101456+0.00191474j -0.00270914-0.00532385j 0.00324621+0.00527804j -0.000985451-0.00444456j 0.00103384-0.00289522j -5.05289e-05-0.00401806j -0.0036587+0.00522995j -0.000279566-0.00217817j -0.00141444+0.00129356j 0.0014727-0.00671092j -0.00921954+0.00181632j 0.000380565+0.00433011j 0.000815227+0.000265402j -0.00278985+0.00400437j -0.00535334-0.00371754j -0.00379673+0.0045415j 0.00616414+0.00773379j -0.00741608+0.00603599j 
0.00436732+0.0173534j 0.0172738-0.00427001j 0.00461152-0.00397311j 0.00556062+0.00357648j 0.00148878-0.00694989j 0.00363966+0.00114981j -0.0013845-0.00259259j 0.00818971-0.00418913j -0.00509759-0.000104816j 0.000497735+0.00361477j -0.00310432-0.00152262j 0.000904779-0.000609219j -2.2938e-05+0.00294946j 0.00262086-0.000139181j -0.00606763-0.00250342j 0.00125987+0.00179328j -0.00111521+0.000113055j -0.00446291-7.19417e-07j 0.000466171+0.00194908j -0.00104541-0.00319113j 0.00201196+0.000476882j 0.00464225+0.00392313j 0.00386618+0.00524423j 0.000640329-0.00202528j 0.000785725+0.00647207j -0.00068793-0.00727811j -0.00873161+0.00970862j -0.00689109-0.00632623j -0.0114228-0.00527068j 0.00557723-0.0104609j 0.0136749+0.00697807j -0.00657382+0.0140318j -0.00343172+0.00392044j 0.00402565+0.00112556j -0.00825542-0.00293278j 0.00492847-0.00647347j -0.00545395+0.00753071j -0.00924023-0.0154483j -0.0128887+0.0131343j -0.000249237+0.0024464j 0.00409853+0.000226138j -0.00427969-0.0081749j 0.00672108-0.00460316j -0.00144672-0.00796377j 0.0108166-0.00666271j -0.0113811+0.00127276j 0.0125758-0.00391132j -0.0020494-0.00332796j 0.00191731-0.000770912j 0.00371932-0.00260976j -1.23547e-05-0.00505732j 0.00194293-0.00867808j 0.000177607+0.00113387j 0.000872241+0.00267338j -0.00245585-0.000933065j 0.0112776+0.0044865j -0.0142976-0.00424523j 0.00889779+0.00817187j -0.000953177+0.00772783j 0.00848345+0.00691653j 0.0043612-0.0100064j 0.00206645+0.00298536j 0.00586629+0.00213602j 0.0104566+0.0156906j 0.0146244-0.0189861j -0.00862576-0.00803824j -0.00333141-0.00582792j -0.00909031-0.00182413j -0.000595775-0.00673534j -0.00491867+0.00168187j -0.0326121+0.0144631j -0.0147191-0.0328561j 
0.0186397-0.0147735j -0.01475-0.0185937j 0.00135623-0.00490633j 0.00500791-0.00121609j -0.0062007-0.0075428j 0.0086705+0.00264546j -0.0130553+0.00358167j 0.00340797-0.0232962j -0.0128054+0.00637234j 0.00834205+0.00660547j -0.00142995-0.00309174j 3.55474e-05-0.00736178j 0.00241341+0.00293034j 0.0098321-0.00687626j -0.0218986-0.000627282j 0.000618855+0.002736j -0.00485588-0.00363792j -0.00603035+0.00554665j 0.00387065+0.0086634j 0.0011653-0.00516003j -0.000171903+0.000112739j 0.0146943+0.00382374j 0.00757939+0.0220017j 0.0132521-0.00404613j -0.000639278+0.00576632j 0.0014984-0.0159072j -0.0149729+0.00137605j 0.00105633-0.00859447j 0.0158926-0.0108799j 0.0108945+0.0164776j 0.018323+0.0119917j -0.0119907+0.0185422j -0.00798925-0.00719897j -0.00663024+0.00806886j 0.00553433-0.0013947j 0.00234286+0.00640629j -0.00313765-0.000392447j 0.00441655+0.00119159j 0.0011644-0.00771181j -0.000532352-0.000456123j -0.00308397+0.00245161j 0.00221711-8.26597e-05j -0.00192726+0.00182907j 0.00361172+0.00171272j -0.00247207+0.00415428j 0.00331573-0.00309919j -0.00353315+0.00297298j 0.0031073+0.000336447j -0.000198068+0.000963618j 0.000293815+0.00227561j 0.00112357+0.0018159j 0.00225877+0.00321869j 5.15714e-05-0.00131797j -0.0010012-0.00143816j 0.00230592+4.45194e-05j -0.00440664+0.000613518j 0.00553223-0.000331156j -0.00439234-0.00112907j -0.000517226-0.00319409j -0.0043022-0.000292111j 0.0012244+0.00381595j -0.00252727-0.0018231j -0.0022673+0.000740848j -0.00555149-0.00443211j -0.00258336+0.00803274j 0.00254679+0.00117448j 0.000868357+0.00280077j 0.00434794+0.000755615j 0.000430391+0.00337784j 0.00264658-0.00049468j 0.0091622-0.00213138j 0.0021971+0.00907086j 
-0.00722996+0.00341878j 0.00352314+0.00694996j -0.000534193-0.000633675j 0.00103215+0.00126399j 0.00163587-0.000699344j -0.00122004-0.000964027j 0.002247-0.000195592j 0.00117935+0.00320248j 0.001013-0.000405748j -0.000588976-0.000215176j -0.000336277-0.000497069j -0.000449541+0.00210153j -0.000362041+0.000754837j -0.00160914+0.00166175j 0.00222321+0.000450307j -2.01102e-05+0.000735372j -0.000471006+0.00174197j -0.00130626-0.00192257j 0.000698977-0.00176546j 0.00116483-0.000823803j 0.000542621+0.000995154j -0.00132668+0.000675135j 0.00138463-0.000854443j -0.00125308-0.000327564j -0.00230287+0.00100071j 0.000297166-0.000509877j -0.0038396+0.000210414j -0.00113092-0.00275643j -0.000461194-0.00434342j 0.00396957-0.000554445j 0.00129502+0.00025128j -0.000462247+0.00168651j 0.000550476+4.87979e-05j 0.000484369-0.000504857j -0.000787315-0.00246487j 0.00150654-0.0018295j -0.00391283-2.267e-05j -0.0012234-0.00734976j -0.00628376+0.0022724j 0.000750958+0.00118525j 0.000634516-0.00137743j -0.000404878-0.00377587j 0.003257-0.000449268j -0.00102535-0.0018463j 0.00521346-0.000194458j -0.00310681-0.00151356j 0.0045926+0.00111905j 0.000214457+0.000924152j 0.000372984-0.00163226j 0.000116286+0.000142292j 0.00160146-0.00212662j 0.000972399-0.00225206j -0.000245896+0.00262833j 0.000141984-0.000117242j -0.00192413+0.00133891j 0.00121256+0.00126524j -0.00244623-0.00339507j 0.000270563+0.0035898j -0.00194926+0.00322236j 0.00192789+0.00208564j 0.00125387-5.17666e-05j 0.0018316+0.00084973j 0.000777363+0.00272922j -0.000538301+0.00529358j 0.00665079-0.000140426j 0.00286635-0.0040978j 0.000990918-0.00405229j -0.00542802-0.00352268j -0.00405137-0.00699683j -0.00667556+0.00444064j -0.00669062+0.00401139j -0.00375809-0.0064896j 
0.00109352-0.0100494j -0.0106113-0.00104819j -0.00102376+0.000852393j -0.000322229-0.00160947j -0.000666298+0.00328401j 4.26275e-05-8.17785e-06j 0.00167672+0.00274122j -0.0031533+0.00200295j 0.00147109-0.000189552j -0.00120865-0.00120822j 0.000877562-0.00137206j -0.000504417-0.000370362j -0.000769151-0.000656061j -0.00110216-0.00114428j 0.000548298+0.000904499j -0.00136194+0.00121631j -0.00103105+9.06248e-05j 0.00126766-0.00057148j -0.00125147+0.0012661j 0.00173213+0.000552464j -0.000859779-0.000144219j 8.20182e-05-0.000593601j -0.00114293-0.000156212j 0.00185665+0.000113437j -0.00146202-0.00231657j -0.000521783+0.00168378j 0.00462249-0.00378186j 0.00462838+0.00530522j 0.00431973+0.0034742j -0.00455485+0.0046993j -0.00466803-0.00368155j 0.00395785-0.00456645j -0.000762421-0.00369563j -0.00221289+0.00170949j 0.00417085+0.000621844j -0.00349003+0.00420847j 0.00267549-0.0028944j 0.00717029+0.00909724j 0.00520459-0.00803944j 0.000462781-0.000572445j -0.000738202+0.00154256j 0.00415545+0.0045485j -0.00251148+0.00400925j 0.00453307-0.00100107j -0.00461077+0.00393111j 0.00413174+0.0012506j -0.00650119+0.00309627j 0.00220904-0.000909151j 0.00162812+0.00154499j 0.00126557-0.00101272j 0.00140231+0.00489939j 0.00528925+0.00618187j -0.00404639-0.00191406j -0.00194618-0.00086501j 0.00443118-0.0044561j -0.00437889+0.000294724j 0.00490339-0.000669554j -0.00339227-0.00148892j -0.00349046-0.00731915j -0.00183229+0.00115931j 0.000376319+0.00621652j -0.00625449+0.00181191j -0.00181334+0.00436579j -0.00507084-0.00300345j -0.00426992+0.00503866j -0.00228707+0.00581658j 0.00568026+0.00165963j 0.00150804+0.00151863j 0.00454566-0.00434163j -0.00513746-0.00447929j -0.00286802+0.00031517j -0.000347304-0.0037402j 
0.00195173+0.00808146j 0.00841734-0.00190212j 0.00240908-0.00453797j 0.00362204+0.00178921j -0.00119557-0.00412995j 0.00147862-0.000214637j -0.00409036+0.000123621j -0.00153865-0.0066144j -0.00219285+0.00230334j 0.00609354-0.0042195j 0.00173682+0.00362145j -0.0012473-0.00205292j 0.00445292-0.000864961j 0.00122683-0.00204843j -0.00388608+0.00190281j 0.00201519-0.00342584j 0.000717704-0.00156746j 0.00667562+0.00494908j 0.00366386+0.00292513j -0.00516237+0.00051651j -0.000993205-0.00270925j 0.000869995-0.00486653j 0.00367633+0.00224294j 3.91301e-05-0.00606178j 0.00239731+5.19006e-05j -0.0016578+0.00160133j 0.00241626-0.00268657j 0.00403329-0.000926138j -0.00798329-0.00575403j 0.00711459-0.00864973j -0.0040858+0.00911059j -0.00921788-0.00457006j 0.00441173+0.00673993j 0.00615172-0.0046641j -0.00260151-0.00203763j -0.000502744-1.94247e-05j -0.00264187-0.00242335j 0.00100192-0.00276048j 0.000969229+0.00438009j -0.00162481-0.00446938j -0.00359105-0.00218419j -0.00242211+0.00281202j 0.00142524-0.00301215j -0.00560195+0.00632749j 0.000703187-0.00168707j 0.000328339-0.000500904j 0.00101976-0.00304185j -0.00151505+0.00410245j -0.00310484+0.00105407j -0.00467562+0.00134342j -0.0027598+0.000935523j -0.00834941-0.00267897j 0.00555463+0.00084379j 0.00360672+0.00126236j -0.00279702+0.00387853j 0.00188466-0.00100507j -0.000143208+0.000657759j 0.00251181-0.00314246j 0.00602021+0.00685683j -0.00314379-0.00332573j -0.00117581-0.00387684j 0.00460638-0.00145381j 0.000920489-0.0083135j 0.00172325-0.0030723j -0.00615777-6.20305e-05j 1.35398e-05+0.00421535j -0.000375874+0.00412458j 0.00632447+0.0018364j -0.00447868+0.0101672j 0.00957289+0.00361729j 0.00251666-0.0150797j 0.0149089+0.0029214j 
0.00437378+0.00501812j 0.00510291-0.0043179j -0.000770828+0.00155658j -0.00211126-0.00143167j -0.00215625-0.000941633j 0.00234252-0.00116046j -0.00125692+0.0023671j -0.0016908-0.00348679j -0.000613348+0.000921537j 0.00280163-0.00172474j 0.000967536+0.0012997j 0.000431361-0.000417843j 0.00262384-0.000482169j -5.4948e-05-0.00131563j -0.00109405+0.000654496j 0.000298771-0.00161619j 0.000239591-0.00110588j 0.0028298+0.0030083j 0.00176775+0.000143913j -0.00204217+0.000708222j -0.000616761-0.00209398j 0.00115466-0.00229656j 0.000953342+0.000696245j 0.000738512-0.00132082j 0.00269105-0.000311673j -0.000453442-0.000404484j 0.00144122-0.00165039j 0.00202186+0.000399334j -0.00551566+3.68775e-05j 0.000282395-0.00570734j -0.00243346+0.00287546j -0.0028916-0.00257261j -0.00373474+0.00290817j 0.00320097+0.00413612j 0.00301211-0.000347709j -0.00328759+0.00134988j 0.00222795-0.00585543j 0.00601148+0.00355957j 0.00230723+0.000341999j -0.00261922-0.00217866j -0.000983792-0.000890782j 0.000420988+0.00118411j -0.0003967-0.00238128j 0.000162545+0.00319299j 0.000943809+0.00335682j 0.000205789+0.0018698j 0.00238127-0.000212687j -0.00120856-0.000831657j -0.00118087+0.00136498j -0.000903574+0.00175633j -0.002827+0.00451711j 0.00036646-0.0013215j 0.00148381-0.00116269j 0.000738243-0.00117138j -0.000276979-0.00177285j -0.000766309+0.00364152j 0.000954699-0.00112614j 0.00356055-0.000648002j 0.00277467-0.000375047j -0.00239009+0.000529247j 0.000856197-0.000383136j -0.00194518-0.000136987j -0.00213016-0.00292452j -0.00180078-0.00141015j -0.00452492-0.00270835j -0.00581455+0.00236973j -0.00116559+0.0054512j 0.00198148+0.00286411j -0.00144636-0.00486012j -0.00474852+0.000990866j -0.000876574-0.00479062j 0.00463543-0.000935385j 
0.00143355-0.0031592j -0.00319436-0.00147526j 0.00802098+0.00386054j -0.00365284+0.00893035j 0.00365119+0.00366438j -0.00436844-0.00611798j 0.0113264-0.00322616j 0.00177053+0.00754361j 1.29185e-05-0.000787562j -0.00551436-0.000426841j -0.00238593-0.000176967j 5.74209e-05-0.00234625j -0.00412743-0.00140637j 0.000200812+0.00467082j -6.54624e-05+0.000338245j 0.000559018+0.00346304j -0.000898551+0.00357758j -0.0039332-0.00691753j -0.0053862+0.000256811j 0.00143222-0.00119561j -0.000372836+0.0053604j -0.00204184+0.00578669j 0.00232652-0.00346349j -0.00624846+0.000907732j -0.00503854+0.00259515j -0.0018922+0.00174653j 0.00234268+0.0106253j -0.00963755+0.00307166j 0.0028301+0.00338301j -0.00362157+0.00348023j 0.00867357+0.00232944j -0.00214537+0.00912365j -0.0133531+0.00444629j 0.00493998+0.0134557j 0.00803757-0.000545597j -0.00533505+0.00476819j 0.00203202-0.0110149j 0.0104336+0.00493719j 0.00436445-0.000875058j -0.00420288+0.000106796j -0.000722615-0.00140715j -0.00026696+0.000210911j -0.00312923-0.00370891j 0.00300944+0.00392591j 0.00348508+0.00597481j 0.00125434+0.00250685j 0.00552046-0.00269229j -0.00340904-0.000535413j -0.000864157+0.00262732j 0.000387044+0.00338513j -0.00218207+0.00853865j 0.00204169-0.00314922j 0.000220139-0.00305934j -0.000234119-0.00256423j -0.00216987-0.00273416j 0.00214198+0.00652407j 0.00241849-0.00263087j 0.00636141-0.00168654j 0.00411947-0.00306274j -0.00449919+0.00373065j 0.00147185-0.000819154j -0.00411667+0.000764755j -0.00519636-0.00288362j -0.00434888-0.000450529j -0.00914307-0.00366833j -0.0105945+0.0102461j 0.0053882+0.0112512j 0.00271712+0.00281953j -0.0143915-0.00860775j -0.00825748+0.0137393j -0.00401375-0.000274264j 0.00026177-0.00393421j 
-0.00217541+0.00213287j 0.00211885+0.00205595j 0.00582007-0.00791499j 0.00815896+0.00615837j 0.00203205-0.00174622j -0.00377028-0.000731548j 0.00138982-0.00363717j -0.00053599-0.000152942j -0.00114952+0.00203572j 0.00057209-0.0053124j 0.000866369+0.00234971j -0.00276539-0.00310407j 0.00032509-0.00210765j 0.001167+0.000638215j -0.00379345+0.00337743j 0.0021165-0.000394311j -0.000192013+0.00142125j 0.00514124-0.00172977j 0.000397916+0.00384632j -0.00342444-0.00051183j -0.00142266+0.0018491j -0.00157374-0.00147066j 0.00617188+0.000619296j -0.00348825-0.00809498j -0.00452641+0.000938227j -0.00386979+0.00420863j 0.00291519+0.00230211j 0.000138619+0.000835058j -0.00368493-0.00533365j 0.00596982-0.00392583j -0.000883255+0.0121354j -0.0120697-0.00100357j 0.00591153+0.000220711j -0.00030151-0.00624127j -0.00455836+0.000516806j -7.47018e-05-0.00244938j -0.00175903+0.00398359j -0.00640963-0.00186534j 0.000869975+0.00546907j 0.00106329-0.00442103j -0.00417231-0.00175644j -0.00270961+0.00271858j 0.00268307-0.00218658j -0.00634554+0.00519688j -0.00164802-0.00417809j -0.000920833-0.000787702j -0.00180876-0.00185406j 0.00171167+0.00441271j -0.0029691-0.000533074j -0.00469897+0.000180147j -0.0024119-0.00276199j -0.00825011+0.000728076j 0.0051474+0.00187669j 0.00353034+0.00144495j -0.00054291+0.00527353j -0.000470646-0.0046941j -0.000115546+0.0017959j -0.00101975-0.00148824j 0.00446127+0.00754096j -0.0013517-0.00506539j -0.00237269-0.00148158j 0.00516682-0.00263095j 0.00286346-0.0050824j 0.00285977-0.00363253j -0.00115233+0.00254938j 0.00477778-0.00168954j -0.00215429-0.00120805j 0.00370258+0.000230438j 0.00283943+0.0122934j 0.0111629-0.00325601j 0.00434721-0.0102471j 0.0103208+0.00450958j 
