-0.251318+0.165485j 0.134347+0.260012j 0.00211814+0.0683004j 0.0292547+0.017731j 0.101343+0.116346j 0.0996636+0.0467623j -0.179744+0.083481j -0.122715-0.198299j 0.0959627+0.0198727j 0.0143412+0.168722j 0.0732099+0.0646783j -0.0835204-0.153189j 0.00796997+0.025624j 0.00441335-0.0893002j 0.0769333-0.0338715j 0.0443896+0.0503603j 0.00101647+0.0253587j 0.0564739-0.200899j 0.0770509-0.0984041j 0.0216949+0.131922j -0.0271011-0.0536148j -0.0982735+0.18921j -0.167488-0.0147895j 0.129654-0.0253769j -0.0885994+0.132327j 0.0995154-0.0601601j -0.122184-0.016805j 0.242273-0.210187j -0.211706-0.298472j 0.0745645-0.174362j -0.154034-0.0567613j 0.0430894-0.0235775j 0.0190785+0.0304445j -0.00709406+0.0345138j -0.0541776-0.000752198j -0.0113185+0.0163106j 0.00458115+0.0479004j -0.0314483+0.00681528j -0.0202065+0.0114543j -0.010565-0.00444568j -0.0168815-0.0221314j 0.00384832-0.0100139j -0.00798599+0.00394219j 0.00692701-0.0120128j -0.0107287-0.0185591j -0.0269099+0.000499516j -0.00321395-0.00218619j -0.00709367-0.00937954j -0.00954929+0.00231312j -0.0340458+0.00378732j 0.00629242-0.00650041j -0.00123774+0.00636372j 0.000817782+0.0151715j -0.000654122+0.00439304j 0.00785526+0.00532578j -0.00885522+0.0076259j -0.0133423+0.00518464j 0.0223767+0.0143244j -0.0176549-0.0159121j 0.0103979-0.0148237j 0.0116896-0.000897076j 0.0352633+0.0202094j -0.00404116+0.0179656j 0.00490404+0.01243j -0.000165876-0.00276216j -0.00332454-0.00891178j 0.00588971+0.0115368j -0.0387192+0.00508672j -0.00652494-0.0481651j 
0.12168-0.116617j -0.0916452-0.120145j -0.0576352+0.0630012j 0.0733361+0.0592768j -0.0375059+0.0184132j 0.0131163+0.0361457j -0.0314611+0.00129124j 0.00211567-0.00168189j 0.0222737+0.0339084j 0.0137789+0.0156533j -0.0186498+0.0150584j -0.0165417-0.0180837j -0.0082705+0.0368294j -0.00222834-0.000572715j -0.0126434-0.00967894j 0.00292893-0.00931315j 0.0193327+0.0041401j 0.0141562-0.0309834j 0.00704314-0.0193941j -0.0135748-0.0126617j -0.0251385-0.00690187j -0.00408622+0.0100523j -0.0231708+0.0207243j -0.00892077-0.00638848j 0.00895442+0.00652075j 0.0252569-0.0212209j -0.00735802+0.00158325j -0.00414066-0.0444283j -0.0638031-0.0151227j 0.111041-0.222399j -0.181557-0.123528j -0.15567+0.0987288j -0.135707-0.102799j 0.180203-0.0186769j 0.0223922+0.157101j -0.0252121+0.0891632j 0.151397-0.0317714j 0.0426391+0.102789j 0.000775262-0.0656893j 0.14286-0.00194282j 0.0420728+0.0746568j 0.0683148-0.00144514j 0.0397754+0.10932j -0.000403836+0.152045j -0.024397+0.0891875j -0.026785-0.0813556j -0.00509637+0.0455219j 0.058213-0.0190073j 0.0250797+0.0713221j 0.151225-0.0550873j 0.0598214+0.0611876j -0.00503256-0.0913288j -0.00380951+0.044574j 0.0507494+0.00164107j 0.0575309-0.211152j -0.00365285-0.0405794j 0.0329514-0.0581766j 0.00480347-0.0281356j 0.203646+0.0162555j -0.127492+0.0761431j -0.0034964-0.0525147j -0.00607497-0.0145355j -0.164027+0.00412715j 0.0191831+0.0793442j -0.070541+0.0351638j -0.0315181-0.194692j 0.235015-0.0710281j 0.214907-0.153355j 0.1174+0.266755j 
0.0168466+0.090372j 0.0746989+0.00457403j 0.076806+0.0528704j 0.0545772-0.0654996j -0.0291104+0.0185901j -0.0137459+0.0771754j -0.0529008-0.0244261j 0.0194458+0.00218508j -0.0300852+0.00557215j -0.0247178-0.00766537j 0.00744695-0.00727717j -0.0212828+0.0133345j -0.024989-0.00189026j 0.0204037+0.00351783j 0.00259093+0.00597421j -0.0123633-0.000165963j 0.0104403+0.0219394j -0.00705938-0.00581532j 0.00269969+0.0210856j -0.00763039-0.00598258j -0.00334741-0.0053485j -0.00464048-0.0167938j 0.0136241-0.0118278j -0.0164388+0.0150957j 0.00805063-0.0303867j -0.0309876+0.0217457j 0.0260522+0.0139868j 0.0174666+0.00125672j 0.00791679-0.0189063j 0.0653253+0.13923j 0.111772-0.0295865j 0.128262+0.200626j -0.21181+0.103327j 0.0693758-0.0858366j -0.00357511+0.226169j 0.168476+0.0630375j 0.149574-0.0149382j -0.132191+0.0204886j 0.065289+0.0323984j -0.127159+0.0343385j 0.0119656+0.0145095j 0.104693+0.0761637j 0.0442423+0.0524429j -0.0657622-0.130753j -0.116119-0.00399046j -0.00350778-0.00428094j -0.00222735-0.0845754j -0.0100233+0.0747428j -0.00533126+0.166079j -0.0687792-0.110809j -0.0430096+0.0366185j 0.00466956-0.0239676j 0.0190263-0.0669695j 0.0844216+0.0387917j 0.075413+0.0437118j -0.0504522+0.127884j 0.109812-0.0447295j -0.0576745+0.0719021j -0.0185917+0.0364596j -0.0692013-0.105125j 0.0159052+0.0132158j 0.211005+0.0321622j -0.132715+0.0980266j -0.00315606+0.293813j 0.160283+0.0696673j -0.272956-0.0132774j -0.000867697-0.207044j -0.0387226+0.159502j -0.177817-0.0548808j 
-0.00272743-0.0133031j -0.0205508+0.00358986j 0.0107886+0.0126519j 0.00625355-0.00983735j 0.0037497+0.00349581j 0.00290075-0.00762018j 0.00957666+0.00351827j -0.000555878+0.00100568j -0.00643716-0.00142884j -0.00409993+0.0022304j 0.00228096-0.00605537j 0.000528534-0.00267096j -0.00138613-0.00619907j -0.000407756+0.00107386j 0.00438584-0.00350547j 0.00121529-0.0019369j 0.00185574+0.00494662j 0.00421092+0.00403664j -0.000467658-4.60209e-05j 0.00483578+0.00139631j 0.00326504-0.00285856j 0.00190613-0.00268423j -0.000443271+0.00174251j -0.00132421-0.000166766j -0.000116869+0.00436877j 0.00171799+0.00419411j -0.00152551+0.000761966j -0.00512188-0.00491311j -0.000735669+0.00506734j -0.00193213-0.0252296j -0.0416467+0.00472794j 0.0127965+0.0561613j -0.0394389-0.00208405j -0.00928254-0.0136318j 0.015055-0.0115068j 0.0208822-0.0345485j -0.0368235+0.007311j 0.00246159-0.0174044j -0.0149586+0.0183415j -0.0272264-0.0235903j -0.00106294-0.0187768j -0.0179371-0.0174344j 0.00299512-0.00862676j 0.00232011-0.0360593j 0.019689+0.00771177j 0.00579564+0.0315438j 0.00928403+0.00298359j 0.00368639-0.0101773j -0.0135042-0.0107086j -0.0215102+0.00244203j -0.00478154-0.0025962j -0.00938744+0.0106123j 0.00726177-0.0196867j 0.0325528-0.00853059j -0.0262682+0.0439727j -0.000828627-0.0120035j -0.00355299+0.00834097j 0.0204285+0.00422532j -0.013082+0.00856492j 0.00523996+3.50914e-06j 0.00217639-0.0138022j 0.0137403-0.020054j 0.0216324-0.00338194j 0.00115555+0.0220599j 0.0280071-0.0182878j 0.0232976-0.0303406j 0.0212395+0.0467186j 0.0420617+0.0323005j -0.0311684+0.0242508j 
-0.0225285-0.00550098j -0.00517865+0.022058j 0.00681458-0.00402586j -0.00426174-0.00968697j 0.00521658-0.00746821j -0.0093641+0.000929465j 0.00238019-0.00911002j -0.00170202-6.21706e-05j -0.0108813+0.00190185j 0.0011784+0.00857253j -0.00633596-0.00262193j 0.00214911+0.00152057j -0.00792752-0.00336072j 0.00476551-0.000680438j 0.000569752-0.00969732j -0.00284404-0.00411136j 0.00629954-0.00104919j 0.00367676+0.000156209j 0.00154568-0.00132814j 0.00758444-0.00150282j -0.00230552-0.00716381j -0.00458716-0.00220128j -0.00398142-0.000435187j 0.00606328+0.00667414j -0.00328627+0.00448437j -0.0111903+0.00571686j 0.00223907+0.0125801j -0.00934902+0.00236219j 0.00169714+0.00742934j -0.0232893-0.0141176j -0.0176589+0.0222872j -0.0182448-0.000668774j 0.00335458-0.0212293j -0.0245027+0.011492j -0.0373904-0.0057817j 0.0291228+0.0478612j 0.00802074-0.0365107j 0.00519879-0.0285569j 0.0279402-0.0187243j 0.0103136+0.00842558j 0.0245449+0.0122293j 0.0123055+0.0268492j -0.00865621+0.0317108j -0.0272326-0.0148491j -0.000104442-0.00624548j 0.0153957+0.00388668j 0.0055324-0.0091222j 0.00347753+0.0066594j -0.00868665+0.0163873j 0.00536016-0.00370365j 0.0174452+0.0113008j 0.0303253-0.0135036j 0.0185157-0.0191885j -0.0114426-0.015481j 0.0202242-0.00406451j -0.00501519+0.000607953j 0.0215617-0.0107223j -0.00403003+0.00221799j -0.0150796+0.0148772j -0.018748-0.0547432j -0.0125099+0.00831508j 0.0435367-0.00100287j 0.0257879+0.0181993j -0.00493305-0.00751626j 0.000653849+0.0157007j 0.0153245+0.0276373j -0.0348569+0.0219711j 0.0305027-0.0222347j 0.0259674+0.0285315j 
0.00849548-0.0025921j -0.00315424-0.00898759j -0.0186267+0.0179989j 0.0184567+0.0186707j -0.0165376-0.0107301j 0.00937147+0.0232255j -0.0184325+0.0234174j -0.0108376+0.0146295j 0.00665644-0.00281674j 0.0214106-0.00927218j 0.00835077+0.0202239j -0.00692517+0.0122083j 0.0139735+0.0191714j 0.00364872-0.00233203j -0.00479307+0.0100816j 0.00113392+0.00271642j -0.00395386-0.00661702j -0.0137842-0.000389368j 0.00331417-0.0026116j -0.0155599-0.00212315j -0.0231849+2.43077e-05j -0.00064902+0.0150835j 0.00193704-0.00287958j -0.0097806+0.00303333j 0.00304788-0.0155991j 0.00451288-0.0216732j -0.0180397-0.0135507j 0.0125013+0.0188558j 0.0228711-0.00796952j -0.0109649-0.0167592j -0.0211899+0.0134579j 0.00814912+0.0117041j -0.00782098+0.00230707j -0.0101675-0.00233045j -0.00678751-0.00686738j 0.00789948+0.00610994j -0.00377779-0.00597732j 0.00504947-0.0133796j 0.00735025+0.00282603j -0.00421768-0.00249573j 0.00315973+0.00114991j -0.00533713+0.00372082j -0.00396919+0.00583392j -0.00726779-0.0118069j 0.00474757+0.00059005j 0.00839471+0.00978621j 0.0058855+2.02637e-05j 0.00279342-0.00174562j -0.00643947+0.0019888j -0.00113703+0.00217146j 0.00387416+0.00435414j 0.00683018+0.000933905j 0.00660019-0.00842928j 0.00566573-0.00884287j 4.31425e-05+0.0104861j -0.0025831-0.0059571j 0.00571306+0.0012736j 0.00514426-0.000872217j -0.00250417+0.00537982j -0.00261875-0.0149815j -0.00631138-0.00348556j 0.0128571-0.00746917j 0.0107409+0.000935436j -0.00118072+0.00246324j 0.00387771+0.000936111j 0.0079874-0.00151137j -0.000360978+0.0148523j 0.0194907+0.000488513j -0.000863456+0.016011j 
-0.0139636+0.0176147j 0.0196858+0.0124513j 0.0122145-0.00706861j -0.004471-0.0164048j -0.0183786-0.00548028j 0.00967657+0.0155116j 0.00727565+0.00475612j 0.00149528+0.0202487j -0.0201594+0.0110013j 0.0153452-0.00475044j 0.000861991+0.000679447j 0.00339418+0.0138281j -0.00398628+0.000708278j 0.0124113-0.0111021j -0.00464346-0.0194272j -0.00918668-0.00679998j 0.00633795-0.00802606j 0.000861288-0.00425208j 0.00665588-0.00741432j 0.00688726-0.0012797j -0.0253088-0.00951644j -0.0115993+0.0124647j -0.015393-0.00399669j 0.00835537+0.017618j -0.00808752-0.00475797j -0.0239039-0.00465568j -0.0103616+0.0268827j -0.0171514+0.00647154j 0.00936527+0.0124251j 0.0172855+0.00184444j 0.00132746-0.018794j -0.00879711+0.000257018j 6.6217e-05-0.00731106j 0.00669914-0.0118825j 0.0198759-0.00539041j -0.0199941-0.0143931j 0.00805825+0.0139219j -0.00369187+0.0265819j -0.0159012+0.00273084j -0.00319812-0.00288037j -0.00792176-0.00323092j -0.00066078-0.00904762j 0.00311614-0.013674j 0.00565836+0.00035038j 0.00489097-0.00066518j -0.0115253-0.00204071j -0.0115429+0.00134961j -0.00575988+0.0010152j 0.00394661-0.00353297j -0.00398661+0.00105115j -0.00957126-0.000891684j -0.0149376+0.00507784j -0.00880207+0.00769863j 0.00783153+0.0048444j -0.00330398+0.00145588j 0.00623706+0.00809926j -0.0054042-0.0011883j -0.0046132+0.00650229j -0.000830547-0.00169945j 0.00920727+0.0273085j 0.0164445+0.00420132j -0.0144526+0.0139048j -0.0172578+0.00934511j 0.0131637+0.00425389j -0.00387165-0.0113678j 0.000992589-0.00889145j 0.00963379-0.00238186j -0.0128126+0.00174946j -0.0019649-0.0130933j 
0.000343456+0.0103091j 0.009135-0.000194065j 0.00378696+0.0165146j 0.0182178-0.00505886j 0.0114357-0.00837212j -0.00800201-0.00624971j 0.000585395-0.00151662j 0.00108593-0.0206464j 0.0210683+0.00186965j 0.00321415-0.0042587j 0.00799522-0.000319643j 0.0161224-0.000948107j -0.00917779+0.00548205j -0.00371804+0.00108695j -0.000718991+0.00199274j 0.00881471+0.00195661j 0.0051153-0.0125441j 0.00869328+0.00474235j 0.00522254-0.0163897j -0.0176713-0.00792534j 0.0113527+0.0108135j -0.00708447-0.0153777j -0.000922355-0.0322233j 0.0171829-0.0106096j 0.0193698-0.00724042j -0.00887049+0.00266974j 0.00607848+0.00243421j 0.00994969+0.00441903j 0.00378293-0.0065823j -0.021486-0.00380762j -0.00888731+0.0186781j -0.0236565-0.000183102j 0.00414012-0.0267744j -0.00112166-0.0156753j 0.0160554-0.0104931j -0.0127488-0.00689056j 0.0104009+0.00654152j -0.0158429+0.0296593j -0.0115607-0.0144168j -0.000351783-0.00236061j 0.00276429-0.00194265j 0.00795833+0.00169945j 0.00468686-0.00136386j -0.0168382-0.0148062j 0.0178074-0.00567241j -0.0084421-0.000453175j -0.0197763-0.00965852j -0.0116403+0.00242198j -0.00155896+0.00741971j -0.0104427-9.00557e-05j -0.00527994+0.00459467j -0.00797269-0.00368467j -0.00876481-0.00724482j 0.00916921-0.00833701j 0.0100948+0.00569443j 0.00560777+0.0176566j 0.00678709-0.014423j -0.0135699+0.0111982j -0.0133941+0.0130318j -0.00291697+0.0173978j 0.0233089+0.0188929j 0.00344729+0.0228477j -0.0150179+0.0311508j 0.0300548+0.00368255j -0.0103924-0.0204093j 0.0197969+0.000503474j -0.00273301+0.0232105j 0.0057089-0.0116798j 0.0119034+0.00056344j 
0.0102563+0.00742221j 0.0126221-0.00836034j 0.0226307+0.004048j 0.00734167-0.0218479j -0.00203664-0.0133857j -0.00906121+0.00531342j 0.00245655-0.00365577j -0.00696624-0.0130102j 0.0119532-0.00462557j 0.00503024-0.00410481j 0.00547759-0.00296246j 0.011586-0.00147203j -0.00831519+0.00497761j 0.000886828-0.00143255j -0.000846591-0.00438679j 0.00495002-0.0028151j 0.0021791-0.013246j 0.00964591-0.00158701j 0.00583769-0.0150671j -0.0136326-0.00575172j 0.00660963+0.005803j -0.0118113-0.00905815j -0.00785895-0.0288773j 0.0172318-0.00410092j 0.0128365-0.00685679j -0.0140446+0.00115289j 0.00183758+0.0118037j -0.00303409+0.0034247j 0.0018404+0.00180765j 0.0252752-0.015348j -0.00919672-0.0227269j 0.0305744-0.00704027j 0.00416784+0.0331915j 0.00411038+0.0173114j -0.0161807+0.0170297j 0.0181682+0.00201285j -0.0159075-0.00259938j 0.0122335-0.0419769j 0.0167717+0.0164127j -0.00223065+0.00198j -0.00365328+0.00342975j -0.0112782-0.00253817j -0.00593634+0.00127035j 0.0265082+0.0143833j -0.0211252+0.0123157j 0.0106294+0.000644656j 0.0290524+0.00885285j 0.0150306-0.00537393j -0.000784564-0.0100853j 0.011438+6.1309e-05j 0.00460444-0.00651689j 0.0106965+0.00512579j 0.0122478+0.00841862j -0.00746608+0.0123191j -0.015356-0.00335882j -0.0101505-0.0237825j -0.00737065+0.0210089j 0.0184855-0.0162578j 0.0149764-0.0207016j 0.00202489-0.0227279j -0.033149-0.0221699j -0.00665098-0.029588j 0.0144968-0.0414121j -0.0393572+0.00135492j 0.0170053+0.0255676j -0.0256221-0.00289301j 0.00555161-0.0299226j -0.00766662+0.0187417j -0.0188395-0.00122448j 
-0.0069724+0.00506638j 0.00519397+0.00647827j 0.004735-0.00370675j -0.00274465-0.00473932j 0.00151107-0.000488453j -0.00272867-0.000913512j 2.40282e-05-0.0033281j 0.00168969-0.00125393j -0.000245149-0.00239438j 0.00171206-0.000980083j -0.000811867+0.00283148j 0.00220313+0.00250927j 0.000476022+0.000678883j 0.000352635-0.00168891j -0.00171404-3.75273e-05j -0.000632821+0.000677661j -0.00299358-0.00202783j -0.00161258-0.000713171j -0.000382688-0.000227857j -0.00174382-0.000489175j -0.000679321+0.00175646j -0.00131669-0.000133184j 0.0016141+0.00182746j 0.000701482+0.000170974j 0.000150121-0.00103577j -7.2611e-05-0.00198146j 6.14442e-05-0.00035381j 0.000236677-0.000213317j -0.000347921-0.000232271j -0.00488743+0.00847512j 0.00880482+0.0048462j 0.0103679-0.0083766j 0.00782+0.0125894j -0.00549845-0.00268489j -0.00889845-0.00726741j -0.0118133+0.0124752j 0.00532894+0.0077722j -0.00573993-0.000660635j 0.00014876-0.00182494j 0.00340893+0.00999519j 0.00529119-0.00445077j 0.010337+0.00520338j 0.00401761-0.00314779j 0.00710695+0.00409288j -0.00459851-0.0125493j -0.00610772-0.00860953j -0.0019835-0.00481207j -0.00738211+0.00521691j 0.00769124+8.9294e-05j -0.00429194+0.00156151j 0.00181992-0.00695898j 0.00186866-0.0052515j 0.00065544+0.0045855j -0.0129945+0.00363372j 0.00534389-0.00514358j -0.00158119+0.00580562j -0.00716143-0.00342059j -0.00534945+0.00164058j -0.0055549-0.00426042j 0.00573154-0.000411162j 0.00040181-0.00107266j -0.00220311+0.00467902j 0.00113635-0.000831679j -0.00134827+0.00126573j 0.00674348-0.00399571j -8.79051e-05+0.00527727j -0.00866614-6.79308e-05j -0.00835997+0.0117255j -0.00876407-0.00925146j 
-0.00194482+0.00602085j 0.00636493+0.00247957j 0.000864015-0.00457479j -0.00287076+0.000207066j 0.00125529+0.000893372j -0.00281099+0.00395057j -0.00827247+0.000107577j 0.00123444-0.00350758j -0.00122193-0.00379882j -0.00418738-0.00279757j 0.00559057+0.00453142j 0.00288538+0.000439372j 0.00233797+0.000697795j -0.00149889+0.00165562j 0.00154998+0.00529579j 0.00171312+0.000769881j -0.00308045+0.0032097j -0.00027998+0.00342353j 0.000206747+0.000398311j -0.000935636+0.00365906j -8.76341e-06+0.000485306j -0.000225733-0.000558353j 0.000637432-0.00198278j -0.000586876+0.00094479j -0.000628712+0.00270971j -0.00232918+0.00237649j 2.47946e-05+0.00377039j -0.00114525+0.000733034j 0.00219295+0.000708207j -0.00363223+0.00828868j 0.00996029+0.00365614j 0.0158344-0.00632276j 0.00395482+0.0170383j 0.00661581-0.000282392j -0.00690742+0.00949059j -0.00329743+0.00900296j 0.00655056+0.00702167j -0.00606463+0.00586804j -0.00848917+0.00389537j 0.00339123-0.00685041j -0.0110623-0.00189194j 0.000622614-0.0039496j 0.00143361-0.0118727j 0.00834986-0.00119861j -0.0125224-0.00118309j -0.00789037-0.00522014j -0.00135249-0.000498476j -3.92859e-06+0.00607754j 0.00231156-0.00590032j 0.00109607+0.00248783j -0.00926565-0.00259792j -0.00958084+0.000619158j 0.00705392+0.00228445j 0.00490708+0.0121843j -0.00636202+0.00254661j 0.00288281+0.00262955j -0.0026162+0.00861858j 0.00186976+0.0087561j -0.00582284-0.00400469j 0.00321881-0.00142083j -0.000756724-0.00403567j 0.00302571-0.00403047j 0.00106072+0.00836349j 0.00211616+0.0105741j 0.0122452-0.00212516j 0.00199445-0.0103691j 0.00684782+0.00118648j 0.00713089+0.0024092j -0.000774742+0.00592734j 
