0.123771-0.0150528j -0.0120929-0.123811j -0.0477446-0.027399j -0.0344136+0.0568394j 0.0153266-0.0160263j -0.0300689-0.00666449j 0.00767095+0.00663956j -0.0371615-0.0045712j -0.0109857-0.00821985j 0.0210072-0.0045517j -0.00786633-0.015889j 0.0194495+0.0270409j -0.006059+0.0295521j -0.0266567+0.0128861j 0.0110049+0.0223164j -0.211503+0.0194808j -0.00909459-0.204728j -0.214892-0.0853539j -0.135624+0.242103j 0.230401+0.0508721j -0.0860101-0.105356j -0.000224751-0.0642238j -0.0761334-0.14772j -0.0881427-0.108817j 0.0131939-0.104325j 0.0953056-0.0479151j -0.00225862-0.0204955j 0.0283235+0.0346089j -0.0300083+0.20085j 0.0444793-0.0809364j -0.0204293+0.0856595j -0.0352553-0.146642j 0.126546-0.114738j -0.199516+0.136903j 0.185801+0.0871041j -0.397122+0.109003j -0.13074-0.420314j 0.0741494-0.110386j -0.112709-0.0415496j -0.0599052-0.0238567j 0.014173-0.0692349j -0.0151181+0.0568349j 0.109402-0.0137443j 0.073542+0.0193141j -0.0131662+0.0221629j 0.0488406+0.0385158j -0.00150953-2.56844e-05j 0.0125698+0.0190952j 0.0113569+0.0382832j -0.00135783-0.00120887j 0.0231653+0.0163746j 0.0163856+0.0223413j 0.0216231-0.00222368j -0.00633943-0.00514315j -0.021356-0.0121667j 0.0116351+0.0372749j -0.0115115+0.0148712j -0.00271602+0.0116987j -0.00321864-0.0102423j 0.0120262+0.00148065j 0.00595759+0.00612979j -0.0133063-0.0172477j -0.00726897+0.00449921j -0.000422312-0.0112374j 0.000947764+0.0126968j -0.00030958-0.00343655j 0.000762807-0.00898234j 0.00174183-0.00183701j -0.000289674-0.0069501j 0.00117044-0.0121803j 0.0125783-0.00374563j 0.000781724+0.0124872j -0.00629201-0.00836671j -0.00402169+0.001142j 0.00259289-0.00596106j 0.00796163+0.0025222j 0.0033406-0.0049998j -0.0159156-0.013841j 0.00588702+0.001406j 0.00295047+0.0197206j 0.00387514+0.0272694j -0.0104586-0.017339j -0.00087854+0.00575349j 0.00160609-0.0211058j -0.00827398+0.0149279j 0.00697398+0.00261664j 0.00844248-0.00679509j -0.0157298-0.0149659j -0.000982485-0.0322217j 0.0229379+0.000925024j 0.00117118-0.0273957j 0.0191182-0.0031749j -0.00336515-0.0338422j -0.0372287+0.00909721j -0.012005-0.0466027j 
0.053302-0.0517308j -0.0416399-0.0482229j 0.0195452-0.00704979j -0.0195505-0.0249603j -0.00219762+0.00289275j -0.000735612-0.0134444j -0.00349822+0.0017343j 0.00391484-0.00443558j 0.000169159-0.00874301j 0.00587062+0.00218141j 0.00645156-0.00419865j -0.00247975+0.0123045j -0.0209415+0.00467792j -0.00500151-0.0088293j -0.00690455-0.00130862j -0.175799+0.0887169j -0.0694932-0.18055j 0.0389691+0.0166438j 0.0113355-0.0489199j -0.0584127-0.0242849j 0.0179553-0.0296066j 0.0539029-2.80055e-05j 0.0279656+0.0558288j -0.00652563+0.0388697j 0.0296963+0.00465422j 0.0227095+0.0249301j 0.00871143+0.00501057j -0.00891212+0.012917j 0.033994-0.0313311j 0.0130911+0.0304513j -0.0122099-0.0194236j 0.00423787-0.025324j -0.0247094+0.0154242j -0.00614524+0.00405444j -0.0186245+0.0243649j 0.0536574-0.039089j 0.0618929+0.0484424j -0.0859609+0.207253j 0.17389+0.0844925j 0.0882606-0.130455j 0.0886414+0.102155j 0.0528079+0.0616455j 0.101508-0.0081372j 0.0880832+0.0975569j 0.114013-0.0392861j 0.0118483-0.0213936j -0.0377306+0.0542872j 0.057597+0.0150102j 0.13245+0.156715j -0.0207329-0.00730915j -0.0802874-0.00249054j 0.0232487+0.0348211j -0.0631395+0.0443904j -0.0474874+0.0431383j 0.0470867+0.0747282j 0.0639087+0.14971j -0.0163168+0.0399012j 0.0239808+0.0787463j -0.0146203+0.0499299j -0.0337427+0.0180029j -0.000836515+0.0658418j -0.025047+0.00352121j 0.0446772+0.143541j 0.000684351+0.0120089j 0.0130593+0.0675713j -0.0286401+0.023224j -0.028524-0.0135157j -0.0583282-0.00582951j 0.0125558-0.0175771j -0.0177742+0.0110588j -0.0115345-0.0724822j 0.0264108+0.0443502j -0.025489+0.0919239j 0.00480458+0.0189781j -0.0364324+0.028234j 0.0464806-0.126338j 0.0640646-0.079129j 0.0902875-0.0714338j 0.0544427-0.0748837j 0.0177507+0.00445672j 0.0412319+0.116853j -0.049964+0.0388286j -0.032096+0.0314977j 0.08364-0.181609j -0.0800505+0.0201436j -0.0781555-0.0245432j -0.14129-0.0552869j -0.0832189+0.0472383j 0.112025-0.0958728j 0.0348266-0.123547j -0.115477-0.0518918j 0.00474498+0.054757j 0.0789101-0.049605j -0.10454+0.3022j -0.288915-0.141688j 
-0.0738236-0.0308185j -0.0361327+0.0792287j -0.00774238-0.0138031j -0.0304817+0.00851079j -0.00224065+0.0256006j -0.018571+0.000953599j 0.0209047+0.0190909j 0.00262609-0.0308693j -0.0111272-0.00241302j -0.0192863-0.0111529j -0.000530372-0.0193576j -0.0182223+0.000133183j 0.00405934-0.00459519j -0.0217013+0.0294538j 0.0330513+0.0149743j 0.0754237-0.0199796j 0.0119172+0.083871j -0.0196189-0.0141751j -0.0167763+0.0155573j 0.0290507+0.0169977j -0.0120035+0.00671117j -0.0180757-0.00254503j -0.0089588-0.0216674j -0.000174214-0.013295j -0.011331-0.00581314j -0.00608054-0.00694337j -0.00776416+0.000882224j 0.00368525-0.000203762j -0.00329718+0.0092105j -0.00278092-0.0116476j 0.00280183+0.0102998j -0.0026932+0.000432997j 0.00562604-0.00904176j -0.00366294+0.0222124j 0.0317056-0.0112964j -0.0164576-0.0135245j 0.00285061-0.00390297j 0.0558968-0.108507j -0.0941185-0.06089j 0.244076-0.145103j 0.064153+0.206835j 0.116705+0.183277j 0.0846535-0.0676323j -0.0247617-0.0340785j -0.0458207+0.0365152j 0.0188046+0.0583591j 0.0807777+0.019026j -0.10187-0.00906706j -0.00522437-0.0614467j -0.115113-0.11733j -0.0398687+0.0219578j 0.0801809-0.11297j -0.0424331-0.047141j -0.119333-0.0467768j 0.0716389+0.0864193j -0.0636013+0.015279j -0.106375-0.142027j 0.0473068+0.0675075j -0.0106824+0.0281718j 0.00937403+0.143941j 0.0401271+0.015126j -0.0266225-0.0991833j 0.0568261+0.0864639j -0.015389+0.0356404j -0.0646221+0.0641355j 0.016611-0.0170189j 0.024299-0.00152927j -0.028033-0.113482j 0.00227475+0.0117405j -0.0805985+0.163941j 0.00556244+0.017222j 0.0199472-0.0550408j 0.01964+0.106388j -0.0168845-0.0623788j -0.0705431+0.106817j 0.0737697-0.0737143j -0.047876+0.16641j 0.0823493-0.0262645j 0.11997+0.0131729j -0.0751128-0.00990575j 0.0511988+0.0491294j 0.0752719+0.0109079j -0.117665+0.0977588j -0.0687812+0.069619j -0.0317531-0.00433791j -0.0500098+0.0666383j 0.0675259+0.00806249j 0.021724-0.00587396j -0.0508187+0.0224588j 0.221041-0.211679j -0.207115-0.2635j -0.0471266-0.00507287j 0.0195017+0.0396509j 0.11611-0.0676192j 0.0752071+0.128779j 
-0.00501159-0.00736855j -0.00892389+0.0051416j -0.00131424-0.00338798j 0.000714243-0.000237329j 0.000612716-0.00303595j -3.36201e-06-0.00132479j -0.00286711-0.000617015j -6.36038e-05+0.00192811j 0.00136939-5.95645e-05j 0.001467-0.000580584j 0.000517365+0.00208595j 0.00252923+0.00113123j -0.000848464+0.000179034j -0.000858514+0.00113117j 0.00171119+0.00105176j 0.0065979+0.0279152j -0.0310516+0.00777431j 0.000285939-0.0148979j -0.0145395+0.00113208j 0.00892026+0.00437756j 0.00630514+0.0107553j -0.0063712+0.0142755j -0.00743768-0.00204985j -0.00386279-0.00609611j -0.00811441+0.00263429j -0.00325661+0.0068267j -0.00812718+0.00487846j 0.000393954+0.0012237j 0.00440316+0.00545599j -0.00899885+0.000440792j 0.00673998+0.00389864j 0.00630739-0.00401736j -0.00289546-0.00557736j 0.000823485-0.00527846j -0.00606124-0.00673925j -0.00521804-0.00408423j 0.00395268-0.0017844j 0.0227429+0.0433938j 0.0536968-0.0200711j -0.00879088-0.00147832j -0.00239008-0.0141017j 0.035317+0.0176263j 0.00765883-0.051107j 0.0131559-0.0263122j -0.0279417-0.0219626j -0.00869163-0.00111809j 0.0261459-0.00986631j 0.00155163+0.00300941j -0.0102684-0.0290667j -0.000823221+0.00560688j 0.0353937+0.0220322j -0.0126325+0.00289248j 0.00712835+0.00954838j -0.00889744-0.00482564j -0.01153-0.00943757j -0.000318921-0.0390673j -0.000764474-0.00628892j -0.00858409+0.000668763j -0.0126943-0.0164468j 0.000782859+0.0244127j 0.00505607-0.00362163j -0.00977287-0.00594198j -0.013194-0.0398523j -0.000235111-0.025591j 0.00532567+0.00203061j 0.000538743+0.012229j -0.00533846+0.00272637j -0.0084443+3.33745e-05j 0.00467845-0.00817566j -0.00310089+0.00762283j -0.0100096+0.0163401j 0.0112429+0.0030411j 0.00400648-0.0223982j 0.00841654-0.0144201j 0.0181375-0.0212378j -0.00580659+0.0137431j -0.00865545+0.0369603j -0.00398281+0.0214567j -0.0357741+0.00295992j -0.0051256+0.0154781j 0.00629528-0.00378908j 0.0472023-0.0172053j -0.0214707+0.00552183j -0.0105267+0.0152084j -0.00604916-0.016223j -0.00198318+0.0126588j 0.0157041-0.0018149j 0.00806347+0.0114503j 0.00243243+0.0161698j 0.0154207+0.00328424j 0.00117988-0.0170255j -0.017897+0.0519785j 0.0460923+0.0366401j -0.0682534-0.000992167j 0.00275531-0.0577027j 
0.00705458-0.018683j -0.017561-0.00615078j 0.00469846-0.0135839j -0.0179012-5.1587e-05j 0.00736482+0.010004j -2.50831e-05+0.00354855j -0.00268369-0.00831871j -0.00266319-0.00576758j -0.0106568+0.00283799j -0.00447581+0.00725322j -0.0070412-0.00217619j 0.00758266-0.00178618j 0.00179637+0.0146551j 0.00100486-0.0103224j -0.0146207-0.000514278j -0.0312177+0.00438944j -0.00714486-0.029995j 0.0119706-0.00368887j 0.00103128-0.0191788j -0.0124718+0.00602319j -0.00546245-0.000363447j -0.00928408-0.00325295j 0.010593+0.00338316j 0.00772463+0.00657451j 0.00806196-0.0106655j -0.00645686-0.0138738j -0.00414873-0.0190395j -0.00722915-0.00360997j -0.000869133-0.00274214j 0.0113765-0.00374043j -0.0121108-0.00182346j -0.00941388+0.00670285j 0.00517549+0.00124593j -0.0218426-0.00184871j 7.57423e-05+0.0241413j 0.012373+0.0104754j -0.0134081+0.0125922j 0.0056758+0.00868895j 0.0133654-0.00944357j 0.00239482+0.0315227j -0.0360214+0.00170754j 0.00407199-0.00279159j -0.0189284-0.0206835j 0.0073371-0.0161731j -0.0357317-0.0035505j -0.0118188+0.0280638j -0.00258218+0.00373457j -0.010437-0.0307672j 0.00220087-0.0148267j 0.0065665-0.00427519j 0.00412755+0.00992335j 0.00836112+0.00593636j 0.00287842+0.000571207j -0.00822836-0.0073699j -0.00499245+0.00789628j -0.00314972-0.0172949j -0.0219056-0.0056739j 0.00889317+0.0236881j 0.0100146-0.00735515j -0.0012252+0.0098977j 0.00751333+0.0032637j 0.00439745-0.00357536j -0.00462754+0.0121092j 0.0117809+0.00306581j 0.00649159+0.00290376j -0.000388397-0.00636591j -0.000453814-0.0106403j 0.00873994-0.00900204j 0.0129737-0.0138924j 0.00179148+0.0247346j -0.00807892+0.012805j 0.00859795-0.00310525j 0.00368285-0.00538568j 0.0192842-0.00642623j -0.0101417+0.0140875j 0.0210684+0.00542117j 0.00381578+0.0144088j 0.000968703-0.00554268j -0.00420169-0.000741396j 0.00122417+0.00780747j 0.0152457-0.00323014j 0.0211435-0.00128818j 0.000202546+0.0043444j -0.0137216-0.0013109j -0.0120522+0.0329602j 0.0154522+0.0181791j -0.0282898-0.0123091j -0.00233127+0.0295159j -0.000373655-0.00172376j -0.0240351-0.00728745j -0.0117303+0.0182147j 0.017097+0.025723j 0.0291833-0.00859814j -0.0180751-0.0208107j 0.0259264-0.0160024j 
0.00335943-0.00440283j -0.00371142-0.00464858j -0.00491996-0.0106652j -0.0115838+0.00925588j 0.0029296+0.0110602j 0.00473723-0.000449248j 0.00755133-0.0013084j 0.00155397-0.000480079j -0.0112864+0.000104254j 0.0017833+0.00437226j -0.000544723-0.0095368j -0.00732772-0.00669305j 0.00573423-0.00520479j 0.0065478-0.00888706j -0.010523-0.00469186j 0.00726236+0.000458396j -0.00147491+0.0054902j 0.0244444-0.0107723j -0.0102945-0.0262705j -0.00862667-0.00576786j -0.0140254-0.00809136j 0.0153617-0.015775j -0.00318207+0.00122905j -0.00351227-0.00111829j 0.00166409-0.00724987j -0.00577502+0.00131379j 0.0131842-0.000228698j 0.00193433+0.00638053j 0.00256873+0.00769583j 0.00855435+0.00455329j -0.012489-0.0133142j 0.0043872-0.00383652j -0.0110409+0.00860627j 0.00222238+0.0184449j 0.0134198-0.00503275j -0.00196868+0.0148801j -0.0156725-0.00243871j 0.0325689+0.018256j 0.0181829-0.0274766j -0.0253354-0.00980541j 0.0143976-0.028073j -0.0151011+0.00889419j 0.020097+0.0106315j -8.03863e-05+0.0165622j 0.0295089+0.0182626j 0.00939391-0.021446j 0.0023902+0.0168297j -0.0198192+0.0141638j -0.0184589+0.0102006j 0.00643891-0.0194864j 0.00700857-0.0201825j 0.0150283-0.0116054j -0.00864199+0.0165706j -0.028484-0.0211429j -0.00429169+0.00158591j -0.0103295-0.0058948j 0.0140363-0.0149713j -0.00294979+0.00612143j -0.0219076-0.00410614j 0.00887941+0.00163324j -0.00898271+0.00284472j -0.000386751-0.00886373j 0.0051773-0.0126078j -0.0317998+0.00420617j 0.0104918-0.00344757j -0.00457027-0.00252605j -0.00225631-0.00368274j -0.00413183-0.00756406j 0.00975618-0.000812643j -0.00471516+0.00870628j 0.00298152+0.00804449j -0.0180723-0.00975115j 0.000271322-0.00460372j 0.00655809-0.0083233j -0.0154758-0.0245095j -0.00729044-0.0152319j -0.0167585+0.000331212j 0.0063404+0.0118335j -0.0043553+0.0292065j 0.00615674+0.0162961j -0.0186903+0.00353079j -0.00795467-0.00571837j -0.0109704-0.00454682j 0.00377024+0.0111252j 0.0270689-0.000453141j 0.0179506-0.0256846j 0.031747+0.00111791j 0.00584055-0.0427059j 0.0201386+0.0183992j -0.0127365-0.0235348j -0.0246128+0.012231j -0.0389144-0.00200368j -0.0115077+0.0368012j -0.016829+0.022327j -0.0253845-0.015403j 
0.0159434+0.0116416j 0.010976-0.0151678j -0.0151803+0.00276996j 0.00149278+0.0117984j -0.00176996+0.0105159j 0.00919033-0.00816927j 0.0167654+0.00597264j 0.00783487+0.00343761j -0.00466648-0.00449885j 0.00554338-0.000694506j 0.00823475-0.0113945j -0.0200995-0.00697678j 0.00262697-0.0255488j 0.00811344-0.0013601j 0.00207542-0.00614479j -0.00523275-0.00726084j 0.00854318-0.00210151j -0.00714432-0.0186028j -0.0228207+0.00198118j -0.0105635+0.00430589j -0.0076117+0.0102281j -0.00240448-0.0164053j -0.00154862+0.00278131j -0.00251674+0.00217248j -0.00461948-0.000932375j -0.00402764+0.00713702j 0.00955543-0.000355979j 0.00492686+0.00378866j 0.00131405-8.11029e-05j 0.00434197+0.00258029j -0.00683762-0.00757426j 0.00295225+0.00250526j -0.0117093+0.00628101j 0.00794712+0.0157014j 0.0106533-0.0100443j -0.0047549+0.0042879j -0.00337769-0.00100509j -0.0300652+0.00533995j 0.00585866+0.0239164j 0.00789421+0.00497245j -0.0103355+0.0198356j 0.0267365-0.0238202j -0.0375451-0.0243646j 0.0148129-0.0244476j -0.0264054-0.0149226j -0.00273237+0.0385702j 0.0102173+0.0167796j -0.0196127-0.00938075j 0.0131664-0.0149701j 0.0044763-0.00021823j -0.0195805+0.00391168j 0.0101485+0.00602911j -0.00118341-0.00156837j 0.0234402-0.0144466j -0.00672131+0.00471329j -0.000707724+0.0020707j -0.0094232+0.0184772j -0.0173663+0.0129659j 0.0110841-0.00663601j -0.00483482-0.000918945j 0.0208425-0.00936803j 0.00746623+0.00358807j -0.000573618+0.000635618j 0.00836965-0.00597723j -0.00149381-0.00263834j 0.00430041+0.00352408j -0.00478189+0.00543124j 0.0066692+0.00296273j 0.019177+0.0123992j 0.00915596-0.00422178j 0.00531087+0.00338319j 0.0172156+0.00496457j 0.00695042+0.00863459j 0.0107102+0.00551563j 0.00833603+0.00545316j 0.0194046+0.0172042j 0.0044667-0.00583255j -0.0129012-0.00542732j -0.0206455+0.00297532j 0.00521782+0.00980276j -0.00626789-0.0119732j -0.000263317+0.020341j -0.0004795-0.0217208j -0.0152887-0.00857513j 0.00849214+0.0150273j -0.00126522-0.00653877j -0.0469702+0.000975457j -0.0137847+0.049133j -0.00935788-0.0233344j 0.0210449+0.00366521j -0.000608082-0.0213183j 0.0279132+0.0247144j 0.0342686-0.0275026j 0.00919197-0.0218573j 0.0265469+0.0075292j 
0.00425783+0.0133234j 0.0134422-0.00230326j 0.0192909+0.00985348j 0.0145935-0.0279534j -0.0170867-0.0172554j -0.00617622+0.00359115j -0.00872825+0.00643314j -0.000868065+0.00699034j 0.0203684-0.00976343j -0.00263714-0.0093963j 0.00708062+0.0146066j 0.0122623+0.0119534j -0.0105975+0.00234775j -0.00615712+0.0198693j 0.0227583+0.00324028j -0.015755+0.0048915j -0.00590881-0.015175j 0.0117776-0.0170859j -0.0172361-0.0179801j -0.0151078+0.00515326j -0.0135209+0.00198633j -0.00167813-0.0184232j 0.00345586+0.0020848j 0.0023267+0.00287919j 0.00179984-0.0100701j -0.00791661-0.00235562j 0.00695139-0.0123463j 0.000198182+0.0027611j 0.00086507+0.00212238j 0.0118093-0.00147078j -0.0178145-0.00755371j -0.000654403+0.00250185j -0.00509981+0.0088068j -0.00227502+0.0143299j 0.0108536+0.00164233j 0.00553337+0.0139742j -0.0153636+0.00701735j 0.00964011+0.0113924j 0.0124849-0.0104765j -0.01022+0.0143303j -0.0133835-0.00790046j -0.00459351-0.00589664j -0.0108429-0.00374494j 0.00681811-0.00422811j -0.00336461+0.00517393j 0.00125663+0.0110243j 0.00343943+0.0173543j -0.0218915-0.00570151j -0.00469084-0.00328556j 0.00695197-0.0134817j -0.00463877-0.00653748j 0.0151465-0.00392604j -0.0031246+0.00912348j -0.0129205-0.0179509j -0.00526743+0.00637997j -0.00707837-0.00627867j -0.00383436-0.00367055j -0.000903978+0.0174381j -0.00355144-0.0062257j 0.00232213+0.00104144j 0.00387668-0.000682938j 0.00520684-0.0046883j 0.00231293-0.000243333j -0.00923013+0.00550776j 0.00837739-0.00389277j -0.00193279-0.00426742j -0.00280104-0.00496739j 0.00449193-0.007426j 0.0170732-0.00395688j 0.00329866+0.0125489j 0.00142378+0.00980949j -0.00339708-0.00490888j 0.00402618-0.00201603j 0.0146685-0.00530385j -0.011726-0.00339358j 0.0105002-0.0018369j -0.00598548+0.000714323j -0.00101671+0.00126924j -0.00670241+0.0174111j 0.00799181+0.0137016j -0.00766153-0.00289337j 0.00082227+0.00470316j -0.00435127-0.00893496j -0.00791659+0.00238012j 0.0157788+0.0179915j 0.0163245-0.0117113j -0.0103345-0.00304625j -0.00261319+0.00353057j 0.00723847+0.00172558j -0.0154614-0.0122749j -0.0162795+0.0134193j -0.00402148+0.0136565j 0.0125326+0.00475018j -0.00886012-0.00347255j 0.00485438-0.00850581j 
-0.0187358-0.00449484j -0.00265645+0.0179907j 0.00521244-0.016247j -0.0173629-0.00365611j 0.00222649-0.00184997j -0.00236313+0.0119326j -0.0178362-0.00193821j -0.00665302-0.00387385j -0.00107623+0.00552283j -0.0070713+0.00529451j -0.00710192+0.0107099j 0.0225667-0.00363336j 0.00519019+0.0294769j -0.0068585-0.00531228j -0.00955667+0.00528496j 0.00735389-0.0246587j 0.0271475+0.00915795j -0.0134043-0.0129561j -0.019415+0.013718j -0.00350658+0.000685078j -0.00434718+0.00921937j 0.00224544-0.0165904j -0.00827671+0.00471441j -0.00819926+0.000521073j -0.00714172+0.00655301j 0.00275213+0.0146072j 0.0161729+0.008013j 0.0107911+0.00402703j 0.00355067+0.002577j 0.000175318+0.00638277j -0.00325055-0.00882807j 0.00698257-0.00448502j -0.0150226+0.0103453j 0.0230668+0.0145693j 0.00645884-0.0239168j -0.00954155+0.00149461j 0.00158094-0.00739521j -0.0230161+0.0016757j 0.000135895+0.0204135j 0.000571681-0.016151j 0.0139965+0.0111053j 0.0203822-0.0189397j -0.0203902-0.00900082j 0.00667949-0.0129609j -0.000421529-0.00939752j 0.00543876+0.0150702j 0.0146187+0.0138031j -0.0145395+0.0123185j 0.00659838-0.00438221j -0.000757678-0.00276703j -0.0207399-0.00399683j 0.00786025-0.00274465j -0.00418258+0.00113058j 0.0182406-0.014735j -0.00301972+0.00176584j -0.000809874+0.0108351j 0.00573952+0.013264j -0.0211606+0.0023237j 0.000510987-0.000721679j -0.00189988-0.00400068j 0.0133512-0.0107303j 0.00357167+0.00211648j 0.00140278-0.00821334j -0.00626822-0.00454544j -0.00544662-0.0035326j 0.00496213+0.00580944j -0.00265101+0.0111066j 1.42993e-05+0.00525589j 0.0141507+0.0189719j 0.00368298-0.0137017j 0.0103391-0.0036388j 0.00837932+0.0029968j 0.00507392+0.0117064j -0.000163873+0.00671559j 0.00757796-0.0067554j 0.00616541+0.0100282j -0.00245121-0.0102174j -0.0092448+0.000459822j -0.0137943+0.0105737j 0.00462838+0.00639366j -0.0171077-0.00581385j -0.0113678+0.0192152j -0.00557303-0.0202458j -0.00648702-0.00237561j 0.0168595-0.00667397j -0.00971492-0.019144j -0.0197022+0.00723059j -0.00952439+0.0210855j -0.00559762-0.0166232j 0.0342325-0.00210389j -0.00329694-0.0317387j 0.00908687+0.00670705j 0.0117728-0.013027j 0.0176068-0.00726889j 0.00844674+0.0156571j 
-0.00457928+0.00473765j 0.0034828+0.00525133j -0.00300172+0.0044494j 0.00267154+0.00267109j -0.00286259+0.00154826j -0.000792905+0.000231871j 0.00320284+0.00126831j -5.48055e-05-0.00149362j -0.00133025-0.000980895j -0.00359555-0.0026284j -0.00177497-0.00193813j 0.000331364-0.0027648j 0.00135537+0.00326314j -0.00254155+0.000600365j -0.000886128-0.000699366j 0.012746-0.00570685j 0.00656036+0.0135627j -0.00756437+0.00484821j 0.00389506+0.00555697j 0.00264841-0.00111756j -0.0075971-0.00359073j -0.00328114-0.00653912j 0.000449701-0.00305995j 0.000704385-0.00058689j 0.00133511-0.0027677j -0.00182485-0.000895061j 0.00434048-0.00338799j 0.000232038-0.00153607j -0.00132498-0.00238353j 0.000635854-0.00357062j -0.00211885+0.000680198j -0.00562963-0.00107294j 0.000729286+0.000869767j 0.000379407+0.00235862j 0.0009498+0.000972502j -0.00133877-0.00128333j 0.0020698-0.000574712j 0.00702677-0.016377j -0.0179158-0.00820132j 0.0072384+0.00190022j 0.00106824+0.0127017j -0.00547467-0.0188715j -0.0214177+0.0119351j -0.00824955-0.00476495j 0.0128682+0.0024605j -0.000418671-0.00442485j -0.0114114+0.00312281j 0.00436111-0.00809683j 0.00743642-0.00449316j 0.00212488-0.000529453j -0.01507-0.00759817j 0.00437739-0.00637122j -0.00173273-0.00647303j 0.00669512-0.00184102j 0.0057067-0.00221004j 0.00166697+0.0102274j 0.00193276-0.00322473j 0.00336266-0.0111011j 0.00781788+0.00523924j -0.000816259-0.0122834j 0.00326789-0.000703925j 0.0071092-0.00128734j 0.00429428+0.00490969j -0.000199085+0.012443j -0.00334976+0.00015774j 0.00478061-0.00743479j 0.00355701-0.00371704j 0.00889227-0.00342633j -0.00107982+0.0045852j 0.0016284+0.000131015j 0.000325548-0.00507799j 0.000572521+0.00128003j 0.0066914+0.00360647j -0.000688768+0.00602814j 0.00162402+0.0027211j -0.0034887+0.00370594j -0.0091056-0.00293586j 0.00491894+0.000239844j 0.0098101+0.00201735j -0.00365134-0.00480886j -0.00480388-0.0078691j -0.00449931+0.00778332j 0.00623688+0.00159528j -0.00395541+0.000715061j 0.00138421+0.00332039j 0.0057704+0.00333093j 0.00314359+0.00540156j 0.00568783+0.00812266j -0.0113427+0.0102142j -0.00250953+0.00490469j 0.00345003+0.00049093j -0.0040967+0.00800623j 0.00381611+0.00607685j -0.00433773-0.0121901j 0.00974814-0.00189684j 
-0.00370291-0.00149189j -0.00109273+0.00540322j -0.00532954+0.0043906j -0.00150182+0.00295061j -0.00545854-0.00292399j -0.00595407-0.00281924j 0.00341413+0.0040596j -0.000231866-0.00215961j 0.00294295-0.00413257j 0.000484284-0.00268403j -0.000274092-0.00326992j -1.43937e-05-0.00133271j 0.000336837+0.00442988j -0.00142077-0.00123279j -0.00378448-0.000126496j 0.00470153+0.00946577j -0.00889722+0.00266783j -0.00331537-0.0121636j -0.0124961+0.0064684j 0.00135601-0.00156971j 0.0116136+0.000262642j 0.0124455+0.00141164j -0.000317539+0.00215016j -0.00523369-0.00123271j -0.000565927+0.0114933j 0.00522346+0.00295666j 0.00246563+0.00825903j 0.00764925-0.00172197j -0.000962095-0.00324098j 0.00411462+0.00496265j 0.00235013-0.00292156j -0.00459159-0.00568476j -0.000244021+0.00823179j -0.00280752+0.00218817j -0.00189116+0.0129116j 0.00847255+0.00268785j -0.000681681+0.00322929j -0.00452913+0.00560731j 0.00836242+0.00511432j 0.0028595-0.00474892j 0.00227546-0.000717006j 0.00685293+0.0145102j 0.0134663-0.00588042j -0.00391107-0.00663298j 0.00525162+0.00559085j 0.00722603-0.0097441j 0.0116112-0.00102023j -0.00137361+0.0136416j -0.00302838+0.00187999j -0.00395539-0.0027781j 0.00775462-0.00583317j 0.00190058-3.86722e-06j 0.00606169-0.00284906j 0.00624104+0.000652059j -0.00331597-0.00168133j -0.00378892-1.21988e-05j 0.00715189-0.00543657j 0.000672923-0.00140823j -0.00423787+0.00514546j 0.00702651+0.00322738j -0.00391886+0.000549621j -0.00365938+0.00236834j -0.00338518-0.00257614j -0.0101162-0.00389977j -0.00285386+0.000389285j -0.000802224+0.00521147j -0.000326803+0.00571061j -0.00316608+0.0106134j -0.000453329+0.000676372j -0.00489984-0.000552376j 0.000645661+0.00274161j -0.00361305-0.00388729j -0.00519868+0.00637518j -0.008149-0.00229044j -0.00437865+0.0042477j -0.0017895+0.000101272j 0.00510751-0.00325852j 0.00707357+0.00052362j 0.0047916+0.00955198j 0.00427053+0.000775871j 0.00470766+0.00418282j -0.0108005-0.00694172j -0.00279513+0.00641209j 0.00284556-0.000697515j -1.22303e-05+0.00340875j -0.000610188-0.00879095j -0.0081057-0.00934803j -0.00400467-0.00245491j 0.00295569-0.00414767j 0.00364413-0.00297737j -0.00150975-0.00123079j 0.00599824-0.0233654j -0.0199728-0.00222855j 0.0124056-0.0191499j 0.0204292+0.0115819j 
