-0.141195+0.124858j 0.120776+0.164905j -0.230323+0.0780471j -0.0281299-0.234369j -0.125958+0.06353j 0.0952071+0.0637347j -0.0441512-0.148181j 0.209247+0.00578966j -0.0194897-0.0481936j 0.0304405-0.00702178j -0.05123-0.072752j 0.0131611+0.078483j -0.1057+0.137952j 0.049807+0.0468455j 0.035424+0.0372287j -0.0341385+0.0423103j 0.011913+0.0150023j -0.0203387-0.0508331j -0.0286334+0.0138611j 0.175127+0.121478j -0.0886729+0.0408399j 0.0276371-0.0330742j -0.071499-0.0601919j 0.0916994+0.0608499j 0.0187893+0.017034j -0.0981881+0.03852j -0.00872285+0.0948556j -0.13917-0.065762j -0.0147677-0.0427844j 0.0420247+0.0935963j -0.0054635+0.116565j -0.0711187-0.0158136j 0.0066321+0.0514823j -0.0161942-0.0170163j -0.0219071-0.0487447j -0.00863934-0.0498352j 0.013693+0.0312797j -0.0299697+0.024884j -0.104146-0.00209868j 0.0414143-0.05909j -0.068085-0.0443452j -0.00480424+0.0279541j 0.0202196+0.0626983j -0.022937+0.0906427j -0.0400351-0.0308879j -0.045997-0.0886783j 0.0953042+0.00466653j -0.0260094-0.021083j -0.0597477+0.113862j -0.0461837+0.0966159j 0.0657037-0.0425065j -0.0465499-0.0702033j 0.108365+0.044013j 0.000971513+0.0327045j 0.0118998+0.0475966j 0.0630249+0.0806599j 0.0400043+0.0226161j -0.00307442+0.0757308j 0.0457014-0.0873601j -0.0428637+0.0134615j 0.0500058+0.0921003j 0.0584495+0.0698394j -0.0456123-0.179554j 0.0317674-0.0818142j -0.106811-0.0851727j 0.131114-0.0563347j -0.14963-0.135341j -0.173085+0.120942j 0.152045+0.100554j -0.125228+0.166209j 
0.0291038+0.18992j 0.175613-0.0169304j -0.0486341+0.0059386j 0.027259-0.0372485j 0.135246-0.0948297j -0.0544986-0.09952j 0.0455288+0.097382j 0.00229759+0.140552j 0.132004-0.0996939j -0.097082-0.116229j 0.0115353+0.108639j -0.255944+0.102508j -0.120038-0.0478261j -0.0628069-0.033254j 0.0984034+0.0682567j -0.0317413+0.0731391j 0.142763+0.0603831j 0.0836607+0.0194051j 0.039352+0.169885j 0.00258206-0.099924j -0.0112965-0.0630715j -0.0501925+0.0635667j -0.057281+0.0186464j -0.178034-0.0394644j 0.0658536+0.0693896j 0.07567+0.0425355j -0.0574104-0.0568086j 0.0244348+0.00950203j 0.0439445+0.0705072j 0.0369161-0.0378941j 0.110236+0.0284441j -0.0455602+0.00192087j 0.0242828-0.00113832j -0.00296096-0.0401012j 0.0304207-0.0442303j -0.0467148+0.0353659j 0.0245257-0.0877438j -0.047434+0.0909888j -0.046831-0.00693416j 0.0638847-0.0871112j -0.0264214-0.0368817j -0.0059455+0.0666203j 0.0914763-0.0465387j 0.0625364-0.041985j 0.00869927+0.0935626j -0.0895178+0.226087j -0.0114527+0.0300217j -0.0314501+0.00453253j 0.0489174-0.0298523j -0.0552641-0.018904j -0.040586-0.000946782j -0.0615474-0.0338962j -0.0793956-0.0130468j 0.194953+0.0855243j 0.0388442-0.0612134j 0.0782051+0.0324299j -0.0351451+0.0996428j 0.0535456+0.0419334j 0.0784443+0.0104371j 0.00576614-0.0911063j -0.146207-0.0289692j 0.0273972+0.0105796j 0.184976-0.0967405j 0.0859713+0.0267404j 0.0920657-0.0177168j 0.0132972+0.176122j 0.0389186-0.0757407j -0.050312-0.0757299j 0.174887-0.100348j 0.0875274+0.186807j 
-0.0586839-0.116515j -0.0814145+0.0468721j 0.153912+0.0717397j -0.0712611+0.114726j -0.0390581+0.101663j 0.0956621-0.0410466j -0.063702-0.177819j 0.0818884-0.0337832j 0.0402012+0.0428849j -0.0449175-0.0583894j 0.137605+0.0295975j -0.110077+0.208644j -0.0737013-0.230055j -0.0569173+0.0628087j 0.145259-0.0123388j -0.00686589+0.0974146j -0.0899679+0.0532493j 0.128579-0.0455773j 0.079469+0.00520592j 0.096695-0.0484913j 0.0727707+0.0256005j -0.102966-0.0241716j -0.0321111+0.00390342j -0.0316534-0.0525028j -0.0846927-0.0550637j -0.0188669-0.0141263j -0.0206975-0.0486172j -0.0155355-0.0166676j -0.0297012-0.000320411j -0.00794494+0.0846592j -0.00246144-0.0972845j 0.0922077+0.0473555j 0.103356+0.143105j -0.0112781-0.0520864j 0.0335951-0.0403755j -0.0216406-0.0108407j 0.0310628-0.05501j -0.00752776+0.0275194j 0.0570978-0.0709684j -0.000848245+0.0946811j -0.00582457-0.0516679j -0.0725936+0.129332j 0.0198824+0.0517909j -0.00635966-0.0374598j -0.0301778-0.0293882j 0.0310503+0.00197908j 0.016219-0.0373296j 0.0391352-0.0599592j 0.0675033+0.0215219j 0.0685582+0.0241932j 0.101374-0.108437j -0.0447292+0.0825869j -0.0371267+0.0147858j -0.0474915+0.145946j 0.112452+0.0041938j 0.136487-0.00700176j -0.0361283+0.074391j -0.102405-0.200648j -0.0175756-0.0486617j -0.216023-0.092324j -0.125099+0.131663j 0.00924809-0.112373j 0.0189977-0.0894222j 0.049501+0.0782512j -0.0684248-0.102778j 0.0861102-0.0103936j -0.036707+0.173299j 0.208004+0.0504296j -0.0511629+0.0904882j -0.0809082-0.0791516j 
0.076889+0.0699849j 0.0879678-0.0619259j 0.00566424-0.0742116j 0.0995169-0.00953533j 0.0940369+0.0688407j 0.167601-0.116437j 0.0436896-0.104605j 0.0936261+0.185249j 0.0342608+0.0506294j 0.107847+0.169669j 0.21201-0.114893j -0.00641473-0.049379j 0.0486465-0.0955393j 0.00578661-0.0607395j -0.144409+0.0546058j 0.0980877-0.00602695j -0.0391187-0.150695j -0.0264569+0.0123941j -0.0801934-0.033821j -0.0488769-0.0730383j 0.00162711-0.0534547j -0.0244226+0.0654987j -0.010709+0.0413495j -0.0267421-0.00567533j 0.00234202-0.0359361j 0.00546501-0.0265445j 0.0127669+0.0534032j -0.095279+0.0523475j -0.0811209-0.159029j 0.0614971-0.0285766j 0.0198866-0.00767092j -0.0318096+0.0639697j -0.0181251-0.0130261j -0.0444726-0.0470372j -0.0719875-0.0554588j -0.0344243+0.00943344j 0.0253176-0.0482438j 0.0882074-0.153239j 0.00278542-0.0407047j 0.0157377+0.00602327j -0.0464574+0.109019j -0.0403245+0.0392056j 0.0987887-0.021261j 0.0148186+0.0432143j 0.0500177-0.00778471j 0.050222-0.0827317j 0.0283524-0.0162516j -0.0806466+0.0174283j 0.0601053+0.0127799j 0.00310061-0.0028371j -0.153931-0.00610324j 0.0377062-0.0448412j -0.0661512-0.0499168j -0.0785143-0.0403429j -0.0177886-0.0958j -0.126885+0.0467929j -0.0127405-0.072816j 0.125451-0.119009j 0.12321+0.2043j -0.132008-0.00576637j 0.0469994-0.0160752j 0.0575788+0.0137083j 0.170203-0.0574431j -0.0682172+0.213873j -0.192457-0.0485252j -0.0408583-0.15529j 0.0135599-0.0712997j -0.0489546-0.0536728j 0.0572698-0.0846976j 0.072108+0.0318869j 
-0.0936445+0.0256902j 0.0261533+0.084521j 0.122372+0.0964145j -0.0955184+0.0775433j -0.0235014-0.197226j -0.152575+0.0127117j 0.0792517-0.0351355j 0.132325-0.00655194j -0.0200632+0.061656j 0.183296-0.0309755j 0.00281761-0.100758j -0.00455909-0.00628854j 0.0138717-0.0377247j -0.0560163-0.102255j -0.0940876-0.0302893j 0.0595561+0.048563j 0.154181-0.098185j 0.114023-0.0183157j -0.0429539-0.0439556j 0.00254419-0.00814635j 0.000868436+0.0574836j -0.0752268-0.0792741j 0.0192061+0.00589456j 0.0604624+0.0124936j 0.0486026+0.24121j -0.0074205+0.0823657j -0.0557688-0.101706j -0.0421286-0.0503339j -0.0134041-0.0631404j -0.0248038-0.044701j 0.0235897+0.0103864j 0.0350859+0.0144321j -0.0417004-0.0999878j -0.0141961-0.0887741j -0.0411323+0.0439105j -0.0343611-0.0467782j -0.0127738-0.02593j 0.0486097-0.0144651j 0.0367555-0.00856471j 0.0829219+0.0648379j 0.0103501-0.048943j 0.0523071-0.112873j -0.109922+0.0255907j 0.0487025-0.120356j -0.104338+0.015498j -0.0168468+0.0387824j 0.189311-0.0764934j -0.0129743-0.0379597j 0.0770184+0.0443262j 0.0581917+0.0507784j 0.052416-0.138861j 0.0856694-0.13245j -0.118197+0.0265286j 0.0887461-0.0877933j -0.029988-0.0629955j -0.130096+0.0163497j -0.0913296+0.0203175j 0.0677652-0.153172j 0.233672+0.105476j -0.0252707+0.155661j 0.126532-0.140803j 0.115057+0.0508952j -0.105918-0.0522223j 0.0304429-0.126966j 0.103902-0.0948074j 0.137607+0.0944059j 0.0074308+0.128883j 0.126311-0.000918727j 0.0283839+0.0717742j -0.0620102+0.0314641j 
0.00197286-0.00305194j 0.00757312-0.00669338j 0.0100929+0.00759578j -0.022496+0.000899467j 0.00329502+0.00676274j -0.00564249-0.0172693j -0.0164604-0.0105411j -0.00417908-0.0345329j 0.000916104-0.00868417j -0.021315+0.00206299j 0.00988966+0.0139497j 0.0240685-0.0101283j 0.0341331-0.0176038j 0.00481352-0.0085223j 4.01527e-05-0.0152665j 0.0105396+0.000563675j -0.00786578-0.0146194j 0.00609465+0.00641194j 0.0164294-0.0169715j -0.024309-0.0125373j 0.00818643-0.00878609j 0.011773-0.0140003j 0.00613232+0.0150416j 0.00213043-0.0202782j 0.000531156-0.0178337j 0.0118369+0.00191462j 0.00936538-0.0013365j 0.00748458+0.0133807j -0.00590227+0.00747203j -0.0135462-0.00600793j 0.0109497-0.0297066j 0.0161188+0.00497216j -0.00291142-0.0151792j -0.00159741+0.0102215j 0.00113535+0.0117473j 0.00383172+0.00854903j -0.00235677+0.00424383j 0.000517884-0.0160977j 0.0206566+0.0105377j -0.0170326+0.0142258j 0.00469963+0.0173236j 0.00543104-0.00421725j -0.00843476-0.00249749j -0.00515351-0.00588812j 0.0143999-0.00588823j 0.0118165+0.0088384j -0.0138119+0.00627897j 0.0110813-0.00366839j 0.00618391-0.00690375j 0.0114755-0.00907917j -0.000377528+0.00853439j 0.0205844+0.00808323j -0.0123366+0.00950374j -0.0150052-0.00557713j -0.00422956+0.00230594j -0.0135745-0.00563162j -0.00755143-0.0018261j -0.0114869-0.000530317j -0.0078684+0.015235j 0.00873982+0.0118135j -0.0103136-0.00826905j -0.0295769-0.0152476j 0.0196323+0.0130631j 0.0118624+0.0243684j 0.0203767-0.0102215j 0.00357455+0.0128467j 0.0162436-0.00765815j 0.0103495-0.0147764j -0.00319103+0.0226605j -0.0150978-0.0152519j 
0.00793355-0.00230785j 0.0034176-0.0123192j 0.00838021+0.0126513j -0.00892358+0.00138376j -0.0035904-0.0123651j -0.0202221-0.000583224j 0.00879104-0.00805341j 0.00820047-0.001135j -0.0184708+0.0121453j -0.00751575-0.00318111j 0.0109154+0.0115435j 0.0124378+0.0416478j -0.00705831+0.00751722j -0.0176679+0.0116236j 0.00575323+0.000745668j -0.0064124-0.0123204j -0.0155296-0.00595194j -0.00370169+0.0020776j 0.00678525-0.00594071j 0.00290546+0.021475j 0.00242939+0.00794596j 0.00777436-0.0131886j 0.00636502-0.00187225j 0.0450807+0.0107027j -0.00620457-0.0002259j -0.0210162-0.0124985j 0.011908+0.00223756j -0.0113778-0.00710884j -0.00850938-0.00371476j 0.00117545+0.0157649j -0.0149798-0.0151866j -0.00691423-0.00298077j -0.0132383+0.00379955j 0.0104691-0.00334945j -0.00507667-0.00841391j 0.00846489-0.0102629j -0.000786256+0.00898573j -0.0165543-5.92051e-05j -0.00365825-0.0123481j 0.00844552+0.0144891j 0.00348554+0.00213224j 0.00118692-0.0162537j -0.00743176+0.0225698j -0.0123877+0.0145642j -0.00581945-0.0113061j 0.0161228-0.0352926j 0.00505719+0.00222297j -0.00448651-0.0116099j -0.0107304-0.00348609j 0.00120248-0.00648294j 0.026142-0.00191653j 0.00198889+0.00192894j 0.00108442+0.00703874j -0.00950346+0.0100592j -0.00363501+0.00351624j -0.00774872-0.00336082j -0.00274956+0.00583787j -0.0260431-0.00415609j -0.0209631+0.00388982j -0.0157554+0.0118305j 0.0154524-0.00583986j 0.0150965-0.00997654j -0.00984661+0.0259753j -0.0139+0.0137252j 0.00514645-0.00332065j -0.012635+0.00314942j 0.0107884+0.00761148j 0.00909495+0.00686873j 0.0175171+0.00491488j -0.00369808+0.0146685j 
0.007881+0.00106473j 0.00689814-0.0105648j -0.014486+0.00668336j -0.00744145-0.023254j -0.00852401-0.00733171j -0.00880378+0.00399405j 0.00447051-0.0181885j 0.018428-0.0107424j -0.0210998-0.0025611j 0.00438712+0.00247659j -0.00378756+0.00088106j 0.0010727+0.00157629j 0.0121309-0.0045726j -0.0028015-0.00307013j 0.00311916+0.0014477j -0.0156186-0.00359922j -0.00252344+0.0023244j 0.0116411+0.0163187j -0.00913575+0.00532531j 0.00128864-0.0238157j 0.0166841+0.0424338j -0.0165119+0.00954334j -0.00160182-0.00547655j -0.0315313+0.0127212j -0.0031092+0.00666826j 0.015871-0.0117161j 0.0082531-0.00982506j 0.025237+0.00191954j 0.0042457-0.00147616j 0.00226262+0.00873223j -0.00550416+0.0105881j 0.0150666-0.00276124j 0.00465125+0.0231861j 0.00854512-0.00404127j 0.00205355-0.00658258j -0.0166263+0.000302642j -0.0100032-0.000350456j 0.0146155+0.00957076j 0.00296902-0.00370743j -0.000387805+0.0147582j -0.00234802-0.0042281j -0.0242784+0.000768498j -0.00237954-0.00770181j 0.00411961-0.00726399j -0.0199817+0.00468007j -0.0234571+0.00541937j 0.00113046-0.0148439j -0.000176038-0.0035883j -0.00832049-0.0108529j 0.0051262-0.00659312j 0.00317641-0.0234074j 0.00859162+0.00721239j 0.00220895-0.0118616j -0.0113941+0.0261756j 0.00259427+0.0124475j 0.00381242+0.00402j -0.0151809-0.0170257j -0.0191307-0.0149155j -0.0165738-0.00748558j -0.00383797+0.00405082j 0.0218623+0.00124635j 0.00814875+0.0242313j 0.00168962+0.00284294j 0.00139938-0.00395999j 0.0042125-0.00620628j 0.0095686-0.00876833j 0.0252925-0.0201082j -0.0166135-0.0216548j 0.00754332-0.00110332j 0.00356609+0.00179198j 
-0.00317997+0.0012495j -0.00494552+0.00275876j -0.0147311+0.00320325j -0.00609291-0.00616966j -0.0216207-0.00484671j -0.0110951+0.0328264j 0.0138476+0.0147199j -0.0201292-0.00482566j -0.0193631-0.0110855j -0.0115579+0.00978502j 0.00415679+0.000951078j -0.0129432+0.00606328j -0.0128177-0.0222608j 0.00968599-0.00542436j -0.0107389-0.0323692j 0.0172894-0.0048079j 0.00943977-0.0102452j -0.0104216+0.0215736j 0.00827381+0.00691072j 0.0047638-0.0178417j 0.0163764-0.0134922j -0.0152265+0.00763553j 0.00151028+0.00338599j 0.00827155-0.00754705j 0.000780567-0.0123874j 0.00764767+0.00476409j 0.0137275+0.00520189j -0.0121819-0.0041103j -0.00824528-0.0233064j 0.0127768+0.00541647j 0.00525178+0.000743887j -0.00984356+0.00963836j -0.00192833-0.00140452j 0.00442657-0.0122186j 0.00470464+0.0153764j -0.000364812+0.00174797j 0.00467541-0.00415769j 0.00620852-0.0144708j -0.0088703-0.00746438j -0.00295225-0.00583922j -0.021822+0.0145013j -0.00299465+0.00450317j 0.00928371+0.00186581j 0.00371662+0.0162734j 0.00138237+0.00746855j 0.00681635-0.0146543j 0.00671756+0.00386386j -0.00388846-0.0147988j 0.0167521+0.00759758j 0.0044758+0.0119274j -0.00352967-0.0110896j 0.0179597-0.0111361j 0.010716+0.00838658j -0.00514789+0.0106849j 0.0134946+0.00975262j -0.0028451-0.0185916j -0.000752647-0.00453211j -0.00270422-0.0196649j 0.0118691-0.010295j 0.00849113-0.00855686j -0.0155525-0.00593575j -0.00128433-0.0119717j -0.017432-0.00340728j 0.0268087-0.00977953j 0.0133529+0.0364005j -0.0240092+0.016262j 0.00946866-0.00643571j -0.0141912-0.00786708j -0.00399775-0.00161395j -0.000654427+0.00297512j 
0.0114545+0.00109383j 0.00334247-0.0103134j -0.0145322+0.0123197j -0.0091724-0.0160894j 0.00878932-0.0112102j -0.00551405+0.000865328j 0.0256989+0.00113832j 0.000866052+0.0134746j 0.00462978+0.0126618j 0.0256307-0.0114946j -0.0198754-0.00640953j -0.00533581-0.0254844j 0.0160395-0.00499127j -0.00293795+0.0086285j 0.0105212+0.000844468j 0.0118915-0.00466984j -0.0145395-0.00599356j -0.00279429-0.00457299j 0.0303238+0.0026295j 0.00120335+0.000447123j -0.00703422-0.0253681j -0.00358285-0.000208964j 0.00287542+0.0199167j -0.00669906-0.00162244j 0.00156508+0.00198442j -0.0104948+0.0143382j -0.017976+0.0123949j -0.00699027+0.000877136j 0.0016149+0.00751393j 0.0134335+0.0106795j -0.00678145-0.00373078j 0.00404871-0.00710232j 0.0146064+0.0105007j -0.0125839+0.00944216j 0.0113623+0.0183962j 0.0010578-0.0031209j 0.000279376-0.00402227j -0.0036954+0.00869841j 0.0106418-0.000383237j 0.0143594+0.000894206j 0.00735477-0.00138808j 0.00157298+0.0206444j 0.0031195-0.000785097j -0.0194768-0.0047729j -0.00940026+0.00779691j -0.00187589-0.00272905j 0.000713516-0.0152901j 0.00549932+0.00248714j 0.0100664+0.00344628j 0.0165274+0.00787449j -0.00373472-0.0139844j 0.00424541+0.00290148j -0.0056376+0.027195j 0.0210275-0.00347993j 0.0124517-0.014974j 0.00869004-0.0325138j 0.0278113+0.0210944j 0.00550261-0.00907588j 0.00450735+0.000149183j 0.000426197+0.00582918j 0.0159536+0.0154762j -0.0307025+0.0240114j 0.00708608+0.0228093j -0.0111681+0.011027j -0.00149946+0.00457815j -0.0107281-0.00881574j 0.00578216-0.0197133j -0.0181732-0.000642479j 0.0057124-0.00464934j 0.00745718+0.00261901j 
0.0105925-0.0108569j -0.00415752-0.0132986j -0.000961268-0.0073082j 0.0138753-0.00723057j 0.0207943+0.00829765j 0.0093146-0.0220353j -0.00274522-0.00947834j 0.015022+0.00369889j -0.0317852-0.0070889j 0.00602803+0.0141513j -0.00670529+0.00435639j -0.0125499-0.00201055j -0.0114128+0.00601498j 0.0231753-0.0178915j -0.0047448-0.0126157j 0.00935355+0.0176891j 0.0128228+0.0186099j 0.0089147+0.0174394j 0.00759995-0.00581382j 0.00690757+0.00643984j 0.00710447-0.0210242j -0.00536049+0.00465731j 0.0140583-0.00298412j 0.00618196-0.00984939j 0.000232003+0.0166021j -0.0100502+0.00630108j 0.00709061-0.0116658j -0.00306787-0.00425278j 0.0114018-0.016373j -0.0114227-0.0037473j 0.00155064-0.00323478j 0.0180243-0.0152477j 0.000158436-0.00538004j -0.00758782+0.00263194j 0.00858049+0.0211942j 0.00738004-0.00127577j 0.0209967+0.016414j 0.0131205+0.00427639j 0.0149534+0.00558241j 0.00864183+0.00668357j 0.00716678-0.00219796j 0.00841878-0.0128722j 0.00647011+0.00602726j 0.0187611+0.00883817j 0.00892193+0.0213808j 0.000710148-0.00168669j 0.0116874-0.0146742j 0.00146999-0.0154891j -0.0047818-0.00731699j -0.0139423+0.0307428j 0.000313818+0.00819093j 0.0227746+0.00977755j -0.00860459-0.0118403j -0.00351955-0.00473205j 0.0129167-0.0173519j -0.0101053-0.000322926j 0.0155281+0.00471433j -0.0195069+0.000486027j -0.00378155-0.0359735j 0.0166688-0.00863897j -0.019478-0.00790112j 0.0152103-0.00415535j 0.0116688+0.00654078j -0.00832345+0.0166912j -0.0177926-0.0177966j 0.0100413-0.0110188j 0.0069023-0.00661793j -0.0031311-0.00373687j 0.00277634-0.00787576j 0.00630986-0.00204501j 
