-0.0353308-0j -0.0356969-0j -0.00413769-0j -0.00512013-0j -0.00298674-0j -0.00251794-0j -0.000363433-0j -0.00293759-0j -0.0017989-0j -0.000424005-0j -0.00257039-0j -0.000259649-0j -0.000371004-0j -0.00106023-0j -0.000153032-0j -0.00182732-0j -0.000323028-0j -2.6919e-05-0j -0.00206418-0j -0.0016854-0j -0.000364899-0j -0.00170286-0j -3.04083e-05-0j -0.000297939-0j -0.00147472-0j -2.48282e-05-0j -0.000301027-0j -0.00121658-0j -0.000260697-0j -2.50855e-05-0j -0.000388705-0j -2.17247e-05-0j -0.000215064-0j -6.87139e-05-0j -1.7922e-05-0j -5.72616e-06-0j -0.00143558-0j -0.000239263-0j -0.000146518-0j -0.00158889-0j -2.99079e-05-0j -1.76234e-06-0j -0.00125613-0j -0.000264816-0j -0.000837421-0j -0.00126915-0j -0.000162166-0j -3.3102e-05-0j -0.00146549-0j -0.000209355-0j -1.95055e-06-0j -0.00013957-0j -0.000128203-0j -0.000518128-0j -0.000854867-0j -0.000211525-0j -8.54689e-05-0j -0.000129532-0j -2.61694e-05-0j -0.000906723-0j -1.74463e-05-0j -0.000244248-0j -1.54205e-06-0j -2.64406e-05-0j -0.000528922-0j -8.63546e-05-0j -0.000149571-0j -0.000142478-0j -1.02803e-06-0j -1.55803e-06-0j -0.000137982-0j -5.28812e-05-0j -0.000151121-0j -3.0531e-05-0j -8.72495e-05-0j -1.07943e-05-0j -9.2542e-05-0j -1.78097e-05-0j -1.79905e-06-0j -8.81536e-05-0j -1.88901e-05-0j -6.36062e-07-0j -5.39829e-05-0j -1.04945e-06-0j -2.2997e-05-0j -1.40828e-05-0j -1.10192e-05-0j -1.11311e-06-0j -6.49313e-07-0j -2.87463e-06-0j -1.69389e-07-0j 
0.00545166-0j 0.00550815-0j -0.0302008-0j -0.0373715-0j -0.0218001-0j 0.000388526-0j -0.00536143-0j 0.000453281-0j 0.000277577-0j -0.006255-0j 0.00039662-0j -0.00383039-0j -0.00547313-0j 0.000163598-0j -0.00225755-0j 0.000281962-0j -0.00235776-0j -0.000597748-0j 0.00031851-0j 0.000260062-0j -0.00266338-0j 0.000262757-0j -0.000675229-0j -0.00217464-0j 0.000227555-0j -0.000551322-0j -0.00219717-0j 0.000187723-0j -0.00190281-0j -0.000557035-0j 5.99784e-05-0j -0.000482407-0j -0.00156974-0j -0.000501539-0j -0.000397965-0j -0.000127152-0j 0.000221514-0j -0.00174637-0j 2.26082e-05-0j 0.000245172-0j -0.000441207-0j -5.22686e-05-0j 0.000193825-0j -0.00193287-0j 0.000129217-0j 0.000195834-0j 2.50227e-05-0j -0.000488326-0j 0.000226129-0j -0.00152807-0j -5.78508e-05-0j -0.00101871-0j 1.97822e-05-0j 7.99488e-05-0j 0.000131909-0j -0.00154391-0j 1.31881e-05-0j 1.99872e-05-0j -0.000386056-0j 0.00013991-0j -0.00025737-0j -0.00178275-0j -4.5735e-05-0j -0.000390056-0j 8.16144e-05-0j -0.000630297-0j 2.30792e-05-0j -0.00103994-0j -3.049e-05-0j -4.6209e-05-0j 2.12911e-05-0j 8.15974e-06-0j -0.00110302-0j -0.000450398-0j 1.34629e-05-0j -0.00015924-0j 1.42795e-05-0j -0.000262732-0j -5.33575e-05-0j -0.000643428-0j -0.00027867-0j -1.88647e-05-0j 8.32974e-06-0j -3.11252e-05-0j -0.000167854-0j 2.17302e-06-0j -0.000162557-0j -3.30133e-05-0j -1.92578e-05-0j -4.24071e-05-0j -5.02386e-06-0j 
0.00416377-0j 0.00420692-0j 0.000487632-0j 0.000603413-0j 0.000351991-0j -0.0285507-0j 4.2831e-05-0j -0.0333092-0j -0.0203976-0j 4.99695e-05-0j -0.0291455-0j 3.05999e-05-0j 4.37233e-05-0j -0.0120219-0j 1.80349e-05-0j 0.000215352-0j -0.00366279-0j 3.17244e-06-0j 0.000243266-0j 0.000198626-0j -0.00413757-0j 0.000200684-0j 3.58365e-06-0j -0.00337831-0j 0.000173798-0j 2.92604e-06-0j -0.00341332-0j 0.000143376-0j -0.00295602-0j 2.95636e-06-0j 4.58093e-05-0j 2.56028e-06-0j -0.00243859-0j -0.000779142-0j 2.11213e-06-0j 6.74834e-07-0j 0.000169184-0j 2.81974e-05-0j -0.00333998-0j 0.000187253-0j -0.000339123-0j 2.07694e-07-0j 0.000148036-0j 3.12088e-05-0j 9.8691e-05-0j 0.000149571-0j -0.00369668-0j -0.000375341-0j 0.000172709-0j 2.46727e-05-0j 2.29875e-07-0j 1.64485e-05-0j -0.00292248-0j 6.10619e-05-0j 0.000100747-0j 2.49284e-05-0j -0.00194832-0j -0.00295277-0j -0.000296733-0j 0.000106858-0j -0.000197822-0j 2.87849e-05-0j 1.81732e-07-0j -0.000299808-0j 6.2334e-05-0j 1.0177e-05-0j -0.00340957-0j 1.67912e-05-0j 1.21155e-07-0j 1.83615e-07-0j 1.62614e-05-0j -0.00120546-0j 1.78097e-05-0j -0.000346188-0j -0.00198891-0j -0.000122396-0j -0.00210956-0j -0.000201943-0j 2.12021e-07-0j 1.0389e-05-0j -0.000214193-0j 7.49606e-08-0j -0.00123058-0j 1.23679e-07-0j 2.71023e-06-0j -0.000321026-0j -0.000124946-0j 1.31181e-07-0j 7.65223e-08-0j -3.25952e-05-0j 1.99627e-08-0j 
-0.000600989-0j -0.000607217-0j 0.00672903-0j 0.00832674-0j 0.00485727-0j -4.2831e-05-0j -0.0276592-0j -4.99695e-05-0j -3.05999e-05-0j -0.032269-0j -4.37233e-05-0j -0.0197607-0j -0.0282354-0j -1.80349e-05-0j -0.0116465-0j -3.10834e-05-0j 0.000525333-0j -0.00627783-0j -3.51124e-05-0j -2.86692e-05-0j 0.000593427-0j -2.89663e-05-0j -0.00709157-0j 0.000484531-0j -2.50855e-05-0j -0.00579024-0j 0.000489552-0j -2.06945e-05-0j 0.000423965-0j -0.00585025-0j -6.612e-06-0j -0.00506646-0j 0.000349753-0j 0.000111748-0j -0.00417962-0j -0.00133541-0j -2.44197e-05-0j 0.000389108-0j -2.49232e-06-0j -2.70276e-05-0j -0.00227615-0j -0.000827758-0j -2.13672e-05-0j 0.000430663-0j -1.42448e-05-0j -2.15886e-05-0j -2.7585e-06-0j -0.00251923-0j -2.49284e-05-0j 0.000340469-0j -0.000916161-0j 0.000226979-0j -2.18078e-06-0j -8.81353e-06-0j -1.45416e-05-0j 0.000343997-0j -1.45386e-06-0j -2.20338e-06-0j -0.00199163-0j -1.54237e-05-0j -0.00132775-0j 0.000397214-0j -0.000724289-0j -0.00201227-0j -8.99714e-06-0j 0.000140436-0j -2.54425e-06-0j 0.000231708-0j -0.000482859-0j -0.000731794-0j -2.34713e-06-0j -8.99527e-07-0j 0.000245764-0j -0.00232357-0j -1.48414e-06-0j -0.000821505-0j -1.57417e-06-0j -0.00135541-0j -0.000845003-0j 0.000143362-0j -0.00143763-0j -0.000298754-0j -9.18267e-07-0j -0.000492919-0j 3.73995e-05-0j -2.39553e-07-0j -0.00083862-0j -0.000522819-0j -0.000304978-0j -0.000218775-0j -7.9561e-05-0j 
0.00372419-0j 0.00376278-0j 0.000436151-0j 0.000539709-0j 0.00031483-0j 0.000265414-0j 3.83092e-05-0j 0.00030965-0j 0.000189621-0j 4.46941e-05-0j 0.000270943-0j 2.73694e-05-0j 3.91073e-05-0j 0.000111758-0j 1.61309e-05-0j -0.028072-0j 3.40502e-05-0j 2.83751e-06-0j -0.0317107-0j -0.0258917-0j 3.84638e-05-0j -0.02616-0j 3.20531e-06-0j 3.14055e-05-0j -0.0226552-0j 2.61713e-06-0j 3.1731e-05-0j -0.0186896-0j 2.74798e-05-0j 2.64425e-06-0j -0.00597142-0j 2.28999e-06-0j 2.26697e-05-0j 7.24308e-06-0j 1.88914e-06-0j 6.0359e-07-0j 0.000151323-0j -0.00367564-0j 1.54444e-05-0j 0.000167484-0j 3.15257e-06-0j 1.85767e-07-0j 0.000132408-0j -0.00406819-0j 8.82719e-05-0j 0.00013378-0j 1.70938e-05-0j 3.48925e-06-0j 0.000154476-0j -0.00321619-0j 2.05606e-07-0j -0.00214412-0j 1.35138e-05-0j 5.46154e-05-0j 9.01109e-05-0j -0.00324952-0j 9.00921e-06-0j 1.36539e-05-0j 2.7585e-06-0j 9.5577e-05-0j 1.839e-06-0j -0.00375222-0j 1.62546e-07-0j 2.78708e-06-0j 5.57533e-05-0j -0.00132661-0j 1.57661e-05-0j -0.00218879-0j 1.08364e-07-0j 1.6423e-07-0j 1.45446e-05-0j 5.57416e-06-0j -0.00232157-0j 3.21825e-06-0j 9.1969e-06-0j 1.13782e-06-0j 9.75479e-06-0j 1.87731e-06-0j 1.89637e-07-0j -0.00135425-0j 1.99119e-06-0j 6.70468e-08-0j 5.69029e-06-0j 1.10622e-07-0j -0.000353289-0j 1.48445e-06-0j 1.16153e-06-0j 1.17332e-07-0j 6.84436e-08-0j 3.03013e-07-0j 1.78552e-08-0j 
0.00254978-0j 0.0025762-0j 0.000298612-0j 0.000369514-0j 0.00021555-0j 0.000181716-0j 2.62285e-05-0j 0.000212003-0j 0.000129825-0j 3.05999e-05-0j 0.000185502-0j 1.87386e-05-0j 2.67749e-05-0j 7.65158e-05-0j 1.10441e-05-0j 0.000131876-0j 2.33126e-05-0j 1.94271e-06-0j 0.000148969-0j 0.000121633-0j 2.63343e-05-0j 0.000122894-0j 2.19453e-06-0j 2.15019e-05-0j 0.000106429-0j 1.79182e-06-0j 2.17247e-05-0j 8.77994e-05-0j 1.88142e-05-0j 1.81039e-06-0j 2.80523e-05-0j 1.56785e-06-0j 1.55209e-05-0j 4.959e-06-0j 1.29341e-06-0j 4.1325e-07-0j -0.0406929-0j 1.72673e-05-0j 1.0574e-05-0j -0.0450387-0j 2.15841e-06-0j 1.27186e-07-0j -0.0356062-0j 1.91114e-05-0j -0.0237375-0j -0.0359752-0j 1.17033e-05-0j 2.38893e-06-0j -0.0415406-0j 1.51089e-05-0j 1.40769e-07-0j 1.00726e-05-0j 9.25228e-06-0j -0.0146868-0j -0.024232-0j 1.52655e-05-0j 6.16818e-06-0j 9.34816e-06-0j 1.88861e-06-0j -0.0257019-0j 1.25908e-06-0j 1.76271e-05-0j 1.11288e-07-0j 1.90818e-06-0j -0.0149928-0j 6.23211e-06-0j 1.07943e-05-0j 1.02824e-05-0j 7.41917e-08-0j 1.12441e-07-0j -0.00391124-0j 3.81637e-06-0j 1.09062e-05-0j 2.20338e-06-0j 6.29669e-06-0j 7.79013e-07-0j 6.67865e-06-0j 1.28531e-06-0j 1.29836e-07-0j 6.36194e-06-0j 1.36327e-06-0j 4.59038e-08-0j 3.89588e-06-0j 7.57374e-08-0j 1.65967e-06-0j 1.01634e-06-0j 7.95243e-07-0j 8.03316e-08-0j 4.68601e-08-0j 2.07459e-07-0j 1.22246e-08-0j 
-0.00065835-0j -0.000665172-0j 0.00364709-0j 0.00451304-0j 0.00263261-0j 0.00451426-0j 0.000647454-0j 0.00526664-0j 0.00322515-0j 0.000755363-0j 0.00460831-0j 0.000462564-0j 0.000660943-0j 0.00190083-0j 0.000272625-0j -3.40502e-05-0j -0.0273947-0j 7.2185e-05-0j -3.84638e-05-0j -3.14055e-05-0j -0.0309456-0j -3.1731e-05-0j 8.15416e-05-0j -0.025267-0j -2.74798e-05-0j 6.65784e-05-0j -0.0255288-0j -2.26697e-05-0j -0.0221086-0j 6.72684e-05-0j -7.24308e-06-0j 5.82561e-05-0j -0.0182387-0j -0.00582735-0j 4.80589e-05-0j 1.5355e-05-0j -2.67504e-05-0j 0.000210894-0j 0.000528098-0j -2.96073e-05-0j -0.00512635-0j 6.31204e-06-0j -2.34066e-05-0j 0.000233417-0j -1.56044e-05-0j -2.36492e-05-0j 0.000584497-0j -0.00567383-0j -2.73077e-05-0j 0.000184532-0j 6.98614e-06-0j 0.000123021-0j 0.000462085-0j -9.65474e-06-0j -1.59295e-05-0j 0.000186444-0j 0.000308057-0j 0.000466874-0j -0.00448556-0j -1.68958e-05-0j -0.00299037-0j 0.000215287-0j 5.52303e-06-0j -0.00453204-0j -9.85588e-06-0j 7.61156e-05-0j 0.0005391-0j 0.000125584-0j 3.68202e-06-0j 5.58027e-06-0j -2.57115e-06-0j 0.000190601-0j 0.000133202-0j -0.00523315-0j 0.000314475-0j -0.0018502-0j 0.000333551-0j -0.00305267-0j 6.44354e-06-0j 7.77013e-05-0j -0.00323785-0j 2.27813e-06-0j 0.000194571-0j 3.75873e-06-0j 2.02703e-05-0j 5.07587e-05-0j -0.00188874-0j 3.98673e-06-0j 2.3256e-06-0j -0.000492725-0j 6.06689e-07-0j 
5.48625e-05-0j 5.5431e-05-0j -0.000924622-0j -0.00114416-0j -0.000667428-0j 3.90992e-06-0j 0.00773721-0j 4.56157e-06-0j 2.79338e-06-0j 0.00902674-0j 3.99137e-06-0j 0.00552773-0j 0.0078984-0j 1.64636e-06-0j 0.00325792-0j 2.83751e-06-0j -7.2185e-05-0j -0.0265273-0j 3.20531e-06-0j 2.61713e-06-0j -8.15416e-05-0j 2.64425e-06-0j -0.0299657-0j -6.65784e-05-0j 2.28999e-06-0j -0.0244669-0j -6.72684e-05-0j 1.88914e-06-0j -5.82561e-05-0j -0.0247205-0j 6.0359e-07-0j -0.0214086-0j -4.80589e-05-0j -1.5355e-05-0j -0.0176612-0j -0.00564283-0j 2.2292e-06-0j -5.34665e-05-0j 2.27517e-07-0j 2.46727e-06-0j 0.000636716-0j -0.00717345-0j 1.95055e-06-0j -5.91766e-05-0j 1.30037e-06-0j 1.97076e-06-0j 2.51815e-07-0j 0.000704715-0j 2.27564e-06-0j -4.67832e-05-0j -0.00793956-0j -3.11888e-05-0j 1.99077e-07-0j 8.04561e-07-0j 1.32746e-06-0j -4.7268e-05-0j 1.32718e-07-0j 2.0114e-07-0j 0.000557126-0j 1.40798e-06-0j 0.000371417-0j -5.45804e-05-0j -0.00627677-0j 0.0005629-0j 8.21323e-07-0j -1.92971e-05-0j 2.32257e-07-0j -3.18386e-05-0j -0.00418452-0j -0.00634182-0j 2.14262e-07-0j 8.21152e-08-0j -3.37699e-05-0j 0.00064998-0j 1.35483e-07-0j 0.000229803-0j 1.43702e-07-0j 0.000379155-0j -0.0073229-0j -1.96991e-05-0j 0.000402155-0j -0.00258904-0j 8.38259e-08-0j -0.00427169-0j -5.139e-06-0j 2.18681e-08-0j 0.00023459-0j -0.00453081-0j -0.00264298-0j 6.11987e-05-0j -0.000689485-0j 
-0.000600989-0j -0.000607217-0j 0.00332932-0j 0.00411982-0j 0.00240323-0j -4.2831e-05-0j 0.000591042-0j -4.99695e-05-0j -3.05999e-05-0j 0.000689549-0j -4.37233e-05-0j 0.000422261-0j 0.000603355-0j -1.80349e-05-0j 0.000248871-0j 0.0045301-0j 0.000259919-0j 6.58956e-05-0j 0.00511729-0j 0.00417825-0j 0.00029361-0j 0.00422155-0j 7.4437e-05-0j 0.000239731-0j 0.00365597-0j 6.07775e-05-0j 0.000242216-0j 0.00301602-0j 0.000209765-0j 6.14074e-05-0j 0.000963633-0j 5.31803e-05-0j 0.000173047-0j 5.52894e-05-0j 4.38715e-05-0j 1.40172e-05-0j 0.00478349-0j -0.0280577-0j -2.49232e-06-0j 0.00529435-0j 4.86384e-05-0j 5.76207e-06-0j 0.00418555-0j -0.0310542-0j 0.00279037-0j 0.00422893-0j -2.7585e-06-0j 5.38329e-05-0j 0.00488314-0j -0.0245505-0j 6.37745e-06-0j -0.016367-0j -2.18078e-06-0j 0.00172645-0j 0.0028485-0j -0.0248049-0j -1.45386e-06-0j -2.20338e-06-0j 4.25586e-05-0j 0.00302129-0j 2.83724e-05-0j -0.0286422-0j 5.04181e-06-0j 4.29997e-05-0j 0.00176242-0j -0.0101266-0j -2.54425e-06-0j -0.016708-0j 3.36121e-06-0j 5.09406e-06-0j 0.000459771-0j -8.99527e-07-0j -0.0177215-0j 4.96517e-05-0j -1.48414e-06-0j 1.75545e-05-0j -1.57417e-06-0j 2.89635e-05-0j 5.88212e-06-0j -0.0103375-0j 3.07205e-05-0j 2.07964e-06-0j -9.18267e-07-0j 3.43123e-06-0j -0.0026968-0j -2.39553e-07-0j 1.79203e-05-0j 3.63937e-06-0j 2.12297e-06-0j 4.67494e-06-0j 5.53828e-07-0j 
-0.000368029-0j -0.000371843-0j -4.31009e-05-0j -5.33347e-05-0j -3.11119e-05-0j 0.00507333-0j -3.78576e-06-0j 0.00591888-0j 0.00362456-0j -4.41672e-06-0j 0.00517902-0j -2.70468e-06-0j -3.86463e-06-0j 0.00213624-0j -1.59408e-06-0j -1.90346e-05-0j 0.000650862-0j -2.80406e-07-0j -2.15019e-05-0j -1.75562e-05-0j 0.000735226-0j -1.77382e-05-0j -3.16753e-07-0j 0.00060031-0j -1.53617e-05-0j -2.58628e-07-0j 0.000606531-0j -1.26728e-05-0j 0.000525271-0j -2.61308e-07-0j -4.04901e-06-0j -2.26299e-07-0j 0.000433326-0j 0.00013845-0j -1.86687e-07-0j -5.96475e-08-0j 0.00292928-0j -2.49232e-06-0j -0.0282555-0j 0.00324211-0j 6.02606e-05-0j -1.83577e-08-0j 0.00256312-0j -2.7585e-06-0j 0.00170874-0j 0.00258968-0j -0.0312731-0j 6.66963e-05-0j 0.0029903-0j -2.18078e-06-0j -2.03182e-08-0j -1.45386e-06-0j -0.0247236-0j 0.00105723-0j 0.00174434-0j -2.20338e-06-0j -0.0164824-0j -0.0249798-0j 5.2728e-05-0j 0.00185016-0j 3.5152e-05-0j -2.54425e-06-0j -1.6063e-08-0j 5.32745e-05-0j 0.00107926-0j -8.99527e-07-0j -0.0288441-0j -1.48414e-06-0j -1.07087e-08-0j -1.62294e-08-0j 0.000281551-0j -0.0101979-0j -1.57417e-06-0j 6.1516e-05-0j -0.0168258-0j 2.17492e-05-0j -0.0178464-0j 3.58844e-05-0j -1.87401e-08-0j -9.18267e-07-0j 3.80611e-05-0j -6.62564e-09-0j -0.0104104-0j -1.09318e-08-0j -2.39553e-07-0j -0.00271581-0j 2.22023e-05-0j -1.15949e-08-0j -6.76368e-09-0j 5.79202e-06-0j -1.76447e-09-0j 
-0.000346981-0j -0.000350577-0j -4.0636e-05-0j -5.02844e-05-0j -2.93326e-05-0j 0.00237923-0j -3.56925e-06-0j 0.00277576-0j 0.0016998-0j -4.16412e-06-0j 0.00242879-0j -2.54999e-06-0j -3.64361e-06-0j 0.00100183-0j -1.50291e-06-0j 0.00524885-0j 0.000305233-0j -2.6437e-07-0j 0.00592921-0j 0.00484118-0j 0.000344797-0j 0.00489135-0j -2.98637e-07-0j 0.000281526-0j 0.00423603-0j -2.43836e-07-0j 0.000284443-0j 0.00349455-0j 0.000246335-0j -2.46363e-07-0j 0.00111653-0j -2.13357e-07-0j 0.000203216-0j 6.49285e-05-0j -1.7601e-07-0j -5.62362e-08-0j -1.40987e-05-0j 0.000687265-0j 0.000278332-0j -1.56044e-05-0j 2.82603e-05-0j -1.73078e-08-0j -1.23364e-05-0j 0.000760663-0j -8.22425e-06-0j -1.24642e-05-0j 0.000308057-0j 3.12784e-05-0j -1.43924e-05-0j 0.000601357-0j -1.91562e-08-0j 0.000400905-0j 0.00024354-0j -5.08849e-06-0j -8.39558e-06-0j 0.000607589-0j 0.00016236-0j 0.000246064-0j 2.47277e-05-0j -8.90486e-06-0j 1.64852e-05-0j 0.000701583-0j -1.51443e-08-0j 2.4984e-05-0j -5.1945e-06-0j 0.000248047-0j 0.00028413-0j 0.000409257-0j -1.00962e-08-0j -1.53013e-08-0j -1.35511e-06-0j 0.000100455-0j 0.000434083-0j 2.8849e-05-0j 0.000165743-0j 1.01997e-05-0j 0.000175797-0j 1.68286e-05-0j -1.76684e-08-0j 0.000253215-0j 1.78494e-05-0j -6.24671e-09-0j 0.000102548-0j -1.03066e-08-0j 6.60573e-05-0j 2.67522e-05-0j 1.04122e-05-0j -1.09318e-08-0j -6.37685e-09-0j 2.71627e-06-0j -1.66356e-09-0j 
