-0.0911194-0.0199559j -0.0904135-0.0159009j 0.0140451+0.0101549j 0.235515+0.0895213j -0.0482727+0.0024654j -0.0489472+0.000891143j -0.0868106-0.00493351j -0.0303841+0.0231851j 0.13419+0.0239101j 0.0366067+0.01475j -0.133369-0.0103458j 0.200149-0.0145664j -0.0124926+0.0202338j -0.167123+0.00106153j 0.0702724+0.00188631j 0.00333136-0.020081j -0.0310797-0.012373j -0.011609+0.00203065j -0.00853812+0.000203299j 0.00784069+0.00742698j -0.0725841+0.0157592j -0.0249875-0.0128613j -0.015511+0.00606012j 0.014294-8.26888e-06j -0.0627989-0.0111008j -0.00461005-0.00690914j 0.0450005-0.000540922j -0.0562967-0.010085j 0.0164776+0.00371581j 0.0182811-0.0103974j 0.0278269-0.000819633j -0.0128809+0.0360331j -0.046128+0.0576167j -0.122934+0.0123513j 
0.00341885+0.0130735j -0.0403391+0.0210709j -0.0365706-0.0220928j 0.115647-0.083952j 0.0673973+0.00593479j 0.0320661+0.0217551j 0.16543+0.0154241j 0.0667849+0.0201232j 0.00121905-0.00729873j 0.091434-0.0228283j -0.0412251+0.0284267j 0.0737014+0.0346299j -0.00397378+0.0259539j 0.0418342+0.0227871j -0.0442237-0.00771818j -0.0773819+7.10124e-06j 0.0435948-0.00304397j 0.00539765-0.00946636j -0.0415597+0.0110894j 0.0126126+0.000876482j 0.0213679+0.0113752j 0.00036004-0.0246016j 0.0156067+0.0044785j 0.047915-0.0144259j 0.0121327-0.00972699j -0.0052029+0.0243202j -0.0187573-0.00675927j 0.0184206-0.00378713j -0.010061-0.00861198j 0.00520601+0.0120835j -0.0201256+0.0121736j -0.0169484+0.000265711j -0.0828834-0.0105296j 0.0415438-0.0251016j 
-0.0231714-0.00610519j -0.0229073+0.00545852j 0.0111396+0.000977153j 0.0436745-0.0090681j -0.0454183+0.0130464j 0.00469662-0.0841628j -0.0188511+0.0120099j 0.0257292-0.0861428j -0.0304553-0.0812846j -0.00955903-0.0245958j -0.0411476-0.0111392j 0.0135228-0.000748364j 0.00187948-0.00232864j -0.0415279-0.000210293j 0.0360691+0.0016307j 0.0184495+0.00265736j -0.00465292-0.0122025j 0.00474055+0.000312344j 0.000957477-0.0369877j -0.0446523-0.0136267j -0.00146221-0.00626055j -0.0110239-0.000163016j -0.00640982-0.0034182j -0.00362558-0.0150171j 0.00478762+0.0068703j -0.00543497+0.00537167j 0.0145089+0.0047035j 0.00451869+0.000116548j -0.00208332+0.00835191j -0.00829203-0.000712886j 0.0178691+0.00379282j -0.00102343-0.0112906j -0.00442524+0.0074491j -0.0189007+0.0148041j 
-0.0910252+0.0133946j 0.00916161+0.0325302j 0.0385383+0.00018983j 0.0109709-0.0239405j -0.13308-0.0166591j -0.0903037+0.00278086j -0.178051-0.0206952j -0.0889003-0.00373282j 0.120705+0.00868503j -0.0766009+0.0074562j 0.0117833-0.00457046j -0.000483079-0.00852403j 0.0158568-0.00368421j -0.150817-0.0130548j 0.0844428-0.00168302j 0.108293-0.00078742j -0.0348949+0.00521765j 0.0315553-0.00582409j 0.0490198-0.0136633j 0.00504796+0.00677776j -0.0661574+0.0175259j -0.000645631+0.00715475j -0.0309506-0.0089174j -0.0734117+0.00265865j -0.0367541-0.000652964j -0.0202349-0.0101056j 0.0279624+0.00759284j -0.0351742-0.0153278j -0.00177523-0.00484131j -0.0181453-0.0262983j 0.0274631-0.00649205j -0.0113104+0.0154411j 0.0617523+0.003761j -0.116896+0.0499008j 
0.00917875-0.00638845j 0.121722+0.0168797j 0.125651+0.0416465j -0.186949-0.027484j -0.0316638+0.00438395j 0.0626991-0.00523429j -0.0137393-0.0147506j -0.0581774-0.00362813j -0.0488123+0.00876492j -0.177985+0.00372546j 0.0932765-0.0168145j -0.355952+0.000998362j 0.00845694+0.0289206j 0.0789223-0.00655016j 0.0775134-0.00173401j 0.0930262-0.00237083j -0.029617-0.0155429j 0.0255421-0.0094411j 0.0430973+0.01197j 0.00342687-0.0122068j 0.0235764-0.0128808j 0.0320031+0.0142499j 0.0169305+0.00364044j -0.0499282-0.00875466j 0.0447088+0.0247272j -0.00799301-0.0296814j -0.0285656-0.00205723j 0.0349689+0.0225575j -0.00633327-0.0125427j -0.0299598-0.00685431j -0.000415118-0.0133029j 0.036249-0.0179375j 0.134889-0.0334004j 0.0681953+0.0142792j 
0.0449854+0.0144621j 0.063704+0.00204037j -0.0515482-0.0189239j -0.053492-0.00514375j -0.0210406-0.00925658j -0.0449194-0.0131256j -0.0257013-0.00834858j 0.0134117-0.00716767j 0.0179543+0.00367644j -0.0508938+0.00939449j 0.0812578-0.00453882j -0.164894-0.00625519j 0.0132493-0.000970227j 0.0530779-0.0068823j -0.0196003-0.00222445j 0.0429594+0.0028845j -0.011783+0.00203205j 0.0209289-0.00329937j 0.0152944-0.000939782j -0.00170886-0.00609452j 0.0091109+0.000333148j -0.0135246+0.0141578j 0.000452858-0.00430968j -0.00171783-9.91385e-05j -0.0117001-0.0371325j -0.0465532+0.000718256j -0.0167143-0.052017j -0.0054044+0.0391367j -0.0200686+0.0058074j 0.0168653-0.0176292j 0.00807918+0.0214627j -0.0220906+0.00640076j 0.0693698-0.0116864j 0.0442161+0.00529241j 
0.0663747+0.0831795j -0.0200968+0.0719979j -0.0599372+0.0195845j 0.101753-0.411451j 0.0213399+0.00679563j -0.0228947+0.0121611j 0.00765432-0.0379207j 0.0150807-0.0445849j 0.0484279-0.0471124j 0.110904-0.0363976j -0.0556669+0.0450514j 0.000476106+0.0470229j 0.0134679+0.0306453j 0.00778357-0.00967713j -0.0741661-0.00269547j -0.0188374-0.0102242j 0.0112737-0.00266187j -0.0138807-0.00196981j -0.0215505+0.0122793j 0.00141178-0.0157646j -0.0177006-0.00580775j 0.00127618-0.00144365j 0.00500755+0.0108331j 0.0292135-0.0372108j 0.0207236+0.00958677j -0.00805241-0.00744539j -0.0200792-0.0136176j 0.0393148+0.0331858j -0.00519865-0.0250387j -0.00332899+0.00090901j -0.0206659-0.0158224j -0.0242641-0.0150858j -0.0838096+0.00351498j 0.0266225-0.0148531j 
-0.136107+0.00508802j -0.00655202+0.0944963j 0.115158+0.185522j 0.048581-0.29579j -0.0956413+0.0105072j -0.0283285+0.0335047j -0.0913873-0.0668672j -0.0793227-0.0693647j 0.081695-0.0345758j -0.151059-0.0197819j 9.98164e-05-0.0154221j 0.0802116+0.0162174j -0.015025+0.0261969j -0.13568-0.0200723j 0.173442-0.0130987j 0.0673646+0.0200673j -0.0599035-0.00396434j 0.0290851-0.0172404j 0.0622971-0.00919387j -0.0233121-0.00185058j -0.0935167-0.00340218j 0.0324452-0.0297774j -0.0397518+0.027663j -0.0405379-0.0450911j -0.0548124-0.01738j -0.054777+0.00770076j 0.0181+0.00357367j -0.0238455-0.00619146j 0.00654953-0.01882j -0.0186575-0.0364291j 0.0241834+0.0268521j -0.0229216+0.00217321j 0.0577682+0.00154511j -0.121908+0.0330936j 
0.0915552-0.142967j 0.0299826+0.0387753j -0.246862+0.325116j 0.065443+0.124015j 0.019401-0.0493736j -0.0397036-0.0141929j 0.0375358-0.106205j 0.0706075-0.0774639j 0.0447129+0.0521922j 0.0837149+0.062833j 0.0390502-0.121845j 0.113762-0.0534992j 0.0281658-0.027335j 0.00928377-0.00624247j -0.157665-1.88793e-05j -0.0755026+0.0376233j 0.0219702-0.0208872j 0.0654619-0.0503839j -0.0259496+0.0100222j 0.00627423-0.000959965j -0.0219902+0.0255162j -0.0103438+0.0160067j 0.00160731+0.0130399j 0.0121774+0.00322305j -0.0150917+0.00110484j 0.00720691+0.0124044j 0.00895521+0.0101041j -0.020083-0.0221255j -0.0166524+0.00112668j -0.0485466+0.0120723j -0.0232158+0.0407432j -0.0394405+0.0187385j -0.0233098-0.0339429j 0.0450703+0.00209386j 
-0.13903-0.194874j -0.0372078+0.0159807j 0.285465+0.411497j -0.0510717+0.0228283j 0.0644253+0.0511107j 0.141571+0.125237j 0.147654-0.0252412j -0.0219867-0.0254753j -0.0251824-0.0111199j 0.0455004-0.0349536j -0.0858537-0.055146j -0.0505154+0.0394509j -0.0319804-0.035267j -0.0225077+0.0306913j 0.0356146+0.0181068j -0.0431456-0.014246j 0.021645-0.0396549j -0.0508434+0.0140285j -0.0653389+0.00666288j 0.0427077+0.00407167j 0.0846927+0.0154308j -0.00349588+0.0146841j 0.0350174+0.00708024j 0.0277028+0.00326624j 0.0254213+0.0151477j 0.00915358+0.00772218j -0.0211517-0.0189932j 0.0260405+0.0128258j 0.00372403+0.00924382j 0.0398732+0.0154371j 0.0186225+0.0205163j 0.031334-0.00722519j -0.0527049+0.0325644j 0.0488724-0.0311969j 
0.119791+0.0363943j 0.10581+0.0657618j -0.08467+0.100815j -0.235727-0.296292j -0.0420401+1.77921e-05j -0.0110625+0.0326j 0.0153057-0.036975j 0.0710346+0.0348456j 0.155831+0.0184173j 0.00600355-0.0189601j 0.0839368+0.0272952j 0.00136478+0.0285586j 0.0217663+0.0233108j 0.047054-0.000703912j -0.175089-0.014117j -0.023737+0.00307784j -0.00110148+0.00113222j 0.0906483-0.0219743j 0.0137661+0.00130462j 0.00170876-0.00658208j -0.0138913-0.0119475j 0.0424535+0.00273362j 0.0207609+0.0107748j 0.0316678-0.0109153j -0.034868-0.00783149j 0.045104-0.0128644j 0.0226557-0.0126599j -0.0402879+0.00221286j -0.00364622-0.00373903j -0.0180108-0.00949866j -0.00462365-0.021582j -0.0484729+0.0406406j 0.0118248+0.0483502j 0.00453882+0.0386671j 
-0.0711061+0.0690299j 0.0398786-0.00629741j 0.298529-0.198463j -0.141186+0.114091j -0.0656584-0.0608464j 0.113888-0.0643629j 0.124972-0.0498896j 0.00800067+0.0532586j 0.331276+0.0821087j 0.0521345+0.0700684j -0.00799592-0.0235967j 0.131383-0.0617539j -0.0386692+0.00971562j -0.0626949-0.0372609j -0.134762-0.0175718j -0.0834987+0.0126457j -0.0138573+0.0120551j 0.0771759+0.0169054j -0.00677174-0.0269925j 0.0522174+0.0264508j -0.0235493+0.0110551j 0.0549164-0.0149863j -0.0171789+0.000816198j 0.033653-0.00943864j -0.0388844+3.58054e-05j -0.0222404+0.0252235j 0.00931629-0.00269665j 0.00675737-0.0397292j -0.0138265-0.0246691j -0.0341518+0.0257851j -0.0204389+0.00585233j -0.0510061+0.00806169j -0.0501285-0.0385855j -0.00255197-0.0148051j 
0.0078386-0.039794j -0.0213921-0.0233115j -0.147718+0.0556845j 0.309146+0.066396j -0.0640575-0.0243093j -0.039356+0.0474346j 0.0204589-0.0284839j -0.0112862+0.164004j 0.0865789+0.124058j -0.0996981+0.0418939j 0.0564014+0.00700937j -0.239979+0.0018866j -0.0023122-0.0110552j 0.041793+0.0241995j 0.113429-0.00840073j 0.0808957-0.00753738j -0.0370312-0.00479481j 0.0243145-0.00182118j 0.0291254-0.00803725j 0.0020168+0.0364319j -0.0120384+0.0195686j 0.0165144-0.019988j -0.0438622-0.0245987j 0.00637403-0.0446186j 0.00913579+0.00601127j -0.0168922-0.00490121j -0.0119577-0.0136054j -0.00576262-0.000314708j -0.00265623+0.0140655j 0.00391015+0.0150685j -0.0131346-0.00898014j 0.0646279+0.00705056j 0.111088-0.0105027j 0.0115896-0.0188139j 
0.0572631-0.132511j 0.0833207-0.09489j -0.0954758+0.159509j -0.19697+0.185059j -0.0861094+0.0895968j -0.107133+0.0953013j -0.197553+0.124894j 0.0134986+0.0833442j 0.201163-0.0235416j 0.00223362-0.0521273j 0.00336298+0.0225925j 0.0915027+0.0570904j 0.00988227-0.034779j -0.072395+0.0690202j -0.0985365+0.027239j 0.0670701-0.0420509j -0.0705488+0.00324576j 0.0748328+0.0185317j 0.0514351+0.019692j -0.00447235-0.00799679j -0.0881106-0.000618091j 0.0121727+0.0445969j -0.0302484-0.0328066j -0.00846388+0.0102865j -0.0187436-0.0129343j -0.00563934+0.000933406j 0.000837887-0.000994465j 0.022184-0.0337025j -0.00267074-0.00110429j 0.0280894-0.00686176j -0.0162332+0.00812784j -0.0542149-0.0178479j 0.00241473-0.0183859j -0.0847888-0.0483405j 
-0.055802-0.00870852j 0.0120838-0.0198821j 0.04952-0.0107819j 0.215746+0.0104672j -0.0593465+0.0584817j 0.0420957-0.025373j 0.0631696+0.0564538j 0.334177-0.173709j 0.345583-0.162695j -0.0263846-0.0511523j 0.0837036-0.0113571j -0.233378+0.011425j -0.00487696-0.00905034j 0.071194-0.0099487j -0.030682+0.0190006j -0.0178704+0.00100751j -0.0281624-0.00707731j 0.00475998+0.0275177j 0.0225741+0.00815114j 0.0190253-0.0186653j -0.00956787-0.00624072j -0.00595199+0.014046j 0.0142154-0.019531j 0.0236107+0.0176045j -0.025308+0.017816j 0.00157078-0.00994095j 0.0391995-0.0116894j 0.0290674+0.015347j 0.0227263-0.0514394j -0.0127287+0.0123205j -0.0104832-0.00327662j 0.0190769+0.0319533j 0.0913555+0.0143891j 0.0529423+0.0130649j 
-0.0455009+0.00405343j 0.00142068+0.0286532j 0.0915873+0.0692112j 0.0485643-0.098862j 0.0200553-0.00554681j 0.0242823+0.030037j 0.0243202-0.003917j 0.159859+0.498631j 0.0296476+0.301931j 0.0430893+0.00253504j -0.00815408+0.0625324j 0.00812414+0.0251253j -0.01346+0.00730649j 0.00882239+0.0211531j -0.0336191-0.0460411j -0.0450481-0.0198869j 0.0260474+0.00471048j -0.0244372-0.011371j 0.0043341+0.0091687j -0.00346929+0.0313396j -0.0118007-0.0267463j -0.0254331+0.0317353j 0.0268378+0.0216138j 0.00883466+0.00813932j -0.00223897-0.0126046j 0.0174873-0.00349634j -0.00957729-0.043756j -0.00872464-0.0282866j -0.0422716+0.0323009j 0.00327625-0.00186916j -0.00783376-0.0512725j 0.0262021-0.00962552j 0.00188064-0.0230655j 0.0140871+0.0209422j 
