-0.0266865-0.0244487j 0.2568+0.0164192j 0.00207821-0.0245766j 0.0969742+0.0278804j 0.0778085+0.019342j -0.0481603+0.0176486j -0.086537+0.00882514j 0.0330812-0.00199725j -0.0771767+0.0636288j -0.0175968-0.0116919j -0.0550574+0.0325177j 0.0509294-0.0467745j -0.0335276+0.0307423j -0.0758542+0.034363j 0.00964015-0.00121759j 0.016839-0.00847858j -0.0463082+0.0271934j -0.000925909-0.0124279j -0.0174795-0.0334875j 0.0134376-0.00570524j -0.0351236+0.016723j 0.0241016-0.0190123j -0.0027939-0.000191681j -0.00142474+0.0242687j -0.01806+0.017932j 0.013504-0.0245204j 0.00738979+0.0180716j 0.0273443-0.00131057j -0.0170515-0.0107431j -0.0145914+0.0209688j -0.054238+0.012935j 0.018935-0.0097001j -0.0348116+0.00762458j -0.00686589+0.012464j -0.000722621-0.0654318j -0.0553433-0.00685015j 
0.00749935+0.0117658j -0.0451293+0.00772556j -0.00194816-0.102591j -0.0169377+0.0142035j 0.0184892+0.0086935j -0.0712978-0.0131779j 0.0237918-0.00111158j -0.0200781+0.00246323j 0.0196834-0.000719844j -0.0107549+0.00347688j 0.0146225-0.0211922j -0.00343049-0.00311748j 0.000304992-0.0153254j 0.00946876-0.0158481j 0.0142053-0.012354j -0.0318067-0.0135074j -0.0316198+0.00648847j -0.0228213-0.022694j 0.00936394-0.0311729j -0.00610286+0.00252898j -0.00208202-0.0102835j -0.00444159-0.000540005j 0.00703807-0.00961822j 0.00536021-0.0024318j -0.000931545-0.00893005j -0.00476333+0.00812174j -0.00672784-0.00841363j 0.00182385-0.01436j 0.000682-0.0133728j 0.000597112+0.0328339j 0.0135904-0.0101938j 0.0339849-0.00339478j -0.00534569-0.00645183j -0.0167605-0.00418319j 0.00290874+0.00185709j -0.0054979-0.0039033j 
-0.0212813+0.0511913j -0.321652-0.0244744j 0.0210004+0.0234931j 0.0324038-0.0392513j -0.0657816-0.0177279j 0.0988481-0.0369193j 0.104145+0.00208133j -0.12627+0.0701977j 0.109032-0.0593216j 0.053524+0.096549j 0.0863786-0.0540453j -0.0456164+0.0122573j 0.0131197-0.00413724j 0.1825-0.0614688j -0.0222963+0.0140032j -0.0374779+0.0305592j 0.0704097-0.0221998j -0.0178959+0.0247907j 0.0297719+0.0349283j 0.0012586+0.0262258j 0.0515098-0.00259731j -0.026893-0.0199883j 0.0173258-0.0110908j 0.00173093-0.0199405j 0.00529044-0.000942541j -0.0288059+0.0109354j -0.0374605+0.0250616j -0.0661954+0.0349602j 0.034647-0.0455384j 0.0126645-0.0243226j 0.104762+0.00962016j -0.0242361-0.00546721j 0.0679623+0.0126613j -0.0187048-0.0291637j -0.00627006+0.0662428j 0.101635-0.043731j 
0.228202+0.106447j 0.076527-0.157048j -0.260861-0.0349698j 0.0413039-0.244152j 0.204955-0.0621482j -0.09524-0.0443937j 0.0081936+0.0267576j 0.00950931+0.0453536j -0.0520731+0.00468972j 0.0771322+0.0371259j -0.10207-0.0240564j 0.0544754+0.0181284j -0.066355+0.0231079j 0.0542426-0.0546045j 0.0314074-0.00182195j -0.0373074-0.0116989j -0.0735979-0.00513164j 0.0151903+0.0094384j 0.127351-0.074916j 0.0722025+0.0120419j -0.0779537+0.0197362j -0.0241961-0.0237694j 0.00218924+0.0192226j 0.00161814-0.0247704j -0.0500137+0.00853622j 0.0111164+0.0266195j -0.011788+0.0286434j -0.00839976+0.0346191j 0.0038449-0.00563815j -0.0734328+0.00831389j -0.00235327-0.0438849j 0.0217964+0.0065825j 0.0210152-0.00546402j -0.0515238-0.00935954j 0.0965301-0.0334476j 0.00208544-0.0636675j 
0.196849-0.0571074j -0.215296+0.171222j -0.242991-0.187018j -0.126733+0.167282j 0.0748842+0.0347787j -0.0028937+0.00591954j 0.166851+0.0221841j -0.041364-0.0344146j 0.00661689-0.00760463j -0.0497144-0.0241741j 0.0647815+0.0310138j 0.0295278+0.0139057j -0.0548151-0.0374221j 0.0542157-0.0141384j -0.0141835+0.0127192j -0.0170715-0.0192869j -0.002744-0.0354294j -0.0226134-0.0616658j 0.0487217-0.0345537j -0.0317955+0.00806925j -0.00273085+0.0277112j -0.0152902+0.00626978j -0.0300259+0.00265754j 0.00499632+0.0196476j -0.0232503+0.00281089j -0.0165949+0.0117992j -0.0102609+0.00122j 0.0105341-0.0103427j 0.0553926+0.00576627j -0.00862975+0.0115467j 0.030988-0.0137895j 0.00297059+0.0037629j 0.016686+0.0188562j -0.0122184-0.018065j -0.00997002+0.0120334j 0.0480343-0.00852382j 
0.0561568-0.0972227j -0.0715761-0.00923234j -0.108083+0.663637j -0.0506646+0.0184166j 0.0149855-0.00169139j -0.0220158+0.0502446j 0.0502873-0.017254j 0.00661444-0.0301718j -0.0112478-0.0288182j -0.010588-0.0164571j 0.0157841+0.0228998j -0.0048767-0.00146638j -0.00491193-0.00434579j -0.0146226+0.00177687j -0.0382872-0.00819475j -0.0303119-0.0220013j -0.0141955+0.048718j 0.0510253+0.0519206j 0.0593508-0.010594j 0.00769177+0.0263585j -0.0391978+0.0195988j -0.00440369+0.0329197j -0.0248434-0.0035077j 0.00597137-0.0276996j 0.00392339+0.00269396j -0.00176453-0.0202501j 0.00358392+0.00506766j 0.0146973-0.00411622j 0.00618426+0.0231275j -0.000474812+0.019413j 0.00373581-0.000877619j 0.00500835-0.0220796j -0.000997627+0.00356426j 0.00581647-0.00191615j 0.000546187-0.00769372j 0.00960656+0.00312542j 
-3.74689e-05+0.0905366j -0.12504-0.255382j 0.361514+0.0226844j -0.0512836-0.283604j -0.0851279-0.0537022j 0.0643368-0.0194333j 0.0492901-0.00477114j -0.0280495+0.0413104j -0.0568874+0.0740933j 0.00690318+0.0283888j -0.00110617+0.0167323j 0.0523968-0.0586575j 0.0379806+0.0100002j -0.00845034+0.0443207j -0.00338146-0.0166063j 0.039404-0.00046168j 0.0147706+0.0156815j -0.0612338-0.0030037j -0.0105614+0.0104231j -0.00489018-0.00656185j 0.0011831+0.00492102j 0.0148265-0.0338832j 0.0110367+0.0161408j -0.0227432-0.0123574j -0.0118079+0.0184405j -0.0178809-0.00992552j 0.00234567-0.00348253j 0.0161762+0.00430723j 0.0387771-0.00790345j 0.0182826-0.0166121j -0.00209276+0.0181688j -0.0160873-0.00291967j 0.00535496+0.0169157j -0.0149896+0.0128824j -0.0298007-0.0101739j -0.000879818+0.0107008j 
-0.161411-0.0513085j 0.275587-0.0971312j -0.11376-0.387311j 0.207609-0.0638365j -0.010705-0.0999973j 0.01218+0.00909026j 0.0483885+0.0124081j -0.0641278+0.0173755j 0.0105566+0.109015j -0.067452-0.0373884j -0.0182174+0.0407731j -0.012288-0.0536373j -0.00669659+0.0407013j -0.143063-0.0141248j -0.0384084-0.00290841j -0.00823702-0.0450512j 0.0132442+0.0569634j -0.00675451+0.0116579j -0.045575-0.0771283j -0.0590794-0.0445218j 0.00520357+0.036598j 0.0189414-0.000817525j 0.00149565+0.00476927j 0.00967806+0.0330509j 0.0472754+0.0463147j 0.0402044-0.00555181j 0.0530602-0.0185525j 0.0447448-0.00582545j -0.0240024-0.0208327j 0.022346+0.0358049j -0.0669937+0.0301335j 0.0112214+0.00212953j -0.0168215-0.0281258j 0.0260141+0.0475987j -0.053316-0.072865j -0.0616294+0.0257528j 
0.199347+0.0513833j -0.185448-0.123995j 0.124972-0.0770471j -0.356793-0.0418267j 0.066822+0.00653565j -0.0750619+0.0114346j 0.0472576+0.0171775j 0.118398+0.0243785j -0.0518026-0.0417017j 0.0597348-0.0740028j -0.0408748+0.0425573j 0.0869179+0.0117652j -0.0207346-0.0171329j -0.143755+0.0611726j -0.00827404+0.0113508j 0.0608587-0.0178075j -0.0797633-0.0283536j 0.108973-0.0116377j 0.0661651-0.0026748j -0.0425051-0.0200704j 0.0110051-0.0488329j -0.0248119+0.00798153j -0.0114616-0.0467484j -0.0246409+0.00784517j 0.0269978-0.0721241j 0.0234351-0.020183j 0.0365118-0.00680727j 0.0418893-0.0227395j -0.062779+0.0654358j -0.0462823-0.0126255j -0.0359546-0.0149744j 0.024592+0.00768249j -0.082042-0.0182722j 0.0467507+0.000360833j 0.0353887-0.0221213j -0.0512613+0.0380932j 
0.316335-0.0169432j 0.222296-0.00202808j 0.0579146+0.00219448j -0.122654-0.0162891j 0.274848+0.0399759j 0.0298625+0.00966549j 0.0456934-0.0286338j 0.0799324-0.00402825j 0.0104726+0.0245849j -0.00375503+0.0448743j -0.0105935+0.00673102j 0.00553455+0.0106989j -0.0573703-0.0417004j 0.0163142+0.0208949j -0.00958888-3.48345e-05j 0.0438134+0.00370405j -0.0137642-0.0151309j 0.0251902+0.0408082j 0.021201+0.0180969j 0.0495741+0.0117225j -0.0590324+0.014397j 0.00842304-0.0281846j -0.00625809+0.0143967j 0.00281138+0.00678068j 0.00123594+0.005961j -0.0362595+0.0240498j 0.00253265+0.0298449j -0.0216063-0.0317097j -0.0255487-0.0128363j -0.0259758-0.0212667j -0.0195757-0.0135767j 0.0205244+0.00558674j -0.00306856+0.00154545j -0.0149533+0.00666624j 0.0415362+0.0155226j -0.00945567-0.00337009j 
0.174115-0.0272535j 0.0139721-0.00956136j 0.0184836+0.0793159j -0.108449-0.00954416j 0.194385+0.00238307j -0.0703897+0.0122999j 0.0215548-0.00430199j 0.00615498-0.00588804j -0.0663778+0.0907069j -0.0500101+0.0313965j -0.0155923+0.00876755j 0.0625875-0.0878444j -0.0719927+0.0373349j -0.00924489+0.0433488j -0.000241756-0.0246112j -0.0135811-0.00242659j -0.0634881+0.040514j 0.026559+0.0170542j 0.0626964-0.0375107j 0.0150977+0.0182652j 0.0178147+0.0115872j -0.024211-0.0205013j 0.00503891+0.0267491j 0.0032215+0.00798823j -0.0391027+0.0209575j -0.00348452+0.000209395j -0.0288017+0.00130617j -0.00413112-0.0445463j 0.013857-0.0131017j -0.0414479+0.00127014j -0.0487997+0.00289728j 0.0174984-0.000674093j -0.0240534+0.010571j -0.0086016+0.0005419j 0.0247793-0.01731j -0.0140619+0.0111759j 
